AMONG ADULT MEN,,Adult Men,Age,,,Race,,Children,,Sexual Orientation,
,No answer,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
AMONG EMPLOYED: In which of the following ways would you say it?s an advantage to be a man at your work right now? (Select all that apply).,,,,,,,,,,,
,Men are taken more seriously,23%,,16%,27%,20%,27%,20%,27%,21%,
,Men make more money,18%,,15%,19%,16%,22%,15%,22%,17%,
,Men have more choice,16%,,12%,21%,13%,20%,14%,18%,15%,
,Men have more promotion/professional development opportunities,14%,,11%,19%,16%,11%,13%,17%,13%,
,Men generally have more support from their managers,11%,,8%,18%,10%,12%,10%,12%,10%,
,Men are explicitly praised more often,8%,,5%,6%,8%,7%,5%,11%,7%,
,Other (please specify),7%,,7%,7%,10%,1%,8%,5%,7%,
,None of the above,59%,,68%,50%,61%,57%,63%,55%,61%,
AMONG EMPLOYED: In which of the following ways would you say it?s a disadvantage to be a man at your work right now? (Select all that apply.),,,,,,,,,,,
,Managers want to hire and promote women,18%,,15%,18%,17%,21%,20%,17%,19%,
,Greater risk of being accused of sexual harassment,42%,,43%,43%,43%,41%,44%,40%,43%,
,Greater risk of being accused of being sexist or racist,38%,,40%,33%,40%,35%,37%,38%,37%,
,Other (please specify),5%,,6%,4%,6%,3%,4%,6%,5%,
,None of the above,42%,,43%,45%,43%,41%,43%,42%,43%,
"AMONG EMPLOYED: Have you seen or heard of a sexual harassment incident at your work? If so, how did you respond? (Select all that apply.)",,,,,,,,,,,
,Contacted the HR department,8%,,7%,10%,7%,11%,9%,7%,8%,
,Did not respond at all,8%,,7%,1%,5%,14%,5%,12%,7%,
,Reached out to the victim to offer support,7%,,7%,9%,9%,5%,9%,6%,7%,
,Contacted the manager of the accused person,7%,,5%,4%,6%,7%,6%,7%,7%,
,Confronted the accused person,5%,,5%,5%,4%,5%,6%,3%,5%,
,Other (please specify),3%,,4%,3%,4%,1%,1%,6%,3%,
,Never witnessed sexual harassment,75%,,76%,81%,76%,73%,79%,69%,76%,
AMONG THOSE WHO DID NOT RESPOND TO HARASSMENT: And which of the following is the main reason you did not respond?,,,,,,,,,,,
,You didn't want to get involved,,,,,,,,,,
,You weren't sure it was sexual harassment,,,,,,,,,,
,You didn't think it was your place,,,,,,,,,,
,You weren't sure who to contact,,,,,,,,,,
,Other (please specify),,,,,,,,,,
,No answer,,,,,,,,,,
AMONG EMPLOYED: How much have you heard about the #MeToo movement?,,,,,,,,,,,
,A lot,42%,,41%,39%,42%,40%,37%,48%,41%,
,Some,24%,,24%,27%,26%,19%,23%,24%,24%,
,Only a little,11%,,11%,18%,10%,13%,11%,10%,11%,
,Nothing at all,24%,,23%,16%,22%,28%,29%,18%,25%,
,No answer,0%,,0%,0%,0%,0%,0%,0%,0%,
"AMONG EMPLOYED WHO'VE HEARD OF METOO: As a man, would you say you think about your behavior at work differently in the wake of #MeToo?",,,,,,,,,,,
,Yes,34%,,32%,23%,33%,37%,27%,42%,33%,
,No,65%,,67%,77%,66%,62%,71%,57%,66%,
,No answer,1%,,1%,0%,1%,1%,1%,1%,1%,
Do you typically feel as though you're expected to make the first move in romantic relationships?,,,,,,,,,,,
,Yes,61%,62%,63%,54%,63%,57%,60%,62%,63%,50%
,No,38%,38%,35%,44%,36%,42%,38%,37%,36%,49%
,No answer,1%,1%,1%,2%,2%,1%,2%,1%,1%,1%
How often do you try to be the one who pays when on a date?,,,,,,,,,,,
,Always,49%,36%,55%,53%,52%,43%,58%,39%,54%,16%
,Often,25%,22%,26%,27%,25%,25%,23%,28%,26%,28%
,Sometimes,16%,24%,13%,10%,13%,22%,12%,20%,12%,43%
,Rarely,2%,3%,1%,2%,1%,3%,1%,3%,1%,5%
,Never,7%,12%,4%,5%,7%,7%,5%,9%,6%,6%
,No answer,2%,2%,1%,3%,2%,1%,1%,2%,1%,0%
AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).,,,,,,,,,,,
,It's the right thing to do,66%,,68%,69%,66%,65%,70%,60%,67%,
,"You asked the person out, so you feel obligated to pay",49%,,49%,52%,49%,49%,47%,51%,48%,
,You feel good about being the one who pays,39%,,39%,34%,36%,46%,39%,40%,39%,
,"Societal expectations, even though you don?t always think you should have to pay",27%,,26%,22%,27%,27%,23%,33%,27%,
,You make more money than your date,11%,,9%,14%,11%,12%,10%,13%,11%,
,You try to pay to see if the other person will offer to share in the cost,7%,,7%,7%,4%,13%,4%,10%,6%,
,Other (please specify),7%,,8%,8%,9%,3%,8%,7%,7%,
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)",,,,,,,,,,,
,Every situation is different,59%,54%,64%,55%,61%,57%,61%,58%,60%,63%
,Read their physical body language to see if they are interested,46%,46%,48%,38%,46%,45%,46%,45%,46%,51%
,It isn?t always clear how to gauge someone?s interest,35%,37%,35%,32%,36%,32%,32%,39%,34%,40%
,Ask for a verbal confirmation of consent,31%,43%,30%,15%,29%,36%,26%,37%,31%,31%
,Make a physical move to see how they react,29%,34%,27%,29%,27%,34%,29%,30%,31%,27%
,Other (please specify),7%,6%,7%,11%,8%,5%,8%,7%,8%,8%
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)",,,,,,,,,,,
,Wondered whether you pushed a partner too far in a past sexual encounter.,10%,15%,9%,5%,8%,13%,8%,12%,9%,17%
,Talked with a friend or friends about whether you pushed a partner too far.,5%,9%,3%,2%,2%,9%,5%,4%,4%,4%
,Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.,3%,7%,2%,0%,1%,7%,3%,3%,3%,7%
,None of the above,85%,76%,87%,91%,89%,77%,86%,83%,87%,79%
Have you changed your behavior in romantic relationships in the wake of #MeToo movement?,,,,,,,,,,,
,Yes,13%,23%,9%,7%,9%,20%,9%,16%,12%,18%
,No,86%,77%,90%,91%,90%,79%,89%,83%,87%,82%
,No answer,1%,0%,1%,2%,1%,1%,1%,1%,1%,0%
"Are you now married, widowed, divorced, separated, or have you never been married?",,,,,,,,,,,
,Married,46%,15%,55%,67%,50%,37%,66%,22%,51%,16%
,Widowed,3%,0%,2%,13%,4%,2%,4%,2%,3%,4%
,Divorced,13%,7%,17%,9%,13%,13%,19%,6%,13%,8%
,Separated,2%,0%,2%,3%,2%,2%,3%,1%,2%,0%
,Never married,36%,77%,23%,9%,31%,46%,7%,69%,30%,72%
,No answer,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Do you have any children? (Select all that apply.),,,,,,,,,,,
,"Yes, one or more children under 18",21%,21%,28%,5%,17%,31%,40%,0%,24%,8%
,"Yes, one or more children 18 or older",37%,6%,42%,70%,41%,28%,69%,0%,41%,7%
,No children,46%,74%,38%,27%,46%,47%,0%,100%,40%,86%
Would you describe your sexual orientation as:,,,,,,,,,,,
,Straight,84%,73%,88%,93%,85%,82%,95%,72%,100%,0%
,Gay,8%,12%,7%,3%,7%,9%,2%,15%,0%,72%
,Bisexual,3%,6%,2%,1%,3%,3%,1%,5%,0%,28%
,Other,3%,5%,3%,1%,3%,3%,1%,6%,0%,0%
,No answer,2%,4%,1%,1%,1%,2%,1%,2%,0%,0%
Are you:,,,,,,,,,,,
,White,67%,52%,67%,89%,100%,0%,68%,66%,68%,62%
,Black,11%,19%,9%,2%,0%,33%,10%,11%,11%,10%
,Hispanic,14%,16%,17%,5%,0%,43%,14%,15%,14%,18%
,Asian,3%,6%,2%,0%,0%,9%,2%,4%,2%,4%
,Other,5%,7%,5%,3%,0%,16%,6%,4%,5%,6%
What is the last grade of school you completed?,,,,,,,,,,,
,Did not complete high school,4%,3%,4%,5%,4%,5%,6%,2%,4%,0%
,High school or G.E.D.,36%,46%,35%,23%,35%,39%,32%,40%,36%,27%
,Associate's degree,9%,5%,12%,9%,10%,9%,11%,8%,10%,5%
,Some college,21%,21%,21%,22%,21%,23%,21%,22%,20%,31%
,College graduate,27%,25%,25%,35%,29%,23%,27%,27%,27%,35%
,Post graduate degree,2%,1%,2%,6%,3%,2%,3%,1%,2%,2%
age3,,,,,,,,,,,
,18 - 34,29%,100%,0%,0%,23%,42%,14%,47%,25%,50%
,35 - 64,52%,0%,100%,0%,52%,52%,60%,42%,54%,43%
,65 and up,19%,0%,0%,100%,25%,6%,26%,11%,21%,7%
,,,,,,,,,,,
