"congress","start_date","chamber","state_abbrev","party_code","bioname","bioguide_id","birthday","cmltv_cong","cmltv_chamber","age_days","age_years","generation"
117,2021-01-03,"House","AL",200,"ADERHOLT, Robert","A000055",1965-07-22,13,13,20254,55.4524298425736,"Gen X"
118,2023-01-03,"House","AL",200,"ADERHOLT, Robert","A000055",1965-07-22,14,14,20984,57.45106091718,"Gen X"
69,1925-03-04,"House","IL",200,"ADKINS, Charles","A000057",1863-02-07,1,1,22670,62.0670773442847,"Missionary"
70,1927-03-04,"House","IL",200,"ADKINS, Charles","A000057",1863-02-07,2,2,23400,64.0657084188912,"Missionary"
71,1929-03-04,"House","IL",200,"ADKINS, Charles","A000057",1863-02-07,3,3,24131,66.0670773442847,"Missionary"
72,1931-03-04,"House","IL",200,"ADKINS, Charles","A000057",1863-02-07,4,4,24861,68.0657084188912,"Missionary"
77,1941-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,1,1,17667,48.3696098562628,"Lost"
78,1943-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,2,2,18397,50.3682409308693,"Lost"
79,1945-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,3,3,19128,52.3696098562628,"Lost"
80,1947-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,4,4,19858,54.3682409308693,"Lost"
81,1949-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,5,5,20589,56.3696098562628,"Lost"
82,1951-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,6,6,21319,58.3682409308693,"Lost"
83,1953-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,7,7,22050,60.3696098562628,"Lost"
84,1955-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,8,8,22780,62.3682409308693,"Lost"
85,1957-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,9,9,23511,64.3696098562628,"Lost"
86,1959-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,10,10,24241,66.3682409308693,"Lost"
87,1961-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,11,11,24972,68.3696098562628,"Lost"
88,1963-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,12,12,25702,70.3682409308693,"Lost"
89,1965-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,13,13,26433,72.3696098562628,"Lost"
90,1967-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,14,14,27163,74.3682409308693,"Lost"
91,1969-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,15,15,27894,76.3696098562628,"Lost"
92,1971-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,16,16,28624,78.3682409308693,"Lost"
93,1973-01-03,"Senate","VT",200,"AIKEN, George David","A000062",1892-08-20,17,17,29355,80.3696098562628,"Lost"
95,1977-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,1,1,19107,52.3121149897331,"Greatest"
96,1979-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,2,2,19837,54.3107460643395,"Greatest"
97,1981-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,3,3,20568,56.3121149897331,"Greatest"
98,1983-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,4,4,21298,58.3107460643395,"Greatest"
99,1985-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,5,5,22029,60.3121149897331,"Greatest"
100,1987-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,6,6,22759,62.3107460643395,"Greatest"
101,1989-01-03,"House","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,7,7,23490,64.3121149897331,"Greatest"
102,1991-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,8,1,24220,66.3107460643395,"Greatest"
103,1993-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,9,2,24951,68.3121149897331,"Greatest"
104,1995-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,10,3,25681,70.3107460643395,"Greatest"
105,1997-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,11,4,26412,72.3121149897331,"Greatest"
106,1999-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,12,5,27142,74.3107460643395,"Greatest"
107,2001-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,13,6,27873,76.3121149897331,"Greatest"
108,2003-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,14,7,28603,78.3107460643395,"Greatest"
109,2005-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,15,8,29334,80.3121149897331,"Greatest"
110,2007-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,16,9,30064,82.3107460643395,"Greatest"
111,2009-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,17,10,30795,84.3121149897331,"Greatest"
112,2011-01-03,"Senate","HI",100,"AKAKA, Daniel Kahikina","A000069",1924-09-11,18,11,31525,86.3107460643395,"Greatest"
75,1937-01-03,"House","OH",200,"ALBAUGH, Walter Hugh","A000072",1890-01-02,1,1,17167,47.0006844626968,"Lost"
80,1947-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,1,1,14117,38.6502395619439,"Greatest"
81,1949-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,2,2,14848,40.6516084873374,"Greatest"
82,1951-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,3,3,15578,42.6502395619439,"Greatest"
83,1953-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,4,4,16309,44.6516084873374,"Greatest"
84,1955-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,5,5,17039,46.6502395619439,"Greatest"
85,1957-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,6,6,17770,48.6516084873374,"Greatest"
86,1959-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,7,7,18500,50.6502395619439,"Greatest"
87,1961-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,8,8,19231,52.6516084873374,"Greatest"
88,1963-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,9,9,19961,54.6502395619439,"Greatest"
89,1965-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,10,10,20692,56.6516084873374,"Greatest"
90,1967-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,11,11,21422,58.6502395619439,"Greatest"
91,1969-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,12,12,22153,60.6516084873374,"Greatest"
92,1971-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,13,13,22883,62.6502395619439,"Greatest"
93,1973-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,14,14,23614,64.6516084873374,"Greatest"
94,1975-01-03,"House","OK",100,"ALBERT, Carl Bert","A000073",1908-05-10,15,15,24344,66.6502395619439,"Greatest"
96,1979-01-03,"House","MI",100,"ALBOSTA, Donald Joseph","A000076",1925-12-05,1,1,19387,53.07871321013,"Greatest"
97,1981-01-03,"House","MI",100,"ALBOSTA, Donald Joseph","A000076",1925-12-05,2,2,20118,55.0800821355236,"Greatest"
98,1983-01-03,"House","MI",100,"ALBOSTA, Donald Joseph","A000076",1925-12-05,3,3,20848,57.07871321013,"Greatest"
68,1923-03-04,"House","RI",200,"ALDRICH, Richard Steere","A000084",1884-02-29,1,1,14247,39.006160164271,"Lost"
69,1925-03-04,"House","RI",200,"ALDRICH, Richard Steere","A000084",1884-02-29,2,2,14978,41.0075290896646,"Lost"
70,1927-03-04,"House","RI",200,"ALDRICH, Richard Steere","A000084",1884-02-29,3,3,15708,43.006160164271,"Lost"
71,1929-03-04,"House","RI",200,"ALDRICH, Richard Steere","A000084",1884-02-29,4,4,16439,45.0075290896646,"Lost"
72,1931-03-04,"House","RI",200,"ALDRICH, Richard Steere","A000084",1884-02-29,5,5,17169,47.006160164271,"Lost"
