RespondentID,"Consider the following hypothetical situations: <br>In Lottery A, you have a 50% chance of success, with a payout of $100. <br>In Lottery B, you have a 90% chance of success, with a payout of $20. <br><br>Assuming you have $10 to bet, would you play Lottery A or Lottery B?",Do you ever smoke cigarettes?,Do you ever drink alcohol?,Do you ever gamble?,Have you ever been skydiving?,Do you ever drive above the speed limit?,Have you ever cheated on your significant other?,Do you eat steak?,How do you like your steak prepared?,Gender,Age,Household Income,Education,Location (Census Region)
3234928702,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234928649,Lottery B,No,No,No,No,No,,Yes,Medium rare,Male,> 60,,Graduate degree,New England
3234928339,Lottery A,No,Yes,No,No,No,No,Yes,Medium,Male,18-29,,Some college or Associate degree,Middle Atlantic
3234927960,Lottery B,No,Yes,No,No,Yes,No,Yes,Well,Male,18-29,"$25,000 - $49,999",High school degree,West South Central
3234927933,Lottery A,No,Yes,Yes,No,No,No,No,,Male,45-60,"$0 - $24,999",Bachelor degree,South Atlantic
3234926887,Lottery B,No,No,No,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Bachelor degree,
3234925465,Lottery A,Yes,Yes,Yes,No,No,Yes,Yes,Medium,Male,30-44,,High school degree,East North Central
3234925077,Lottery A,No,Yes,Yes,No,Yes,No,No,,,,,,
3234924769,Lottery A,No,Yes,Yes,Yes,Yes,No,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234924367,Lottery A,No,Yes,Yes,No,Yes,No,No,,,,,,
3234924090,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3234923731,Lottery B,No,No,Yes,No,Yes,No,No,,Male,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234923656,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific
3234922597,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$0 - $24,999",High school degree,West South Central
3234922412,Lottery B,No,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
3234922346,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234921417,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West South Central
3234921008,Lottery A,No,Yes,Yes,No,Yes,No,No,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234919737,Lottery B,No,Yes,No,No,Yes,No,No,,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234918764,Lottery A,No,No,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$0 - $24,999",Some college or Associate degree,New England
3234918715,Lottery B,No,No,No,No,Yes,No,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234915627,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,45-60,,Some college or Associate degree,Middle Atlantic
3234915418,Lottery A,Yes,Yes,No,No,Yes,No,Yes,Medium Well,Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234914768,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$150,000+",Bachelor degree,West North Central
3234911137,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
3234911072,Lottery A,No,Yes,No,No,No,No,Yes,Medium rare,Male,45-60,,High school degree,West South Central
3234910999,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234910805,Lottery A,,,,,,,,,,,,,
3234910677,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central
3234910265,Lottery B,No,No,No,No,Yes,Yes,Yes,Medium rare,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West South Central
3234908558,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,> 60,,Graduate degree,East North Central
3234908311,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,"$50,000 - $99,999",Bachelor degree,East North Central
3234908086,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234907424,Lottery A,Yes,No,No,Yes,No,Yes,Yes,Well,Male,18-29,"$150,000+",,Middle Atlantic
3234906252,Lottery B,,,,,,,,,,,,,
3234906064,Lottery B,No,No,,No,Yes,No,Yes,Medium Well,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3234905473,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234904710,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,,Some college or Associate degree,West South Central
3234900937,,No,Yes,No,No,Yes,No,Yes,Medium rare,,,,,
3234900347,Lottery B,No,Yes,Yes,No,Yes,No,No,,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic
3234899967,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234899145,Lottery B,Yes,Yes,No,No,No,Yes,Yes,Medium rare,Male,18-29,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234898344,Lottery B,No,Yes,No,No,Yes,No,Yes,Rare,Male,> 60,,Graduate degree,New England
3234898162,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,,Graduate degree,Pacific
3234897200,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,45-60,,Bachelor degree,East North Central
3234897030,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$100,000 - $149,999",Bachelor degree,New England
3234897017,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,45-60,,Some college or Associate degree,South Atlantic
3234896919,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,45-60,,Some college or Associate degree,Pacific
3234896600,Lottery B,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium Well,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
3234896271,Lottery A,No,Yes,Yes,No,Yes,No,No,,Female,> 60,,Some college or Associate degree,Middle Atlantic
3234896091,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium rare,Female,> 60,,Some college or Associate degree,Pacific
3234895751,Lottery A,No,Yes,No,No,Yes,No,No,,Female,> 60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234895207,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234894987,Lottery B,No,No,Yes,No,No,No,Yes,Medium Well,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234894892,Lottery B,No,Yes,No,No,Yes,No,Yes,Rare,Male,30-44,"$25,000 - $49,999",Bachelor degree,Pacific
3234894723,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Rare,Male,> 60,,Bachelor degree,Middle Atlantic
3234893756,Lottery A,Yes,Yes,No,No,Yes,Yes,Yes,Medium rare,Male,18-29,,High school degree,Pacific
3234893663,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium Well,Male,> 60,"$150,000+",Bachelor degree,New England
3234893368,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,18-29,"$25,000 - $49,999",Graduate degree,West North Central
3234893232,Lottery B,No,Yes,No,No,Yes,Yes,Yes,Medium rare,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234891191,Lottery B,No,Yes,No,No,Yes,No,No,,Female,> 60,,Bachelor degree,South Atlantic
3234890660,Lottery A,No,Yes,No,No,Yes,No,No,,Male,> 60,"$50,000 - $99,999",Bachelor degree,West South Central
3234890248,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",Graduate degree,West North Central
3234889696,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3234889548,Lottery B,Yes,No,Yes,No,Yes,Yes,Yes,Medium rare,Female,> 60,"$0 - $24,999",Bachelor degree,Pacific
3234889471,Lottery A,No,Yes,No,Yes,Yes,No,Yes,Medium rare,Male,30-44,,Some college or Associate degree,West South Central
3234889313,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3234889143,Lottery A,No,Yes,No,No,Yes,No,No,,Female,> 60,,Graduate degree,New England
3234888994,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,18-29,"$0 - $24,999",Bachelor degree,East South Central
3234888966,Lottery B,No,No,No,No,Yes,No,No,,Male,45-60,,Bachelor degree,Middle Atlantic
3234888428,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,45-60,"$100,000 - $149,999",Bachelor degree,Pacific
3234888305,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central
3234888125,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium Well,Female,> 60,"$0 - $24,999",High school degree,Middle Atlantic
3234887552,Lottery A,No,Yes,No,No,Yes,No,No,,Female,30-44,,Bachelor degree,Pacific
3234887530,Lottery A,No,No,Yes,No,Yes,No,Yes,Well,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234887493,,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234886754,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,45-60,"$100,000 - $149,999",High school degree,East South Central
3234886625,Lottery B,No,No,Yes,No,No,No,Yes,Medium rare,Male,18-29,"$50,000 - $99,999",High school degree,Middle Atlantic
3234885891,Lottery A,No,Yes,Yes,No,Yes,Yes,No,,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
3234885046,Lottery B,No,No,Yes,No,Yes,Yes,No,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234884675,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234884670,Lottery A,No,Yes,No,No,Yes,No,No,,Male,30-44,"$50,000 - $99,999",Less than high school degree,Mountain
3234884132,Lottery A,No,Yes,Yes,No,No,No,Yes,Medium,Female,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic
3234883481,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Well,Male,18-29,,Some college or Associate degree,Middle Atlantic
3234883277,Lottery A,No,Yes,No,No,Yes,No,No,,Female,> 60,"$0 - $24,999",Graduate degree,Middle Atlantic
3234882939,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234882580,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Rare,Male,45-60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234882106,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3234881800,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234880920,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East South Central
3234880918,Lottery B,No,Yes,No,No,No,Yes,No,,,,,,
3234880646,Lottery B,No,Yes,Yes,Yes,Yes,Yes,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
3234880264,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3234879461,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,,,,,
3234879259,Lottery B,No,Yes,No,No,No,Yes,No,,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234879079,Lottery A,No,Yes,No,No,Yes,No,No,,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central
3234878934,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3234878909,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234878810,Lottery A,No,No,No,No,Yes,No,Yes,Medium rare,Female,> 60,"$25,000 - $49,999",Bachelor degree,East North Central
3234877910,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Medium Well,Female,> 60,,Bachelor degree,West North Central
3234877192,Lottery A,Yes,No,No,No,No,No,No,,Female,> 60,"$25,000 - $49,999",High school degree,Pacific
3234877084,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,> 60,"$150,000+",Graduate degree,South Atlantic
3234876635,Lottery B,No,Yes,No,No,No,No,No,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234875056,Lottery B,No,No,No,No,Yes,No,Yes,Medium Well,Female,> 60,,Graduate degree,West North Central
3234874621,Lottery A,Yes,Yes,Yes,No,No,Yes,No,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3234874602,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234874404,Lottery A,Yes,Yes,Yes,No,Yes,Yes,Yes,Medium,Male,30-44,"$150,000+",Graduate degree,Middle Atlantic
3234872996,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central
3234872432,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,18-29,"$0 - $24,999",High school degree,Pacific
3234872191,Lottery B,No,No,No,No,No,No,No,,Female,> 60,"$25,000 - $49,999",Graduate degree,Middle Atlantic
3234871524,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Female,18-29,"$25,000 - $49,999",High school degree,West North Central
3234871363,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic
3234871337,Lottery B,Yes,No,Yes,No,Yes,No,No,,Female,> 60,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3234871274,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234871183,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$150,000+",Some college or Associate degree,Pacific
3234871078,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234870917,Lottery A,No,No,No,No,Yes,No,Yes,Medium rare,,,,,
3234870688,Lottery B,No,No,No,No,Yes,Yes,Yes,Medium,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
3234870354,Lottery B,Yes,No,No,No,No,No,Yes,Rare,Female,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3234870079,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,New England
3234870022,Lottery B,No,No,Yes,No,Yes,Yes,Yes,Well,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,New England
3234869539,Lottery A,No,Yes,Yes,,Yes,No,Yes,Medium rare,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234869188,Lottery A,Yes,No,No,Yes,No,No,Yes,Medium Well,Female,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic
3234868937,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Well,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific
3234868550,Lottery A,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234867846,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3234865587,Lottery A,No,No,No,No,No,No,No,,Female,18-29,"$100,000 - $149,999",High school degree,Mountain
3234864240,Lottery B,No,Yes,No,No,Yes,No,No,,Female,18-29,,Bachelor degree,West North Central
3234863826,Lottery B,No,Yes,Yes,No,No,No,Yes,Medium,Female,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3234863245,Lottery B,No,Yes,Yes,Yes,Yes,Yes,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234862267,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,18-29,,Graduate degree,South Atlantic
3234862159,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,,,,,
3234861177,Lottery B,No,Yes,Yes,No,Yes,No,No,,Female,18-29,"$0 - $24,999",Bachelor degree,East North Central
3234861097,Lottery B,,Yes,No,No,Yes,No,Yes,Rare,Male,18-29,"$50,000 - $99,999",High school degree,East North Central
3234860927,Lottery B,No,Yes,No,No,Yes,No,Yes,Well,,,,,
3234860196,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Male,45-60,"$150,000+",Graduate degree,West North Central
3234860125,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium,Female,> 60,,Graduate degree,East North Central
3234859600,Lottery A,No,No,No,No,Yes,No,Yes,Medium,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3234859369,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Female,> 60,,Some college or Associate degree,East South Central
3234859297,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium Well,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific
3234859155,Lottery B,No,No,No,No,Yes,No,Yes,Medium rare,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234858907,Lottery A,No,No,Yes,No,Yes,No,Yes,Well,Female,45-60,,Some college or Associate degree,East South Central
3234858733,Lottery B,No,Yes,No,No,Yes,No,No,,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific
3234858232,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Well,Male,45-60,"$100,000 - $149,999",Bachelor degree,South Atlantic
3234858171,Lottery B,No,No,Yes,No,Yes,No,Yes,Medium,Male,> 60,"$0 - $24,999",Bachelor degree,South Atlantic
3234858147,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
3234858015,Lottery B,No,No,No,No,Yes,No,No,,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,
3234858003,Lottery B,No,Yes,No,No,Yes,No,No,,Female,18-29,,Bachelor degree,East North Central
3234857772,Lottery B,Yes,Yes,No,No,Yes,No,Yes,Medium rare,Female,45-60,"$100,000 - $149,999",Graduate degree,East North Central
3234857573,Lottery A,No,No,No,No,Yes,No,No,,Female,45-60,"$150,000+",Graduate degree,West North Central
3234857554,Lottery B,No,No,No,No,No,No,Yes,Well,Male,30-44,,Graduate degree,Mountain
3234856888,Lottery B,No,No,No,No,Yes,No,Yes,Medium Well,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East South Central
3234856048,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,,,,,
3234855952,Lottery B,No,Yes,No,No,Yes,No,Yes,Well,Female,> 60,"$50,000 - $99,999",Bachelor degree,Pacific
3234855951,Lottery B,No,No,No,Yes,Yes,No,No,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,New England
3234855780,Lottery B,No,No,No,No,Yes,Yes,Yes,Medium Well,Female,18-29,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3234855514,Lottery A,No,Yes,Yes,No,Yes,Yes,Yes,Medium Well,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234855441,Lottery B,No,Yes,No,No,Yes,,Yes,Medium Well,Female,45-60,,Graduate degree,Middle Atlantic
3234855298,Lottery A,No,Yes,No,No,Yes,No,No,,Male,30-44,"$150,000+",Graduate degree,Pacific
3234855107,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Well,Male,> 60,"$0 - $24,999",Bachelor degree,West South Central
3234854914,Lottery B,No,Yes,Yes,No,Yes,Yes,Yes,Rare,Female,30-44,"$150,000+",Some college or Associate degree,Pacific
3234853658,Lottery B,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234853330,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium,Female,18-29,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234853280,Lottery B,Yes,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$150,000+",Graduate degree,Middle Atlantic
3234853259,Lottery A,No,Yes,No,No,Yes,Yes,Yes,Rare,Female,> 60,"$25,000 - $49,999",Graduate degree,Pacific
3234853178,Lottery B,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Male,> 60,,Bachelor degree,West North Central
3234853003,Lottery B,Yes,Yes,No,No,Yes,No,Yes,Well,Female,18-29,"$100,000 - $149,999",Less than high school degree,Pacific
3234852897,Lottery B,No,No,Yes,No,Yes,Yes,No,,Female,> 60,"$50,000 - $99,999",High school degree,East North Central
3234852790,Lottery A,No,Yes,No,Yes,Yes,No,No,,Female,18-29,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
3234852426,Lottery B,No,Yes,No,No,Yes,No,No,,Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central
3234852348,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central
3234852078,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium Well,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central
3234851715,Lottery A,Yes,Yes,Yes,No,Yes,No,No,,Female,30-44,"$100,000 - $149,999",High school degree,Middle Atlantic
3234851430,Lottery A,No,Yes,Yes,No,Yes,No,Yes,Medium rare,Female,18-29,"$150,000+",Bachelor degree,New England
3234850633,Lottery A,No,No,No,No,No,No,No,,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central
3234850595,Lottery B,,,,,,,,,,,,,
3234850216,Lottery B,No,Yes,No,No,Yes,No,No,,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
3234850078,Lottery A,No,Yes,No,No,Yes,No,Yes,Medium rare,Male,> 60,,Graduate degree,New England
