Rank,Major_code,Major,Major_category,Total,Men,Women,ShareWomen,Median
29,5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,2116,528,1588,0.75047259,46000
30,2105,INFORMATION SCIENCES,Computers & Mathematics,11913,9005,2908,0.244103081,45000
31,2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,27392,9306,0.253583302,45000
32,5007,PHYSICS,Physical Sciences,32142,23080,9062,0.281936407,45000
33,3701,APPLIED MATHEMATICS,Computers & Mathematics,4939,2794,2145,0.434298441,45000
34,3700,MATHEMATICS,Computers & Mathematics,72397,39956,32441,0.448098678,45000
35,3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,2960,3291,0.526475764,45000
36,3607,PHARMACOLOGY,Biology & Life Science,1762,515,1247,0.707718502,45000
37,6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,3916,11998,0.75392736,45000
38,5006,OCEANOGRAPHY,Physical Sciences,2418,752,1666,0.688999173,44700
39,2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,2400,506,0.174122505,44000
40,4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,500,109,0.178981938,42000
41,6104,MEDICAL ASSISTING SERVICES,Health,11123,803,10320,0.927807246,42000
42,2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,3046,1122,0.269193858,41300
43,4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831,1667,2164,0.56486557,41000
44,2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,4419,371,0.077453027,40000
45,2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,7043,1761,0.200022717,40000
46,5000,PHYSICAL SCIENCES,Physical Sciences,1436,894,542,0.377437326,40000
47,1401,ARCHITECTURE,Engineering,46420,25463,20957,0.451464886,40000
48,3605,GENETICS,Biology & Life Science,3635,1761,1874,0.515543329,40000
49,3603,MOLECULAR BIOLOGY,Biology & Life Science,18300,7426,10874,0.59420765,40000
50,6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,8697,14854,0.630716318,40000
51,5003,CHEMISTRY,Physical Sciences,66530,32923,33607,0.505140538,39000
52,3606,MICROBIOLOGY,Biology & Life Science,15232,6383,8849,0.580948004,38000
53,2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,6607,1459,0.180882718,37500
54,3601,BIOCHEMICAL SCIENCES,Biology & Life Science,39107,18951,20156,0.515406449,37400
55,3602,BOTANY,Biology & Life Science,1329,626,703,0.52896915,37000
56,2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,5291,2322,0.305004597,36400
57,5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,10972,5813,5159,0.470196865,36200
58,5005,GEOSCIENCES,Physical Sciences,1978,809,1169,0.591001011,36000
59,6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386,1589,11797,0.881293889,36000
60,1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,25965,10787,15178,0.584556133,35600
61,5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,4043,2744,1299,0.321296067,35000
62,2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,11431,6604,0.366176878,35000
63,5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,62052,27015,35037,0.564639335,35000
64,3608,PHYSIOLOGY,Biology & Life Science,22060,8422,13638,0.618223028,35000
65,3611,NEUROSCIENCE,Biology & Life Science,13663,4944,8719,0.63814682,35000
66,6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,4266,13843,0.764426528,35000
67,4002,NUTRITION SCIENCES,Health,18909,2563,16346,0.864456079,35000
68,6110,COMMUNITY AND PUBLIC HEALTH,Health,19735,4103,15632,0.792095262,34000
69,3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,10706,4747,5959,0.556603774,33500
70,6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,5521,7219,0.566640502,33500
71,3600,BIOLOGY,Biology & Life Science,280709,111762,168947,0.601858152,33400
72,3604,ECOLOGY,Biology & Life Science,9154,3878,5276,0.576360061,33000
73,6109,TREATMENT THERAPY PROFESSIONS,Health,48491,13487,35004,0.721865913,33000
74,6100,GENERAL MEDICAL AND HEALTH SERVICES,Health,33599,7574,26025,0.774576624,32400
75,6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,38279,1225,37054,0.967998119,28000
76,3609,ZOOLOGY,Biology & Life Science,8409,3050,5359,0.637293376,26000

