FOD1P,Major,Major_Category
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health
6109,TREATMENT THERAPY PROFESSIONS,Health
6110,COMMUNITY AND PUBLIC HEALTH,Health
6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health
1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
2601,LINGUISTICS AND COMPARATIVE LANGUAGE AND LITERATURE,Humanities & Liberal Arts
2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts
2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts
3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts
3302,COMPOSITION AND RHETORIC,Humanities & Liberal Arts
3401,LIBERAL ARTS,Humanities & Liberal Arts
3402,HUMANITIES,Humanities & Liberal Arts
4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts
4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts
4901,THEOLOGY AND RELIGIOUS VOCATIONS,Humanities & Liberal Arts
5502,ANTHROPOLOGY AND ARCHEOLOGY,Humanities & Liberal Arts
6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts
6402,HISTORY,Humanities & Liberal Arts
6403,UNITED STATES HISTORY,Humanities & Liberal Arts
2201,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services
3801,MILITARY TECHNOLOGIES,Industrial Arts & Consumer Services
4101,PHYSICAL FITNESS PARKS RECREATION AND LEISURE,Industrial Arts & Consumer Services
5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services
5701,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",Industrial Arts & Consumer Services
5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services
4000,MULTI/INTERDISCIPLINARY STUDIES,Interdisciplinary
3201,COURT REPORTING,Law & Public Policy
3202,PRE-LAW AND LEGAL STUDIES,Law & Public Policy
5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy
5401,PUBLIC ADMINISTRATION,Law & Public Policy
5402,PUBLIC POLICY,Law & Public Policy
bbbb ,N/A (less than bachelor's degree),NA
5000,PHYSICAL SCIENCES,Physical Sciences
5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences
5003,CHEMISTRY,Physical Sciences
5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences
5005,GEOSCIENCES,Physical Sciences
5006,OCEANOGRAPHY,Physical Sciences
5007,PHYSICS,Physical Sciences
5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences
5200,PSYCHOLOGY,Psychology & Social Work
5201,EDUCATIONAL PSYCHOLOGY,Psychology & Social Work
5202,CLINICAL PSYCHOLOGY,Psychology & Social Work
5203,COUNSELING PSYCHOLOGY,Psychology & Social Work
5205,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,Psychology & Social Work
5206,SOCIAL PSYCHOLOGY,Psychology & Social Work
5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work
5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work
5404,SOCIAL WORK,Psychology & Social Work
4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science
5500,GENERAL SOCIAL SCIENCES,Social Science
5501,ECONOMICS,Social Science
5503,CRIMINOLOGY,Social Science
5504,GEOGRAPHY,Social Science
5505,INTERNATIONAL RELATIONS,Social Science
5506,POLITICAL SCIENCE AND GOVERNMENT,Social Science
5507,SOCIOLOGY,Social Science
5599,MISCELLANEOUS SOCIAL SCIENCES,Social Science
