president,president_name,title,date,city,state,building,room
41,George H.W. Bush,"Remarks at the Hampton University Commencement Ceremony in Hampton, Virginia",5/12/91,Hampton,VA,,
41,George H.W. Bush,"Remarks at the Yale University Commencement Ceremony in New Haven, Connecticut",5/27/91,New Haven,CT,,
41,George H.W. Bush,"Remarks at the United States Air Force Academy Commencement Ceremony in Colorado Springs, Colorado",5/29/91,Colorado Springs,CO,,
41,George H.W. Bush,"Remarks at the Federal Bureau of Investigation Academy Commencement Ceremony in Quantico, Virginia",5/30/91,Quantico,VA,,
41,George H.W. Bush,"Remarks at the United States Military Academy Commencement Ceremony in West Point, New York",6/1/91,West Point,NY,,
41,George H.W. Bush,"Remarks at the James H. Groves Adult High School Commencement Ceremony in Seaford, Delaware",6/11/91,Seaford,DE,,
41,George H.W. Bush,"Remarks at the California Institute of Technology Commencement Ceremony in Pasadena, California",6/14/91,Pasadena,CA,,
41,George H.W. Bush,"Remarks at the Florida International University Commencement Ceremony in Miami Beach, Florida",4/27/92,Miami Beach,FL,,
41,George H.W. Bush,"Remarks at the Southern Methodist University Commencement Ceremony in Dallas, Texas",5/16/92,Dallas,TX,,
41,George H.W. Bush,"Remarks at the University of Notre Dame Commencement Ceremony in South Bend, Indiana",5/17/92,South Bend,IN,,
41,George H.W. Bush,"Remarks at the United States Naval Academy Commencement Ceremony in Annapolis, Maryland",5/27/92,Annapolis,MD,,
42,Bill Clinton,"Remarks at the New Hampshire Technical College Commencement Ceremony in Stratham, New Hampshire",5/22/93,Stratham,NH,,
42,Bill Clinton,"Remarks at the United States Military Academy Commencement Ceremony in West Point, New York",5/29/93,West Point,NY,,
42,Bill Clinton,"Remarks at the Northeastern University Commencement Ceremony in Boston, Massachusetts",6/19/93,Boston,MA,,
42,Bill Clinton,Remarks at the Gallaudet University Commencement Ceremony,5/13/94,Washington,DC,Gallaudet University,unknown
42,Bill Clinton,"Remarks at the United States Naval Academy Commencement Ceremony in Annapolis, Maryland",5/25/94,Annapolis,MD,,
42,Bill Clinton,"Remarks at the Michigan State University Commencement Ceremony in East Lansing, Michigan",5/5/95,East Lansing,MI,,
42,Bill Clinton,"Remarks at the United States Air Force Academy Commencement Ceremony in Colorado Springs, Colorado",5/31/95,Colorado Springs,CO,,
42,Bill Clinton,"Remarks at the Dartmouth College Commencement Ceremony in Hanover, New Hampshire",6/11/95,Hanover,NH,,
42,Bill Clinton,"Remarks at the Pennsylvania State University Graduate School Commencement in State College, Pennsylvania",5/10/96,State College,PA,,
42,Bill Clinton,"Remarks at the United States Coast Guard Academy Commencement in New London, Connecticut",5/22/96,New London,CT,,
42,Bill Clinton,"Remarks at the Princeton University Commencement Ceremony in Princeton, New Jersey",6/4/96,Princeton,NJ,,
42,Bill Clinton,"Commencement Address at Morgan State University in Baltimore, Maryland",5/18/97,Baltimore,MD,,
42,Bill Clinton,"Commencement Address at the United States Military Academy in West Point, New York",5/31/97,West Point,NY,,
42,Bill Clinton,Commencement Address at the Sidwell Friends School,6/6/97,Washington,DC,Sidwell Friends School,Gymnasium
42,Bill Clinton,"Commencement Address at the University of California San Diego in La Jolla, California",6/14/97,La Jolla,CA,University of California,
42,Bill Clinton,Remarks at a Commencement Luncheon at the University of California San Diego in La Jolla,6/14/97,La Jolla,CA,University of California,
42,Bill Clinton,"Commencement Address at the United States Naval Academy in Annapolis, Maryland",5/22/98,Annapolis,MD,,
42,Bill Clinton,"Commencement Address at the Massachusetts Institute of Technology in Cambridge, Massachusetts",6/5/98,Cambridge,MA,,
42,Bill Clinton,"Commencement Address at Portland State University in Portland, Oregon",6/13/98,Portland,OR,,
42,Bill Clinton,"Commencement Address at Grambling State University in Grambling, Louisiana",5/23/99,Grambling,LA,,
42,Bill Clinton,Commencement Address at the United States Air Force Academy in Colorado Springs,6/2/99,Colorado Springs,CO,,
42,Bill Clinton,"Commencement Address at the University of Chicago in Chicago, Illinois",6/12/99,Chicago,IL,,
42,Bill Clinton,"Commencement Address at Eastern Michigan University in Ypsilanti, Michigan",4/30/00,Ypsilanti,MI,,
42,Bill Clinton,"Commencement Address at the United States Coast Guard Academy in New London, Connecticut",5/17/00,New London,CT,,
42,Bill Clinton,"Commencement Address at Carleton College in Northfield, Minnesota",6/10/00,Northfield,MN,,
43,George W. Bush,"Commencement Address at the University of Notre Dame in Notre Dame, Indiana",5/20/01,Notre Dame,IN,,
43,George W. Bush,"Commencement Address at Yale University in New Haven, Connecticut",5/21/01,New Haven,CT,,
43,George W. Bush,"Commencement Address at the United States Naval Academy in Annapolis, Maryland",5/25/01,Annapolis,MD,,
43,George W. Bush,"Commencement Address at the United States Military Academy in West Point, New York",6/1/02,West Point,NY,,
43,George W. Bush,"Commencement Address at Ohio State University in Columbus, Ohio",6/14/02,Columbus,OH,,
43,George W. Bush,"Commencement Address at the University of South Carolina in Columbia, South Carolina",5/9/03,Columbia,SC,,
43,George W. Bush,"Commencement Address at the United States Coast Guard Academy in New London, Connecticut",5/21/03,New London,CT,,
43,George W. Bush,"Commencement Address at Concordia University Wisconsin in Mequon, Wisconsin",5/14/04,Mequon,WI,,
43,George W. Bush,"Commencement Address at Louisiana State University in Baton Rouge, Louisiana",5/21/04,Baton Rouge,LA,,
43,George W. Bush,"Commencement Address at the United States Air Force Academy in Colorado Springs, Colorado",6/2/04,Colorado Springs,CO,,
43,George W. Bush,"Commencement Address at Calvin College in Grand Rapids, Michigan",5/21/05,Grand Rapids,MI,,
43,George W. Bush,"Commencement Address at the United States Naval Academy in Annapolis, Maryland",5/27/05,Annapolis,MD,,
43,George W. Bush,"Commencement Address at Oklahoma State University in Stillwater, Oklahoma",5/6/06,Stillwater,OK,,
43,George W. Bush,"Commencement Address at Mississippi Gulf Coast Community College in Biloxi, Mississippi",5/11/06,Biloxi,MS,,
43,George W. Bush,"Commencement Address at the United States Military Academy in West Point, New York",5/27/06,West Point,NY,,
43,George W. Bush,"Commencement Address at the United States Merchant Marine Academy in Kings Point, New York",6/19/06,Kings Point,NY,,
43,George W. Bush,"Commencement Address at Miami Dade College&mdash;Kendall Campus in Miami, Florida",4/28/07,Miami,FL,,
43,George W. Bush,"Commencement Address at Saint Vincent College in Latrobe, Pennsylvania",5/11/07,Latrobe,PA,Saint Vincent College,Robert S. Carey Student Center
43,George W. Bush,"Commencement Address at the United States Coast Guard Academy in New London, Connecticut",5/23/07,New London,CT,,
43,George W. Bush,"Commencement Address at Greensburg High School in Greensburg, Kansas",5/4/08,Greensburg,KS,Greensburg High School,
43,George W. Bush,"Commencement Address at the United States Air Force Academy in Colorado Springs, Colorado",5/28/08,Colorado Springs,CO,Air Force Academy,
43,George W. Bush,"Commencement Address at Furman University in Greenville, South Carolina",5/31/08,Greenville,SC,Furman University,Paladin Stadium
43,George W. Bush,"Commencement Address at Texas A&amp;M University in College Station, Texas",12/12/08,College Station,TX,Texas A&M University,
44,Barack Obama,Commencement Address at Arizona State University in Tempe,5/13/09,Tempe,AZ,Arizona State University,Sun Devil Stadium
44,Barack Obama,"Commencement Address at the University of Notre Dame in South Bend, Indiana",5/17/09,South Bend,IN,University of Notre Dame,
44,Barack Obama,"Commencement Address at the United States Naval Academy in Annapolis, Maryland",5/22/09,Annapolis,MD,United States Naval Academy,
44,Barack Obama,"Commencement Address at the University of Michigan in Ann Arbor, Michigan",5/1/10,Ann Arbor,MI,University of Michigan,Michigan Stadium
44,Barack Obama,"Commencement Address at Hampton University in Hampton, Virginia",5/9/10,Hampton,VA,Hampton University,
44,Barack Obama,"Commencement Address at the United States Military Academy in West Point, New York",5/22/10,West Point,NY,U.S. Military Academy,Michie Stadium
44,Barack Obama,"Commencement Address at Kalamazoo Central High School in Kalamazoo, Michigan",6/7/10,Kalamazoo,MI,Western Michigan University,Arena
44,Barack Obama,"Commencement Address at Miami Dade College in Miami, Florida",4/29/11,Miami,FL,Miami Dade College,James L. Knight International Center
44,Barack Obama,Commencement Address at Booker T. Washington High School in Memphis,5/16/11,Memphis,TN,Memphis Cook Convention Center,unknown
44,Barack Obama,"Commencement Address at the United States Coast Guard Academy in New London, Connecticut",5/18/11,New London,CT,United States Coast Guard Academy,unknown
44,Barack Obama,Commencement Address for Barnard College in New York City,5/14/12,New York,NY,Columbia University,South Lawn
44,Barack Obama,"Commencement Address for Joplin High School in Joplin, Missouri",5/21/12,Joplin,MO,Missouri Southern State University,Leggett & Platt Athletic Center
44,Barack Obama,"Commencement Address at the United States Air Force Academy in Colorado Springs, Colorado",5/23/12,Colorado Springs,CO,United States Air Force Academy,unknown
44,Barack Obama,"Commencement Address at Ohio State University in Columbus, Ohio",5/5/13,Columbus,OH,Ohio State University,Ohio Stadium
44,Barack Obama,"Commencement Address at Morehouse College in Atlanta, Georgia",5/19/13,Atlanta,GA,Morehouse College,Century Campus
44,Barack Obama,"Commencement Address at the United States Naval Academy in Annapolis, Maryland",5/24/13,Annapolis,MD,United States Naval Academy,Navy-Marine Corps Memorial Stadium
44,Barack Obama,"Commencement Address at the United States Military Academy in West Point, New York",5/28/14,West Point,NY,United States Military Academy,Michie Stadium
44,Barack Obama,"Commencement Address at Worcester Technical High School in Worcester, Massachusetts",6/11/14,Worcester,MA,Worcester Technical High School,DCU Center
44,Barack Obama,"Commencement Address at the University of California-Irvine in Anaheim, CA",6/14/14,Anaheim,CA,Angel Stadium,na
44,Barack Obama,"Commencement Address at Lake Area Technical Institute in Watertown, South Dakota",5/8/15,Watertown,SD,Lake Area Technical Institute,Watertown Civic Arena
44,Barack Obama,"Commencement Address at the United States Coast Guard Academy in New London, Connecticut",5/20/15,New London,CT,United States Coast Guard Academy,unknown
