date,major_category,detail
8/16/15,Noncampaign,
8/17/15,Noncampaign,
8/18/15,Trump - polls,Polls - good results for Trump
8/19/15,Trump - polls,Polls - good results for Trump
8/20/15,GOP campaign,general
8/21/15,Dem. campaign,Clinton
8/22/15,Noncampaign,
8/23/15,Dem. campaign,Biden
8/24/15,Noncampaign,
8/25/15,Dem. campaign,Biden
8/26/15,Noncampaign,
8/27/15,Noncampaign,
8/28/15,Dem. campaign,Clinton
8/29/15,Dem. campaign,Sanders
8/30/15,Trump - polls,Polls - neutral or ambiguous results for Trump
8/31/15,Trump - other,Trump vs. Bush
9/1/15,Trump - other,Trump reaction to Mt. McKinley renaming
9/2/15,Dem. campaign,Clinton
9/3/15,Trump - vs. GOP,Trump signs GOP loyalty pledge
9/4/15,Trump - other,Trump Hugh Hewitt interview
9/5/15,Trump - polls,Polls - good results for Trump
9/6/15,Noncampaign,
9/7/15,Trump - other,Trump economic policy
9/8/15,Noncampaign,
9/9/15,Dem. campaign,Clinton
9/10/15,Trump - comments,Trump comments on Fiorina's appearance
9/11/15,Trump - comments,Trump comments on Fiorina's appearance
9/12/15,Noncampaign,
9/13/15,Dem. campaign,Clinton
9/14/15,Noncampaign,
9/15/15,Trump - polls,Polls - good results for Trump
9/16/15,Noncampaign,
9/17/15,Trump - other,Trump vs. Fiorina
9/18/15,GOP campaign,general
9/19/15,Trump - other,"""Birther"" controversy"
9/20/15,Trump - polls,Polls - bad results for Trump
9/21/15,GOP campaign,Carson
9/22/15,GOP campaign,Walker
9/23/15,Dem. campaign,Biden
9/24/15,Noncampaign,
9/25/15,Noncampaign,
9/26/15,Noncampaign,
9/27/15,GOP campaign,general
9/28/15,Noncampaign,
9/29/15,Noncampaign,
9/30/15,Noncampaign,
10/1/15,Noncampaign,
10/2/15,Noncampaign,
10/3/15,GOP campaign,Bush
10/4/15,Noncampaign,
10/5/15,Noncampaign,
10/6/15,Noncampaign,
10/7/15,Dem. campaign,Biden
10/8/15,GOP campaign,Carson
10/9/15,Noncampaign,
10/10/15,Noncampaign,
10/11/15,GOP campaign,Bush
10/12/15,Dem. campaign,Clinton
10/13/15,Dem. campaign,Sanders
10/14/15,Dem. campaign,general
10/15/15,Dem. campaign,Clinton
10/16/15,Dem. campaign,Clinton
10/17/15,GOP campaign,Bush
10/18/15,Noncampaign,
10/19/15,Noncampaign,
10/20/15,GOP campaign,Cruz
10/21/15,Trump - polls,Polls - good results for Trump
10/22/15,Noncampaign,
10/23/15,Noncampaign,
10/24/15,Trump - other,Trump vs. Carson
10/25/15,GOP campaign,Carson
10/26/15,GOP campaign,general
10/27/15,Trump - polls,Polls - bad results for Trump
10/28/15,GOP campaign,general
10/29/15,GOP campaign,general
10/30/15,GOP campaign,general
10/31/15,GOP campaign,Rubio
11/1/15,GOP campaign,Cruz
11/2/15,GOP campaign,general
11/3/15,GOP campaign,general
11/4/15,GOP campaign,general
11/5/15,GOP campaign,Carson
11/6/15,GOP campaign,Carson
11/7/15,GOP campaign,Carson
11/8/15,GOP campaign,Carson
11/9/15,Dem. campaign,Sanders
11/10/15,GOP campaign,general
11/11/15,GOP campaign,general
11/12/15,GOP campaign,general
11/13/15,Trump - comments,"Trump comments on Carson resembling ""child molester"""
11/14/15,Noncampaign,
11/15/15,Dem. campaign,Sanders
11/16/15,Noncampaign,
11/17/15,Noncampaign,
11/18/15,Noncampaign,
11/19/15,Trump - other,Trump reactions to Paris attacks
11/20/15,Noncampaign,
11/21/15,Trump - other,Trump proposes to register Muslims
11/22/15,Trump - vs. GOP,Trump threatens third-party run
11/23/15,Trump - comments,"Trump says thousads of Muslims ""celebrated"" 9-11"
11/24/15,Noncampaign,
11/25/15,Noncampaign,
11/26/15,Noncampaign,
11/27/15,Noncampaign,
11/28/15,Noncampaign,
11/29/15,Noncampaign,
11/30/15,GOP campaign,Rubio
12/1/15,GOP campaign,Cruz
12/2/15,GOP campaign,Carson
12/3/15,Noncampaign,
12/4/15,Noncampaign,
12/5/15,Noncampaign,
12/6/15,Noncampaign,
12/7/15,Noncampaign,
12/8/15,Trump - other,Trump proposes Muslim immigration ban
12/9/15,Trump - vs. GOP,Trump vs. GOP establishment
12/10/15,Trump - other,White supremicist support for Trump
12/11/15,Trump - vs. GOP,Possible contested convention
12/12/15,Trump - vs. GOP,Trump vs. GOP establishment
12/13/15,Trump - polls,Polls - neutral or ambiguous results for Trump
12/14/15,GOP campaign,Cruz
12/15/15,Noncampaign,
12/16/15,GOP campaign,Cruz
12/17/15,Noncampaign,
12/18/15,Dem. campaign,Sanders
12/19/15,Dem. campaign,Sanders
12/20/15,Dem. campaign,general
12/21/15,GOP campaign,Graham
12/22/15,Trump - comments,"""Schlonged"" comments"
12/23/15,GOP campaign,Cruz
12/24/15,Noncampaign,
12/25/15,Noncampaign,
12/26/15,Noncampaign,
12/27/15,Trump - vs. GOP,Trump vs. GOP establishment
12/28/15,Trump - polls,Polls - good results for Trump
12/29/15,Trump - comments,Trump remarks on Clinton marriage
12/30/15,Noncampaign,
12/31/15,Trump - polls,Polls - neutral or ambiguous results for Trump
1/1/16,Noncampaign,
1/2/16,Trump - other,Anti-Trump Rose Parade skywriting
1/3/16,Noncampaign,
1/4/16,Trump - other,Trump first TV ad
1/5/16,Noncampaign,
1/6/16,Noncampaign,
1/7/16,GOP campaign,Cruz
1/8/16,GOP campaign,Bush
1/9/16,GOP campaign,Cruz
1/10/16,Noncampaign,
1/11/16,Dem. campaign,Clinton
1/12/16,Dem. campaign,general
1/13/16,Trump - polls,Polls - neutral or ambiguous results for Trump
1/14/16,Noncampaign,
1/15/16,Trump - other,Post-debate reaction
1/16/16,Trump - vs. GOP,Trump vs. GOP establishment
1/17/16,Trump - other,Trump remarks on Iran prisoners
1/18/16,Dem. campaign,Sanders
1/19/16,Trump - other,Liberty University speech
1/20/16,Dem. campaign,Clinton
1/21/16,Trump - vs. GOP,Trump vs. GOP establishment
1/22/16,Trump - vs. GOP,Trump vs. GOP establishment
1/23/16,Dem. campaign,general
1/24/16,Dem. campaign,general
1/25/16,Dem. campaign,general
1/26/16,Trump - vs. GOP,Trump vs. GOP establishment
1/27/16,Noncampaign,
1/28/16,Trump - other,Trump skips debate
1/29/16,Trump - other,Trump skips debate
1/30/16,Dem. campaign,Clinton
1/31/16,Trump - polls,Polls - good results for Trump
2/1/16,Trump - polls,Polls - neutral or ambiguous results for Trump
2/2/16,Dem. campaign,general
2/3/16,Dem. campaign,general
2/4/16,Dem. campaign,general
2/5/16,Dem. campaign,general
2/6/16,Trump - comments,"""Go f---"" themselves"" comments"
2/7/16,GOP campaign,Rubio
2/8/16,GOP campaign,general
2/9/16,Dem. campaign,Clinton
2/10/16,Trump - vs. GOP,Trump vs. GOP establishment
2/11/16,GOP campaign,Rubio
2/12/16,Trump - other,Trump vs. Cruz
2/13/16,GOP campaign,general
2/14/16,Noncampaign,
2/15/16,Noncampaign,
2/16/16,Noncampaign,
2/17/16,Dem. campaign,general
2/18/16,Trump - polls,Polls - good results for Trump
2/19/16,Trump - polls,Polls - bad results for Trump
2/20/16,Trump - comments,"""Pigs blood"" comments"
2/21/16,Trump - other,South Carolina results
2/22/16,Noncampaign,
2/23/16,GOP campaign,Cruz
2/24/16,Trump - other,Nevada results
2/25/16,Trump - vs. GOP,Trump vs. GOP establishment
2/26/16,Trump - other,Trump vs. Rubio
2/27/16,Trump - vs. GOP,Trump vs. GOP establishment
2/28/16,Dem. campaign,Clinton
2/29/16,Trump - vs. GOP,Trump vs. GOP establishment
3/1/16,Trump - polls,Polls - bad results for Trump
3/2/16,GOP campaign,Kasich
3/3/16,Trump - vs. GOP,Mitt Romney criticism of Trump
3/4/16,Trump - comments,Hand size comments
3/5/16,Trump - vs. GOP,Trump vs. GOP establishment
3/6/16,Trump - polls,Polls - good results for Trump
3/7/16,Trump - vs. GOP,Trump vs. GOP establishment
3/8/16,Trump - polls,Polls - neutral or ambiguous results for Trump
3/9/16,Trump - polls,Polls - good results for Trump
3/10/16,Trump - other,Trump - vs. GOP
3/11/16,Trump - other,Post-debate reaction
3/12/16,Trump - other,Chicago rally protests and cancellation
3/13/16,Trump - polls,Polls - good results for Trump
3/14/16,Trump - other,Michelle Fields / Corey Lewandowski incident
3/15/16,Trump - polls,Polls - good results for Trump
3/16/16,Trump - other,March 15 primaries results
3/17/16,Trump - other,Trump vs. Rubio
3/18/16,Noncampaign,
3/19/16,Trump - other,Trump and Supreme Court
3/20/16,Trump - other,Tucson rally / Corey Lewandowski incident
3/21/16,Trump - vs. GOP,Trump vs. GOP establishment
3/22/16,Noncampaign,
3/23/16,GOP campaign,Cruz
3/24/16,Dem. campaign,general
3/25/16,Trump - vs. GOP,Possible contested convention
3/26/16,GOP campaign,Cruz
3/27/16,Dem. campaign,Sanders
