phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval
assistance, ,12,6,18,52.17,22.22,3.095008052,0.078532764
plans, ,12,6,18,52.17,22.22,3.095008052,0.078532764
washington, ,18,11,29,78.26,40.74,3.014548281,0.082520443
successful, ,5,14,19,21.74,51.85,2.963725739,0.085151523
population, ,5,14,19,21.74,51.85,2.963725739,0.085151523
income tax,economy/fiscal issues,5,14,19,21.74,51.85,2.963725739,0.085151523
men women, ,5,14,19,21.74,51.85,2.963725739,0.085151523
make sure, ,19,12,31,82.61,44.44,2.91771856,0.087611655
basic, ,13,7,20,56.52,25.93,2.906602254,0.088217549
allowing, ,4,12,16,17.39,44.44,2.84057971,0.091911049
responders, ,4,12,16,17.39,44.44,2.84057971,0.091911049
commission, ,4,12,16,17.39,44.44,2.84057971,0.091911049
regulations, ,4,12,16,17.39,44.44,2.84057971,0.091911049
14, ,4,12,16,17.39,44.44,2.84057971,0.091911049
duty, ,4,12,16,17.39,44.44,2.84057971,0.091911049
nearly billion, ,1,6,7,4.35,22.22,2.83436853,0.092267065
expand access, ,1,6,7,4.35,22.22,2.83436853,0.092267065
members house senate, ,1,6,7,4.35,22.22,2.83436853,0.092267065
best possible, ,1,6,7,4.35,22.22,2.83436853,0.092267065
fellow citizens, ,1,6,7,4.35,22.22,2.83436853,0.092267065
high demand,economy/fiscal issues,1,6,7,4.35,22.22,2.83436853,0.092267065
old, ,20,13,33,86.96,48.15,2.834187283,0.092277476
background, ,9,4,13,39.13,14.81,2.824352781,0.092844313
democracy, ,9,4,13,39.13,14.81,2.824352781,0.092844313
practices, ,9,4,13,39.13,14.81,2.824352781,0.092844313
permanent, ,9,4,13,39.13,14.81,2.824352781,0.092844313
adult, ,9,4,13,39.13,14.81,2.824352781,0.092844313
people state, ,14,8,22,60.87,29.63,2.75479432,0.096963285
succeed, ,14,8,22,60.87,29.63,2.75479432,0.096963285
prisons,crime/justice,3,10,13,13.04,37.04,2.750030967,0.097252545
scholarships,education,3,10,13,13.04,37.04,2.750030967,0.097252545
300, ,3,10,13,13.04,37.04,2.750030967,0.097252545
add, ,3,10,13,13.04,37.04,2.750030967,0.097252545
appreciate, ,3,10,13,13.04,37.04,2.750030967,0.097252545
sacrifice, ,3,10,13,13.04,37.04,2.750030967,0.097252545
public safety,crime/justice,7,17,24,30.43,62.96,2.737788513,0.098000306
competitive,economy/fiscal issues,7,17,24,30.43,62.96,2.737788513,0.098000306
look forward, ,7,17,24,30.43,62.96,2.737788513,0.098000306
given, ,7,17,24,30.43,62.96,2.737788513,0.098000306
collaboration, ,2,8,10,8.7,29.63,2.721417069,0.09901008
school district,education,2,8,10,8.7,29.63,2.721417069,0.09901008
improved, ,2,8,10,8.7,29.63,2.721417069,0.09901008
targeted, ,2,8,10,8.7,29.63,2.721417069,0.09901008
regulatory, ,2,8,10,8.7,29.63,2.721417069,0.09901008
600, ,2,8,10,8.7,29.63,2.721417069,0.09901008
testing, ,2,8,10,8.7,29.63,2.721417069,0.09901008
quality education,education,2,8,10,8.7,29.63,2.721417069,0.09901008
keeps, ,2,8,10,8.7,29.63,2.721417069,0.09901008
plant, ,2,8,10,8.7,29.63,2.721417069,0.09901008
customers, ,2,8,10,8.7,29.63,2.721417069,0.09901008
people working, ,2,8,10,8.7,29.63,2.721417069,0.09901008
percent increase, ,2,8,10,8.7,29.63,2.721417069,0.09901008
dedication, ,2,8,10,8.7,29.63,2.721417069,0.09901008
foster care,education,2,8,10,8.7,29.63,2.721417069,0.09901008
today state, ,6,2,8,26.09,7.41,2.708534622,0.09981264
let start, ,6,2,8,26.09,7.41,2.708534622,0.09981264
thank service, ,6,2,8,26.09,7.41,2.708534622,0.09981264
affordable health, ,6,2,8,26.09,7.41,2.708534622,0.09981264
access health care,health care,6,2,8,26.09,7.41,2.708534622,0.09981264
congressional delegation, ,6,2,8,26.09,7.41,2.708534622,0.09981264
good job,economy/fiscal issues,6,2,8,26.09,7.41,2.708534622,0.09981264
wants, ,10,5,15,43.48,18.52,2.579173376,0.108278194
small business,economy/fiscal issues,10,5,15,43.48,18.52,2.579173376,0.108278194
food, ,10,5,15,43.48,18.52,2.579173376,0.108278194
age, ,10,5,15,43.48,18.52,2.579173376,0.108278194
farmers, ,10,5,15,43.48,18.52,2.579173376,0.108278194
remains, ,6,15,21,26.09,55.56,2.567977916,0.109047041
key, ,6,15,21,26.09,55.56,2.567977916,0.109047041
god, ,13,26,39,56.52,96.3,2.519055287,0.112477951
approved, ,5,13,18,21.74,48.15,2.406154947,0.120858897
educational,education,5,13,18,21.74,48.15,2.406154947,0.120858897
red, ,5,13,18,21.74,48.15,2.406154947,0.120858897
bless great, ,5,13,18,21.74,48.15,2.406154947,0.120858897
despite, ,11,6,17,47.83,22.22,2.394714408,0.121745982
let work, ,11,6,17,47.83,22.22,2.394714408,0.121745982
easier, ,11,6,17,47.83,22.22,2.394714408,0.121745982
stop, ,18,12,30,78.26,44.44,2.367149758,0.123913109
finally, ,18,12,30,78.26,44.44,2.367149758,0.123913109
skills, ,10,21,31,43.48,77.78,2.356708742,0.12474513
set, ,10,21,31,43.48,77.78,2.356708742,0.12474513
state want, ,4,1,5,17.39,3.7,2.32689211,0.127155523
start business, ,4,1,5,17.39,3.7,2.32689211,0.127155523
unemployment rate lowest,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523
family leave, ,4,1,5,17.39,3.7,2.32689211,0.127155523
expanded medicaid,health care,4,1,5,17.39,3.7,2.32689211,0.127155523
support need, ,4,1,5,17.39,3.7,2.32689211,0.127155523
state great, ,4,1,5,17.39,3.7,2.32689211,0.127155523
help state, ,4,1,5,17.39,3.7,2.32689211,0.127155523
facing state, ,4,1,5,17.39,3.7,2.32689211,0.127155523
air water,energy/environment,4,1,5,17.39,3.7,2.32689211,0.127155523
today stand, ,4,1,5,17.39,3.7,2.32689211,0.127155523
equal rights, ,4,1,5,17.39,3.7,2.32689211,0.127155523
education health, ,4,1,5,17.39,3.7,2.32689211,0.127155523
eager work, ,4,1,5,17.39,3.7,2.32689211,0.127155523
work day, ,4,1,5,17.39,3.7,2.32689211,0.127155523
decades ago, ,4,1,5,17.39,3.7,2.32689211,0.127155523
state funding,economy/fiscal issues,4,1,5,17.39,3.7,2.32689211,0.127155523
need continue, ,4,1,5,17.39,3.7,2.32689211,0.127155523
progress past, ,4,1,5,17.39,3.7,2.32689211,0.127155523
rapidly changing, ,4,1,5,17.39,3.7,2.32689211,0.127155523
need invest, ,4,1,5,17.39,3.7,2.32689211,0.127155523
partisan issue, ,4,1,5,17.39,3.7,2.32689211,0.127155523
paid family leave, ,4,1,5,17.39,3.7,2.32689211,0.127155523
place people, ,4,1,5,17.39,3.7,2.32689211,0.127155523
public lands,energy/environment,4,1,5,17.39,3.7,2.32689211,0.127155523
year degree,education,4,1,5,17.39,3.7,2.32689211,0.127155523
training programs,education,4,1,5,17.39,3.7,2.32689211,0.127155523
children future,education,4,1,5,17.39,3.7,2.32689211,0.127155523
skilled workforce, ,4,1,5,17.39,3.7,2.32689211,0.127155523
signed executive, ,4,1,5,17.39,3.7,2.32689211,0.127155523
administration work, ,4,1,5,17.39,3.7,2.32689211,0.127155523
make decisions, ,4,1,5,17.39,3.7,2.32689211,0.127155523
make easier, ,4,1,5,17.39,3.7,2.32689211,0.127155523
rural communities, ,7,3,10,30.43,11.11,2.31884058,0.127815263
southern, ,7,3,10,30.43,11.11,2.31884058,0.127815263
disagree, ,7,3,10,30.43,11.11,2.31884058,0.127815263
democratic, ,7,3,10,30.43,11.11,2.31884058,0.127815263
need help, ,7,3,10,30.43,11.11,2.31884058,0.127815263
achievement, ,7,3,10,30.43,11.11,2.31884058,0.127815263
employee,economy/fiscal issues,7,3,10,30.43,11.11,2.31884058,0.127815263
pockets, ,7,3,10,30.43,11.11,2.31884058,0.127815263
strongly, ,7,3,10,30.43,11.11,2.31884058,0.127815263
meeting, ,7,3,10,30.43,11.11,2.31884058,0.127815263
childhood education,education,7,3,10,30.43,11.11,2.31884058,0.127815263
union, ,7,3,10,30.43,11.11,2.31884058,0.127815263
early childhood education,education,7,3,10,30.43,11.11,2.31884058,0.127815263
discussion, ,7,3,10,30.43,11.11,2.31884058,0.127815263
rail, ,7,3,10,30.43,11.11,2.31884058,0.127815263
agreement, ,7,3,10,30.43,11.11,2.31884058,0.127815263
foster, ,4,11,15,17.39,40.74,2.257112185,0.133001874
developing, ,4,11,15,17.39,40.74,2.257112185,0.133001874
tape, ,4,11,15,17.39,40.74,2.257112185,0.133001874
retain, ,4,11,15,17.39,40.74,2.257112185,0.133001874
continues, ,4,11,15,17.39,40.74,2.257112185,0.133001874
known, ,4,11,15,17.39,40.74,2.257112185,0.133001874
wage,economy/fiscal issues,12,7,19,52.17,25.93,2.251801,0.133458996
violence,crime/justice,12,7,19,52.17,25.93,2.251801,0.133458996
housing, ,12,7,19,52.17,25.93,2.251801,0.133458996
changes, ,12,7,19,52.17,25.93,2.251801,0.133458996
prepare, ,12,7,19,52.17,25.93,2.251801,0.133458996
end, ,20,14,34,86.96,51.85,2.250828834,0.133542858
supporting, ,13,8,21,56.52,29.63,2.138562994,0.143636383
longer, ,13,8,21,56.52,29.63,2.138562994,0.143636383
starting, ,13,8,21,56.52,29.63,2.138562994,0.143636383
benefits, ,13,8,21,56.52,29.63,2.138562994,0.143636383
issues, ,11,22,33,47.83,81.48,2.13150832,0.144298703
prices, ,3,9,12,13.04,33.33,2.130434783,0.144399792
surplus,economy/fiscal issues,3,9,12,13.04,33.33,2.130434783,0.144399792
grand, ,3,9,12,13.04,33.33,2.130434783,0.144399792
tremendous, ,3,9,12,13.04,33.33,2.130434783,0.144399792
annual, ,3,9,12,13.04,33.33,2.130434783,0.144399792
view, ,3,9,12,13.04,33.33,2.130434783,0.144399792
correctional,crime/justice,3,9,12,13.04,33.33,2.130434783,0.144399792
bless, ,13,25,38,56.52,92.59,2.126281888,0.144791599
federal state, ,1,5,6,4.35,18.52,2.078368223,0.149399814
elected leaders, ,1,5,6,4.35,18.52,2.078368223,0.149399814
department corrections, ,1,5,6,4.35,18.52,2.078368223,0.149399814
american dream, ,1,5,6,4.35,18.52,2.078368223,0.149399814
best brightest,education,1,5,6,4.35,18.52,2.078368223,0.149399814
people don, ,1,5,6,4.35,18.52,2.078368223,0.149399814
people live, ,1,5,6,4.35,18.52,2.078368223,0.149399814
budget provides,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
dignity work,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
job creators,economy/fiscal issues,1,5,6,4.35,18.52,2.078368223,0.149399814
people people, ,1,5,6,4.35,18.52,2.078368223,0.149399814
governor office, ,1,5,6,4.35,18.52,2.078368223,0.149399814
programs state, ,1,5,6,4.35,18.52,2.078368223,0.149399814
years years, ,1,5,6,4.35,18.52,2.078368223,0.149399814
join recognizing, ,1,5,6,4.35,18.52,2.078368223,0.149399814
willingness serve, ,1,5,6,4.35,18.52,2.078368223,0.149399814
let talk, ,1,5,6,4.35,18.52,2.078368223,0.149399814
people work, ,8,4,12,34.78,14.81,2.063338701,0.150879274
create jobs,economy/fiscal issues,8,4,12,34.78,14.81,2.063338701,0.150879274
aisle, ,8,4,12,34.78,14.81,2.063338701,0.150879274
gun,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274
dr,health care,8,4,12,34.78,14.81,2.063338701,0.150879274
preserve, ,8,4,12,34.78,14.81,2.063338701,0.150879274
work make, ,8,4,12,34.78,14.81,2.063338701,0.150879274
package, ,8,4,12,34.78,14.81,2.063338701,0.150879274
attorney general,crime/justice,8,4,12,34.78,14.81,2.063338701,0.150879274
total, ,6,14,20,26.09,51.85,2.061191626,0.151091975
brought, ,6,14,20,26.09,51.85,2.061191626,0.151091975
50 million, ,2,7,9,8.7,25.93,2.048488102,0.152357423
long time, ,2,7,9,8.7,25.93,2.048488102,0.152357423
year ago, ,2,7,9,8.7,25.93,2.048488102,0.152357423
time time, ,2,7,9,8.7,25.93,2.048488102,0.152357423
growing economy,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423
ve heard, ,2,7,9,8.7,25.93,2.048488102,0.152357423
tax cut,economy/fiscal issues,2,7,9,8.7,25.93,2.048488102,0.152357423
young man, ,2,7,9,8.7,25.93,2.048488102,0.152357423
healthy,health care,14,9,23,60.87,33.33,2.047258979,0.152480497
neighbors, ,15,10,25,65.22,37.04,1.972624799,0.16016953
policy, ,8,17,25,34.78,62.96,1.972624799,0.16016953
force, ,8,17,25,34.78,62.96,1.972624799,0.16016953
result, ,8,17,25,34.78,62.96,1.972624799,0.16016953
course, ,10,20,30,43.48,74.07,1.937734836,0.163914693
doesn, ,16,11,27,69.57,40.74,1.910956045,0.166857098
affordable housing, ,9,5,14,39.13,18.52,1.884518058,0.169821528
smart, ,9,5,14,39.13,18.52,1.884518058,0.169821528
prevent, ,9,5,14,39.13,18.52,1.884518058,0.169821528
dreams, ,9,5,14,39.13,18.52,1.884518058,0.169821528
knew, ,9,5,14,39.13,18.52,1.884518058,0.169821528
epidemic,health care,9,5,14,39.13,18.52,1.884518058,0.169821528
rights, ,9,5,14,39.13,18.52,1.884518058,0.169821528
self, ,9,5,14,39.13,18.52,1.884518058,0.169821528
election, ,9,5,14,39.13,18.52,1.884518058,0.169821528
simple, ,5,12,17,21.74,44.44,1.883205456,0.169970274
proposed, ,5,12,17,21.74,44.44,1.883205456,0.169970274
2018, ,5,12,17,21.74,44.44,1.883205456,0.169970274
need work, ,5,2,7,21.74,7.41,1.822176213,0.177054454
10 years, ,5,2,7,21.74,7.41,1.822176213,0.177054454
national leader, ,5,2,7,21.74,7.41,1.822176213,0.177054454
drinking water,energy/environment,5,2,7,21.74,7.41,1.822176213,0.177054454
strong economy,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454
good paying jobs,economy/fiscal issues,5,2,7,21.74,7.41,1.822176213,0.177054454
affordable health care,health care,5,2,7,21.74,7.41,1.822176213,0.177054454
secretary state, ,5,2,7,21.74,7.41,1.822176213,0.177054454
end day, ,5,2,7,21.74,7.41,1.822176213,0.177054454
thousands, ,18,13,31,78.26,48.15,1.816477066,0.177733194
makes, ,18,13,31,78.26,48.15,1.816477066,0.177733194
taxpayers,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858
savings,economy/fiscal issues,7,15,22,30.43,55.56,1.781291173,0.181990858
report, ,7,15,22,30.43,55.56,1.781291173,0.181990858
fully, ,7,15,22,30.43,55.56,1.781291173,0.181990858
moved, ,10,6,16,43.48,22.22,1.753623188,0.185421895
republican, ,10,6,16,43.48,22.22,1.753623188,0.185421895
woman, ,10,6,16,43.48,22.22,1.753623188,0.185421895
table, ,10,6,16,43.48,22.22,1.753623188,0.185421895
new jobs,economy/fiscal issues,10,6,16,43.48,22.22,1.753623188,0.185421895
hospital,health care,10,6,16,43.48,22.22,1.753623188,0.185421895
bipartisan, ,10,6,16,43.48,22.22,1.753623188,0.185421895
partner, ,10,6,16,43.48,22.22,1.753623188,0.185421895
folks, ,10,6,16,43.48,22.22,1.753623188,0.185421895
follow, ,10,6,16,43.48,22.22,1.753623188,0.185421895
act, ,20,15,35,86.96,55.56,1.749482402,0.185941815
board, ,9,18,27,39.13,66.67,1.743961353,0.186637679
citizens, ,11,21,32,47.83,77.78,1.740942029,0.18701951
years ago, ,11,21,32,47.83,77.78,1.740942029,0.18701951
child, ,21,16,37,91.3,59.26,1.723506115,0.189242356
management, ,4,10,14,17.39,37.04,1.711985277,0.190727993
bigger, ,4,10,14,17.39,37.04,1.711985277,0.190727993
invested, ,4,10,14,17.39,37.04,1.711985277,0.190727993
released, ,4,10,14,17.39,37.04,1.711985277,0.190727993
red tape, ,4,10,14,17.39,37.04,1.711985277,0.190727993
essential, ,4,10,14,17.39,37.04,1.711985277,0.190727993
encourage, ,4,10,14,17.39,37.04,1.711985277,0.190727993
effective, ,4,10,14,17.39,37.04,1.711985277,0.190727993
teacher pay,education,4,10,14,17.39,37.04,1.711985277,0.190727993
graduates,education,4,10,14,17.39,37.04,1.711985277,0.190727993
say, ,22,17,39,95.65,62.96,1.701515339,0.192089923
guests, ,11,7,18,47.83,25.93,1.654678833,0.198323311
vote, ,11,7,18,47.83,25.93,1.654678833,0.198323311
human, ,6,13,19,26.09,48.15,1.590728028,0.20722215
problems, ,6,13,19,26.09,48.15,1.590728028,0.20722215
city, ,6,13,19,26.09,48.15,1.590728028,0.20722215
military, ,6,13,19,26.09,48.15,1.590728028,0.20722215
financial,economy/fiscal issues,6,13,19,26.09,48.15,1.590728028,0.20722215
district, ,6,13,19,26.09,48.15,1.590728028,0.20722215
prevention, ,12,8,20,52.17,29.63,1.578099839,0.209034609
fix, ,12,8,20,52.17,29.63,1.578099839,0.209034609
18, ,12,8,20,52.17,29.63,1.578099839,0.209034609
continuing, ,3,8,11,13.04,29.63,1.553066901,0.212683254
entering, ,3,8,11,13.04,29.63,1.553066901,0.212683254
huge, ,3,8,11,13.04,29.63,1.553066901,0.212683254
david, ,3,8,11,13.04,29.63,1.553066901,0.212683254
lay, ,3,8,11,13.04,29.63,1.553066901,0.212683254
natural resources,energy/environment,3,8,11,13.04,29.63,1.553066901,0.212683254
happy, ,3,8,11,13.04,29.63,1.553066901,0.212683254
customer, ,3,8,11,13.04,29.63,1.553066901,0.212683254
michael, ,3,8,11,13.04,29.63,1.553066901,0.212683254
unnecessary, ,3,8,11,13.04,29.63,1.553066901,0.212683254
john, ,3,8,11,13.04,29.63,1.553066901,0.212683254
running, ,3,8,11,13.04,29.63,1.553066901,0.212683254
