state,governor,party,filename,url
Nebraska,Pete Ricketts,R,Nebraska_SOTS.txt,https://governor.nebraska.gov/press/gov-ricketts-state-state-address
Nevada,Steve Sisolak,D,Nevada_SOTS.txt,http://gov.nv.gov/uploadedFiles/govnew.nv.gov/Content/News/Press/2019/Sisolak_SOTS.pdf
New Hampshire,Chris Sununu,R,NewHampshire_Both.txt,https://www.governor.nh.gov/news-media/speeches/inaugural-2019.htm
New Jersey,Phil Murphy,D,NewJersey_SOTS.txt,https://nj.gov/governor/news/addresses/approved/20190115_sos.shtml
New Mexico,Michelle Lujan Grisham,D,NewMexico_SOTS.txt,http://www.santafenewmexican.com/text-of-gov-lujan-grisham-s-first-state-of-the/article_9a7b5a6a-1926-11e9-8218-3bf11adbcd54.html
New York,Andrew Cuomo,D,NewYork_SOTS.txt,https://www.governor.ny.gov/news/video-audio-photos-rush-transcript-governor-cuomo-outlines-2019-justice-agenda-time-now
North Carolina,Roy Cooper,D,NorthCarolina_SOTS.txt,https://files.nc.gov/governor/documents/files/2019_State_of_the_State_0.pdf
North Dakota,Doug Burgum,R,NorthDakota_SOTS.txt,https://www.governor.nd.gov/sites/governor/files/documents/2019%20State%20of%20the%20State%20Final%20Copy.pdf
Ohio,Mike DeWine,R,Ohio_SOTS.txt,https://governor.ohio.gov/wps/wcm/connect/gov/5ee4eee4-b8ce-4bbe-8270-9e89036059c8/2019+State+of+the+State+Address.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_M1HGGIK0N0JO00QO9DDDDM3000-5ee4eee4-b8ce-4bbe-8270-9e89036059c8-mBfX-ua
Oklahoma,Kevin Stitt,R,Oklahoma_SOTS.txt,https://www.tulsaworld.com/opinion/read-the-full-transcript-of-gov-kevin-stitt-s-state/article_92e71b97-ddba-5019-9f96-1bd1c8abf02a.html
Oregon,Kate Brown,D,Oregon_Both.txt,https://www.oregon.gov/gov/media/Pages/speeches/Governor-Kate-Brown-Inaugural-Address-2019.aspx
Pennsylvania,Tom Wolf,D,Pennsylvania_SOTS.txt,https://www.governor.pa.gov/remarks-by-governor-wolf-at-budget-address/
Rhode Island,Gina Raimondo,D,RhodeIsland_SOTS.txt,http://www.governor.ri.gov/newsroom/speeches/2019/state-of-the-state.php
South Carolina,Henry McMaster,R,SouthCarolina_SOTS.txt,https://governor.sc.gov/news/2019-01/state-state-address-prepared-delivery
South Dakota,Kristi Noem,R,SouthDakota_SOTS.txt,https://kelo.com/news/articles/2019/jan/09/transcript-gov-noems-state-of-the-state-address/
Tennessee,Bill Lee,R,Tennessee_SOTS.txt,https://www.tn.gov/governor/about-bill-lee/state-of-the-state-2019-address.html
Texas,Greg Abbott,R,Texas_SOTS.txt,https://gov.texas.gov/news/post/governor-greg-abbott-delivers-state-of-the-state-address
Utah,Gary Herbert,R,Utah_SOTS.txt,https://governor.utah.gov/2019/01/31/governor-herberts-2019-state-of-the-state-address-full-transcript/
Vermont,Phil Scott,R,Vermont_Both.txt,https://governor.vermont.gov/press-release/governor-phil-scott-delivers-second-inaugural-address
Virginia,Ralph Northam,D,Virginia_SOTS.txt,https://www.governor.virginia.gov/newsroom/all-releases/2019/january/headline-837676-en.html
Washington,Jay Inslee,D,Washington_SOTS.txt,https://www.governor.wa.gov/news-media/news-media/speeches/2019-state-state
West Virginia,Jim Justice,R,WestVirginia_SOTS.txt,https://governor.wv.gov/News/press-releases/2019/Pages/2019-West-Virginia-State-of-the-State-Address-.aspx
Wisconsin,Tony Evers,D,Wisconsin_SOTS.txt,https://evers.wi.gov/Pages/Newsroom/Press-Releases/012219-Governor-Evers-Gives-2019-State-of-the-State-Address.aspx
Wyoming,Mark Gordon,R,Wyoming_SOTS.txt,https://drive.google.com/file/d/0B5QDlu63DmCiY1AwRnBsM3VuQlJtc01YWkVYUDVFdEhNVWI4/view
