"MOVIE","ACTOR","CHARACTER_NAME","TYPE","BILLING","GENDER"
"Hidden Figures","David London","NASA Control","Supporting","94","Male"
"Hidden Figures","Elizabeth Young","Ann Vaughn","Supporting","95","Female"
"Hidden Figures","John Collier","NASA Engineer","Supporting","96","Male"
"Sully","Tom Hanks","Captain Chesley Sully Sullenberger","Leading","1","Male"
"Sully","Aaron Eckhart","Jeff Skiles","Supporting","2","Male"
"Sully","Laura Linney","Lorraine Sullenberger","Supporting","3","Female"
"Sully","Valerie Mahaffey","Diane Higgins","Supporting","4","Unknown"
"Sully","Delphi Harrington","Lucille Palmer","Supporting","5","Female"
"Sully","Mike O'Malley","Charles Porter","Supporting","6","Unknown"
"Sully","Jamey Sheridan","Ben Edwards","Supporting","7","Male"
"Sully","Anna Gunn","Elizabeth Davis","Supporting","8","Female"
"Sully","Holt McCallany","Mike Cleary","Supporting","9","Male"
"Sully","Ahmed Lucan","Egyptian Driver","Supporting","10","Male"
"Sully","Laura Lundy Wheale","Reporter #1","Supporting","11","Female"
"Sully","Onira Tares","Reporter #2","Supporting","12","Unknown"
"Sully","Gary Weeks","Reporter #3","Supporting","13","Male"
"Sully","Katie Couric","Herself","Cameo","14","Female"
"Sully","Jeff Kober","LT Cook","Supporting","15","Unknown"
"Sully","Blake Jones","Sully (16 Years Old)","Supporting","16","Male"
"Sully","Molly Bernard","Alison","Supporting","17","Female"
"Sully","Chris Bauer","Larry Rooney","Supporting","18","Unknown"
"Sully","Jane Gabbert","Sheila Dail","Supporting","19","Female"
"Sully","Ann Cusack","Donna Dent","Supporting","20","Unknown"
"Sully","Molly Hagan","Doreen Welsh","Supporting","21","Unknown"
"Sully","Purva Bedi","Gursimran","Supporting","22","Unknown"
"Sully","Max Adler","Jimmy Stefanik","Supporting","23","Male"
"Sully","Sam Huntington","Jeff Kolodjay","Supporting","24","Male"
"Sully","Christopher Curry","Rob Kolodjay","Supporting","25","Male"
"Sully","Ashley Austin Morris","Emily (Gate Attendant)","Supporting","26","Female"
"Sully","Cooper Thornton","Jim Whitaker","Supporting","27","Male"
"Sully","Autumn Reeser","Passenger with Baby","Supporting","28","Unknown"
"Sully","Jeffrey Nordling","Barry Leonard","Supporting","29","Unknown"
"Sully","Patch Darragh","Patrick Harten","Supporting","30","Male"
"Sully","Robert Treveiler","ATC Supervisor","Supporting","31","Male"
"Sully","Billy Richards","Male Pilot","Supporting","32","Male"
"Sully","Aida Manassy","French Woman","Supporting","33","Female"
"Sully","Pascal Yen-Pfister","French Man","Supporting","34","Male"
"Sully","Marcia DeBonis","Shae Childers","Supporting","35","Female"
"Sully","Noel Fisher","GIB — Andrew Carrigan","Supporting","36","Male"
"Sully","Adam Boyer","Johnny — Drunk Customer","Supporting","37","Male"
"Sully","Wilbur Fitzgerald","Drunk Customer #2","Supporting","38","Male"
"Sully","Michael Rapaport","Bartender — Pete","Supporting","39","Male"
"Sully","Vincent Peter Lombardi","Himself","Cameo","40","Male"
"Sully","Jeremy Luke","Victor Gaggero","Supporting","41","Male"
"Sully","Bernardo Badillo","Robert Rodriguez","Supporting","42","Male"
"Sully","Jerry Ferrara","Michael Delaney","Supporting","43","Unknown"
"Sully","Victoria Kharchenko","Russian Woman","Supporting","44","Female"
"Sully","Randall Pinkston","Himself","Cameo","45","Male"
"Sully","Graham Sibley","Carlo Alfonso","Supporting","46","Male"
"Sully","Grant Roberts","Franco Santini","Supporting","47","Male"
"Sully","Wayne Bastrup","Brian Kelly","Supporting","48","Male"
"Sully","Bobby Cuza","Himself","Cameo","49","Male"
"Sully","Billy Smith","Dan Britt","Supporting","50","Male"
"Sully","Martin Barabas","Police Captain","Supporting","51","Male"
"Sully","E. Roger Mitchell","ATC #1","Supporting","52","Unknown"
"Sully","Robert Pralgo","St. Luke's Doctor","Supporting","53","Male"
"Sully","Clayton Landey","Arnie Gentile","Supporting","54","Male"
"Sully","Tracee Chimo","Evelyn May","Supporting","55","Female"
"Sully","Brett Rice","Carl Clarke","Supporting","56","Male"
"Sully","Kristine Johnson","Herself","Cameo","57","Female"
"Sully","Larry Guthrie","Pilot Flight #1","Supporting","58","Male"
"Sully","Lucy Young","Co-Pilot Flight #1","Supporting","59","Female"
"Sully","Lori Cline","Pilot — Flight #3","Supporting","60","Female"
"Sully","Jon Witten","Co-Pilot #3","Supporting","61","Male"
"The Girl on the Train","Emily Blunt","Rachel","Leading","1","Female"
"The Girl on the Train","Rebecca Ferguson","Anna","Supporting","2","Female"
"The Girl on the Train","Haley Bennett","Megan","Supporting","3","Unknown"
"The Girl on the Train","Justin Theroux","Tom","Supporting","4","Male"
"The Girl on the Train","Luke Evans","Scott","Supporting","5","Male"
"The Girl on the Train","Allison Janney","Detective Riley","Supporting","6","Female"
"The Girl on the Train","Edgar Ramirez","Dr. Kamal Abdic","Supporting","7","Male"
"The Girl on the Train","Lisa Kudrow","Martha","Supporting","8","Female"
"The Girl on the Train","Laura Prepon","Cathy","Supporting","9","Unknown"
"The Girl on the Train","Darren Goldstein","Man in the Suit","Supporting","10","Male"
"The Girl on the Train","Cleta E. Ellington","Oyster Bar Woman","Supporting","11","Female"
"The Girl on the Train","Lana Young","Doctor","Supporting","12","Female"
"The Girl on the Train","Rachel Christopher","Woman with Child","Supporting","13","Female"
"The Girl on the Train","Fernando Medina","Pool Player","Supporting","14","Male"
"The Girl on the Train","Gregory Morley","Officer Pete","Supporting","15","Male"
"The Girl on the Train","Mac Tavares","Detective Gaskill","Supporting","16","Male"
"The Girl on the Train","John Norris","Jason","Supporting","17","Male"
"The Girl on the Train","Nathan Shapiro","Meeting Member","Supporting","18","Male"
"The Girl on the Train","Tamiel Paynes","Central Park Drummer Boy","Supporting","19","Male"
"The Girl on the Train","Peter Mayer-Klepchick","Mac","Supporting","20","Male"
"Don’t Breathe","Jane Levy","Rocky","Leading","1","Female"
"Don’t Breathe","Dylan Minnette","Alex","Leading","2","Male"
"Don’t Breathe","Daniel Zovatto","Money","Leading","3","Male"
"Don’t Breathe","Stephen Lang","The Blind Man","Leading","4","Male"
"Don’t Breathe","Emma Bercovici","Diddy","Supporting","5","Female"
"Don’t Breathe","Franciska Torocsik","Cindy","Supporting","6","Female"
"Don’t Breathe","Christian Zagia","Raul","Supporting","7","Male"
"Don’t Breathe","Katia Bokor","Ginger","Supporting","8","Female"
"Don’t Breathe","Sergej Onopko","Trevor","Supporting","9","Male"
"Don’t Breathe","Olivia Gillies","Blind Man's Daughter (Young Emma)","Supporting","10","Female"
"10 Cloverfield Lane","John Goodman","Howard","Leading","1","Male"
"10 Cloverfield Lane","Mary Elizabeth Winstead","Michelle","Leading","2","Female"
"10 Cloverfield Lane","John Gallagher, Jr.","Emmitt","Leading","3","Male"
"10 Cloverfield Lane","Mat Vairo","Jeremy","Supporting","4","Male"
"10 Cloverfield Lane","Maya Erskine","Darcy","Supporting","5","Female"
"10 Cloverfield Lane","Cindy Hogan","Neighbor Woman","Supporting","6","Female"
"10 Cloverfield Lane","Douglas M. Griffin","Driver","Supporting","7","Male"
"10 Cloverfield Lane","Jamie Clay","State Trooper 42","Supporting","8","Unknown"
"10 Cloverfield Lane","Sumalee Montano","Voice on Radio","Supporting","9","Unknown"
"10 Cloverfield Lane","Frank Mottek","Radio Broadcaster","Supporting","10","Male"
"Bad Moms","Mila Kunis","Amy Mitchell","Lead Ensemble Member","1","Female"
"Bad Moms","Kristen Bell","Kiki","Lead Ensemble Member","2","Female"
"Bad Moms","Kathryn Hahn","Carla Dunkler","Lead Ensemble Member","3","Female"
"Bad Moms","Annie Mumolo","Vicky Latrobe","Lead Ensemble Member","4","Female"
"Bad Moms","Jada Pinkett Smith","Stacy","Lead Ensemble Member","5","Female"
"Bad Moms","Christina Applegate","Gwendolyn James","Lead Ensemble Member","6","Female"
"Bad Moms","Jay Hernandez","Jessie Harkness","Supporting","7","Male"
"Bad Moms","Oona Laurence","Jane Mitchell","Supporting","8","Female"
"Bad Moms","David Walton","Mike Mitchell","Supporting","9","Male"
"Bad Moms","Clark Duke","Dale Kipler","Supporting","10","Unknown"
"Bad Moms","Emjay Anthony","Dylan Mitchell","Supporting","11","Male"
"Bad Moms","Lilly Singh","Cathy","Supporting","12","Female"
"Bad Moms","Billy Slaughter","Veterinarian","Supporting","13","Male"
"Bad Moms","Wendell Pierce","Principal Burr","Supporting","14","Unknown"
"Bad Moms","Megan Ferguson","Tessa","Supporting","15","Female"
"Bad Moms","Wanda Sykes","Dr. Karl","Supporting","16","Female"
"La La Land","Ryan Gosling","Sebastian","Leading","1","Male"
"La La Land","Emma Stone","Mia","Leading","2","Female"
"La La Land","John Legend","Keith","Supporting","3","Unknown"
"La La Land","Rosemarie DeWitt","Laura","Supporting","4","Female"
"La La Land","J.K. Simmons","Bill","Supporting","5","Male"
"La La Land","Finn Wittrock","Greg","Supporting","6","Male"
"La La Land","Callie Hernandez","Tracy","Supporting","7","Female"
"La La Land","Sonoya Mizuno","Caitlin","Supporting","8","Unknown"
"La La Land","Jessica Rothe","Alexis","Supporting","9","Female"
"La La Land","Tom Everett Scott","David","Supporting","10","Male"
"La La Land","Josh Pence","Josh","Supporting","11","Male"
"La La Land","Aimee Conn","Famous Actress","Supporting","12","Female"
"La La Land","Terry Walters","Linda (Coffee Shop Manager)","Supporting","13","Female"
"La La Land","Thom Shelton","Coffee Spiller","Supporting","14","Male"
"La La Land","Cinda Adams","Casting Director (First Audition)","Supporting","15","Female"
"La La Land","Claudine Claudio","Karen (Waitress)","Supporting","16","Female"
"La La Land","Jason Fuchs","Carlo","Supporting","17","Unknown"
"La La Land","D.A. Wallach","80’s Singer","Supporting","18","Male"
"La La Land","Trevor Lissauer","Valet","Supporting","19","Male"
"La La Land","Olivia Hamilton","Bree (Gluten Free Girl)","Supporting","20","Female"
"La La Land","Anna Chazelle","Sarah (Pilot Casting Assistant)","Supporting","21","Female"
"La La Land","Marius de Vries","Clyde (Pilot Director)","Supporting","22","Male"
"La La Land","Nicole Coulon","Josh’s Fiancée","Supporting","23","Female"
"La La Land","Damon Gupton","Harry","Supporting","24","Male"
"La La Land","Christopher Michael Stevens","Malcolm","Supporting","25","Male"
"La La Land","Keith Harris","Cole","Supporting","26","Male"
"La La Land","Kaveh Rastegar","Tom","Supporting","27","Male"
"La La Land","Shaylah J. Stevens","Echo Backup Singer","Supporting","28","Female"
"La La Land","Natalie Imani","Echo Backup Singer","Supporting","29","Female"
"La La Land","Briana Lee","Echo Backup Singer","Supporting","30","Female"
"La La Land","David Douglas","Radio DJ","Supporting","31","Male"
"La La Land","Miles Anderson","Alistair (Photographer)","Supporting","32","Unknown"
"La La Land","Robert Chang","Photographer’s Assistant","Supporting","33","Male"
"La La Land","Meagen Fay","Mia’s Mom","Supporting","34","Female"
"La La Land","Robert Haynes","Angry Neighbor","Supporting","35","Male"
"La La Land","John Hindman","Frank (Director)","Supporting","36","Male"
"La La Land","Valarie Rae Miller","Amy Brandt","Supporting","37","Unknown"
"La La Land","Nicole Wolf","Amy Brandt’s Assistant","Supporting","38","Female"
"La La Land","Corrin Evans","New Barista","Supporting","39","Female"
"La La Land","Kiff VandenHeuvel","New Coffee Shop Manager","Supporting","40","Male"
"La La Land","Camryn Ray Cavaliero","Mia’s Daughter","Supporting","41","Female"
"La La Land","Zoë Hall","Chelsea","Supporting","42","Female"
"La La Land","Dempsey Pappion","Seb’s Jazz Club Employee","Supporting","43","Male"
"La La Land","Clifton Eddie","Seb’s Drummer","Supporting","44","Male"
"La La Land","Cal Bennett","Seb’s Sax Player","Supporting","45","Male"
"La La Land","Nedra Wheeler","Seb’s Bassist","Supporting","46","Female"
"La La Land","Javier Gonzalez","Seb’s Trumpeter","Supporting","47","Male"
"La La Land","Khirye Tyler","Seb’s Pianist","Supporting","48","Male"
"La La Land","Arthur Horowitz","Fantasy Baby","Supporting","49","Male"
"Arrival","Amy Adams","Louise Banks","Leading","1","Female"
"Arrival","Jeremy Renner","Ian Donnelly","Leading","2","Male"
"Arrival","Forest Whitaker","Colonel Weber","Leading","3","Male"
"Arrival","Michael Stuhlbarg","Agent Halpern","Supporting","4","Unknown"
"Arrival","Mark O'Brien","Captain Marks","Supporting","5","Male"
"Arrival","Tzi Ma","General Shang","Supporting","6","Unknown"
"Arrival","Abigail Pniowsky","8 Year Old Hannah","Supporting","7","Female"
"Arrival","Julia Scarlett Dan","12 Year Old Hannah","Supporting","8","Female"
"Arrival","Jadyn Malone","6 Year Old Hannah","Supporting","9","Female"
"Arrival","Frank Schorpion","Dr. Kettler","Supporting","10","Unknown"
"Arrival","Lucas Chartier-Dessert","Private Lasky","Supporting","11","Male"
"Arrival","Christian Jadah","Private Combs","Supporting","12","Male"
"Arrival","Lucy Van Oldenbarneveld","CNAC Anchor","Supporting","13","Female"
"Arrival","Andrew Shaver","Environmental Tech","Supporting","14","Male"
"Arrival","Pat Kiely","Environmental Tech","Supporting","15","Male"
"Arrival","Sonia Vigneault","Dr. J. Bydwell","Supporting","16","Female"
"Arrival","Mark Camacho","Richard Riley","Supporting","17","Male"
"Arrival","Sabrina Reeves","Press Secretary","Supporting","18","Female"
"Arrival","Julian Casey","Australian Scientist","Supporting","19","Unknown"
"Arrival","Tony Robinow","British Scientist","Supporting","20","Male"
"Arrival","Larry Day","CIA Officer Dan Ryder","Supporting","21","Unknown"
"Arrival","Matthew Willson","Preacher","Supporting","22","Male"
"Arrival","Ruth Chiang","Chinese Scientist","Supporting","23","Female"
"Arrival","Russell Yuen","Chinese Scientist","Supporting","24","Male"
"Arrival","Sergiy Marchenko","Russian Officer","Supporting","25","Male"
"Arrival","Anana Rydvald","Swedish Scientist","Supporting","26","Female"
"Arrival","Bineyam Girma","Sudan Representative","Supporting","27","Male"
"Arrival","Abdelghafour Elaaziz","African Representative","Supporting","28","Male"
"Arrival","Abdul Ayoola","Sierra Leone Representative","Supporting","29","Male"
"Arrival","Alex M. Yeuh","Japanese Minister","Supporting","30","Male"
"Arrival","Daniel Esteban","Venezuelan Representative","Supporting","31","Male"
"Arrival","Albert Kwan","Chinese Man","Supporting","32","Male"
"Arrival","Brittany Teo","Grad Student with Smartphone","Supporting","33","Female"
"Arrival","Joe Cobden","Cryptographer","Supporting","34","Unknown"
"Arrival","Lorne Brass","Cryptographer","Supporting","35","Unknown"
"Arrival","Genevieve Sirois","Cryptographer","Supporting","36","Female"
"Arrival","Victor Andres Turgeon-Trelles","Science Team Member","Supporting","37","Male"
"Arrival","Michael Nangreaves","Science Team Member","Supporting","38","Male"
"Arrival","Reda Guerinik","Communications Ops","Supporting","39","Female"
"Arrival","Adrien Benn","Communications Op","Supporting","40","Male"
"Arrival","Sasha Samar","Communications Op","Supporting","41","Unknown"
"Arrival","Kathleen Stavert","Communications Op","Supporting","42","Female"
"Arrival","Kattia Thony","Communications Op","Supporting","43","Female"
"Arrival","Leisa Reid","Nurse","Supporting","44","Female"
"Arrival","Brent Skagford","Nurse","Supporting","45","Male"
"Arrival","Gurdeep Ahluwalia","Lieutenant","Supporting","46","Male"
"Arrival","Shawn Campbell","Soldier","Supporting","47","Male"
"Arrival","Brian Dunstan","TV Anchor","Supporting","48","Male"
"Arrival","Dan Duran","TV Anchor","Supporting","49","Male"
"Arrival","Lori Graham","TV Anchor","Supporting","50","Female"
"Arrival","Orla Johannes","TV Anchor","Supporting","51","Female"
"Arrival","John Moore","TV Anchor","Supporting","52","Unknown"
"Arrival","Sangita Patel","TV Anchor","Supporting","53","Female"
"Arrival","Hal Roberts","TV Anchor","Supporting","54","Male"
"Arrival","Camille Ross","TV Anchor","Supporting","55","Female"
"Arrival","Ola Sturik","TV Anchor","Supporting","56","Female"
"Arrival","Tammie Sutherland","TV Anchor","Supporting","57","Female"
"Arrival","Max Walker","TV Anchor","Supporting","58","Male"
"Arrival","Marc-Andre Goulet","TV Anchor","Supporting","59","Male"
"Arrival","Paul-Antoine Taillefer","TV Anchor","Supporting","60","Male"
"Storks","Andy Samberg","Junior","Lead Ensemble Member","1","Male"
"Storks","Kelsey Grammer","Hunter","Lead Ensemble Member","2","Male"
"Storks","Katie Crown","Tulip","Lead Ensemble Member","3","Female"
"Storks","Keegan-Michael Key","Alpha Wolf","Lead Ensemble Member","4","Male"
"Storks","Jordan Peele","Beta Wolf","Lead Ensemble Member","5","Male"
"Storks","Ty Burrell","Henry Gardner","Lead Ensemble Member","7","Unknown"
"Storks","Danny Trejo","Jasper","Lead Ensemble Member","8","Male"
"Storks","Anton Starkman","Nate Gardner","Lead Ensemble Member","9","Male"
"Storks","Stephen Kramer Glickman","Pigeon Toady/Additional Voice","Lead Ensemble Member","10","Male"
"Storks","Chris Smith","Dougland","Supporting","11","Male"
"Storks","Nora Lum","Quail","Supporting","12","Female"
"Storks","Ike Barinholtz","Miscellaneous Stork","Supporting","13","Unknown"
