Owner,Team,League,Recipient,Amount,Election Year,Party
Charles Johnson,San Francisco Giants,MLB,MCCONNELL VICTORY COMMITTEE,"$81,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,SENATE LEADERSHIP FUND,"$75,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,INTEGRITY NJ,"$75,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,FIGHTING FOR FLORIDA FUND,"$50,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,VICTORY 2016,"$50,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,"$50,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$35,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,NRSC,"$35,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,THE 2016 COMMITTEE,"$30,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$30,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,RESTORATION PAC,"$25,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,"WE THE PEOPLE, NOT WASHINGTON","$25,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,FLORIDA VOTES COUNT,"$25,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,STARS AND STRIPES FOREVER PAC,"$25,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,TEXANS FOR A CONSERVATIVE MAJORITY,"$25,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,MOONEY VICTORY FUND,"$17,800 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,RENACCI FOR OHIO VICTORY FUND,"$15,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,BURR NC VICTORY FUND,"$12,700 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,STEIL VICTORY FUND,"$12,700 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,MIMI WALTERS VICTORY FUND,"$10,800 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,GRASSLEY HAWKEYE FUND,"$10,400 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,TOOMEY PENNSYLVANIA VICTORY FUND,"$10,000 ",2016,Republican
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2016,"Bipartisan, but mostly Republican"
Charles Johnson,San Francisco Giants,MLB,MISSOURI RISING ACTION,"$10,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,PROTECT THE HOUSE,"$10,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,TRUE NORTH PAC,"$10,000 ",2018,Republican
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,"$10,000 ",2018,"Bipartisan, but mostly Republican"
Charles Johnson,San Francisco Giants,MLB,SCALISE LEADERSHIP FUND,"$10,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,SENATE CONSERVATIVES ACTION,"$10,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,UTAH REPUBLICAN PARTY,"$10,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,VIGOP (VIRGIN ISLANDS REPUBLICAN PARTY),"$10,000 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),"$10,000 ",2020,"Bipartisan, but mostly Republican"
Charles Johnson,San Francisco Giants,MLB,CORNYN MAJORITY COMMITTEE,"$7,500 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,ALEX MOONEY FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,AMANDA MAKKI FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"ANDY BARR FOR CONGRESS, INC.","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,ANNA PAULINA LUNA FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,ASHLEY HINSON FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"BOLDUC 2020, INC.","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,BRIAN FITZPATRICK FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CARLA SPALDING FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CARMELITA FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CAROL FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CHIP ROY FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CHURCH FOR WISCONSIN,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,CUMMINGS FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,DARRELL ISSA FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,DON BACON FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,DOUG LAMALFA COMMITTEE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,ELISE FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,FISCHBACH FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,FRIENDS OF HAGEDORN,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"FRIENDS OF LEON BENJAMIN, INC.","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,GARDNER VICTORY COMMITTEE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,HUIZENGA FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,HURD FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,JAIME FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,JASON LEWIS FOR SENATE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,JOHN CARTER FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"JOHN JAMES FOR SENATE, INC.","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,KATKO FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,KIM KLACIK FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,KISTNER FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,MARIO DIAZ-BALART FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,MAST VICTORY COMMITTEE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"MCCAUL FOR CONGRESS, INC","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,MCGUIRE FOR VIRGINIA,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,MCSALLY FOR SENATE INC,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,MIKE GARCIA FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,NICOLE FOR NEW YORK,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,OLSON FOR CONGRESS COMMITTEE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,PATRIOTS FOR PERRY,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,PORTMAN FOR SENATE COMMITTEE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,ROSS SPANO FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,SALAZAR FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"SANDY SMITH FOR CONGRESS, INC.","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,SEAN JACKSON FOR CONGRESS COMMITTEE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,SLOCUM FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,STEVE CHABOT FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,STEVE DAINES FOR MONTANA,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,"TEAM GRAHAM, INC.","$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,TEAM HAGERTY,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,TED BUDD FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,THOMAS MASSIE FOR CONGRESS,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,TIM SCOTT FOR SENATE,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,UPTON FOR ALL OF US,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,VAN TAYLOR CAMPAIGN,"$5,600 ",2020,Republican
Charles Johnson,San Francisco Giants,MLB,ZELDIN FOR CONGRESS,"$5,600 ",2020,Republican
