congress,chamber,bioguide,firstname,lastname,birthday,state,party,incumbent,termstart,age
80,house,C000317,Virgil,Chapman,1895-03-15,KY,D,Yes,1947-01-03,51.8
80,house,S000676,Andrew,Somers,1895-03-21,NY,D,Yes,1947-01-03,51.8
80,house,H000548,Christian,Herter,1895-03-28,MA,R,Yes,1947-01-03,51.8
80,house,H000678,Charles,Hoeven,1895-03-30,IA,R,Yes,1947-01-03,51.8
80,house,D000109,James,Davis,1895-05-17,GA,D,No,1947-01-03,51.6
80,house,F000255,Aime,Forand,1895-05-23,RI,D,Yes,1947-01-03,51.6
80,house,E000119,Alfred,Elliott,1895-06-01,CA,D,Yes,1947-01-03,51.6
80,house,H000217,Forest,Harness,1895-06-24,IN,R,Yes,1947-01-03,51.5
80,house,P000475,C.,Poulson,1895-07-23,CA,R,No,1947-01-03,51.4
80,house,F000404,Hadwen,Fuller,1895-08-28,NY,R,Yes,1947-01-03,51.3
80,house,V000003,Richard,Vail,1895-08-31,IL,R,No,1947-01-03,51.3
80,house,G000135,Charles,Gerlach,1895-09-14,PA,R,Yes,1947-01-03,51.3
80,house,A000216,Leslie,Arends,1895-09-27,IL,R,Yes,1947-01-03,51.3
80,house,D000360,Everett,Dirksen,1896-01-04,IL,R,Yes,1947-01-03,51.0
80,house,J000086,Mitchell,Jenkins,1896-01-24,PA,R,No,1947-01-03,50.9
80,house,R000002,Benjamin,Rabin,1896-06-03,NY,D,Yes,1947-01-03,50.6
80,house,V000119,John,Vorys,1896-06-16,OH,R,Yes,1947-01-03,50.5
80,house,T000198,Clark,Thompson,1896-08-06,TX,D,No,1947-01-03,50.4
80,house,N000137,William,Norrell,1896-08-29,AR,D,Yes,1947-01-03,50.3
80,house,B000139,Graham,Barden,1896-09-25,NC,D,Yes,1947-01-03,50.3
80,house,B000356,George,Bender,1896-09-29,OH,R,Yes,1947-01-03,50.3
80,house,M000460,J.,McGregor,1896-09-30,OH,R,Yes,1947-01-03,50.3
80,house,C000221,Francis,Case,1896-12-09,SD,R,Yes,1947-01-03,50.1
80,house,A000179,Herman,Andersen,1897-01-27,MN,R,Yes,1947-01-03,49.9
80,house,T000444,Robert,Twyman,1897-06-18,IL,R,No,1947-01-03,49.5
80,house,G000381,George,Grant,1897-07-11,AL,D,Yes,1947-01-03,49.5
80,house,C000736,Harold,Cooley,1897-07-26,NC,D,Yes,1947-01-03,49.4
80,house,C000346,John,Chenoweth,1897-08-17,CO,R,Yes,1947-01-03,49.4
80,house,C000614,William,Cole,1897-08-29,MO,R,Yes,1947-01-03,49.3
80,house,G000447,Noble,Gregory,1897-08-30,KY,D,Yes,1947-01-03,49.3
80,house,F000034,Joseph,Farrington,1897-10-15,HI,R,Yes,1947-01-03,49.2
80,house,D000094,Clifford,Davis,1897-11-18,TN,D,Yes,1947-01-03,49.1
80,house,S000590,Margaret,Smith,1897-12-14,ME,R,Yes,1947-01-03,49.1
80,house,O000160,Thomas,Owens,1897-12-21,IL,R,No,1947-01-03,49.0
80,house,B000884,Overton,Brooks,1897-12-21,LA,D,Yes,1947-01-03,49.0
80,house,F000250,Ellsworth,Foote,1898-01-12,CT,R,No,1947-01-03,49.0
80,house,K000196,Cecil,King,1898-01-13,CA,D,Yes,1947-01-03,49.0
80,house,H000550,William,Hess,1898-02-13,OH,R,Yes,1947-01-03,48.9
80,house,S000194,Errett,Scrivner,1898-03-20,KS,R,Yes,1947-01-03,48.8
80,house,S000377,Dewey,Short,1898-04-07,MO,R,Yes,1947-01-03,48.7
80,house,B000742,Frederick,Bradley,1898-04-12,MI,R,Yes,1947-01-03,48.7
80,house,M000568,John,McMillan,1898-04-12,SC,D,Yes,1947-01-03,48.7
80,house,T000156,Albert,Thomas,1898-04-12,TX,D,Yes,1947-01-03,48.7
80,house,C000113,Gordon,Canfield,1898-04-15,NJ,R,Yes,1947-01-03,48.7
80,house,C000804,Frederic,Coudert,1898-05-07,NY,R,No,1947-01-03,48.7
80,house,D000004,Paul,Dague,1898-05-19,PA,R,No,1947-01-03,48.6
80,house,P000303,Philip,Philbin,1898-05-29,MA,D,Yes,1947-01-03,48.6
80,house,A000163,James,Almond,1898-06-15,VA,D,Yes,1947-01-03,48.6
80,house,L000065,Thomas,Lane,1898-07-06,MA,D,Yes,1947-01-03,48.5
80,house,K000341,John,Kunkel,1898-07-21,PA,R,Yes,1947-01-03,48.5
80,house,H000405,Lawrence,Hays,1898-08-09,AR,D,Yes,1947-01-03,48.4
80,house,J000278,Walter,Judd,1898-09-25,MN,R,Yes,1947-01-03,48.3
80,house,A000138,Leo,Allen,1898-10-05,IL,R,Yes,1947-01-03,48.2
80,house,H000786,Walter,Horan,1898-10-15,WA,R,Yes,1947-01-03,48.2
80,house,S000670,Melvin,Snyder,1898-10-29,WV,R,No,1947-01-03,48.2
80,house,D000175,Charles,Deane,1898-11-01,NC,D,No,1947-01-03,48.2
80,house,T000320,Harry,Towe,1898-11-03,NJ,R,Yes,1947-01-03,48.2
80,house,V000069,James,Van Zandt,1898-12-18,PA,R,No,1947-01-03,48.0
80,house,C000887,William,Cravens,1899-02-15,AR,D,Yes,1947-01-03,47.9
80,house,M000991,Toby,Morris,1899-02-28,OK,D,No,1947-01-03,47.8
80,house,M000764,William,Miller,1899-03-12,CT,R,No,1947-01-03,47.8
80,house,M000089,Franklin,Maloney,1899-03-29,PA,R,No,1947-01-03,47.8
80,house,R000250,Roy,Riehlman,1899-08-26,NY,R,No,1947-01-03,47.4
80,house,E000146,Mathew,Ellsworth,1899-09-17,OR,R,Yes,1947-01-03,47.3
80,house,C000365,Robert,Chiperfield,1899-11-20,IL,R,Yes,1947-01-03,47.1
80,house,A000133,John,Allen,1899-11-27,CA,R,No,1947-01-03,47.1
80,house,P000524,Emory,Price,1899-12-03,FL,D,Yes,1947-01-03,47.1
80,house,S000701,John,Sparkman,1899-12-20,AL,D,Yes,1947-01-03,47.0
80,house,G000253,Abe,Goff,1899-12-21,ID,R,No,1947-01-03,47.0
80,house,P000398,William,Poage,1899-12-28,TX,D,Yes,1947-01-03,47.0
80,house,H000549,John,Heselton,1900-03-17,MA,R,Yes,1947-01-03,46.8
80,house,K000171,Paul,Kilday,1900-03-29,TX,D,Yes,1947-01-03,46.8
80,house,P000536,James,Priest,1900-04-01,TN,D,Yes,1947-01-03,46.8
80,house,K000032,Carroll,Kearns,1900-05-07,PA,R,No,1947-01-03,46.7
80,house,C000802,Norris,Cotton,1900-05-11,NH,R,No,1947-01-03,46.6
80,house,K000036,Kenneth,Keating,1900-05-18,NY,R,No,1947-01-03,46.6
80,house,P000098,Otto,Passman,1900-06-27,LA,D,No,1947-01-03,46.5
80,house,H000081,Charles,Halleck,1900-08-22,IN,R,Yes,1947-01-03,46.4
80,house,S000436,Richard,Simpson,1900-08-30,PA,R,Yes,1947-01-03,46.3
80,house,M000065,George,Mahon,1900-09-22,TX,D,Yes,1947-01-03,46.3
80,house,H000060,Leonard,Hall,1900-10-02,NY,R,Yes,1947-01-03,46.3
80,house,S000174,Hugh,Scott,1900-11-11,PA,R,No,1947-01-03,46.1
80,house,D000454,Helen,Douglas,1900-11-25,CA,D,Yes,1947-01-03,46.1
80,house,M001074,Abraham,Multer,1900-12-24,NY,D,No,1947-01-03,46.0
80,house,S001076,Frank,Sundstrom,1901-01-05,NJ,R,Yes,1947-01-03,46.0
80,house,L000454,Francis,Love,1901-01-23,WV,R,No,1947-01-03,45.9
80,house,J000246,Paul,Jones,1901-03-12,MO,D,No,1947-01-03,45.8
80,house,W000604,Joseph,Wilson,1901-03-18,TX,D,No,1947-01-03,45.8
80,house,M000354,Samuel,McConnell,1901-04-06,PA,R,Yes,1947-01-03,45.7
80,house,S000936,Lowell,Stockman,1901-04-12,OR,R,Yes,1947-01-03,45.7
80,house,B000762,Ernest,Bramblett,1901-04-25,CA,R,No,1947-01-03,45.7
80,house,T000298,Thor,Tollefson,1901-05-02,WA,R,No,1947-01-03,45.7
80,house,D000419,Harold,Donohue,1901-06-18,MA,D,No,1947-01-03,45.5
80,house,C000189,John,Carroll,1901-07-30,CO,D,No,1947-01-03,45.4
80,house,H000310,Ralph,Harvey,1901-08-09,IN,R,No,1947-01-03,45.4
80,house,R000104,Monroe,Redden,1901-09-24,NC,D,No,1947-01-03,45.3
80,house,B000891,John,Brophy,1901-10-08,WI,R,No,1947-01-03,45.2
80,house,H000437,Felix,HŽbert,1901-10-12,LA,D,Yes,1947-01-03,45.2
80,house,C000606,Albert,Cole,1901-10-13,KS,R,Yes,1947-01-03,45.2
80,house,W000348,John,Whitaker,1901-10-31,KY,D,No,1947-01-03,45.2
80,house,H000014,Harold,Hagen,1901-11-10,MN,R,Yes,1947-01-03,45.1
80,house,M000393,William,McCulloch,1901-11-24,OH,R,No,1947-01-03,45.1
80,house,T000070,Dean,Taylor,1902-01-01,NY,R,Yes,1947-01-03,45.0
80,house,M000094,Carter,Manasco,1902-01-03,AL,D,Yes,1947-01-03,45.0
80,house,F000085,Antonio,Ferníçndez,1902-01-17,NM,D,Yes,1947-01-03,45.0
80,house,C000939,William,Crow,1902-01-22,PA,R,No,1947-01-03,44.9
80,house,G000338,Ed,Gossett,1902-01-27,TX,D,Yes,1947-01-03,44.9
80,house,H000298,Fred,Hartley,1902-02-22,NJ,R,Yes,1947-01-03,44.9
