congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
80,house,A000296,Samuel,Washington,Arnold,,1879-09-21,MO,R,Yes,1947-01-03,67.3
80,house,B000940,Paul,,Brown,,1880-03-31,GA,D,Yes,1947-01-03,66.8
80,house,C000831,Edward,Eugene,Cox,,1880-04-03,GA,D,Yes,1947-01-03,66.7
80,house,T000001,John,,Taber,,1880-05-05,NY,R,Yes,1947-01-03,66.7
80,house,J000096,John,,Jennings,Jr.,1880-06-06,TN,R,Yes,1947-01-03,66.6
80,house,G000206,Wilson,Darwin,Gillette,,1880-07-01,PA,R,Yes,1947-01-03,66.5
80,house,G000360,Louis,Edward,Graham,,1880-08-04,PA,R,Yes,1947-01-03,66.4
80,house,G000207,George,W.,Gillie,,1880-08-15,IN,R,Yes,1947-01-03,66.4
80,house,M000574,Rolla,Coral,McMillen,,1880-10-05,IL,R,Yes,1947-01-03,66.2
80,house,K000301,Harold,,Knutson,,1880-10-20,MN,R,Yes,1947-01-03,66.2
80,house,W000683,Charles,Anderson,Wolverton,,1880-10-24,NJ,R,Yes,1947-01-03,66.2
80,house,J000088,Thomas,Albert,Jenkins,,1880-10-28,OH,R,Yes,1947-01-03,66.2
80,house,F000241,John,Hamlin,Folger,,1880-12-18,NC,D,Yes,1947-01-03,66.0
80,house,Z000009,Orville,,Zimmerman,,1880-12-31,MO,D,Yes,1947-01-03,66.0
80,house,G000297,Angier,Louis,Goodwin,,1881-01-30,MA,R,Yes,1947-01-03,65.9
80,house,V000125,Charles,Wesley,Vursell,,1881-02-08,IL,R,Yes,1947-01-03,65.9
80,house,R000392,Edith,Nourse,Rogers,,1881-03-19,MA,R,Yes,1947-01-03,65.8
80,house,B001096,Raymond,Hugh,Burke,,1881-11-04,OH,R,No,1947-01-03,65.2
80,house,R000082,Samuel,Taliaferro,Rayburn,,1882-01-06,TX,D,Yes,1947-01-03,65.0
80,house,N000135,Fred,Barthold,Norman,,1882-03-21,WA,R,No,1947-01-03,64.8
80,house,R000056,John,Elliott,Rankin,,1882-03-29,MS,D,Yes,1947-01-03,64.8
80,house,C000439,Jerome,Bayard,Clark,,1882-04-05,NC,D,Yes,1947-01-03,64.7
80,house,S000755,Raymond,Smiley,Springer,,1882-04-26,IN,R,Yes,1947-01-03,64.7
80,house,M000224,Noah,Morgan,Mason,,1882-07-19,IL,R,Yes,1947-01-03,64.5
80,house,H000356,Franck,Roberts,Havenner,,1882-09-20,CA,D,Yes,1947-01-03,64.3
80,house,S000554,Howard,Worth,Smith,,1883-02-02,VA,D,Yes,1947-01-03,63.9
80,house,B001056,Alfred,Lee,Bulwinkle,,1883-04-21,NC,D,Yes,1947-01-03,63.7
80,house,C000390,Ralph,Edwin,Church,,1883-05-05,IL,R,Yes,1947-01-03,63.7
80,house,R000209,Robert,Fleming,Rich,,1883-06-23,PA,R,Yes,1947-01-03,63.5
80,house,K000058,Augustine,Bernard,Kelley,,1883-07-09,PA,D,Yes,1947-01-03,63.5
80,house,V000105,Carl,,Vinson,,1883-11-18,GA,D,Yes,1947-01-03,63.1
80,house,D000411,George,Anthony,Dondero,,1883-12-16,MI,R,Yes,1947-01-03,63.0
80,house,C000268,E.,Wallace,Chadwick,,1884-01-17,PA,R,No,1947-01-03,63.0
80,house,S000845,Karl,,Stefan,,1884-03-01,NE,R,Yes,1947-01-03,62.8
80,house,G000541,Ralph,Waldo,Gwinn,,1884-03-29,NY,R,Yes,1947-01-03,62.8
80,house,J000264,Bartel,John,Jonkman,,1884-04-28,MI,R,Yes,1947-01-03,62.7
80,house,B000750,Willis,Winter,Bradley,,1884-06-28,CA,R,No,1947-01-03,62.5
80,house,S000536,Frederick,Cleveland,Smith,,1884-07-29,OH,R,Yes,1947-01-03,62.4
80,house,J000224,Hamilton,Chamberlain,Jones,,1884-09-26,NC,D,No,1947-01-03,62.3
80,house,M000191,Joseph,William,Martin,Jr.,1884-11-03,MA,R,Yes,1947-01-03,62.2
80,house,L000251,John,,Lesinski,,1885-01-03,MI,D,Yes,1947-01-03,62.0
80,house,S000335,Harry,Richard,Sheppard,,1885-01-10,CA,D,Yes,1947-01-03,62.0
80,house,B000332,Charles,Jasper,Bell,,1885-01-16,MO,D,Yes,1947-01-03,62.0
80,house,A000227,James,Coats,Auchincloss,,1885-01-19,NJ,R,Yes,1947-01-03,62.0
80,house,W000699,John,Stephens,Wood,,1885-02-08,GA,D,Yes,1947-01-03,61.9
80,house,F000191,John,William,Flannagan,Jr.,1885-02-20,VA,D,Yes,1947-01-03,61.9
80,house,B000725,Frank,William,Boykin,,1885-02-21,AL,D,Yes,1947-01-03,61.9
80,house,B000607,Frances,Payne,Bolton,,1885-03-29,OH,R,Yes,1947-01-03,61.8
80,house,M001081,John,Robert,Murdock,,1885-04-20,AZ,D,Yes,1947-01-03,61.7
80,house,G000031,Ralph,Abernethy,Gamble,,1885-05-06,NY,R,Yes,1947-01-03,61.7
80,house,T000263,Harve,,Tibbott,,1885-05-27,PA,R,Yes,1947-01-03,61.6
80,house,C000515,Cliff,,Clevenger,,1885-08-20,OH,R,Yes,1947-01-03,61.4
80,house,S000029,John,Carfield,Sanborn,,1885-09-28,ID,R,No,1947-01-03,61.3
80,house,C000529,Roy,,Clippinger,,1886-01-13,IL,R,Yes,1947-01-03,61.0
80,house,H000613,William,Silas,Hill,,1886-01-20,CO,R,Yes,1947-01-03,61.0
80,house,R000369,Robert,Fay,Rockwell,,1886-02-11,CO,R,Yes,1947-01-03,60.9
80,house,D000158,William,Levi,Dawson,,1886-04-26,IL,D,Yes,1947-01-03,60.7
80,house,R000132,Edward,Herbert,Rees,,1886-06-03,KS,R,Yes,1947-01-03,60.6
80,house,S000155,George,Blaine,Schwabe,,1886-07-26,OK,R,Yes,1947-01-03,60.4
80,house,R000391,Dwight,Laing,Rogers,,1886-08-17,FL,D,Yes,1947-01-03,60.4
80,house,M000680,Herbert,Alton,Meyer,,1886-08-30,KS,R,No,1947-01-03,60.3
80,house,G000332,Martin,,Gorski,,1886-10-30,IL,D,Yes,1947-01-03,60.2
80,house,K000244,Michael,Joseph,Kirwan,,1886-12-02,OH,D,Yes,1947-01-03,60.1
80,house,B001148,Clarence,Godber,Burton,,1886-12-14,VA,D,No,1947-01-03,60.1
80,house,L000279,Earl,Ramage,Lewis,,1887-02-22,OH,R,Yes,1947-01-03,59.9
80,house,L000157,Karl,Miles,Le Compte,,1887-05-25,IA,R,Yes,1947-01-03,59.6
80,house,B001179,John,Cornelius,Butler,,1887-07-02,NY,R,Yes,1947-01-03,59.5
80,house,E000135,Hubert,Summers,Ellis,,1887-07-06,WV,R,Yes,1947-01-03,59.5
80,house,J000165,Noble,Jacob,Johnson,,1887-08-23,IN,R,Yes,1947-01-03,59.4
80,house,P000309,John,,Phillips,,1887-09-11,CA,R,Yes,1947-01-03,59.3
80,house,K000041,Frank,Bateman,Keefe,,1887-09-23,WI,R,Yes,1947-01-03,59.3
80,house,M001062,Frederick,Augustus,Muhlenberg,,1887-09-25,PA,R,No,1947-01-03,59.3
80,house,H000663,Samuel,Francis,Hobbs,,1887-10-05,AL,D,Yes,1947-01-03,59.2
80,house,M001112,Reid,Fred,Murray,,1887-10-16,WI,R,Yes,1947-01-03,59.2
80,house,E000178,Albert,Joseph,Engel,,1888-01-01,MI,R,Yes,1947-01-03,59.0
80,house,R000083,Leo,Frederick,Rayfiel,,1888-03-22,NY,D,Yes,1947-01-03,58.8
80,house,J000157,Justin,Leroy,Johnson,,1888-04-08,CA,R,Yes,1947-01-03,58.7
80,house,C000889,Fred,Lewis,Crawford,,1888-05-05,MI,R,Yes,1947-01-03,58.7
80,house,C000264,Emanuel,,Celler,,1888-05-06,NY,D,Yes,1947-01-03,58.7
80,house,W000304,Milton,Horace,West,,1888-06-30,TX,D,Yes,1947-01-03,58.5
80,house,N000097,Donald,William,Nicholson,,1888-08-11,MA,R,No,1947-01-03,58.4
80,house,M000442,Robert,Neill,McGarvey,,1888-08-14,PA,R,No,1947-01-03,58.4
80,house,L000077,Henderson,Lovelace,Lanham,,1888-09-14,GA,D,No,1947-01-03,58.3
80,house,G000379,Walter,Keil,Granger,,1888-10-11,UT,D,Yes,1947-01-03,58.2
80,house,G000493,Chester,Heilman,Gross,,1888-10-13,PA,R,Yes,1947-01-03,58.2
80,house,H000443,James,Joseph,Heffernan,,1888-11-08,NY,D,Yes,1947-01-03,58.1
80,house,K000030,Bernard,William,Kearney,,1889-05-23,NY,R,Yes,1947-01-03,57.6
80,house,C000655,Jesse,Martin,Combs,,1889-07-07,TX,D,Yes,1947-01-03,57.5
80,house,A000250,Walter,Gresham,Andrews,,1889-07-16,NY,R,Yes,1947-01-03,57.5
80,house,F000075,Ivor,David,Fenton,,1889-08-03,PA,R,Yes,1947-01-03,57.4
80,house,R000319,Charles,Raymond,Robertson,,1889-09-05,ND,R,Yes,1947-01-03,57.3
80,house,C000810,William,Wirt,Courtney,,1889-09-07,TN,D,Yes,1947-01-03,57.3
80,house,D000281,Wesley,Abner,D'Ewart,,1889-10-01,MT,R,Yes,1947-01-03,57.3
80,house,G000543,John,Williams,Gwynne,,1889-10-20,IA,R,Yes,1947-01-03,57.2
80,house,F000066,Frank,,Fellows,,1889-11-07,ME,R,Yes,1947-01-03,57.2
80,house,M000037,William,Kingsland,Macy,,1889-11-21,NY,R,No,1947-01-03,57.1
80,house,H000036,Robert,,Hale,,1889-11-29,ME,R,Yes,1947-01-03,57.1
80,house,C000645,William,Meyers,Colmer,,1890-02-11,MS,D,Yes,1947-01-03,56.9
80,house,G000111,Bertrand,Wesley,Gearhart,,1890-05-31,CA,R,Yes,1947-01-03,56.6
80,house,R000111,Chauncey,William,Reed,,1890-06-02,IL,R,Yes,1947-01-03,56.6
80,house,C000993,Paul,Harvey,Cunningham,,1890-06-15,IA,R,Yes,1947-01-03,56.6
80,house,B001024,Charles,Anthony,Buckley,,1890-06-23,NY,D,Yes,1947-01-03,56.5
80,house,B000486,Cecil,William,Bishop,,1890-06-29,IL,R,Yes,1947-01-03,56.5
80,house,L000095,Henry,Dominique,Larcade,Jr.,1890-07-12,LA,D,Yes,1947-01-03,56.5
80,house,S000797,Thomas,Bahnson,Stanley,,1890-07-16,VA,D,Yes,1947-01-03,56.5
80,house,M000233,Frank,Asbury,Mathews,Jr.,1890-08-03,NJ,R,Yes,1947-01-03,56.4
80,house,C000473,Charles,Russell,Clason,,1890-09-03,MA,R,Yes,1947-01-03,56.3
80,house,A000239,August,Herman,Andresen,,1890-10-11,MN,R,Yes,1947-01-03,56.2
80,house,A000114,Asa,Leonard,Allen,,1891-01-05,LA,D,Yes,1947-01-03,56.0
80,house,M000727,George,Paul,Miller,,1891-01-15,CA,D,Yes,1947-01-03,56.0
80,house,B000232,George,Joseph,Bates,,1891-02-25,MA,R,Yes,1947-01-03,55.9
80,house,R000022,Homer,Alonzo,Ramey,,1891-03-02,OH,R,Yes,1947-01-03,55.8
80,house,P000002,Stephen,,Pace,,1891-03-09,GA,D,Yes,1947-01-03,55.8
80,house,W000450,Richard,Bowditch,Wigglesworth,,1891-04-25,MA,R,Yes,1947-01-03,55.7
80,house,B000621,Herbert,Covington,Bonner,,1891-05-16,NC,D,Yes,1947-01-03,55.6
80,house,M000021,Russell,Vernon,Mack,,1891-06-13,WA,R,No,1947-01-03,55.6
80,house,S000923,William,Grady,Stigler,,1891-07-07,OK,D,Yes,1947-01-03,55.5
80,house,E000160,Charles,Henry,Elston,,1891-08-01,OH,R,Yes,1947-01-03,55.4
80,house,W000252,Alvin,F.,Weichel,,1891-09-11,OH,R,Yes,1947-01-03,55.3
80,house,S000896,William,Henry,Stevenson,,1891-09-23,WI,R,Yes,1947-01-03,55.3
80,house,B000119,Parke,Monroe,Banta,,1891-11-21,MO,R,No,1947-01-03,55.1
80,house,M000364,John,William,McCormack,,1891-12-21,MA,D,Yes,1947-01-03,55.0
80,house,T000028,Henry,Oscar,Talle,,1892-01-12,IA,R,Yes,1947-01-03,55.0
80,house,P000285,Joseph,Lawrence,Pfeifer,,1892-02-06,NY,D,Yes,1947-01-03,54.9
80,house,M000039,Ray,John,Madden,,1892-02-25,IN,D,Yes,1947-01-03,54.9
80,house,G000091,Julian,Vaughan,Gary,,1892-02-25,VA,D,Yes,1947-01-03,54.9
80,house,E000029,Herman,Peter,Eberharter,,1892-04-29,PA,D,Yes,1947-01-03,54.7
80,house,M000715,Arthur,Lewis,Miller,,1892-05-24,NE,R,Yes,1947-01-03,54.6
80,house,B000794,Walter,Ellsworth,Brehm,,1892-05-25,OH,R,Yes,1947-01-03,54.6
80,house,B001016,Ellsworth,Brewer,Buck,,1892-07-03,NY,R,Yes,1947-01-03,54.5
80,house,R000288,Ross,,Rizley,,1892-07-05,OK,R,Yes,1947-01-03,54.5
80,house,C000070,Albert,Sidney,Camp,,1892-07-26,GA,D,Yes,1947-01-03,54.4
80,house,D000571,Carl,Thomas,Durham,,1892-08-28,NC,D,Yes,1947-01-03,54.3
80,house,S000585,Lawrence,Henry,Smith,,1892-09-15,WI,R,Yes,1947-01-03,54.3
80,house,S000640,Wint,,Smith,,1892-10-07,KS,R,No,1947-01-03,54.2
80,house,J000058,Peterson,Bryant,Jarman,,1892-10-31,AL,D,Yes,1947-01-03,54.2
80,house,B000176,Frank,Aloysius,Barrett,,1892-11-10,WY,R,Yes,1947-01-03,54.1
80,house,J000100,Benton,Franklin,Jensen,,1892-12-16,IA,R,Yes,1947-01-03,54.0
80,house,M000199,Thomas,Ellsworth,Martin,,1893-01-18,IA,R,Yes,1947-01-03,54.0
80,house,B000999,Joseph,Raleigh,Bryson,,1893-01-18,SC,D,Yes,1947-01-03,54.0
80,house,G000102,Leon,Harry,Gavin,,1893-02-25,PA,R,Yes,1947-01-03,53.9
80,house,W000668,Jesse,Paine,Wolcott,,1893-03-03,MI,R,Yes,1947-01-03,53.8
80,house,R000140,Kenneth,Mills,Regan,,1893-03-06,TX,D,No,1947-01-03,53.8
80,house,H000284,Edward,Joseph,Hart,,1893-03-25,NJ,D,Yes,1947-01-03,53.8
80,house,G000472,Percy,Wilfred,Griffiths,,1893-03-30,OH,R,Yes,1947-01-03,53.8
80,house,K000170,Clarence,Evans,Kilburn,,1893-04-13,NY,R,Yes,1947-01-03,53.7
80,house,S000277,Paul,Werntz,Shafer,,1893-04-27,MI,R,Yes,1947-01-03,53.7
80,house,L000519,Georgia,Lee,Lusk,,1893-05-12,NM,D,No,1947-01-03,53.6
80,house,H000768,Clifford,Ragsdale,Hope,,1893-06-09,KS,R,Yes,1947-01-03,53.6
80,house,B000909,Clarence,J.,Brown,,1893-07-14,OH,R,Yes,1947-01-03,53.5
80,house,C000755,Jere,,Cooper,,1893-07-20,TN,D,Yes,1947-01-03,53.5
80,house,P000103,John,William Wright,Patman,,1893-08-06,TX,D,Yes,1947-01-03,53.4
80,house,J000225,Homer,Raymond,Jones,,1893-09-03,WA,R,No,1947-01-03,53.3
80,house,L000161,Jay,,Le Fevre,,1893-09-06,NY,R,Yes,1947-01-03,53.3
80,house,K000029,Robert,Winthrop,Kean,,1893-09-28,NJ,R,Yes,1947-01-03,53.3
80,house,S000067,Lansdale,Ghiselin,Sasscer,,1893-09-30,MD,D,Yes,1947-01-03,53.3
80,house,C000192,Henderson,Haverfield,Carson,,1893-10-25,OH,R,No,1947-01-03,53.2
80,house,B000237,Joseph,Bengal,Bates,,1893-10-29,KY,D,Yes,1947-01-03,53.2
80,house,G000316,Thomas,Sylvy,Gordon,,1893-12-17,IL,D,Yes,1947-01-03,53.0
80,house,D000354,John,David,Dingell,,1894-02-02,MI,D,Yes,1947-01-03,52.9
80,house,T000373,James,William,Trimble,,1894-02-03,AR,D,Yes,1947-01-03,52.9
80,house,P000261,James,Hardin,Peterson,,1894-02-11,FL,D,Yes,1947-01-03,52.9
80,house,W000108,Francis,Eugene,Walter,,1894-05-26,PA,D,Yes,1947-01-03,52.6
80,house,B000271,James,Glenn,Beall,,1894-06-05,MD,R,Yes,1947-01-03,52.6
80,house,L000537,Walter,Aloysius,Lynch,,1894-07-07,NY,D,Yes,1947-01-03,52.5
80,house,S000764,Katharine,Price Collier,St. George,,1894-07-12,NY,R,No,1947-01-03,52.5
80,house,H000640,John,Carl Williams,Hinshaw,,1894-07-28,CA,R,Yes,1947-01-03,52.4
80,house,M001114,Thomas,Jefferson,Murray,,1894-08-01,TN,D,Yes,1947-01-03,52.4
80,house,H000442,Erland,Harold,Hedrick,,1894-08-09,WV,D,Yes,1947-01-03,52.4
80,house,D000403,James,Isaac,Dolliver,,1894-08-31,IA,R,Yes,1947-01-03,52.3
80,house,R000214,James,Prioleau,Richards,,1894-08-31,SC,D,Yes,1947-01-03,52.3
80,house,S000437,Sidney,Elmer,Simpson,,1894-09-20,IL,R,Yes,1947-01-03,52.3
80,house,M000414,Gordon,Leo,McDonough,,1895-01-02,CA,R,Yes,1947-01-03,52.0
80,house,T000175,John,Parnell,Thomas,,1895-01-16,NJ,R,Yes,1947-01-03,52.0
80,house,O000056,Joseph,Patrick,O'Hara,,1895-01-23,MN,R,Yes,1947-01-03,51.9
80,house,M000724,Edward,Tylor,Miller,,1895-02-01,MD,R,No,1947-01-03,51.9
80,house,R000260,John,Jacob,Riley,,1895-02-01,SC,D,Yes,1947-01-03,51.9
80,house,B001161,Fred,Ernst,Busbey,,1895-02-08,IL,R,No,1947-01-03,51.9
80,house,L000052,Gerald,Wayne,Landis,,1895-02-23,IN,R,Yes,1947-01-03,51.9
80,house,C000317,Virgil,Munday,Chapman,,1895-03-15,KY,D,Yes,1947-01-03,51.8
80,house,S000676,Andrew,Lawrence,Somers,,1895-03-21,NY,D,Yes,1947-01-03,51.8
80,house,H000548,Christian,Archibald,Herter,,1895-03-28,MA,R,Yes,1947-01-03,51.8
80,house,H000678,Charles,Bernard,Hoeven,,1895-03-30,IA,R,Yes,1947-01-03,51.8
80,house,D000109,James,Curran,Davis,,1895-05-17,GA,D,No,1947-01-03,51.6
80,house,F000255,Aime,Joseph,Forand,,1895-05-23,RI,D,Yes,1947-01-03,51.6
80,house,E000119,Alfred,James,Elliott,,1895-06-01,CA,D,Yes,1947-01-03,51.6
80,house,H000217,Forest,Arthur,Harness,,1895-06-24,IN,R,Yes,1947-01-03,51.5
80,house,P000475,C.,Norris,Poulson,,1895-07-23,CA,R,No,1947-01-03,51.4
80,house,F000404,Hadwen,Carlton,Fuller,,1895-08-28,NY,R,Yes,1947-01-03,51.3
80,house,V000003,Richard,Bernard,Vail,,1895-08-31,IL,R,No,1947-01-03,51.3
80,house,G000135,Charles,Lewis,Gerlach,,1895-09-14,PA,R,Yes,1947-01-03,51.3
80,house,A000216,Leslie,Cornelius,Arends,,1895-09-27,IL,R,Yes,1947-01-03,51.3
80,house,D000360,Everett,McKinley,Dirksen,,1896-01-04,IL,R,Yes,1947-01-03,51.0
80,house,J000086,Mitchell,,Jenkins,,1896-01-24,PA,R,No,1947-01-03,50.9
80,house,R000002,Benjamin,J.,Rabin,,1896-06-03,NY,D,Yes,1947-01-03,50.6
80,house,V000119,John,Martin,Vorys,,1896-06-16,OH,R,Yes,1947-01-03,50.5
80,house,T000198,Clark,Wallace,Thompson,,1896-08-06,TX,D,No,1947-01-03,50.4
80,house,N000137,William,Frank,Norrell,,1896-08-29,AR,D,Yes,1947-01-03,50.3
80,house,B000139,Graham,Arthur,Barden,,1896-09-25,NC,D,Yes,1947-01-03,50.3
80,house,B000356,George,Harrison,Bender,,1896-09-29,OH,R,Yes,1947-01-03,50.3
80,house,M000460,J.,Harry,McGregor,,1896-09-30,OH,R,Yes,1947-01-03,50.3
80,house,C000221,Francis,Higbee,Case,,1896-12-09,SD,R,Yes,1947-01-03,50.1
80,house,A000179,Herman,Carl,Andersen,,1897-01-27,MN,R,Yes,1947-01-03,49.9
80,house,T000444,Robert,Joseph,Twyman,,1897-06-18,IL,R,No,1947-01-03,49.5
80,house,G000381,George,McInvale,Grant,,1897-07-11,AL,D,Yes,1947-01-03,49.5
80,house,C000736,Harold,Dunbar,Cooley,,1897-07-26,NC,D,Yes,1947-01-03,49.4
80,house,C000346,John,Edgar,Chenoweth,,1897-08-17,CO,R,Yes,1947-01-03,49.4
80,house,C000614,William,Clay,Cole,,1897-08-29,MO,R,Yes,1947-01-03,49.3
80,house,G000447,Noble,Jones,Gregory,,1897-08-30,KY,D,Yes,1947-01-03,49.3
80,house,F000034,Joseph,Rider,Farrington,,1897-10-15,HI,R,Yes,1947-01-03,49.2
80,house,D000094,Clifford,,Davis,,1897-11-18,TN,D,Yes,1947-01-03,49.1
80,house,S000590,Margaret,Chase,Smith,,1897-12-14,ME,R,Yes,1947-01-03,49.1
80,house,O000160,Thomas,Leonard,Owens,,1897-12-21,IL,R,No,1947-01-03,49.0
80,house,B000884,Overton,,Brooks,,1897-12-21,LA,D,Yes,1947-01-03,49.0
80,house,F000250,Ellsworth,Bishop,Foote,,1898-01-12,CT,R,No,1947-01-03,49.0
80,house,K000196,Cecil,Rhodes,King,,1898-01-13,CA,D,Yes,1947-01-03,49.0
80,house,H000550,William,Emil,Hess,,1898-02-13,OH,R,Yes,1947-01-03,48.9
80,house,S000194,Errett,Power,Scrivner,,1898-03-20,KS,R,Yes,1947-01-03,48.8
80,house,S000377,Dewey,Jackson,Short,,1898-04-07,MO,R,Yes,1947-01-03,48.7
80,house,B000742,Frederick,Van Ness,Bradley,,1898-04-12,MI,R,Yes,1947-01-03,48.7
80,house,M000568,John,Lanneau,McMillan,,1898-04-12,SC,D,Yes,1947-01-03,48.7
80,house,T000156,Albert,,Thomas,,1898-04-12,TX,D,Yes,1947-01-03,48.7
80,house,C000113,Gordon,,Canfield,,1898-04-15,NJ,R,Yes,1947-01-03,48.7
80,house,C000804,Frederic,René,Coudert,Jr.,1898-05-07,NY,R,No,1947-01-03,48.7
80,house,D000004,Paul,Bartram,Dague,,1898-05-19,PA,R,No,1947-01-03,48.6
80,house,P000303,Philip,Joseph,Philbin,,1898-05-29,MA,D,Yes,1947-01-03,48.6
80,house,A000163,James,Lindsay,Almond,Jr.,1898-06-15,VA,D,Yes,1947-01-03,48.6
80,house,L000065,Thomas,Joseph,Lane,,1898-07-06,MA,D,Yes,1947-01-03,48.5
80,house,K000341,John,Crain,Kunkel,,1898-07-21,PA,R,Yes,1947-01-03,48.5
80,house,H000405,Lawrence,Brooks,Hays,,1898-08-09,AR,D,Yes,1947-01-03,48.4
80,house,J000278,Walter,Henry,Judd,,1898-09-25,MN,R,Yes,1947-01-03,48.3
80,house,A000138,Leo,Elwood,Allen,,1898-10-05,IL,R,Yes,1947-01-03,48.2
80,house,H000786,Walter,Franklin,Horan,,1898-10-15,WA,R,Yes,1947-01-03,48.2
80,house,S000670,Melvin,Claude,Snyder,,1898-10-29,WV,R,No,1947-01-03,48.2
80,house,D000175,Charles,Bennett,Deane,,1898-11-01,NC,D,No,1947-01-03,48.2
80,house,T000320,Harry,Lancaster,Towe,,1898-11-03,NJ,R,Yes,1947-01-03,48.2
80,house,V000069,James,Edward,Van Zandt,,1898-12-18,PA,R,No,1947-01-03,48.0
80,house,C000887,William,Fadjo,Cravens,,1899-02-15,AR,D,Yes,1947-01-03,47.9
80,house,M000991,Toby,,Morris,,1899-02-28,OK,D,No,1947-01-03,47.8
80,house,M000764,William,Jennings,Miller,,1899-03-12,CT,R,No,1947-01-03,47.8
80,house,M000089,Franklin,John,Maloney,,1899-03-29,PA,R,No,1947-01-03,47.8
80,house,R000250,Roy,Walter,Riehlman,,1899-08-26,NY,R,No,1947-01-03,47.4
80,house,E000146,Mathew,Harris,Ellsworth,,1899-09-17,OR,R,Yes,1947-01-03,47.3
80,house,C000365,Robert,Bruce,Chiperfield,,1899-11-20,IL,R,Yes,1947-01-03,47.1
80,house,A000133,John,Joseph,Allen,Jr.,1899-11-27,CA,R,No,1947-01-03,47.1
80,house,P000524,Emory,Hilliard,Price,,1899-12-03,FL,D,Yes,1947-01-03,47.1
