state,year,candidate,forecast_prob,result,winflag
New Jersey,2008,Zimmer,0.00,Lose,0
New Jersey,2012,Menendez,1.00,Win,1
New Jersey,2012,Kyrillos,0.00,Loss,0
New Mexico,2008,T. Udall,1.00,Win,1
New Mexico,2008,Pearce,0.00,Lose,0
New Mexico,2012,Heinrich,0.97,Win,1
New Mexico,2012,Wilson,0.03,Loss,0
New York,2010,Schumer,1.00,Win,1
New York,2010,Townsend,0.00,Loss,0
New York,2012,Gillibrand,1.00,Win,1
New York,2012,Long,0.00,Loss,0
New York (special election),2010,Gillibrand,1.00,Win,1
New York (special election),2010,DioGuardi,0.00,Loss,0
North Carolina,2008,Hagan,0.88,Win,1
North Carolina,2008,Dole,0.12,Lose,0
North Carolina,2010,Burr,1.00,Win,1
North Carolina,2010,Marshall,0.00,Loss,0
North Dakota,2010,Hoeven,1.00,Win,1
North Dakota,2010,Potter,0.00,Loss,0
North Dakota,2012,Berg,0.92,Loss,0
North Dakota,2012,Heitkamp,0.08,Win,1
Ohio,2010,Portman,1.00,Win,1
Ohio,2010,Fisher,0.00,Loss,0
Ohio,2012,Brown,0.97,Win,1
Ohio,2012,Mandel,0.03,Loss,0
Oklahoma,2008,Inhofe,1.00,Win,1
Oklahoma,2008,Rice,0.00,Lose,0
Oklahoma,2010,Coburn,1.00,Win,1
Oklahoma,2010,Rogers,0.00,Loss,0
Oregon,2008,Merkley,0.92,Win,1
Oregon,2008,Smith,0.08,Lose,0
Oregon,2010,Wyden,1.00,Win,1
Oregon,2010,Huffman,0.00,Loss,0
Pennsylvania,2010,Toomey,0.97,Win,1
Pennsylvania,2010,Sestak,0.03,Loss,0
Pennsylvania,2012,Casey,0.99,Win,1
Pennsylvania,2012,Smith,0.01,Loss,0
Rhode Island,2008,Reed,1.00,Win,1
Rhode Island,2008,Tingle,0.00,Lose,0
Rhode Island,2012,Whitehouse,1.00,Win,1
Rhode Island,2012,Hinkley,0.00,Loss,0
South Carolina,2008,Graham,1.00,Win,1
South Carolina,2008,Conley,0.00,Lose,0
South Carolina,2010,DeMint,1.00,Win,1
South Carolina,2010,Greene,0.00,Loss,0
South Dakota,2008,Johnson,1.00,Win,1
South Dakota,2008,Dykstra,0.00,Lose,0
South Dakota,2010,Thune,1.00,Win,1
Tennessee,2008,Alexander,1.00,Win,1
Tennessee,2008,Tuke,0.00,Lose,0
Tennessee,2012,Corker,1.00,Win,1
Tennessee,2012,Clayton,0.00,Loss,0
Texas,2008,Cornyn,1.00,Win,1
Texas,2008,Noriega,0.00,Lose,0
Texas,2012,Cruz,1.00,Win,1
Texas,2012,Sadler,0.00,Loss,0
Utah,2010,Lee,1.00,Win,1
Utah,2010,Granato,0.00,Loss,0
Utah,2012,Hatch,1.00,Win,1
Utah,2012,Lowell,0.00,Loss,0
Vermont,2010,Leahy,1.00,Win,1
Vermont,2010,Britton,0.00,Loss,0
Vermont,2012,Sanders,1.00,Win,1
Vermont,2012,MacGovern,0.00,Loss,0
Virginia,2008,Warner,1.00,Win,1
Virginia,2008,Gilmore,0.00,Lose,0
Virginia,2012,Kaine,0.88,Win,1
Virginia,2012,Allen,0.12,Loss,0
Washington,2010,Murray,0.80,Win,1
Washington,2010,Rossi,0.20,Loss,0
Washington,2012,Cantwell,0.88,Win,1
Washington,2012,Baumgartner,0.12,Loss,0
West Virginia,2010,Manchin,0.89,Win,1
West Virginia,2010,Raese,0.11,Loss,0
West Virginia,2012,Manchin,0.92,Win,1
West Virginia,2012,Raese,0.08,Loss,0
Wisconsin,2010,Johnson,0.97,Win,1
Wisconsin,2010,Feingold,0.03,Loss,0
Wisconsin,2012,Thompson,0.79,Win,1
Wisconsin,2012,Baldwin,0.21,Loss,0
Wyoming,2008,Enzi,1.00,Win,1
Wyoming,2008,Rothfuss,0.00,Lose,0
Wyoming,2012,Barrasso,1.00,Win,1
Wyoming,2012,Chestnut,0.00,Loss,0
Wyoming (special election),2008,Barrasso,1.00,Win,1
Wyoming (special election),2008,Carter,0.00,Lose,0
