RespondentID,Do you celebrate Thanksgiving?,What is typically the main dish at your Thanksgiving dinner?,What is typically the main dish at your Thanksgiving dinner? - Other (please specify),How is the main dish typically cooked?,How is the main dish typically cooked? - Other (please specify),What kind of stuffing/dressing do you typically have?,What kind of stuffing/dressing do you typically have? - Other (please specify),What type of cranberry saucedo you typically have?,What type of cranberry saucedo you typically have? - Other (please specify),Do you typically have gravy?,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Brussel sprouts,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Carrots,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Cauliflower,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Corn,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Cornbread,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Fruit salad,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Green beans/green bean casserole,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Macaroni and cheese,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Mashed potatoes,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Rolls/biscuits,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Squash,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Vegetable salad,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Yams/sweet potato casserole,Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which of these side dishes aretypically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Apple,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Buttermilk,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Cherry,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Chocolate,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Coconut cream,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Key lime,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Peach,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Pecan,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Pumpkin,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Sweet Potato,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - None,Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which type of pie is typically served at your Thanksgiving dinner? Please select all that apply. - Other (please specify),Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Apple cobbler,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Blondies,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Brownies,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Carrot cake,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Cheesecake,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Cookies,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Fudge,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Ice cream,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Peach cobbler,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - None,Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Other (please specify),Which of these desserts do you typically have at Thanksgiving dinner? Please select all that apply.   - Other (please specify),Do you typically pray before or after the Thanksgiving meal?,How far will you travel for Thanksgiving?,Will you watch any of the following programs on Thanksgiving? Please select all that apply. - Macy's Parade,"What's the age cutoff at your ""kids' table"" at Thanksgiving?",Have you ever tried to meet up with hometown friends on Thanksgiving night?,"Have you ever attended a ""Friendsgiving?""",Will you shop any Black Friday sales on Thanksgiving Day?,Do you work in retail?,Will you employer make you work on Black Friday?,How would you describe where you live?,Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
4337899680,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",Mountain
4337893416,Yes,Turkey,,Baked,,Bread-based,,Canned,,No,,,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,Chocolate,,,,Pecan,,,,,,,,,,,,,,,,Other (please specify),Pie,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,12,No,No,No,No,,Suburban,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
4337888291,Yes,Ham/Pork,,Roasted,,Bread-based,,Canned,,Yes,,,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,Cherry,,,,Peach,,Pumpkin,,,,,,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,21 or older,No,No,No,No,,Suburban,18 - 29,Male,"$0 to $9,999",East North Central
4337878450,Yes,Turkey,,Baked,,Rice-based,,Homemade,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,Cherry,Chocolate,,,,,Pumpkin,,,,,,,Brownies,,,Cookies,,,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,Yes,Yes,No,,Urban,18 - 29,Male,"$0 to $9,999",Middle Atlantic
4337878351,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,,,,Chocolate,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Rural,60+,Male,"$50,000 to $74,999",West North Central
4337857295,Yes,Turkey,,Roasted,,Rice-based,,Canned,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,,,,Yams/sweet potato casserole,,,,,,,,,,,,Sweet Potato,,,,,,,Carrot cake,,,,,,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,Yes,No,No,,Suburban,30 - 44,Male,"$200,000 and up",Pacific
4337856362,Yes,Turducken,,Roasted,,Bread-based,,Homemade,,Yes,,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,,,Cherry,,,,,Pecan,,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,Yes,Yes,Yes,Yes,Doesn't apply,Suburban,30 - 44,Male,"$200,000 and up",Pacific
4337854106,Yes,Turkey,,Baked,,Bread-based,,None,,Yes,,Carrots,,Corn,,,,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,,,,,,,,,Pumpkin,,,,,Apple cobbler,,,,,Cookies,,Ice cream,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,15,No,Yes,Yes,No,,Urban,18 - 29,Male,"$75,000 to $99,999",East North Central
4337844879,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,Fruit salad,,,,,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,No,No,No,No,,Suburban,30 - 44,Male,"$25,000 to $49,999",Mountain
4337823612,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,Yes,No,No,No,,Rural,30 - 44,Male,"$75,000 to $99,999",East North Central
4337820281,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,Yes,Yes,No,No,,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
4337813502,Yes,Turkey,,Fried,,None,,Homemade,,Yes,,,Cauliflower,Corn,Cornbread,,,,,,,,,,,,Buttermilk,Cherry,Chocolate,Coconut cream,,,,,,,,,Apple cobbler,Blondies,Brownies,,,,,,,,,,No,Thanksgiving is happening at my home--I won't travel at all,,15,Yes,Yes,Yes,Yes,Yes,Urban,18 - 29,Male,"$0 to $9,999",Pacific
4337809020,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,Male,"$0 to $9,999",Middle Atlantic
4337793158,Yes,Turkey,,Baked,,Rice-based,,Homemade,,Yes,,Carrots,Cauliflower,,,,,,,,,,,,,Apple,Buttermilk,Cherry,,,,,,,,,,,,,Brownies,,Cheesecake,,,,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Urban,18 - 29,Male,"$0 to $9,999",Pacific
4337792130,Yes,Turkey,,Baked,,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,15,Yes,Yes,Yes,No,,Suburban,30 - 44,Female,"$50,000 to $74,999",West South Central
4337790002,Yes,Turkey,,Roasted,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,Cauliflower,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,Cherry,Chocolate,Coconut cream,Key lime,Peach,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,Brownies,Carrot cake,Cheesecake,Cookies,Fudge,Ice cream,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,Macy's Parade,10 or younger,No,No,No,No,,Rural,18 - 29,Male,"$200,000 and up",Middle Atlantic
4337783794,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,,,,,Pumpkin,,,,,,,Brownies,,,,,,,,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Urban,30 - 44,Male,"$50,000 to $74,999",South Atlantic
4337779071,Yes,Turkey,,Roasted,,Bread-based,,Canned,,Yes,,,,,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,Ice cream,,,Other (please specify),Sparkling Apple Cider,Yes,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,Yes,Yes,Yes,Yes,Suburban,18 - 29,Male,"$100,000 to $124,999",East North Central
4337778119,Yes,Other (please specify),Varies,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,,,,,Green beans/green bean casserole,,Mashed potatoes,,,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,Yes,No,No,,Urban,30 - 44,Female,Prefer not to answer,Pacific
4337774090,Yes,Turkey,,Baked,,Bread-based,,None,,Yes,,,,Corn,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,,,,Apple,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,10 or younger,No,No,No,No,,Urban,30 - 44,Male,"$75,000 to $99,999",Pacific
4337772882,Yes,Other (please specify),some kind of lentil or vegetable stew,Other (please specify),stovetop,None,,Homemade,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,,,,,,,,,,,,Pumpkin,,,,,,,,,,,,,,None,,,No,Thanksgiving is local--it will take place in the town I live in,,10 or younger,No,No,No,No,,Urban,30 - 44,Female,"$25,000 to $49,999",Pacific
4337772493,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,Prefer not to answer,West South Central
4337772193,Yes,Turkey,,Baked,,None,,Homemade,,Yes,Brussel sprouts,,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,,,,Peach,,Pumpkin,,,,,Apple cobbler,,Brownies,,,Cookies,,,Peach cobbler,,,,No,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,10 or younger,No,No,Yes,No,,Urban,18 - 29,Male,Prefer not to answer,Pacific
4337771439,Yes,Tofurkey,,Baked,,Bread-based,,Homemade,,Yes,Brussel sprouts,Carrots,,Corn,Cornbread,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,,,Apple cobbler,,,,,,,,,,,,No,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,10 or younger,Yes,No,No,No,,Suburban,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
4337763296,Yes,Turkey,,Baked,,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,Macaroni and cheese,,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,,Pecan,,,,,,,,,,,,,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,12,Yes,No,Yes,No,,Urban,30 - 44,Male,"$25,000 to $49,999",South Atlantic
4337759901,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",New England
4337758789,Yes,Turkey,,Roasted,,Bread-based,,None,,Yes,,,,,,,Green beans/green bean casserole,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,Pecan,Pumpkin,,,,,,,,,,,,,,None,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,Macy's Parade,10 or younger,Yes,Yes,No,No,,Urban,30 - 44,Male,"$50,000 to $74,999",East South Central
4337747968,Yes,Turkey,,I don't know,,Bread-based,,Homemade,,Yes,,Carrots,Cauliflower,Corn,Cornbread,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,Squash,Vegetable salad,Yams/sweet potato casserole,,,Apple,,,Chocolate,Coconut cream,Key lime,,Pecan,Pumpkin,Sweet Potato,,,,,Blondies,Brownies,Carrot cake,Cheesecake,Cookies,Fudge,Ice cream,Peach cobbler,,,,No,Thanksgiving is local--it will take place in the town I live in,,14,No,No,No,Yes,Yes,Suburban,18 - 29,Male,Prefer not to answer,New England
4337743121,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,Brussel sprouts,,,Corn,,,,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,,,,,Apple,,,,Coconut cream,,,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,,,Cheesecake,,,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,Macy's Parade,18,Yes,No,No,No,,Suburban,18 - 29,Male,"$25,000 to $49,999",Pacific
4337732348,Yes,Ham/Pork,,Roasted,,Bread-based,,Homemade,,Yes,,Carrots,,Corn,Cornbread,,,,Mashed potatoes,Rolls/biscuits,Squash,,Yams/sweet potato casserole,,,Apple,,,Chocolate,,,Peach,,Pumpkin,,,,,Apple cobbler,,Brownies,,,,,Ice cream,Peach cobbler,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,,10 or younger,No,No,No,No,,Rural,18 - 29,Male,"$200,000 and up",West South Central
4337731242,Yes,Turkey,,Baked,,Bread-based,,None,,Yes,,Carrots,,,Cornbread,Fruit salad,,,,,,,,,,,Buttermilk,,,,,,Pecan,,,,,,,,,,,Cookies,,,Peach cobbler,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,13,No,No,No,Yes,No,Urban,18 - 29,Male,"$200,000 and up",West North Central
4337725725,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 - 29,Male,"$0 to $9,999",West South Central
4337719588,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,,Corn,,,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,,Squash,,Yams/sweet potato casserole,,,,,,Chocolate,,,,Pecan,Pumpkin,,,,,,,,,,Cookies,,,,,,,Yes,Thanksgiving is out of town but not too far--it's a drive of a few hours or less,,16,No,No,No,Yes,Yes,Suburban,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
4337698969,Yes,Turkey,,Baked,,Bread-based,,Canned,,Yes,,,,,,,,,Mashed potatoes,Rolls/biscuits,,,Yams/sweet potato casserole,,,,,,,,,,,Pumpkin,,,Other (please specify),Strawberry Rhubarb,,,,,,,,Ice cream,,,,,Yes,Thanksgiving is happening at my home--I won't travel at all,Macy's Parade,12,No,No,No,No,,Suburban,30 - 44,Male,Prefer not to answer,Mountain
4337698743,Yes,Turkey,,Baked,,Bread-based,,Homemade,,Yes,,,Cauliflower,Corn,,,Green beans/green bean casserole,,,Rolls/biscuits,,,Yams/sweet potato casserole,,,Apple,,,,,,,,Pumpkin,Sweet Potato,,,,,,,,Cheesecake,Cookies,,Ice cream,,,,,Yes,Thanksgiving is out of town and far away--I have to drive several hours or fly,,12,Yes,No,No,No,,Rural,18 - 29,Male,"$50,000 to $74,999",Middle Atlantic
4337693643,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 - 44,Male,"$25,000 to $49,999",South Atlantic
4337660047,Yes,Turkey,,Baked,,None,,Homemade,,Yes,,Carrots,Cauliflower,Corn,Cornbread,Fruit salad,Green beans/green bean casserole,Macaroni and cheese,Mashed potatoes,Rolls/biscuits,,Vegetable salad,Yams/sweet potato casserole,,,Apple,,Cherry,,,,,Pecan,Pumpkin,Sweet Potato,,,,Apple cobbler,,,,Cheesecake,Cookies,Fudge,,Peach cobbler,,,,Yes,Thanksgiving is local--it will take place in the town I live in,,10 or younger,Yes,Yes,No,Yes,Yes,Suburban,18 - 29,Male,"$10,000 to $24,999",Pacific
