Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,2020 Election Stance,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Michael Philips,Male,White,,,No,No,Texas,3/1/22,Representative,8,871,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jessica Wellington,Female,White,,,No,No,Texas,3/1/22,Representative,8,"1,550",2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taylor M. Whichard IV,Male,White,,,No,No,Texas,3/1/22,Representative,8,295,0%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy I. Leon,Male,Unknown,,,No,No,Texas,3/1/22,Representative,9,"10,503",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael McCaul,Male,White,,,Yes,No,Texas,3/1/22,Representative,10,"63,920",100%,Won,N/A,N/A,N/A,Accepted with reservations,Yes,11/11/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
August Pfluger,Male,White,,,Yes,No,Texas,3/1/22,Representative,11,"61,479",100%,Won,N/A,N/A,N/A,Fully denied,Yes,11/9/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ryan J. Catala,Male,White,,,No,Yes,Texas,3/1/22,Representative,12,"8,759",14%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Kay Granger,Female,White,,,Yes,No,Texas,3/1/22,Representative,12,"46,779",75%,Won,N/A,N/A,N/A,Fully accepted,Yes,2/17/22,N/A,N/A,N/A,N/A,Yes,Yes,N/A
Alysia Rieg,Female,Asian (Vietnamese),White,,No,Yes,Texas,3/1/22,Representative,12,"6,662",11%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,N/A
Ronny Jackson,Male,White,,,Yes,No,Texas,3/1/22,Representative,13,"71,554",100%,Won,N/A,N/A,N/A,Fully denied,Yes,12/13/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keith Casey,Male,White,,,No,Yes,Texas,3/1/22,Representative,14,"5,178",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ruben Landon Dante,Male,Latino,,,No,Yes,Texas,3/1/22,Representative,14,"1,854",3%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Randy Weber,Male,White,,,Yes,No,Texas,3/1/22,Representative,14,"58,439",89%,Won,N/A,N/A,N/A,Fully denied,Yes,2/16/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sara Canady,Female,White,,,No,No,Texas,3/1/22,Representative,15,"2,741",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
Aizar Cavazos,Male,Latino,,,No,No,Texas,3/1/22,Representative,15,504,2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
Vangela Churchill,Female,Latino,,,No,No,Texas,3/1/22,Representative,15,298,1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
Monica De La Cruz,Female,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,15,"16,835",57%,Won,N/A,N/A,N/A,Fully denied,Yes,2/17/22,N/A,Yes,N/A,Yes,Yes,Yes,Yes
Mauro Garza,Male,Latino,,,No,No,Texas,3/1/22,Representative,15,"4,544",15%,Lost,N/A,N/A,N/A,Raised questions,No,N/A,N/A,No,N/A,No,No,No,No
Angela Juarez,Female,Unknown,,,No,No,Texas,3/1/22,Representative,15,416,1%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
Ryan Krause,Male,White,,,No,No,Texas,3/1/22,Representative,15,"2,728",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
John C. Lerma,Male,White,,,No,No,Texas,3/1/22,Representative,15,658,2%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
Steve Schmuker Jr,Male,White,,,No,No,Texas,3/1/22,Representative,15,"1,064",4%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,No,N/A,No,No,No,No
Irene Armendariz-Jackson,Female,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,16,"12,623",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paulette Carson,Female,White,,,No,Yes,Texas,3/1/22,Representative,17,"7,246",11%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Jason ""Stormchaser"" Nelson",Male,White,,,No,Yes,Texas,3/1/22,Representative,17,"8,371",12%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rob Rosenberger,Male,White,,,No,Yes,Texas,3/1/22,Representative,17,"5,100",7%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pete Sessions,Male,White,,,Yes,No,Texas,3/1/22,Representative,17,"48,222",70%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carmen Maria Montiel,Female,Latino (Venezuelan),,,No,No,Texas,3/1/22,Representative,18,"11,087",100%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jodey C. Arrington,Male,White,,,Yes,No,Texas,3/1/22,Representative,19,"68,503",100%,Won,N/A,N/A,N/A,Fully denied,Yes,2/17/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kyle Sinclair,Male,White,,,No,No,Texas,3/1/22,Representative,20,"15,938",100%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Alexander French,Male,White,,,No,Yes,Texas,3/1/22,Representative,21,"3,886",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Robert Lowry,Male,White,,,No,Yes,Texas,3/1/22,Representative,21,"7,642",8%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Chip Roy,Male,White,,,Yes,No,Texas,3/1/22,Representative,21,"78,087",83%,Won,N/A,N/A,N/A,Fully accepted,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A
Dana Zavorka,Female,White,,,No,Yes,Texas,3/1/22,Representative,21,"4,206",4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A
Troy E. Nehls,Male,White,,,Yes,No,Texas,3/1/22,Representative,22,"50,281",87%,Won,N/A,N/A,N/A,Fully denied,Yes,2/16/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gregory Jonathan Thorne,Male,White,,,No,Yes,Texas,3/1/22,Representative,22,"7,378",13%,Lost,N/A,N/A,N/A,Accepted with reservations,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alma Arredondo-Lynch,Female,Latino (Mexican),,,No,Yes,Texas,3/1/22,Representative,23,"7,261",15%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alia Garcia,Female,White,,,No,Yes,Texas,3/1/22,Representative,23,"3,235",7%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Gonzales,Male,Latino (Mexican),,,Yes,No,Texas,3/1/22,Representative,23,"37,212",78%,Won,N/A,N/A,N/A,Accepted with reservations,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beth Van Duyne,Female,White,,,Yes,No,Texas,3/1/22,Representative,24,"61,768",85%,Won,N/A,N/A,N/A,Fully denied,Yes,12/10/21,N/A,N/A,N/A,N/A,Yes,Yes,Yes
Nate Weymouth,Male,White,,,No,Yes,Texas,3/1/22,Representative,24,"10,868",15%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,No,No,No
Roger Williams,Male,White,,,Yes,No,Texas,3/1/22,Representative,25,"69,418",100%,Won,N/A,N/A,N/A,Fully denied,Yes,12/10/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Brazeal,Male,White,,,No,Yes,Texas,3/1/22,Representative,26,"5,892",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael C. Burgess,Male,White,,,Yes,No,Texas,3/1/22,Representative,26,"42,006",67%,Won,N/A,N/A,N/A,Fully denied,Yes,12/10/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vincent Gallo,Male,White,,,No,Yes,Texas,3/1/22,Representative,26,"6,437",10%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Raven Harrison,Female,Black,,,No,Yes,Texas,3/1/22,Representative,26,"3,427",5%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isaac Smith,Male,White,,,No,Yes,Texas,3/1/22,Representative,26,"5,085",8%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andrew Alvarez,Male,White,,,No,Yes,Texas,3/1/22,Representative,27,"2,648",4%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Cloud,Male,White,,,Yes,No,Texas,3/1/22,Representative,27,"45,741",72%,Won,N/A,N/A,N/A,Fully denied,Yes,12/10/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A.J. Louderback,Male,White,,,No,Yes,Texas,3/1/22,Representative,27,"7,704",12%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Mapp,Male,White,,,No,Yes,Texas,3/1/22,Representative,27,"4,542",7%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Eric Mireles,Male,Latino ,,,No,Yes,Texas,3/1/22,Representative,27,"2,478",4%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ed Cabrera,Male,Latino (Cuban),,,No,No,Texas,3/1/22,Representative,28,"3,343",13%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Steven Fowler,Male,White,,,No,No,Texas,3/1/22,Representative,28,"3,388",13%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A
Cassy Garcia,Female,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,28,"5,923",24%,Made runoff,"8,485",57%,Won,No comment,N/A,N/A,N/A,Yes (runoff only),N/A,Yes (runoff only),Yes (runoff only),Yes (runoff only),Yes (runoff only)
Eric Hohman,Male,White,,,No,No,Texas,3/1/22,Representative,28,"2,988",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Willie Vasquez Ng,Male,Asian,,,No,No,Texas,3/1/22,Representative,28,"3,358",13%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rolando Rodriguez,Male,Latino,,,No,No,Texas,3/1/22,Representative,28,"1,622",6%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandra Whitten,Female,White,,,No,No,Texas,3/1/22,Representative,28,"4,534",18%,Made runoff,"6,413",43%,Lost,Raised questions,N/A,N/A,N/A,No (runoff only),N/A,No (runoff only),No (runoff only),No (runoff only),No (runoff only)
Jaimy Blanco,Female,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,29,"2,212",26%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lulite Ejigu,Female,Black (Ethiopian),,,No,No,Texas,3/1/22,Representative,29,244,3%,Lost,N/A,N/A,N/A,Fully accepted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Julio Garza,Male,Latino,,,No,No,Texas,3/1/22,Representative,29,"2,629",31%,Made runoff,"1,859",39%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert Schafranek,Male,White,,,No,No,Texas,3/1/22,Representative,29,"3,299",39%,Made runoff,"2,875",61%,Won,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lizbeth Diaz,Female,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,30,"1,416",12%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kelvin Goodwin-Castillo,Male,Latino,,,No,No,Texas,3/1/22,Representative,30,"2,023",17%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"James ""J. Frank"" Harris",Male,Black,,,No,No,Texas,3/1/22,Representative,30,"3,952",33%,Made runoff,"2,339",43%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Dakinya ""Kinya"" Jefferson",Female,Black,,,No,No,Texas,3/1/22,Representative,30,703,6%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angeigh J. Roc'Ellerpitts,Female,Unknown,,,No,No,Texas,3/1/22,Representative,30,160,1%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
James Rodgers,Male,White,,,No,No,Texas,3/1/22,Representative,30,"3,754",31%,Made runoff,"3,090",57%,Won,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Carter,Male,White,,,Yes,No,Texas,3/1/22,Representative,31,"50,887",71%,Won,N/A,N/A,N/A,Fully denied,Yes,11/11/21,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Abhiram Garapati,Male,Asian ,,,No,Yes,Texas,3/1/22,Representative,31,"6,590",9%,Lost,N/A,N/A,N/A,No comment,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mike Williams,Male,White,,,No,Yes,Texas,3/1/22,Representative,31,"14,115",20%,Lost,N/A,N/A,N/A,Fully denied,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nathan Davis,Male,White,,,No,No,Texas,3/1/22,Representative,32,"3,549",16%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Darrell Day,Male,White,,,No,No,Texas,3/1/22,Representative,32,"2,321",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brad Namdar,Male,Latino,,,No,No,Texas,3/1/22,Representative,32,"2,270",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E.E. Okpa,Male,Black,,,No,No,Texas,3/1/22,Representative,32,"1,128",5%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Antonio Swad,Male,Latino,,,No,No,Texas,3/1/22,Representative,32,"8,962",40%,Made runoff,"6,929",57%,Won,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Justin Webb,Male,White,,,No,No,Texas,3/1/22,Representative,32,"4,007",18%,Made runoff,"5,226",43%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patrick David Gillespie,Male,White,,,No,No,Texas,3/1/22,Representative,33,"5,709",63%,Won,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robert MacGlaflin,Male,White,,,No,No,Texas,3/1/22,Representative,33,"3,284",37%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Juana Cantu-Cabrera,Female,Latino,,,No,No,Texas,3/1/22,Representative,34,"1,115",7%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mayra Flores,Female,Latino (Mexican),,,No,No,Texas,3/1/22,Representative,34,"9,490",60%,Won,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gregory Scott Kunkle Jr.,Male,Latino,,,No,No,Texas,3/1/22,Representative,34,"1,677",11%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Frank McCaffrey,Male,White,,,No,No,Texas,3/1/22,Representative,34,"3,444",22%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bill Condict,Male,White,,,No,No,Texas,3/1/22,Representative,35,"1,529",11%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jenai Aragona,Female,White,,,No,No,Texas,3/1/22,Representative,35,589,4%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Marilyn Jackson,Female,Black,,,No,No,Texas,3/1/22,Representative,35,"1,473",11%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alejandro Ledezma,Male,Latino,,,No,No,Texas,3/1/22,Representative,35,833,6%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan McQueen,Male,White,,,No,No,Texas,3/1/22,Representative,35,"2,900",21%,Made runoff,"4,161",61%,Won,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Montoya,Male,Latino,,,No,No,Texas,3/1/22,Representative,35,"1,227",9%,Lost,N/A,N/A,N/A,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asa George Kent Palagi,Male,White,,,No,No,Texas,3/1/22,Representative,35,327,2%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michael Rodriguez,Male,Unknown,,,No,No,Texas,3/1/22,Representative,35,"2,034",15%,Made runoff,"2,632",39%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dan Sawatzki,Male,White,,,No,No,Texas,3/1/22,Representative,35,"1,414",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jennifer Sundt,Female,White,,,No,No,Texas,3/1/22,Representative,35,"1,299",10%,Lost,N/A,N/A,N/A,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brian Babin,Male,White,,,Yes,No,Texas,3/1/22,Representative,36,"59,381",100%,Won,N/A,N/A,N/A,Fully denied,Yes,2/17/22,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jeremiah Diacogiannis,Male,White,,,No,No,Texas,3/1/22,Representative,37,"4,938",25%,Lost,N/A,N/A,N/A,Raised questions,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rod Lingsch,Male,White,,,No,No,Texas,3/1/22,Representative,37,"5,403",28%,Made runoff,"4,791",41%,Lost,No comment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jenny Garcia Sharon,Female,White,,,No,No,Texas,3/1/22,Representative,37,"9,087",47%,Made runoff,"6,923",59%,Won,Fully denied,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
