country,elo98,elo15,confederation,gdp06,popu06,gdp_source,popu_source
Cayman Islands,1154,954,CONCACAF,43800,50026,CIA (2004),World Bank
Central African Republic,1189,1268,CAF,683.8758493,4032102,World Bank,World Bank
Chad,1229,1265,CAF,1610.122791,10356822,World Bank,World Bank
Chile,1757,1912,CONMEBOL,15428.7598,16504530,World Bank,World Bank
China,1631,1588,AFC,5724.916728,1311020000,World Bank,World Bank
Colombia,1741,2004,CONMEBOL,8955.705347,43841370,World Bank,World Bank
Comoros,891,907,CAF,1327.671705,616526,World Bank,World Bank
Congo,1484,1440,CAF,4714.789654,3646653,World Bank,World Bank
Cook Islands,875,819,OFC,9100,21750,CIA (2005),CIA (2007)
Costa Rica,1594,1827,CONCACAF,10436.2941,4392493,World Bank,World Bank
Croatia,1829,1814,UEFA,17019.72059,4440000,World Bank,World Bank
Cuba,1414,1391,CONCACAF,14445.29081,11301100,World Bank,World Bank
Curacao,1197,1065,CONCACAF,15000,141239,CIA (2004),World Bank
Cyprus,1437,1375,UEFA,26337.08206,1048314,World Bank,World Bank
Czechia,1853,1752,UEFA,24415.8833,10238905,World Bank,World Bank
Democratic Republic of Congo,1503,1486,CAF,565.4314219,55590838,World Bank,World Bank
Denmark,1828,1738,UEFA,37189.65988,5437272,World Bank,World Bank
Djibouti,891,788,CAF,2124.121978,787544,World Bank,World Bank
Dominica,1208,958,CONCACAF,8417.551969,70690,World Bank,World Bank
Dominican Republic,1130,1227,CONCACAF,8789.926672,9479269,World Bank,World Bank
East Timor,,738,AFC,1107.117658,999053,World Bank,World Bank
Eastern Samoa,674,534,OFC,5800,58652,CIA (2005),World Bank
Ecuador,1735,1813,CONMEBOL,8077.650114,14023503,World Bank,World Bank
Egypt,1704,1620,CAF,8254.752851,72990754,World Bank,World Bank
El Salvador,1471,1479,CONCACAF,6559.957034,6096692,World Bank,World Bank
England,1938,1903,UEFA,39931.21369,51075643.5,"World Bank's estimate for UK, adjusted per http://en.wikipedia.org/w/index.php?title=Countries_of_the_United_Kingdom_by_GVA_per_capita&oldid=153382497",http://en.wikipedia.org/wiki/Demography_of_England#Population
Equatorial Guinea,1097,1393,CAF,30740.7216,621517,World Bank,World Bank
Eritrea,1205,1097,CAF,1166.905842,5035036,World Bank,World Bank
Estonia,1200,1434,UEFA,19305.69858,1346810,World Bank,World Bank
Ethiopia,1288,1356,CAF,730.0478897,78290649,World Bank,World Bank
Faroe Islands,1151,1193,UEFA,30500,47511,CIA (2008),CIA (2007)
Fiji,1394,1330,OFC,6655.634722,828060,World Bank,World Bank
Finland,1503,1584,UEFA,34523.70751,5266268,World Bank,World Bank
France,1963,1931,UEFA,32288.80403,63617975,World Bank,World Bank
Gabon,1442,1481,CAF,15306.27739,1412907,World Bank,World Bank
Gambia,1315,1337,CAF,1396.003921,1482324,World Bank,World Bank
Georgia,1621,1443,UEFA,4694.944531,4398000,World Bank,World Bank
Germany,2023,2104,UEFA,34667.64864,82376451,World Bank,World Bank
Ghana,1472,1640,CAF,2398.177001,21947779,World Bank,World Bank
Greece,1681,1654,UEFA,28012.85245,11127947,World Bank,World Bank
Grenada,1064,1131,CONCACAF,10447.57933,103260,World Bank,World Bank
Guam,631,837,AFC,15000,158429,CIA (2005),World Bank
Guatemala,1540,1509,CONCACAF,6109.652627,12995374,World Bank,World Bank
Guinea,1491,1558,CAF,1112.41633,9798963,World Bank,World Bank
Guinea-Bissau,1204,1230,CAF,1193.060526,1452659,World Bank,World Bank
Guyana,1073,1221,CONCACAF,4438.833776,765367,World Bank,World Bank
Haiti,1389,1442,CONCACAF,1446.09824,9388642,World Bank,World Bank
Honduras,1487,1501,CONCACAF,3788.342396,7037428,World Bank,World Bank
Hong Kong,1219,1157,AFC,39949.67056,6857100,World Bank,World Bank
Hungary,1603,1622,UEFA,18583.62346,10071370,World Bank,World Bank
Iceland,1442,1648,UEFA,36880.29818,303782,World Bank,World Bank
India,1156,1093,AFC,3224.70242,1143289350,World Bank,World Bank
Indonesia,1329,1208,AFC,6213.507267,227709821,World Bank,World Bank
Iran,1627,1723,AFC,12667.40675,70976584,World Bank,World Bank
Iraq,1625,1519,AFC,10343.51392,28064095,World Bank,World Bank
Ireland,1661,1703,UEFA,43714.38383,4273591,World Bank,World Bank
Israel,1640,1600,UEFA,25379.73644,7053700,World Bank,World Bank
Italy,1929,1853,UEFA,31988.08666,58143979,World Bank,World Bank
Ivory Coast,1610,1737,CAF,2594.339964,17662417,World Bank,World Bank
Jamaica,1626,1525,CONCACAF,8217.370381,2653042,World Bank,World Bank
Japan,1710,1755,AFC,31790.65016,127854000,World Bank,World Bank
Jordan,1411,1460,AFC,9009.814903,5536000,World Bank,World Bank
Kazakhstan,1455,1324,UEFA,15700.48413,15308084,World Bank,World Bank
Kenya,1447,1382,CAF,2128.048097,36757498,World Bank,World Bank
Kuwait,1599,1454,AFC,86397.36265,2417445,World Bank,World Bank
Kyrgyzstan,1230,1094,AFC,2218.608574,5218400,World Bank,World Bank
Laos,1021,843,AFC,2868.883234,5895930,World Bank,World Bank
Latvia,1344,1448,UEFA,15469.29417,2218357,World Bank,World Bank
Lebanon,1363,1411,AFC,11169.14057,4079823,World Bank,World Bank
Lesotho,1173,1216,CAF,1727.392427,1940413,World Bank,World Bank
Liberia,1355,1294,CAF,457.8227679,3384791,World Bank,World Bank
Libya,1446,1478,CAF,25008.83906,5686475,World Bank,World Bank
Liechtenstein,1047,1188,UEFA,89700,35028,CIA (2007),World Bank
Lithuania,1505,1437,UEFA,16756.73765,3269909,World Bank,World Bank
Luxembourg,1166,1195,UEFA,77104.75771,472637,World Bank,World Bank
Macao,1038,640,AFC,65853.64122,479808,World Bank,World Bank
Macedonia,1505,1441,UEFA,8562.084377,2093801,World Bank,World Bank
Madagascar,1466,1284,CAF,1304.374638,18826126,World Bank,World Bank
Malawi,1345,1399,CAF,554.0030573,13307535,World Bank,World Bank
Malaysia,1262,1220,AFC,17053.02174,26327098,World Bank,World Bank
Maldives,854,1066,AFC,8238.051995,302825,World Bank,World Bank
Mali,1450,1544,CAF,1431.40943,12325545,World Bank,World Bank
Malta,1188,1198,UEFA,22291.33607,405308,World Bank,World Bank
Mauritania,1197,1217,CAF,2538.231119,3237713,World Bank,World Bank
Mauritius,1162,1039,CAF,12107.04624,1233996,World Bank,World Bank
Mexico,1826,1878,CONCACAF,13079.64782,112116694,World Bank,World Bank
Moldova,1323,1374,UEFA,3189.989932,3585209,World Bank,World Bank
Mongolia,795,689,AFC,4995.374005,2559496,World Bank,World Bank
Montenegro,,1569,UEFA,10497.85125,616854,World Bank,World Bank
Montserrat,760,714,CONCACAF,8500,9538,CIA,CIA (2007)
Morocco,1723,1536,CAF,5254.047452,30395097,World Bank,World Bank
Mozambique,1328,1370,CAF,734.2761797,21587317,World Bank,World Bank
Myanmar,1139,1065,AFC,2575,50500070,IMF,World Bank
Namibia,1348,1384,CAF,7061.349801,2052931,World Bank,World Bank
Nepal,803,899,AFC,1598.1113,25634043,World Bank,World Bank
Netherlands,1926,2000,UEFA,40434.10001,16346101,World Bank,World Bank
New Caledonia,1243,1396,OFC,27300,235314,CIA (2005),World Bank
New Zealand,1442,1524,OFC,27362.47889,4184600,World Bank,World Bank
Nicaragua,976,1115,CONCACAF,3595.663428,5524927,World Bank,World Bank
Niger,1338,1269,CAF,737.4623368,13679705,World Bank,World Bank
Nigeria,1681,1649,CAF,3994.643445,143314909,World Bank,World Bank
North Korea,1553,1448,AFC,1900,23969917,CIA (2007),World Bank
Northern Ireland,1568,1494,UEFA,28212.02108,1748065,"World Bank's estimate for UK, adjusted per http://en.wikipedia.org/w/index.php?title=Countries_of_the_United_Kingdom_by_GVA_per_capita&oldid=153382497",http://en.wikipedia.org/wiki/Demographics_of_Northern_Ireland#Population
Norway,1878,1589,UEFA,53871.16364,4660677,World Bank,World Bank
Oman,1298,1509,AFC,39531.6006,2554905,World Bank,World Bank
Pakistan,928,963,AFC,3740.607865,160905794,World Bank,World Bank
Palestine,1281,1269,AFC,3847.806426,3406334,World Bank,World Bank
Panama,1283,1709,CONCACAF,10907.81503,3428509,World Bank,World Bank
Papua New Guinea,1128,1115,OFC,1669.598639,6245797,World Bank,World Bank
Paraguay,1708,1668,CONMEBOL,5671.463275,6014781,World Bank,World Bank
Peru,1692,1701,CONMEBOL,7318.377448,28030688,World Bank,World Bank
Philippines,751,1230,AFC,4557.883234,87366573,World Bank,World Bank
Poland,1625,1713,UEFA,15153.01523,38141267,World Bank,World Bank
Portugal,1846,1867,UEFA,23887.03544,10522288,World Bank,World Bank
Puerto Rico,1011,1055,CONCACAF,34255.06744,3805214,World Bank,World Bank
Qatar,1536,1516,AFC,118198.7316,967602,World Bank,World Bank
Romania,1826,1753,UEFA,11349.54831,21193760,World Bank,World Bank
Russia,1814,1741,UEFA,14975.04355,142487260,World Bank,World Bank
Rwanda,1213,1374,CAF,952.2694664,9660946,World Bank,World Bank
Saint Kitts and Nevis,1245,1222,CONCACAF,20186.97334,49823,World Bank,World Bank
Saint Lucia,1230,1061,CONCACAF,9952.474072,167658,World Bank,World Bank
Saint Vincent and the Grenadines,1232,1190,CONCACAF,9203.39887,108908,World Bank,World Bank
San Marino,929,865,UEFA,77304,30130,IMF,World Bank
Sao Tome e Principe,978,1050,CAF,2336.18468,158806,World Bank,World Bank
Saudi Arabia,1638,1485,AFC,36214.54693,25371936,World Bank,World Bank
Scotland,1745,1701,UEFA,34210.36161,5117000,"World Bank's estimate for UK, adjusted per http://en.wikipedia.org/w/index.php?title=Countries_of_the_United_Kingdom_by_GVA_per_capita&oldid=153382497",http://en.wikipedia.org/wiki/Demographics_of_Scotland
Senegal,1452,1658,CAF,1926.556621,11582925,World Bank,World Bank
Serbia,1934,1708,UEFA,9895.795212,7411569,World Bank,World Bank
Seychelles,971,982,CAF,17465.91509,84600,World Bank,World Bank
Sierra Leone,1433,1336,CAF,1088.42943,5280909,World Bank,World Bank
Singapore,1253,1165,AFC,59754.6699,4401400,World Bank,World Bank
Slovakia,1672,1736,UEFA,18838.76907,5373054,World Bank,World Bank
Slovenia,1465,1619,UEFA,25885.31062,2006868,World Bank,World Bank
Solomon Islands,1380,1217,OFC,1520.601904,480745,World Bank,World Bank
Somalia,1081,862,CAF,600,8687671,CIA (2007),World Bank
South Africa,1638,1559,CAF,10642.66535,47991699,World Bank,World Bank
South Korea,1739,1722,AFC,25863.21523,48371946,World Bank,World Bank
South Sudan,,1194,CAF,2782.071345,8376893,South Sudan not independent in 2006; used Sudan's figure instead,World Bank
Spain,2000,1932,UEFA,30879.8564,44397319,World Bank,World Bank
Sri Lanka,1003,786,AFC,5710.937991,19858000,World Bank,World Bank
Sudan,1400,1333,CAF,2782.071345,32397535,World Bank,World Bank
Surinam,1266,1211,CONCACAF,11519.66755,505186,World Bank,World Bank
Swaziland,1175,1195,CAF,5834.12336,1118253,World Bank,World Bank
Sweden,1809,1774,UEFA,37594.46396,9080505,World Bank,World Bank
Switzerland,1634,1768,UEFA,43377.7759,7483934,World Bank,World Bank
Syria,1447,1490,AFC,5389,18804914,IMF,World Bank
Tahiti,1453,1260,OFC,18000,178113,"CIA (2004, French Polynesia)",2007: http://en.wikipedia.org/wiki/Tahiti
Taiwan,1051,809,AFC,31333,22800000,IMF,IMF
Tajikistan,1515,1264,AFC,1651.808504,6954522,World Bank,World Bank
Tanzania,1318,1247,CAF,1732.682948,39942347,World Bank,World Bank
Thailand,1458,1356,AFC,10461.54036,65883961,World Bank,World Bank
Togo,1366,1432,CAF,1126.653498,5685845,World Bank,World Bank
Tonga,931,836,OFC,4538.663256,101617,World Bank,World Bank
Trinidad and Tobago,1430,1510,CONCACAF,26420.72169,1303478,World Bank,World Bank
Tunisia,1631,1568,CAF,8359.634501,10127900,World Bank,World Bank
Turkey,1623,1676,UEFA,13049.32491,68626337,World Bank,World Bank
Turkmenistan,1349,1264,AFC,6550.023237,4801595,World Bank,World Bank
Turks and Caicos,,719,CONCACAF,29100,27642,CIA (2007),World Bank
Uganda,1407,1499,CAF,1196.538493,29711397,World Bank,World Bank
Ukraine,1655,1783,UEFA,7213.516757,46787750,World Bank,World Bank
United Arab Emirates,1558,1654,AFC,87766.14726,4875639,World Bank,World Bank
United States,1730,1804,CONCACAF,46437.10733,298379912,World Bank,World Bank
Uruguay,1732,1894,CONMEBOL,12097.36142,3330217,World Bank,World Bank
US Virgin Islands,809,740,CONCACAF,14500,107700,CIA (2004),World Bank
Uzbekistan,1500,1612,AFC,2958.390926,26488250,World Bank,World Bank
Vanuatu,1079,1223,OFC,2533.892793,214654,World Bank,World Bank
Venezuela,1312,1667,CONMEBOL,14846.73691,27190882,World Bank,World Bank
Vietnam,1193,1235,AFC,3383.513008,83311200,World Bank,World Bank
Wales,1529,1645,UEFA,27485.96108,2983270.5,"World Bank's estimate for UK, adjusted per http://en.wikipedia.org/w/index.php?title=Countries_of_the_United_Kingdom_by_GVA_per_capita&oldid=153382497",http://en.wikipedia.org/wiki/Demographics_of_Wales#Population
Western Samoa,852,822,OFC,4972.141147,181073,World Bank,World Bank
Yemen,1179,1198,AFC,3964.068275,20661714,World Bank,World Bank
Zambia,1627,1517,CAF,2525.384325,11781612,World Bank,World Bank
Zimbabwe,1512,1334,CAF,1495.007942,12724308,World Bank,World Bank
