Pollster,Pollster Rating ID,# of Polls,NCPP / AAPOR / Roper,Live Caller With Cellphones,Methodology,Banned by 538,Historical Advanced Plus-Minus,Predictive    Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,Predictive Plus-Minus,# of Polls for Bias Analysis,Bias,Mean-Reverted Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
Stockton University,317,10,yes,yes,Live,no,-1.4,-0.8,A/B°,D +0.7,100%,20%,3.9,5.3,-1.2,-1.4,-0.5,-0.8,10,D +2.2,D +0.7,D +0.7,6.1,0
Grove Insight,129,29,no,yes,Live,no,-2.8,-0.8,A/B°,D +0.5,90%,7%,3.1,5.8,-2.4,-2.8,-1.4,-0.8,29,D +1.0,D +0.5,D +3.4,3.6,0.71
SurveyUSA,325,790,yes,partial,IVR/Online/Live,no,-1.1,-0.8,A,D +0.1,90%,19%,4.6,5.9,-1.1,-1.1,-1,-0.8,628,D +0.1,D +0.1,R +0.3,5,0.12
Ciruli Associates,51,17,yes,yes,Live,no,-2.3,-0.7,A/B°,R +0.4,94%,0%,3.6,6.1,-2.3,-2.3,-0.5,-0.7,16,R +2.1,R +0.4,R +2.5,5,0.72
Fairleigh Dickinson University (PublicMind),92,18,yes,yes,Live,no,-1.4,-0.7,A/B°,D +0.0,94%,6%,4.1,5.5,-1.2,-1.4,-0.5,-0.7,17,D +0.1,D +0.0,D +3.1,4.7,0.25
CBS News/New York Times,36,54,yes,yes,Live,no,-0.9,-0.7,A,D +0.4,77%,28%,4.5,5.4,-0.7,-0.9,-0.5,-0.7,44,D +0.7,D +0.4,D +1.8,4.2,0.11
Behavior Research Center (Rocky Mountain),27,7,yes,yes,Live,no,-2.4,-0.7,A/B°,D +0.0,71%,0%,3.5,6.5,-2.9,-2.4,-0.3,-0.7,5,D +0.6,D +0.0,R +2.1,9.4,0
University of Massachusetts Lowell,355,17,yes,partial,Online/Live,no,-1.3,-0.6,A/B°,R +0.2,88%,24%,4.5,6.7,-2,-1.3,-0.6,-0.6,9,R +0.8,R +0.2,R +0.6,6,0
Michigan State University,463,2,yes,yes,Live,no,-7.6,-0.6,A/B°,R +0.1,100%,0%,1,9.6,-8.4,-7.6,-0.8,-0.6,2,R +0.5,R +0.1,R +1.5,,0
University of Connecticut,347,7,yes,yes,Live,no,-1.5,-0.6,A/B°,R +0.3,93%,0%,3.6,5.4,-1.6,-1.5,-0.2,-0.6,7,R +1.9,R +0.3,R +2.0,8,0
MassINC Polling Group,198,16,no,yes,Live,no,-2.2,-0.6,A/B°,R +0.8,88%,13%,3.5,6.5,-2.8,-2.2,-0.9,-0.6,12,R +2.4,R +0.8,R +1.4,6.1,0.06
Lake Research Partners,165,10,yes,partial,IVR/Live,no,-2.1,-0.6,A/B°,D +0.7,80%,20%,3.9,6.1,-2,-2.1,-0.6,-0.6,10,D +2.4,D +0.7,D +3.5,5.8,0.06
Temple University,336,6,yes,yes*,Live*,no,-1.4,-0.6,A/B°,R +0.2,100%,17%,3.7,5.2,-1.3,-1.4,-0.2,-0.6,5,R +2.5,R +0.2,D +0.8,3.6,0.11
University of Cincinnati (Ohio Poll),346,39,yes,yes,Live,no,-0.9,-0.6,A-,R +1.4,94%,21%,3.9,5.7,-1.6,-0.9,-0.4,-0.6,30,R +3.2,R +1.4,R +2.5,3.4,0.43
High Point University,139,2,yes,yes,Live,no,-5.2,-0.6,A/B°,D +0.0,100%,0%,1,5.2,-4.1,-5.2,-0.4,-0.6,2,D +0.1,D +0.0,D +1.8,3.3,0.81
Emerson College,88,142,yes,no,IVR/Online,no,-1.1,-0.5,A-,R +0.0,81%,18%,5,6.1,-0.9,-1.1,-1,-0.5,113,R +0.0,R +0.0,R +1.4,4.8,0.23
Los Angeles Times,172,38,yes,yes,Live,no,-0.5,-0.5,A/B°,R +0.3,86%,26%,5,6.3,-1.2,-0.5,-0.2,-0.5,23,R +1.0,R +0.3,D +0.8,5.3,0.06
Siena College,305,53,yes,yes,Live,no,-0.8,-0.5,A-,R +0.8,88%,25%,5.1,5.4,0,-0.8,-0.5,-0.5,49,R +1.2,R +0.8,R +1.1,4.4,0.27
Fox News/Beacon Research/Shaw & Co. Research,103,40,yes,yes,Live,no,-0.5,-0.5,A-,D +1.5,71%,38%,5.6,5.7,0.1,-0.5,-0.3,-0.5,25,D +2.7,D +1.5,D +1.0,4.9,0
Winthrop University,386,1,yes,yes,Live,no,-4.3,-0.5,A/B°,D +0.0,100%,0%,0.2,4.6,-4.3,-4.3,-0.2,-0.5,1,D +0.2,D +0.0,R +0.9,3.8,0.61
Elon University,86,7,yes,yes,Live,no,-1,-0.5,A/B°,D +0.6,50%,14%,3.2,4.7,-1.3,-1,-0.2,-0.5,7,D +2.7,D +0.6,D +1.1,3.7,0.47
Indiana University,149,2,yes,yes,Live,no,-4.5,-0.5,A/B°,D +0.0,100%,0%,0.9,6.1,-5.1,-4.5,-0.2,-0.5,2,D +0.9,D +0.0,D +4.1,,0
Castleton University,45,3,yes,yes,Live,no,-0.7,-0.5,A/B°,,100%,33%,9.9,9.2,0.9,-0.7,-0.1,-0.5,0,,,,,0
Public Policy Institute of California,262,13,yes,yes,Live,no,-0.3,-0.4,A/B°,R +1.1,100%,15%,4.7,5.7,-0.8,-0.3,-0.1,-0.4,9,R +4.4,R +1.1,R +1.5,,0
University of North Florida,360,8,yes,yes,Live,no,-0.3,-0.4,A/B°,D +0.8,38%,25%,3.9,5.6,-1.5,-0.3,-0.1,-0.4,6,D +3.9,D +0.8,D +1.4,4,0.05
Yankelovich Partners Inc.,390,6,yes,yes*,Live*,no,0,-0.4,A/B°,R +0.0,42%,50%,7,6.7,0.5,0,0,-0.4,3,R +1.2,R +0.0,R +1.3,4.7,0
University of Florida,349,1,yes,yes,Live,no,-1,-0.4,A/B°,D +0.0,50%,0%,1.1,4.6,-3.4,-1,0,-0.4,1,D +1.1,D +0.0,R +0.1,1.4,1.2
Princeton Survey Research Associates International,258,33,yes,yes,Live,no,-0.1,-0.4,A/B°,D +0.2,70%,30%,4.8,5,0,-0.1,-0.1,-0.4,31,D +0.5,D +0.2,R +0.2,4.6,0
Fox News/Opinion Dynamics Corp.,104,34,yes,yes*,Live*,no,-0.2,-0.4,A/B°,R +0.4,72%,12%,3.9,5,-0.9,-0.2,-0.1,-0.4,28,R +1.0,R +0.4,R +1.6,4.1,0.09
Suffolk University,323,79,no,yes,Live,no,-0.8,-0.4,A-,D +0.5,80%,24%,4.9,6.5,-1.5,-0.8,-0.6,-0.4,49,D +0.8,D +0.5,D +1.8,5.8,0
NBC News/Wall Street Journal,221,29,yes,yes,Live,no,-0.6,-0.4,A/B°,D +0.8,74%,14%,4,5,-0.8,-0.6,-0.3,-0.4,24,D +1.7,D +0.8,D +1.3,2.9,0.53
University of Illinois at Chicago,352,1,yes,yes*,Live*,no,6.9,-0.3,A/B°,R +0.2,100%,100%,14.1,5.4,8.9,6.9,0.1,-0.3,1,R +14.1,R +0.2,R +5.1,,0
University of Wisconsin (Badger Poll),365,6,yes,yes*,Live*,no,-0.3,-0.3,A/B°,D +0.1,83%,17%,6.9,5.9,1.2,-0.3,0,-0.3,5,D +1.3,D +0.1,D +1.7,4,0.88
Research & Polling Inc.,280,31,no,yes,Live,no,-1.6,-0.3,A-,R +0.9,84%,10%,4.4,6,-1.4,-1.6,-0.8,-0.3,30,R +1.7,R +0.9,R +0.4,3,0.55
RKM Research and Communications Inc.,272,28,no,yes,Live,no,-1.6,-0.3,A/B°,R +0.2,88%,21%,5.3,6.4,-1,-1.6,-0.6,-0.3,20,R +0.5,R +0.2,R +1.5,4.3,0.08
Western New England University,380,14,yes,yes,Live,no,-1.1,-0.3,A/B°,R +1.2,89%,29%,5.5,6.2,-0.5,-1.1,-0.4,-0.3,13,R +3.2,R +1.2,D +0.6,3,1.32
Abt Associates,7,8,yes,yes,Live,no,0.1,-0.2,A/B°,D +0.8,88%,25%,4.1,5.2,-0.9,0.1,0,-0.2,7,D +3.8,D +0.8,D +0.7,4,0.49
Georgetown University (Battleground),114,31,yes,yes,Live,no,0,-0.2,A/B°,R +0.8,55%,19%,3.5,4.3,-0.6,0,0,-0.2,31,R +1.9,R +0.8,R +2.0,3.4,0.27
Christopher Newport University,50,8,no,yes,Live,no,-2.2,-0.2,A/B°,D +0.6,100%,13%,3.5,4.9,-1.2,-2.2,-0.6,-0.2,8,D +2.2,D +0.6,D +1.6,5.7,0
St. Norbert College,313,12,no,yes,Live,no,-2.4,-0.2,A/B°,D +0.2,88%,0%,3.9,6.8,-2.7,-2.4,-0.7,-0.2,11,D +0.9,D +0.2,D +2.9,5.1,0.23
Market Shares Corp.,187,26,yes,yes,Live,no,0.1,-0.2,A/B°,R +1.2,85%,31%,6.8,5.6,1.4,0.1,0,-0.2,22,R +4.1,R +1.2,R +2.0,4.8,0.37
Quinnipiac University,267,204,yes,yes,Live,no,-0.1,-0.2,B+,D +0.2,83%,25%,4.6,5.5,-0.7,-0.1,-0.1,-0.2,152,D +0.2,D +0.2,D +0.5,5.2,0
Mason-Dixon Polling & Research Inc.,197,428,no,yes,Live,no,-0.5,-0.2,B+,R +0.7,86%,24%,5.2,5.7,-0.3,-0.5,-0.5,-0.2,370,R +0.8,R +0.7,R +1.1,5.3,0.06
EPIC-MRA,84,47,no,yes,Live,no,-0.9,-0.2,B+,R +0.2,81%,23%,5,6,-0.8,-0.9,-0.6,-0.2,42,R +0.4,R +0.2,D +0.6,4.5,0.3
Blum & Weprin Associates,32,19,no,yes,Live,no,-2.2,-0.1,A/B°,R +0.8,95%,21%,4.8,5.2,-0.2,-2.2,-0.5,-0.1,17,R +3.4,R +0.8,D +1.0,5,0
CNN/Opinion Research Corp.,37,98,yes,yes,Live,no,-0.2,-0.1,B+,D +0.1,72%,24%,5.4,6,-0.4,-0.2,-0.2,-0.1,70,D +0.1,D +0.1,D +0.2,4.6,0.2
Angus Reid Global,13,30,no,no,Online,no,-2.5,-0.1,B+,R +1.3,93%,7%,3.2,5.6,-2.2,-2.5,-1.3,-0.1,30,R +2.6,R +1.3,D +0.9,3.1,0.82
Cygnal,67,12,no,partial,IVR/Online/Live,no,-3,-0.1,A/B°,D +1.1,92%,0%,3.2,5.7,-2.3,-3,-1.2,-0.1,12,D +2.8,D +1.1,R +1.1,3.7,0.67
Public Religion Research Institute,428,1,yes,partial,Online/Live,no,-2.7,-0.1,A/B°,D +0.0,100%,0%,0.4,5.1,-4.4,-2.7,-0.1,-0.1,1,D +0.4,D +0.0,D +1.6,2,1.23
Fleming & Associates,96,17,no,yes,Live,no,-1.6,-0.1,A/B°,R +0.5,100%,12%,5,6.3,-1.1,-1.6,-0.6,-0.1,15,R +1.4,R +0.5,R +0.2,3.4,0.69
SSRS,297,16,yes,yes,Live,no,0.6,-0.1,A/B°,D +1.2,50%,19%,4.6,4.9,-0.2,0.6,0.3,-0.1,16,D +2.8,D +1.2,D +2.8,5.4,0
American Viewpoint,10,8,no,yes,Live,no,-1.6,0,A/B°,R +0.9,69%,0%,4.2,5.7,-1.3,-1.6,-0.4,0,8,R +3.6,R +0.9,R +3.2,6.3,0
University of Arkansas,345,6,no,yes,Live,no,-2.8,0,A/B°,D +0.7,100%,0%,3.8,5.5,-1.5,-2.8,-0.6,0,6,D +3.8,D +0.7,R +4.2,6.9,0
National Research Inc.,225,9,no,yes,Live,no,-1.4,0,A/B°,R +0.7,72%,11%,5.5,6.7,-1,-1.4,-0.4,0,7,R +3.6,R +0.7,R +5.5,5.5,0.04
Harper Polling,132,11,no,partial,IVR/Live,no,-1.9,0,B/C°,D +0.1,91%,18%,3.6,6,-2.2,-1.9,-0.6,0,8,D +0.5,D +0.1,R +0.6,5.3,0
RT Strategies,275,42,yes,yes,Live,no,0.8,0.1,B/C°,D +0.9,71%,40%,5.8,4.7,1.2,0.8,0.4,0.1,42,D +1.9,D +0.9,D +3.5,8.9,0
Strategic Vision LLC,320,130,no,yes*,Live*,yes,-0.3,0.1,F,R +1.6,87%,20%,4,5.1,-0.9,-0.3,-0.2,0.1,107,R +2.3,R +1.6,R +2.2,4.4,0.09
University of South Alabama,361,8,no,yes,Live,no,-2.7,0.1,B/C°,R +0.3,100%,0%,2.8,5.3,-2.4,-2.7,-0.4,0.1,8,R +1.9,R +0.3,R +1.5,5.9,0.03
Greenberg Quinlan Rosner/American Viewpoint,127,8,no,yes,Live,no,-1,0.1,B/C°,R +0.7,100%,50%,4.4,4.9,-0.3,-1,-0.2,0.1,6,R +4.2,R +0.7,D +1.6,6.2,0
Clemson University,54,5,no,yes,Live,no,-2.3,0.1,B/C°,R +0.3,100%,40%,10.3,7.5,2.9,-2.3,-0.3,0.1,1,R +16.7,R +0.3,R +9.7,17.1,0
Market Research Institute Inc.,186,9,no,yes*,Live*,no,-2.5,0.1,B/C°,R +0.2,100%,11%,2.9,5.5,-2.3,-2.5,-0.4,0.1,9,R +1.4,R +0.2,R +0.8,4.6,0.51
Ward Research (Honolulu Star-Advertiser),375,15,no,yes,Live,no,-1.1,0.1,B/C°,R +0.4,77%,40%,6.1,6,0.2,-1.1,-0.4,0.1,15,R +1.2,R +0.4,D +1.5,3.9,0.49
University of Washington,364,9,no,yes,Live,no,-1.5,0.1,B/C°,D +0.1,100%,0%,3.7,5.6,-1.7,-1.5,-0.3,0.1,9,D +0.3,D +0.1,D +3.4,5.3,0.42
Landmark Communications,166,38,no,partial,IVR/Online/Live,no,-0.7,0.1,B,D +1.6,82%,24%,4.7,5.3,-0.4,-0.7,-0.4,0.1,32,D +2.7,D +1.6,R +0.6,4.5,0
Strategies 360,321,4,no,yes,Live,no,-2.9,0.1,B/C°,R +0.1,63%,0%,2,5.6,-3.4,-2.9,-0.4,0.1,4,R +0.6,R +0.1,D +1.0,4.2,0.48
Montana State University Billings,216,7,no,yes,Live,no,-4.1,0.1,B/C°,D +0.4,57%,0%,3.6,6.3,-2.5,-4.1,-0.5,0.1,7,D +3.0,D +0.4,D +2.6,,0
Harstad Strategic Research Inc.,134,9,no,yes,Live,no,-1.1,0.1,B/C°,D +0.7,72%,11%,3.8,6,-2,-1.1,-0.2,0.1,9,D +3.4,D +0.7,D +3.1,4.5,0.06
Financial Dynamics,95,15,no,yes*,Live*,no,-1.2,0.1,B/C°,R +0.6,100%,0%,2.8,4.7,-1.8,-1.2,-0.4,0.1,15,R +2.0,R +0.6,R +2.1,2.5,0.59
Keating Research Inc.,161,5,no,yes,Live,no,-2.1,0.1,B/C°,D +0.2,80%,0%,2.4,5,-2.4,-2.1,-0.4,0.1,5,D +0.9,D +0.2,D +3.0,3.4,0.76
Rutgers University,295,14,yes,yes,Live,no,1.7,0.1,B/C°,R +0.0,86%,14%,5.7,5.7,0.2,1.7,0.5,0.1,14,R +0.1,R +0.0,D +0.9,6.2,0
Crawford Johnson & Northcott Inc.,63,5,no,yes*,Live*,no,-2.8,0.1,B/C°,D +0.1,100%,40%,4.7,7.4,-2.6,-2.8,-0.3,0.1,1,D +3.3,D +0.1,,,0
Tarrance Group,333,27,no,yes,Live,no,-0.2,0.2,B/C°,R +0.9,85%,26%,6.2,6.6,-0.2,-0.2,-0.1,0.2,23,R +2.3,R +0.9,R +6.8,7.2,0
Iowa State University,153,3,no,yes,Live,no,-3.7,0.2,B/C°,,67%,33%,6.3,8.6,-2.1,-3.7,-0.4,0.2,0,,,,,0
McKeon & Associates,202,3,no,yes,Live,no,-4.1,0.2,B/C°,D +0.2,67%,33%,2.9,5.9,-2.8,-4.1,-0.5,0.2,2,D +3.0,D +0.2,D +0.5,12.8,0
KRC/Communications Research,160,22,no,yes*,Live*,no,-0.6,0.2,B/C°,D +0.1,91%,41%,6.9,7.3,-0.2,-0.6,-0.2,0.2,11,D +0.7,D +0.1,D +2.5,6.4,0
Research Co.,449,20,no,no,Online,no,-2.3,0.2,B,R +0.6,88%,10%,3.8,6,-2.1,-2.3,-1.2,0.2,20,R +1.1,R +0.6,D +0.8,3.7,1.17
Louisville Courier-Journal,174,10,no,yes*,Live*,no,-1.5,0.2,B/C°,R +0.2,80%,10%,3.3,5.2,-1.7,-1.5,-0.3,0.2,10,R +1.3,R +0.2,R +1.6,5.4,0.32
Market Research Insight,185,9,no,yes,Live,no,-0.4,0.2,B/C°,D +0.1,100%,22%,4,5.1,-0.9,-0.4,-0.1,0.2,7,D +0.3,D +0.1,D +1.9,6.9,0
Orion Strategies,246,4,no,yes,Live,no,-4,0.2,B/C°,D +0.1,100%,0%,3.1,6.6,-3.3,-4,-0.4,0.2,3,D +1.3,D +0.1,D +6.3,2.6,0.35
Public Policy Polling,263,418,no,no,IVR/Online/Text,no,-0.3,0.2,B,D +0.3,80%,31%,5,5.4,-0.2,-0.3,-0.3,0.2,298,D +0.3,D +0.3,D +0.9,4.6,0
Y2 Analytics,389,4,no,yes,Live,no,-1,0.2,B/C°,D +0.4,100%,50%,9.6,5.8,4,-1,-0.2,0.2,3,D +3.3,D +0.4,R +6.5,7.1,0
Gallup,112,80,yes,yes,Live,no,0.7,0.2,B,R +0.8,71%,31%,4.2,4.8,-0.4,0.7,0.5,0.2,66,R +1.3,R +0.8,R +1.6,4.2,0
Marshall Marketing & Communications,196,4,no,yes*,Live*,no,-2.5,0.2,B/C°,R +0.2,100%,0%,2.8,6.6,-3.6,-2.5,-0.2,0.2,3,R +2.2,R +0.2,R +0.5,,0
Pew Research Center,253,21,yes,partial,Online/Live,no,0.7,0.2,B/C°,D +0.6,60%,29%,3.5,3.7,0,0.7,0.3,0.2,21,D +1.5,D +0.6,D +0.9,3.5,0
Missouri State University,212,3,no,yes,Live,no,-3,0.2,B/C°,D +0.3,67%,0%,4.4,7.5,-3,-3,-0.3,0.2,3,D +4.1,D +0.3,D +1.2,4.1,0.26
Northern Arizona University,234,4,no,yes*,Live*,no,-3.1,0.2,B/C°,R +0.3,100%,25%,3.6,5.6,-1.9,-3.1,-0.3,0.2,4,R +3.3,R +0.3,R +5.1,6,0.18
Pan Atlantic Research,249,17,no,partial,Online/Live,no,-1,0.3,B/C°,D +0.9,91%,24%,6.8,6.8,0.2,-1,-0.4,0.3,15,D +2.8,D +0.9,D +1.5,7.5,0
University of New Hampshire,357,114,yes,yes,Live,no,0.4,0.3,B,D +2.9,85%,26%,5.9,6.1,0,0.4,0.3,0.3,98,D +3.7,D +2.9,D +3.5,5.7,0.06
Middle Tennessee State University,208,6,yes,yes,Live,no,3.3,0.3,B/C°,D +1.1,100%,67%,10.1,5.8,4.5,3.3,0.6,0.3,5,D +6.5,D +1.1,R +2.8,5,0.12
University of Massachusetts Amherst,354,11,no,yes*,Live*,no,-0.9,0.3,B/C°,R +0.2,100%,36%,6.5,8.1,-1.4,-0.9,-0.1,0.3,2,R +7.2,R +0.2,R +1.8,7.4,0
APC Research,4,2,no,yes,Live,no,-3.4,0.3,B/C°,D +0.2,100%,0%,2.5,5.1,-2.4,-3.4,-0.3,0.3,2,D +2.5,D +0.2,D +0.3,,0
Ethridge & Associates LLC,89,6,no,yes*,Live*,no,-2.7,0.3,B/C°,R +0.1,83%,0%,2.7,5.6,-2.8,-2.7,-0.2,0.3,6,R +0.7,R +0.1,R +3.4,3.5,1.1
Potomac Incorporated,256,8,no,yes*,Live*,no,-1.3,0.3,B/C°,R +0.3,88%,13%,4.5,6.1,-1.4,-1.3,-0.2,0.3,6,R +3.1,R +0.3,D +1.3,4.5,0.35
American Research Group,9,263,yes,yes,Live,no,0.4,0.3,B,R +0.2,75%,40%,7.5,7.2,0.5,0.4,0.3,0.3,79,R +0.3,R +0.2,R +1.8,7,0
GBAO,109,6,no,partial,Online/Live,no,-1.9,0.3,B/C°,D +0.0,75%,0%,3.7,6,-2.1,-1.9,-0.4,0.3,6,D +0.0,D +0.0,D +1.9,,0
Hendrix College,138,13,no,partial,IVR/Live,no,-0.9,0.3,B/C°,D +1.7,92%,46%,6,5.6,0.6,-0.9,-0.3,0.3,13,D +4.7,D +1.7,R +3.0,,0
Moore Information,217,6,no,yes,Live,no,-0.8,0.3,B/C°,R +0.4,67%,17%,6.5,6.5,0.1,-0.8,-0.1,0.3,6,R +2.8,R +0.4,R +5.1,6,0
Dittman Research,79,9,no,yes,Live,no,-0.4,0.3,B/C°,D +0.8,100%,33%,5.9,6.1,0,-0.4,-0.1,0.3,6,D +6.1,D +0.8,D +0.7,10.9,0
Richard Day Research Inc.,287,11,no,yes*,Live*,no,-0.5,0.3,B/C°,R +0.5,100%,36%,5.5,5.3,0.4,-0.5,-0.1,0.3,11,R +2.9,R +0.5,R +0.9,5.5,0
Cole Hargrave Snodgrass & Associates,56,4,no,yes,Live,no,-1.3,0.3,B/C°,D +0.1,75%,25%,6.3,6.5,0,-1.3,-0.2,0.3,3,D +3.4,D +0.1,R +2.3,4.1,0.41
Frederick Polls,108,2,no,yes,Live,no,-5.5,0.3,B/C°,R +0.0,75%,0%,2.4,6.6,-4,-5.5,-0.3,0.3,1,R +0.6,R +0.0,D +4.5,10.5,0
RBI Strategies & Research,271,2,no,yes,Live,no,-6.6,0.3,B/C°,R +0.0,100%,0%,0.7,5.7,-4.8,-6.6,-0.4,0.3,1,R +0.7,R +0.0,D +3.5,5.1,0.17
MSR Group,178,3,no,yes*,Live*,no,-3.8,0.3,B/C°,D +0.2,100%,0%,3.5,6.8,-3.1,-3.8,-0.2,0.3,3,D +3.5,D +0.2,D +1.3,,0
"North Star Opinion Research/Ayres, McHenry & Associates",233,3,no,yes,Live,no,-0.9,0.3,B/C°,R +0.5,67%,33%,5.6,5.8,0,-0.9,-0.1,0.3,3,R +5.6,R +0.5,R +5.3,,0
Victory Research,437,1,no,yes,Live,no,-5.4,0.3,B/C°,D +0.0,100%,0%,0.3,4.1,-3.5,-5.4,-0.3,0.3,1,D +0.3,D +0.0,,,0
Mason Strategies,464,1,no,yes,Live,no,-4.7,0.3,B/C°,D +0.1,100%,0%,1.9,5.8,-3.7,-4.7,-0.2,0.3,1,D +1.9,D +0.1,R +4.1,,0
Keating Research/OnSight Public Affairs/Martin Campaigns,455,1,no,yes,Live,no,-3.5,0.3,B/C°,R +0.1,100%,0%,2.6,6,-3.2,-3.5,-0.2,0.3,1,R +2.6,R +0.1,D +3.0,,0
Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,2,no,yes*,Live*,no,-2.2,0.3,B/C°,,100%,50%,7,9.1,-2,-2.2,-0.1,0.3,0,,,,,0
Personal Marketing Research,252,3,no,yes*,Live*,no,-2.1,0.3,B/C°,,67%,33%,6.2,8,-1.6,-2.1,-0.1,0.3,0,,,,6.1,0
Pharos Research Group,254,31,no,yes,Live,yes,-0.1,0.3,F,D +0.9,92%,16%,4,5,-0.7,-0.1,-0.1,0.3,31,D +1.7,D +0.9,D +0.9,4.4,0.34
Public Opinion Strategies,260,58,no,yes,Live,no,-0.2,0.3,B-,R +1.5,66%,24%,6,6.2,0.1,-0.2,-0.1,0.3,56,R +2.4,R +1.5,R +4.2,4.4,0.34
University of Houston,351,1,no,yes,Live,no,-6.4,0.3,B/C°,,100%,0%,2,8.2,-6,-6.4,-0.3,0.3,0,,,,,0
Starboard Communications,316,1,no,yes,Live,no,-5.5,0.3,B/C°,D +0.1,100%,0%,3.3,4.7,-1.3,-5.5,-0.2,0.3,1,D +3.3,D +0.1,R +7.3,9,0
U.S. News & World Report,342,3,no,yes*,Live*,no,-5,0.3,B/C°,R +0.0,100%,0%,1.9,6,-3.9,-5,-0.2,0.3,3,R +0.8,R +0.0,D +1.2,4.9,0.82
University of Wisconsin Milwaukee,366,3,no,yes*,Live*,no,-2,0.3,B/C°,R +0.2,100%,33%,5.3,6.8,-1.3,-2,-0.1,0.3,3,R +5.3,R +0.2,R +2.1,,0
Mercyhurst University,422,1,no,yes,Live,no,-5.1,0.4,B/C°,R +0.0,100%,0%,0.7,5.7,-4.8,-5.1,-0.2,0.4,1,R +0.7,R +0.0,,,0
Odney,524,1,no,yes,Live,no,-4.6,0.4,B/C°,D +0.1,100%,0%,2.1,6.3,-4.1,-4.6,-0.2,0.4,1,D +2.1,D +0.1,R +8.0,8,0
Scripps Howard,303,4,no,yes*,Live*,no,-1.7,0.4,B/C°,R +0.0,100%,25%,3.8,4.5,-0.6,-1.7,-0.1,0.4,4,R +0.6,R +0.0,R +2.3,2.8,0.54
Market Decisions,184,4,no,yes,Live,no,-1.2,0.4,B/C°,R +0.0,100%,25%,5.2,5.2,0.1,-1.2,-0.1,0.4,4,R +0.5,R +0.0,D +0.4,6.1,0.51
Fabrizio Ward,90,3,no,yes,Live,no,-0.3,0.4,B/C°,D +0.3,33%,33%,5.7,6.2,-0.3,-0.3,0,0.4,3,D +2.1,D +0.3,R +4.5,,0
