Player Name,Tattoos yes/no
Brandon Bass,yes
Brandon Jennings,yes
Brandon Rush,yes
Brian Roberts,yes
Brian Skinner,yes
Byron Mullens,yes
C.J. Miles,yes
C.J. Watson,yes
Carlos Arroyo,yes
Carlos Boozer,yes
Carlos Delfino,yes
Carmelo Anthony,yes
Caron Butler,yes
Cartier Martin,yes
Channing Frye,yes
Charlie Bell,yes
Charlie Villanueva,yes
Chauncey Billups,yes
Chris Andersen,yes
Chris Bosh,yes
Chris Douglas-Roberts,yes
Chris Duhon,yes
Chris Wilcox,yes
Corey Brewer,yes
Corey Maggette,yes
Courtney Lee,yes
D.J. Augustin,yes
Daequan Cook,yes
Dahntay Jones,yes
Damian Lillard,yes
Damien Wilkins,yes
Dan Gadzuric,yes
Daniel Gibson,yes
Danilo Gallinari,yes
Danny Green,yes
Dante Cunningham,yes
Darnell Jackson,yes
Darrell Arthur,yes
David Lee,yes
David West,yes
DeAndre Jordan,yes
DeJuan Blair,yes
Delonte West,yes
DeMar DeRozan,yes
DeMarcus Cousins,yes
DeMarre Carroll,yes
Derek Fisher,yes
Deron Williams,yes
Derrick Favors,yes
Derrick Rose,yes
DeShawn Stevenson,yes
Devin Harris,yes
Dion Waiters,yes
Dominic McGuire,yes
Donald Sloan,yes
Donatas Motiejunas,yes
Donte Greene,yes
Dorell Wright,yes
Draymond Green,yes
Drew Gooden,yes
E'Twaun Moore,yes
Earl Clark,yes
Earl Watson,yes
Ed Davis,yes
Eddie House,yes
Eddy Curry,yes
Eric Bledsoe,yes
Eric Maynor,yes
Evan Fournier,yes
Gary Forbes,yes
George Hill,yes
Gerald Green,yes
Gerald Wallace,yes
Gilbert Arenas,yes
Glen Davis,yes
Greg Monroe,yes
Greg Oden,yes
Greg Smith,yes
Hamed Haddadi,yes
Hilton Armstrong,yes
Iman Shumpert,yes
Isaiah Thomas,yes
Ivan Johnson,yes
J.J. Hickson,yes
J.J. Redick,yes
J.R. Smith,yes
Jae Crowder,yes
Jamaal Tinsley,yes
Jamal Crawford,yes
Jamario Moon,yes
Jameer Nelson,yes
James Anderson,yes
James Johnson,yes
James Jones,yes
James Posey,yes
Jared Jeffries,yes
Jason Kidd,yes
Jason Maxiell,yes
Jason Richardson,yes
Jason Terry,yes
Jason Williams,yes
JaVale McGee,yes
Jeff Ayres,yes
Jeff Teague,yes
Jeffery Taylor,yes
Jeremy Lamb,yes
Jeremy Tyler,yes
Jermaine O'Neal,yes
Jerry Stackhouse,yes
Jerryd Bayless,yes
Joe Johnson,yes
Joe Smith,yes
Joel Freeland,yes
Joel Przybilla,yes
Johan Petro,yes
John Henson,yes
John Jenkins,yes
John Lucas,yes
John Salmons,yes
John Wall,yes
Jon Brockman,yes
Jonas Valanciunas,yes
Jordan Farmar,yes
Jordan Hamilton,yes
Jordan Hill,yes
Josh Howard,yes
Josh Powell,yes
Josh Smith,yes
Juwan Howard,yes
Kawhi Leonard,yes
Keith Bogans,yes
Kendrick Perkins,yes
Kent Bazemore,yes
Kentavious Caldwell-Pope,yes
Kenyon Martin,yes
Kevin Durant,yes
Kevin Garnett,yes
Kevin Seraphin,yes
Keyon Dooling,yes
Kirk Hinrich,yes
Kobe Bryant,yes
Kwame Brown,yes
Kyle Korver,yes
Kyle O'Quinn,yes
Kyrie Irving,yes
Lamar Odom,yes
LaMarcus Aldridge,yes
Lance Stephenson,yes
Lance Thomas,yes
Larry Hughes,yes
Larry Sanders,yes
Leandro Barbosa,yes
LeBron James,yes
Louis Amundson,yes
Louis Williams,yes
Luke Walton,yes
Luther Head,yes
Malik Allen,yes
Manny Harris,yes
Marcin Gortat,yes
Marcus Camby,yes
Marcus Morris,yes
Marcus Thornton,yes
Mario Chalmers,yes
Markieff Morris,yes
Marquis Daniels,yes
Marreese Speights,yes
MarShon Brooks,yes
Martell Webster,yes
Marvin Williams,yes
Matt Barnes,yes
Maurice Evans,yes
Melvin Ely,yes
Metta World Peace,yes
Meyers Leonard,yes
Michael Beasley,yes
Michael Kidd-Gilchrist,yes
Mickael Pietrus,yes
Mike Bibby,yes
Mike Conley,yes
Mike Miller,yes
Mike Scott,yes
Mo Williams,yes
Monta Ellis,yes
Morris Peterson,yes
Nate Robinson,yes
Nazr Mohammed,yes
Nick Young,yes
Nikola Pekovic,yes
O.J. Mayo,yes
Orlando Johnson,yes
P.J. Tucker,yes
Patrick Beverley,yes
Patrick Patterson,yes
Paul George,yes
Paul Millsap,yes
Paul Pierce,yes
Perry Jones,yes
Quentin Richardson,yes
Quincy Acy,yes
Quinton Ross,yes
Raja Bell,yes
Rajon Rondo,yes
Randy Foye,yes
Rashard Lewis,yes
Rasual Butler,yes
Reggie Evans,yes
Reggie Williams,yes
Renaldo Balkman,yes
Richard Hamilton,yes
Richard Jefferson,yes
Ricky Rubio,yes
Robert Sacre,yes
Rodney Stuckey,yes
Roger Mason,yes
Ronnie Brewer,yes
Ronny Turiaf,yes
Royal Ivey,yes
Rudy Fernandez,yes
Rudy Gay,yes
Ryan Gomes,yes
Sasha Pavlovic,yes
Sebastian Telfair,yes
Shannon Brown,yes
Shaquille O'Neal,yes
Shawn Marion,yes
Shawne Williams,yes
Shelden Williams,yes
Shelvin Mack,yes
Solomon Jones,yes
Sonny Weems,yes
Stephen Curry,yes
Stephen Jackson,yes
Steve Blake,yes
Steve Nash,yes
Steven Adams,yes
Terrence Jones,yes
Terrence Williams,yes
Thabo Sefolosha,yes
Thomas Robinson,yes
Tim Duncan,yes
Tony Battie,yes
Tony Parker,yes
Tony Snell,yes
Tony Wroten,yes
Tracy McGrady,yes
Trevor Ariza,yes
Trevor Booker,yes
Trey Burke,yes
Tristan Thompson,yes
Ty Lawson,yes
Tyrus Thomas,yes
Tyson Chandler,yes
Udonis Haslem,yes
Von Wafer,yes
Wayne Ellington,yes
Wesley Matthews,yes
Will Barton,yes
Will Bynum,yes
Wilson Chandler,yes
Zach Randolph,yes
Allen Crabbe,yes
Andrew Goudelock,yes
Andy Rautins,yes
Anthony Bennett,yes
Archie Goodwin,yes
Arnett Moultrie,yes
Bernard James,yes
Carrick Felix,yes
Chris Babb,yes
Chris Johnson,yes
Chris Smith,yes
DaJuan Summers,yes
Damion James,yes
DeAndre Liggins,yes
Dennis Horner,yes
Dennis Schr_der,yes
Derrick Caracter,yes
Devin Ebanks,yes
Dominique Jones,yes
Dwight Buycks,yes
Eugene Jeter,yes
Hamady N'Diaye,yes
Henry Sims,yes
Isaiah Canaan,yes
Jamaal Franklin,yes
Jermaine Taylor,yes
Jordan Williams,yes
Josh Harrellson,yes
Josh Selby,yes
Julyan Stone,yes
Justin Harper,yes
Lorenzo Brown,yes
Maalik Wayns,yes
Mario West,yes
Marquis Teague,yes
Mickell Gladness,yes
Miroslav Raduljica,yes
Nolan Smith,yes
Pero Antic,yes
Peyton Siva,yes
Quincy Miller,yes
Reggie Bullock,yes
Ricky Ledo,yes
Robert Covington,yes
Ryan Reid,yes
Shabazz Muhammad,yes
Shane Larkin,yes
Sherron Collins,yes
Tony Mitchell,yes
Travis Leslie,yes
Trey Johnson,yes
Trey Thompkins,yes
Troy Daniels,yes
Tyler Honeycutt,yes
Tyshawn Taylor,yes
Vernon Macklin,yes
Vitor Faverani,yes
Willie Warren,yes
