Date,State,Race,Median Household Income,% Bachelor's Degree or Higher,Clinton Margin Improvement Over Obama,2017-2018 Dem Margin Improvement Over Partisan Lean
11/7/17,Virginia,HD-07,"$50,962 ",24.50%,-9%,-2%
11/7/17,New Jersey,SD-09,"$64,135 ",25.50%,-17%,-2%
11/7/17,Virginia,HD-97,"$75,115 ",29.50%,0%,-3%
11/7/17,Michigan,HD-01,"$41,708 ",25.20%,-1%,-3%
11/7/17,Virginia,HD-94,"$61,099 ",31.60%,0%,-3%
11/7/17,Virginia,HD-13,"$86,591 ",38.10%,4%,-4%
11/7/17,Virginia,HD-54,"$82,300 ",31.00%,-4%,-4%
11/7/17,New Jersey,SD-23,"$90,110 ",42.80%,0%,-4%
11/7/17,Virginia,HD-67,"$132,382 ",66.00%,18%,-4%
11/7/17,Virginia,HD-83,"$63,501 ",35.10%,-1%,-4%
11/7/17,Virginia,HD-58,"$66,793 ",33.90%,1%,-5%
11/7/17,Virginia,HD-40,"$133,910 ",62.20%,15%,-5%
11/7/17,Washington,SD-31,"$74,079 ",24.50%,-6%,-5%
11/7/17,Virginia,HD-99,"$59,420 ",26.20%,-8%,-5%
11/7/17,New Jersey,SD-08,"$80,151 ",35.50%,-5%,-6%
11/7/17,Washington,"HD-31, Position 2","$74,079 ",24.50%,-6%,-6%
11/7/17,Virginia,HD-100,"$41,343 ",20.40%,-8%,-6%
11/7/17,Massachusetts,3rd Essex HD,"$57,139 ",25.00%,-3%,-7%
11/7/17,Georgia,SD-06,"$67,687 ",61.10%,23%,-9%
11/7/17,Virginia,HD-60,"$38,126 ",17.00%,-10%,-10%
11/7/17,New Jersey,SD-16,"$110,138 ",57.90%,7%,-11%
11/7/17,New Jersey,SD-21,"$120,556 ",60.80%,15%,-13%
11/7/17,New Jersey,SD-02,"$53,312 ",25.70%,-9%,-18%
11/7/17,Washington,SD-45,"$114,762 ",61.60%,18%,-19%
11/7/17,Georgia,HD-04,"$37,945 ",13.50%,4%,-37%
10/24/17,New Hampshire,Strafford HD-13,"$51,139 ",46.60%,1%,26%
10/17/17,Massachusetts,Bristol & Norfolk SD,"$93,175 ",46.60%,9%,-3%
9/26/17,South Carolina,HD-31,"$26,265 ",11.90%,-11%,34%
9/26/17,New Hampshire,Rockingham HD-04,"$104,216 ",36.00%,-2%,27%
9/26/17,Florida,SD-40,"$56,773 ",31.30%,8%,-10%
9/26/17,Florida,HD-116,"$50,344 ",32.70%,15%,-30%
9/12/17,Oklahoma,HD-46,"$61,346 ",45.30%,9%,36%
9/12/17,New Hampshire,Belknap HD-09,N/A,N/A,-17%,26%
9/5/17,New Hampshire,Grafton HD-09,"$51,188 ",25.10%,-17%,9%
8/22/17,Rhode Island,SD-13,"$70,110 ",54.00%,4%,-7%
8/8/17,Iowa,HD-82,"$46,740 ",24.80%,-23%,27%
8/8/17,Missouri,HD-50,"$63,174 ",43.20%,2%,20%
8/8/17,Missouri,SD-28,"$38,210 ",14.80%,-19%,18%
7/25/17,New Hampshire,SD-16,"$74,821 ",41.10%,1%,13%
7/18/17,New Hampshire,Merrimack HD-18,"$36,818 ",28.50%,-2%,36%
7/11/17,Oklahoma,SD-44,"$41,433 ",13.70%,3%,31%
7/11/17,Oklahoma,HD-75,"$49,132 ",23.60%,5%,30%
6/20/17,South Carolina,5th CD,"$46,062 ",22.20%,-7%,16%
6/20/17,South Carolina,HD-70,"$38,535 ",17.60%,-6%,14%
6/20/17,South Carolina,HD-48,"$66,923 ",41.90%,3%,6%
6/20/17,Georgia,6th CD,"$82,390 ",59.10%,22%,6%
6/15/17,Tennessee,HD-95,"$116,023 ",58.80%,13%,18%
5/30/17,South Carolina,HD-84,"$42,572 ",14.80%,-5%,15%
5/25/17,Montana,At-Large CD,"$48,380 ",29.90%,-7%,16%
5/23/17,New York,AD-09,"$103,602 ",36.90%,-11%,38%
5/23/17,New Hampshire,Carroll HD-06,"$51,051 ",41.40%,6%,15%
5/23/17,New York,SD-30,"$40,552 ",41.10%,-2%,0%
5/23/17,New Hampshire,Hillsborough HD-44,N/A,N/A,-6%,-1%
5/16/17,Georgia,SD-32,"$98,416 ",62.00%,21%,8%
5/9/17,Oklahoma,HD-28,"$41,272 ",14.30%,-12%,47%
4/29/17,Louisiana,SD-02,"$44,926 ",16.40%,-5%,61%
4/25/17,Connecticut,HD-68,"$76,970 ",31.60%,-11%,-23%
4/11/17,Kansas,4th CD,"$51,260 ",28.20%,-2%,23%
4/4/17,California,34th CD,"$37,136 ",24.20%,4%,18%
2/28/17,Connecticut,SD-32,"$84,965 ",41.40%,-6%,10%
2/28/17,Connecticut,HD-115,"$49,576 ",20.10%,-21%,7%
2/28/17,Connecticut,SD-02,"$49,211 ",27.70%,-2%,-20%
2/25/17,Delaware,SD-10,"$93,482 ",41.70%,-5%,5%
2/14/17,Minnesota,HD-32B,"$74,908 ",23.80%,-17%,21%
1/31/17,Iowa,HD-89,"$50,810 ",25.90%,-16%,32%
