current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Black Canyon of the Gunnison National Park,Colorado,Black Canyon of the Gunnison National Monument,NPS,Enlarged,5/16/38,1938,F. D. Roosevelt,100
Black Canyon of the Gunnison National Park,Colorado,Black Canyon of the Gunnison National Monument,NPS,Enlarged,10/28/39,1939,F. D. Roosevelt,"2,760"
Black Canyon of the Gunnison National Park,Colorado,Black Canyon of the Gunnison National Monument,NPS,Diminished,4/8/60,1960,D. Eisenhower,470
Black Canyon of the Gunnison National Park,Colorado,Black Canyon of the Gunnison National Monument,NPS,Redesignated NP,1/6/99,1999,103d Congress,
Cedar Breaks National Monument,Utah,,NPS,Established,8/22/33,1933,F. D. Roosevelt,"5,701.39"
Dry Tortugas National Park,Florida,Fort Jefferson National Monument,NPS,Established,1/4/35,1935,F. D. Roosevelt,"47,125"
Dry Tortugas National Park,Florida,Fort Jefferson National Monument,NPS,Redesignated Dry Tortugas NP,10/26/92,1992,102d Congress,
Joshua Tree National Park,California,Joshua Tree National Monument,NPS,Established,8/10/36,1936,F. D. Roosevelt,"825,340"
Joshua Tree National Park,California,Joshua Tree National Monument,NPS,Redesignated NP,10/31/94,1994,103d Congress,
Zion National Park,Utah,"Zion ""II""",NPS,Established,1/22/37,1937,F. D. Roosevelt,"49,150"
Zion National Park,Utah,"Zion ""II""",NPS,Redesignated NP,7/11/56,1956,84th Congress,
Organ Pipe Cactus National Monument,Arizona,,NPS,Established,4/13/37,1937,F. D. Roosevelt,"330,690"
Capitol Reef National Park,Utah,Capitol Reef National Monument,NPS,Established,8/2/37,1937,F. D. Roosevelt,"37,060"
Capitol Reef National Park,Utah,Capitol Reef National Monument,NPS,Enlarged,7/2/58,1958,D. Eisenhower,"3,040"
Capitol Reef National Park,Utah,Capitol Reef National Monument,NPS,Enlarged,1/20/69,1969,L. Johnson,"215,056"
Capitol Reef National Park,Utah,Capitol Reef National Monument,NPS,Redesignated NP,12/18/71,1971,92d Congress,
Channel Islands National Park,California,Channel Islands National Monument,NPS,Established,4/26/38,1938,F. D. Roosevelt,"1,119.98"
Channel Islands National Park,California,Channel Islands National Monument,NPS,Enlarged,2/9/49,1949,H. Truman,"25,918.02"
Channel Islands National Park,California,Channel Islands National Monument,NPS,Redesignated NP,5/31/80,1980,96th Congress,
Fort Laramie National Historic Site,Wyoming,Fort Laramie National Monument,NPS,Established,7/16/38,1938,F. D. Roosevelt,214.41
Fort Laramie National Historic Site,Wyoming,Fort Laramie National Monument,NPS,Redesignated NHS,4/29/60,1960,86th Congress,
Gulf Islands National Seashore,Florida,Santa Rosa Island,NPS,Established,5/17/39,1939,F. D. Roosevelt,"9,500"
Gulf Islands National Seashore,Florida,Santa Rosa Island,NPS,Diminished,8/13/45,1945,H. Truman,"4,700"
Gulf Islands National Seashore,Florida,Santa Rosa Island,NPS,Incorporated into Gulf Islands NS,7/30/46,1946,79th Congress,
Tuzigoot National Monument,Arizona,,NPS,Established,7/25/39,1939,F. D. Roosevelt,42.67
Tuzigoot National Monument,Arizona,,NPS,Enlarged,11/10/78,1978,95th Congress,791
Grand Teton National Park,Wyoming,Jackson Hole National Monument,NPS,Established,3/15/43,1943,F. D. Roosevelt,"210,950"
Grand Teton National Park,Wyoming,Jackson Hole National Monument,NPS,Redesignated Grand Teton NP,9/14/50,1950,81st Congress,
Effigy Mounds National Monument,Iowa,,NPS,Established,10/25/49,1949,H. Truman,"1,000"
Thomas Edison National Historical Park,New Jersey,Edison Laboratory,NPS,Established,7/14/56,1956,D. Eisenhower,1.51
Thomas Edison National Historical Park,New Jersey,Edison Laboratory,NPS,Redesignated NHS,9/5/62,1962,87th Congress,
Thomas Edison National Historical Park,New Jersey,Edison Laboratory,NPS,Redesignated Thomas Edison NHP,3/30/09,2009,111th Congress,
Chesapeake and Ohio Canal National Historical Park,Maryland,Chesapeake and Ohio Canal National Monument,NPS,Established,1/18/61,1961,D. Eisenhower,"5,263.94"
Chesapeake and Ohio Canal National Historical Park,Maryland,Chesapeake and Ohio Canal National Monument,NPS,Redesignated NHP,1/8/71,1971,91st Congress,
Russell Cave National Monument,Alabama,,NPS,Established,5/11/61,1961,J. Kennedy,310.45
Buck Island Reef National Monument,Virgin Islands,,NPS,Established,12/28/61,1961,J. Kennedy,850
Buck Island Reef National Monument,Virgin Islands,,NPS,Enlarged,2/1/75,1975,G. Ford,30
Buck Island Reef National Monument,Virgin Islands,,NPS,Amending Description,3/28/75,1975,G. Ford,
Buck Island Reef National Monument,Virgin Islands,,NPS,Enlarged,1/17/01,2001,W. Clinton,"17,255"
Grand Canyon National Park,Arizona,Marble Canyon National Monument,NPS,Established,1/20/69,1969,L. Johnson,"32,546.69"
Grand Canyon National Park,Arizona,Marble Canyon National Monument,NPS,Incorporated into Grand Canyon NP,1/3/75,1975,93d Congress,
Part of Tongass National Forest,Alaska,Admiralty Island National Monument,USFS,Established,12/1/78,1978,J. Carter,"1,100,000"
Aniakchak National Monument & Preserve,Alaska,Aniakchak National Monument,NPS,Established,12/1/78,1978,J. Carter,"350,000"
Aniakchak National Monument & Preserve,Alaska,Aniakchak National Monument,NPS,Partially Redesignated Preserve,12/2/80,1980,96th Congress,
Becharof National Wildlife Refuge,Alaska,,FWS,Established,12/1/78,1978,J. Carter,"1,200,000"
