Rank,Pollster,Pollster Rating ID,Polls Analyzed,NCPP/AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
23,Public Policy Institute of California,262,17,yes,no,-.4350847160589734,A/B,-1.142767725530053,1,.2352941176470588,5.058373956119313,6.340402037348159,-1.277173740622257,-.6710188021511885,-.2660216305465535,11,-4.278469779274681,-1.420514016184773,,0
24,Christopher Newport University,50,13,yes,no,-.4157477143028115,A/B,1.035338401208234,1,.3076923076923077,5.421989147479717,5.367781174548801,.0590623135375051,-.6752688755025994,-.2542033919649918,12,2.971978823343913,2.005821493074492,4.543501255013545,0
25,Strategic Vision LLC,320,133,no,yes,-.4093433552458224,F,-1.565349522249775,.8872180451127819,.1879699248120301,3.9196988729606,5.182542290160064,-1.257989076592874,-.7759489547791791,-.5668363365415784,110,-2.31423058943315,-2.151473507112263,4.35200216571219,.1182012843699503
26,Public Opinion Strategies,260,77,yes,no,-.4030286177198171,A-,-1.463957198958165,.6818181818181818,.2077922077922078,5.400956191025771,5.741270746812678,-.335460215180316,-.7056691730313095,-.490177117985457,75,-2.147500305175781,-4.293983837071058,4.560357895633497,.3083430447215038
27,CBS News/The New York Times,36,62,yes,no,-.3994224601982951,A-,.3025593291962615,.7741935483870968,.2258064516129032,4.476905945808657,5.503620680677048,-1.021860394261805,-.5990196850785335,-.35552109890906,51,.5306224449008119,1.517954371398464,4.121276802729937,.2109512837990196
28,Mason-Dixon Polling & Strategy,197,445,no,no,-.3941200659842879,A-,-.515802352230278,.8595505617977528,.2314606741573034,5.126149068253763,5.502781457258179,-.3717780483978276,-.5459035304715585,-.4987849836613195,388,-.5711412626443449,-1.116511699454303,5.146237051158085,.0896130661159873
29,Public Policy Polling,263,454,no,no,-.3918422921735414,A-,.9321825021704334,.7929515418502202,.3149779735682819,5.105827020653544,5.550127917653857,-.4394465563937247,-.432649072316288,-.4073063046667555,327,1.010979282017513,1.05247566824167,4.572874664914711,0
30,Emerson College,88,201,yes,no,-.3918043792305625,A-,.8432465238911562,.763681592039801,.2189054726368159,5.191912617849473,5.690332812916279,-.4935658544602152,-.6118003743061373,-.5538779247346115,159,.9540351651749521,-1.373640348124942,4.557129234575539,.2225262811932984
31,University of Connecticut,347,11,yes,no,-.3806335800402641,A/B,-.1612337393223545,.9545454545454546,.0909090909090909,3.636163191361861,5.702708061135182,-2.061690529166732,-1.812616607025872,-.2986774449822354,11,-.9784968983043324,-.6515151515151515,8,0
32,Grove Insight,129,29,no,no,-.3776262492576777,A/B,.5517539789181637,.896551724137931,.0689655172413793,2.952531748804553,5.123228803365846,-2.165842713954703,-1.854106225333469,-.8506096999546133,29,1.202679075043777,3.314108001571689,3.847079442203469,.6483529342285926
33,The Winston Group,385,10,yes,no,-.3628111184548534,A/B,1.084935521863051,.5,.4,4.175388336181641,5.243162856132545,-1.062920179344315,-.9085701682795456,-.2424686196782707,10,4.065433502197266,.5544444618730905,4.733011955875233,0
34,National Research Inc.,225,15,no,no,-.3587017883973611,A/B,-.4235082427366348,.7666666666666667,.1333333333333333,4.39080924987793,6.097393954064403,-1.701730363579884,-1.639751504682349,-.6537048030578724,12,-1.213219165802002,-2.9290894101226,4.708379748852069,.1404424683507143
35,Fairleigh Dickinson University (PublicMind),92,20,yes,no,-.3279580548271417,A/B,-.2165206327505528,.95,.1,4.440978050231934,5.358511689099378,-.9126792982608565,-.8380466513142142,-.2720944607518267,19,-.6907659831799959,2.435522153841081,4.523587596163656,.2655406954045892
36,Quinnipiac University,267,219,yes,no,-.3149763346868122,A-,.5485570013033918,.817351598173516,.2694063926940639,4.796165736298583,5.627070789704262,-.8260507127990924,-.3017991517287681,-.2669757445552307,165,.6401595375754616,.5421931999487883,4.89597885188422,0
37,Ciruli Associates,51,20,yes,no,-.303590018460776,A/B,-.6109127602102492,.95,.1,3.77440013885498,5.259219176594611,-1.479964697133042,-.8894583268149803,-.2662673607425706,20,-2.040736198425293,-2.6586610296301,5.241835566962915,.3181341688029125
38,Elon University,86,8,yes,no,-.2903980097900636,A/B,.4572253997293468,.5625,.125,3.152763366699219,4.723235578300777,-1.565617870994968,-1.421942556563748,-.3126489823390849,8,2.079483032226563,.7813109061682718,3.566882986360794,.5681594481906921
39,Elway Research,87,21,no,no,-.2878686657814885,A/B,.7794182414161517,.9047619047619048,.0476190476190476,3.919994990030924,5.772737359049807,-1.847888028412294,-1.814172326516857,-.6849752711822185,20,2.090176296234131,3.493979747174967,4.20824696842231,.3597209642869031
40,Louisville Courier-Journal,174,10,yes,no,-.2754931355358016,A/B,-.222187321142904,.8,.1,3.537170791625976,5.386656777087478,-1.844631644854912,-1.669356578377343,-.2448219489169292,10,-1.515018844604492,-1.027777438693577,5.348942075163053,.3032368524958057
41,YouGov,391,455,no,no,-.273505537653068,B+,.6766339784370394,.8868131868131868,.3208791208791209,5.038859289819068,5.174998705898146,-.1312850754724879,-.3428717352678932,-.3236017801576189,395,.7261292566227008,.280365261549705,4.228015171115431,.0373586246742392
42,Suffolk University,323,90,yes,no,-.2723487593473102,B+,.9143103775867303,.8111111111111111,.2444444444444444,5.100966284010146,6.171914465587268,-1.066093840970535,-.2287499662750266,-.1754884407814448,54,1.371931076049805,1.690754449233349,5.290999667886991,0
43,RKM Research and Communications Inc.,272,35,no,no,-.2502523505654984,B+,-.1532592156273004,.8428571428571429,.2285714285714286,5.225879396711077,6.439681586328422,-1.208947849010754,-.8296452957554462,-.4097837807572352,21,-.5748111179896763,-1.533106154161316,4.493119662042916,.0427549324484808
44,Temple University,336,6,yes,no,-.2497520325929586,A/B,-.2160478104403776,1,.1666666666666667,3.65904426574707,5.680047545301856,-2.016148938948197,-1.860153293013499,-.2040752715764456,5,-2.454236602783203,.7319953757764655,3.404894870860216,.1419554183619184
45,National Journal,224,12,yes,no,-.2406283419287637,A/B,-.1370833076306571,1,0,2.58882745107015,5.180404786862579,-2.586722995185841,-1.52528217964292,-.3327836470072496,12,-.6283082962036133,.3330994514929227,3.469211118333305,.890053168558799
46,Fox News/Opinion Dynamics Corp.,104,34,yes,no,-.239209639108953,A/B,-.2998547030637924,.7205882352941176,.1176470588235294,3.895261147442986,5.056274404687062,-1.156158916637486,-.3006300472953212,-.1202377278616926,28,-.9087292807442802,-1.627355866590143,4.126998931852371,.1285408132013464
47,Michigan State University,463,2,yes,no,-.2283145698385184,A/B,-.0470255683040697,1,0,1.030765533447266,7.354118595320895,-6.318498721267041,-4.047355406498196,-.3548497897677919,2,-.5363655090332031,-1.523426869532446,,0
48,Abt Associates,7,10,yes,no,-.2230922139435841,A/B,.8133371554939981,.9,.3,3.862665557861328,5.52278232564798,-1.655262427180062,-.7831479146443763,-.199387794214817,9,3.323231167263455,.2381627661094586,4.072007221867431,.3614499188529773
49,Muhlenberg College,219,32,yes,no,-.2210083283841471,B+,-.1419693389474709,.859375,.09375,3.769753098487854,5.368856193738219,-1.594248754643777,-1.1234256042749,-.5991136673049047,31,-.2723562179073211,.2832179336884245,3.64568803660892,1.073063459774076
50,Florida Atlantic University,97,9,no,no,-.2161511206524903,A/B,.6514053149811404,.6666666666666666,0,3.636521657307943,6.661359402823979,-3.019983404909446,-2.279551776412484,-.6921803183240303,5,3.434135437011719,.3300030026579208,3.668343239936295,.4501304626064923
51,Gallup,112,84,yes,no,-.2154808928142098,B+,-.5755774082287161,.6904761904761905,.2976190476190476,4.266228675842285,5.117734480780458,-.8466514643315844,-.096501672301949,-.060565040547599,69,-.9780368804931641,-1.518965194111872,4.154284865219057,0
52,RT Strategies,275,45,yes,no,-.2021314652948369,B+,1.002058800878988,.6666666666666666,.3777777777777778,5.921910264756945,5.55415604226124,.3726085631022948,-.007357279439896,-.0034954131741795,45,2.109171719021267,3.299978956228956,7.47149558923968,0
53,Potomac Incorporated,256,8,yes,no,-.1972893066528501,A/B,-.2989758208518576,.875,.125,4.56696891784668,6.241066865240605,-1.669243606787337,-1.544391936630235,-.1745590910046846,6,-3.137205123901367,1.314545504252116,4.517884820899634,.3518447239383526
54,University of Massachusetts Lowell,355,26,yes,no,-.1954232368586374,B+,.8186157419018985,.7884615384615384,.3076923076923077,6.218944916358361,6.265896810268798,-.0420975533038478,-.1259619758484186,-.0703227270573977,17,1.859513002283433,-.3285967155637531,4.401121623922567,.1050587827293154
55,Northern Arizona University,234,4,yes,no,-.1914932071865612,A/B,-.2397644110238754,1,.25,3.581880569458008,5.649931661070706,-2.063196751006109,-3.035183791440176,-.2190712974725346,4,-3.321882247924805,-5.12962962962963,6,.1880023408760161
56,Market Shares Corp.,187,25,yes,no,-.1904870355902863,A/B,-1.116463552379,.84,.28,5.833436889648437,5.459175339675063,.3791158905799643,-.5181010231370671,-.1709831472780438,22,-4.090595765547319,-1.910674497184886,4.568093518841848,.3775032824995286
57,Angus Reid Global,13,31,no,no,-.1891576113303911,B+,-1.156968436932061,.9354838709677419,.0645161290322581,3.188856924733808,4.892401796541075,-1.698690531200678,-1.402220205704477,-.6996465885099965,31,-2.318777145877961,.7856167374884813,2.999321370691419,.7563524627758474
58,Tarrance Group,333,31,no,no,-.1877888208114844,B+,-.9321207960623455,.8387096774193549,.2258064516129032,5.727274064094789,6.269753478804693,-.5376250741033142,-.6242494207968549,-.3175109413086395,27,-2.074528164333767,-5.391174342874497,6.234594881392646,0
59,Pharos Research Group,254,33,no,yes,-.181091218007201,F,.7837683835376599,.9393939393939394,.1515151515151515,3.727244232640122,4.996001396717071,-1.26390282347036,-.842373933489471,-.4265716036697134,33,1.547749663844253,.8805577264040833,4.020183078748705,.2274283195553339
60,Cygnal,67,20,no,no,-.1781167384084711,B+,2.050310420752583,.95,.15,4.379972457885742,5.295646775726844,-.9108199772345129,-1.34953509896708,-.6761011620367349,20,4.092532348632813,-.6020701489306607,3.324110385764116,.7310457766211726
61,Susquehanna Polling & Research Inc.,326,46,no,no,-.1748126895970972,B+,.6142521511939343,.7173913043478261,.2608695652173913,5.351888656616211,5.511775495543286,-.1550324983204863,-.4183686364766303,-.2690414781712609,41,.9773832181604897,-1.257913985607085,5.39987791449076,0
62,Castleton University,45,3,yes,no,-.1563042889882817,A/B,,1,.3333333333333333,9.956270853678385,10.88909266019898,-.927967465914008,-.9340794387797972,-.0971842088293806,0,,,,0
63,Wick,284,7,no,no,-.1558947575762597,A/B,-.1659714457749334,.7142857142857143,0,2.200096947806222,3.925699169269442,-1.72074788085663,-1.907580142382158,-.5251704232891569,7,-.6028592245919364,-3.730497145167032,5.761407580823872,0
64,Columbus Dispatch,57,22,yes,no,-.1475464656834379,A/B,.9783372510156999,.9318181818181818,.4545454545454545,5.398525238037109,5.205428865655135,.1979507129885654,.0248458562544853,.0090245301346492,17,2.964653912712546,2.693081749123809,5.531728786497386,0
65,Lake Research Partners,165,12,no,no,-.1326501768887209,A/B,.8029285444950569,.8333333333333334,.25,4.055425008138021,5.466569561056333,-1.406290212311723,-1.459355515377667,-.4598786932247855,12,2.547972361246745,2.352757065794363,6.00216277883069,0
66,Public Religion Research Institute,428,1,yes,no,-.1289325890940318,A/B,-.0395204838800565,1,0,.8620071411132813,5.824591809115224,-4.957730327395354,-3.43964563678583,-.1576976030223359,1,-.8620071411132813,1.674285670689174,2,1.229466967224174
67,Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,2,yes,no,-.1255979863026042,A/B,,1,.5,6.854116439819336,11.09983460908339,-4.240863828657471,-2.734016207015824,-.1215095143011595,0,,,,0
68,Western New England University,380,11,yes,no,-.110773336936859,A/B,-.3796960623710915,1,.0909090909090909,4.244961478493431,5.767853875608458,-1.518038056508439,-1.39739932795524,-.4006546707201787,10,-1.362352752685547,2.019394173077492,2.6320729388773,1.456800997018991
69,Market Solutions Group,188,4,yes,no,-.1008247146695525,A/B,-.0033886612645791,1,.25,4.36395263671875,6.097904568171559,-1.72909759084622,-1.376334201919537,-.0853178266666887,2,-.12042236328125,1.5,4.401517070360253,.4484821992814314
70,Scripps Howard,303,5,yes,no,-.098184248386978,A/B,-.1400422760768051,1,.4,4.791368103027343,4.674275851460114,.1219465921738193,-1.346039014200504,-.0874592030155707,5,-2.155317687988281,-3.042857142857143,2.449489742783178,.5187459930409232
71,Wirthlin Worldwide,387,4,yes,no,-.0964891616331315,A/B,-.1770737898220353,.75,.25,4.596271514892578,5.801935779527188,-1.200809924028021,-1.472980607947777,-.0660914706539207,4,-3.946443557739258,-5.564639632766311,5.251780870545703,.1442666609128854
72,Indiana University,149,2,yes,no,-.0950399518333271,A/B,.0274411754240121,1,0,.8688735961914063,5.810770506827918,-4.937042570029924,-4.491494658622478,-.1418525011964127,2,.8688735961914063,4.125,,0
73,Baruch College,22,2,yes,no,-.0937916384673061,A/B,,1,0,5.486835479736328,9.283068746160636,-3.791378925817718,-.5855972152556834,-.0449379192348417,0,,,9.150757595082503,0
74,Knowledge Networks,164,3,yes,no,-.0935157378665621,A/B,.216354991345209,1,.3333333333333333,4.162570953369141,4.799824124241399,-.6323988302656692,-1.118871371364212,-.0607503467046331,3,3.984724680582682,.7536700251929291,3.138353812727866,.1408930172400337
75,Princeton Survey Research Associates International,258,35,yes,no,-.0887239206500411,A/B,.445906197212584,.6571428571428571,.3142857142857143,4.96545273917062,5.250081343486058,-.2797742637088484,.2179024459265716,.0947206962882701,33,1.072647672710997,.0717976123456168,4.761307992785031,0
76,GfK Group,115,21,yes,no,-.0884180165916167,A/B,.1994639123490759,.9285714285714286,.1428571428571428,3.810167948404948,4.906137733499703,-1.091115444488166,-.0279496806216638,-.0102266942597903,21,.5451373145693824,1.27808715300271,4.621799279541408,.2169624036066385
77,Vox Populi Polling,372,19,no,no,-.0824722486637735,A/B,.39372786799427,.7631578947368421,.1578947368421053,3.956891310842414,5.167959912711793,-1.20621426126279,-.7980057743990526,-.3511785784526951,19,.8946932742470189,-1.300901224920249,4.7989892898252,.1668381106557129
78,Fleming & Associates,96,18,no,no,-.0758072388077397,A/B,-.5879486169435573,1,.1111111111111111,5.132949617173937,5.804779806534564,-.6669758487540385,-1.634495628457428,-.5652653590346407,16,-1.821194887161255,-.2280219780219779,4.121158932446784,.562868849288604
79,NBC News/The Wall Street Journal,221,34,yes,no,-.074224876190926,B+,.7641021561590894,.7794117647058824,.1176470588235294,4.058129142312443,5.146696635890477,-1.083713152971445,-.2587223426008963,-.139355755040453,29,1.43655356045427,.6217559621670972,3.053721056841095,.4772484204720722
80,Louis Harris & Associates,173,2,yes,no,-.0723071526680285,A/B,.0189190483417673,1,0,.8593788146972656,4.876444529458897,-4.012211374155043,-4.505402691124016,-.0991855161597517,2,.8593788146972656,5.375,5.497869162102364,0
81,KRC Research,160,22,yes,no,-.0702860441389983,A/B,.0850921296692476,.9090909090909091,.4090909090909091,7.130356875332919,6.784775967616778,.3504352483227293,.1624733399840239,.0382628639685359,11,.7248476201837714,2.476515145735307,6.49785078408102,0
82,Harris Insights & Analytics,133,182,yes,no,-.0622054637457226,B+,-1.065041464326777,.8324175824175825,.4835164835164835,5.043052254142342,4.155189055042091,.8927175397068411,-.0052398861622841,-.0045132013366394,182,-1.236527159973815,.5303280530923598,3.927387720535005,0
83,Georgetown University (Battleground),114,35,yes,no,-.0584013212469942,A/B,-.5307652890102345,.5571428571428572,.1428571428571428,3.355102648053851,4.717154975203762,-1.357197986543323,-.1870124153098356,-.0819393053753601,35,-1.211380767822266,-1.415722424694828,3.17295012842062,.4753679838054304
84,Behavior Research Center (Rocky Mountain Poll),27,7,yes,no,-.0580673294746412,A/B,.439183496978731,1,.2857142857142857,5.286084856305804,6.095606947030773,-.8046677501183795,-.5948831378209584,-.0653931342852088,6,5.300599416097005,2.95,4.64820917074919,.6245835965331664
85,Escalent,189,1,yes,no,-.0552193460940959,A/B,-.0166482327432473,1,0,1.123138427734375,5.486926266072844,-4.35893349773188,-3.875852503676521,-.0574515954278837,1,-1.123138427734375,-4.641666730244955,3.6,1.265265741385294
86,St. Pete Polls,314,26,no,no,-.0501213089677877,B+,-.1213159892046658,.5576923076923077,.3461538461538461,4.886916087223933,5.23281610777392,-.3410456799433982,-.314876591309273,-.1708644787340178,25,-.23000732421875,-1.43883243254266,3.387095196662985,0
87,"Lauer, Lalley, Victoria",168,1,yes,no,-.0464446632527891,A/B,-.0184639711316201,1,0,1.658950805664063,6.284845112644165,-4.621039966373513,-4.423442351258791,-.0492325098472914,1,-1.658950805664063,4,,0
88,Gordon S. Black Corp.,123,2,yes,no,-.0418053502782946,A/B,-.1399591861875582,1,.5,6.357505798339844,5.137398300763543,1.22496183818289,-.6144861881899994,-.0135277873981688,2,-6.357505798339844,-1.269841269841269,6.000000000000001,0
89,University of Florida,349,1,yes,no,-.0411360947075567,A/B,.0373956668765794,.5,0,1.077785491943359,4.854339825419885,-3.771699992869936,-1.405468170236857,-.0487651948302299,1,1.077785491943359,-.1470588235294118,1.414285387311663,1.172301971721692
90,University of Cincinnati (Ohio Poll),346,39,no,no,-.0370594289568832,A/B,-1.306065146884215,.9358974358974359,.2307692307692308,4.199360969739082,5.688044858653705,-1.483829548308032,-.8723258548608629,-.4079996282714262,30,-3.206029510498047,-2.56406304192143,3.426229651161958,.4379740993217192
91,New England College,228,19,no,no,-.0339156692478161,A/B,-1.233823913352059,.7368421052631579,.1578947368421053,4.186138956170333,5.130762388156788,-.9397690913798653,-.7022128287799915,-.2771430608747104,19,-3.126208455939042,-3.275668947623061,5.506584216856184,0
92,Clemson University,54,8,no,no,-.0327079524429111,A/B,.0305970901911662,1,.5,10.055743932724,7.745665259712248,2.31493301361834,-4.333011535195882,-.9821700093118635,2,1.24305534362793,2.166666666666666,15.99796985711743,0
93,Ohio State University,236,1,yes,no,-.028267094412787,A/B,-.0472408228151871,1,0,3.677444458007813,4.889618661903905,-1.207319863289503,-.2675489206245848,-.0034369604484707,1,-3.677444458007813,-5.8,,0
94,Global Strategy Group/National Research (Philadelphia Inquirer),119,4,yes,no,-.0241629481333874,A/B,-.2957787846748048,1,.25,2.981807708740234,4.960417918246559,-1.973755868899735,-1.602300614760774,-.17721193398286,4,-2.674348831176758,.2030208667119344,2.248334797424331,1.940660405078344
95,Voter/Consumer Research,371,8,yes,no,-.0205286453863129,A/B,-.0938706638267403,1,.375,4.966556310653687,5.544527388315651,-.5731167370553751,-.9994758721376947,-.1615045714218247,8,-.5809214115142822,-2.906479969685212,2.05764765011757,1.372204334348485
96,Saint Anselm College,494,5,no,no,-.0043478260869565,A/B,.4983920221743376,1,.2,2.593349456787109,5.025210111007667,-2.427006313613969,-2.983210610041913,-.6485240456612853,5,2.292603302001953,.0333333333333332,2.666666666666667,.9257676034617009
97,Star Tribune (Minnesota Poll),315,14,yes,no,-.0027021768417726,A/B,.7866531081869236,.5714285714285714,.4285714285714285,5.33117812020438,4.399871006504118,.9361614543068519,.4676652409284022,.0882514522723825,12,4.415757815043132,3.103320208554546,4.948527776277877,0
98,co/efficient,514,5,no,no,.0025374719739618,B/C,-.1458200546642594,.8,0,2.651225280761719,4.891678480928892,-2.235598859560584,-3.390815593488743,-.7294941728289335,5,-.6777969360351562,-7.721500015258789,3,.2086763622067728
99,Pew Research Center,253,25,yes,no,.0050416989092537,B/C,.7468037257420483,.5,.36,4.317460784912109,4.529008709484654,-.2066935839659541,.4441390606891732,.1632249772615992,25,2.032070770263672,1.005657165685872,3.818391934927934,0
100,American Viewpoint,10,8,no,no,.0051543406263754,B/C,-.7621450628157735,.6875,0,4.16240930557251,5.712293976693308,-1.545030330514208,-2.079017544121555,-.4454959471628316,8,-3.556739330291748,-3.333993881672352,6.252438154863531,0
101,GQR Research (GQRR),126,57,yes,no,.0080043239378806,B,2.127007880972816,.543859649122807,.1228070175438596,4.536231860779879,5.335848746522271,-.7947625451358039,.1889929341982939,.1133013102353454,55,3.593433310768821,3.318148647061287,4.138938620735813,.1022700367888276
102,EPIC-MRA,84,54,no,no,.0107773328025,B,.115735045363567,.7962962962962963,.2222222222222222,5.469057718912761,5.689511943504002,-.2155998839846535,-.5945972458868907,-.3840742838142684,47,.1919800778652759,.4101546190582647,3.96975026527523,.4665754239193021
103,Polling Company/Global Strategy Group (Hotline Bullseye),255,4,yes,no,.0186936466241424,B/C,-.2124617456842096,.25,.25,4.294097900390625,3.808016719558901,.4909355214383134,.9575147130651566,.0473755494576945,4,-4.294097900390625,-2.752550264884686,3.15546352046416,.2005286905231236
104,NPR,222,3,yes,no,.0187906392292975,B/C,.0628007749075856,.1666666666666667,.3333333333333333,4.715724945068359,5.210355843090765,-.489776557415816,.2624936646787062,.0203155393532452,3,.811438242594401,.6736111898270866,2.092172684857494,.6147136559579165
105,Harvard University,135,1,yes,no,.0259599162417106,B/C,.1012598233566302,0,0,6.831283569335938,5.543205937713233,1.292931972229294,1.037013564768634,.0153716075933749,1,6.831283569335938,1.583333333333333,2.5,2.439576681812079
106,Rasmussen Reports/Pulse Opinion Research,277,748,no,no,.034939605456722,B,-1.466656728993862,.7814171122994652,.2794117647058824,5.124549337886871,5.499760509362544,-.3703568308690899,-.0448965087539173,-.0429351062370877,609,-1.546923927094157,-1.259056324888526,4.632534083773963,.0693719585641567
107,Harstad Strategic Research Inc.,134,11,no,no,.0397295118765566,B/C,.617120123267614,.7727272727272727,.0909090909090909,3.71497240933505,5.669405626106609,-1.949578876164969,-1.649749559329973,-.3802153345477424,11,2.677676460959695,3.614009769879855,5.24202705227114,.0144037048440678
