Performer,Score per year,Total score,Show
Keone Young,0.2,2,Deadwood
Ashley Crow,0.2,1,Heroes
Evangeline Lilly,0.2,1,Lost
Jack Coleman,0.2,1,Heroes
Yvette Freeman,0.2,1,ER
Harry Dean Stanton,0.2,0.75,Big Love
Janel Moloney,0.1,1.25,The West Wing
Mathew St. Patrick,0.1,1.25,Six Feet Under
Dominic Chianese,0.1,1,The Sopranos
Grace Zabriskie,0.1,0.5,Big Love
Jennifer Carpenter,0.1,0.25,Dexter
Marla Sokoloff,0.1,1.25,The Practice
Jeffrey Jones,0.1,1,Deadwood
Melissa Fitzgerald,0.1,1,The West Wing
Candice Bergen,0.1,0.75,Boston Legal
Peter Jacobson,0.1,0.25,House
Larry Cedar,0.1,0.5,Deadwood
Emily Wagner,0.0,0.25,ER
Dan Grimaldi,0.0,0.25,The Sopranos
Peter Jason,0.0,0.25,Deadwood
Mageina Tovah,0.0,0.25,Joan of Arcadia
Michael Badalucco,0.0,0.25,The Practice
Aida Turturro,0.0,0,The Sopranos
Alexander Skarsgård,0.0,0,True Blood
Anatol Yusef,0.0,0,Boardwalk Empire
Anthony Laciura,0.0,0,Boardwalk Empire
Becky Wahlstrom,0.0,0,Joan of Arcadia
Blue Deckert,0.0,0,Friday Night Lights
Bobbin Bergstrom,0.0,0,House
Brad Leland,0.0,0,Friday Night Lights
Brady Noon,0.0,0,Boardwalk Empire
Bree Seanna Wall,0.0,0,Deadwood
C.S. Lee,0.0,0,Dexter
Chris Bauer,0.0,0,True Blood
Christina Robinson,0.0,0,Dexter
Connor Noon,0.0,0,Boardwalk Empire
Cristine Rose,0.0,0,Heroes
Dana Gourrier,0.0,0,True Detective
Daveigh Chase,0.0,0,Big Love
Declan McTigue,0.0,0,Boardwalk Empire
Deezer D,0.0,0,ER
Desmond Harrington,0.0,0,Dexter
Eriq La Salle,0.0,0,ER
Garrett Gray,0.0,0,Big Love
Geri Jewell,0.0,0,Deadwood
Jack Gleeson,0.0,0,Game of Thrones
Jackson Pace,0.0,0,Homeland
James Kyson,0.0,0,Heroes
Jerry Orbach,0.0,0,Law & Order
John Spencer,0.0,0,The West Wing
Josie Gallina,0.0,0,Boardwalk Empire
Keegan Holst,0.0,0,Big Love
Kelly Macdonald,0.0,0,Boardwalk Empire
Kristin Bauer van Straten,0.0,0,True Blood
Lara Flynn Boyle,0.0,0,The Practice
Laura Cer—n,0.0,0,ER
Lauren Bowles,0.0,0,True Blood
Lauren Vélez,0.0,0,Dexter
Lucy Gallina,0.0,0,Boardwalk Empire
Meghan Wolfe,0.0,0,True Detective
Michael Gill,0.0,0,House of Cards
Michael Irby,0.0,0,True Detective
Michael Potts,0.0,0,True Detective
NiCole Robinson,0.0,0,The West Wing
Paul Guilfoyle,0.0,0,CSI: Crime Scene Investigations
Ralph Richeson,0.0,0,Deadwood
RJ Mitte,0.0,0,Breaking Bad
Robert Iler,0.0,0,The Sopranos
Rory McTigue,0.0,0,Boardwalk Empire
Steven Hill,0.0,0,Law & Order
Steven Michael Quezada,0.0,0,Breaking Bad
Timothy F. Crowley,0.0,0,Friday Night Lights
Tony Molina Jr.,0.0,0,True Detective
Tony Sirico,0.0,0,The Sopranos
