Performer,Show,Show Start,Show End,Status?,CharEnd,Years Since,#LEAD,#SUPPORT,#Shows,Score,Score/Y,lead_notes,support_notes,show_notes
Mageina Tovah,Joan of Arcadia,2003,2005,END,2005,10,0,1,0,0.25,0.025,,SpongeBob Squarepants: The Movei,
Rob Lowe,The West Wing,1999,2006,END,2006,9,3,2,9,12.5,1.388888889,"Breakaway, 2011; I Melt With You, 2011; Knife Fight, 2013","Thank You For Smoking, 2006; Sex Tape, 2014","Dr. Vegas, Season 1; Brothers and Sisters, Season 1-4; Parks & Recreations Season 3-6"
Dul_ Hill,The West Wing,1999,2006,END,2006,9,0,2,8,8.5,0.944444444,,"The Guardian, 2006; Gayby, 2012","Psych, Season 1-8"
Dayton Callie,Deadwood,2004,2006,END,2006,9,0,0,8,8,0.888888889,,,"John from Cincinatti, Season 1; Sons of Anarchy, Season 1-7"
Timothy Olyphant,Deadwood,2004,2006,END,2006,9,3,7,7,11.75,1.305555556,"A Perfect Getaway, 2009; The Crazies, 2010; Dealin with Idiots, 2014","Live Free or Die Hard, 2007; Stop Loss, 2008; Meet Bill, 2008; I am Number Four, 2011; Rango, 2011; Elektra Luxx, 2011; This is where I leave you, 2014","Damages, Season 2; Justified, Season 1-6"
Joshua Malina,The West Wing,1999,2006,END,2006,9,0,1,6,6.25,0.694444444,,"The First Time, 2012","Big Shots, Season 1; Backwash, Season 1; Scandal, Season 1-4"
Anna Gunn,Deadwood,2004,2006,END,2006,9,0,0,6,6,0.666666667,,,"Breaking Bad, Season 1-5; Gracepoint, Season 1"
Allison Janney,The West Wing,1999,2006,END,2006,9,4,17,5,13.25,1.472222222,"The Oranges, 2012; The Way Way Back, 2013; Brightest Star, 2014; Days and Nights, 2014","Hairspray, 2007; Juno, 2007; Away we Go, 2009; Pretty Ugly People, 2009; The Help, 2011; Margaret, 2011; A Thousand Words, 2012; Liberal Arts, 2012; Struck by Lightening, 2013; Touchy Feely, 2013; Mr. Peabody & Sherman, 2014; Bad Words, 2014; Trust Me, 2014; Tammy, 2014; Get on Up, 2014; The Rewrite, 2015; The Duff, 2015","Mr. Sunshine, Season 1; Masters of Sex, Season 1; Mom, Season 1-3"
Drea de Matteo,The Sopranos,1999,2007,END,2006,9,1,1,5,6.25,0.694444444,"New York, I Love You, 2009","Broken English, 2007","Joey, Season 1-2; Desperate Housewives, Season 6; Sons of Anarchy Season 6-7"
Paula Malcomson,Deadwood,2004,2006,END,2006,9,0,3,5,5.75,0.638888889,,"The Hunger Games, 2012; The Hinger Games: Catching Fire, 2013; The Hunger Games: Mockingjay - Part 1, 2014","John From Cincinatti, Season 1; Sons of Anarchy, Season 3; Caprica, Season 1; Ray Donovan, Season 1-2;"
Leon Rippy,Deadwood,2004,2006,END,2006,9,0,2,5,5.5,0.611111111,,"Gridiron Gang, 2006; The Lone Ranger, 2013","Saving Grace, Season 1-3; Alcatraz, Season 1; "
Kim Dickens,Deadwood,2004,2006,END,2006,9,0,3,5,5.75,0.638888889,,"Thank You For Smoking, 2006; The Blind Side, 2009; Gone Girl, 2014","12 Miles of Bad Road, Season 1; Treme, Season 1-4"
Bradley Whitford,The West Wing,1999,2006,END,2006,9,1,2,4,5.5,0.611111111,"The Cabin In The Woods, 2012","Saving Mr. Banks, 2013; Decoding Annie Parker, 2014","Studio 60 on the Sunset Strip, Season 1; The Good Guys, Season 1; Lauren, Season 2; Trophy Wife, Season 1"
Molly Parker,Deadwood,2004,2006,END,2006,9,1,3,4,5.75,0.638888889,"The Playroom, 2013","The Wicker Man, 2006; Hollywoodland, 2006; That's What I Am, 2011","Swingtown, Season 1; The Firm, Season 1; House of Cards, Season 2-3"
William Sanderson,Deadwood,2004,2006,END,2006,9,0,0,4,4,0.444444444,,,"Bar Karma, Season 1; True Blood, Season 1-3"
Sean Bridgers,Deadwood,2004,2006,END,2006,9,0,2,3,3.5,0.388888889,,"Jug Face, 2013; The Best of Me, 2014","12 Miles of Bad Road, Season 1; Rectify Season 1-2"
Richard Schiff,The West Wing,1999,2006,END,2006,9,2,7,2,5.75,0.638888889,"Knife Fight, 2013; Decoding Annie Parker, 2014","The Martian Child, 2007; Imagine That, 2009; Johnny English Reborn, 2011; Man of Steel, 2013; Kill the Messenger, 2014; Before I Disappear, 2014; The Gambler, 2014","Past Life, Season 1; Murder in the First, Season 1"
Ian McShane,Deadwood,2004,2006,END,2006,9,1,13,2,6.25,0.694444444,"Pirates of the Carribean: On Stranger Tides, 2011","We Are Marshall, 2006; Shrek the Third, 2007; Hot Rod, 2007; The Seeker: The Dark is Rising, 2007; Kung Fu Panda, 2008; Death Race, 2008; Coraline, 2009; Case 39, 2010; Snow White and the Huntsman, 2012; Jack the Giant Slayer, 2013; Cuban Fury, 2014; Hercules, 2014; John Wick, 2014;","Kings, Season 1; The Pillars of the Earth, Season 1"
John Hawkes,Deadwood,2004,2006,END,2006,9,6,7,2,9.75,1.083333333,"Earthwork, 2011; The Sessions, 2012; The Playroom, 2013; The Pardon, 2013; Life of Crime, 2014; Low Down, 2014","Miami Vice, 2006; American Gangster, 2007; Winter's Bone, 2010; Higher Ground, 2011; Contagion, 2011; Martha Marcy May Marlene, 2011; Lincoln, 2012; ","Eastbound & Down, Season 1&4"
Robin Weigert,Deadwood,2004,2006,END,2006,9,1,3,2,3.75,0.416666667,"Concussion, 2013","Synechdoche, New York, 2008; My One And Only, 2009; The Sessions, 2012","Life, Season 1; Sons of Anarchy, Season 6; "
Jim Beaver,Deadwood,2004,2006,END,2006,9,0,0,2,2,0.222222222,,,"John from Cincinnati, Season 1; Harper's Island, Season 1; "
Powers Boothe,Deadwood,2004,2006,END,2006,9,0,4,2,3,0.333333333,,"The Final Season, 2007; MacGruber, 2010; The Avengers, 2012; Sin City: A Dame to Kill For, 2014","24, Season 6; Nashville, Season 1"
Titus Welliver,Deadwood,2004,2006,END,2006,9,1,6,2,4.5,0.5,"Poker Night, 2014","Gone Baby Gone, 2007; The Town, 2010; Man on a Ledge, 2012; Argo, 2012; Promised Land, 2012; Transformers: Age of Extinction, 2014","Sons of Anarchy, Season 3; Bosch, Season 1"
Keone Young,Deadwood,2004,2006,END,2006,9,0,0,2,2,0.222222222,,,"American Dragon Jake Long, Season 1-2"
Janel Moloney,The West Wing,1999,2006,END,2006,9,0,1,1,1.25,0.138888889,,"Concussion, 2013","Brotherhood, Season 2"
Melissa Fitzgerald,The West Wing,1999,2006,END,2006,9,0,0,1,1,0.111111111,,,"Chasing the Hill, Season 1"
W. Earl Brown,Deadwood,2004,2006,END,2006,9,0,6,1,2.5,0.277777778,,"Bloodworth, 2011; The Sessions, 2012; The Lone Ranger, 2013; Draft Day, 2014; Beneath the Harvest Sky, 2014; Wild, 2014","American Crime, Season 1"
John Spencer,The West Wing,1999,2006,END,2006,9,0,0,0,0,0,,,
Martin Sheen,The West Wing,1999,2006,END,2006,9,2,9,0,4.25,0.472222222,"The Way, 2011; Stella Days, 2012","The Departed, 2006; Bobby, 2006; Talk to Me, 2007; Imagine That, 2009; The Double, 2011; Seeking a Friend for the End of the World, 2012; The Amazing Spider-Man, 2012; The Amazing Spider-Man 2, 2014; Selma, 2014",
NiCole Robinson,The West Wing,1999,2006,END,2006,9,0,0,0,0,0,,,
Brad Dourif,Deadwood,2004,2006,END,2006,9,1,5,0,2.25,0.25,"Chain Letter, 2010","Halloween, 2007; Haloween 2, 2009; Priest, 2011; Fading of the Cross, 2011; Catch .44, 2011",
Bree Seanna Wall,Deadwood,2004,2006,END,2006,9,0,0,0,0,0,,,
Jeffrey Jones,Deadwood,2004,2006,END,2006,9,1,0,0,1,0.111111111,"Who's Your Caddy?, 2007",,
Peter Jason,Deadwood,2004,2006,END,2006,9,0,1,0,0.25,0.027777778,,"The Secret World of Arietty, 2012",
Larry Cedar,Deadwood,2004,2006,END,2006,9,0,2,0,0.5,0.055555556,,"The Ant Bully, 2006; Atlas Shrugged: Who Is John Galt, 2014",
Geri Jewell,Deadwood,2004,2006,END,2006,9,0,0,0,0,0,,,
Ralph Richeson,Deadwood,2004,2006,END,2006,9,0,0,0,0,0,,,
Edie Falco,The Sopranos,1999,2007,END,2007,8,0,0,7,7,0.875,,,"Nurse Jackie, Season 1-7"
Lorraine Bracco,The Sopranos,1999,2007,END,2007,8,0,0,6,6,0.75,,,"Rizzoli & Isles, Season 1-5"
Mark Valley,Boston Legal,2004,2008,END,2007,8,0,1,6,6.25,0.78125,,"Zero Dark Thirty, 2012","Fringe, Season 1; Human Target, Season 1-2; Harry's Law, Season 2; Body of Proof, Season 2; Crisis, Season 1;"
Steve Schirripa,The Sopranos,1999,2007,END,2007,8,0,1,5,5.25,0.65625,,"Planes: Fire and Rescue, 2014",The Secret Life of the American Teenager Season 1-5
Michael Imperioli,The Sopranos,1999,2007,END,2007,8,0,6,3,4.5,0.5625,,"The Lovely Bones, 2009; Stuck between stations, 2011; The Call, 2013; Oldboy, 2013; Catinflas, 2014; The Scribbler, 2014","Life on Mars, Season 1; Detroit 1-8-7, Season 1; Californication, Season 7"
Steven Van Zandt,The Sopranos,1999,2007,END,2007,8,0,0,3,3,0.375,,,"Lillyhammer, Season 1-3"
Jamie-Lynn Sigler,The Sopranos,1999,2007,END,2007,8,2,0,2,4,0.5,"I Do, 2013; Jewtopia, 2013",,"Entourage, Season 6; Guys with Kids, Season 1"
Dominic Chianese,The Sopranos,1999,2007,END,2007,8,0,0,1,1,0.125,,,"Damages, Season 3; "
James Gandolfini,The Sopranos,1999,2007,END,2007,8,4,7,0,5.75,0.71875,"Welcome to the Rileys, 2010; Down the Shore, 2013; Enough Said, 2013; The Drop, 2014","The Taking of Pelham 123, 2009; Where the Wild Things Are, 2009; Killing them Softly, 2012; Zero Dark Thirty, 2012; Not Fade Away, 2012; The Incredible Burt Wonderstone, 2013; Violet and Daisy, 2013",
Tony Sirico,The Sopranos,1999,2007,END,2007,8,0,0,0,0,0,,,
Robert Iler,The Sopranos,1999,2007,END,2007,8,0,0,0,0,0,,,
Aida Turturro,The Sopranos,1999,2007,END,2007,8,0,0,0,0,0,,,
Dan Grimaldi,The Sopranos,1999,2007,END,2007,8,0,1,0,0.25,0.03125,,"The Quitter, 2014",
Julie Bowen,Boston Legal,2004,2008,END,2008,7,1,2,6,7.5,1.071428571,"Knife Fight, 2013","Jumping the Broom, 2011; Planes: Fire and Rescue, 2014","Modern Family, Season 1-6"
Goran Visnjic,ER,1994,2009,END,2008,7,1,3,3,4.75,0.678571429,"k-11, 2013","Beginners, 2011; The Girl With The Dragon Tattoo, 2011; The Counselor, 2013","The Deep, Season 1; Red Widow, Season 1; Extant, Season 1"
James Spader,Boston Legal,2004,2008,END,2008,7,1,2,3,4.5,0.642857143,"The Avengers: Age of Ultron, 2015","Lincoln, 2012; The Homesman, 2014","The Office, Season 8; The Blacklist, Season 1-2"
Rene Auberjonois,Boston Legal,2004,2008,END,2008,7,0,1,3,3.25,0.464285714,,"Planes: Fire and Rescue, 2014","Pound Puppies, Season 1-3"
Gaius Charles,Friday Night Lights,2006,2011,END,2008,7,0,0,2,2,0.285714286,,,"Grey's Anatomy, Season 9-10"
Anthony Edwards,ER,1994,2009,END,2008,7,0,4,1,2,0.285714286,,"Motherhood, 2009; Flipped, 2010; Disney Planes, 2013; Big Sur, 2013","Zero Hour, season1"
William Shatner,Boston Legal,2004,2008,END,2008,7,1,0,1,2,0.285714286,"Escape from Planet Earth, 2013",,"$#*! My Dad Says, Season 1; "
Candice Bergen,Boston Legal,2004,2008,END,2008,7,0,3,0,0.75,0.107142857,,"Sex and the City, 2008; The Women, 2008; A Merry Friggin Christmas, 2014",
Noah Wyle,ER,1994,2009,END,2009,6,2,1,5,7.25,1.208333333,"Queen of the Lot, 2010; The World Made Straight, 2015",Snake and Mongoose,"Falling Skies, Season 1-5"
Maura Tierney,ER,1994,2009,END,2009,6,1,0,4,5,0.833333333,"Nature Calls, 2012",,"The Whole Truth, Season 1; Ruth & Erica, Season 1; The Affair, Season 1-2"
Laura Innes,ER,1994,2009,END,2009,6,0,0,2,2,0.333333333,,,"The Event, Season 1; Awake, Season1"
Carlos Bernard,24,2001,2010,END,2009,6,0,0,2,2,0.333333333,,,"Scoundrels, Season 1; Dallas, Season 1"
Minka Kelly,Friday Night Lights,2006,2011,END,2009,6,1,2,2,3.5,0.583333333,"The World Made Straight, 2015","The Roommate, 2011; Lee Daniels' The Butler, 2013","Charlie's Angels, Season 1; Almost Human, Season 1"
Yvette Freeman,ER,1994,2009,END,2009,6,0,0,1,1,0.166666667,,,"Orange is the new Black, Season 2"
Laura Cer—n,ER,1994,2009,END,2009,6,0,0,0,0,0,,,
Deezer D,ER,1994,2009,END,2009,6,0,0,0,0,0,,,
Eriq La Salle,ER,1994,2009,END,2009,6,0,0,0,0,0,,,
Emily Wagner,ER,1994,2009,END,2009,6,0,1,0,0.25,0.041666667,,"2 Days In New York, 2012",
Adrian Pasdar,Heroes,2006,2010,END,2010,5,0,0,6,6,1.2,,,"Iron Man, Season 1; Political Animals, Season 1; The Lying Game, Season 1-2; Marvel's Avengers Assemble, Season 1-2"
Scott Porter,Friday Night Lights,2006,2011,END,2010,5,3,1,6,9.25,1.85,"The Good Guy, 2010; 10 Years, 2012; The To Do List, 2013","Dear John, 2010","The Good Wife, Season 2; X-Men, Season 1; Heart of Dixie, Season 1-4"
Daniel Dae Kim,Lost,2004,2010,END,2010,5,0,1,5,5.25,1.05,,"Insurgent, 2015","Hawaii Five-O, Season 1-5"
Kiefer Sutherland,24,2001,2010,END,2010,5,1,4,4,6,1.2,"The Reluctant Fundamentalist, 2013","Marmaduke, 2010; Twelve, 2010; Melancholia, 2011; Pompeii, 2014","The Confession, Season 1; Touch, Season 1-2; 24: Live Another Day, Season 1"
Michael Emerson,Lost,2004,2010,END,2010,5,0,0,4,4,0.8,,,"Person of Interest, Season 1-4"
Harold Perrineau,Lost,2004,2010,END,2010,5,1,5,4,6.25,1.25,"The Best Man Holiday, 2013","Seeking Justice, 2012; Zero Dark Thirty, 2012; Snitch, 2013; Go for Sisters, 2013; Sabotage, 2014","Blade, Season 1;  Sons of Anarchy, Season 5; Wedding Band, Season 1; Constantine, Season 1"
Milo Ventimiglia,Heroes,2006,2010,END,2010,5,1,6,4,6.5,1.3,"The Divide, 2012","That's My Boy, 2012; Kiss of the Damned, 2013; Grown Ups 2, 2013; Killing Season, 2013; Wild Card, 2015; Walter, 2015","Wolverine, Season 1; Mob City, Season 1; Chosen, Season 1-2"
Masi Oka,Heroes,2006,2010,END,2010,5,0,0,4,4,0.8,,,"Hawaii Five-O, Season 2-5"
Sam Waterston,Law & Order,1990,2010,END,2010,5,0,0,3,3,0.6,,,"The Newsroom, Season 1-3"
Mary Lynn Rajskub,24,2001,2010,END,2010,5,0,2,3,3.5,0.7,,"Safety Not Guaranteed, 2012; The Kings of Summer, 2013","FCU: Fact Checker's Unit, Season 2; How to be a Gentleman, Season 1; 24: Live Another Day, Season 1"
Emilie de Ravin,Lost,2004,2010,END,2010,5,2,1,3,5.25,1.05,"Remember Me, 2010; The Chameleon, 2011","Legend of the Guardians: The Owls of Ga'Hoole 3D, 2010","Once Upon A Time, Season 2-4"
Henry Ian Cusick,Lost,2004,2010,END,2010,5,1,0,3,4,0.8,"The Girl on the Train, 2014",,"Scandal, Season 1; The 100, Season 1-2"
Dominic Monaghan,Lost,2004,2010,END,2010,5,1,0,3,4,0.8,"The Day, 2012",,"FlashForward, Season 1; Goodnight Burbank, Season 1; 100 Code, Season 1"
Hayden Panettiere,Heroes,2006,2010,END,2010,5,3,1,3,6.25,1.25,"Alpha and Omega 3D, 2010; Hoodwinked Too: Hood vs. Evil, 2011; Fireflies in the Garden, 2011","Scream 4, 2011","Nashville, Season 1-3"
Sendhil Ramamurthy,Heroes,2006,2010,END,2010,5,1,0,3,4,0.8,"It's A Wonderful Afterlife, 2010",,"Covert Affairs, Season 1-2; Beauty and the Beast, Season 2"
Julie Benz,Dexter,2006,2013,END,2010,5,1,0,3,4,0.8,"Answers to Nothing, 2011",,"No Ordinary Family, Season 1; Defiance, Season 1-2; "
Jorge Garcia,Lost,2004,2010,END,2010,5,1,0,2,3,0.6,"The Wedding Ringer, 2015",,"Alcatraz, Season 1; Hawaii Five-O, Season 5"
Naveen Andrews,Lost,2004,2010,END,2010,5,0,1,2,2.25,0.45,,"Diana, 2013","Sinbad, Season 1; Once Upon A Time In Wonderland, Season 1"
Yunjin Kim,Lost,2004,2010,END,2010,5,0,0,2,2,0.4,,,"Mistresses, Season 1-2"
Terry O'Quinn,Lost,2004,2010,END,2010,5,0,0,2,2,0.4,,,"666 Park Ave, Season 1; Gang Related, Season 1"
Greg Grunberg,Heroes,2006,2010,END,2010,5,1,1,2,3.25,0.65,"Big Ass Spider, 2013","Let's Kill Ward's Wide, 2015","Love Bites, Season 1; The Client List, Season 2; "
Zachary Quinto,Heroes,2006,2010,END,2010,5,2,2,2,4.5,0.9,"Margin Call, 2011; Star Trek Into Darkness, 2013","What's Your Number, 2011; We'll Never Have Paris, 2015","American Horror Story, Season 2; The Slap, Season 1"
Tate Donovan,Damages,2007,2012,END,2010,5,0,1,2,2.25,0.45,,"Argo, 2012","Hostages, Season 1; 24: Live Another Day, Season 1"
Josh Holloway,Lost,2004,2010,END,2010,5,3,1,1,4.25,0.85,"Stay Cool, 2011; Mission:Impossible - Ghost Protocol, 2011; Battle of the Year, 2013","Sabotage, 2014","Intelligence, Season 1"
Jack Coleman,Heroes,2006,2010,END,2010,5,0,0,1,1,0.2,,,"Burn Notice, Season 7; "
Ali Larter,Heroes,2006,2010,END,2010,5,1,1,1,2.25,0.45,"Lovesick, 2015",Resident Evil: Afterlife 3D,"Legends, Season 1"
Ashley Crow,Heroes,2006,2010,END,2010,5,0,0,1,1,0.2,,,"The Secret Circle, Season 1"
Shawn Doyle,Big Love,2006,2011,End,2010,5,1,0,1,2,0.4,"The Returned, 2014",,"Endgame, Season 1; "
S. Epatha Merkerson,Law & Order,1990,2010,END,2010,5,1,2,0,1.5,0.3,"Peeples, 2013","Mother and Child, 2010; Lincoln, 2012",
Matthew Fox,Lost,2004,2010,END,2010,5,1,2,0,1.5,0.3,"Emperor, 2013","Alex Cross, 2012; World War Z, 2013",
Evangeline Lilly,Lost,2004,2010,END,2010,5,0,4,0,1,0.2,,"Real Steel, 2011; The Hobbit: The Desolation of Smaug, 2013; The Hobbit: The Battle of the Five Armies, 2014; Ant-Man, 2015",
James Kyson,Heroes,2006,2010,END,2010,5,0,0,0,0,0,,,
Cristine Rose,Heroes,2006,2010,END,2010,5,0,0,0,0,0,,,
Melora Walters,Big Love,2006,2011,End,2010,5,1,3,0,1.75,0.35,"Underdogs, 2013","Love Ranch, 2010; I Melt with You, 2011; Short Term 12, 2013",
Harry Dean Stanton,Big Love,2006,2011,End,2010,5,0,3,0,0.75,0.15,,"Rango, 2011; The Avengers, 2012; This Must Be The Place, 2012",
Ginnifer Goodwin,Big Love,2006,2011,End,2011,4,1,1,5,6.25,1.5625,"Something Borrowed, 2011","Take me Home tonight, 2011","Electric City, Season 1; Once Upon A Time, Season 1-4"
Chloë Sevigny,Big Love,2006,2011,End,2011,4,1,2,4,5.5,1.375,"The Wait, 2014","Mr. Nice, 2011; Little Accidents, 2015","Hit & Miss, Season 1; Portlandia, Season 3; Those Who Kill, Season 1; Bloodline, Season 1"
Matt Ross,Big Love,2006,2011,End,2011,4,0,0,4,4,1,,,"Magic City, Season 1-2; Silicon Valley, Season 1-2"
Connie Britton,Friday Night Lights,2006,2011,END,2011,4,3,1,4,7.25,1.8125,"The Fitzgerald Family Christmas, 2012; Angels Sing, 2013; This Is Where I Leave You, 2014","The To Do List, 2013","American Horror Story, Season 1; Nashville, Season 1-3"
Jeanne Tripplehorn,Big Love,2006,2011,End,2011,4,2,0,3,5,1.25,"Morning, 2013; A Perfect Man, 2013",,"Electric City, Season 1; Criminal Minds Season 8-9"
Aimee Teegarden,Friday Night Lights,2006,2011,END,2011,4,2,2,3,5.5,1.375,"Prom, 2011; Beneath the Darkness, 2012","Scream 4, 2011; Love and Honor, 2013","Aim High, Season 1-2; Star-Crossed, Season 1"
Louanne Stephens,Friday Night Lights,2006,2011,END,2011,4,0,0,3,3,0.75,,,"Longmire, Season 1-3"
Lisa Edelstein,House,2004,2012,END,2011,4,0,0,2,2,0.5,,,"The Legend of Korra, Season 2; Girlfriend's Guide to Divorce, Season 1"
Joel McKinnon Miller,Big Love,2006,2011,End,2011,4,0,2,2,2.5,0.625,,"Little Birds, 2012; Rushlights, 2013","Brooklyn Nine-Nine, Season 1-2"
Jesse Plemons,Friday Night Lights,2006,2011,END,2011,4,0,3,2,2.75,0.6875,,"Paul, 2011; Meeting Spencer, 2011; Battleship, 2012","Bent, Season 1; Breaking Bad, Season 5"
Adrianne Palicki,Friday Night Lights,2006,2011,END,2011,4,3,3,2,5.75,1.4375,"Red Dawn, 2012; GI Joe: Retaliation, 2012; Dr. Cabbie, 2014","Elektra Luxx, 2011; Coffee Town, 2013; John Wick, 2014","About a Boy, Season 1;  Agents of S.H.E.I.L.D., Season 2"
Bill Paxton,Big Love,2006,2011,End,2011,4,3,5,1,5.25,1.3125,"Shanghai Calling, 2012; The Colony, 2013; Red Wing, 2013","Haywire, 2012; 2 Guns, 2013; Million Dollar Arm, 2014; Edge of Tomorrow, 2014; Nightcrawler, 2014","Hatfields & McCoys, Season 1;"
