StartDate,EndDate,Which of the following best describes your current relationship status?,"How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,Household Income,Education,Location (Census Region)
7/9/14 23:38,7/9/14 23:42,Married,16-20 years,A few times per week,Separate bedroom,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,We have different temperature preferences for the room,,,,,,Other (please specify),Within 11-15 years of our relationship,Strongly agree,Strongly agree,Somewhat agree,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 23:38,7/9/14 23:41,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Other (please specify),fire service,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
7/9/14 23:35,7/9/14 23:37,In a domestic partnership or civil union,1-5 years,A few times per week,Other (please specify),"We alternate, one in main bed, one on couch",Other (please specify),"We alternate, one in main bed, one on couch",One of us snores,,One of us is sick,We are no longer physically intimate,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other (please specify),Aviation customer service,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
7/9/14 23:35,7/9/14 23:42,In a domestic partnership or civil union,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Installation, Maintenance, and Repair Occupations",,Male,30-44,,Bachelor degree,Mountain
7/9/14 23:33,7/9/14 23:33,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 23:32,7/9/14 23:33,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 23:28,7/9/14 23:30,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,"$25,000 - $49,999",High school degree,East South Central
7/9/14 23:26,7/9/14 23:26,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 23:24,7/9/14 23:25,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Office and Administrative Support Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
7/9/14 23:24,7/9/14 23:25,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),n/a,Male,18-29,,,Mountain
7/9/14 23:20,7/9/14 23:22,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired Military,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 23:18,7/9/14 23:19,In a domestic partnership or civil union,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic
7/9/14 23:14,7/9/14 23:19,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
7/9/14 23:17,7/9/14 23:18,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic
7/9/14 23:17,7/9/14 23:17,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
7/9/14 23:16,7/9/14 23:18,Married,1-5 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,One of us needs to sleep with a child,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 23:15,7/9/14 23:18,Married,11-15 years,A few times per month,Separate bedroom,,Separate bedroom,,,,,,,,,,One of us needs to sleep with a child,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
7/9/14 23:12,7/9/14 23:13,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Legal Occupations,,Male,18-29,"$100,000 - $149,999",Graduate degree,Pacific
7/9/14 23:12,7/9/14 23:13,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Construction and Extraction Occupations,,Male,30-44,,Bachelor degree,New England
7/9/14 23:08,7/9/14 23:11,Married,16-20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,,Bachelor degree,Mountain
7/9/14 23:01,7/9/14 23:03,"Single, but cohabiting with a significant other",6-10 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Other (please specify),Data Entry for a Marketing Company,Male,30-44,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 22:59,7/9/14 23:01,Married,16-20 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,Other (please specify),Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
7/9/14 22:58,7/9/14 23:00,Married,11-15 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,Night working/very different sleeping times,,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Transportation and Materials Moving Occupations,,Male,30-44,,Bachelor degree,South Atlantic
7/9/14 22:58,7/9/14 23:01,Married,6-10 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,,Other (please specify),Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Some college or Associate degree,New England
7/9/14 22:55,7/9/14 22:56,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Building and Grounds Cleaning and Maintenance Occupations,,Male,30-44,"$25,000 - $49,999",High school degree,Middle Atlantic
7/9/14 22:53,7/9/14 22:55,Married,11-15 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 22:53,7/9/14 22:53,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
7/9/14 22:53,7/9/14 22:56,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
7/9/14 22:47,7/9/14 22:51,Married,11-15 years,Once a month or less,Other (please specify),kids bed,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 11-15 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Computer and Mathematical Occupations,,Male,30-44,"$150,000+",Graduate degree,Pacific
7/9/14 22:48,7/9/14 22:49,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,,Bachelor degree,Middle Atlantic
7/9/14 22:33,7/9/14 22:35,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Separate bedroom,,Separate bedroom,,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Somewhat agree,Strongly agree,Strongly disagree,Sales and Related Occupations,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
7/9/14 22:32,7/9/14 22:35,Married,More than 20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",,Male,30-44,,Graduate degree,West North Central
7/9/14 22:28,7/9/14 22:29,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,,,,,
7/9/14 22:27,7/9/14 22:28,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,,Bachelor degree,Pacific
7/9/14 22:25,7/9/14 22:27,Married,11-15 years,Once a year or less,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,Night working/very different sleeping times,,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat disagree,Transportation and Materials Moving Occupations,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central
7/9/14 22:25,7/9/14 22:25,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,18-29,"$50,000 - $99,999",Bachelor degree,New England
7/9/14 22:24,7/9/14 22:30,In a domestic partnership or civil union,11-15 years,A few times per week,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,Night working/very different sleeping times,Other (please specify),Within 6-10 years of our relationship,Strongly agree,Somewhat agree,Somewhat agree,Other (please specify),Property Management; Desk Clerk,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
7/9/14 22:19,7/9/14 22:25,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
7/9/14 22:23,7/9/14 22:27,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,Not enough space,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Construction and Extraction Occupations,,Male,18-29,,High school degree,West South Central
7/9/14 22:22,7/9/14 22:22,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Food Preparation and Serving Related Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
7/9/14 22:20,7/9/14 22:23,Married,16-20 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,We have different temperature preferences for the room,We've had an argument or fight,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly agree,Neither agree nor disagree,Somewhat disagree,Other (please specify),All of the above: Homemaker,Male,30-44,"$150,000+",Some college or Associate degree,Pacific
7/9/14 22:19,7/9/14 22:20,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,18-29,,Bachelor degree,Middle Atlantic
7/9/14 22:16,7/9/14 22:17,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain
7/9/14 22:11,7/9/14 22:12,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,"$25,000 - $49,999",Bachelor degree,Middle Atlantic
7/9/14 22:11,7/9/14 22:12,Widowed,1-5 years,Never,,,,,,,,,,,,,,,,,,,,"Farming, Fishing, and Forestry Occupations",,,,,,
7/9/14 22:10,7/9/14 22:11,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Healthcare Support Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
7/9/14 22:09,7/9/14 22:11,Married,6-10 years,Once a month or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,30-44,,Some college or Associate degree,Mountain
7/9/14 22:07,7/9/14 22:10,"Single, but cohabiting with a significant other",Less than 1 year,Every night,"Shared bedroom, different bed",,"Shared bedroom, different bed",,One of us snores,,,,,,Not enough space,,,,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,"Arts, Design, Entertainment, Sports, and Media Occupations",,Male,18-29,,High school degree,East North Central
7/9/14 22:07,7/9/14 22:08,Married,6-10 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,,,,,,,,,,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Male,30-44,"$150,000+",Graduate degree,Pacific
7/9/14 22:06,7/9/14 22:07,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Architecture and Engineering Occupations,,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central
7/9/14 22:01,7/9/14 22:04,Married,6-10 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Computer and Mathematical Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
7/9/14 22:01,7/9/14 22:03,"Single, but cohabiting with a significant other",1-5 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central
7/9/14 21:59,7/9/14 22:02,Married,11-15 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,On the couch/chair,,One of us snores,,,,,,,,,,,Within 6-10 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
7/9/14 21:53,7/9/14 21:54,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Sales and Related Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,Middle Atlantic
7/9/14 21:53,7/9/14 21:53,Married,11-15 years,Every night,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 21:52,7/9/14 22:03,Married,6-10 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Life, Physical, and Social Science Occupations",,Male,18-29,"$50,000 - $99,999",Graduate degree,Mountain
7/9/14 21:51,7/9/14 21:54,Married,16-20 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Architecture and Engineering Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 21:43,7/9/14 21:44,Married,6-10 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,30-44,,Bachelor degree,Pacific
7/9/14 21:40,7/9/14 21:40,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Retired,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central
7/9/14 21:35,7/9/14 21:36,Married,More than 20 years,Every night,Separate bedroom,,Separate bedroom,,One of us snores,,,,,,,,,,,After 20 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Sales and Related Occupations,,Male,45-60,,Graduate degree,East North Central
7/9/14 21:34,7/9/14 21:35,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,Male,45-60,,High school degree,West South Central
7/9/14 21:32,7/9/14 21:34,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Business and Financial Operations Occupations,,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific
7/9/14 21:32,7/9/14 21:34,Married,16-20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,One of us is sick,,,We've had an argument or fight,,,,Night working/very different sleeping times,,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Male,45-60,"$50,000 - $99,999",Graduate degree,New England
7/9/14 21:32,7/9/14 21:33,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,30-44,,Bachelor degree,Pacific
7/9/14 21:29,7/9/14 21:34,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),military,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
7/9/14 21:28,7/9/14 21:30,Married,1-5 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Business and Financial Operations Occupations,,Male,18-29,"$150,000+",Graduate degree,Middle Atlantic
7/9/14 21:27,7/9/14 21:27,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
7/9/14 21:26,7/9/14 21:30,Married,11-15 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,One of us makes frequent bathroom trips in the night,,We are no longer physically intimate,,,,Do not want to share the covers,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Building and Grounds Cleaning and Maintenance Occupations,,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central
7/9/14 21:26,7/9/14 21:29,Married,11-15 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 21:26,7/9/14 21:26,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,,,,,
7/9/14 21:26,7/9/14 21:26,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,,,,,
7/9/14 21:26,7/9/14 21:28,Married,6-10 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Business and Financial Operations Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
7/9/14 21:25,7/9/14 21:27,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England
7/9/14 21:24,7/9/14 21:26,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),Energy (Natural Gas Storage),,,,,
7/9/14 21:24,7/9/14 21:28,Married,1-5 years,Once a year or less,"Shared bedroom, different bed",,"Shared bedroom, different bed",,,,One of us is sick,,,We've had an argument or fight,,,One of us needs to sleep with a child,Night working/very different sleeping times,,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Computer and Mathematical Occupations,,Male,18-29,"$150,000+",Bachelor degree,East North Central
7/9/14 21:24,7/9/14 21:24,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Management Occupations,,,,,,
7/9/14 21:19,7/9/14 21:20,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Education, Training, and Library Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
7/9/14 21:19,7/9/14 21:19,"Single, but cohabiting with a significant other",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 21:17,7/9/14 21:17,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,Computer and Mathematical Occupations,,Male,45-60,"$150,000+",Bachelor degree,South Atlantic
7/9/14 21:17,7/9/14 21:17,Married,More than 20 years,Once a year or less,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/14 21:16,7/9/14 21:18,Married,More than 20 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Within 11-15 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Sales and Related Occupations,,Male,45-60,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 20:24,7/9/14 21:18,Married,1-5 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,One of us is sick,,,,,,,,,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat agree,Legal Occupations,,Male,18-29,"$150,000+",Graduate degree,West South Central
7/9/14 21:15,7/9/14 21:16,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central
7/9/14 18:23,7/9/14 21:18,In a domestic partnership or civil union,1-5 years,Every night,Other (please specify),I live at home,Other (please specify),He has his own house,,,,,,,,,,,Other (please specify),Immediately/ We've always slept in separate beds,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Management Occupations,,Female,18-29,,Bachelor degree,South Atlantic
7/9/14 21:12,7/9/14 21:14,Married,1-5 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,Male,45-60,"$150,000+",Some college or Associate degree,South Atlantic
