RespondentID,Do you typically check a daily weather report?,How do you typically check the weather?,A specific website or app (please provide the answer),"If you had a smartwatch (like the soon to be released Apple Watch), how likely or unlikely would you be to check the weather on that device?",Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
3886256409,No,The default weather app on your phone,-,Very likely,18 - 29,Male,"$25,000 to $49,999",South Atlantic
3886226091,Yes,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Male,"$25,000 to $49,999",South Atlantic
3886201383,Yes,Local TV News,-,Very likely,30 - 44,Male,"$150,000 to $174,999",West South Central
3886197152,Yes,The Weather Channel,-,Very unlikely,30 - 44,Male,Prefer not to answer,Mountain
3886132282,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$25,000 to $49,999",East North Central
3886121810,No,-,-,-,-,-,-,-
3886114640,Yes,A specific website or app (please provide the answer),Weather.com,Very unlikely,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
3886112493,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,"$10,000 to $24,999",East North Central
3886110900,Yes,Local TV News,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",New England
3886102001,Yes,The Weather Channel,-,Very likely,45 - 59,Female,"$200,000 and up",Mountain
3886098922,No,Newspaper,-,Very unlikely,18 - 29,Male,"$0 to $9,999",West North Central
3886095863,Yes,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$10,000 to $24,999",East North Central
3886067670,Yes,Radio weather,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
3886043003,No,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$0 to $9,999",West North Central
3886040050,Yes,Internet search,-,Very likely,18 - 29,Male,"$0 to $9,999",East South Central
3886031017,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$50,000 to $74,999",South Atlantic
3886019381,No,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",Pacific
3886018765,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,"$50,000 to $74,999",West South Central
3886007951,Yes,A specific website or app (please provide the answer),Weatherbug,Very likely,30 - 44,Male,"$25,000 to $49,999",Mountain
3885984891,Yes,The default weather app on your phone,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Pacific
3885983629,Yes,The Weather Channel,-,Very likely,60+,Male,Prefer not to answer,South Atlantic
3885983248,Yes,The Weather Channel,-,Very likely,30 - 44,Male,Prefer not to answer,Middle Atlantic
3885969840,Yes,Internet search,-,Very likely,30 - 44,Male,"$200,000 and up",South Atlantic
3885965613,Yes,Local TV News,-,Somewhat likely,60+,Male,"$150,000 to $174,999",New England
3885944544,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
3885928568,Yes,Local TV News,-,Very likely,18 - 29,Male,"$100,000 to $124,999",New England
3885927684,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",South Atlantic
3885872237,No,The Weather Channel,-,Somewhat likely,30 - 44,Male,"$10,000 to $24,999",South Atlantic
3885869392,Yes,A specific website or app (please provide the answer),weather channel app,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",West South Central
3885838101,Yes,Internet search,-,Very likely,18 - 29,Male,"$10,000 to $24,999",Pacific
3885835130,Yes,Internet search,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",South Atlantic
3885824482,Yes,The Weather Channel,-,Very unlikely,60+,Male,"$100,000 to $124,999",West South Central
3885821034,Yes,The default weather app on your phone,-,Very likely,60+,Male,Prefer not to answer,East North Central
3885802164,No,Radio weather,-,Very unlikely,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
3885791607,No,Local TV News,-,Somewhat unlikely,30 - 44,Male,"$200,000 and up",Middle Atlantic
3885773515,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$10,000 to $24,999",Pacific
3885691247,Yes,Internet search,-,Somewhat unlikely,30 - 44,Male,Prefer not to answer,West South Central
3885688258,Yes,A specific website or app (please provide the answer),Yahoo weather iphone,Very likely,18 - 29,Male,"$25,000 to $49,999",West South Central
3885687708,Yes,Internet search,-,Very unlikely,30 - 44,Male,"$175,000 to $199,999",East North Central
3885683872,Yes,Local TV News,-,Somewhat likely,30 - 44,Male,Prefer not to answer,Middle Atlantic
3885652370,Yes,Internet search,-,Somewhat likely,30 - 44,Male,"$50,000 to $74,999",West North Central
3885637949,No,Internet search,-,Very likely,18 - 29,Male,"$10,000 to $24,999",-
3885625628,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$75,000 to $99,999",West North Central
3885602270,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Male,"$125,000 to $149,999",East North Central
3885570360,No,Radio weather,-,Somewhat unlikely,30 - 44,Male,"$125,000 to $149,999",South Atlantic
3885569498,Yes,A specific website or app (please provide the answer),Weather Puppy,Somewhat likely,30 - 44,Male,"$75,000 to $99,999",South Atlantic
3885540601,Yes,A specific website or app (please provide the answer),AccuWeather,Very likely,18 - 29,Male,"$0 to $9,999",South Atlantic
3885539632,Yes,The Weather Channel,-,Very unlikely,18 - 29,Male,"$10,000 to $24,999",East North Central
3885525146,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,"$200,000 and up",Pacific
3885512170,Yes,Newsletter,-,Somewhat unlikely,30 - 44,Male,"$25,000 to $49,999",Pacific
3885497220,Yes,A specific website or app (please provide the answer),Apple weater,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",Pacific
3885496201,Yes,Radio weather,-,Very unlikely,30 - 44,Male,"$0 to $9,999",-
3885404319,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$25,000 to $49,999",West South Central
3885304775,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
3885296722,Yes,A specific website or app (please provide the answer),The Weather Channel app,Very likely,30 - 44,Male,"$10,000 to $24,999",Middle Atlantic
3885275206,Yes,-,-,-,-,-,-,-
3885247252,No,Local TV News,-,Somewhat likely,30 - 44,Male,"$150,000 to $174,999",East North Central
3885195077,Yes,A specific website or app (please provide the answer),"google ""weather""",Very likely,18 - 29,Male,"$0 to $9,999",South Atlantic
3885174420,Yes,Internet search,-,Somewhat likely,60+,Male,"$175,000 to $199,999",East North Central
3885164782,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$125,000 to $149,999",Middle Atlantic
3885139533,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$200,000 and up",New England
3885123066,Yes,The Weather Channel,-,Very unlikely,18 - 29,Male,Prefer not to answer,New England
3885040099,Yes,A specific website or app (please provide the answer),Weather Underground,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",West North Central
3885026185,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$75,000 to $99,999",Pacific
3884998535,Yes,A specific website or app (please provide the answer),Weather Timeline (android),Very unlikely,30 - 44,Male,"$125,000 to $149,999",Pacific
3884960044,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$100,000 to $124,999",South Atlantic
3884902653,No,The default weather app on your phone,-,Very likely,18 - 29,Male,"$25,000 to $49,999",Mountain
3884859930,Yes,Local TV News,-,Somewhat unlikely,30 - 44,Male,"$10,000 to $24,999",West South Central
3884813859,No,Internet search,-,Very unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3884790873,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,"$0 to $9,999",West North Central
3884694722,Yes,The Weather Channel,-,Very likely,18 - 29,Male,"$100,000 to $124,999",New England
3884500697,Yes,The Weather Channel,-,Very unlikely,18 - 29,Male,"$25,000 to $49,999",South Atlantic
3883994422,Yes,Radio weather,-,Very likely,18 - 29,Male,"$0 to $9,999",East South Central
3883947693,No,Internet search,-,Somewhat likely,18 - 29,Male,Prefer not to answer,Pacific
3883852529,No,Radio weather,-,Somewhat unlikely,18 - 29,Male,"$75,000 to $99,999",Pacific
3883822504,Yes,A specific website or app (please provide the answer),Weatherbug,Somewhat likely,18 - 29,Male,"$0 to $9,999",West South Central
3883792972,Yes,The Weather Channel,-,Very unlikely,30 - 44,Male,Prefer not to answer,West South Central
3883744850,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",West South Central
3883706735,No,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Male,Prefer not to answer,Pacific
3883706220,Yes,Internet search,-,Somewhat likely,18 - 29,Male,Prefer not to answer,New England
3883591931,Yes,A specific website or app (please provide the answer),1 weather,Very likely,30 - 44,Male,"$150,000 to $174,999",South Atlantic
3883449927,No,Local TV News,-,Very unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3883423513,No,Internet search,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",Mountain
3883400954,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$200,000 and up",South Atlantic
3883396110,No,Newsletter,-,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",-
3883373140,Yes,Local TV News,-,Somewhat likely,30 - 44,Male,"$10,000 to $24,999",New England
3883347727,Yes,The default weather app on your phone,-,Somewhat unlikely,30 - 44,Male,"$100,000 to $124,999",New England
3883237358,No,The Weather Channel,-,Very unlikely,18 - 29,Male,"$50,000 to $74,999",Middle Atlantic
3883013307,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",South Atlantic
3882981067,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$50,000 to $74,999",Pacific
3882953969,Yes,The default weather app on your phone,-,Very unlikely,30 - 44,Male,"$75,000 to $99,999",Mountain
3882828486,Yes,Internet search,-,Very unlikely,30 - 44,Male,"$50,000 to $74,999",West South Central
3882734383,Yes,A specific website or app (please provide the answer),Weather Channel app,Very likely,30 - 44,Male,"$50,000 to $74,999",East North Central
3882036173,Yes,Internet search,-,Very likely,30 - 44,Male,"$100,000 to $124,999",Pacific
3882027944,Yes,A specific website or app (please provide the answer),"Weather Underground, also local tv news half the time.",Somewhat likely,30 - 44,Male,"$10,000 to $24,999",West North Central
3882024847,Yes,Internet search,-,Very likely,45 - 59,Male,"$125,000 to $149,999",Mountain
3881999864,Yes,A specific website or app (please provide the answer),weatherbug app,Very likely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3881965206,No,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",South Atlantic
3881590664,Yes,A specific website or app (please provide the answer),weather bug,Very unlikely,30 - 44,Male,"$75,000 to $99,999",East North Central
3881586024,Yes,Internet search,-,Very unlikely,45 - 59,Male,"$150,000 to $174,999",South Atlantic
3881268852,Yes,Internet search,-,Somewhat likely,18 - 29,Male,Prefer not to answer,-
3881207655,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3881152975,No,A specific website or app (please provide the answer),The Weather Channel app,Somewhat likely,45 - 59,Male,"$200,000 and up",Pacific
3881043805,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",South Atlantic
3880998411,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
3880901650,Yes,Internet search,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3880901309,Yes,The Weather Channel,-,Very unlikely,45 - 59,Male,"$10,000 to $24,999",Mountain
3880839674,Yes,Internet search,-,Somewhat likely,45 - 59,Male,"$200,000 and up",Pacific
3880831944,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$25,000 to $49,999",East North Central
3880760866,Yes,Newspaper,-,Very likely,45 - 59,Male,"$0 to $9,999",South Atlantic
3880684514,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
3880658899,Yes,A specific website or app (please provide the answer),FancyClock app on my phone and accuweather.com,Very likely,45 - 59,Male,"$125,000 to $149,999",Mountain
3880648847,Yes,Local TV News,-,Very unlikely,45 - 59,Male,"$0 to $9,999",East North Central
3880644828,Yes,Radio weather,-,Somewhat likely,18 - 29,Male,Prefer not to answer,Pacific
3880589507,Yes,A specific website or app (please provide the answer),GOES West Satalite,Very unlikely,45 - 59,Male,"$75,000 to $99,999",Pacific
3880580324,Yes,A specific website or app (please provide the answer),Intellicast / Storm,Very likely,45 - 59,Male,"$150,000 to $174,999",South Atlantic
3880574320,Yes,Local TV News,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3880465916,No,Internet search,-,Somewhat unlikely,30 - 44,Male,"$0 to $9,999",West North Central
3880464921,No,The Weather Channel,-,Somewhat likely,30 - 44,Male,"$75,000 to $99,999",South Atlantic
3880459984,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",West South Central
3880448211,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$175,000 to $199,999",Middle Atlantic
3880441785,Yes,A specific website or app (please provide the answer),ipod weather ,Very likely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3880438117,Yes,A specific website or app (please provide the answer),weatherbug,Somewhat unlikely,45 - 59,Male,"$100,000 to $124,999",East North Central
3880436782,Yes,Newspaper,-,Very unlikely,45 - 59,Male,"$200,000 and up",South Atlantic
3880427365,Yes,A specific website or app (please provide the answer),weatherbug.com,Very unlikely,45 - 59,Male,"$200,000 and up",New England
3880377127,No,Internet search,-,Somewhat likely,45 - 59,Male,"$125,000 to $149,999",Pacific
3880323654,Yes,Local TV News,-,Very unlikely,45 - 59,Male,"$125,000 to $149,999",West South Central
3880319089,No,A specific website or app (please provide the answer),iphone weather app,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",South Atlantic
3880303554,Yes,A specific website or app (please provide the answer),Weather Bug,Very likely,45 - 59,Male,"$150,000 to $174,999",East North Central
3880299725,Yes,A specific website or app (please provide the answer),Accuweather,Somewhat unlikely,45 - 59,Male,"$50,000 to $74,999",East North Central
3880256330,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3880230736,Yes,The Weather Channel,-,Very unlikely,45 - 59,Male,"$150,000 to $174,999",South Atlantic
3880219305,No,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3880210450,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3880208319,Yes,Internet search,-,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",West South Central
3880187634,Yes,Internet search,-,Very unlikely,45 - 59,Male,"$10,000 to $24,999",Pacific
3880162442,Yes,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,Prefer not to answer,Middle Atlantic
3880131987,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$150,000 to $174,999",Pacific
3880129691,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$125,000 to $149,999",South Atlantic
3880099657,Yes,Local TV News,-,Very unlikely,45 - 59,Male,Prefer not to answer,Mountain
3880086571,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$150,000 to $174,999",Pacific
3880033304,Yes,Local TV News,-,Very likely,18 - 29,Male,"$0 to $9,999",Middle Atlantic
3879970050,Yes,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,South Atlantic
3879946254,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3879934990,No,Local TV News,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",East North Central
3879902865,Yes,Radio weather,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
3879887212,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$175,000 to $199,999",Pacific
3879876964,No,Radio weather,-,Somewhat likely,18 - 29,Male,"$0 to $9,999",South Atlantic
3879874372,Yes,Local TV News,-,Very likely,45 - 59,Male,"$200,000 and up",West South Central
3879823141,Yes,The Weather Channel,-,Very unlikely,45 - 59,Male,"$200,000 and up",Pacific
3879815451,No,Newspaper,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
3879622928,Yes,The Weather Channel,-,Very unlikely,18 - 29,Male,"$100,000 to $124,999",West North Central
3879622165,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$10,000 to $24,999",Middle Atlantic
3879618163,Yes,A specific website or app (please provide the answer),weather channel app,Very likely,45 - 59,Male,"$25,000 to $49,999",East North Central
3879505742,No,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3879492127,Yes,Internet search,-,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",East South Central
3879466790,No,Newsletter,-,Very likely,18 - 29,Male,Prefer not to answer,-
3879405493,No,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$125,000 to $149,999",Pacific
3879399705,No,The Weather Channel,-,Somewhat likely,30 - 44,Male,"$50,000 to $74,999",Mountain
3879387300,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$200,000 and up",New England
3879361333,Yes,A specific website or app (please provide the answer),www.wunderground.com,Very likely,45 - 59,Male,"$25,000 to $49,999",West South Central
3879332676,Yes,A specific website or app (please provide the answer),The Weather Channel,Very likely,45 - 59,Male,"$75,000 to $99,999",East North Central
3879327814,Yes,A specific website or app (please provide the answer),noaa.gov,Somewhat likely,45 - 59,Male,Prefer not to answer,New England
3879326602,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3879325675,No,Newspaper,-,Very unlikely,18 - 29,Male,Prefer not to answer,-
3879323844,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3879315853,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",West North Central
3879274139,Yes,Local TV News,-,Somewhat likely,60+,Female,"$100,000 to $124,999",East North Central
3879266798,Yes,The Weather Channel,-,Very likely,60+,Female,"$75,000 to $99,999",East North Central
3879261981,Yes,The Weather Channel,-,Very likely,60+,Female,Prefer not to answer,South Atlantic
3879258283,Yes,Internet search,-,Very likely,60+,Female,"$50,000 to $74,999",New England
3879248890,Yes,A specific website or app (please provide the answer),1weather,Very likely,60+,Female,"$50,000 to $74,999",West North Central
3879245036,Yes,A specific website or app (please provide the answer),yahoo,Very likely,60+,Female,"$100,000 to $124,999",Pacific
3879210502,Yes,Internet search,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",West South Central
3879207640,Yes,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",South Atlantic
3879205854,Yes,The default weather app on your phone,-,Very unlikely,18 - 29,Male,"$100,000 to $124,999",New England
3879196296,Yes,Local TV News,-,Very likely,60+,Female,"$50,000 to $74,999",South Atlantic
3879194705,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$10,000 to $24,999",Mountain
3879189511,Yes,The default weather app on your phone,-,Very likely,30 - 44,Male,"$100,000 to $124,999",South Atlantic
3879186514,Yes,Local TV News,-,Very likely,60+,Female,Prefer not to answer,West South Central
3879159385,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$50,000 to $74,999",Mountain
3879157578,No,Local TV News,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",East North Central
3879152338,No,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$125,000 to $149,999",South Atlantic
3879139489,Yes,Newsletter,-,Very unlikely,60+,Female,"$75,000 to $99,999",West South Central
3879106766,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$0 to $9,999",Middle Atlantic
3879102520,Yes,Local TV News,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3879102450,Yes,The Weather Channel,-,Somewhat likely,60+,Female,"$75,000 to $99,999",East South Central
3879094933,Yes,Internet search,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3879090979,Yes,The default weather app on your phone,-,Somewhat likely,60+,Male,"$200,000 and up",New England
3879055766,Yes,A specific website or app (please provide the answer),Weather Bug App,Very unlikely,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
3879048742,Yes,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,Prefer not to answer,South Atlantic
3879043041,Yes,Local TV News,-,Somewhat unlikely,60+,Female,"$75,000 to $99,999",East North Central
3879024100,Yes,Radio weather,-,Very likely,60+,Male,"$100,000 to $124,999",West North Central
3879022427,Yes,A specific website or app (please provide the answer),Yo Window,Very unlikely,60+,Female,"$25,000 to $49,999",East North Central
3879018623,Yes,The Weather Channel,-,Somewhat likely,60+,Female,"$100,000 to $124,999",Middle Atlantic
3879014394,Yes,A specific website or app (please provide the answer),Weather bug,Somewhat unlikely,60+,Male,"$50,000 to $74,999",Middle Atlantic
3878997264,Yes,A specific website or app (please provide the answer),Dark Sky,Very likely,60+,Male,"$200,000 and up",Middle Atlantic
3878995654,Yes,Internet search,-,Very unlikely,45 - 59,Male,"$175,000 to $199,999",Middle Atlantic
3878993313,Yes,Local TV News,-,Very unlikely,60+,Female,"$100,000 to $124,999",West South Central
3878975679,Yes,Local TV News,-,Somewhat unlikely,60+,Female,"$10,000 to $24,999",South Atlantic
3878973380,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$75,000 to $99,999",East South Central
3878972273,Yes,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
3878971737,Yes,The Weather Channel,-,Very likely,60+,Female,"$50,000 to $74,999",New England
3878964663,Yes,Radio weather,-,Somewhat unlikely,60+,Female,"$75,000 to $99,999",Middle Atlantic
3878957212,No,Local TV News,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3878949789,Yes,A specific website or app (please provide the answer),Weatherbug,Somewhat likely,60+,Male,"$125,000 to $149,999",Middle Atlantic
3878945643,Yes,Local TV News,-,Somewhat likely,60+,Male,"$25,000 to $49,999",Middle Atlantic
3878940858,Yes,Local TV News,-,Somewhat unlikely,60+,Male,"$0 to $9,999",-
3878922314,Yes,The default weather app on your phone,-,Somewhat unlikely,45 - 59,Male,"$175,000 to $199,999",East North Central
3878908574,Yes,The Weather Channel,-,Very likely,45 - 59,Male,"$175,000 to $199,999",West North Central
3878851367,Yes,Internet search,-,Very likely,60+,Female,Prefer not to answer,East North Central
3878801345,Yes,Local TV News,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3878776250,Yes,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,South Atlantic
3878773688,Yes,The default weather app on your phone,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3878724412,Yes,Internet search,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",West South Central
3878675581,Yes,The default weather app on your phone,-,Very likely,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic
3878672825,Yes,A specific website or app (please provide the answer),Accuweather,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3878664404,Yes,Newsletter,-,Very likely,60+,Male,"$50,000 to $74,999",Pacific
3878664002,Yes,A specific website or app (please provide the answer),aol,Somewhat unlikely,60+,Male,"$25,000 to $49,999",East North Central
3878617605,No,Radio weather,-,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3878604937,No,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
3878604458,Yes,Local TV News,-,Somewhat likely,30 - 44,Female,"$0 to $9,999",East South Central
3878594142,No,Newspaper,-,Very unlikely,30 - 44,Female,"$10,000 to $24,999",-
3878581130,Yes,Local TV News,-,Somewhat likely,60+,Female,"$75,000 to $99,999",East North Central
3878580386,Yes,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878574698,Yes,A specific website or app (please provide the answer),NOAA and The Weather Channel,Very unlikely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878562127,No,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3878555115,Yes,A specific website or app (please provide the answer),weatherbug,Somewhat likely,30 - 44,Female,Prefer not to answer,Pacific
3878547877,No,Internet search,-,Somewhat unlikely,60+,Female,"$50,000 to $74,999",Pacific
3878539231,No,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878537531,No,The default weather app on your phone,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3878536105,Yes,A specific website or app (please provide the answer),Weather Kitty,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878534855,Yes,Newspaper,-,Very unlikely,60+,Female,"$100,000 to $124,999",Pacific
3878533095,Yes,The default weather app on your phone,-,Very likely,30 - 44,Female,"$0 to $9,999",West North Central
3878527607,No,The default weather app on your phone,-,Somewhat unlikely,60+,Female,"$50,000 to $74,999",Pacific
3878526543,Yes,A specific website or app (please provide the answer),"Internet, tv, radio, newspaper",Very likely,60+,Male,"$200,000 and up",Middle Atlantic
3878522121,Yes,The Weather Channel,-,Very unlikely,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
3878521585,No,A specific website or app (please provide the answer),App on Iphone,Somewhat unlikely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878520921,Yes,The default weather app on your phone,-,Very likely,60+,Female,"$175,000 to $199,999",Pacific
3878517202,Yes,Internet search,-,Somewhat likely,60+,Female,"$50,000 to $74,999",East North Central
3878516380,Yes,A specific website or app (please provide the answer),yr.no,Somewhat likely,30 - 44,Female,Prefer not to answer,-
3878513419,No,The default weather app on your phone,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3878510837,No,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878488034,Yes,The default weather app on your phone,-,Very likely,60+,Male,"$100,000 to $124,999",Pacific
