Block,ForwardAsset,ForwardQuantity,BackwardAsset,BackwardQuantity
431318,BUPEPE,2,XCP,0.2
431318,KEISERPEPE,2,XCP,0.14
431319,RAREPEPE,1,XCP,19
431319,RAREPEPE,1,XCP,20
431319,RAREPEPE,1,XCP,30
431320,PEPENATION,1,XCP,0.12
431325,PEPEBROS,5,XCP,2.75
431327,LUCKYPEPE,150,XCP,1.2
431335,RAREPEPE,1,XCP,30
431338,RAREPEPE,1,XCP,35
431413,GOXPEPE,100,XCP,30
431447,XCP,3.8,CHERPEPEFOIL,2
431452,PEPEBONGSPHP,1,XCP,0.025
431465,RAREPEPE,1,XCP,25
431467,TLCPEPE,3,XCP,0.75
431473,SHITCOINCARD,6,XCP,0.63
431473,SHITCOINCARD,312,XCP,34.32
431473,SHITCOINCARD,5,XCP,0.45
431477,GURUPEPE,5,XCP,1
431495,DASHPEPE,1,XCP,0.11
431496,DASHPEPE,1,XCP,0.11
431496,DASHPEPE,8,XCP,0.88
431497,CHERPEPEFOIL,1,XCP,3
431497,PEPEGUN,1,XCP,0.9
431497,PEPEVIAGRA,1,XCP,1
431497,PEPEBOY,50,XCP,2.5
431497,DASHPEPE,1,XCP,0.11
431499,DAOPEPEHACK,3,XCP,1.2
431516,PEPEBOY,2,XCP,0.1
431516,CHERPEPEFOIL,1,XCP,3
431516,PEPEBROS,3,XCP,1.8
431516,PEPEBOY,48,XCP,2.4
431519,DASHPEPE,2,XCP,5.8
431520,XCP,0.1,PEPEBOY,2
431522,PEPEGUN,1,XCP,0.91
431523,PEPEVIAGRA,1,XCP,1.1
431529,DARKPILLPEPE,1,XCP,1.95
431529,PEPEBROS,7,XCP,4.2
431530,PEPEBROS,9,XCP,6.3
431530,LUCKYPEPE,180,XCP,1.62
431530,PEPEBROS,1,XCP,0.7
431530,STILLPEPE,3,XCP,0.99
431530,PEPEBROS,10,XCP,6.5
431530,DAOPEPEHACK,3,XCP,1.2
431530,RAREPEPE,1,XCP,25
431531,HARDPEPEFORK,1,XCP,0.9
431533,RAREPEPE,1,XCP,24
431535,HARDPEPEFORK,2,XCP,1.8
431535,DASHPEPE,1,XCP,2.9
431542,DASHPEPE,1,XCP,3.9
431542,RAREPEPE,1,XCP,25
431542,HAIRPEPE,3,XCP,1.95
431543,PEPEKACHU,1,XCP,1
431544,ONLYONEPEPE,1,XCP,100
431544,DARKPILLPEPE,1,XCP,2.9
431544,DARKPILLPEPE,1,XCP,1.96
431544,HAIRPEPE,7,XCP,4.55
431545,DASHPEPE,1,XCP,4.7
431552,HAIRPEPE,3,XCP,1.92
431552,PEPEKACHU,1,XCP,1
431554,TRUMPRARE,1,XCP,5
431554,PEPEVIAGRA,1,XCP,1.2
431554,CHERPEPEFOIL,1,XCP,2.9
431554,HAIRPEPE,1,XCP,0.64
431557,HARDPEPEFORK,1,XCP,0.9
431557,HAIRPEPE,2,XCP,1.28
431557,GOXPEPE,1,XCP,0.3
431584,DASHPEPE,1,XCP,7.3
431585,DARKPILLPEPE,1,XCP,3.8
431587,CHERPEPEFOIL,1,XCP,2.9
431587,PEPEGUN,1,XCP,0.92
431587,PEPEVIAGRA,1,XCP,1.3
431590,SHITCOINCARD,10,XCP,1.1
431590,PEPEBROS,2,XCP,1.5
431590,PEPEBROS,3,XCP,2.25
431591,SHITCOINCARD,1,XCP,0.11
431591,PEPENATION,10,XCP,0.9
431591,TRUMPRARE,1,XCP,5
431591,SHITCOINCARD,25,XCP,2.75
431591,DANKPEPE,1,XCP,0.34
431599,GOXPEPE,66,XCP,19.8
431600,SHITCOINCARD,1,XCP,0.2
431600,SHITCOINCARD,152,XCP,16.72
431601,RAREPEPE,1,XCP,30
431602,PEPEBROS,1,XCP,0.75
431602,HAIRPEPE,4,XCP,2.56
431602,GOXPEPE,1,XCP,0.3
431603,PEPEBROS,4,XCP,3
431604,DARKPILLPEPE,1,XCP,8.5
431604,GOXPEPE,3,XCP,0.9
431606,BANEPEPE,2,XCP,2
431606,MAGICPEPEYE,2,XCP,1.4
431609,DASHPEPE,1,XCP,8.7
431610,DASHPEPE,1,XCP,19
431612,RAREPEPE,1,XCP,30
431612,PEPEKACHU,1,XCP,2
431612,PEPEKACHU,1,XCP,1.5
431614,UFOPEPE,5,XCP,2
431619,UFOPEPE,20,XCP,8
431619,UFOPEPE,5,XCP,2
431619,UFOPEPE,4,XCP,1.6
431647,UFOPEPE,5,XCP,2
431647,CHERPEPEFOIL,5,XCP,15
431647,RAREPEPE,1,XCP,30
431647,RAREPEPE,1,XCP,30
431648,PEPEVIAGRA,1,XCP,1.4
431648,MAGICPEPEYE,5,XCP,3.75
431648,MAGICPEPEYE,5,XCP,4
431648,MAGICPEPEYE,3,XCP,2.1
431648,XCP,2,PEPEKACHU,1
431652,PEPEGUN,1,XCP,0.093
431655,PEPEBROS,3,XCP,2.4
431656,PEPEKACHU,1,XCP,2.1
431656,HARDPEPEFORK,1,XCP,0.9
431663,DAOPEPEHACK,1,XCP,0.4
431670,PEPELLUM,2,XCP,1
431671,HYIPPEPE,10,XCP,2.67
431676,PEPEGUN,1,XCP,0.94
431676,BANEPEPE,1,XCP,0.7
431676,UFOPEPE,1,XCP,0.4
431676,TLCPEPE,1,XCP,0.125
431676,HARDPEPEFORK,1,XCP,0.9
431677,PEPEBONGSPHP,1,XCP,0.025
431677,PEPEBONGSPHP,1,XCP,0.025
431678,ONLYONEPEPE,1,XCP,143.6
431678,PEPEKACHU,1,XCP,2.2
431678,MAGICPEPEYE,3,XCP,2.55
431682,RAREPEPE,2,XCP,60
431684,XCP,1.5,PEPEKACHU,1
431684,PEPELLUM,1,XCP,1
431684,JONGPEPE,3,XCP,0.99
431686,PONZIPEPE,10,XCP,3
431694,TLCPEPE,10,XCP,1.25
431696,GOXPEPE,4,XCP,1.2
431702,NOFAPPEPE,1000,XCP,1
431718,HYIPPEPE,2,XCP,0.534
431724,DASHPEPE,1,XCP,18
431726,UFOPEPE,1,XCP,0.4
431747,ZETAPEPE,1,XCP,0.75
431763,TROUTPEPE,1,XCP,0.2
431764,PONZIPEPE,2,XCP,0.6
431768,XCP,4,LOVEPEPETATO,2
431768,JONGPEPE,1,XCP,32
431768,PEPEPOPE,1,XCP,2.5
431768,PEPEPOPE,1,XCP,3
431768,PEPEPOPE,1,XCP,2.75
431771,DASHPEPE,1,XCP,17
431787,PEPEKACHU,9,XCP,19.8
431787,PEPEKACHU,1,XCP,2.1
431787,PEPENATION,1,XCP,0.09
431788,MAGICPEPEYE,1,XCP,0.85
431788,PEPEBROS,1,XCP,0.8
431788,PEPEPARTY,1,XCP,0.25
431800,TROUTPEPE,1,XCP,0.3
431802,PEPEPOPE,1,XCP,3.25
431803,XCP,20,RAREPEPE,1
431805,PEPEJOINTSPH,50,XCP,0.075
431806,TROUTPEPE,1,XCP,0.6
431806,TROUTPEPE,1,XCP,0.7
431806,TROUTPEPE,1,XCP,0.4
431806,TROUTPEPE,1,XCP,0.5
431809,TROUTPEPE,1,XCP,0.8
431809,TROUTPEPE,1,XCP,1
431809,TLCPEPE,2,XCP,0.25
431809,PEPEMINING,2,XCP,3.33333334
431809,TROUTPEPE,1,XCP,0.9
431810,PEPELLUM,1,XCP,1
431811,ZETAPEPE,2,XCP,1.5
431815,HARDPEPEFORK,2,XCP,1.8
431815,DAOPEPEHACK,2,XCP,0.8
431816,IMWITHPEPE,4,XCP,1
431816,PEPEJOINTSPH,500,XCP,0.75
431816,HERNIAPEPE,2,XCP,0.4
431816,GURUPEPE,2,XCP,0.4
431828,TROUTPEPE,1,XCP,1
431828,TROUTPEPE,1,XCP,1.5
431831,TROUTPEPE,1,XCP,2
431836,TLCPEPE,1,XCP,0.125
431837,TROUTPEPE,2,XCP,3.7
431837,PEPEBONGSPHP,10,XCP,0.25
431839,TROUTPEPE,1,XCP,1.95
431839,TROUTPEPE,1,XCP,1.75
431839,TROUTPEPE,1,XCP,1.75
431841,TROUTPEPE,1,XCP,2
431841,TROUTPEPE,1,XCP,3
431841,TROUTPEPE,1,XCP,1.95
431842,XCP,2.45,TROUTPEPE,1
431845,TROUTPEPE,1,XCP,2.23
431851,NOFAPPEPE,5,XCP,0.5
431851,GOXPEPE,5,XCP,0.95
431851,NOFAPPEPE,1,XCP,0.1
431853,TROUTPEPE,2,XCP,6
431853,GOXPEPE,547,XCP,103.93
431858,TROUTPEPE,1,XCP,3.24
431860,PEPEBREEDER,1,XCP,5
431860,TROUTPEPE,1,XCP,3.45
431860,PEPEBREEDER,1,XCP,2.5
431861,IMWITHPEPE,3,XCP,0.75
431861,PEPEKACHU,1,XCP,2.1
431861,DAOPEPEHACK,1,XCP,0.4
431861,GOXPEPE,3,XCP,0.57
431861,HAIRPEPE,1,XCP,0.65
431861,PEPEBROS,1,XCP,0.8
431861,BUPEPE,3,XCP,0.3
431861,KEISERPEPE,3,XCP,0.21
431861,PEPEJOINTSPH,150,XCP,0.195
431861,GURUPEPE,4,XCP,0.8
431861,DANKPEPE,3,XCP,1.02
431861,HAIRPEPE,1,XCP,0.66
431861,HYIPPEPE,4,XCP,1.068
431861,PEPELLUM,2,XCP,3
431861,BANEPEPE,3,XCP,0.9
431861,UFOPEPE,3,XCP,1.2
431861,TLCPEPE,3,XCP,0.375
431861,PEPEONECOIN,10000,XCP,0.01
431861,TROUTPEPE,1,XCP,3.5
431861,STILLPEPE,2,XCP,0.5
431861,PEPETRATION,2,XCP,1.5
431861,TRUMPRARE,2,XCP,1
431861,HARDPEPEFORK,2,XCP,1.8
431861,PEPEPARTY,3,XCP,0.75
431861,PEPENATION,4,XCP,0.36
431864,PONZIPEPE,2,XCP,0.6
431864,TOPCUCK,5,XCP,0.1
431864,HERNIAPEPE,3,XCP,0.6
431864,NOFAPPEPE,3,XCP,0.3
431864,LEOPEPESCAM,3,XCP,0.999
431864,ZETAPEPE,2,XCP,1.5
431864,PEPEMINING,1,XCP,1.66666667
431864,OPPPEPE,300,XCP,0.999999
431864,RAREMRROBOT,1,XCP,1
431865,ZETAPEPE,1,XCP,0.76
431868,LEOPEPESCAM,1,XCP,0.9
431868,NOFAPPEPE,10,XCP,1
431870,PEPEPOPE,1,XCP,3.5
431872,TOPCUCK,10,XCP,0.2
431872,TOPCUCK,5,XCP,0.1
431872,HAIRPEPE,1,XCP,0.66
431872,DANKPEPE,1,XCP,0.34
431872,HAIRPEPE,1,XCP,0.66
431872,PEPEBROS,1,XCP,0.8
431873,TROUTPEPE,1,XCP,3.75
431874,TROUTPEPE,1,XCP,3.85
431876,DAOPEPEHACK,1,XCP,0.4
431877,XCP,6,TROUTPEPE,2
431881,TROUTPEPE,2,XCP,6
431883,TROUTPEPE,1,XCP,3.1337
431883,TROUTPEPE,1,XCP,3
431899,PEPEPARTY,1,XCP,0.25
431910,GOXPEPE,119,XCP,22.61
431910,OPPPEPE,2,XCP,1.6
431910,HEISENPEPE,5,XCP,3.45
431910,LEOPEPESCAM,2,XCP,1.8
431910,RAREMRROBOT,2,XCP,2
431910,NOFAPPEPE,2,XCP,0.2
431910,PEPEBREEDER,1,XCP,5
431917,TRIPPYPEPE,4,XCP,8
431917,TLCPEPE,3,XCP,0.375
431928,PEPEONECOIN,1000,XCP,0.001
431937,BUPEPE,1,XCP,0.1
431938,PEPEGUN,1,XCP,0.95
431938,PEPEBOY,5,XCP,0.25
431945,PEPELIBRARY,4,XCP,2
431947,PEPELIBRARY,2,XCP,1
431948,RAREMRROBOT,2,XCP,2
431951,TRUMPRARE,14,XCP,7
431951,NOFAPPEPE,2,XCP,0.2
431951,IMWITHPEPE,1,XCP,0.25
431951,PONZIPEPE,2,XCP,0.6
431951,UFOPEPE,1,XCP,0.4
431951,TROUTPEPE,1,XCP,3.32342
431951,TOPCUCK,4,XCP,0.076
431951,SHITCOINCARD,10,XCP,4.55
431952,DAOPEPEHACK,4,XCP,1.6
431952,MAGICPEPEYE,1,XCP,0.85
431952,GURUPEPE,10,XCP,2
431952,PEPEBROS,2,XCP,1.6
431952,PEPEBONGSPHP,10,XCP,0.25
431952,BANEPEPE,4,XCP,1.2
431952,KEISERPEPE,4,XCP,1.32
431952,PEPEBROS,2,XCP,1.6
431952,HAIRPEPE,2,XCP,1.32
431952,DAOPEPEHACK,5,XCP,2
431952,PEPEBONGSPHP,13,XCP,0.325
431952,HYIPPEPE,5,XCP,1.335
431952,PEPEJOINTSPH,420,XCP,0.546
431952,DANKPEPE,4,XCP,1.36
431952,DANKPEPE,1,XCP,0.34
431952,DANKPEPE,10,XCP,3.5
431952,PEPEJOINTSPH,100,XCP,0.13
431952,BUPEPE,4,XCP,0.4
431952,PEPEVIAGRA,1,XCP,1.5
431952,PEPEPARTY,4,XCP,1
431952,PEPENATION,10,XCP,0.9
431952,TRUMPRARE,1,XCP,1
431952,STILLPEPE,4,XCP,1
431952,TROUTPEPE,1,XCP,3.5
431952,TROUTPEPE,1,XCP,3.5
431957,XCP,1,GRIMPEPE,1
431958,PEPELIBRARY,1,XCP,0.5
431959,IMWITHPEPE,1,XCP,0.25
431959,OPPPEPE,2,XCP,1.6
431961,TROUTPEPE,1,XCP,3.5
431962,TROUTPEPE,1,XCP,3.95
431964,PEPELIBRARY,1,XCP,0.5
431964,RAREMRROBOT,2,XCP,2
431964,HEISENPEPE,2,XCP,1.46
431975,HEISENPEPE,3,XCP,2.19
431975,TROUTPEPE,1,XCP,4
431975,PEPEMINING,3,XCP,7.00000002
431975,PEPEBROS,3,XCP,2.7
431976,DAOPEPEHACK,10,XCP,4
431976,DANKPEPE,13,XCP,4.55
431976,XCP,3,TROUTPEPE,1
431976,TRUMPRARE,3,XCP,3
431977,XCP,3,TROUTPEPE,1
431981,PEPELLUM,1,XCP,2
431981,HARDPEPEFORK,5,XCP,7
431981,MAGICPEPEYE,4,XCP,3.6
431981,TROUTPEPE,2,XCP,6
431981,UFOPEPE,10,XCP,4
431982,PEPELIBRARY,2,XCP,1
431982,RAREMRROBOT,3,XCP,3
431983,PEPEPARTY,11,XCP,2.75
431984,KEISERPEPE,5,XCP,1.65
431985,HAIRPEPE,3,XCP,1.98
431987,TROUTPEPE,1,XCP,4
431987,TROUTPEPE,1,XCP,4
431987,BARRYPEPE,1,XCP,2
431989,NOFAPPEPE,10,XCP,1
431991,XCP,2.5,TROUTPEPE,1
431992,XCP,3,PEPEVIAGRA,3
431992,XCP,5,PEPEGUN,10
431999,TROUTPEPE,1,XCP,3.25
431999,RAREMRROBOT,5,XCP,5
431999,PEPEBROS,3,XCP,2.7
432001,TROUTPEPE,1,XCP,3.5
432001,TROUTPEPE,1,XCP,3.75
432005,HAIRPEPE,2,XCP,1.32
432007,LIAMPEPE,1,XCP,1
432007,LIAMPEPE,1,XCP,1
432009,PEPECRYSTAL,1,XCP,1
432014,TROUTPEPE,1,XCP,3.5
432014,PEPELLUM,1,XCP,2
432015,PEPEPOPE,1,XCP,3.75
432018,PEPEGUN,1,XCP,0.95
432019,HEISENPEPE,3,XCP,2.19
432019,XCP,3,BARRYPEPE,1
432019,KEISERPEPE,2,XCP,0.66
432019,PEPEPOPE,1,XCP,4
432019,BARRYPEPE,1,XCP,3
432019,DARKPILLPEPE,1,XCP,4.7
432020,UFOPEPE,1,XCP,0.4
432028,RAREMRROBOT,4,XCP,4
432028,PEPELLUM,2,XCP,4
432031,XCP,0.8,LEOPEPESCAM,1
432045,BARRYPEPE,1,XCP,2.5
432053,XCP,1,PEPEROSS,1
432058,PEPEGATES,5,XCP,4
432059,HYIPPEPE,5,XCP,1.335
432064,HARAMPEPE,11,XCP,0.231
432064,HARAMPEPE,40,XCP,1
432064,HARAMPEPE,4,XCP,0.072
432064,HARAMPEPE,6,XCP,0.132
432067,PEPECRYSTAL,1,XCP,1.5
432068,HARAMPEPE,5,XCP,2.5
432068,MAGICPEPEYE,1,XCP,0.95
432098,BANANAPEPE,100,XCP,0.1
432099,TROUTPEPE,1,XCP,3.75
432099,XCP,2.664,SHITCOINCARD,4
432099,XCP,20,RAREPEPE,1
432099,XCP,0.38,GOXPEPE,1
432101,BIGVERNPEPE,5,XCP,0.5
432101,XCP,3.996,SHITCOINCARD,6
432106,PEPECASTRO,1,XCP,0.8
432106,TROUTPEPE,1,XCP,4
432106,PEPEROSS,1,XCP,2
432106,BIGVERNPEPE,1,XCP,0.1
432107,PONZIPEPE,1,XCP,0.3
432107,XCP,0.94,SHITCOINCARD,2
432108,TROUTPEPE,1,XCP,4.25
432111,PEPECASTRO,2,XCP,1.6
432111,SHITCOINCARD,1,XCP,0.666
432111,ZEROWINGPEPE,2,XCP,2
432111,ZETAPEPE,2,XCP,0.5
432111,PHEONIXPEPE,4,XCP,0.4
432111,HEISENPEPE,2,XCP,1.46
432111,PEPEGUN,1,XCP,0.96
432111,JONGPEPE,1,XCP,50
432111,BANANAPEPE,1000,XCP,1
432112,PEPELEPEW,1,XCP,2
432115,SEAMANPEPE,6,XCP,1.8
432115,PEPELEPEW,1,XCP,2
432117,PHEONIXPEPE,5,XCP,0.5
432117,GOXPEPE,6,XCP,2.04
432117,PEPECASTRO,2,XCP,1.6
432117,GOXPEPE,5,XCP,1.7
432118,PHEONIXPEPE,1,XCP,0.1
432120,BARRYPEPE,1,XCP,3.4
432121,PEPEPOPE,1,XCP,4
432126,ZETAPEPE,20,XCP,4
432126,XCP,0.666,SHITCOINCARD,1
432126,XCP,3.33,SEAMANPEPE,10
432131,TROUTPEPE,1,XCP,3.25
432131,HOMERPEPE,1,XCP,25
432131,DEXTERPEPE,1,XCP,2
432132,BARRYPEPE,1,XCP,2.8
432132,TROUTPEPE,1,XCP,3.25
432132,PEPEVIAGRA,1,XCP,1.5
432138,DARKPILLPEPE,1,XCP,17
432149,TROUTPEPE,1,XCP,3.5
432151,PEPELEPEW,3,XCP,6
432152,PEPEONECOIN,989000,XCP,0.989
432154,PEPEGUN,1,XCP,1
432156,PEPENATION,1,XCP,0.09
432156,PEPEJOINTSPH,1,XCP,0.0013
432157,PEPEPARTY,1,XCP,0.2
432158,XCP,0.666,SHITCOINCARD,1
432159,THEARCHIPEPE,1,XCP,2.5
432165,JONGPEPE,1,XCP,55
432166,HARDPEPEFORK,1,XCP,1.4
432166,PHEONIXPEPE,1,XCP,0.1
432167,SEAMANPEPE,5,XCP,1.665
432168,PEPEONECOIN,1000000,XCP,2
432169,SEAMANPEPE,1,XCP,0.333
432200,PHEONIXPEPE,10,XCP,1
432200,PEPELEPEW,1,XCP,1.2
432200,DEXTERPEPE,1,XCP,2
432200,THEARCHIPEPE,1,XCP,2.5
432207,LORDKEK,0.0001,XCP,0.5
432212,PEPELEPEW,4,XCP,4.8
432222,PEPECASTRO,2,XCP,1.6
432235,PEPEPIZZA,1,PEPECASH,5000000
432235,JUNSETHPEPE,1,XCP,0.25
432252,RARECOINMEME,1,XCP,3
432260,XCP,0.03514617,GOXPEPE,1
432260,TROUTPEPE,1,XCP,3.5
432262,TROUTPEPE,1,XCP,3.75
432263,XCP,0.56,SHITCOINCARD,10
432264,TROUTPEPE,1,XCP,4
432275,TROUTPEPE,1,XCP,4.5
432275,TROUTPEPE,1,XCP,4.25
432276,TROUTPEPE,1,XCP,4.5
432283,TROUTPEPE,1,XCP,4.75
432284,TROUTPEPE,1,XCP,4.75
432285,TROUTPEPE,1,XCP,5.5
432291,RARECOINMEME,1,XCP,3
432291,THEARCHIPEPE,1,XCP,2.5
432291,PEPECASTRO,2,XCP,1.6
432291,PEPELEPEW,3,XCP,3
432291,PHEONIXPEPE,5,XCP,0.5
432291,DEXTERPEPE,1,XCP,2.1
432291,DEXTERPEPE,1,XCP,2
432294,XCP,0.5,TRUMPRARE,1
432296,SHITCOINCARD,1,XCP,0.25
432296,SHITCOINCARD,1,XCP,0.25
432296,WINKELPEPE,1,XCP,23
432296,WINKELPEPE,1,XCP,23
432296,SHITCOINCARD,10,XCP,0.56
432296,SHITCOINCARD,10,XCP,0.56
432299,XCP,1.005,PEPEBONGSPHP,67
432300,PEPEBOY,6,XCP,0.03
432311,XCP,2,UFOPEPE,10
432355,HYIPPEPE,1,XCP,0.267
432359,TRIPPYPEPE,1,XCP,2
432361,UFOPEPE,1,XCP,0.4
432367,XCP,0.625,STILLPEPE,25
432373,LORDKEK,1.0E-5,XCP,0.05
432375,ZETAPEPE,25,XCP,0.5
432381,HILLARYPEPE,1,XCP,0.4
432402,TRIPPYPEPE,2,XCP,4
432413,PEPENATION,1,XCP,0.09
432429,TRIPPYPEPE,1,XCP,2
432434,HYIPPEPE,3,XCP,0.801
432440,SCARFACEPEPE,50,XCP,1.35
432451,TRIPPYPEPE,5,XCP,10
432455,TROUTPEPE,2,XCP,10.5
432469,XCP,0.2,SEAMANPEPE,1
432469,SCARFACEPEPE,15,XCP,0.405
432469,XCP,2.04,SEAMANPEPE,51
432469,XCP,0.36,SEAMANPEPE,9
432496,SEAMANPEPE,4,XCP,0.16
432514,XCP,1,PEPEPOWERTWO,1
432520,SEAMANPEPE,6,XCP,0.24
432521,TRIPPYPEPE,2,XCP,4
