type,state,seat,num_polls,num_polls_partisan,Cook rating
HouseRace,MD,District 8,0,0,Solid D
SenateRace,ME,Class I,2,0,Solid D
HouseRace,ME,District 1,2,0,Solid D
HouseRace,ME,District 2,5,3,Toss-Up
SenateRace,MI,Class I,64,10,Toss-Up
HouseRace,MI,District 1,0,0,Solid R
HouseRace,MI,District 10,4,2,Lean R
HouseRace,MI,District 11,0,0,Solid D
HouseRace,MI,District 12,0,0,Solid D
HouseRace,MI,District 13,0,0,Solid D
HouseRace,MI,District 2,0,0,Solid R
HouseRace,MI,District 3,0,0,Likely D
HouseRace,MI,District 4,0,0,Solid R
HouseRace,MI,District 5,0,0,Solid R
HouseRace,MI,District 6,0,0,Solid D
HouseRace,MI,District 7,3,2,Toss-Up
HouseRace,MI,District 8,3,3,Toss-Up
HouseRace,MI,District 9,0,0,Solid R
SenateRace,MN,Class I,12,0,Solid D
HouseRace,MN,District 1,0,0,Solid R
HouseRace,MN,District 2,1,0,Lean D
HouseRace,MN,District 3,0,0,Solid D
HouseRace,MN,District 4,0,0,Solid D
HouseRace,MN,District 5,0,0,Solid D
HouseRace,MN,District 6,0,0,Solid R
HouseRace,MN,District 7,0,0,Solid R
HouseRace,MN,District 8,0,0,Solid R
SenateRace,MO,Class I,7,1,Solid R
HouseRace,MO,District 1,0,0,Solid D
HouseRace,MO,District 2,0,0,Solid R
HouseRace,MO,District 3,0,0,Solid R
HouseRace,MO,District 4,0,0,Solid R
HouseRace,MO,District 5,0,0,Solid D
HouseRace,MO,District 6,0,0,Solid R
HouseRace,MO,District 7,0,0,Solid R
HouseRace,MO,District 8,0,0,Solid R
SenateRace,MS,Class I,1,1,Solid R
HouseRace,MS,District 1,0,0,Solid R
HouseRace,MS,District 2,0,0,Solid D
HouseRace,MS,District 3,0,0,Solid R
HouseRace,MS,District 4,0,0,Solid R
SenateRace,MT,Class I,14,7,Lean R
HouseRace,MT,District 1,6,4,Lean R
HouseRace,MT,District 2,1,0,Solid R
HouseRace,NC,District 1,2,1,Toss-Up
HouseRace,NC,District 10,0,0,Solid R
HouseRace,NC,District 11,0,0,Solid R
HouseRace,NC,District 12,0,0,Solid D
HouseRace,NC,District 13,0,0,Solid R
HouseRace,NC,District 14,0,0,Solid R
HouseRace,NC,District 2,0,0,Solid D
HouseRace,NC,District 3,0,0,Solid R
HouseRace,NC,District 4,0,0,Solid D
HouseRace,NC,District 5,0,0,Solid R
HouseRace,NC,District 6,0,0,Solid R
HouseRace,NC,District 7,0,0,Solid R
HouseRace,NC,District 8,0,0,Solid R
HouseRace,NC,District 9,0,0,Solid R
SenateRace,ND,Class I,5,3,Solid R
HouseRace,ND,District 1,2,0,Solid R
SenateRace,NE,Class I,13,11,Lean R
HouseRace,NE,District 1,0,0,Solid R
HouseRace,NE,District 2,10,6,Toss-Up
HouseRace,NE,District 3,0,0,Solid R
HouseRace,NH,District 1,5,1,Likely D
HouseRace,NH,District 2,4,0,Likely D
SenateRace,NJ,Class I,3,2,Solid D
HouseRace,NJ,District 1,0,0,Solid D
HouseRace,NJ,District 10,0,0,Solid D
HouseRace,NJ,District 11,0,0,Solid D
HouseRace,NJ,District 12,0,0,Solid D
HouseRace,NJ,District 2,1,1,Solid R
HouseRace,NJ,District 3,0,0,Solid D
HouseRace,NJ,District 4,0,0,Solid R
HouseRace,NJ,District 5,0,0,Solid D
HouseRace,NJ,District 6,0,0,Solid D
HouseRace,NJ,District 7,3,2,Lean R
HouseRace,NJ,District 8,0,0,Solid D
HouseRace,NJ,District 9,0,0,Solid D
SenateRace,NM,Class I,11,2,Solid D
HouseRace,NM,District 1,2,0,Solid D
HouseRace,NM,District 2,4,1,Toss-Up
HouseRace,NM,District 3,2,0,Solid D
SenateRace,NV,Class I,41,4,Lean D
HouseRace,NV,District 1,1,0,Likely D
HouseRace,NV,District 2,1,0,Solid R
HouseRace,NV,District 3,1,0,Lean D
HouseRace,NV,District 4,1,0,Likely D
SenateRace,NY,Class I,6,0,Solid D
HouseRace,NY,District 1,3,2,Likely R
HouseRace,NY,District 10,0,0,Solid D
HouseRace,NY,District 11,0,0,Solid R
HouseRace,NY,District 12,0,0,Solid D
HouseRace,NY,District 13,0,0,Solid D
HouseRace,NY,District 14,0,0,Solid D
HouseRace,NY,District 15,0,0,Solid D
HouseRace,NY,District 16,0,0,Solid D
HouseRace,NY,District 17,4,3,Lean R
HouseRace,NY,District 18,1,0,Lean D
HouseRace,NY,District 19,4,2,Toss-Up
HouseRace,NY,District 2,0,0,Solid R
HouseRace,NY,District 20,0,0,Solid D
HouseRace,NY,District 21,0,0,Solid R
HouseRace,NY,District 22,2,2,Lean D
HouseRace,NY,District 23,0,0,Solid R
HouseRace,NY,District 24,0,0,Solid R
HouseRace,NY,District 25,0,0,Solid D
HouseRace,NY,District 26,0,0,Solid D
HouseRace,NY,District 3,1,1,Likely D
HouseRace,NY,District 4,6,4,Toss-Up
HouseRace,NY,District 5,0,0,Solid D
HouseRace,NY,District 6,0,0,Solid D
HouseRace,NY,District 7,0,0,Solid D
HouseRace,NY,District 8,0,0,Solid D
HouseRace,NY,District 9,0,0,Solid D
SenateRace,OH,Class I,17,2,Toss-Up
HouseRace,OH,District 1,0,0,Likely D
HouseRace,OH,District 10,0,0,Solid R
HouseRace,OH,District 11,0,0,Solid D
HouseRace,OH,District 12,0,0,Solid R
HouseRace,OH,District 13,1,1,Lean D
HouseRace,OH,District 14,0,0,Solid R
HouseRace,OH,District 15,0,0,Solid R
HouseRace,OH,District 2,0,0,Solid R
HouseRace,OH,District 3,0,0,Solid D
HouseRace,OH,District 4,0,0,Solid R
HouseRace,OH,District 5,0,0,Solid R
HouseRace,OH,District 6,0,0,Solid R
HouseRace,OH,District 7,0,0,Solid R
HouseRace,OH,District 8,0,0,Solid R
HouseRace,OH,District 9,1,0,Lean D
HouseRace,OK,District 1,0,0,Solid R
HouseRace,OK,District 2,0,0,Solid R
HouseRace,OK,District 3,0,0,Solid R
HouseRace,OK,District 4,0,0,Solid R
HouseRace,OK,District 5,0,0,Solid R
HouseRace,OR,District 1,0,0,Solid D
HouseRace,OR,District 2,0,0,Solid R
HouseRace,OR,District 3,0,0,Solid D
HouseRace,OR,District 4,0,0,Likely D
HouseRace,OR,District 5,2,1,Toss-Up
HouseRace,OR,District 6,1,1,Lean D
SenateRace,PA,Class I,81,10,Toss-Up
HouseRace,PA,District 1,4,4,Likely R
HouseRace,PA,District 10,4,2,Toss-Up
HouseRace,PA,District 11,0,0,Solid R
HouseRace,PA,District 12,0,0,Solid D
HouseRace,PA,District 13,0,0,Solid R
HouseRace,PA,District 14,0,0,Solid R
HouseRace,PA,District 15,0,0,Solid R
HouseRace,PA,District 16,0,0,Solid R
HouseRace,PA,District 17,2,2,Lean D
HouseRace,PA,District 2,0,0,Solid D
HouseRace,PA,District 3,0,0,Solid D
HouseRace,PA,District 4,0,0,Solid D
HouseRace,PA,District 5,0,0,Solid D
HouseRace,PA,District 6,0,0,Solid D
HouseRace,PA,District 7,4,3,Toss-Up
HouseRace,PA,District 8,0,0,Toss-Up
HouseRace,PA,District 9,0,0,Solid R
SenateRace,RI,Class I,4,0,Solid D
HouseRace,RI,District 1,2,0,Solid D
HouseRace,RI,District 2,2,0,Solid D
HouseRace,SC,District 1,0,0,Solid R
HouseRace,SC,District 2,0,0,Solid R
HouseRace,SC,District 3,0,0,Solid R
HouseRace,SC,District 4,0,0,Solid R
HouseRace,SC,District 5,0,0,Solid R
HouseRace,SC,District 6,0,0,Solid D
HouseRace,SC,District 7,0,0,Solid R
HouseRace,SD,District 1,1,0,Solid R
SenateRace,TN,Class I,5,0,Solid R
HouseRace,TN,District 1,0,0,Solid R
HouseRace,TN,District 2,0,0,Solid R
HouseRace,TN,District 3,0,0,Solid R
HouseRace,TN,District 4,0,0,Solid R
HouseRace,TN,District 5,0,0,Solid R
HouseRace,TN,District 6,0,0,Solid R
HouseRace,TN,District 7,0,0,Solid R
HouseRace,TN,District 8,0,0,Solid R
HouseRace,TN,District 9,0,0,Solid D
SenateRace,TX,Class I,28,5,Lean R
HouseRace,TX,District 1,0,0,Solid R
HouseRace,TX,District 10,0,0,Solid R
HouseRace,TX,District 11,0,0,Solid R
HouseRace,TX,District 12,0,0,Solid R
HouseRace,TX,District 13,0,0,Solid R
HouseRace,TX,District 14,0,0,Solid R
HouseRace,TX,District 15,1,1,Likely R
HouseRace,TX,District 16,0,0,Solid D
HouseRace,TX,District 17,0,0,Solid R
HouseRace,TX,District 18,0,0,Solid D
HouseRace,TX,District 19,0,0,Solid R
HouseRace,TX,District 2,0,0,Solid R
HouseRace,TX,District 20,0,0,Solid D
HouseRace,TX,District 21,0,0,Solid R
HouseRace,TX,District 22,0,0,Solid R
HouseRace,TX,District 23,0,0,Solid R
HouseRace,TX,District 24,0,0,Solid R
HouseRace,TX,District 25,0,0,Solid R
HouseRace,TX,District 26,0,0,Solid R
HouseRace,TX,District 27,0,0,Solid R
HouseRace,TX,District 28,0,0,Likely D
HouseRace,TX,District 29,0,0,Solid D
HouseRace,TX,District 3,0,0,Solid R
HouseRace,TX,District 30,0,0,Solid D
HouseRace,TX,District 31,0,0,Solid R
HouseRace,TX,District 32,0,0,Solid D
HouseRace,TX,District 33,0,0,Solid D
HouseRace,TX,District 34,1,1,Lean D
HouseRace,TX,District 35,0,0,Solid D
HouseRace,TX,District 36,0,0,Solid R
HouseRace,TX,District 37,0,0,Solid D
HouseRace,TX,District 38,0,0,Solid R
HouseRace,TX,District 4,0,0,Solid R
HouseRace,TX,District 5,0,0,Solid R
HouseRace,TX,District 6,0,0,Solid R
HouseRace,TX,District 7,0,0,Solid D
HouseRace,TX,District 8,0,0,Solid R
HouseRace,TX,District 9,0,0,Solid D
SenateRace,UT,Class I,4,0,Solid R
HouseRace,UT,District 1,1,0,Solid R
HouseRace,UT,District 2,1,0,Solid R
HouseRace,UT,District 3,1,0,Solid R
HouseRace,UT,District 4,1,0,Solid R
SenateRace,VA,Class I,12,0,Solid D
HouseRace,VA,District 1,0,0,Solid R
HouseRace,VA,District 10,0,0,Solid D
HouseRace,VA,District 11,0,0,Solid D
HouseRace,VA,District 2,5,3,Lean R
HouseRace,VA,District 3,0,0,Solid D
HouseRace,VA,District 4,0,0,Solid D
HouseRace,VA,District 5,0,0,Solid R
HouseRace,VA,District 6,0,0,Solid R
HouseRace,VA,District 7,3,3,Toss-Up
HouseRace,VA,District 8,0,0,Solid D
HouseRace,VA,District 9,0,0,Solid R
SenateRace,VT,Class I,1,0,Solid D
HouseRace,VT,District 1,1,0,Solid D
SenateRace,WA,Class I,4,1,Solid D
HouseRace,WA,District 1,0,0,Solid D
HouseRace,WA,District 10,0,0,Solid D
HouseRace,WA,District 2,0,0,Solid D
HouseRace,WA,District 3,3,3,Toss-Up
HouseRace,WA,District 4,0,0,Solid R
HouseRace,WA,District 5,0,0,Solid R
HouseRace,WA,District 6,0,0,Solid D
HouseRace,WA,District 7,0,0,Solid D
HouseRace,WA,District 8,0,0,Likely D
HouseRace,WA,District 9,0,0,Solid D
SenateRace,WI,Class I,56,7,Toss-Up
HouseRace,WI,District 1,2,2,Likely R
HouseRace,WI,District 2,0,0,Solid D
HouseRace,WI,District 3,4,4,Lean R
HouseRace,WI,District 4,0,0,Solid D
HouseRace,WI,District 5,0,0,Solid R
HouseRace,WI,District 6,0,0,Solid R
HouseRace,WI,District 7,0,0,Solid R
HouseRace,WI,District 8,0,0,Solid R
SenateRace,WV,Class I,2,0,Solid R
HouseRace,WV,District 1,0,0,Solid R
HouseRace,WV,District 2,0,0,Solid R
SenateRace,WY,Class I,0,0,Solid R
HouseRace,WY,District 1,0,0,Solid R
SenateRace,NE,Class II,3,2,Solid R
