type,state,seat,num_polls,num_polls_partisan,Cook rating
HouseRace,IL,District 13,6,4,Toss-Up
HouseRace,FL,District 26,8,5,Lean D
HouseRace,FL,District 27,0,0,Solid R
HouseRace,GA,District 14,0,0,Solid R
HouseRace,IA,District 2,1,1,Likely D
HouseRace,IA,District 3,1,1,Lean R
HouseRace,IA,District 4,3,3,Lean R
HouseRace,IL,District 14,0,0,Solid R
HouseRace,IL,District 15,0,0,Solid R
HouseRace,IL,District 17,7,6,Toss-Up
HouseRace,IL,District 18,0,0,Solid R
HouseRace,IN,District 1,0,0,Solid D
HouseRace,IN,District 2,0,0,Likely R
HouseRace,IN,District 3,0,0,Solid R
HouseRace,IN,District 4,0,0,Solid R
HouseRace,IN,District 5,0,0,Solid R
HouseRace,IN,District 6,0,0,Solid R
HouseRace,IN,District 7,0,0,Solid D
HouseRace,IN,District 8,0,0,Lean R
HouseRace,IN,District 9,0,0,Solid R
HouseRace,KS,District 1,0,0,Solid R
HouseRace,KS,District 2,0,0,Solid R
HouseRace,KS,District 3,0,0,Solid R
HouseRace,KS,District 4,0,0,Solid R
HouseRace,KY,District 1,0,0,Solid R
HouseRace,KY,District 2,0,0,Solid R
HouseRace,KY,District 3,0,0,Solid D
HouseRace,KY,District 4,0,0,Solid R
HouseRace,KY,District 5,0,0,Solid R
HouseRace,KY,District 6,3,3,Toss-Up
HouseRace,LA,District 2,0,0,Solid D
HouseRace,LA,District 3,1,1,Solid R
HouseRace,LA,District 4,0,0,Solid R
HouseRace,LA,District 5,0,0,Solid R
HouseRace,LA,District 6,0,0,Solid R
HouseRace,MA,District 1,0,0,Solid D
HouseRace,MA,District 2,0,0,Solid D
HouseRace,MA,District 3,1,1,Solid D
HouseRace,MA,District 4,0,0,Solid D
HouseRace,MA,District 5,0,0,Solid D
HouseRace,MA,District 6,5,3,Lean R
HouseRace,MA,District 7,0,0,Solid D
HouseRace,MA,District 8,0,0,Solid D
HouseRace,MA,District 9,0,0,Solid D
HouseRace,MD,District 1,0,0,Solid R
HouseRace,MD,District 2,0,0,Solid D
HouseRace,MD,District 3,0,0,Solid D
HouseRace,MD,District 4,0,0,Solid D
HouseRace,MD,District 5,0,0,Solid D
HouseRace,MD,District 6,1,1,Likely D
HouseRace,MD,District 7,0,0,Solid D
HouseRace,MD,District 8,0,0,Solid D
HouseRace,ME,District 1,4,0,Solid D
HouseRace,ME,District 2,7,3,Solid D
HouseRace,MI,District 1,4,4,Toss-Up
HouseRace,MI,District 2,0,0,Solid R
HouseRace,MI,District 4,0,0,Solid R
HouseRace,MI,District 5,0,0,Solid D
HouseRace,MI,District 6,2,2,Solid R
HouseRace,MI,District 7,0,0,Solid R
HouseRace,MI,District 8,0,0,Solid R
HouseRace,MI,District 9,1,1,Solid D
HouseRace,MI,District 10,0,0,Solid R
HouseRace,MI,District 11,0,0,Lean R
HouseRace,MI,District 12,0,0,Solid D
HouseRace,MI,District 13,0,0,Solid D
HouseRace,MI,District 14,0,0,Solid D
HouseRace,MN,District 1,0,0,Solid D
HouseRace,MN,District 2,1,0,Solid R
HouseRace,MN,District 3,0,0,Solid R
HouseRace,MN,District 4,0,0,Solid D
HouseRace,MN,District 5,0,0,Solid D
HouseRace,MN,District 6,5,3,Lean R
HouseRace,MN,District 7,0,0,Solid D
HouseRace,MN,District 8,7,4,Toss-Up
HouseRace,MO,District 1,1,0,Solid D
HouseRace,MO,District 2,0,0,Solid R
HouseRace,MO,District 3,0,0,Solid R
HouseRace,MO,District 4,0,0,Solid R
HouseRace,MO,District 5,0,0,Solid D
HouseRace,MO,District 6,0,0,Solid R
HouseRace,MO,District 7,0,0,Solid R
HouseRace,MO,District 8,0,0,Solid R
HouseRace,MS,District 1,0,0,Solid R
HouseRace,MS,District 2,0,0,Solid D
HouseRace,MS,District 3,0,0,Solid R
HouseRace,MS,District 4,0,0,Solid R
HouseRace,MT,District 1,7,3,Likely R
HouseRace,NC,District 1,0,0,Solid D
HouseRace,NC,District 10,0,0,Solid R
HouseRace,NC,District 11,0,0,Likely R
HouseRace,NC,District 12,0,0,Solid D
HouseRace,NC,District 13,0,0,Likely R
HouseRace,NC,District 2,1,0,Solid R
HouseRace,NC,District 3,0,0,Solid R
HouseRace,NC,District 4,0,0,Solid D
HouseRace,NC,District 5,0,0,Solid R
HouseRace,NC,District 6,0,0,Solid R
HouseRace,NC,District 7,3,3,Toss-Up
HouseRace,NE,District 1,1,0,Solid R
HouseRace,NE,District 2,3,1,Likely R
HouseRace,NE,District 3,1,0,Solid R
HouseRace,NH,District 1,10,5,Toss-Up
HouseRace,NH,District 2,7,2,Lean D
HouseRace,NJ,District 1,0,0,Solid D
HouseRace,NJ,District 2,1,0,Solid R
HouseRace,NJ,District 3,2,1,Lean R
HouseRace,NJ,District 4,0,0,Solid R
HouseRace,NJ,District 5,0,0,Solid R
HouseRace,NJ,District 6,0,0,Solid D
HouseRace,NJ,District 7,0,0,Solid R
HouseRace,NJ,District 8,0,0,Solid D
HouseRace,NJ,District 9,0,0,Solid D
HouseRace,NJ,District 10,0,0,Solid D
HouseRace,NJ,District 11,0,0,Solid R
HouseRace,NJ,District 12,0,0,Solid D
HouseRace,NM,District 1,4,2,Solid D
HouseRace,NM,District 2,2,0,Solid R
HouseRace,NV,District 1,0,0,Solid D
HouseRace,NV,District 2,0,0,Solid R
HouseRace,NV,District 3,5,3,Lean R
HouseRace,NY,District 1,6,5,Lean D
HouseRace,NY,District 2,0,0,Solid R
HouseRace,NY,District 3,0,0,Solid D
HouseRace,NY,District 4,0,0,Solid D
HouseRace,NY,District 5,0,0,Solid D
HouseRace,NY,District 6,1,1,Solid D
HouseRace,NY,District 7,0,0,Solid D
HouseRace,NY,District 8,0,0,Solid D
HouseRace,NY,District 9,0,0,Solid D
HouseRace,NY,District 10,0,0,Solid D
HouseRace,NY,District 11,3,2,Likely R
HouseRace,NY,District 12,0,0,Solid D
HouseRace,NY,District 13,0,0,Solid D
HouseRace,NY,District 14,0,0,Solid D
HouseRace,NY,District 15,0,0,Solid D
HouseRace,NY,District 16,0,0,Solid D
HouseRace,NY,District 17,0,0,Solid D
HouseRace,NY,District 18,6,4,Toss-Up
HouseRace,NC,District 8,5,4,Likely R
HouseRace,NY,District 20,1,0,Solid D
HouseRace,NY,District 21,4,3,Lean D
HouseRace,NY,District 23,0,0,Solid R
HouseRace,NY,District 24,6,5,Lean D
HouseRace,NY,District 25,3,1,Likely D
HouseRace,NY,District 26,0,0,Solid D
HouseRace,NY,District 27,4,2,Lean R
HouseRace,OH,District 1,0,0,Solid R
HouseRace,OH,District 2,0,0,Solid R
HouseRace,OH,District 3,0,0,Solid D
HouseRace,OH,District 4,0,0,Solid R
HouseRace,OH,District 5,0,0,Solid R
HouseRace,OH,District 6,3,3,Toss-Up
HouseRace,OH,District 7,0,0,Likely R
HouseRace,OH,District 8,0,0,Solid R
HouseRace,NV,District 4,5,3,Toss-Up
HouseRace,OH,District 10,0,0,Solid R
HouseRace,OH,District 11,0,0,Solid D
HouseRace,OH,District 12,0,0,Solid R
HouseRace,OH,District 13,0,0,Solid D
HouseRace,OH,District 14,0,0,Solid R
HouseRace,OH,District 15,1,1,Solid R
HouseRace,OH,District 16,2,2,Lean R
HouseRace,OK,District 1,1,1,Solid R
HouseRace,OK,District 2,0,0,Likely R
HouseRace,OK,District 3,0,0,Solid R
HouseRace,OK,District 4,0,0,Solid R
HouseRace,OK,District 5,0,0,Solid R
HouseRace,OR,District 1,0,0,Solid D
HouseRace,OR,District 2,0,0,Solid R
HouseRace,OR,District 3,0,0,Solid D
HouseRace,OR,District 4,0,0,Solid D
HouseRace,OR,District 5,0,0,Solid D
HouseRace,PA,District 2,0,0,Solid D
HouseRace,PA,District 3,0,0,Solid R
HouseRace,PA,District 4,2,1,Solid R
HouseRace,PA,District 5,0,0,Solid R
HouseRace,PA,District 6,2,2,Likely R
HouseRace,PA,District 7,1,1,Solid R
HouseRace,PA,District 8,0,0,Lean R
HouseRace,PA,District 9,0,0,Solid R
HouseRace,PA,District 10,1,1,Solid R
HouseRace,PA,District 11,0,0,Solid R
HouseRace,PA,District 12,7,6,Toss-Up
HouseRace,PA,District 13,0,0,Solid D
HouseRace,PA,District 14,0,0,Solid D
HouseRace,PA,District 15,0,0,Solid R
HouseRace,PA,District 16,0,0,Solid R
HouseRace,PA,District 17,0,0,Solid D
HouseRace,PA,District 18,0,0,Solid R
HouseRace,RI,District 1,5,3,Toss-Up
HouseRace,RI,District 2,3,1,Solid D
HouseRace,SC,District 1,0,0,Solid R
HouseRace,SC,District 2,0,0,Solid R
HouseRace,SC,District 3,0,0,Solid R
HouseRace,SC,District 4,0,0,Solid R
HouseRace,SC,District 5,0,0,Solid R
HouseRace,SD,District 1,3,0,Likely R
HouseRace,TN,District 1,0,0,Solid R
HouseRace,TN,District 2,0,0,Solid R
HouseRace,TN,District 3,0,0,Solid R
HouseRace,TN,District 4,2,1,Toss-Up
HouseRace,TN,District 5,0,0,Solid D
HouseRace,TN,District 6,0,0,Solid R
HouseRace,TN,District 7,0,0,Solid R
HouseRace,TN,District 8,0,0,Solid R
HouseRace,TN,District 9,0,0,Solid D
HouseRace,TX,District 1,0,0,Solid R
HouseRace,TX,District 2,0,0,Solid R
HouseRace,TX,District 3,0,0,Solid R
HouseRace,TX,District 4,0,0,Solid R
HouseRace,TX,District 5,0,0,Solid R
HouseRace,TX,District 6,0,0,Solid R
HouseRace,TX,District 7,0,0,Solid R
HouseRace,TX,District 8,0,0,Solid R
HouseRace,TX,District 9,0,0,Solid D
HouseRace,TX,District 10,0,0,Solid R
HouseRace,TX,District 11,0,0,Solid R
HouseRace,TX,District 12,0,0,Solid R
HouseRace,TX,District 13,0,0,Solid R
HouseRace,TX,District 14,2,2,Lean R
HouseRace,TX,District 16,0,0,Solid D
HouseRace,TX,District 17,0,0,Solid R
HouseRace,TX,District 18,0,0,Solid D
HouseRace,TX,District 19,0,0,Solid R
HouseRace,TX,District 20,0,0,Solid D
HouseRace,TX,District 21,0,0,Solid R
HouseRace,TX,District 22,0,0,Solid R
HouseRace,TX,District 23,2,2,Toss-Up
HouseRace,TX,District 24,0,0,Solid R
HouseRace,TX,District 25,0,0,Solid R
HouseRace,TX,District 26,0,0,Solid R
HouseRace,SC,District 7,1,0,Solid R
HouseRace,TX,District 27,0,0,Solid R
HouseRace,TX,District 28,0,0,Solid D
HouseRace,TX,District 29,0,0,Solid D
HouseRace,TX,District 30,0,0,Solid D
HouseRace,TX,District 31,0,0,Solid R
HouseRace,TX,District 32,0,0,Solid R
HouseRace,UT,District 1,2,0,Solid R
HouseRace,UT,District 2,1,0,Solid R
HouseRace,UT,District 3,1,0,Solid R
HouseRace,VA,District 1,0,0,Solid R
HouseRace,VA,District 2,3,2,Likely R
HouseRace,VA,District 4,0,0,Solid R
HouseRace,VA,District 5,0,0,Solid R
HouseRace,VA,District 6,0,0,Solid R
HouseRace,VA,District 7,0,0,Solid R
HouseRace,VA,District 8,0,0,Solid D
HouseRace,VA,District 9,0,0,Solid R
HouseRace,VA,District 10,0,0,Solid R
HouseRace,VA,District 11,0,0,Solid D
HouseRace,VT,District 1,0,0,Solid D
HouseRace,WA,District 1,4,0,Lean D
HouseRace,WA,District 2,0,0,Solid D
HouseRace,WA,District 3,0,0,Solid R
HouseRace,WA,District 4,0,0,Solid R
HouseRace,WA,District 5,0,0,Solid R
HouseRace,WA,District 6,1,0,Solid D
HouseRace,WA,District 7,0,0,Solid D
HouseRace,WA,District 8,0,0,Solid R
HouseRace,WA,District 9,0,0,Solid D
HouseRace,WI,District 1,2,2,Solid R
HouseRace,WI,District 2,0,0,Solid D
HouseRace,WI,District 3,0,0,Solid D
HouseRace,WI,District 4,0,0,Solid D
HouseRace,WI,District 6,0,0,Solid R
HouseRace,WI,District 7,3,2,Lean R
HouseRace,WI,District 8,2,2,Likely R
HouseRace,WV,District 1,0,0,Solid R
HouseRace,WV,District 2,0,0,Solid R
HouseRace,WV,District 3,1,1,Likely D
HouseRace,WY,District 1,0,0,Solid R
HouseRace,TX,District 33,0,0,Solid D
HouseRace,TX,District 34,0,0,Solid D
HouseRace,TX,District 35,0,0,Solid D
HouseRace,TX,District 36,0,0,Solid R
HouseRace,UT,District 4,7,4,Lean R
HouseRace,AK,District 1,0,0,Solid R
HouseRace,AZ,District 7,0,0,Solid D
HouseRace,CA,District 24,3,3,Lean D
HouseRace,CA,District 44,2,1,Solid D
HouseRace,CT,District 2,0,0,Solid D
HouseRace,FL,District 21,0,0,Solid D
HouseRace,IA,District 1,0,0,Likely D
HouseRace,IL,District 4,0,0,Solid D
HouseRace,IL,District 16,0,0,Solid R
HouseRace,LA,District 1,0,0,Solid R
HouseRace,MI,District 3,4,3,Likely R
HouseRace,NC,District 9,1,1,Solid R
HouseRace,ND,District 1,5,0,Likely R
HouseRace,NY,District 19,6,4,Toss-Up
HouseRace,NM,District 3,2,0,Solid D
HouseRace,NY,District 22,0,0,Solid R
HouseRace,OH,District 9,0,0,Solid D
HouseRace,PA,District 1,0,0,Solid D
HouseRace,SC,District 6,0,0,Solid D
HouseRace,TX,District 15,0,0,Solid D
HouseRace,VA,District 3,0,0,Solid D
HouseRace,WI,District 5,0,0,Solid R
HouseRace,WA,District 10,0,0,Solid D
SenateRace,MI,Class I,28,0,Likely D
SenateRace,AZ,Class I,17,6,Toss-Up
SenateRace,CA,Class I,14,0,Solid D
SenateRace,CT,Class I,18,2,Toss-Up
SenateRace,FL,Class I,46,0,Lean D
SenateRace,HI,Class I,10,6,Lean D
SenateRace,IN,Class I,16,7,Toss-Up
SenateRace,MA,Class I,29,2,Toss-Up
SenateRace,MD,Class I,4,0,Solid D
SenateRace,ME,Class I,10,3,Toss-Up
SenateRace,MO,Class I,30,6,Likely D
SenateRace,MS,Class I,0,0,Solid R
SenateRace,MT,Class I,12,4,Toss-Up
SenateRace,ND,Class I,12,4,Toss-Up
SenateRace,NE,Class I,9,3,Lean R
SenateRace,NJ,Class I,16,1,Likely D
SenateRace,NM,Class I,18,7,Lean D
SenateRace,NV,Class I,24,5,Toss-Up
SenateRace,NY,Class I,10,0,Solid D
SenateRace,PA,Class I,40,5,Lean D
SenateRace,RI,Class I,3,1,Solid D
SenateRace,TN,Class I,3,0,Solid R
SenateRace,TX,Class I,5,0,Solid R
SenateRace,UT,Class I,3,0,Solid R
SenateRace,VA,Class I,37,4,Toss-Up
SenateRace,VT,Class I,0,0,Solid D
SenateRace,WA,Class I,8,0,Solid D
SenateRace,WI,Class I,35,4,Toss-Up
SenateRace,WV,Class I,1,0,Likely D
SenateRace,WY,Class I,0,0,Solid R
SenateRace,DE,Class I,0,0,Solid D
SenateRace,MN,Class I,11,1,Solid D
SenateRace,OH,Class I,48,2,Lean D
