district,2018
KS-2,R+19.05
KS-3,R+4.75
KS-4,R+29.02
KY-1,R+39.53
KY-2,R+31.76
KY-3,D+18.54
KY-4,R+29.23
KY-5,R+54.43
KY-6,R+10.5
LA-1,R+41.19
LA-2,D+54.08
LA-3,R+35.19
LA-4,R+20.96
LA-5,R+25.89
LA-6,R+32.42
MA-1,D+27.23
MA-2,D+22.96
MA-3,D+23.9
MA-4,D+24.96
MA-5,D+43.3
MA-6,D+19.06
MA-7,D+73.96
MA-8,D+26.53
MA-9,D+14.8
MD-1,R+30.39
MD-2,D+21.88
MD-3,D+24.44
MD-4,D+53.68
MD-5,D+28.81
MD-6,D+10.44
MD-7,D+51.28
MD-8,D+27.84
ME-1,D+14.87
ME-2,R+6.13
MI-1,R+18.64
MI-10,R+27.01
MI-11,R+6.41
MI-12,D+26.99
MI-13,D+62.42
MI-14,D+59.72
MI-2,R+17.71
MI-3,R+10.38
MI-4,R+20.88
MI-5,D+8.59
MI-6,R+7.74
MI-7,R+14.04
MI-8,R+7.18
MI-9,D+8.62
MN-1,R+10.99
MN-2,R+2.29
MN-3,D+5.01
MN-4,D+28.08
MN-5,D+51.78
MN-6,R+23.65
MN-7,R+25.32
MN-8,R+10.09
MO-1,D+55.63
MO-2,R+15.61
MO-3,R+38.14
MO-4,R+35.77
MO-5,D+11.99
MO-6,R+31.81
MO-7,R+46.41
MO-8,R+51.07
MS-1,R+29.99
MS-2,D+30.44
MS-3,R+22.99
MS-4,R+39.29
MT-1,R+17.95
NC-1,D+35
NC-10,R+24.4
NC-11,R+28.26
NC-12,D+36.87
NC-13,R+10.5
NC-2,R+12.7
NC-3,R+23.66
NC-4,D+34.8
NC-5,R+18.43
NC-6,R+16
NC-7,R+18
NC-8,R+15.4
NC-9,R+13.56
ND-1,R+33.68
NE-1,R+19.83
NE-2,R+3.9
NE-3,R+50.8
NH-1,R+4.37
NH-2,D+1
NJ-1,D+24.81
NJ-10,D+71.78
NJ-11,R+4.49
NJ-12,D+31.54
NJ-2,R+2.32
NJ-3,R+4.56
NJ-4,R+14.99
NJ-5,R+3.69
NJ-6,D+16.44
NJ-7,R+3.29
NJ-8,D+53.34
NJ-9,D+31.38
NM-1,D+14.53
NM-2,R+10.77
NM-3,D+14.63
NV-1,D+25.27
NV-2,R+16.03
NV-3,R+5.53
NV-4,D+1.7
NY-1,R+10.44
NY-10,D+53.46
NY-11,R+7.51
NY-12,D+62.59
NY-13,D+85.52
NY-14,D+56.99
NY-15,D+88.09
NY-16,D+48.72
NY-17,D+16.16
NY-18,R+2.24
NY-19,R+4.88
NY-2,R+7.01
NY-20,D+13.39
NY-21,R+9.64
NY-22,R+12.88
NY-23,R+12.68
NY-24,D+5.29
NY-25,D+14.99
NY-26,D+20.52
NY-27,R+22.88
NY-3,D+2.52
NY-4,D+8.49
NY-5,D+73.42
NY-6,D+31.86
NY-7,D+74.62
NY-8,D+71.39
NY-9,D+67.49
OH-1,R+9.42
OH-10,R+8.48
OH-11,D+61.42
OH-12,R+14.02
OH-13,D+10.52
OH-14,R+11.75
OH-15,R+15.12
OH-16,R+16.85
OH-2,R+17.38
OH-3,D+36.22
OH-4,R+30.05
OH-5,R+22.98
OH-6,R+35.55
OH-7,R+25.95
OH-8,R+34.48
OH-9,D+24.05
OK-1,R+28.1
OK-2,R+43.7
OK-3,R+49.5
OK-4,R+34.76
OK-5,R+13.5
OR-1,D+18.35
OR-2,R+21.45
OR-3,D+45.28
OR-4,R+0.32
OR-5,D+1.32
PA-1,R+0.68
PA-10,R+10.68
PA-11,R+27.24
PA-12,R+35.04
PA-13,R+44.51
PA-14,R+27.78
PA-15,R+40.38
PA-16,R+17.48
PA-17,R+5.78
PA-18,D+25.22
PA-2,D+47.99
PA-3,D+81.42
PA-4,D+14.76
PA-5,D+25.49
PA-6,D+4.72
PA-7,D+0.52
PA-8,R+4.98
PA-9,R+30.54
RI-1,D+34.62
RI-2,D+18.12
SC-1,R+18.95
SC-2,R+22.55
SC-3,R+39.72
SC-4,R+29.99
SC-5,R+20.35
SC-6,D+34.41
SC-7,R+20.15
SD-1,R+30.6
TN-1,R+57.66
TN-2,R+39.72
TN-3,R+36.86
TN-4,R+42.19
TN-5,D+12.68
TN-6,R+49.79
TN-7,R+41.12
TN-8,R+38.79
TN-9,D+53.64
TX-1,R+51.65
TX-10,R+18.51
TX-11,R+64.68
TX-12,R+37.51
TX-13,R+68.25
TX-14,R+25.48
TX-15,D+10.75
TX-16,D+31.35
TX-17,R+24.91
TX-18,D+49.75
TX-19,R+54.55
TX-2,R+20.98
TX-20,D+18.52
TX-21,R+19.65
TX-22,R+19.41
TX-23,R+4.28
TX-24,R+17.28
TX-25,R+22.98
TX-26,R+35.65
TX-27,R+28.85
TX-28,D+14.72
TX-29,D+35.75
TX-3,R+25.18
TX-30,D+54.85
TX-31,R+21.25
TX-32,R+9.58
TX-33,D+42.09
TX-34,D+16.15
TX-35,D+26.19
TX-36,R+52.71
TX-4,R+57.81
TX-5,R+34.65
TX-6,R+19.58
TX-7,R+11.85
TX-8,R+56.65
TX-9,D+54.15
UT-1,R+40.52
UT-2,R+25.58
UT-3,R+38.85
UT-4,R+20.12
VA-1,R+16.99
VA-10,D+1.55
VA-11,D+30.25
VA-2,R+7.79
VA-3,D+28.48
VA-4,D+16.91
VA-5,R+14.35
VA-6,R+27.72
VA-7,R+12.59
VA-8,D+42.58
VA-9,R+41.82
VT-1,D+24.2
WA-1,D+10.67
WA-10,D+8.87
WA-2,D+18.01
WA-3,R+9.29
WA-4,R+26.26
WA-5,R+15.79
WA-6,D+9.37
WA-7,D+63.17
WA-8,R+1.26
WA-9,D+40.57
WI-1,R+11.49
WI-2,D+33.91
WI-3,R+2.56
WI-4,D+48.74
WI-5,R+24.49
WI-6,R+16.93
WI-7,R+17.86
WI-8,R+16.19
WV-1,R+30.43
WV-2,R+25.39
WV-3,R+37.33
WY-1,R+48.35
