"In general, how worried are you about earthquakes?","How worried are you about the Big One, a massive, catastrophic earthquake?","Do you think the ""Big One"" will occur in your lifetime?",Have you ever experienced an earthquake?,"Have you or anyone in your household taken any precautions for an earthquake (packed an earthquake survival kit, prepared an evacuation plan, etc.)?",How familiar are you with the San Andreas Fault line?,How familiar are you with the Yellowstone Supervolcano?,Age,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,30 - 44,Male,"$25,000 to $49,999",Pacific
Very worried,Very worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,Prefer not to answer,Pacific
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,45 - 59,Male,"$75,000 to $99,999",Pacific
Not so worried,Somewhat worried,Yes,No,Yes,Somewhat familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
Somewhat worried,Very worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,Pacific
Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
Very worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
Somewhat worried,Somewhat worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,Pacific
Somewhat worried,Somewhat worried,Yes,No,Yes,Somewhat familiar,Very familiar,45 - 59,Male,Prefer not to answer,Pacific
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",South Atlantic
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",Pacific
Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Very familiar,18 - 29,Male,"$0 to $9,999",West North Central
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$0 to $9,999",West North Central
Not at all worried,Not at all worried,No,No,No,Very familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",West North Central
Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not so familiar,Somewhat familiar,30 - 44,Male,"$10,000 to $24,999",East South Central
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,18 - 29,Male,"$100,000 to $124,999",Pacific
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,Prefer not to answer,Pacific
Extremely worried,Extremely worried,Yes,No,Yes,Very familiar,Extremely familiar,30 - 44,Male,"$10,000 to $24,999",Middle Atlantic
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$200,000 and up",Pacific
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",
Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,Prefer not to answer,West South Central
Not so worried,Not so worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,Prefer not to answer,South Atlantic
Somewhat worried,Somewhat worried,No,No,Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",
Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$200,000 and up",Pacific
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Very familiar,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,45 - 59,Male,Prefer not to answer,East North Central
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,Prefer not to answer,South Atlantic
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
Somewhat worried,Extremely worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,30 - 44,Male,"$0 to $9,999",Pacific
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,30 - 44,Male,"$0 to $9,999",East North Central
Somewhat worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",West South Central
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",East South Central
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",Mountain
Very worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",West North Central
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Male,Prefer not to answer,Middle Atlantic
Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Not so familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
Not so worried,Somewhat worried,Yes,No,No,Very familiar,Very familiar,30 - 44,Male,"$10,000 to $24,999",Middle Atlantic
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",West South Central
Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$100,000 to $124,999",South Atlantic
Not so worried,Not so worried,Yes,No,No,Not so familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",East North Central
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$25,000 to $49,999",East South Central
Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Very familiar,45 - 59,Male,"$10,000 to $24,999",East North Central
Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",Pacific
Somewhat worried,Somewhat worried,No,No,Yes,Not so familiar,Somewhat familiar,45 - 59,Male,"$150,000 to $174,999",Pacific
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Male,"$50,000 to $74,999",West North Central
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Male,"$75,000 to $99,999",Mountain
Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,30 - 44,Male,"$25,000 to $49,999",South Atlantic
Extremely worried,Extremely worried,Yes,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,Prefer not to answer,East North Central
Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Extremely familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",East South Central
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Male,"$200,000 and up",Pacific
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",West South Central
Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Male,"$25,000 to $49,999",Pacific
Very worried,Very worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$75,000 to $99,999",Pacific
Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$50,000 to $74,999",Mountain
Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$100,000 to $124,999",East North Central
Not at all worried,Not at all worried,No,No,Yes,Very familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",West South Central
Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",East North Central
Not so worried,Not so worried,Yes,No,No,Not so familiar,Not so familiar,18 - 29,Male,"$0 to $9,999",South Atlantic
Not at all worried,Not at all worried,No,No,Yes,Very familiar,Not so familiar,30 - 44,Male,"$0 to $9,999",South Atlantic
Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,West South Central
Not at all worried,Not at all worried,No,No,No,Very familiar,Not at all familiar,60,Male,"$0 to $9,999",Mountain
Not so worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Very familiar,60,Male,"$25,000 to $49,999",Pacific
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,"$25,000 to $49,999",Middle Atlantic
Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$50,000 to $74,999",Mountain
Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Male,"$25,000 to $49,999",Mountain
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not so familiar,60,Male,"$75,000 to $99,999",Mountain
Not at all worried,Not so worried,No,No,No,Very familiar,Very familiar,60,Male,"$50,000 to $74,999",West North Central
Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Male,"$0 to $9,999",West South Central
Somewhat worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,60,Male,"$75,000 to $99,999",Pacific
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$75,000 to $99,999",
Somewhat worried,Somewhat worried,No,No,No,Extremely familiar,Extremely familiar,45 - 59,Male,"$75,000 to $99,999",West North Central
Very worried,Very worried,Yes,"Yes, one or more major ones",No,Not so familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Male,"$75,000 to $99,999",Middle Atlantic
Very worried,Very worried,Yes,"Yes, one or more major ones",No,Very familiar,Very familiar,60,Male,"$100,000 to $124,999",Pacific
Not at all worried,Not so worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",West North Central
Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Extremely familiar,60,Male,"$200,000 and up",Mountain
Not so worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$25,000 to $49,999",South Atlantic
Not so worried,Somewhat worried,Yes,No,No,Very familiar,Very familiar,45 - 59,Male,"$200,000 and up",East South Central
Not at all worried,Not at all worried,No,,,,,,,,
Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Male,"$0 to $9,999",Middle Atlantic
Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,Prefer not to answer,Middle Atlantic
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,60,Male,"$200,000 and up",East North Central
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Very familiar,Not so familiar,60,Male,Prefer not to answer,Mountain
Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,45 - 59,Male,"$125,000 to $149,999",Pacific
Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$10,000 to $24,999",East North Central
Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Extremely familiar,18 - 29,Male,"$10,000 to $24,999",West South Central
Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",South Atlantic
Very worried,Somewhat worried,No,"Yes, one or more minor ones",No,,,,,,
Not so worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$75,000 to $99,999",West South Central
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Male,"$50,000 to $74,999",Pacific
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,18 - 29,Male,"$75,000 to $99,999",South Atlantic
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",Mountain
Not at all worried,Somewhat worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$125,000 to $149,999",West South Central
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
Extremely worried,Very worried,Yes,No,No,Not at all familiar,Extremely familiar,18 - 29,Male,"$0 to $9,999",West South Central
Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,30 - 44,Male,Prefer not to answer,Pacific
Not so worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Not so familiar,45 - 59,Male,"$200,000 and up",Middle Atlantic
Somewhat worried,Somewhat worried,Yes,No,Yes,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",Pacific
Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$10,000 to $24,999",West South Central
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Male,Prefer not to answer,New England
Very worried,Extremely worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,30 - 44,Male,"$10,000 to $24,999",
Somewhat worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,Pacific
Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",South Atlantic
Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Male,Prefer not to answer,Mountain
Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Male,"$125,000 to $149,999",West North Central
Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,30 - 44,Male,"$125,000 to $149,999",South Atlantic
Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,30 - 44,Male,Prefer not to answer,
Somewhat worried,Not so worried,Yes,No,No,Not at all familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,
Not at all worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Not so familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",Pacific
Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Male,"$50,000 to $74,999",East South Central
Not so worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Male,"$50,000 to $74,999",South Atlantic
Very worried,Very worried,No,"Yes, one or more major ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$200,000 and up",Pacific
Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,Prefer not to answer,West South Central
Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",East North Central
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,"$75,000 to $99,999",Middle Atlantic
Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,Prefer not to answer,Middle Atlantic
Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
Not so worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,60,Female,"$125,000 to $149,999",Middle Atlantic
Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,30 - 44,Male,"$75,000 to $99,999",New England
Not so worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$200,000 and up",East North Central
Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,Prefer not to answer,South Atlantic
Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Male,Prefer not to answer,West North Central
