MMSA,total_percent_at_risk,high_risk_per_ICU_bed,high_risk_per_hospital,icu_beds,hospitals,total_at_risk
"Fort Worth-Arlington, TX, Metropolitan Division",58.76%,2180.375795,37367.13,497,29,1083646.77
"Warren-Troy-Farmington Hills, MI, Metropolitan Division",61.20%,2165.925455,56314.06182,572,22,1238909.36
"Hartford-West Hartford-East Hartford, CT",57.26%,2150.121289,55043.105,256,10,550431.05
"Providence-Warwick, RI-MA",60.98%,2110.081467,56520.03929,375,14,791280.55
"Camden, NJ, Metropolitan Division",63.56%,2109.945288,77804.2325,295,8,622433.86
"Burlington-South Burlington, VT",54.84%,2104.114565,48394.635,46,2,96789.27
"Sioux Falls, SD",58.02%,2084.996111,16084.25571,54,7,112589.79
"Atlanta-Sandy Springs-Roswell, GA",55.19%,2059.592863,64931.375,1198,38,2467392.25
"South Bend-Mishawaka, IN-MI",61.57%,2058.605,38084.1925,74,4,152336.77
"Anchorage, AK",58.80%,2055.441034,44705.8425,87,4,178823.37
"Phoenix-Mesa-Scottsdale, AZ",57.75%,2043.376384,55171.16237,1026,38,2096504.17
"Aberdeen, SD",61.13%,2031.057,6770.19,10,3,20310.57
"Dallas-Plano-Irving, TX, Metropolitan Division",52.49%,2027.770063,38324.8542,945,50,1916242.71
"Hagerstown-Martinsburg, MD-WV",66.46%,2022.890441,68778.275,68,2,137556.55
"St. Cloud, MN",54.67%,2022.670976,20732.3775,41,4,82929.51
"Claremont-Lebanon, NH-VT",63.34%,2016.79875,12548.97,56,9,112940.73
"Boise City, ID",55.40%,2013.776027,42001.61429,146,7,294011.3
"Buffalo-Cheektowaga-Niagara Falls, NY",65.12%,2000.767381,65358.40111,294,9,588225.61
"Billings, MT",60.09%,1942.979024,26554.04667,41,3,79662.14
"Minot, ND",61.17%,1940.797368,18437.575,19,2,36875.15
"Austin-Round Rock, TX",51.27%,1937.338662,39300.29857,426,21,825306.27
"Los Angeles-Long Beach-Anaheim, CA",51.13%,1924.917328,53454.9542,2777,100,5345495.42
"Sacramento--Roseville--Arden-Arcade, CA",54.51%,1923.676063,65148.496,508,15,977227.44
"Memphis, TN-MS-AR",62.33%,1920.567866,52495.52167,328,12,629946.26
"Cincinnati, OH-KY-IN",62.75%,1919.68433,55064.62947,545,19,1046227.96
"Corpus Christi, TX",61.89%,1868.164174,53709.72,115,4,214838.88
"Baltimore-Columbia-Towson, MD",61.84%,1865.840219,59139.02261,729,23,1360197.52
"Omaha-Council Bluffs, NE-IA",58.80%,1832.191563,27360.72733,224,15,410410.91
"Rapid City, SD",65.61%,1817.71878,14905.294,41,5,74526.47
"Pensacola-Ferry Pass-Brent, FL",62.98%,1810.896176,41046.98,136,6,246281.88
"Denver-Aurora-Lakewood, CO",53.58%,1750.519638,60392.9275,690,20,1207858.55
"Miami-Fort Lauderdale-West Palm Beach, FL",55.77%,1738.823877,63932.10581,1581,43,2749080.55
"Dayton, OH",62.63%,1735.071991,56018.03857,226,7,392126.27
"Columbus, OH",59.99%,1734.587336,52808.54778,548,18,950553.86
"Tampa-St. Petersburg-Clearwater, FL",63.54%,1717.404843,60835.76385,921,26,1581729.86
"Charleston-North Charleston, SC",61.97%,1713.245747,63104.55167,221,6,378627.31
"Port St. Lucie, FL",63.70%,1712.978951,81651.99667,143,3,244955.99
"Orlando-Kissimmee-Sanford, FL",55.92%,1694.240231,91771.34583,650,12,1101256.15
"Allentown-Bethlehem-Easton, PA-NJ",60.18%,1666.819708,36366.97545,240,11,400036.73
"Little Rock-North Little Rock-Conway, AR",73.48%,1664.52612,37830.13909,250,11,416131.53
"Nassau County-Suffolk County, NY, Metropolitan Division",54.88%,1664.47748,61752.1145,742,20,1235042.29
"Oklahoma City, OK",62.22%,1661.77368,25182.26269,394,26,654738.83
"Crestview-Fort Walton Beach-Destin, FL",65.45%,1638.910824,27861.484,85,5,139307.42
"Pittsburgh, PA",65.74%,1629.838558,46058.03037,763,27,1243566.82
"Kingsport-Bristol-Bristol, TN-VA",80.73%,1624.14,39953.844,123,5,199769.22
"Philadelphia, PA, Metropolitan Division",61.32%,1622.193615,53617.76789,628,19,1018737.59
"Salina, KS",62.98%,1618.733889,9712.403333,18,3,29137.21
"Boston, MA, Metropolitan Division",55.19%,1614.752369,52526.94471,553,17,892958.06
"El Paso, TX",52.32%,1586.418128,35782.54222,203,9,322042.88
"Jacksonville, FL",65.10%,1578.970678,64079.89333,487,12,768958.72
"Richmond, VA",60.29%,1572.474522,60854.764,387,10,608547.64
"San Antonio-New Braunfels, TX",56.62%,1558.322415,58783.38444,679,18,1058100.92
"Salt Lake City, UT",51.14%,1556.712483,40474.52455,286,11,445219.77
"Chicago-Naperville-Elgin, IL-IN-WI",56.02%,1548.761447,45614.71214,2474,84,3831635.82
"St. Louis, MO-IL",61.91%,1493.132605,38650.804,906,35,1352778.14
"Knoxville, TN",67.61%,1490.921329,47113.114,316,10,471131.14
"Huntington-Ashland, WV-KY-OH",72.66%,1484.641304,40976.1,138,5,204880.5
"Louisville/Jefferson County, KY-IN",63.04%,1480.792787,52691.54333,427,12,632298.52
"Indianapolis-Carmel-Anderson, IN",62.39%,1469.136169,36728.40423,650,26,954938.51
"Columbia, SC",62.66%,1468.166739,67535.67,276,6,405214.02
"Grand Forks, ND-MN",54.83%,1429.04871,11075.1275,31,4,44300.51
"Milwaukee-Waukesha-West Allis, WI",58.69%,1411.037416,44359.48875,503,16,709751.82
"Panama City, FL",66.84%,1390.313636,35684.71667,77,3,107054.15
"Tuscaloosa, AL",62.40%,1370.504318,40201.46,88,3,120604.38
"New Orleans-Metairie, LA",66.27%,1347.585845,34824.45526,491,19,661664.65
"Cleveland-Elyria, OH",66.87%,1340.427345,46973.23652,806,23,1080384.44
"Provo-Orem, UT",38.92%,1318.728361,26814.14333,122,6,160884.86
"Kansas City, MO-KS",59.01%,1309.019106,28838.08758,727,33,951656.89
"Lincoln, NE",53.81%,1274.84037,27536.552,108,5,137682.76
"Tulsa, OK",65.09%,1253.763299,21313.97609,391,23,490221.45
"Fort Wayne, IN",65.98%,1212.837345,26834.02625,177,8,214672.21
"Wichita, KS",62.52%,1165.437984,25056.91667,258,12,300683
"Toledo, OH",64.20%,1123.504366,33455.46333,268,9,301099.17
"Birmingham-Hoover, AL",66.48%,1109.572514,42243.01071,533,14,591402.15
"Jackson, MS",59.79%,1082.387778,18787.15929,243,14,263020.23
"Lansing-East Lansing, MI",61.69%,1060.187421,46860.284,221,5,234301.42
"Nashville-Davidson--Murfreesboro--Franklin, TN",61.09%,1056.271281,35955.4744,851,25,898886.86
"Florence, SC",72.31%,1040.463182,22890.19,110,5,114450.95
"Augusta-Richmond County, GA-SC",65.67%,1016.301672,43410.6,299,7,303874.2
"North Platte, NE",64.19%,944.2910526,17941.53,19,1,17941.53
"Lexington-Fayette, KY",63.39%,915.7096043,31820.90875,278,8,254567.27
"Scottsbluff, NE",68.20%,899.2759091,19784.07,22,1,19784.07
"Evansville, IN-KY",69.07%,893.5168947,33953.642,190,5,169768.21
"Fargo, ND-MN",51.26%,870.3837838,48306.3,111,2,96612.6
"Bismarck, ND",60.22%,864.1463889,20739.51333,72,3,62218.54
"Charleston, WV",75.97%,831.6897436,25948.72,156,5,129743.6
"Duluth, MN-WI",60.34%,730.5231351,12286.07091,185,11,135146.78
"Reno, NV",57.86%,638.8247432,42290.198,331,5,211450.99
"Gainesville, FL",56.38%,621.4499524,65252.245,210,2,130504.49
"Rochester, MN",54.72%,413.6677064,22544.89,218,4,90179.56
