date,location,city,state,lat,lng
10/22/2016,"Gettysburg, PA",Gettysburg,PA,39.8309293,-77.2310955
10/22/2016,"Virginia Beach, VA",Virginia Beach,VA,36.8529263,-75.977985
10/22/2016,"Cleveland, OH",Cleveland,OH,41.49932,-81.6943605
10/23/2016,"Naples, FL",Naples,FL,26.1420358,-81.7948103
10/24/2016,"St. Augustine, FL",St. Augustine,FL,29.9012437,-81.3124341
10/24/2016,"Tampa, FL",Tampa,FL,27.950575,-82.4571776
10/25/2016,"Sanford, FL",Sanford,FL,28.8028612,-81.269453
10/25/2016,"Tallahassee, FL",Tallahassee,FL,30.4382559,-84.2807329
10/26/2016,"Kinston, NC",Kinston,NC,35.2626635,-77.5816353
10/27/2016,"Springfield, OH",Springfield,OH,39.9242266,-83.8088171
10/27/2016,"Toledo, OH",Toledo,OH,41.6639383,-83.555212
10/27/2016,"Geneva, OH",Geneva,OH,41.8050539,-80.9481489
10/28/2016,"Manchester, NH",Manchester,NH,42.9956397,-71.4547891
10/28/2016,"Lisbon, ME",Lisbon,ME,44.0316013,-70.1043704
10/28/2016,"Cedar Rapids, IA",Cedar Rapids,IA,41.9778795,-91.6656232
10/29/2016,"Golden, CO",Golden,CO,39.755543,-105.2210997
10/29/2016,"Pheonix, AZ",Pheonix,AZ,33.4483771,-112.0740373
10/30/2016,"Las Vegas, NV",Las Vegas,NV,36.1699412,-115.1398296
10/30/2016,"Greeley, CO",Greeley,CO,40.4233142,-104.7091322
10/30/2016,"Albuquerque, NM",Albuquerque,NM,35.0853336,-106.6055534
10/31/2016,"Grand Rapids, MI",Grand Rapids,MI,42.9633599,-85.6680863
10/31/2016,"Warren, MI",Warren,MI,42.5144566,-83.0146526
11/1/2016,"Valley Forge, PA",Valley Forge,PA,40.0989851,-75.4690966
11/1/2016,"Eau Claire, WI",Eau Claire,WI,44.811349,-91.4984941
11/2/2016,"Miami, FL",Miami,FL,25.7616798,-80.1917902
11/2/2016,"Orlando, FL",Orlando,FL,28.5383355,-81.3792365
11/2/2016,"Pensacola, FL",Pensacola,FL,30.421309,-87.2169149
11/3/2016,"Jacksonville, FL",Jacksonville,FL,30.3321838,-81.655651
11/3/2016,"Concord, NC",Concord,NC,35.4087517,-80.579511
11/3/2016,"Selma, NC",Selma,NC,35.5365485,-78.2844435
11/4/2016,"Atkinson, NH",Atkinson,NH,42.8384221,-71.1470037
11/4/2016,"Wilmington, OH",Wilmington,OH,39.4453393,-83.8285375
11/4/2016,"Hershey, PA",Hershey,PA,40.2859239,-76.6502468
11/5/2016,"Tampa, FL",Tampa,FL,27.950575,-82.4571776
11/5/2016,"Wilmington, NC",Wilmington,NC,34.2257255,-77.9447102
11/5/2016,"Reno, NV",Reno,NV,39.5296329,-119.8138027
11/5/2016,"Denver, CO",Denver,CO,39.7392358,-104.990251
11/6/2016,"Sioux City, IA",Sioux City,IA,42.4999942,-96.4003069
11/6/2016,"Minneapolis, MN",Minneapolis,MN,44.977753,-93.2650108
11/6/2016,"Sterling Heights, MI",Sterling Heights,MI,42.5803122,-83.0302033
11/6/2016,"Moon Township, PA",Moon Township,PA,40.5169767,-80.2213477
11/6/2016,"Leesburg, VA",Leesburg,VA,39.1156615,-77.5636015
11/7/2016,"Sarasota, FL",Sarasota,FL,27.3364347,-82.5306527
11/7/2016,"Raleigh, NC",Raleigh,NC,35.7795897,-78.6381787
11/7/2016,"Scaranton, PA",Scaranton,PA,41.408969,-75.6624122
11/7/2016,"Manchester, NH",Manchester,NH,42.9956397,-71.4547891
11/7/2016,"Grand Rapids, MI",Grand Rapids,MI,42.9633599,-85.6680863
11/8/2016,"New York, NY",New York,NY,40.7127837,-74.0059413
