stcd,state,cd,pvi_22,urbanindex,rural,exurban,suburban,urban,grouping
CO-01,CO,1,55.18893,12.90034,0.00000,0.00000,11.05843,88.94157,Urban-Suburban
CA-17,CA,17,45.65845,12.89651,0.00000,0.00000,15.23174,84.76826,Urban-Suburban
MN-05,MN,5,57.10334,12.88577,0.00000,0.00000,1.84084,98.15916,Urban-Suburban
CA-32,CA,32,38.44398,12.87710,1.78239,3.24591,6.06115,88.91055,Urban-Suburban
CA-52,CA,52,36.34772,12.86991,0.00000,0.60785,15.86554,83.52662,Urban-Suburban
FL-27,FL,27,0.78253,12.86377,1.12720,0.81695,10.64414,87.41171,Urban-Suburban
WA-07,WA,7,69.83062,12.81346,1.42936,0.00000,11.75283,86.81780,Urban-Suburban
WI-04,WI,4,47.87550,12.77521,0.00000,0.59588,11.72757,87.67655,Urban-Suburban
CA-51,CA,51,22.25315,12.76409,0.00000,0.00000,19.63418,80.36581,Urban-Suburban
TX-32,TX,32,24.14067,12.76321,0.00000,0.00000,6.55905,93.44095,Urban-Suburban
CA-47,CA,47,6.14719,12.75985,0.00000,0.00000,10.67807,89.32193,Urban-Suburban
MA-05,MA,5,49.78761,12.75613,0.00000,4.54176,27.50935,67.94890,Urban-Suburban
CA-15,CA,15,54.16849,12.74003,0.00000,0.00000,33.31747,66.68253,Urban-Suburban
PA-05,PA,5,27.67340,12.70543,0.00000,1.99209,39.26854,58.73938,Urban-Suburban
CA-16,CA,16,49.61195,12.69778,2.59003,3.58978,8.29784,85.52235,Urban-Suburban
MD-08,MD,8,52.81252,12.69373,0.00000,3.56165,18.40958,78.02878,Urban-Suburban
CA-35,CA,35,26.44165,12.69247,0.00000,0.00000,19.94279,80.05721,Urban-Suburban
AZ-03,AZ,3,44.24546,12.67575,0.00000,0.57878,25.95139,73.46983,Urban-Suburban
MD-04,MD,4,74.89958,12.67143,0.00000,3.20837,25.96790,70.82374,Urban-Suburban
MI-12,MI,12,43.94941,12.66166,0.00000,0.00000,13.13971,86.86029,Urban-Suburban
TX-09,TX,9,49.13077,12.64574,0.00000,0.72506,31.30436,67.97058,Urban-Suburban
TX-18,TX,18,42.67667,12.60620,0.00000,0.51893,20.00699,79.47408,Urban-Suburban
FL-25,FL,25,17.92336,12.59246,0.00000,4.54294,20.29853,75.15853,Urban-Suburban
NV-01,NV,1,4.06932,12.57916,1.98704,4.40533,19.10526,74.50238,Urban-Suburban
AZ-04,AZ,4,1.52573,12.56294,0.00000,2.66154,18.40685,78.93161,Urban-Suburban
CA-06,CA,6,14.17135,12.55663,0.22733,2.90858,20.91764,75.94645,Urban-Suburban
CO-06,CO,6,16.71140,12.55418,0.24937,2.69471,24.02318,73.03275,Urban-Suburban
FL-23,FL,23,8.76903,12.53913,0.00000,0.00000,32.95565,67.04435,Urban-Suburban
TX-20,TX,20,26.45514,12.52761,0.00000,0.73043,28.96303,70.30654,Urban-Suburban
CA-40,CA,40,-3.84595,12.52466,0.20893,1.43567,33.90416,64.45125,Urban-Suburban
FL-20,FL,20,49.11082,12.52127,4.72279,0.92415,22.85421,71.49884,Urban-Suburban
IL-06,IL,6,6.17715,12.51739,0.00000,0.00000,38.37469,61.62531,Urban-Suburban
OH-03,OH,3,38.02023,12.51553,0.00000,2.10628,28.73309,69.16063,Urban-Suburban
CA-33,CA,33,23.12529,12.51408,0.00000,0.50863,31.11848,68.37289,Urban-Suburban
NV-03,NV,3,1.81552,12.51288,1.89815,2.14212,19.93534,76.02438,Urban-Suburban
GA-05,GA,5,59.93836,12.50446,0.00000,0.00000,37.83991,62.16009,Urban-Suburban
NJ-05,NJ,5,5.08421,12.50314,7.26614,11.51854,18.28944,62.92589,Urban-Suburban
MI-13,MI,13,45.90091,12.49860,0.00000,1.57627,34.99855,63.42517,Dense Suburban
NY-03,NY,3,4.02841,12.46215,0.00000,6.26129,53.23827,40.50043,Dense Suburban
TX-29,TX,29,34.99397,12.45498,0.00000,0.00000,34.91613,65.08386,Dense Suburban
TX-24,TX,24,-22.76236,12.45018,0.00000,0.00000,41.45675,58.54325,Dense Suburban
WA-09,WA,9,40.20969,12.43778,0.00000,0.00000,54.51665,45.48335,Dense Suburban
TX-37,TX,37,43.84511,12.43119,0.00000,3.58959,33.87406,62.53635,Dense Suburban
MA-08,MA,8,34.04748,12.42628,0.45580,6.63876,55.05499,37.85045,Dense Suburban
TX-38,TX,38,-27.06739,12.42589,0.00000,4.46802,31.08723,64.44476,Dense Suburban
TX-33,TX,33,43.77961,12.42466,0.00000,0.00000,54.33693,45.66307,Dense Suburban
OH-11,OH,11,54.52506,12.42390,0.00000,1.35547,37.30323,61.34130,Dense Suburban
VA-11,VA,11,32.06655,12.42183,0.00000,0.56497,54.15883,45.27620,Dense Suburban
MI-10,MI,10,-5.41146,12.41793,0.00000,1.09897,40.76994,58.13109,Dense Suburban
FL-10,FL,10,28.96999,12.39927,0.00000,3.18617,31.20566,65.60817,Dense Suburban
IL-01,IL,1,40.64404,12.39519,5.06601,16.42085,17.50636,61.00677,Dense Suburban
CA-50,CA,50,27.54005,12.38566,0.00000,0.32986,64.96494,34.70519,Dense Suburban
CA-07,CA,7,33.90592,12.37742,2.99271,5.42924,24.05268,67.52537,Dense Suburban
MO-01,MO,1,52.21677,12.36600,0.00000,2.02042,47.53374,50.44584,Dense Suburban
FL-26,FL,26,-13.64884,12.35861,6.99775,12.38540,11.24655,69.37031,Dense Suburban
CA-14,CA,14,41.98809,12.35435,2.01143,5.63854,26.31208,66.03796,Dense Suburban
NJ-11,NJ,11,9.16848,12.35098,1.32294,9.25834,48.49162,40.92710,Dense Suburban
FL-22,FL,22,13.65026,12.34584,0.00000,2.02719,51.60062,46.37218,Dense Suburban
AZ-08,AZ,8,-21.47008,12.33945,1.87200,11.00029,27.35460,59.77311,Dense Suburban
NJ-06,NJ,6,13.55227,12.33669,0.00000,4.72309,35.81586,59.46105,Dense Suburban
NY-26,NY,26,17.85608,12.32544,0.00000,11.69917,32.81654,55.48429,Dense Suburban
MN-04,MN,4,32.08878,12.31958,0.00000,9.97972,34.21316,55.80713,Dense Suburban
HI-01,HI,1,31.93864,12.29852,0.00000,5.28972,50.25579,44.45449,Dense Suburban
NJ-01,NJ,1,18.32284,12.28513,0.79596,9.56046,48.89464,40.74893,Dense Suburban
OR-03,OR,3,43.03346,12.27807,8.27027,4.88954,19.16468,67.67551,Dense Suburban
TX-30,TX,30,50.44007,12.26940,0.88498,5.47303,51.24867,42.39331,Dense Suburban
CA-39,CA,39,23.33049,12.26121,0.00000,0.88988,68.61337,30.49675,Dense Suburban
IL-08,IL,8,11.69418,12.23660,0.00000,3.34598,53.56768,43.08634,Dense Suburban
IN-07,IN,7,36.96051,12.22910,0.00000,0.48390,76.21677,23.29933,Dense Suburban
NY-02,NY,2,-5.97439,12.21863,0.95544,12.14082,48.62577,38.27797,Dense Suburban
WA-01,WA,1,24.77612,12.20153,0.00000,17.62034,29.42854,52.95112,Dense Suburban
MI-11,MI,11,14.85378,12.18432,0.00000,5.86185,66.78481,27.35335,Dense Suburban
FL-13,FL,13,-12.21101,12.18172,0.00000,3.51487,73.54133,22.94380,Dense Suburban
GA-07,GA,7,16.06356,12.16479,0.00000,4.54574,76.50246,18.95181,Dense Suburban
FL-14,FL,14,13.94249,12.15817,0.00000,7.67331,60.67054,31.65615,Dense Suburban
PA-12,PA,12,15.14610,12.14250,0.00000,20.96462,33.22868,45.80669,Dense Suburban
GA-04,GA,4,50.03119,12.11052,0.00000,21.50045,36.88387,41.61568,Dense Suburban
AZ-05,AZ,5,-23.84388,12.09759,0.00000,11.05679,58.84391,30.09930,Dense Suburban
KY-03,KY,3,20.46741,12.09429,0.54462,5.89374,74.40800,19.15364,Dense Suburban
NV-04,NV,4,5.33205,12.07472,11.56668,3.12470,18.72504,66.58357,Dense Suburban
AZ-01,AZ,1,-6.45128,12.05529,3.81834,15.58510,36.36088,44.23569,Dense Suburban
VA-03,VA,3,31.38142,12.04100,0.00000,8.59103,71.86872,19.54025,Dense Suburban
RI-01,RI,1,31.99739,12.00113,0.67039,33.27407,20.30019,45.75534,Dense Suburban
CA-10,CA,10,34.24945,11.99965,1.45461,7.68880,78.66309,12.19351,Dense Suburban
FL-28,FL,28,-3.94418,11.99153,9.27949,5.01807,33.80358,51.89886,Dense Suburban
TX-16,TX,16,32.61381,11.98973,0.00000,9.46415,78.83748,11.69838,Dense Suburban
NJ-12,NJ,12,28.26488,11.95689,0.00000,18.17375,58.06198,23.76427,Dense Suburban
NE-02,NE,2,-2.56016,11.95222,5.52131,7.60087,60.69390,26.18392,Dense Suburban
TX-35,TX,35,37.70867,11.94555,0.39626,31.02100,26.76140,41.82134,Dense Suburban
OH-01,OH,1,3.19463,11.92570,3.29126,20.74607,43.23457,32.72810,Dense Suburban
NC-14,NC,14,11.44961,11.90635,0.51351,24.96038,56.53139,17.99472,Dense Suburban
CA-08,CA,8,50.61429,11.90436,0.93844,9.52384,78.79268,10.74504,Dense Suburban
MN-03,MN,3,14.34691,11.89663,1.22688,15.02150,74.08884,9.66278,Dense Suburban
MO-05,MO,5,19.78634,11.89316,0.00000,16.83868,76.52747,6.63385,Dense Suburban
CT-04,CT,4,23.31712,11.88718,0.00000,20.47825,58.93618,20.58557,Dense Suburban
CA-49,CA,49,5.71149,11.85506,5.91514,5.32425,67.04153,21.71907,Dense Suburban
PA-04,PA,4,13.54360,11.84089,2.94080,28.93688,47.10812,21.01420,Dense Suburban
NY-01,NY,1,-5.38142,11.83754,11.74389,15.01085,31.16925,42.07600,Dense Suburban
MA-06,MA,6,26.03678,11.83451,0.53474,26.23461,49.79656,23.43409,Dense Suburban
NC-02,NC,2,23.77048,11.81898,2.48324,16.79407,78.84449,1.87821,Dense Suburban
MD-02,MD,2,11.00795,11.81179,8.41733,22.72247,35.02284,33.83736,Dense Suburban
MD-03,MD,3,14.20105,11.80920,2.61113,19.82275,76.43608,1.13004,Dense Suburban
NY-25,NY,25,13.44038,11.80862,5.01991,27.64087,33.95527,33.38395,Dense Suburban
CT-03,CT,3,11.90749,11.80288,1.00723,30.34670,52.51076,16.13531,Dense Suburban
TN-09,TN,9,42.60712,11.79929,5.02580,11.06149,83.91272,0.00000,Dense Suburban
NC-12,NC,12,25.34715,11.79664,0.00000,32.05243,62.82385,5.12373,Dense Suburban
MA-04,MA,4,27.74688,11.77869,0.34289,52.33839,26.22046,21.09826,Dense Suburban
LA-02,LA,2,55.69386,11.77477,11.14157,15.98929,37.99289,34.87626,Dense Suburban
CO-08,CO,8,-2.55880,11.73294,8.28234,22.34393,32.66103,36.71270,Dense Suburban
CA-21,CA,21,16.22332,11.73072,8.29412,25.59523,28.87146,37.23919,Dense Suburban
CT-01,CT,1,20.55679,11.72734,4.23313,23.07670,53.22038,19.46979,Dense Suburban
WA-10,WA,10,12.18639,11.72351,6.23917,16.72716,64.31543,12.71825,Dense Suburban
PA-01,PA,1,-0.24790,11.71746,2.28230,29.59173,58.14151,9.98447,Dense Suburban
IL-10,IL,10,20.97061,11.70691,0.98602,20.85388,74.69064,3.46947,Dense Suburban
FL-15,FL,15,-7.14221,11.70438,1.25477,33.83099,52.37767,12.53657,Dense Suburban
UT-04,UT,4,-30.49034,11.70206,9.45327,21.94706,27.85575,40.74392,Dense Suburban
CA-27,CA,27,7.75262,11.69082,5.03563,11.28888,77.01065,6.66484,Dense Suburban
NJ-04,NJ,4,-29.63849,11.69053,4.23459,16.24044,78.92849,0.59648,Dense Suburban
GA-13,GA,13,52.45702,11.68632,0.49120,33.71111,65.79769,0.00000,Dense Suburban
CA-26,CA,26,15.21949,11.67620,4.12104,23.70037,61.46782,10.71077,Dense Suburban
CA-18,CA,18,41.75615,11.67340,11.58090,33.20785,23.97030,31.24095,Dense Suburban
TX-12,TX,12,-24.76329,11.67191,10.64728,18.08885,48.08917,23.17469,Dense Suburban
GA-06,GA,6,-24.23524,11.67060,5.08059,20.98297,73.93644,0.00000,Dense Suburban
TX-02,TX,2,-30.18570,11.66319,3.38956,21.69229,69.33124,5.58691,Dense Suburban
CA-09,CA,9,8.70609,11.65593,7.30237,23.59698,46.88678,22.21387,Dense Suburban
OH-13,OH,13,-1.82611,11.65369,0.72593,36.82454,62.44953,0.00000,Dense Suburban
CO-05,CO,5,-17.89877,11.63760,8.25291,21.34435,52.72726,17.67547,Dense Suburban
OR-01,OR,1,34.40200,11.61960,20.37685,6.42707,19.97332,53.22277,Dense Suburban
IL-11,IL,11,9.97568,11.60326,8.49323,27.45179,53.82812,10.22686,Dense Suburban
MI-03,MI,3,2.73784,11.59025,6.10211,35.91640,41.22882,16.75267,Dense Suburban
FL-16,FL,16,-12.81584,11.58190,3.62974,30.36557,66.00468,0.00000,Dense Suburban
TX-03,TX,3,-23.44240,11.57905,20.14866,9.93776,35.60880,34.30478,Dense Suburban
PA-17,PA,17,0.65820,11.57211,5.83990,41.32091,35.88217,16.95701,Dense Suburban
FL-07,FL,7,-13.97807,11.56998,4.02213,32.93227,60.84895,2.19665,Dense Suburban
NJ-03,NJ,3,7.21748,11.55043,6.04974,30.65069,56.21677,7.08280,Dense Suburban
CA-41,CA,41,-6.35371,11.54949,2.78960,41.11316,47.73933,8.35792,Dense Suburban
OK-01,OK,1,-28.29238,11.53769,7.14685,30.50820,59.99825,2.34671,Dense Suburban
KS-03,KS,3,-3.22180,11.52846,12.34387,13.10381,59.46515,15.08717,Dense Suburban
RI-02,RI,2,16.14356,11.52100,16.06699,27.29361,21.46704,35.17236,Dense Suburban
FL-05,FL,5,-23.28351,11.51980,5.52960,30.44304,64.02737,0.00000,Dense Suburban
MI-06,MI,6,21.13121,11.51150,9.01973,20.66785,69.92003,0.39238,Dense Suburban
MA-03,MA,3,26.27371,11.50051,5.13529,42.50446,52.36026,0.00000,Dense Suburban
FL-09,FL,9,15.92649,11.49649,6.18945,34.50054,53.47237,5.83765,Suburban-Exurban
CO-07,CO,7,5.90860,11.49257,21.74937,7.23575,32.34679,38.66810,Suburban-Exurban
GA-11,GA,11,-24.05747,11.48030,11.06059,21.45984,67.47958,0.00000,Suburban-Exurban
OH-10,OH,10,-8.40721,11.47421,6.14742,37.23289,56.61969,0.00000,Suburban-Exurban
NY-17,NY,17,6.66085,11.44308,17.23739,19.28051,57.19153,6.29057,Suburban-Exurban
PA-07,PA,7,-4.16333,11.43840,14.11095,25.07277,53.58902,7.22726,Suburban-Exurban
NM-01,NM,1,11.52886,11.43298,14.54291,12.54299,56.32392,16.59018,Suburban-Exurban
FL-19,FL,19,-26.36457,11.42951,5.83941,42.61923,51.54136,0.00000,Suburban-Exurban
MO-02,MO,2,-15.01589,11.42386,18.69799,13.42130,58.63425,9.24646,Suburban-Exurban
CA-19,CA,19,35.66209,11.39059,14.60824,38.07879,17.22326,30.08970,Suburban-Exurban
CA-48,CA,48,-18.61311,11.38078,16.43879,17.38994,55.68831,10.48296,Suburban-Exurban
OH-15,OH,15,-11.47177,11.37228,16.92150,21.39998,50.42470,11.25381,Suburban-Exurban
TX-26,TX,26,-26.56126,11.37112,18.23500,16.06278,55.31570,10.38652,Suburban-Exurban
OH-07,OH,7,-13.98767,11.35736,12.61347,33.30341,43.08398,10.99914,Suburban-Exurban
PA-06,PA,6,9.22240,11.35723,4.93115,51.44979,43.61906,0.00000,Suburban-Exurban
VA-10,VA,10,6.79865,11.35405,13.25757,21.78847,64.34557,0.60840,Suburban-Exurban
VA-04,VA,4,29.14855,11.34923,14.01118,28.10954,46.41332,11.46595,Suburban-Exurban
FL-21,FL,21,-13.64334,11.32203,5.62638,46.85646,47.01189,0.50527,Suburban-Exurban
TX-22,TX,22,-24.12466,11.31486,19.45212,16.58100,46.59476,17.37211,Suburban-Exurban
IL-02,IL,2,36.86108,11.29298,19.12709,16.45402,46.14884,18.27005,Suburban-Exurban
VA-02,VA,2,-6.69512,11.28275,17.60868,25.66329,33.37695,23.35107,Suburban-Exurban
OR-06,OR,6,7.21147,11.27783,16.01683,26.35911,42.01672,15.60735,Suburban-Exurban
NY-20,NY,20,13.73691,11.27340,8.08188,38.35235,53.56578,0.00000,Suburban-Exurban
IN-01,IN,1,6.33971,11.26531,8.53920,45.89236,45.56844,0.00000,Suburban-Exurban
NJ-07,NJ,7,-4.98246,11.26173,12.51026,47.96767,18.86161,20.66046,Suburban-Exurban
PA-10,PA,10,-9.42203,11.25456,10.23323,38.50764,51.25913,0.00000,Suburban-Exurban
UT-03,UT,3,-26.02948,11.24393,18.02122,6.94924,61.01159,14.01795,Suburban-Exurban
OH-08,OH,8,-27.11784,11.23309,16.66262,23.62481,59.15777,0.55481,Suburban-Exurban
MN-02,MN,2,1.15185,11.22782,17.26786,23.46111,57.34875,1.92229,Suburban-Exurban
CT-05,CT,5,2.56066,11.21630,9.01285,37.14315,53.84400,0.00000,Suburban-Exurban
IL-14,IL,14,6.50668,11.21229,21.04272,17.68040,60.01071,1.26617,Suburban-Exurban
SC-04,SC,4,-26.83413,11.18361,9.88835,50.02365,40.08800,0.00000,Suburban-Exurban
AZ-07,AZ,7,27.07916,11.16810,20.60949,23.62114,37.68600,18.08337,Suburban-Exurban
FL-04,FL,4,-15.30124,11.16743,15.78137,29.12303,55.09560,0.00000,Suburban-Exurban
CA-22,CA,22,10.30985,11.14961,21.52797,36.75411,19.88224,21.83568,Suburban-Exurban
MA-02,MA,2,29.76978,11.14515,14.05052,47.29277,32.63719,6.01952,Suburban-Exurban
TX-08,TX,8,-26.19146,11.14212,22.46091,30.92257,7.49632,39.12020,Suburban-Exurban
UT-01,UT,1,-24.47984,11.14186,18.62557,24.82415,54.93487,1.61540,Suburban-Exurban
FL-17,FL,17,-22.37254,11.13713,5.27140,68.18777,26.54083,0.00000,Suburban-Exurban
CA-20,CA,20,-30.45738,11.13707,19.83126,18.60801,43.70763,17.85309,Suburban-Exurban
TX-34,TX,34,16.97557,11.11507,13.94264,40.30642,44.87901,0.87193,Suburban-Exurban
MA-01,MA,1,21.63165,11.06145,21.68708,35.95984,37.72476,4.62832,Suburban-Exurban
FL-08,FL,8,-23.01111,11.05486,5.66594,73.22274,21.11132,0.00000,Suburban-Exurban
MD-06,MD,6,-0.94105,11.05104,22.01515,36.15086,26.87705,14.95694,Suburban-Exurban
NC-06,NC,6,9.18875,11.04841,20.55299,28.61641,50.83060,0.00000,Suburban-Exurban
DE-01,DE,1,13.91632,11.04734,21.53402,33.18056,45.28542,0.00000,Suburban-Exurban
OK-05,OK,5,-24.01054,11.04301,21.45143,21.74121,56.80736,0.00000,Suburban-Exurban
TX-28,TX,28,6.07587,11.00937,22.28733,23.15434,47.59600,6.96232,Suburban-Exurban
FL-11,FL,11,-19.32671,10.99759,16.26863,55.60539,26.95736,1.16862,Suburban-Exurban
OR-05,OR,5,3.35020,10.97807,24.19773,33.18291,22.49026,20.12910,Suburban-Exurban
WI-01,WI,1,-6.17757,10.97015,19.65524,37.35295,42.99181,0.00000,Suburban-Exurban
TX-05,TX,5,-27.25926,10.95429,37.05612,10.55037,19.40503,32.98847,Suburban-Exurban
TN-05,TN,5,-15.48795,10.95310,17.58571,43.11684,39.29744,0.00000,Suburban-Exurban
LA-01,LA,1,-40.20704,10.95037,25.07515,34.41941,20.01761,20.48783,Suburban-Exurban
IL-13,IL,13,6.52005,10.92850,15.72083,45.69186,38.58731,0.00000,Suburban-Exurban
NE-01,NE,1,-16.99856,10.91282,22.14779,22.07768,55.77453,0.00000,Suburban-Exurban
TX-15,TX,15,-0.07623,10.90763,23.50735,23.52483,51.88623,1.08158,Suburban-Exurban
CA-24,CA,24,23.94262,10.90673,18.99483,43.34890,37.65627,0.00000,Suburban-Exurban
PA-11,PA,11,-26.03240,10.90266,18.35972,53.29029,28.34999,0.00000,Suburban-Exurban
MD-05,MD,5,27.63308,10.89787,22.71101,45.68505,30.62505,0.97889,Suburban-Exurban
NC-04,NC,4,30.42918,10.89610,23.39722,34.88356,41.71923,0.00000,Suburban-Exurban
WA-02,WA,2,17.57362,10.88959,30.21401,32.30037,22.50986,14.97576,Suburban-Exurban
CA-04,CA,4,31.46002,10.88493,21.44064,45.31395,33.24542,0.00000,Suburban-Exurban
VA-07,VA,7,1.36301,10.87841,27.05583,31.78643,39.68972,1.46802,Suburban-Exurban
FL-12,FL,12,-34.03824,10.87248,22.04938,46.20689,31.74373,0.00000,Suburban-Exurban
IN-05,IN,5,-21.73039,10.86186,20.56023,46.78987,32.64989,0.00000,Suburban-Exurban
CA-25,CA,25,12.09875,10.85976,16.68956,44.31292,38.99752,0.00000,Suburban-Exurban
TX-04,TX,4,-31.02859,10.84754,32.97113,20.14693,18.45480,28.42714,Suburban-Exurban
CO-02,CO,2,32.79473,10.84144,22.19128,27.10416,50.70456,0.00000,Suburban-Exurban
WA-03,WA,3,-9.42551,10.83859,25.12613,26.82429,38.25765,9.79193,Suburban-Exurban
TX-25,TX,25,-30.46719,10.83693,32.67970,18.75096,20.67542,27.89392,Suburban-Exurban
NC-13,NC,13,-2.27852,10.83426,23.38459,49.41352,27.20189,0.00000,Suburban-Exurban
OH-09,OH,9,-6.15491,10.81999,32.97388,20.18493,45.88194,0.95925,Suburban-Exurban
TN-02,TN,2,-36.05325,10.81321,23.11031,39.95999,36.92970,0.00000,Suburban-Exurban
LA-06,LA,6,-22.75547,10.79623,20.94357,46.41350,32.64293,0.00000,Suburban-Exurban
NY-18,NY,18,2.82685,10.77794,15.67772,76.54362,7.77866,0.00000,Suburban-Exurban
WI-05,WI,5,-28.12513,10.76168,28.61050,39.26783,25.67664,6.44503,Suburban-Exurban
NY-22,NY,22,2.23475,10.73647,29.79844,35.30083,34.90073,0.00000,Suburban-Exurban
TX-21,TX,21,-24.89726,10.72731,34.75532,22.29286,25.94590,17.00592,Suburban-Exurban
TX-31,TX,31,-27.78946,10.70318,26.34232,43.20718,30.45050,0.00000,Suburban-Exurban
AZ-09,AZ,9,-33.04591,10.70182,20.35764,40.30948,33.36388,5.96900,Suburban-Exurban
MI-08,MI,8,-1.20822,10.69794,20.73156,58.32454,20.94391,0.00000,Suburban-Exurban
CA-03,CA,3,-7.48648,10.69738,28.89070,22.70317,36.42725,11.97888,Suburban-Exurban
VA-01,VA,1,-14.66082,10.69374,27.71063,33.06208,39.22729,0.00000,Suburban-Exurban
TX-14,TX,14,-35.70263,10.69072,22.99734,52.80809,24.19457,0.00000,Suburban-Exurban
UT-02,UT,2,-23.21727,10.68866,24.96860,28.14477,21.50254,25.38409,Suburban-Exurban
IL-17,IL,17,3.56131,10.68504,26.02413,22.10280,51.87307,0.00000,Suburban-Exurban
AZ-06,AZ,6,-6.87088,10.67026,26.92842,29.33276,35.27835,8.46046,Suburban-Exurban
MA-09,MA,9,16.72278,10.66888,18.35134,62.21178,19.43687,0.00000,Suburban-Exurban
CA-05,CA,5,-16.83308,10.66080,36.05751,20.04197,28.85413,15.04639,Suburban-Exurban
SC-01,SC,1,-17.25643,10.65648,23.55981,50.39824,26.04196,0.00000,Suburban-Exurban
SC-02,SC,2,-19.89750,10.65473,22.67985,58.80761,18.51254,0.00000,Suburban-Exurban
TX-36,TX,36,-35.30280,10.65274,32.98618,24.21049,36.88101,5.92231,Suburban-Exurban
CA-23,CA,23,-15.22705,10.65169,31.45503,26.90213,41.64284,0.00000,Suburban-Exurban
IN-06,IN,6,-36.75109,10.64735,26.65794,38.38487,34.95719,0.00000,Suburban-Exurban
KY-06,KY,6,-13.12579,10.63682,36.27008,23.53144,36.08562,4.11286,Suburban-Exurban
NH-01,NH,1,-1.06728,10.62228,22.44028,55.29782,22.26191,0.00000,Suburban-Exurban
KS-04,KS,4,-27.55280,10.60621,32.42819,23.59794,43.97387,0.00000,Suburban-Exurban
