candidate,pct_estimate,lo,hi,date,election,cycle
Republicans,40.2748,35.93215,44.61744,2017-04-30,2018-11-06,2018
Democrats,44.97901,40.61963,49.33839,2017-05-01,2018-11-06,2018
Republicans,40.26677,35.90739,44.62615,2017-05-01,2018-11-06,2018
Democrats,44.97794,40.61798,49.33789,2017-05-02,2018-11-06,2018
Republicans,40.26557,35.90561,44.62552,2017-05-02,2018-11-06,2018
Democrats,44.84615,40.48459,49.2077,2017-05-03,2018-11-06,2018
Republicans,40.2158,35.85424,44.57736,2017-05-03,2018-11-06,2018
Democrats,44.84414,40.4821,49.20617,2017-05-04,2018-11-06,2018
Republicans,40.21423,35.85219,44.57627,2017-05-04,2018-11-06,2018
Democrats,44.84174,40.47903,49.20445,2017-05-05,2018-11-06,2018
Republicans,40.21287,35.85015,44.57558,2017-05-05,2018-11-06,2018
Democrats,44.8392,40.47575,49.20264,2017-05-06,2018-11-06,2018
Republicans,40.21222,35.84877,44.57567,2017-05-06,2018-11-06,2018
Democrats,44.83643,40.45766,49.2152,2017-05-07,2018-11-06,2018
Republicans,40.03039,35.65162,44.40916,2017-05-07,2018-11-06,2018
Democrats,44.83309,40.45338,49.2128,2017-05-08,2018-11-06,2018
Republicans,40.02834,35.64864,44.40805,2017-05-08,2018-11-06,2018
Democrats,44.83015,40.44965,49.21066,2017-05-09,2018-11-06,2018
Republicans,40.0264,35.6459,44.4069,2017-05-09,2018-11-06,2018
Democrats,46.04175,41.64602,50.43749,2017-05-10,2018-11-06,2018
Republicans,39.64114,35.26678,44.01549,2017-05-10,2018-11-06,2018
Democrats,46.04636,41.6498,50.44292,2017-05-11,2018-11-06,2018
Republicans,39.63644,35.26144,44.01144,2017-05-11,2018-11-06,2018
Democrats,46.04566,41.61885,50.47247,2017-05-12,2018-11-06,2018
Republicans,39.56344,35.16961,43.95728,2017-05-12,2018-11-06,2018
Democrats,46.05013,41.62199,50.47826,2017-05-13,2018-11-06,2018
Republicans,39.55898,35.16412,43.95385,2017-05-13,2018-11-06,2018
Democrats,46.05616,41.62694,50.48539,2017-05-14,2018-11-06,2018
Republicans,39.55384,35.1582,43.94947,2017-05-14,2018-11-06,2018
Democrats,46.21133,41.76869,50.65397,2017-05-15,2018-11-06,2018
Republicans,39.27381,34.86227,43.68535,2017-05-15,2018-11-06,2018
Democrats,46.21792,41.77414,50.6617,2017-05-16,2018-11-06,2018
Republicans,39.26698,34.85469,43.67926,2017-05-16,2018-11-06,2018
Democrats,46.18415,41.69811,50.67019,2017-05-17,2018-11-06,2018
Republicans,39.1219,34.66198,43.58182,2017-05-17,2018-11-06,2018
Democrats,46.18844,41.7012,50.67569,2017-05-18,2018-11-06,2018
Republicans,39.11496,34.65432,43.5756,2017-05-18,2018-11-06,2018
Democrats,46.19197,41.70339,50.68055,2017-05-19,2018-11-06,2018
Republicans,39.10622,34.64466,43.56778,2017-05-19,2018-11-06,2018
Democrats,46.19334,41.70345,50.68322,2017-05-20,2018-11-06,2018
Republicans,39.09966,34.63707,43.56225,2017-05-20,2018-11-06,2018
Democrats,46.19459,41.70348,50.68569,2017-05-21,2018-11-06,2018
Republicans,39.09417,34.6307,43.55764,2017-05-21,2018-11-06,2018
Democrats,46.19627,41.70385,50.68869,2017-05-22,2018-11-06,2018
Republicans,39.08649,34.62206,43.55092,2017-05-22,2018-11-06,2018
Democrats,46.15731,41.62218,50.69243,2017-05-23,2018-11-06,2018
Republicans,39.02171,34.52519,43.51822,2017-05-23,2018-11-06,2018
Democrats,45.77988,41.18823,50.37152,2017-05-24,2018-11-06,2018
Republicans,38.79729,34.27863,43.31594,2017-05-24,2018-11-06,2018
Democrats,45.66988,41.07747,50.26228,2017-05-25,2018-11-06,2018
Republicans,38.65286,34.1277,43.17802,2017-05-25,2018-11-06,2018
Democrats,45.49081,40.87888,50.10275,2017-05-26,2018-11-06,2018
Republicans,38.51482,33.97243,43.05721,2017-05-26,2018-11-06,2018
Democrats,45.20474,40.55003,49.85944,2017-05-27,2018-11-06,2018
Republicans,38.51439,33.97859,43.05019,2017-05-27,2018-11-06,2018
Democrats,45.197,40.54372,49.85028,2017-05-28,2018-11-06,2018
Republicans,38.3661,33.8037,42.92851,2017-05-28,2018-11-06,2018
Democrats,44.97048,40.2682,49.67276,2017-05-29,2018-11-06,2018
Republicans,38.41693,33.86431,42.96956,2017-05-29,2018-11-06,2018
Democrats,44.92205,40.20701,49.63709,2017-05-30,2018-11-06,2018
Republicans,38.34029,33.77063,42.90996,2017-05-30,2018-11-06,2018
Democrats,44.84825,40.09087,49.60562,2017-05-31,2018-11-06,2018
Republicans,38.25547,33.64868,42.86225,2017-05-31,2018-11-06,2018
Democrats,44.87814,40.12247,49.63381,2017-06-01,2018-11-06,2018
Republicans,38.37668,33.75282,43.00055,2017-06-01,2018-11-06,2018
Democrats,44.83812,40.07425,49.60198,2017-06-02,2018-11-06,2018
Republicans,38.33481,33.70237,42.96725,2017-06-02,2018-11-06,2018
Democrats,44.88162,40.11295,49.65029,2017-06-03,2018-11-06,2018
Republicans,38.27157,33.60734,42.9358,2017-06-03,2018-11-06,2018
Democrats,44.87888,40.11208,49.64568,2017-06-04,2018-11-06,2018
Republicans,38.29945,33.64829,42.95061,2017-06-04,2018-11-06,2018
Democrats,44.92675,40.17333,49.68017,2017-06-05,2018-11-06,2018
Republicans,38.2037,33.53133,42.87608,2017-06-05,2018-11-06,2018
Democrats,45.43636,40.64576,50.22696,2017-06-06,2018-11-06,2018
Republicans,38.35842,33.72168,42.99516,2017-06-06,2018-11-06,2018
Democrats,45.80342,40.95763,50.64922,2017-06-07,2018-11-06,2018
Republicans,38.5397,33.94057,43.13882,2017-06-07,2018-11-06,2018
Democrats,45.8086,40.96405,50.65315,2017-06-08,2018-11-06,2018
Republicans,38.51409,33.90708,43.12111,2017-06-08,2018-11-06,2018
Democrats,45.82113,40.97443,50.66782,2017-06-09,2018-11-06,2018
Republicans,38.47421,33.847,43.10142,2017-06-09,2018-11-06,2018
Democrats,45.85941,41.01529,50.70354,2017-06-10,2018-11-06,2018
Republicans,38.44493,33.79988,43.08997,2017-06-10,2018-11-06,2018
Democrats,45.88453,41.0407,50.72836,2017-06-11,2018-11-06,2018
Republicans,38.44344,33.79773,43.08914,2017-06-11,2018-11-06,2018
Democrats,46.12861,41.26199,50.99524,2017-06-12,2018-11-06,2018
Republicans,38.51061,33.89305,43.12817,2017-06-12,2018-11-06,2018
Democrats,46.09895,41.22848,50.96941,2017-06-13,2018-11-06,2018
Republicans,38.54833,33.95203,43.14462,2017-06-13,2018-11-06,2018
Democrats,45.96902,41.05204,50.886,2017-06-14,2018-11-06,2018
Republicans,38.57899,33.989,43.16898,2017-06-14,2018-11-06,2018
Democrats,45.95395,41.03351,50.87438,2017-06-15,2018-11-06,2018
Republicans,38.63037,34.05831,43.20243,2017-06-15,2018-11-06,2018
Democrats,45.95294,41.02959,50.87628,2017-06-16,2018-11-06,2018
Republicans,38.58621,33.9997,43.17272,2017-06-16,2018-11-06,2018
Democrats,45.98077,41.06101,50.90052,2017-06-17,2018-11-06,2018
Republicans,38.59926,34.01517,43.18336,2017-06-17,2018-11-06,2018
Democrats,46.02514,41.11006,50.94022,2017-06-18,2018-11-06,2018
Republicans,38.51381,33.89419,43.13344,2017-06-18,2018-11-06,2018
Democrats,46.04686,41.13176,50.96196,2017-06-19,2018-11-06,2018
Republicans,38.46207,33.81678,43.10736,2017-06-19,2018-11-06,2018
Democrats,46.07865,41.16858,50.98872,2017-06-20,2018-11-06,2018
Republicans,38.36554,33.69452,43.03655,2017-06-20,2018-11-06,2018
Democrats,46.35471,41.38958,51.31985,2017-06-21,2018-11-06,2018
Republicans,38.60004,33.96395,43.23613,2017-06-21,2018-11-06,2018
Democrats,46.30865,41.33453,51.28276,2017-06-22,2018-11-06,2018
Republicans,38.62903,34.01086,43.2472,2017-06-22,2018-11-06,2018
Democrats,46.30859,41.33146,51.28571,2017-06-23,2018-11-06,2018
Republicans,38.61768,33.99288,43.24247,2017-06-23,2018-11-06,2018
Democrats,46.28519,41.29877,51.27161,2017-06-24,2018-11-06,2018
Republicans,38.60323,33.97,43.23645,2017-06-24,2018-11-06,2018
Democrats,46.22076,41.21382,51.22771,2017-06-25,2018-11-06,2018
Republicans,38.62662,33.98941,43.26382,2017-06-25,2018-11-06,2018
Democrats,46.44912,41.48536,51.41289,2017-06-26,2018-11-06,2018
Republicans,38.60893,34.02437,43.19349,2017-06-26,2018-11-06,2018
Democrats,46.47245,41.51378,51.43111,2017-06-27,2018-11-06,2018
Republicans,38.55878,33.94283,43.17474,2017-06-27,2018-11-06,2018
Democrats,46.59091,41.66976,51.51206,2017-06-28,2018-11-06,2018
Republicans,38.9292,34.41273,43.44567,2017-06-28,2018-11-06,2018
Democrats,46.59264,41.67242,51.51286,2017-06-29,2018-11-06,2018
Republicans,38.94157,34.4352,43.44794,2017-06-29,2018-11-06,2018
Democrats,46.59903,41.67834,51.51972,2017-06-30,2018-11-06,2018
Republicans,38.92469,34.40668,43.4427,2017-06-30,2018-11-06,2018
Democrats,46.57553,41.64161,51.50946,2017-07-01,2018-11-06,2018
Republicans,38.94341,34.43384,43.45297,2017-07-01,2018-11-06,2018
Democrats,46.53063,41.57335,51.48792,2017-07-02,2018-11-06,2018
Republicans,38.96311,34.46637,43.45986,2017-07-02,2018-11-06,2018
Democrats,46.53236,41.57643,51.4883,2017-07-03,2018-11-06,2018
Republicans,38.96517,34.4717,43.45864,2017-07-03,2018-11-06,2018
Democrats,46.55212,41.60279,51.50146,2017-07-04,2018-11-06,2018
Republicans,38.97547,34.48417,43.46677,2017-07-04,2018-11-06,2018
Democrats,46.4577,41.45581,51.45959,2017-07-05,2018-11-06,2018
Republicans,38.95946,34.45963,43.4593,2017-07-05,2018-11-06,2018
Democrats,46.47581,41.47952,51.47211,2017-07-06,2018-11-06,2018
Republicans,38.96325,34.46684,43.45966,2017-07-06,2018-11-06,2018
Democrats,46.48034,41.48591,51.47476,2017-07-07,2018-11-06,2018
Republicans,38.94911,34.44962,43.4486,2017-07-07,2018-11-06,2018
Democrats,46.48843,41.49345,51.4834,2017-07-08,2018-11-06,2018
Republicans,38.92237,34.4077,43.43705,2017-07-08,2018-11-06,2018
Democrats,46.46951,41.46608,51.47293,2017-07-09,2018-11-06,2018
Republicans,38.92398,34.40873,43.43924,2017-07-09,2018-11-06,2018
Democrats,46.45364,41.4453,51.46198,2017-07-10,2018-11-06,2018
Republicans,38.91554,34.39053,43.44055,2017-07-10,2018-11-06,2018
Democrats,46.44035,41.42787,51.45284,2017-07-11,2018-11-06,2018
Republicans,38.89559,34.36194,43.42924,2017-07-11,2018-11-06,2018
Democrats,46.39123,41.35941,51.42305,2017-07-12,2018-11-06,2018
Republicans,38.76581,34.17727,43.35435,2017-07-12,2018-11-06,2018
Democrats,46.34658,41.29819,51.39497,2017-07-13,2018-11-06,2018
Republicans,38.76704,34.18392,43.35016,2017-07-13,2018-11-06,2018
Democrats,46.93778,41.77463,52.10094,2017-07-14,2018-11-06,2018
Republicans,38.65548,34.14135,43.16961,2017-07-14,2018-11-06,2018
Democrats,46.9339,41.76892,52.09887,2017-07-15,2018-11-06,2018
Republicans,38.64195,34.12358,43.16032,2017-07-15,2018-11-06,2018
Democrats,46.8964,41.7202,52.0726,2017-07-16,2018-11-06,2018
Republicans,38.66561,34.14916,43.18205,2017-07-16,2018-11-06,2018
Democrats,46.88561,41.70399,52.06723,2017-07-17,2018-11-06,2018
Republicans,38.69371,34.19209,43.19533,2017-07-17,2018-11-06,2018
Democrats,47.04633,41.87259,52.22007,2017-07-18,2018-11-06,2018
Republicans,38.74165,34.2701,43.2132,2017-07-18,2018-11-06,2018
Democrats,47.0233,41.84439,52.20221,2017-07-19,2018-11-06,2018
Republicans,38.70926,34.22721,43.19131,2017-07-19,2018-11-06,2018
Democrats,46.96715,41.76227,52.17203,2017-07-20,2018-11-06,2018
Republicans,38.72298,34.24936,43.19661,2017-07-20,2018-11-06,2018
Democrats,46.94849,41.73191,52.16507,2017-07-21,2018-11-06,2018
Republicans,38.72415,34.24825,43.20005,2017-07-21,2018-11-06,2018
Democrats,46.90601,41.66372,52.1483,2017-07-22,2018-11-06,2018
Republicans,38.69889,34.20964,43.18814,2017-07-22,2018-11-06,2018
Democrats,46.8766,41.6166,52.13661,2017-07-23,2018-11-06,2018
Republicans,38.67142,34.16595,43.1769,2017-07-23,2018-11-06,2018
Democrats,46.85537,41.58102,52.12972,2017-07-24,2018-11-06,2018
Republicans,38.6943,34.1969,43.1917,2017-07-24,2018-11-06,2018
Democrats,46.77657,41.49792,52.05521,2017-07-25,2018-11-06,2018
Republicans,38.70665,34.21338,43.19991,2017-07-25,2018-11-06,2018
Democrats,46.74053,41.45195,52.02911,2017-07-26,2018-11-06,2018
Republicans,38.66378,34.15213,43.17543,2017-07-26,2018-11-06,2018
Democrats,46.78214,41.50741,52.05686,2017-07-27,2018-11-06,2018
Republicans,38.63931,34.11894,43.15968,2017-07-27,2018-11-06,2018
Democrats,46.7667,41.48882,52.04457,2017-07-28,2018-11-06,2018
Republicans,38.63885,34.12013,43.15757,2017-07-28,2018-11-06,2018
Democrats,46.82519,41.5663,52.08408,2017-07-29,2018-11-06,2018
Republicans,38.54149,33.9776,43.10538,2017-07-29,2018-11-06,2018
Democrats,46.82657,41.56883,52.08431,2017-07-30,2018-11-06,2018
Republicans,38.46989,33.89364,43.04614,2017-07-30,2018-11-06,2018
Democrats,46.82244,41.56488,52.08001,2017-07-31,2018-11-06,2018
Republicans,38.43682,33.84947,43.02417,2017-07-31,2018-11-06,2018
Democrats,46.69923,41.49994,51.89852,2017-08-01,2018-11-06,2018
Republicans,38.51077,33.99779,43.02375,2017-08-01,2018-11-06,2018
Democrats,46.87876,41.61066,52.14685,2017-08-02,2018-11-06,2018
Republicans,38.40768,33.92268,42.89268,2017-08-02,2018-11-06,2018
Democrats,46.84026,41.55271,52.1278,2017-08-03,2018-11-06,2018
Republicans,38.42025,33.94419,42.8963,2017-08-03,2018-11-06,2018
Democrats,46.81446,41.51262,52.11631,2017-08-04,2018-11-06,2018
Republicans,38.42327,33.95147,42.89508,2017-08-04,2018-11-06,2018
Democrats,46.81365,41.50923,52.11806,2017-08-05,2018-11-06,2018
Republicans,38.43772,33.96982,42.90561,2017-08-05,2018-11-06,2018
Democrats,46.83884,41.54131,52.13636,2017-08-06,2018-11-06,2018
Republicans,38.41124,33.92923,42.89325,2017-08-06,2018-11-06,2018
Democrats,47.23803,41.92945,52.5466,2017-08-07,2018-11-06,2018
Republicans,38.6648,34.15865,43.17095,2017-08-07,2018-11-06,2018
Democrats,47.23901,41.92915,52.54886,2017-08-08,2018-11-06,2018
Republicans,38.6642,34.16212,43.16629,2017-08-08,2018-11-06,2018
Democrats,47.23614,41.91775,52.55452,2017-08-09,2018-11-06,2018
Republicans,38.63617,34.1198,43.15255,2017-08-09,2018-11-06,2018
Democrats,47.23029,41.9104,52.55017,2017-08-10,2018-11-06,2018
Republicans,38.62631,34.10736,43.14525,2017-08-10,2018-11-06,2018
Democrats,47.20463,41.87381,52.53545,2017-08-11,2018-11-06,2018
Republicans,38.62088,34.09691,43.14485,2017-08-11,2018-11-06,2018
Democrats,47.20079,41.86485,52.53672,2017-08-12,2018-11-06,2018
Republicans,38.62895,34.10707,43.15083,2017-08-12,2018-11-06,2018
Democrats,47.15102,41.89301,52.40903,2017-08-13,2018-11-06,2018
Republicans,38.83564,34.37193,43.29934,2017-08-13,2018-11-06,2018
Democrats,47.14596,41.88185,52.41007,2017-08-14,2018-11-06,2018
Republicans,38.81948,34.34281,43.29615,2017-08-14,2018-11-06,2018
Democrats,47.11177,41.83781,52.38573,2017-08-15,2018-11-06,2018
Republicans,38.78865,34.30151,43.2758,2017-08-15,2018-11-06,2018
Democrats,47.10002,41.8628,52.33723,2017-08-16,2018-11-06,2018
Republicans,38.82664,34.34378,43.30951,2017-08-16,2018-11-06,2018
Democrats,47.11431,41.88298,52.34564,2017-08-17,2018-11-06,2018
Republicans,38.78311,34.27081,43.2954,2017-08-17,2018-11-06,2018
Democrats,47.0373,41.87476,52.19983,2017-08-18,2018-11-06,2018
Republicans,38.86123,34.40396,43.3185,2017-08-18,2018-11-06,2018
Democrats,46.99599,41.81659,52.17538,2017-08-19,2018-11-06,2018
Republicans,38.85271,34.38986,43.31557,2017-08-19,2018-11-06,2018
Democrats,46.94981,41.75321,52.1464,2017-08-20,2018-11-06,2018
Republicans,38.82054,34.35846,43.28262,2017-08-20,2018-11-06,2018
Democrats,46.94901,41.75433,52.14369,2017-08-21,2018-11-06,2018
Republicans,38.80647,34.34001,43.27293,2017-08-21,2018-11-06,2018
Democrats,46.96451,41.77538,52.15364,2017-08-22,2018-11-06,2018
Republicans,38.55369,34.07342,43.03396,2017-08-22,2018-11-06,2018
Democrats,46.91053,41.71666,52.1044,2017-08-23,2018-11-06,2018
Republicans,38.45145,33.98462,42.91829,2017-08-23,2018-11-06,2018
Democrats,46.91761,41.72765,52.10757,2017-08-24,2018-11-06,2018
Republicans,38.44606,33.98043,42.91169,2017-08-24,2018-11-06,2018
Democrats,46.91161,41.71544,52.10778,2017-08-25,2018-11-06,2018
Republicans,38.43987,33.96881,42.91093,2017-08-25,2018-11-06,2018
Democrats,46.93081,41.74098,52.12064,2017-08-26,2018-11-06,2018
Republicans,38.43272,33.95629,42.90914,2017-08-26,2018-11-06,2018
Democrats,46.93109,41.73765,52.12452,2017-08-27,2018-11-06,2018
Republicans,38.42961,33.94997,42.90926,2017-08-27,2018-11-06,2018
Democrats,46.93942,41.74475,52.13409,2017-08-28,2018-11-06,2018
Republicans,38.40829,33.91303,42.90355,2017-08-28,2018-11-06,2018
Democrats,46.8252,41.63166,52.01875,2017-08-29,2018-11-06,2018
Republicans,38.57202,34.04762,43.09642,2017-08-29,2018-11-06,2018
Democrats,46.7883,41.57563,52.00098,2017-08-30,2018-11-06,2018
Republicans,38.49239,33.92419,43.06059,2017-08-30,2018-11-06,2018
Democrats,46.74677,41.51053,51.98302,2017-08-31,2018-11-06,2018
Republicans,38.51167,33.95381,43.06953,2017-08-31,2018-11-06,2018
Democrats,46.72109,41.47186,51.97032,2017-09-01,2018-11-06,2018
Republicans,38.52526,33.9711,43.07941,2017-09-01,2018-11-06,2018
Democrats,46.71576,41.46611,51.9654,2017-09-02,2018-11-06,2018
Republicans,38.52457,33.96942,43.07973,2017-09-02,2018-11-06,2018
Democrats,46.73098,41.4862,51.97575,2017-09-03,2018-11-06,2018
Republicans,38.52496,33.96566,43.08425,2017-09-03,2018-11-06,2018
Democrats,46.7389,41.49572,51.98209,2017-09-04,2018-11-06,2018
Republicans,38.5479,33.99596,43.09985,2017-09-04,2018-11-06,2018
Democrats,46.73388,41.48932,51.97844,2017-09-05,2018-11-06,2018
Republicans,38.54284,33.99176,43.09393,2017-09-05,2018-11-06,2018
Democrats,46.68554,41.41535,51.95573,2017-09-06,2018-11-06,2018
Republicans,38.49465,33.92122,43.06807,2017-09-06,2018-11-06,2018
Democrats,46.64492,41.35669,51.93316,2017-09-07,2018-11-06,2018
Republicans,38.52722,33.96311,43.09132,2017-09-07,2018-11-06,2018
Democrats,46.63966,41.34815,51.93118,2017-09-08,2018-11-06,2018
Republicans,38.52381,33.95638,43.09124,2017-09-08,2018-11-06,2018
Democrats,46.62088,41.31914,51.92263,2017-09-09,2018-11-06,2018
Republicans,38.52408,33.95412,43.09404,2017-09-09,2018-11-06,2018
Democrats,46.60268,41.29067,51.91468,2017-09-10,2018-11-06,2018
Republicans,38.52552,33.95229,43.09875,2017-09-10,2018-11-06,2018
Democrats,46.60566,41.29377,51.91756,2017-09-11,2018-11-06,2018
Republicans,38.49796,33.91287,43.08304,2017-09-11,2018-11-06,2018
Democrats,46.5742,41.25548,51.89293,2017-09-12,2018-11-06,2018
Republicans,38.44426,33.84865,43.03988,2017-09-12,2018-11-06,2018
Democrats,46.56833,41.2431,51.89355,2017-09-13,2018-11-06,2018
Republicans,38.3179,33.6599,42.9759,2017-09-13,2018-11-06,2018
Democrats,46.58435,41.26236,51.90635,2017-09-14,2018-11-06,2018
Republicans,38.30017,33.63644,42.96391,2017-09-14,2018-11-06,2018
Democrats,46.59354,41.26933,51.91775,2017-09-15,2018-11-06,2018
Republicans,38.27617,33.59833,42.95401,2017-09-15,2018-11-06,2018
Democrats,46.6045,41.27743,51.93158,2017-09-16,2018-11-06,2018
Republicans,38.27292,33.59186,42.95398,2017-09-16,2018-11-06,2018
Democrats,46.57343,41.23627,51.91058,2017-09-17,2018-11-06,2018
Republicans,38.26887,33.58385,42.9539,2017-09-17,2018-11-06,2018
Democrats,46.59982,41.26639,51.93324,2017-09-18,2018-11-06,2018
Republicans,38.23755,33.54806,42.92705,2017-09-18,2018-11-06,2018
Democrats,46.68517,41.42342,51.94691,2017-09-19,2018-11-06,2018
Republicans,38.4682,33.76365,43.17275,2017-09-19,2018-11-06,2018
Democrats,46.61685,41.323,51.9107,2017-09-20,2018-11-06,2018
Republicans,38.46859,33.76439,43.17279,2017-09-20,2018-11-06,2018
Democrats,46.71883,41.47221,51.96546,2017-09-21,2018-11-06,2018
Republicans,38.78325,34.04193,43.52457,2017-09-21,2018-11-06,2018
Democrats,46.73614,41.49494,51.97734,2017-09-22,2018-11-06,2018
Republicans,38.77669,34.03005,43.52332,2017-09-22,2018-11-06,2018
Democrats,46.75985,41.52025,51.99945,2017-09-23,2018-11-06,2018
Republicans,38.74265,33.97239,43.51291,2017-09-23,2018-11-06,2018
Democrats,46.75194,41.50688,51.997,2017-09-24,2018-11-06,2018
Republicans,38.73804,33.96082,43.51527,2017-09-24,2018-11-06,2018
Democrats,46.72461,41.46938,51.97983,2017-09-25,2018-11-06,2018
Republicans,38.76467,34.00016,43.52918,2017-09-25,2018-11-06,2018
Democrats,46.69638,41.4669,51.92587,2017-09-26,2018-11-06,2018
Republicans,38.70516,33.98639,43.42393,2017-09-26,2018-11-06,2018
Democrats,46.46949,41.30957,51.62942,2017-09-27,2018-11-06,2018
Republicans,38.63993,33.97467,43.30518,2017-09-27,2018-11-06,2018
Democrats,46.42302,41.2426,51.60343,2017-09-28,2018-11-06,2018
Republicans,38.65917,34.00237,43.31598,2017-09-28,2018-11-06,2018
Democrats,46.40648,41.21751,51.59544,2017-09-29,2018-11-06,2018
Republicans,38.67527,34.02122,43.32933,2017-09-29,2018-11-06,2018
Democrats,46.40821,41.22054,51.59589,2017-09-30,2018-11-06,2018
Republicans,38.65259,33.98713,43.31805,2017-09-30,2018-11-06,2018
Democrats,46.41552,41.23084,51.60019,2017-10-01,2018-11-06,2018
Republicans,38.62055,33.93708,43.30402,2017-10-01,2018-11-06,2018
Democrats,46.38895,41.18906,51.58885,2017-10-02,2018-11-06,2018
Republicans,38.6601,33.9837,43.3365,2017-10-02,2018-11-06,2018
Democrats,46.38909,41.19171,51.58646,2017-10-03,2018-11-06,2018
Republicans,38.65017,33.96919,43.33115,2017-10-03,2018-11-06,2018
Democrats,46.35923,41.13877,51.5797,2017-10-04,2018-11-06,2018
Republicans,38.5905,33.87746,43.30353,2017-10-04,2018-11-06,2018
Democrats,46.34592,41.12273,51.56912,2017-10-05,2018-11-06,2018
Republicans,38.59029,33.87729,43.30329,2017-10-05,2018-11-06,2018
Democrats,46.34767,41.1227,51.57264,2017-10-06,2018-11-06,2018
Republicans,38.57064,33.84444,43.29685,2017-10-06,2018-11-06,2018
Democrats,46.44252,41.24284,51.64221,2017-10-07,2018-11-06,2018
Republicans,38.87248,34.07999,43.66497,2017-10-07,2018-11-06,2018
Democrats,46.41228,41.19821,51.62636,2017-10-08,2018-11-06,2018
Republicans,38.87548,34.07993,43.67103,2017-10-08,2018-11-06,2018
Democrats,46.39727,41.17501,51.61953,2017-10-09,2018-11-06,2018
Republicans,38.86452,34.05823,43.67082,2017-10-09,2018-11-06,2018
Democrats,46.39591,41.17196,51.61987,2017-10-10,2018-11-06,2018
Republicans,38.83503,34.02986,43.64021,2017-10-10,2018-11-06,2018
Democrats,46.42175,41.21216,51.63134,2017-10-11,2018-11-06,2018
Republicans,38.99878,34.20082,43.79674,2017-10-11,2018-11-06,2018
Democrats,46.40121,41.18441,51.61802,2017-10-12,2018-11-06,2018
Republicans,38.99185,34.1885,43.7952,2017-10-12,2018-11-06,2018
Democrats,46.3652,41.2022,51.5282,2017-10-13,2018-11-06,2018
Republicans,39.01051,34.21597,43.80504,2017-10-13,2018-11-06,2018
Democrats,46.3392,41.16278,51.51562,2017-10-14,2018-11-06,2018
Republicans,39.01608,34.21985,43.81232,2017-10-14,2018-11-06,2018
Democrats,46.19064,40.9983,51.38298,2017-10-15,2018-11-06,2018
Republicans,39.13071,34.31629,43.94513,2017-10-15,2018-11-06,2018
Democrats,46.62217,41.28043,51.96391,2017-10-16,2018-11-06,2018
Republicans,38.92997,34.17025,43.6897,2017-10-16,2018-11-06,2018
Democrats,46.64377,41.3107,51.97685,2017-10-17,2018-11-06,2018
Republicans,38.88166,34.11707,43.64624,2017-10-17,2018-11-06,2018
Democrats,46.63668,41.30078,51.97259,2017-10-18,2018-11-06,2018
Republicans,38.88698,34.12338,43.65058,2017-10-18,2018-11-06,2018
Democrats,46.63409,41.29704,51.97115,2017-10-19,2018-11-06,2018
Republicans,38.87792,34.10864,43.6472,2017-10-19,2018-11-06,2018
Democrats,46.63967,41.30161,51.97774,2017-10-20,2018-11-06,2018
