Member,Party,District,Congress,Resignation Date,Reason,Source,Category
Frank Ballance,D,NC-01,108th,6/11/2004,Ill health; fraud and money laundering,Associated Press,B & E
Bill Janklow,R,SD-AL,108th,1/20/2004,Convicted of manslaughter for a fatal car accident,Minnesota Public Radio,B
Ernie Fletcher,R,KY-06,108th,12/8/2003,Elected Kentucky governor,Fletcher/Pence Inaugural,C
Larry Combest,R,TX-19,108th,5/31/2003,"Wife lost DC-area job, wanted to spend more time with her",Plainview Daily Herald,E
Frank Murkowski,R,AK-SEN,107th,12/2/2002,Elected Alaska governor,U.S. Congress,C
Tony Hall,D,OH-03,107th,9/9/2002,Appointed to Bush administration,New York Times,C
James Traficant,D,OH-17,107th,7/24/2002,"Convicted of bribery, tax evasion, and racketeering",CNN,B
Steve Largent,R,OK-01,107th,2/15/2002,To focus on his run for governor,The Oklahoman,C
Joe Scarborough,R,FL-01,107th,9/5/2001,To spend more time with his sons,Northwest Florida Daily News,E
Asa Hutchinson,R,AR-03,107th,8/6/2001,Appointed to Bush administration,Log Cabin Democrat,C
Bud Shuster,R,PA-09,107th,2/5/2001,"Ethics rebuke; ""health scares""",ABC News,B & E
Bob Livingston,R,LA-01,106th,3/1/1999,Extramarital affairs,New York Times,A
Newt Gingrich,R,GA-06,106th,1/3/1999,Faced caucus revolt after disappointing midterm,New York Times,F
Ron Dellums,D,CA-09,105th,2/6/1998,"""To do other things""; ended up consulting for healthcare company",Washington Post,D
Floyd Flake,D,NY-06,105th,11/17/1997,To focus on his job as church pastor,New York Times,D
Thomas Foglietta,D,PA-01,105th,11/11/1997,Appointed to Clinton administration,Associated Press,C
Susan Molinari,R,NY-13,105th,8/2/1997,Took a job with CBS,CNN,D
Bill Richardson,D,NM-03,105th,2/13/1997,Appointed to Clinton administration,San Francisco Chronicle,C
Ray Thornton,D,AR-02,104th,1/1/1997,Elected Arkansas Supreme Court justice,U.S. Congress,C
Sam Brownback,R,KS-02,104th,11/7/1996,Elected U.S. senator,U.S. House of Representatives,C
Charlie Wilson,D,TX-02,104th,10/8/1996,Probably to start clock on lobbyist waiting period,Longview News-Journal,D
Bob Dole,R,KS-SEN,104th,6/11/1996,To focus on his run for president,U.S. Congress,C
Kweisi Mfume,D,MD-07,104th,2/18/1996,Took a job with the NAACP,Washington Post,D
Ron Wyden,D,OR-03,104th,2/5/1996,Elected U.S. senator,U.S. Congress,C
Walter Tucker III,D,CA-37,104th,12/15/1995,Convicted of extortion and tax evasion,New York Times,B
Norman Mineta,D,CA-15,104th,10/10/1995,Took a job with Lockheed Martin,Los Angeles Times,D
Mel Reynolds,D,IL-02,104th,10/1/1995,Convicted of sex with 16-year-old girl,New York Times,X
Bob Packwood,R,OR-SEN,104th,10/1/1995,Sexual harassment/assault,NPR,X
David Boren,D,OK-SEN,103rd,11/15/1994,Took a job with University of Oklahoma,Los Angeles Times,D
Jim Inhofe,R,OK-01,103rd,11/15/1994,Elected U.S. senator,U.S. Congress,C
Glenn English,D,OK-06,103rd,1/7/1994,Took a job with National Rural Electric Cooperative Association,UPI,D
Bill Gradison,R,OH-02,103rd,1/31/1993,Took a job with Health Insurance Association of America,Science Corruption,D
Mike Espy,D,MS-02,103rd,1/22/1993,Appointed to Clinton administration,Washington Post,C
Leon Panetta,D,CA-17,103rd,1/21/1993,Appointed to Clinton administration,Washington Post,C
Lloyd Bentsen,D,TX-SEN,103rd,1/20/1993,Appointed to Clinton administration,New York Times,C
Les Aspin,D,WI-01,103rd,1/20/1993,Appointed to Clinton administration,U.S. Congress,C
Al Gore Jr.,D,TN-SEN,102nd,1/2/1993,Elected vice president,CQ Almanac,C
Jocelyn Burdick,D,ND-SEN,102nd,12/14/1992,Appointment was expiring; resigned to let successor start early,New York Observer,G
Kent Conrad,D,ND-SEN,102nd,12/14/1992,Elected to North Dakota's other U.S. Senate seat,U.S. Senate,C
French Slaughter,R,VA-07,102nd,11/4/1991,Series of strokes,Washington Post,E
William Gray III,D,PA-02,102nd,9/11/1991,Took a job with United Negro College Fund,Los Angeles Times,D
Mo Udall,D,AZ-02,102nd,5/4/1991,Parkinson's disease,Baltimore Sun,E
Steve Bartlett,R,TX-03,102nd,3/11/1991,To focus on his run for Dallas mayor,D Magazine,C
Ed Madigan,R,IL-15,102nd,3/8/1991,Appointed to Bush administration,U.S. Congress,C
Pete Wilson,R,CA-SEN,102nd,1/7/1991,Elected California governor,U.S. Congress,C
Bob Smith,R,NH-01,101st,12/7/1990,Appointed U.S. senator,U.S. Congress,C
Gordon Humphrey,R,NH-SEN,101st,12/4/1990,Elected New Hampshire state senator,UPI,C
Daniel Akaka,D,HI-02,101st,5/16/1990,Appointed U.S. senator,U.S. Congress,C
Jim Florio,D,NJ-01,101st,1/16/1990,Elected New Jersey governor,U.S. House of Representatives,C
Robert Garcia,D,NY-18,101st,1/7/1990,Convicted of extortion,New York Times,B
Guy Molinari,R,NY-14,101st,12/31/1989,Elected Staten Island borough president,U.S. House of Representatives,C
Jim Wright,D,TX-12,101st,6/30/1989,Ethics investigation into personal financial gain,Washington Post,B
Tony Coelho,D,CA-15,101st,6/15/1989,Personal finances under investigation,New York Times,B
Dick Cheney,R,WY-AL,101st,3/17/1989,Appointed to Bush administration,U.S. Congress,C
Dan Quayle,R,IN-SEN,101st,1/3/1989,Elected vice president,U.S. Congress,C
Dan Coats,R,IN-04,101st,1/3/1989,Appointed U.S. senator,U.S. Congress,C
Mario Biaggi,D,NY-19,100th,8/8/1988,Convicted twice of corruption,New York Times,B
Buddy Roemer,D,LA-04,100th,3/14/1988,Elected Louisiana governor,New York Times,C
Bill Boner,D,TN-05,100th,10/5/1987,Elected Nashville mayor,U.S. House of Representatives,C
Charles Whitley,D,NC-03,99th,12/31/1986,"Was retiring & left early, probably to take a job with the Tobacco Institute",Science Corruption,D
Jim Broyhill,R,NC-10,99th,7/13/1986,Appointed U.S. senator,U.S. Congress,C
Cecil Heftel,D,HI-01,99th,7/11/1986,To focus on his run for governor,UPI,C
Sam Hall,D,TX-01,99th,5/27/1985,Appointed federal judge,UPI,C
Paul Tsongas,D,MA-SEN,98th,1/2/1985,Retired due to ill health; resigned early to give successor seniority,WBUR,E & G
Tom Corcoran,R,IL-14,98th,11/28/1984,Recess-appointed to Synthetic Fuels Corporation board,Nexis search,D
Harold Washington,D,IL-01,98th,4/30/1983,Elected Chicago mayor,U.S. House of Representatives,C
Phil Gramm,D,TX-06,98th,1/5/1983,Dem Party ostracized him; resigned to seek seat as Republican,New York Times,F
Nicholas Brady,R,NJ-SEN,97th,12/26/1982,Appointment was expiring; resigned to let successor start early,New York Times,G
Fred Richmond,D,NY-14,97th,8/25/1982,"Tax evasion, drug possession, campaign-finance irregularities",UPI,B
George Danielson,D,CA-30,97th,3/9/1982,Appointed California appellate judge,U.S. House of Representatives,C
Raymond Lederer,D,PA-03,97th,4/29/1981,Bribery and conspiracy in Abscam scandal,Associated Press,B
Jon Hinson,R,MS-04,97th,4/13/1981,Extramarital affair (same-sex),Zimbio,A
Pete Williams,D,NJ-SEN,97th,3/11/1981,Bribery and conspiracy in Abscam scandal,New York Times,B
Gladys Spellman,D,MD-05,97th,2/24/1981,Brain-dead after heart attack,New York Times,E
David Stockman,R,MI-04,97th,1/27/1981,Appointed to Reagan administration,The Atlantic,C
Donald Stewart,D,AL-SEN,96th,1/1/1981,Lost reelection bid; resigned to let successor start early,UPI,G
Dick Stone,D,FL-SEN,96th,12/31/1980,Lost reelection bid; resigned to let successor start early,U.S. Congress,G
John Durkin,D,NH-SEN,96th,12/29/1980,Lost reelection bid; resigned to let successor start early,New Hampshire Union Leader,G
Frank Thompson,D,NJ-04,96th,12/29/1980,Bribery and conspiracy in Abscam scandal,New York Times,B
John Jenrette,D,SC-06,96th,12/10/1980,Bribery and conspiracy in Abscam scandal,UPI,B
Michael Myers,D,PA-01,96th,10/2/1980,Bribery in Abscam scandal,UPI,B
Charles Diggs Jr.,D,MI-13,96th,6/3/1980,Censured for mail fraud and kickbacks from staff,U.S. House of Representatives,B
Ed Muskie,D,ME-SEN,96th,5/7/1980,Appointed to Carter administration,GovTrack,C
Dave Treen,R,LA-03,96th,3/10/1980,Elected Louisiana governor,U.S. House of Representatives,C
Dan Flood,D,PA-11,96th,1/31/1980,Bribery and conspiracy,UPI,B
Abner Mikva,D,IL-10,96th,9/26/1979,Appointed federal judge,U.S. House of Representatives,C
William Scott,R,VA-SEN,95th,1/1/1979,Retired; resigned early to give successor seniority,Washington Post,G
John Moss,D,CA-03,95th,12/31/1978,Retired; probably resigned early to receive higher pension?,Los Angeles Times,G
John McFall,D,CA-14,95th,12/31/1978,Lost reelection; might've left early to receive higher pension or lobby,Washington Post,G
Del Clawson,R,CA-33,95th,12/31/1978,Retired; probably resigned early to receive higher pension?,Washington Post,G
Joe Skubitz,R,KS-05,95th,12/31/1978,Retired; resigned early to give successor seniority,Salina Journal,G
Al Cederberg,R,MI-10,95th,12/31/1978,Lost reelection; probably resigned early to receive higher pension?,U.S. House of Representatives,G
James Delaney,D,NY-09,95th,12/31/1978,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,G
Olin Teague,D,TX-06,95th,12/31/1978,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,G
Bob Poage,D,TX-11,95th,12/31/1978,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,G
Omar Burleson,D,TX-17,95th,12/31/1978,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,G
Clifford Hansen,R,WY-SEN,95th,12/31/1978,Retired; resigned early to give successor seniority,Associated Press,G
Teno Roncalio,D,WY-AL,95th,12/30/1978,Retired; probably resigned early to receive higher pension?,U.S. House of Representatives,G
Wendell Anderson,D,MN-SEN,95th,12/29/1978,Lost reelection bid; resigned to let successor start early,U.S. Congress,G
James Eastland,D,MS-SEN,95th,12/27/1978,Retired; resigned early to give successor seniority,U.S. Senate,G
Thad Cochran,R,MS-04,95th,12/26/1978,Appointed U.S. senator,U.S. Congress,C
James Pearson,R,KS-SEN,95th,12/23/1978,Retired; resigned early to give successor seniority,Lawrence Journal-World,G
Paul Hatfield,D,MT-SEN,95th,12/14/1978,Appointment was expiring; resigned to let successor start early,U.S. Congress,G
Max Baucus,D,MT-01,95th,12/14/1978,Appointed U.S. senator,U.S. Congress,C
Joseph LeFante,D,NJ-14,95th,12/14/1978,Dem machine boss told him to,Washington Post,F
Maryon Allen,D,AL-SEN,95th,11/7/1978,Appointment was expiring; resigned to let successor start early,U.S. Congress,G
Muriel Humphrey,D,MN-SEN,95th,11/7/1978,Appointment was expiring; resigned to let successor start early,U.S. Congress,G
Ed Koch,D,NY-18,95th,12/31/1977,Elected New York City mayor,New York Times,C
Herman Badillo,D,NY-21,95th,12/31/1977,Appointed New York City deputy mayor,U.S. House of Representatives,C
Richard Tonry,D,LA-01,95th,5/4/1977,Federal inquiry into voter fraud & illegal campaign contributions,Roll Call,B
Andrew Young,D,GA-05,95th,1/29/1977,Appointed to Carter administration,Georgia Encyclopedia,C
Bob Bergland,D,MN-07,95th,1/22/1977,Appointed to Carter administration,New York Times,C
Brock Adams,D,WA-07,95th,1/22/1977,Appointed to Carter administration,Washington Post,C
John Tunney,D,CA-SEN,94th,1/1/1977,Lost reelection bid; resigned to let successor start early,UPI,G
Don Riegle Jr.,D,MI-07,94th,12/30/1976,Appointed U.S. senator,U.S. Congress,C
Walter Mondale,D,MN-SEN,94th,12/30/1976,Elected vice president,U.S. Congress,C
Robert Taft Jr.,R,OH-SEN,94th,12/28/1976,Lost reelection bid; resigned to let successor start early,Coshocton Tribune,G
John Pastore,D,RI-SEN,94th,12/28/1976,Retired; resigned early to give successor seniority,Arizona Republic,G
Stuart Symington,D,MO-SEN,94th,12/27/1976,Retired; resigned early to give successor seniority,Jefferson City Post-Tribune,G
Roman Hruska,R,NE-SEN,94th,12/27/1976,Retired; resigned early to give successor seniority,Lincoln Star,G
Wayne Hays,D,OH-18,94th,9/1/1976,Extramarital affair/paying his mistress a salary,New York Times,A
Bob Casey,D,TX-22,94th,1/22/1976,Appointed to Ford administration,U.S. Congress,C
James Hastings,R,NY-39,94th,1/20/1976,Took a job with Associated Industries of New York,Milwaukee Journal,D
Norris Cotton,R,NH-SEN,94th,9/18/1975,To yield to the winner of the controversial NH-SEN re-vote,U.S. Congress,F
Richard Fulton,D,TN-05,94th,8/14/1975,Elected Nashville mayor,U.S. Congress,C
J. William Fulbright,D,AR-SEN,93rd,12/31/1974,Lost reelection bid; quit to go on vacation & receive higher pension,New York Times,G
Charles Gubser,R,CA-10,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Chet Holifield,D,CA-19,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Craig Hosmer,R,CA-32,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Richard Hanna,D,CA-34,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,Los Angeles Times,G
Ed Gurney,R,FL-SEN,93rd,12/31/1974,"Retired; might've left early for pension, seniority, or indictment",Orlando Sentinel,B & G
Leslie Arends,R,IL-15,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Ken Gray,D,IL-24,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Frank Stubblefield,D,KY-01,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
Harold Donohue,D,MA-03,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Charles Chamberlain,R,MI-06,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Martha Griffiths,D,MI-17,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Ancher Nelsen,R,MN-02,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
John Blatnik,D,MN-08,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
David Martin,R,NE-03,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Norris Cotton,R,NH-SEN,93rd,12/31/1974,Retired; might've left early for pension or to force R appointment in controversial NH-SEN,U.S. Senate,F & G
Louis Wyman,R,NH-01,93rd,12/31/1974,Appointed U.S. senator,U.S. Congress,C
William Widnall,R,NJ-07,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
John Rooney,D,NY-14,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Hugh Carey,D,NY-15,93rd,12/31/1974,Elected New York governor,U.S. Congress,C
Carleton King,R,NY-29,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
Thaddeus Dulski,D,NY-37,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Sam Ervin,D,NC-SEN,93rd,12/31/1974,Retired; resigned early to receive higher pension,Burlington Daily Times-News,G
William Minshall,R,OH-23,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Edith Green,D,OR-03,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Frank Clark,D,PA-25,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
W.J. Bryan Dorn,D,SC-03,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Tom Gettys,D,SC-05,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
O.C. Fisher,D,TX-21,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Joel Broyhill,R,VA-10,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
Julia Butler Hansen,D,WA-03,93rd,12/31/1974,Retired; probably resigned early to receive higher pension?,U.S. Congress,G
Vernon Thomson,R,WI-03,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
Glenn Davis,R,WI-09,93rd,12/31/1974,Lost reelection; probably resigned early to receive higher pension?,U.S. Congress,G
Marlow Cook,R,KY-SEN,93rd,12/27/1974,Lost reelection bid; resigned to let successor start early,"""Kentucky's Governors""",G
Howard Metzenbaum,D,OH-SEN,93rd,12/23/1974,Appointment was expiring; resigned to let successor start early,Logan Daily News,G
Wallace Bennett,R,UT-SEN,93rd,12/20/1974,Retired; resigned early to give successor seniority,New York Times,G
Alan Bible,D,NV-SEN,93rd,12/17/1974,Retired; resigned early to give successor seniority,Las Vegas Review-Journal,G
Bill Mailliard,R,CA-06,93rd,3/5/1974,Appointed to Nixon administration,New York Times,C
James Harvey,R,MI-08,93rd,1/31/1974,Appointed federal judge,Ballotpedia,C
Bill Saxbe,R,OH-SEN,93rd,1/3/1974,Appointed to Nixon administration,American Presidency Project,C
William Keating,R,OH-01,93rd,1/3/1974,Took a job with Cincinnati Enquirer,Toledo Blade,D
Gerald Ford,R,MI-05,93rd,12/6/1973,Appointed vice president,U.S. Congress,C
Elaine Edwards,D,LA-SEN,92nd,11/13/1972,Appointment was expiring; resigned to let successor start early,Milwaukee Journal,G
Dick Poff,R,VA-06,92nd,8/29/1972,Appointed to Virginia Supreme Court,Washington Post,C
Edwin Edwards,D,LA-07,92nd,5/9/1972,Elected Louisiana governor,U.S. Congress,C
Bradford Morse,R,MA-05,92nd,5/1/1972,Took a job with United Nations,Los Angeles Times,D
Charlotte Reid,R,IL-15,92nd,10/7/1971,Appointed to Nixon administration,U.S. House of Representatives,C
Robert Stafford,R,VT-AL,92nd,9/16/1971,Appointed U.S. senator,U.S. Congress,C
Rogers Morton,R,MD-01,92nd,1/29/1971,Appointed to Nixon administration,Washington Post,C
George Murphy,R,CA-SEN,91st,1/2/1971,Lost reelection bid & left early; unclear why,New York Times,G
John Tunney,D,CA-38,91st,1/2/1971,Appointed U.S. senator,U.S. Congress,C
John Williams,R,DE-SEN,91st,12/31/1970,Retired; resigned early to give successor seniority,Delaware Historical Society,G
William Roth,R,DE-AL,91st,12/31/1970,Appointed U.S. senator,Delaware Historical Society,C
Bill Cahill,R,NJ-06,91st,1/19/1970,Elected New Jersey governor,U.S. Congress,C
Charles Joelson,D,NJ-08,91st,9/4/1969,Appointed New Jersey superior court judge,U.S. Congress,C
Donald Rumsfeld,R,IL-13,91st,5/25/1969,Appointed to Nixon administration,White House,C
James Battin,R,MT-02,91st,2/27/1969,Appointed federal judge,U.S. Congress,C
Ed Reinecke,R,CA-27,91st,1/21/1969,Appointed California lieutenant governor,Lieutenant Governor Blog,C
Melvin Laird,R,WI-07,91st,1/21/1969,Appointed to Nixon administration,U.S. Congress,C
Paul Fino,R,NY-24,90th,12/31/1968,Elected New York Supreme Court justice,U.S. Congress,C
Edward Long,D,MO-SEN,90th,12/27/1968,Lost reelection bid; resigned to let successor start early,Missourinet,G
Thruston Morton,R,KY-SEN,90th,12/16/1968,Retired; resigned early to give successor seniority,Orlando Sentinel,G
John Bell Williams,D,MS-03,90th,1/16/1968,Elected Mississippi governor,U.S. Congress,C
Abraham Multer,D,NY-13,90th,12/31/1967,Elected New York Supreme Court justice,U.S. Congress,C
Ralph Rivers,D,AK-AL,89th,12/30/1966,Lost reelection; resigned early to receive higher pension,Indianapolis Star,G
Winfield Denton,D,IN-08,89th,12/30/1966,Lost reelection; resigned early to receive higher pension,Rushville Republican,G
Ralph Harvey,R,IN-10,89th,12/30/1966,Lost reelection; resigned early to receive higher pension,Indianapolis Star,G
Leo O'Brien,D,NY-29,89th,12/30/1966,Retired; resigned early to receive higher pension,Indianapolis Star,G
Harold Cooley,D,NC-04,89th,12/30/1966,Lost reelection; resigned early to receive higher pension,Indianapolis Star,G
Robert Secrest,D,OH-15,89th,12/30/1966,Lost reelection; resigned early to receive higher pension,Indianapolis Star,G
Paul Dague,R,PA-09,89th,12/30/1966,Retired; resigned early to receive higher pension,Indianapolis Star,G
John Kunkel,R,PA-16,89th,12/30/1966,Retired; resigned early to receive higher pension,Indianapolis Star,G
Tom Murray,D,TN-07,89th,12/30/1966,Lost reelection; resigned early to receive higher pension,Indianapolis Star,G
Clark Thompson,D,TX-09,89th,12/30/1966,Retired; resigned early to receive higher pension,Indianapolis Star,G
