Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
No Matter What,Badfinger,1970,No Matter What by Badfinger,1,1,2,2
Walks Like A Woman,Baton Rouge,,Walks Like A Woman by Baton Rouge,1,0,1,0
(You Gotta) Fight for Your Right (To Party),Beastie Boys,1986,(You Gotta) Fight for Your Right (To Party) by Beastie Boys,1,1,4,4
No Sleep Till Brooklyn,Beastie Boys,1986,No Sleep Till Brooklyn by Beastie Boys,1,1,3,3
Loser,Beck,1994,Loser by Beck,1,1,1,1
In a Big Country,Big Country,1983,In a Big Country by Big Country,1,1,2,2
Rock Around the Clock,Bill Haley,1955,Rock Around the Clock by Bill Haley,1,1,1,1
AIN'T NO SUNSHINE,Bill Withers,1971,AIN'T NO SUNSHINE by Bill Withers,1,1,1,1
Cradle of Love,Billy Idol,1990,Cradle of Love by Billy Idol,1,1,6,6
Dancing With Myself,Billy Idol,1980,Dancing With Myself by Billy Idol,1,1,20,20
Eyes Without a Face,Billy Idol,1984,Eyes Without a Face by Billy Idol,1,1,2,2
Mony Mony,Billy Idol,,Mony Mony by Billy Idol,1,0,21,0
Rebel Yell,Billy Idol,1984,Rebel Yell by Billy Idol,1,1,89,89
White Wedding,Billy Idol,1982,White Wedding by Billy Idol,1,1,84,84
Allentown,Billy Joel,1982,Allentown by Billy Joel,1,1,1,1
Big Shot,Billy Joel,1978,Big Shot by Billy Joel,1,1,27,27
Captain Jack,Billy Joel,1973,Captain Jack by Billy Joel,1,1,7,7
Don't Ask Me Why,Billy Joel,,Don't Ask Me Why by Billy Joel,1,0,2,0
Goodnight Saigon,Billy Joel,1983,Goodnight Saigon by Billy Joel,1,1,1,1
It's Still Rock And Roll To Me,Billy Joel,1980,It's Still Rock And Roll To Me by Billy Joel,1,1,22,22
Miami 2017 {seen The Lights Go Out On Broadway} (live 1,Billy Joel,1976,Miami 2017 {seen The Lights Go Out On Broadway} (live 1 by Billy Joel,1,1,5,5
Movin' Out (Anthony's Song),Billy Joel,1977,Movin' Out (Anthony's Song) by Billy Joel,1,1,26,26
My Life,Billy Joel,1978,My Life by Billy Joel,1,1,11,11
New York State Of Mind,Billy Joel,1976,New York State Of Mind by Billy Joel,1,1,2,2
Only The Good Die Young,Billy Joel,1977,Only The Good Die Young by Billy Joel,1,1,21,21
Piano Man,Billy Joel,1973,Piano Man by Billy Joel,1,1,37,37
Prelude/angry Young Man,Billy Joel,,Prelude/angry Young Man by Billy Joel,1,0,1,0
Scenes From An Italian Restaurant,Billy Joel,1977,Scenes From An Italian Restaurant by Billy Joel,1,1,3,3
SHE'S ALWAYS A WOMAN,Billy Joel,1977,SHE'S ALWAYS A WOMAN by Billy Joel,1,1,1,1
Sometimes A Fantasy,Billy Joel,1980,Sometimes A Fantasy by Billy Joel,1,1,3,3
The Ballad Of Billy The Kid,Billy Joel,1973,The Ballad Of Billy The Kid by Billy Joel,1,1,2,2
The Stranger,Billy Joel,1977,The Stranger by Billy Joel,1,1,5,5
You May Be Right,Billy Joel,1980,You May Be Right by Billy Joel,1,1,30,30
Baby Come Back,Billy Rankin,,Baby Come Back by Billy Rankin,1,0,1,0
Everybody Wants You,Billy Squier,,Everybody Wants You by Billy Squier,1,0,59,0
In the Dark,Billy Squier,,In the Dark by Billy Squier,1,0,24,0
Lonely Is the Night,Billy Squier,1981,Lonely Is the Night by Billy Squier,1,1,80,80
My Kinda Lover,Billy Squier,,My Kinda Lover by Billy Squier,1,0,22,0
Rock Me Tonight,Billy Squier,1984,Rock Me Tonight by Billy Squier,1,1,1,1
She's a Runner,Billy Squier,,She's a Runner by Billy Squier,1,0,1,0
The Stroke,Billy Squier,1981,The Stroke by Billy Squier,1,1,83,83
Children Of The Sun,Billy Thorpe,,Children Of The Sun by Billy Thorpe,1,0,2,0
Fairies Wear Boots,Black Sabbath,1970,Fairies Wear Boots by Black Sabbath,1,1,1,1
Heaven and Hell,Black Sabbath,1980,Heaven and Hell by Black Sabbath,1,1,1,1
Iron Man,Black Sabbath,1972,Iron Man by Black Sabbath,1,1,40,40
N.i.b.,Black Sabbath,1970,N.i.b. by Black Sabbath,1,1,8,8
Neon Knights,Black Sabbath,1980,Neon Knights by Black Sabbath,1,1,1,1
Paranoid,Black Sabbath,1970,Paranoid by Black Sabbath,1,1,105,105
Sweet Leaf,Black Sabbath,1971,Sweet Leaf by Black Sabbath,1,1,34,34
The Wizard,Black Sabbath,1970,The Wizard by Black Sabbath,1,1,1,1
War Pigs,Black Sabbath,1970,War Pigs by Black Sabbath,1,1,38,38
Highway Song,Blackfoot,,Highway Song by Blackfoot,1,0,17,0
"Train, Train",Blackfoot,1979,"Train, Train by Blackfoot",1,1,25,25
Can't Find My Way Home,Blind Faith,1969,Can't Find My Way Home by Blind Faith,1,1,4,4
Presence of the Lord,Blind Faith,1969,Presence of the Lord by Blind Faith,1,1,1,1
No Rain,Blind Melon,1992,No Rain by Blind Melon,1,1,2,2
Presence of the Lord,Blind Melon,,Presence of the Lord by Blind Melon,1,0,2,0
All the Small Things,Blink-182,1999,All the Small Things by Blink-182,1,1,1,1
Call Me,Blondie,1980,Call Me by Blondie,1,1,26,26
Heart of Glass,Blondie,1978,Heart of Glass by Blondie,1,1,11,11
One Way Or Another,Blondie,1978,One Way Or Another by Blondie,1,1,21,21
(Don't Fear) The Reaper,Blue Oyster Cult,1976,(Don't Fear) The Reaper by Blue Oyster Cult,1,1,99,99
Bucks Boogie,Blue Oyster Cult,,Bucks Boogie by Blue Oyster Cult,1,0,1,0
Burnin' for You,Blue Oyster Cult,1981,Burnin' for You by Blue Oyster Cult,1,1,107,107
Godzilla,Blue Oyster Cult,1977,Godzilla by Blue Oyster Cult,1,1,9,9
I Love the Night,Blue Oyster Cult,1977,I Love the Night by Blue Oyster Cult,1,1,2,2
Summertime Blues,Blue Oyster Cult,,Summertime Blues by Blue Oyster Cult,1,0,1,0
Song 2,Blur,1997,Song 2 by Blur,1,1,3,3
Just Like A Woman,Bob Dylan,1966,Just Like A Woman by Bob Dylan,1,1,1,1
Knockin' On Heaven's Door,Bob Dylan,1973,Knockin' On Heaven's Door by Bob Dylan,1,1,22,22
Like a Rolling Stone,Bob Dylan,1965,Like a Rolling Stone by Bob Dylan,1,1,3,3
Positively 4th Street,Bob Dylan,1965,Positively 4th Street by Bob Dylan,1,1,3,3
Subterranean Homesick Blues,Bob Dylan,1965,Subterranean Homesick Blues by Bob Dylan,1,1,1,1
Tangled Up In Blue,Bob Dylan,1975,Tangled Up In Blue by Bob Dylan,1,1,5,5
Exodus,Bob Marley,,Exodus by Bob Marley,1,0,1,0
Jamming,Bob Marley,,Jamming by Bob Marley,1,0,5,0
"No Woman, No Cry",Bob Marley,1975,"No Woman, No Cry by Bob Marley",1,1,1,1
One Love,Bob Marley,1977,One Love by Bob Marley,1,1,2,2
Stir It Up,Bob Marley,,Stir It Up by Bob Marley,1,0,2,0
Three Little Birds,Bob Marley,,Three Little Birds by Bob Marley,1,0,1,0
Against The Wind,Bob Seger,1980,Against The Wind by Bob Seger,1,1,39,39
Betty Lou's Gettin' Out Tonigh,Bob Seger,,Betty Lou's Gettin' Out Tonigh by Bob Seger,1,0,1,0
Come to Poppa,Bob Seger,,Come to Poppa by Bob Seger,1,0,4,0
Feel Like a Number,Bob Seger,,Feel Like a Number by Bob Seger,1,0,6,0
Fire Down Below,Bob Seger,1977,Fire Down Below by Bob Seger,1,1,1,1
Get Out of Denver,Bob Seger,,Get Out of Denver by Bob Seger,1,0,1,0
Her Strut,Bob Seger,1980,Her Strut by Bob Seger,1,1,29,29
Hollywood Nights,Bob Seger,1978,Hollywood Nights by Bob Seger,1,1,43,43
Horizontal Bop,Bob Seger,,Horizontal Bop by Bob Seger,1,0,2,0
Katmandu,Bob Seger,1975,Katmandu by Bob Seger,1,1,7,7
Mainstreet,Bob Seger,1977,Mainstreet by Bob Seger,1,1,7,7
Night Moves,Bob Seger,1976,Night Moves by Bob Seger,1,1,47,47
Old Time Rock & Roll,Bob Seger,1978,Old Time Rock & Roll by Bob Seger,1,1,42,42
Ramblin' Gamblin' Man,Bob Seger,1968,Ramblin' Gamblin' Man by Bob Seger,1,1,12,12
Rock And Roll Never Forgets,Bob Seger,1977,Rock And Roll Never Forgets by Bob Seger,1,1,24,24
Roll Me Away,Bob Seger,,Roll Me Away by Bob Seger,1,0,5,0
Still the Same,Bob Seger,1978,Still the Same by Bob Seger,1,1,15,15
Sunspot Baby,Bob Seger,,Sunspot Baby by Bob Seger,1,0,5,0
The Fire Down Below,Bob Seger,,The Fire Down Below by Bob Seger,1,0,18,0
Travelin' Man,Bob Seger,,Travelin' Man by Bob Seger,1,0,4,0
Turn On Your Love Light,Bob Seger,,Turn On Your Love Light by Bob Seger,1,0,1,0
Turn The Page,Bob Seger,1973,Turn The Page by Bob Seger,1,1,91,91
We've Got Tonite,Bob Seger,1978,We've Got Tonite by Bob Seger,1,1,1,1
You'll Accompany Me,Bob Seger,,You'll Accompany Me by Bob Seger,1,0,1,0
Hypnotized,Bob Welch,,Hypnotized by Bob Welch,1,0,2,0
Bad Medicine,Bon Jovi,1988,Bad Medicine by Bon Jovi,1,1,7,7
Blaze of Glory,Bon Jovi,1990,Blaze of Glory by Bon Jovi,1,1,8,8
Born To Be My Baby,Bon Jovi,1989,Born To Be My Baby by Bon Jovi,1,1,1,1
Lay Your Hands On Me,Bon Jovi,1988,Lay Your Hands On Me by Bon Jovi,1,1,2,2
Livin' On A Prayer,Bon Jovi,1986,Livin' On A Prayer by Bon Jovi,1,1,74,74
Raise Your Hands,Bon Jovi,,Raise Your Hands by Bon Jovi,1,0,1,0
Runaway,Bon Jovi,1984,Runaway by Bon Jovi,1,1,41,41
She Don't Know Me,Bon Jovi,,She Don't Know Me by Bon Jovi,1,0,2,0
Wanted Dead or Alive,Bon Jovi,1986,Wanted Dead or Alive by Bon Jovi,1,1,87,87
You Give Love A Bad Name,Bon Jovi,1986,You Give Love A Bad Name by Bon Jovi,1,1,63,63
Wait For You,Bonham,,Wait For You by Bonham,1,0,1,0
Green Onions,Booker T. and the MG's,1962,Green Onions by Booker T. and the MG's,1,1,4,4
A Man I'll Never Be,Boston,,A Man I'll Never Be by Boston,1,0,1,0
Amanda,Boston,1986,Amanda by Boston,1,1,4,4
Cool The Engines,Boston,,Cool The Engines by Boston,1,0,4,0
Don't Look Back,Boston,1978,Don't Look Back by Boston,1,1,86,86
Feelin' Satisfied,Boston,,Feelin' Satisfied by Boston,1,0,44,0
Foreplay (Long Time),Boston,1976,Foreplay (Long Time) by Boston,1,1,94,94
Hitch A Ride,Boston,1976,Hitch A Ride by Boston,1,1,11,11
Let Me Take You Home Tonight,Boston,1976,Let Me Take You Home Tonight by Boston,1,1,22,22
More Than a Feeling,Boston,1976,More Than a Feeling by Boston,1,1,134,134
Party,Boston,,Party by Boston,1,0,7,0
Peace of Mind,Boston,1976,Peace of Mind by Boston,1,1,132,132
Rock & Roll Band,Boston,1976,Rock & Roll Band by Boston,1,1,59,59
Smokin',Boston,1976,Smokin' by Boston,1,1,33,33
Something About You,Boston,,Something About You by Boston,1,0,26,0
The Journey/It's Easy,Boston,,The Journey/It's Easy by Boston,1,0,1,0
Used To Bad News,Boston,,Used To Bad News by Boston,1,0,1,0
We're Ready,Boston,,We're Ready by Boston,1,0,1,0
Lido Shuffle,Boz Scaggs,1976,Lido Shuffle by Boz Scaggs,1,1,11,11
Lowdown,Boz Scaggs,1976,Lowdown by Boz Scaggs,1,1,1,1
Tarkio Road,Brewer & Shipley,,Tarkio Road by Brewer & Shipley,1,0,1,0
The Way It Is,Bruce Hornsby & The Range,1986,The Way It Is by Bruce Hornsby & The Range,1,1,7,7
Atlantic City,Bruce Springsteen,1982,Atlantic City by Bruce Springsteen,1,1,1,1
Backstreets,Bruce Springsteen,1975,Backstreets by Bruce Springsteen,1,1,1,1
Badlands,Bruce Springsteen,1978,Badlands by Bruce Springsteen,1,1,2,2
Blinded By the Light,Bruce Springsteen,1973,Blinded By the Light by Bruce Springsteen,1,1,1,1
Born In the U.S.A.,Bruce Springsteen,1984,Born In the U.S.A. by Bruce Springsteen,1,1,14,14
Born To Run,Bruce Springsteen,1975,Born To Run by Bruce Springsteen,1,1,31,31
Cover Me,Bruce Springsteen,1984,Cover Me by Bruce Springsteen,1,1,1,1
Dancing In the Dark,Bruce Springsteen,1984,Dancing In the Dark by Bruce Springsteen,1,1,10,10
Glory Days,Bruce Springsteen,1984,Glory Days by Bruce Springsteen,1,1,21,21
Growin' Up,Bruce Springsteen,1973,Growin' Up by Bruce Springsteen,1,1,1,1
Hungry Heart,Bruce Springsteen,1980,Hungry Heart by Bruce Springsteen,1,1,7,7
I'm On Fire,Bruce Springsteen,1984,I'm On Fire by Bruce Springsteen,1,1,14,14
It's Hard to Be a Saint in the City,Bruce Springsteen,1973,It's Hard to Be a Saint in the City by Bruce Springsteen,1,1,1,1
Jersey Girl,Bruce Springsteen,,Jersey Girl by Bruce Springsteen,1,0,1,0
Jungleland,Bruce Springsteen,1975,Jungleland by Bruce Springsteen,1,1,2,2
Pink Cadillac,Bruce Springsteen,1984,Pink Cadillac by Bruce Springsteen,1,1,9,9
Prove It All Night,Bruce Springsteen,1978,Prove It All Night by Bruce Springsteen,1,1,2,2
Racing in the Streets,Bruce Springsteen,1978,Racing in the Streets by Bruce Springsteen,1,1,1,1
Rosalita (Come Out Tonight),Bruce Springsteen,1973,Rosalita (Come Out Tonight) by Bruce Springsteen,1,1,5,5
She's The One,Bruce Springsteen,1975,She's The One by Bruce Springsteen,1,1,1,1
Spirit In The Night,Bruce Springsteen,1973,Spirit In The Night by Bruce Springsteen,1,1,5,5
Tenth Avenue Freeze-Out,Bruce Springsteen,1975,Tenth Avenue Freeze-Out by Bruce Springsteen,1,1,4,4
Thunder Road,Bruce Springsteen,1975,Thunder Road by Bruce Springsteen,1,1,7,7
Cuts Like a Knife,Bryan Adams,1983,Cuts Like a Knife by Bryan Adams,1,1,17,17
Heaven,Bryan Adams,1984,Heaven by Bryan Adams,1,1,4,4
Run to You,Bryan Adams,1984,Run to You by Bryan Adams,1,1,42,42
Somebody,Bryan Adams,1984,Somebody by Bryan Adams,1,1,1,1
Summer Of '69,Bryan Adams,1984,Summer Of '69 by Bryan Adams,1,1,52,52
Sorry,Buckcherry,2007,Sorry by Buckcherry,1,1,1,1
For What It's Worth,Buffalo Springfield,1966,For What It's Worth by Buffalo Springfield,1,1,40,40
Mr. Soul,Buffalo Springfield,1967,Mr. Soul by Buffalo Springfield,1,1,1,1
Rock & Roll Woman,Buffalo Springfield,,Rock & Roll Woman by Buffalo Springfield,1,0,21,0
Comedown,Bush,1994,Comedown by Bush,1,1,5,5
Machinehead,Bush,1994,Machinehead by Bush,1,1,3,3
Far Behind,Candlebox,1993,Far Behind by Candlebox,1,1,3,3
Goin' up the Country,Canned Heat,1968,Goin' up the Country by Canned Heat,1,1,2,2
On the Road Again,Canned Heat,1968,On the Road Again by Canned Heat,1,1,1,1
IT'S TOO LATE,Carole King,1971,IT'S TOO LATE by Carole King,1,1,1,1
Oh Very Young,Cat Stevens,,Oh Very Young by Cat Stevens,1,0,1,0
WILD WORLD,Cat Stevens,1971,WILD WORLD by Cat Stevens,1,1,2,2
In America,Charlie Daniels Band,1980,In America by Charlie Daniels Band,1,1,1,1
Long Haired Country Boy,Charlie Daniels Band,1975,Long Haired Country Boy by Charlie Daniels Band,1,1,5,5
The Devil Went Down To Georgia,Charlie Daniels Band,1979,The Devil Went Down To Georgia by Charlie Daniels Band,1,1,25,25
The Legend Of Wooley Swamp,Charlie Daniels Band,,The Legend Of Wooley Swamp by Charlie Daniels Band,1,0,1,0
The South's Gonna Do It Again,Charlie Daniels Band,1975,The South's Gonna Do It Again by Charlie Daniels Band,1,1,1,1
Uneasy Rider,Charlie Daniels Band,1973,Uneasy Rider by Charlie Daniels Band,1,1,2,2
Ain't That a Shame,Cheap Trick,,Ain't That a Shame by Cheap Trick,1,0,8,0
Dream Police,Cheap Trick,,Dream Police by Cheap Trick,1,0,5,0
