prim_state,area_name,tot_emp,emp_prse,jobs_1000,loc quotient
AL,"Tuscaloosa, AL",100,20.3,1.102,1.07
ME,"Lewiston-Auburn, ME",50,21.3,1.102,1.07
MA,"New Bedford, MA",70,29.9,1.1,1.07
AZ,"Prescott, AZ",60,32.8,1.096,1.06
IL,"Chicago-Joliet-Naperville, IL Metropolitan Division",4050,10.3,1.094,1.06
WA,"Tacoma, WA Metropolitan Division",290,6.6,1.093,1.06
CO,"Boulder, CO",180,4.8,1.091,1.06
CA,"Yuba City, CA",40,23.8,1.089,1.06
NJ,"Camden, NJ Metropolitan Division",550,10.2,1.088,1.06
AR,"Fayetteville-Springdale-Rogers, AR-MO",230,3.6,1.086,1.06
DE,"Wilmington, DE-MD-NJ Metropolitan Division",350,5.6,1.081,1.05
CO,"Fort Collins-Loveland, CO",150,1,1.079,1.05
MI,"Monroe, MI",40,13.3,1.075,1.04
HI,"Honolulu, HI",470,3.1,1.068,1.04
SC,"Florence, SC",90,4.6,1.068,1.04
MO,"Cape Girardeau-Jackson, MO-IL",40,14.1,1.068,1.04
NM,"Santa Fe, NM",60,5,1.067,1.04
FL,"West Palm Beach-Boca Raton-Boynton Beach, FL Metropolitan Division",560,4,1.065,1.03
VA,"Winchester, VA-WV",60,45.2,1.062,1.03
MN,"St. Cloud, MN",100,7.7,1.06,1.03
MA,"Framingham, MA NECTA Division",170,10.6,1.056,1.03
CA,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",1100,5.1,1.05,1.02
PA,"Scranton--Wilkes-Barre, PA",260,13.9,1.05,1.02
NE,"Omaha-Council Bluffs, NE-IA",480,5,1.049,1.02
LA,"Lake Charles, LA",90,0,1.045,1.01
MA,"Peabody, MA NECTA Division",110,14.7,1.04,1.01
SD,"Rapid City, SD",60,1.1,1.039,1.01
NY,"New York-White Plains-Wayne, NY-NJ Metropolitan Division",5440,5.9,1.038,1.01
TX,"Amarillo, TX",110,5.6,1.038,1.01
KY,"Elizabethtown, KY",50,4.9,1.037,1.01
WI,"Janesville, WI",60,10.1,1.035,1
NC,"Asheville, NC",180,4.8,1.033,1
IA,"Davenport-Moline-Rock Island, IA-IL",190,15.3,1.031,1
IN,"Kokomo, IN",40,4.8,1.031,1
MO,"Kansas City, MO-KS",1020,7.9,1.03,1
AL,"Gadsden, AL",40,12.4,1.029,1
PA,"Philadelphia, PA Metropolitan Division",1890,7,1.028,1
OK,"Oklahoma City, OK",610,16.1,1.028,1
TX,"Austin-Round Rock-San Marcos, TX",880,5.4,1.026,1
UT,"Provo-Orem, UT",190,7.6,1.025,1
MO,"St. Louis, MO-IL",1320,5.7,1.024,0.99
IN,"Indianapolis-Carmel, IN",930,10.2,1.024,0.99
GA,"Augusta-Richmond County, GA-SC",210,6.6,1.015,0.99
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",800,3.9,1.014,0.99
VT,"Burlington-South Burlington, VT",120,19,1.011,0.98
SC,"Charleston-North Charleston-Summerville, SC",300,3.2,1.009,0.98
MT,"Missoula, MT",60,6.6,1.009,0.98
FL,"Lakeland-Winter Haven, FL",200,3.4,1.007,0.98
WA,"Seattle-Bellevue-Everett, WA Metropolitan Division",1460,5.3,1.005,0.98
GA,"Warner Robins, GA",60,10.6,1.005,0.98
TX,"Sherman-Denison, TX",40,11.2,1.004,0.98
NC,"Goldsboro, NC",40,16.8,1.004,0.97
MA,"Lowell-Billerica-Chelmsford, MA-NH NECTA Division",120,10.2,1.003,0.97
MN,"Mankato-North Mankato, MN",50,32,1.002,0.97
NC,"Jacksonville, NC",40,3.7,1.001,0.97
KS,"Wichita, KS",280,15.1,0.998,0.97
OR,"Salem, OR",140,8.8,0.995,0.97
MS,"Gulfport-Biloxi, MS",100,6.3,0.995,0.97
FL,"Pensacola-Ferry Pass-Brent, FL",150,4.6,0.994,0.97
IL,"Springfield, IL",100,18.5,0.993,0.96
NC,"Charlotte-Gastonia-Rock Hill, NC-SC",870,2.2,0.989,0.96
GA,"Gainesville, GA",70,6.9,0.989,0.96
IA,"Sioux City, IA-NE-SD",70,18.3,0.988,0.96
NY,"Buffalo-Niagara Falls, NY",530,9.1,0.987,0.96
CO,"Colorado Springs, CO",240,3.9,0.987,0.96
AZ,"Flagstaff, AZ",60,7.7,0.984,0.96
CA,"Santa Cruz-Watsonville, CA",80,8.3,0.98,0.95
TX,"Waco, TX",100,4.6,0.978,0.95
GA,"Atlanta-Sandy Springs-Marietta, GA",2250,6.6,0.975,0.95
PA,"Reading, PA",160,10.2,0.972,0.94
OH,"Cincinnati-Middletown, OH-KY-IN",970,6,0.971,0.94
NC,"Hickory-Lenoir-Morganton, NC",140,6.1,0.971,0.94
MT,"Billings, MT",80,7.9,0.97,0.94
TX,"Fort Worth-Arlington, TX Metropolitan Division",880,13.9,0.969,0.94
AL,"Mobile, AL",160,22.8,0.968,0.94
TX,"San Antonio-New Braunfels, TX",860,1.8,0.967,0.94
CA,"Merced, CA",60,31.1,0.966,0.94
IN,"Gary, IN Metropolitan Division",260,14.6,0.964,0.94
ND,"Fargo, ND-MN",120,7.3,0.964,0.94
TX,"Laredo, TX",90,8.9,0.962,0.93
TN,"Memphis, TN-MS-AR",570,3.5,0.961,0.93
WA,"Kennewick-Pasco-Richland, WA",90,5.5,0.96,0.93
OR,"Portland-Vancouver-Hillsboro, OR-WA",980,6.3,0.957,0.93
ID,"Idaho Falls, ID",50,29.3,0.955,0.93
AK,"Fairbanks, AK",30,0,0.955,0.93
MD,"Hagerstown-Martinsburg, MD-WV",100,6,0.954,0.93
TX,"College Station-Bryan, TX",90,26.5,0.953,0.93
CO,"Pueblo, CO",50,1.1,0.952,0.92
VA,"Danville, VA",40,24,0.951,0.92
IA,"Waterloo-Cedar Falls, IA",90,11.9,0.95,0.92
IA,"Cedar Rapids, IA",130,15.1,0.949,0.92
AR,"Pine Bluff, AR",30,3,0.935,0.91
TN,"Johnson City, TN",70,11.3,0.929,0.9
ID,"Boise City-Nampa, ID",250,11.4,0.927,0.9
OR,"Eugene-Springfield, OR",130,9.2,0.926,0.9
TX,"Beaumont-Port Arthur, TX",140,8.3,0.925,0.9
WY,"Cheyenne, WY",40,0,0.922,0.9
OH,"Columbus, OH",860,23.5,0.917,0.89
PA,"Allentown-Bethlehem-Easton, PA-NJ",310,9.4,0.916,0.89
MN,"Duluth, MN-WI",110,21,0.916,0.89
IA,"Ames, IA",40,10.3,0.902,0.88
TX,"Victoria, TX",50,5.2,0.897,0.87
TX,"Lubbock, TX",120,4,0.896,0.87
TX,"Midland, TX",70,3.9,0.896,0.87
MT,"Great Falls, MT",30,17.5,0.896,0.87
MO,"Joplin, MO",70,14.1,0.895,0.87
FL,"Panama City-Lynn Haven-Panama City Beach, FL",60,2.5,0.893,0.87
PA,"Harrisburg-Carlisle, PA",270,13.2,0.891,0.87
AK,"Anchorage, AK",160,1.8,0.888,0.86
CA,"Sacramento--Arden-Arcade--Roseville, CA",740,20.6,0.884,0.86
MI,"Holland-Grand Haven, MI",90,15.5,0.883,0.86
OH,"Akron, OH",280,10.8,0.88,0.85
TN,"Chattanooga, TN-GA",200,11.4,0.873,0.85
OR,"Medford, OR",70,38.2,0.872,0.85
LA,"Shreveport-Bossier City, LA",150,1.1,0.871,0.85
NH,"Portsmouth, NH-ME",50,20.9,0.871,0.85
OH,"Sandusky, OH",30,13.3,0.871,0.85
AL,"Decatur, AL",50,17.2,0.868,0.84
WV,"Wheeling, WV-OH",50,26.8,0.861,0.84
MN,"Rochester, MN",90,38.5,0.86,0.84
GA,"Savannah, GA",130,12.1,0.858,0.83
GA,"Brunswick, GA",30,9.4,0.849,0.82
FL,"Sebastian-Vero Beach, FL",40,2.5,0.848,0.82
TN,"Knoxville, TN",270,7,0.846,0.82
AL,"Huntsville, AL",180,10.8,0.843,0.82
PA,"Lebanon, PA",40,29.5,0.84,0.82
AL,"Dothan, AL",50,8.9,0.839,0.82
SC,"Spartanburg, SC",100,6.5,0.838,0.81
LA,"Houma-Bayou Cane-Thibodaux, LA",80,2.2,0.837,0.81
MI,"Muskegon-Norton Shores, MI",50,19.1,0.832,0.81
FL,"Jacksonville, FL",490,10,0.827,0.8
MA,"Taunton-Norton-Raynham, MA NECTA Division",40,3.7,0.827,0.8
CO,"Denver-Aurora-Broomfield, CO",1050,2.4,0.822,0.8
GA,"Macon, GA",80,15.8,0.822,0.8
OH,"Mansfield, OH",40,17.7,0.816,0.79
WA,"Bremerton-Silverdale, WA",60,4.9,0.812,0.79
OH,"Youngstown-Warren-Boardman, OH-PA",180,13,0.811,0.79
MN,"Minneapolis-St. Paul-Bloomington, MN-WI",1450,4.8,0.81,0.79
TX,"Houston-Sugar Land-Baytown, TX",2230,2.4,0.808,0.78
LA,"New Orleans-Metairie-Kenner, LA",420,3.7,0.805,0.78
OK,"Tulsa, OK",340,4.8,0.805,0.78
KY,"Louisville-Jefferson County, KY-IN",490,3.7,0.803,0.78
WI,"Green Bay, WI",130,16.5,0.803,0.78
LA,"Lafayette, LA",120,3.1,0.801,0.78
TX,"Longview, TX",80,11.2,0.801,0.78
FL,"Tampa-St. Petersburg-Clearwater, FL",920,5.4,0.798,0.77
MI,"Lansing-East Lansing, MI",160,12.4,0.797,0.77
TX,"Tyler, TX",70,8.2,0.797,0.77
NJ,"Atlantic City-Hammonton, NJ",110,7.8,0.795,0.77
AZ,"Tucson, AZ",280,5.4,0.792,0.77
IA,"Dubuque, IA",50,9.4,0.791,0.77
NE,"Lincoln, NE",130,2,0.786,0.76
TX,"Dallas-Plano-Irving, TX Metropolitan Division",1680,4.6,0.784,0.76
FL,"North Port-Bradenton-Sarasota, FL",190,4.2,0.784,0.76
FL,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL Metropolitan Division",570,5.8,0.781,0.76
IN,"Michigan City-La Porte, IN",30,32.7,0.779,0.76
WI,"Milwaukee-Waukesha-West Allis, WI",630,4.6,0.777,0.75
WV,"Huntington-Ashland, WV-KY-OH",80,10,0.777,0.75
WV,"Charleston, WV",110,13.3,0.774,0.75
MI,"Kalamazoo-Portage, MI",100,19,0.764,0.74
CA,"Salinas, CA",120,31.1,0.76,0.74
TX,"Corpus Christi, TX",140,10.2,0.755,0.73
CA,"Oakland-Fremont-Hayward, CA Metropolitan Division",760,16.3,0.754,0.73
IA,"Des Moines-West Des Moines, IA",250,13.8,0.75,0.73
NC,"Wilmington, NC",100,5.9,0.749,0.73
PA,"Williamsport, PA",40,14.5,0.749,0.73
CA,"San Jose-Sunnyvale-Santa Clara, CA",700,12.5,0.748,0.73
GA,"Columbus, GA-AL",80,14.1,0.741,0.72
SD,"Sioux Falls, SD",100,2.7,0.739,0.72
NJ,"Vineland-Millville-Bridgeton, NJ",40,5,0.739,0.72
FL,"Port St. Lucie, FL",90,6.1,0.737,0.72
WA,"Bellingham, WA",60,16.2,0.737,0.72
AL,"Birmingham-Hoover, AL",360,10.6,0.736,0.72
MI,"Battle Creek, MI",40,9.3,0.736,0.72
IL,"Rockford, IL",110,14.1,0.735,0.71
IN,"Fort Wayne, IN",150,4.9,0.733,0.71
FL,"Naples-Marco Island, FL",90,1.6,0.722,0.7
MI,"Saginaw-Saginaw Township North, MI",60,16.3,0.716,0.7
PA,"Erie, PA",90,18.6,0.712,0.69
GA,"Dalton, GA",40,15.2,0.712,0.69
NM,"Farmington, NM",40,4.2,0.703,0.68
GA,"Valdosta, GA",30,10.3,0.691,0.67
NV,"Reno-Sparks, NV",130,0.3,0.69,0.67
WI,"Wausau, WI",40,21.5,0.686,0.67
TX,"Texarkana-Texarkana, TX-AR",40,9.2,0.679,0.66
AL,"Florence-Muscle Shoals, AL",30,28.3,0.669,0.65
CO,"Grand Junction, CO",40,7.3,0.668,0.65
FL,"Miami-Miami Beach-Kendall, FL Metropolitan Division",680,6.8,0.663,0.64
CA,"San Luis Obispo-Paso Robles, CA",70,25.6,0.663,0.64
WI,"Racine, WI",50,16.1,0.663,0.64
CA,"Stockton, CA",130,19,0.661,0.64
MI,"Detroit-Livonia-Dearborn, MI Metropolitan Division",460,8.9,0.651,0.63
CA,"El Centro, CA",30,12.7,0.65,0.63
PA,"Lancaster, PA",140,15.4,0.649,0.63
NM,"Albuquerque, NM",240,6.8,0.645,0.63
PA,"York-Hanover, PA",110,11.6,0.645,0.63
CA,"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",2530,5.9,0.638,0.62
CA,"Santa Barbara-Santa Maria-Goleta, CA",100,30.7,0.606,0.59
FL,"Orlando-Kissimmee-Sanford, FL",630,1.9,0.605,0.59
IN,"Elkhart-Goshen, IN",70,5.6,0.599,0.58
WI,"Oshkosh-Neenah, WI",50,13.7,0.594,0.58
ID,"Coeur d'Alene, ID",30,17.9,0.586,0.57
IN,"Evansville, IN-KY",100,4.4,0.576,0.56
CA,"Fresno, CA",180,24.4,0.573,0.56
UT,"Salt Lake City, UT",370,7.5,0.567,0.55
FL,"Cape Coral-Fort Myers, FL",120,22.2,0.562,0.55
WI,"Eau Claire, WI",40,11.7,0.553,0.54
CA,"Vallejo-Fairfield, CA",70,11.2,0.549,0.53
MI,"Flint, MI",70,11.4,0.541,0.53
AZ,"Yuma, AZ",30,20.4,0.54,0.52
MI,"Warren-Troy-Farmington Hills, MI Metropolitan Division",600,8.6,0.538,0.52
CA,"Napa, CA",40,28.4,0.533,0.52
AZ,"Phoenix-Mesa-Glendale, AZ",950,5.5,0.531,0.52
TX,"Odessa, TX",40,0,0.522,0.51
NM,"Las Cruces, NM",40,9,0.521,0.51
MI,"Grand Rapids-Wyoming, MI",210,14.2,0.516,0.5
CA,"Santa Rosa-Petaluma, CA",90,21.1,0.509,0.49
CA,"San Diego-Carlsbad-San Marcos, CA",650,6.6,0.506,0.49
NV,"Las Vegas-Paradise, NV",410,1,0.492,0.48
CA,"Chico, CA",30,28.3,0.49,0.48
WI,"Appleton, WI",60,19.6,0.488,0.47
CA,"Riverside-San Bernardino-Ontario, CA",550,19,0.459,0.45
CA,"Oxnard-Thousand Oaks-Ventura, CA",120,7.8,0.415,0.4
CA,"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",570,7,0.392,0.38
CA,"Modesto, CA",60,30.1,0.359,0.35
CA,"Bakersfield-Delano, CA",90,9.8,0.304,0.3
UT,"Ogden-Clearfield, UT",30,15.5,0.163,0.16
