,Pct. Of major sports searches,,,,,,,
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,39%,20%,15%,4%,6%,6%,10%,45.30%
Champaign & Springfield-Decatur IL,30%,24%,25%,6%,6%,5%,5%,55.92%
Charleston SC,40%,22%,10%,4%,6%,5%,14%,48.74%
Charleston-Huntington WV,33%,19%,10%,3%,10%,14%,12%,69.61%
Charlotte NC,41%,23%,9%,3%,10%,6%,8%,53.45%
Charlottesville VA,37%,22%,12%,5%,7%,8%,9%,39.58%
Chattanooga TN,31%,21%,11%,3%,9%,4%,20%,68.63%
Cheyenne WY-Scottsbluff NE,51%,16%,11%,5%,5%,3%,10%,64.88%
Chicago IL,33%,28%,19%,10%,3%,4%,5%,31.09%
Chico-Redding CA,44%,24%,18%,3%,5%,2%,4%,56.06%
Cincinnati OH,38%,20%,16%,4%,5%,10%,8%,57.57%
Clarksburg-Weston WV,35%,17%,12%,5%,10%,8%,14%,69.75%
Cleveland-Akron (Canton) OH,34%,33%,16%,3%,4%,2%,7%,46.14%
Colorado Springs-Pueblo CO,52%,17%,12%,6%,3%,3%,7%,55.71%
Columbia SC,36%,26%,8%,2%,6%,4%,17%,61.12%
Columbia-Jefferson City MO,33%,19%,23%,6%,6%,5%,8%,45.53%
Columbus GA,30%,27%,9%,2%,5%,6%,21%,50.82%
Columbus OH,33%,24%,12%,8%,5%,5%,13%,47.90%
Columbus-Tupelo-West Point MS,39%,23%,9%,2%,6%,4%,16%,63.82%
Corpus Christi TX,47%,29%,10%,2%,3%,2%,7%,51.18%
Dallas-Ft. Worth TX,40%,28%,13%,3%,3%,3%,10%,53.50%
Davenport IA-Rock Island-Moline IL,38%,18%,21%,5%,7%,4%,7%,49.45%
Dayton OH,40%,21%,12%,4%,6%,6%,10%,58.66%
Denver CO,49%,19%,13%,7%,3%,3%,6%,40.73%
Des Moines-Ames IA,39%,19%,15%,4%,7%,7%,10%,49.64%
Detroit MI,30%,26%,16%,10%,3%,6%,9%,41.93%
Dothan AL,29%,21%,8%,2%,7%,4%,29%,73.61%
Duluth MN-Superior WI,43%,15%,13%,18%,5%,3%,4%,44.08%
El Paso TX,54%,25%,10%,2%,2%,2%,5%,28.53%
Elmira NY,44%,14%,15%,7%,12%,3%,4%,62.86%
Erie PA,44%,16%,15%,12%,6%,3%,5%,53.78%
Eugene OR,34%,28%,12%,3%,4%,4%,15%,40.87%
Eureka CA,37%,26%,23%,3%,4%,2%,4%,34.44%
Evansville IN,30%,21%,14%,3%,7%,19%,5%,65.84%
Fargo-Valley City ND,44%,18%,12%,13%,5%,3%,6%,56.78%
Flint-Saginaw-Bay City MI,31%,20%,16%,8%,7%,8%,9%,51.00%
Florence-Myrtle Beach SC,37%,22%,12%,3%,10%,5%,11%,56.54%
Fresno-Visalia CA,46%,26%,15%,4%,3%,2%,4%,46.28%
Ft. Myers-Naples FL,38%,21%,15%,8%,5%,5%,8%,59.62%
Ft. Smith-Fayetteville-Springdale-Rogers AR,35%,25%,12%,3%,5%,5%,16%,63.21%
Ft. Wayne IN,39%,21%,14%,5%,7%,7%,7%,64.98%
Gainesville FL,32%,26%,9%,4%,4%,5%,19%,44.27%
Glendive MT,56%,14%,13%,0%,9%,3%,4%,77.21%
Grand Junction-Montrose CO,54%,15%,12%,5%,5%,3%,6%,64.91%
Grand Rapids-Kalamazoo-Battle Creek MI,30%,19%,16%,8%,6%,10%,10%,52.87%
Great Falls MT,50%,19%,11%,5%,5%,3%,6%,59.38%
Green Bay-Appleton WI,51%,16%,14%,4%,6%,3%,5%,55.80%
Greensboro-High Point-Winston Salem NC,38%,23%,9%,3%,10%,9%,7%,54.19%
Greenville-New Bern-Washington NC,40%,21%,11%,4%,9%,7%,9%,55.91%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,34%,20%,11%,3%,9%,6%,17%,61.19%
Greenwood-Greenville MS,33%,39%,8%,1%,3%,4%,12%,38.45%
Harlingen-Weslaco-Brownsville-McAllen TX,50%,33%,10%,1%,2%,1%,4%,29.00%
Harrisburg-Lancaster-Lebanon-York PA,43%,16%,17%,9%,7%,3%,6%,59.18%
Harrisonburg VA,42%,20%,12%,5%,8%,5%,7%,61.24%
Hartford & New Haven CT,38%,24%,19%,8%,4%,3%,4%,41.93%
Hattiesburg-Laurel MS,40%,24%,8%,1%,5%,3%,20%,65.41%
Helena MT,52%,15%,11%,6%,4%,4%,8%,51.48%
Honolulu HI,43%,29%,11%,4%,1%,3%,8%,30.04%
Houston TX,42%,32%,12%,2%,2%,2%,8%,49.76%
Huntsville-Decatur (Florence) AL,27%,22%,9%,3%,7%,5%,27%,67.73%
Idaho Falls-Pocatello ID,44%,24%,10%,5%,4%,3%,9%,58.14%
Indianapolis IN,37%,28%,12%,3%,6%,7%,6%,54.95%
Jackson MS,38%,31%,8%,1%,4%,4%,15%,49.42%
Jackson TN,32%,28%,13%,2%,7%,5%,13%,68.00%
Jacksonville FL,42%,23%,9%,4%,5%,3%,13%,58.92%
Johnstown-Altoona PA,37%,14%,17%,13%,6%,3%,9%,66.30%
Jonesboro AR,31%,28%,15%,2%,7%,5%,14%,68.79%
Joplin MO-Pittsburg KS,41%,18%,18%,2%,7%,6%,8%,72.57%
Kansas City MO,36%,18%,25%,3%,4%,8%,6%,49.73%
Knoxville TN,32%,19%,11%,4%,10%,7%,17%,70.60%
La Crosse-Eau Claire WI,48%,16%,14%,6%,6%,4%,5%,49.37%
Lafayette IN,33%,30%,13%,5%,4%,8%,7%,51.70%
Lafayette LA,45%,28%,8%,2%,3%,3%,13%,66.55%
Lake Charles LA,43%,27%,9%,2%,4%,2%,12%,68.47%
Lansing MI,26%,21%,13%,8%,5%,16%,11%,46.28%
Laredo TX,44%,39%,10%,2%,1%,1%,3%,23.28%
Las Vegas NV,38%,27%,16%,6%,3%,4%,6%,42.47%
Lexington KY,22%,20%,8%,2%,6%,35%,7%,63.82%
Lima OH,36%,22%,13%,3%,8%,5%,14%,72.08%
Lincoln & Hastings-Kearney NE,33%,19%,13%,3%,6%,5%,20%,63.22%
Little Rock-Pine Bluff AR,32%,28%,16%,2%,4%,4%,13%,58.17%
Los Angeles CA,34%,35%,16%,6%,2%,3%,5%,31.70%
Louisville KY,26%,21%,9%,2%,6%,27%,9%,54.68%
Lubbock TX,42%,25%,12%,2%,3%,3%,12%,69.69%
Macon GA,34%,29%,10%,2%,7%,4%,14%,54.20%
Madison WI,43%,18%,14%,5%,7%,5%,8%,32.97%
Mankato MN,44%,18%,14%,12%,4%,3%,4%,54.38%
Marquette MI,41%,13%,15%,16%,5%,4%,5%,55.34%
Medford-Klamath Falls OR,42%,23%,15%,3%,5%,3%,10%,55.46%
Memphis TN,33%,36%,9%,2%,4%,5%,11%,47.36%
Meridian MS,28%,29%,14%,2%,5%,5%,17%,58.93%
Miami-Ft. Lauderdale FL,31%,41%,13%,4%,2%,2%,6%,33.03%
Milwaukee WI,42%,25%,16%,5%,4%,4%,5%,46.14%
Minneapolis-St. Paul MN,41%,21%,14%,13%,4%,3%,5%,44.33%
Minot-Bismarck-Dickinson(Williston) ND,50%,17%,11%,8%,6%,3%,5%,71.05%
Missoula MT,49%,17%,12%,6%,4%,4%,8%,54.19%
Mobile AL-Pensacola (Ft. Walton Beach) FL,34%,21%,10%,3%,6%,4%,22%,64.14%
Monroe LA-El Dorado AR,38%,31%,9%,1%,5%,3%,13%,63.82%
Monterey-Salinas CA,38%,31%,19%,5%,2%,2%,4%,22.95%
Montgomery (Selma) AL,24%,28%,8%,1%,5%,6%,27%,50.20%
Nashville TN,35%,21%,10%,7%,6%,8%,13%,60.71%
New Orleans LA,45%,28%,8%,2%,3%,3%,11%,53.67%
New York NY,32%,32%,19%,9%,2%,3%,3%,35.24%
Norfolk-Portsmouth-Newport News VA,47%,23%,11%,4%,5%,4%,6%,44.00%
North Platte NE,38%,17%,10%,2%,7%,5%,21%,77.35%
Odessa-Midland TX,48%,24%,12%,2%,4%,2%,9%,70.44%
Oklahoma City OK,32%,33%,9%,3%,4%,3%,15%,62.83%
Omaha NE,34%,20%,14%,4%,5%,6%,16%,55.34%
Orlando-Daytona Beach-Melbourne FL,35%,28%,14%,5%,5%,3%,10%,49.22%
Ottumwa IA-Kirksville MO,37%,16%,18%,4%,11%,9%,6%,63.52%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29%,21%,22%,4%,7%,11%,6%,71.45%
Palm Springs CA,41%,23%,16%,9%,3%,3%,5%,44.73%
Panama City FL,32%,19%,10%,4%,7%,4%,23%,72.62%
Parkersburg WV,36%,18%,11%,4%,11%,6%,13%,69.63%
Peoria-Bloomington IL,33%,21%,26%,7%,5%,4%,4%,52.81%
Philadelphia PA,40%,25%,15%,9%,3%,3%,4%,36.61%
Phoenix AZ,44%,23%,15%,6%,3%,4%,6%,50.09%
Pittsburgh PA,33%,13%,19%,20%,4%,5%,6%,52.24%
Portland OR,33%,33%,16%,5%,3%,3%,8%,36.85%
Portland-Auburn ME,39%,19%,19%,10%,7%,2%,3%,42.97%
Presque Isle ME,31%,26%,18%,11%,9%,3%,2%,55.54%
Providence RI-New Bedford MA,41%,24%,18%,10%,3%,3%,3%,40.21%
Quincy IL-Hannibal MO-Keokuk IA,34%,18%,27%,5%,7%,4%,5%,68.03%
Raleigh-Durham (Fayetteville) NC,37%,25%,10%,5%,6%,10%,7%,40.60%
Rapid City SD,51%,17%,12%,5%,5%,3%,6%,66.94%
Reno NV,42%,22%,19%,5%,3%,3%,6%,51.55%
Richmond-Petersburg VA,43%,24%,11%,4%,6%,5%,6%,44.06%
Roanoke-Lynchburg VA,35%,22%,14%,5%,9%,6%,10%,60.30%
Rochester MN-Mason City IA-Austin MN,45%,18%,13%,9%,6%,3%,6%,50.78%
Rochester NY,44%,18%,16%,11%,4%,3%,3%,44.07%
Rockford IL,40%,21%,20%,7%,5%,3%,4%,50.22%
Sacramento-Stockton-Modesto CA,40%,33%,16%,3%,3%,2%,4%,40.26%
Salisbury MD,44%,18%,20%,5%,6%,3%,4%,57.38%
Salt Lake City UT,39%,32%,10%,4%,3%,3%,10%,46.81%
San Angelo TX,46%,24%,11%,2%,4%,2%,11%,74.12%
San Antonio TX,39%,39%,9%,2%,2%,2%,7%,49.36%
San Diego CA,43%,26%,16%,5%,2%,3%,5%,37.02%
San Francisco-Oakland-San Jose CA,34%,36%,17%,5%,2%,2%,4%,18.56%
Santa Barbara-Santa Maria-San Luis Obispo CA,38%,30%,17%,5%,2%,3%,5%,36.03%
Savannah GA,37%,26%,11%,4%,6%,4%,13%,54.52%
Seattle-Tacoma WA,47%,21%,13%,4%,2%,3%,10%,32.15%
Sherman TX-Ada OK,38%,25%,13%,2%,6%,3%,13%,75.05%
Shreveport LA,41%,28%,10%,2%,5%,2%,11%,63.05%
Sioux City IA,40%,18%,12%,4%,7%,7%,12%,68.06%
Sioux Falls(Mitchell) SD,48%,19%,12%,5%,6%,4%,6%,61.41%
South Bend-Elkhart IN,32%,21%,15%,5%,7%,9%,12%,58.42%
Spokane WA,45%,16%,10%,4%,4%,13%,7%,56.02%
Springfield MO,38%,18%,20%,4%,7%,4%,7%,72.57%
Springfield-Holyoke MA,39%,24%,18%,10%,3%,3%,3%,34.52%
St. Joseph MO,42%,18%,22%,2%,5%,5%,6%,64.68%
St. Louis MO,32%,18%,25%,11%,4%,4%,5%,50.62%
Syracuse NY,38%,23%,14%,9%,6%,6%,5%,43.45%
Tallahassee FL-Thomasville GA,32%,25%,9%,3%,5%,4%,23%,48.52%
Tampa-St. Petersburg (Sarasota) FL,37%,21%,17%,9%,4%,3%,9%,52.10%
Terre Haute IN,38%,21%,18%,3%,9%,6%,5%,68.85%
Toledo OH,35%,21%,14%,6%,7%,5%,13%,51.10%
Topeka KS,37%,18%,19%,2%,5%,9%,10%,57.33%
Traverse City-Cadillac MI,31%,15%,18%,11%,8%,8%,10%,59.97%
Tri-Cities TN-VA,33%,17%,11%,3%,15%,7%,15%,76.54%
Tucson (Sierra Vista) AZ,39%,21%,13%,4%,3%,15%,6%,40.89%
Tulsa OK,33%,28%,11%,3%,5%,4%,16%,65.59%
Twin Falls ID,45%,22%,10%,4%,4%,4%,10%,62.85%
Tyler-Longview(Lufkin & Nacogdoches) TX,42%,24%,14%,2%,5%,2%,10%,72.80%
Utica NY,38%,20%,17%,10%,6%,4%,4%,57.47%
Victoria TX,45%,30%,10%,2%,4%,2%,7%,68.36%
Waco-Temple-Bryan TX,39%,27%,10%,2%,4%,3%,14%,61.59%
Washington DC (Hagerstown MD),43%,24%,14%,7%,3%,4%,5%,29.90%
Watertown NY,39%,16%,14%,16%,8%,3%,4%,55.93%
Wausau-Rhinelander WI,49%,14%,15%,6%,8%,3%,5%,55.86%
West Palm Beach-Ft. Pierce FL,31%,34%,18%,6%,3%,2%,5%,45.87%
Wheeling WV-Steubenville OH,38%,15%,16%,9%,6%,4%,11%,67.75%
Wichita Falls TX & Lawton OK,40%,26%,12%,2%,5%,3%,12%,73.72%
Wichita-Hutchinson KS,42%,21%,13%,3%,5%,9%,8%,65.22%
Wilkes Barre-Scranton PA,43%,16%,16%,7%,8%,3%,7%,60.11%
Wilmington NC,40%,20%,12%,5%,8%,9%,7%,55.91%
Yakima-Pasco-Richland-Kennewick WA,52%,19%,11%,3%,3%,4%,7%,55.26%
Youngstown OH,41%,23%,15%,5%,5%,3%,8%,53.17%
Yuma AZ-El Centro CA,47%,22%,18%,4%,3%,2%,4%,37.48%
Zanesville OH,36%,21%,11%,4%,10%,4%,14%,64.59%
