name,year,team,league,goose_eggs,broken_eggs,mehs,league_average_gpct,ppf,replacement_gpct,gwar,key_retro
Lefty Weinert,1921,PHI,NL,0,0,0,0.728262,111,0.693262,,weinl101
Phil Douglas,1921,NY1,NL,6,4,0,0.746462,98,0.711462,-0.5796021,dougp101
Cy Morgan,1921,BSN,NL,4,0,0,0.749262,96,0.7142619,0.5943351,morgc101
Whitey Glazner,1921,PIT,NL,1,1,2,0.742262,101,0.707262,-0.2155525,glazw101
Tony Kaufmann,1921,CHN,NL,3,0,0,0.742262,101,0.707262,0.4566713,kauft101
Sweetbreads Bailey,1921,BRO,NL,0,0,0,0.738062,104,0.703062,,bails101
Burleigh Grimes,1921,BRO,NL,0,0,0,0.738062,104,0.703062,,grimb101
Charlie Eckert,1922,PHA,AL,0,2,1,0.7100418,105,0.6750417,-0.7020434,eckec101
Dixie Leverett,1922,CHA,AL,4,0,0,0.7170418,100,0.6820418,0.6613531,leved101
Ferdie Schupp,1922,CHA,AL,5,0,3,0.7170418,100,0.6820418,0.8266914,schuf102
Guy Morton,1922,CLE,AL,4,1,1,0.7170418,100,0.6820418,0.3066914,mortg101
Urban Shocker,1922,SLA,AL,5,2,3,0.7128418,103,0.6778418,0.132656,shocu101
Chief Youngblood,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,younc101
Ray Kolp,1922,SLA,AL,1,1,1,0.7128418,103,0.6778418,-0.1849554,kolpr101
Dutch Henry,1922,SLA,AL,0,0,0,0.7128418,103,0.6778418,,henrd101
Dave Keefe,1922,CLE,AL,1,1,0,0.7170418,100,0.6820418,-0.1893234,keefd101
Jose Acosta,1922,CHA,AL,1,3,0,0.7170418,100,0.6820418,-0.8986469,acosj101
Jim Bagby,1922,CLE,AL,5,0,0,0.7170418,100,0.6820418,0.8266914,bagbj101
Tom Zachary,1922,WS1,AL,4,0,1,0.7226418,96,0.6876417,0.6497052,zacht101
Dan Boone,1922,CLE,AL,0,0,1,0.7170418,100,0.6820418,,boond102
Jim Lindsey,1922,CLE,AL,10,3,0,0.7170418,100,0.6820418,0.5893978,lindj102
Stan Coveleski,1922,CLE,AL,3,0,0,0.7170418,100,0.6820418,0.4960148,coves101
Carl Mays,1922,NYA,AL,2,1,1,0.7198418,98,0.6848418,-0.0283531,maysc101
Lum Davenport,1922,CHA,AL,2,1,0,0.7170418,100,0.6820418,-0.0239851,davel101
Allen Sothoron,1922,CLE,AL,0,1,0,0.7170418,100,0.6820418,-0.3546617,sotha101
Doug McWeeny,1922,CHA,AL,0,0,0,0.7170418,100,0.6820418,,mcwed101
Syl Johnson,1922,DET,AL,2,0,0,0.7226418,96,0.6876417,0.3248526,johns101
Dave Danforth,1922,SLA,AL,1,0,0,0.7128418,103,0.6778418,0.1675223,danfd101
Gus Ketchum,1922,PHA,AL,1,1,0,0.7100418,105,0.6750417,-0.1820434,ketcg101
Ted Odenwald,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,odent101
Ray Francis,1922,WS1,AL,2,0,0,0.7226418,96,0.6876417,0.3248526,franr101
Eddie Rommel,1922,PHA,AL,10,3,2,0.7100418,105,0.6750417,0.636718,romme101
Tom Phillips,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,philt102
Jim Sullivan,1922,PHA,AL,3,1,0,0.7100418,105,0.6750417,0.1559132,sullj108
Eric Erickson,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,erice101
Jack Quinn,1922,BOS,AL,1,0,1,0.7156418,101,0.6806418,0.1660663,quinj102
Herman Pillette,1922,DET,AL,0,0,0,0.7226418,96,0.6876417,,pillh101
Ole Olsen,1922,DET,AL,1,1,1,0.7226418,96,0.6876417,-0.1951474,olseo101
Joe Shaute,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,shauj101
John Russell,1922,CHA,AL,1,0,0,0.7170418,100,0.6820418,0.1653383,russj101
George Edmondson,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,edmog101
Elmer Myers,1922,BOS,AL,0,0,0,0.7156418,101,0.6806418,,myere101
Roy Moore,1922,DET,AL,0,0,0,0.7226418,96,0.6876417,,moorr102
Hooks Dauss,1922,DET,AL,2,0,0,0.7226418,96,0.6876417,0.3248526,daush101
George Murray,1922,NYA,AL,6,1,2,0.7198418,98,0.6848418,0.627176,murrg101
Curt Fullerton,1922,BOS,AL,0,0,1,0.7156418,101,0.6806418,,fullc102
Lefty O'Doul,1922,NYA,AL,0,0,0,0.7198418,98,0.6848418,,odoul101
Cy Warmoth,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,warmc101
Joe Gleason,1922,WS1,AL,0,1,0,0.7226418,96,0.6876417,-0.3575737,gleaj101
Elam Vangilder,1922,SLA,AL,5,2,1,0.7128418,103,0.6778418,0.132656,vange101
Shovel Hodge,1922,CHA,AL,10,2,2,0.7170418,100,0.6820418,0.9440593,hodgs101
Slim Harriss,1922,PHA,AL,3,2,1,0.7100418,105,0.6750417,-0.1951084,harrs101
Waite Hoyt,1922,NYA,AL,7,2,0,0.7198418,98,0.6848418,0.4349407,hoytw101
Allen Russell,1922,BOS,AL,8,4,0,0.7156418,101,0.6806418,-0.0872045,russa101
Hub Pruett,1922,SLA,AL,5,2,1,0.7128418,103,0.6778418,0.132656,prueh101
Rip Collins,1922,BOS,AL,0,0,1,0.7156418,101,0.6806418,,collr104
Duster Mails,1922,CLE,AL,1,2,1,0.7170418,100,0.6820418,-0.5439851,mailw101
Tex Jeanes,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,jeant101
Jim Brillheart,1922,WS1,AL,1,0,0,0.7226418,96,0.6876417,0.1624263,brilj101
George Mogridge,1922,WS1,AL,3,3,1,0.7226418,96,0.6876417,-0.5854422,mogrg101
Benn Karr,1922,BOS,AL,2,3,2,0.7156418,101,0.6806418,-0.7296686,karrb101
George Winn,1922,CLE,AL,2,1,1,0.7170418,100,0.6820418,-0.0239851,winng101
Roy Wilkinson,1922,CHA,AL,0,1,0,0.7170418,100,0.6820418,-0.3546617,wilkr101
Clem Llewellyn,1922,NYA,AL,0,0,0,0.7198418,98,0.6848418,,llewc101
Frank Mack,1922,CHA,AL,0,0,0,0.7170418,100,0.6820418,,mackf101
Sad Sam Jones,1922,NYA,AL,7,1,4,0.7198418,98,0.6848418,0.7910583,jones104
George Uhle,1922,CLE,AL,6,2,0,0.7170418,100,0.6820418,0.2827063,uhleg101
Bill Bayne,1922,SLA,AL,6,1,3,0.7128418,103,0.6778418,0.652656,baynb101
Nellie Pott,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,pottn101
Dick McCabe,1922,CHA,AL,0,1,0,0.7170418,100,0.6820418,-0.3546617,mccad102
Ernie Cox,1922,CHA,AL,0,0,0,0.7170418,100,0.6820418,,cox-e101
Charlie Jamieson,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,jamic101
Fred Heimach,1922,PHA,AL,2,1,0,0.7100418,105,0.6750417,-0.0130651,heimf101
Ted Blankenship,1922,CHA,AL,11,5,3,0.7170418,100,0.6820418,0.0454125,blant101
Curly Ogden,1922,PHA,AL,0,0,0,0.7100418,105,0.6750417,,ogdec101
Rasty Wright,1922,SLA,AL,3,1,0,0.7128418,103,0.6778418,0.1500891,wrigr104
Emmett Bowles,1922,CHA,AL,0,0,0,0.7170418,100,0.6820418,,bowle101
Red Faber,1922,CHA,AL,6,1,2,0.7170418,100,0.6820418,0.637368,faber101
Lucas Turk,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,turkl101
Rollie Naylor,1922,PHA,AL,3,2,1,0.7100418,105,0.6750417,-0.1951084,naylr101
Harry Courtney,1922,WS1,AL,0,0,0,0.7226418,96,0.6876417,,courh101
Bullet Joe Bush,1922,NYA,AL,11,1,1,0.7198418,98,0.6848418,1.446588,bushj102
Howard Ehmke,1922,DET,AL,13,2,2,0.7226418,96,0.6876417,1.396394,ehmkh101
Charlie Robertson,1922,CHA,AL,2,2,0,0.7170418,100,0.6820418,-0.3786469,robec101
Roy Moore,1922,PHA,AL,0,3,0,0.7100418,105,0.6750417,-1.053065,moorr102
Bill Piercy,1922,BOS,AL,0,0,1,0.7156418,101,0.6806418,,pierb103
Sam Dodge,1922,BOS,AL,0,0,0,0.7156418,101,0.6806418,,dodgs101
Lil Stoner,1922,DET,AL,0,0,0,0.7226418,96,0.6876417,,stonl101
Harry Courtney,1922,CHA,AL,2,1,0,0.7170418,100,0.6820418,-0.0239851,courh101
Rube Yarrison,1922,PHA,AL,0,1,0,0.7100418,105,0.6750417,-0.3510217,yarrr101
Homer Blankenship,1922,CHA,AL,0,0,0,0.7170418,100,0.6820418,,blanh101
Red Oldham,1922,DET,AL,2,4,1,0.7226418,96,0.6876417,-1.105442,oldhr101
Walter Johnson,1922,WS1,AL,3,1,0,0.7226418,96,0.6876417,0.1297052,johnw102
Herb Pennock,1922,BOS,AL,1,2,0,0.7156418,101,0.6806418,-0.5418012,pennh101
James Edwards,1922,CLE,AL,10,3,2,0.7170418,100,0.6820418,0.5893978,edwaj102
Bert Cole,1922,DET,AL,1,2,0,0.7226418,96,0.6876417,-0.5527211,coleb101
Alex Ferguson,1922,BOS,AL,3,0,0,0.7156418,101,0.6806418,0.4981988,ferga101
John Middleton,1922,CLE,AL,0,0,0,0.7170418,100,0.6820418,,middj101
Red Schillings,1922,PHA,AL,0,0,0,0.7100418,105,0.6750417,,schir101
Bob Shawkey,1922,NYA,AL,7,3,1,0.7198418,98,0.6848418,0.0788228,shawb102
George Stueland,1922,CHN,NL,1,2,0,0.7479419,102,0.7129418,-0.5921893,stueg101
Jack Scott,1922,NY1,NL,2,1,1,0.7535418,98,0.7185418,-0.0809252,scotj101
Eppa Rixey,1922,CIN,NL,0,0,0,0.7549418,97,0.7199418,,rixee101
Frank Miller,1922,BSN,NL,6,0,0,0.7549418,97,0.7199418,0.8737816,millf102
Lou North,1922,SLN,NL,1,0,1,0.7591419,94,0.7241418,0.1434463,nortl101
Jimmy Ring,1922,PHI,NL,5,0,2,0.7325419,113,0.6975418,0.7863913,ringj101
Red Shea,1922,NY1,NL,2,3,0,0.7535418,98,0.7185418,-0.8282087,shear102
Burleigh Grimes,1922,BRO,NL,0,1,1,0.7507418,100,0.7157418,-0.3721857,grimb101
George Smith,1922,PHI,NL,6,2,2,0.7325419,113,0.6975418,0.218226,smitg104
Roy Walker,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,walkr102
Petie Behan,1922,PHI,NL,7,0,0,0.7325419,113,0.6975418,1.100948,behap101
Joe Genewich,1922,BSN,NL,0,0,0,0.7549418,97,0.7199418,,genej101
Huck Betts,1922,PHI,NL,3,1,0,0.7325419,113,0.6975418,0.109113,betth101
Duke Gillespie,1922,CIN,NL,0,0,1,0.7549418,97,0.7199418,,gillj103
Bonnie Hollingsworth,1922,PIT,NL,0,0,0,0.7507418,100,0.7157418,,hollb102
Stan Baumgartner,1922,PHI,NL,1,0,0,0.7325419,113,0.6975418,0.1572782,baums101
Harry Shriver,1922,BRO,NL,0,0,0,0.7507418,100,0.7157418,,shrih101
Garland Braxton,1922,BSN,NL,1,2,0,0.7549418,97,0.7199418,-0.6031092,braxg101
Sid Benton,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,bents101
Whitey Glazner,1922,PIT,NL,1,0,0,0.7507418,100,0.7157418,0.1478143,glazw101
Clyde Barfoot,1922,SLN,NL,7,1,2,0.7591419,94,0.7241418,0.62757,barfc101
Jack Fournier,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,fourj101
Rube Marquard,1922,BSN,NL,4,0,0,0.7549418,97,0.7199418,0.5825211,marqr102
Jim Murray,1922,BRO,NL,0,0,0,0.7507418,100,0.7157418,,murrj103
Dazzy Vance,1922,BRO,NL,0,1,1,0.7507418,100,0.7157418,-0.3721857,vancd101
Percy Jones,1922,CHN,NL,0,0,0,0.7479419,102,0.7129418,,jonep101
Pete Donohue,1922,CIN,NL,0,0,0,0.7549418,97,0.7199418,,donop102
Cliff Markle,1922,CIN,NL,2,2,1,0.7549418,97,0.7199418,-0.4574789,markc101
Phil Douglas,1922,NY1,NL,5,0,2,0.7535418,98,0.7185418,0.7317913,dougp101
Dolf Luque,1922,CIN,NL,4,1,0,0.7549418,97,0.7199418,0.2081514,luqud101
Hugh McQuillan,1922,NY1,NL,0,0,0,0.7535418,98,0.7185418,,mcquh101
Karl Schnell,1922,CIN,NL,0,0,0,0.7549418,97,0.7199418,,schnk101
Hugh McQuillan,1922,BSN,NL,4,1,1,0.7549418,97,0.7199418,0.2081514,mcquh101
Joe Oeschger,1922,BSN,NL,3,4,1,0.7549418,97,0.7199418,-1.060588,oescj101
Myrl Brown,1922,PIT,NL,1,1,0,0.7507418,100,0.7157418,-0.2243715,browm101
Mule Watson,1922,BSN,NL,2,0,0,0.7549418,97,0.7199418,0.2912605,watsm103
Harry Hulihan,1922,BSN,NL,0,0,0,0.7549418,97,0.7199418,,hulih101
Jesse Winters,1922,PHI,NL,11,3,0,0.7325419,113,0.6975418,0.6418954,wintj101
Vic Keen,1922,CHN,NL,2,1,1,0.7479419,102,0.7129418,-0.0721892,keenv101
Marv Goodwin,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,goodm102
Vic Aldridge,1922,CHN,NL,3,0,0,0.7479419,102,0.7129418,0.4478107,aldrv101
Bill Hubbell,1922,PHI,NL,0,0,1,0.7325419,113,0.6975418,,hubbb101
Lerton Pinto,1922,PHI,NL,0,0,0,0.7325419,113,0.6975418,,pintl101
Uel Eubanks,1922,CHN,NL,0,0,0,0.7479419,102,0.7129418,,eubau101
Fred Fussell,1922,CHN,NL,0,0,0,0.7479419,102,0.7129418,,fussf101
Carmen Hill,1922,NY1,NL,2,0,0,0.7535418,98,0.7185418,0.2927165,hillc102
Dana Fillingim,1922,BSN,NL,2,3,0,0.7549418,97,0.7199418,-0.8318486,filld101
Babe Adams,1922,PIT,NL,5,2,3,0.7507418,100,0.7157418,-0.0053001,adamb104
Bill Doak,1922,SLN,NL,1,0,1,0.7591419,94,0.7241418,0.1434463,doakb101
Tiny Osborne,1922,CHN,NL,19,3,1,0.7479419,102,0.7129418,1.723946,osbot101
Cy Morgan,1922,BSN,NL,0,0,0,0.7549418,97,0.7199418,,morgc101
Clarence Mitchell,1922,BRO,NL,0,0,0,0.7507418,100,0.7157418,,mitcc102
Johnny Stuart,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,stuaj101
Chief Yellowhorse,1922,PIT,NL,5,3,1,0.7507418,100,0.7157418,-0.3774859,yellc101
Art Decatur,1922,BRO,NL,19,3,1,0.7507418,100,0.7157418,1.691914,decaa101
Art Nehf,1922,NY1,NL,3,1,0,0.7535418,98,0.7185418,0.0654331,nehfa101
Bill Pertica,1922,SLN,NL,5,0,0,0.7591419,94,0.7241418,0.7172312,pertb101
Paul Schreiber,1922,BRO,NL,0,0,0,0.7507418,100,0.7157418,,schrp102
Ray Gordinier,1922,BRO,NL,0,0,0,0.7507418,100,0.7157418,,gordr101
Pete Alexander,1922,CHN,NL,3,1,0,0.7479419,102,0.7129418,0.077081,alexg102
Cactus Keck,1922,CIN,NL,3,0,0,0.7549418,97,0.7199418,0.4368908,keckc101
Tom Sullivan,1922,PHI,NL,0,0,0,0.7325419,113,0.6975418,,sullt103
Tony Kaufmann,1922,CHN,NL,14,4,2,0.7479419,102,0.7129418,0.6068646,kauft101
Al Mamaux,1922,BRO,NL,6,3,3,0.7507418,100,0.7157418,-0.2296716,mamaa101
Johnny Morrison,1922,PIT,NL,10,2,0,0.7507418,100,0.7157418,0.733771,morrj105
Red Causey,1922,NY1,NL,4,5,0,0.7535418,98,0.7185418,-1.282776,causr101
Hal Carlson,1922,PIT,NL,6,4,3,0.7507418,100,0.7157418,-0.6018573,carlh101
Virgil Barnes,1922,NY1,NL,2,0,0,0.7535418,98,0.7185418,0.2927165,barnv101
Epp Sell,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,selle101
Jesse Haines,1922,SLN,NL,0,1,0,0.7591419,94,0.7241418,-0.3765537,hainj101
Sherry Smith,1922,BRO,NL,5,3,2,0.7507418,100,0.7157418,-0.3774859,smits102
Gene Lansing,1922,BSN,NL,0,1,0,0.7549418,97,0.7199418,-0.3743697,lansg101
Jesse Barnes,1922,NY1,NL,1,1,0,0.7535418,98,0.7185418,-0.2272835,barnj102
Jeff Pfeffer,1922,SLN,NL,1,0,1,0.7591419,94,0.7241418,0.1434463,pfefj101
Eddie Dyer,1922,SLN,NL,0,0,0,0.7591419,94,0.7241418,,dyere101
Wilbur Cooper,1922,PIT,NL,2,1,1,0.7507418,100,0.7157418,-0.0765572,coopw101
Lefty Weinert,1922,PHI,NL,0,0,0,0.7325419,113,0.6975418,,weinl101
Leon Cadore,1922,BRO,NL,4,1,0,0.7507418,100,0.7157418,0.2190713,cadol101
Claude Jonnard,1922,NY1,NL,8,1,3,0.7535418,98,0.7185418,0.7972244,jonnc101
Johnny Cooney,1922,BSN,NL,0,0,0,0.7549418,97,0.7199418,,coonj101
Bill Sherdel,1922,SLN,NL,3,2,0,0.7591419,94,0.7241418,-0.3227687,sherb101
Virgil Cheeves,1922,CHN,NL,4,3,3,0.7479419,102,0.7129418,-0.5151082,cheev101
Bill Bailey,1922,SLN,NL,0,1,0,0.7591419,94,0.7241418,-0.3765537,bailb101
Jack Scott,1922,CIN,NL,0,0,0,0.7549418,97,0.7199418,,scotj101
John Singleton,1922,PHI,NL,5,1,0,0.7325419,113,0.6975418,0.4236694,singj101
Tim McNamara,1922,BSN,NL,1,1,2,0.7549418,97,0.7199418,-0.2287395,mcnat101
Ed Morris,1922,CHN,NL,0,0,0,0.7479419,102,0.7129418,,morre102
Jimmy Zinn,1922,PIT,NL,0,0,0,0.7507418,100,0.7157418,,zinnj101
Rosy Ryan,1922,NY1,NL,9,2,2,0.7535418,98,0.7185418,0.5699409,ryanr101
Buck Freeman,1922,CHN,NL,3,1,0,0.7479419,102,0.7129418,0.077081,freeb101
Johnny Couch,1922,CIN,NL,1,1,0,0.7549418,97,0.7199418,-0.2287395,coucj101
Earl Hamilton,1922,PIT,NL,13,2,0,0.7507418,100,0.7157418,1.177214,hamie101
Rip Wheeler,1922,PIT,NL,0,0,0,0.7507418,100,0.7157418,,wheer101
Bill Moore,1925,DET,AL,0,0,0,0.7367181,98,0.7017181,,moorb104
Vean Gregg,1925,WS1,AL,2,1,2,0.7381181,97,0.7031181,-0.0568642,gregv101
Charlie Caldwell,1925,NYA,AL,0,0,0,0.7381181,97,0.7031181,,caldc101
Firpo Marberry,1925,WS1,AL,23,3,1,0.7381181,97,0.7031181,2.453843,marbf101
Garland Buckeye,1925,CLE,AL,1,2,0,0.7325181,101,0.6975181,-0.5681282,buckg101
Milt Gaston,1925,SLA,AL,7,3,1,0.7255181,106,0.6905181,0.0493059,gastm101
Ernie Wingard,1925,SLA,AL,3,1,1,0.7255181,106,0.6905181,0.1237224,winge102
Lefty Grove,1925,PHA,AL,11,8,2,0.7255181,106,0.6905181,-1.102319,grovl101
Benn Karr,1925,CLE,AL,17,2,3,0.7325181,101,0.6975181,1.948521,karrb101
Jake Freeze,1925,CHA,AL,0,0,0,0.7409182,95,0.7059181,,freej102
Ted Wingfield,1925,BOS,AL,6,0,3,0.7297181,103,0.6947181,0.9524795,wingt101
Herb Pennock,1925,NYA,AL,8,1,4,0.7381181,97,0.7031181,0.8694074,pennh101
Red Faber,1925,CHA,AL,2,1,0,0.7409182,95,0.7059181,-0.0612323,faber101
Buster Ross,1925,BOS,AL,0,1,0,0.7297181,103,0.6947181,-0.3612534,rossb103
Jim Marquis,1925,NYA,AL,0,0,0,0.7381181,97,0.7031181,,marqj101
