ID	Pollster	Calls Cellphones	NCPP/AAPOR/Roper	Polls	Simple Average Error	Simple Plus-Minus	Advanced Plus-Minus	Predictive Plus-Minus	538 Grade	Banned by 538	Mean-Reverted Bias
34	Market Shares Corp.	yes	yes	26	6.78489	1.316529	-0.1198302	-0.2895489	B+		-1.730507308
35	Mason-Dixon Polling & Research, Inc.	yes		407	5.15265	-0.1888967	-0.4909905	-0.2816466	B+		-1.058022507
36	RKM Research and Communications, Inc.	yes		26	5.59333	-0.5229378	-0.8733286	-0.2365313	B		-0.20611425
37	CBS News/New York Times	yes	yes	54	4.77238	-0.4078286	-0.0503071	-0.2346829	B		0.68373027
38	RT Strategies	yes	yes	42	5.76158	0.6726662	-0.0138873	-0.2261228	B		1.091760833
39	Princeton Survey Research Associates International	yes	yes	31	4.56468	-0.1109573	0.0088521	-0.2259537	B		0.1501085
40	Castleton State College	yes	yes	1	5.8	-3.753266	-3.238781	-0.2228449	B		
41	Western New England University	yes	yes	9	6.34987	0.651647	-0.0331289	-0.2128313	B		-1.027738947
42	Angus Reid Global			29	3.26358	-1.469814	-1.574631	-0.2119248	B		-1.338045254
43	Garin-Hart-Yang Research Group	yes		19	5.28988	-0.3020963	-0.9869623	-0.1997202	B		1.151485306
44	EPIC-MRA	yes		38	5.44426	-0.1066706	-0.6325369	-0.1959903	B		-0.337568469
45	Suffolk University	yes		55	5.01088	-1.139775	-0.5348258	-0.1934035	B		1.07248
46	Fleming & Associates	yes		14	4.94481	-0.8622802	-1.200976	-0.1826907	B		-0.461548571
47	Marquette University	yes		4	0.889432	-4.609801	-3.745945	-0.1741176	B		-0.020792182
48	Tarrance Group	yes		19	5.49157	-0.4058728	-0.89208	-0.1629291	B		-0.92163
49	IBD/TIPP	yes		17	2.30686	-1.165064	-0.9291317	-0.1473386	B		-0.746592979
50	Pew Research Center	yes	yes	19	3.24112	-0.5670475	0.2523617	-0.1353851	B		0.428519796
51	University of New Hampshire	yes	yes	75	5.37013	0.0241794	0.0743052	-0.1236471	B		1.457512105
52	Elon University	yes	yes	3	3.42747	-0.4792169	0.3532298	-0.1178753	B		0.222546364
53	RBI Strategies & Research	yes		2	0.7	-4.629187	-6.274689	-0.1019925	B		-0.021992065
54	Virginia Commonwealth University	yes	yes	5	4.8974	-0.0336291	0.6199648	-0.0852458	B		-0.276942857
55	MassINC Polling Group	yes		4	2.33721	-3.261399	-2.944151	-0.0797889	B		-0.276416471
56	Richard Day Research, Inc.		yes	11	5.50424	0.2144958	-1.00457	-0.0561107	B		-0.770405122
57	Fox News/Anderson Robbins Research/Shaw & Company Research	yes	yes	4	3.40776	-0.3866414	1.025637	-0.0420773	B		-0.399381176
58	Pan Atlantic SMS Group	yes		13	6.71862	0.5674083	-0.8091345	-0.0409403	B		0.455539512
59	New England College	yes		3	1.54255	-2.014796	-3.482635	-0.0388584	B		-0.140231818
60	University of Washington	yes		10	3.99278	-1.020859	-0.9640167	-0.02202	B		0.2290515
61	University of Southern California	yes		4	4.797	-0.1249713	-2.430562	-0.0193667	B		-0.559851765
62	Stockton College	yes		2	1	-4.086053	-4.676465	-0.0021035	B		-0.05625
63	University of Arkansas		yes	2	1.38	-3.852941	-4.500444	0.0088979	B-		0.084931875
64	Indiana University		yes	2	0.855	-4.957365	-4.498387	0.0090264	B-		0.0534375
65	High Point University	yes		2	0.949348	-3.22105	-4.483908	0.0099313	B-		0.005796688
66	Public Policy Polling			297	4.57592	-0.3516919	-0.4227452	0.028885	B-		-0.72498059
67	Strategies 360	yes		2	2.43608	-2.952162	-4.016275	0.0391584	B-		-0.151598125
68	National Research, Inc.	yes		4	5.11114	-0.7508003	-1.81595	0.0529406	B-		-0.540010588
69	Cole Hargrave Snodgrass & Associates	yes		3	3.44333	-1.783325	-2.394754	0.0600399	B-		0.31303
70	Keating Research, Inc.	yes		2	1.86031	-2.011261	-3.670209	0.0607875	B-		-0.116269375
71	Harstad Strategic Research, Inc.	yes		7	4.1712	-1.667901	-0.9396045	0.0615077	B-		0.680793514
72	GBA Strategies	yes		2	3.7	-2.556291	-3.519624	0.0701991	B-		-0.230594375
73	University of Massachusetts Amherst	yes		11	6.52727	-0.9732676	-0.438787	0.0956847	B-		-0.4478125
74	Tulchin Research	yes		2	3.45	-1.469343	-2.954467	0.1055214	B-		-0.215575
75	Mellman Group	yes		20	4.87663	-0.0443366	-0.1641171	0.1148004	B-		1.584836
76	Market Decisions	yes		4	5.16646	0.1951553	-1.269833	0.1171897	B-		-0.053358235
77	Voter/Consumer Research	yes		5	5.12766	-0.4811013	-0.9666312	0.1184428	B-		-0.434137647
78	Fabrizio, Lee & Associates	yes		1	0.1	-6.302176	-5.34975	0.1314812	B-		-0.003870968
79	Clarity Campaign Labs	yes		1	0	-5.234347	-5.33742	0.1318789	B-		-0.001585484
80	Market Research Institute, Inc.			9	2.93217	-2.161794	-2.189436	0.150149	B-		-0.326379231
81	Ward Research (Honolulu Star-Advertiser)	yes		11	6.44727	0.6694896	-0.221187	0.1540652	B-		-0.707678293
82	Knowledge Networks		yes	3	4.09333	-0.6791392	-1.344804	0.1554899	B-		-0.008387097
83	Riley Research Associates			7	2.65701	-2.951931	-2.552622	0.1873616	B-		-0.118893108
84	Louisville Courier-Journal			10	3.29893	-1.767705	-1.792813	0.2003151	B-		-0.3157325
85	St. Cloud State University	yes	yes	9	6.49156	1.120559	1.800457	0.2103039	B-		0.438244615
86	QEV Analytics	yes		1	7.3	2.303876	-2.555583	0.2216155	B-		
87	American Viewpoint	yes		5	4.64169	-0.7839275	-0.2284159	0.2239021	B-		-0.663098571
88	Orion Strategies			4	3.0729	-3.094538	-4.003148	0.2249454	B-		0.117682727
89	University of Wisconsin (Badger Poll)		yes	6	6.9291	1.358832	-0.1317245	0.2255129	B-		0.17844
90	Hill Research Consultants	yes		4	5.44517	0.2755792	-0.3288164	0.2278975	B-		-0.371744706
91	Hampton University	yes		1	3.5	-1.617195	-1.903697	0.2426441	B-		0.112258065
92	YouGov			230	4.34416	-0.1896938	-0.1912068	0.2521661	C+		-1.1927608
93	Ipsos, online		yes	22	4.78153	0.605727	0.1918897	0.2571556	C+		-0.48784875
94	Old Dominion University	yes		1	4.5	-1.044349	-1.290966	0.2624095	C+		0.144516129
95	Strategic Vision, LLC			129	3.97782	-0.8386114	-0.2212759	0.2680261	F	yes	-1.875927206
96	Dartmouth College	yes		2	9	1.160497	-0.3194796	0.2702081	C+		
97	University of Texas, online			2	0.513795	-4.781672	-6.881524	0.2855527	C+		0.01890825
98	Belden Russonello & Stewart	yes		2	4.735	-0.2275796	-0.0294997	0.2883319	C+		0.2078125
99	US News & World Report			3	1.91667	-2.804595	-4.564485	0.2905234	C+		-0.076666636
100	Google Consumer Surveys			12	2.22217	-0.7644576	-1.191504	0.2953021	C+		-0.628077143
101	Northern Arizona University			4	3.58198	-1.921294	-3.373678	0.2990007	C+		-0.390821176
102	Capital Survey Research Center			11	7.75604	0.9212549	-1.277544	0.2992134	C+		0.066955294
103	Pharos Research Group			31	4.03539	-0.7910106	-0.5054196	0.299225	F	yes	0.870779836
104	M4 Strategies			2	3.069	-0.8060126	-6.580567	0.3043625	C+		-0.193330625
105	Ethridge & Associates, LLC			6	2.67167	-2.113496	-2.227447	0.3071125	C+		-0.120277833
106	Alabama State University			4	6.4	-1.972278	-3.193412	0.3202084	C+		
107	Southern Media & Opinion Research	yes		4	6.4275	0.8798206	0.4566848	0.3203094	C+		0.003125
108	Fox News/Opinion Dynamics Corp.		yes	34	3.91844	-0.7015455	0.3135287	0.3267181	C+		-0.473648966
109	Moore Information	yes		5	7.37	1.281565	0.5338932	0.3328034	C+		-0.429428571
110	Public Opinion Strategies	yes		46	5.98603	0.3693649	0.2995673	0.3355572	C+		-2.145337105
111	University Nevada, Las Vegas	yes		1	9	1.106303	1.071086	0.3386047	C+		
112	Tel Opinion Research			10	3.22006	-1.846831	-1.218472	0.3439004	C+		-0.03276475
113	NPR	yes		3	4.99053	0.1308256	0.7401082	0.3450274	C+		0.087878091
114	Vanderbilt University	yes		1	8.9	0.9037247	1.343405	0.3473892	C+		
115	Crawford Johnson & Northcott Inc.			5	4.64	-2.982242	-2.350888	0.351037	C+		0.104836774
116	Financial Dynamics			15	2.77011	-1.821299	-0.802034	0.3513383	C+		-0.659786667
117	Greenberg Quinlan Rosner (Democracy Corps)	yes		46	4.39228	-0.4259483	0.326216	0.3516867	C+		2.33007
118	Rutgers University	yes	yes	13	5.68308	0.5950887	1.901187	0.3523566	C+		0.098139419
119	Glengariff Group, Inc.	yes		5	6.07371	0.2780705	0.6872024	0.3547047	C+		-0.115353529
120	CallFire	yes		4	3.93119	0.1006862	0.7542945	0.3553223	C+		-0.462492941
121	University of Georgia		yes	1	9.78	3.795883	1.703379	0.3590012	C+		-0.315483871
122	Val Smith	yes		1	8.51322	2.572204	1.804356	0.3622586	C+		-0.27462
123	Fairbank, Maslin, Maullin, Metz & Associates	yes		7	5.86817	0.3086036	0.6649843	0.3650785	C+		1.048032432
124	Christopher Newport University	yes		2	7.1	1.80086	1.230051	0.3670538	C+		0.443125
125	Iowa State University		yes	1	13.1	3.901797	2.021284	0.3692562	C+		
126	Clarus Research Group	yes		3	6.76667	1.249738	1.010662	0.3696232	C+		0.505655
127	University of North Florida	yes		2	5.06	-0.1231549	1.28046	0.3702044	C+		0.31625
128	Clemson University	yes		4	12.225	4.786629	0.9229996	0.37517	C+		-0.538709677
129	Gallup	yes	yes	80	4.27064	-0.2980448	0.7523382	0.3758887	C+		-0.836830526
130	Frederick Polls			2	2.4	-4.016191	-5.415407	0.377185	C+		-0.018574484
131	Potomac Incorporated			8	4.5475	-1.363904	-1.355856	0.3772075	C+		-0.522778333
132	KRC/Communications Research			22	6.89136	0.240648	-0.4868463	0.3805791	C+		0.194146244
133	DFM Research	yes		3	6.52712	0.7847613	1.148801	0.3821813	C+		0.593374545
134	Hendrix College			4	3.85	-2.232159	-2.438336	0.4090409	C+		0.452941176
135	Frank N. Magid Associates, Inc.			4	4.635	-1.081432	-2.318331	0.4231592	C+		0.545294118
136	Howey Politics/DePauw University	yes		7	6.79507	1.494328	0.9872891	0.4260551	C+		0.095114833
137	George Washington University (Battleground)	yes		32	3.47926	-0.6525154	0.5146411	0.4274761	C+		-1.000578065
138	Penn Schoen Berland	yes		18	7.58802	1.517992	0.6583669	0.4326209	C+		2.5288425
139	Feldman Group	yes		1	10.8045	5.17773	4.05348	0.4348109	C+		0.348532258
140	Ayres, McHenry & Associates	yes		2	7.03	1.652465	2.405076	0.4404928	C+		-0.439375
141	Schroth, Eldon & Associates			8	3.15025	-2.383767	-1.051392	0.4413052	C+		0.55839
142	MSR Group			3	3.46884	-2.310163	-2.895047	0.4422906	C+		0.315349091
143	Marshall Marketing & Communications			4	2.78508	-3.220156	-2.140388	0.4440936	C+		-0.199940909
144	Louis Harris & Associates			2	0.9	-3.926535	-4.328587	0.4451112	C+		0.05625
145	Bennett Petts & Blumenthal			9	5.67007	-0.3151446	-0.9018966	0.4472735	C+		0.346435385
146	Temple University			6	3.66042	-1.538074	-1.376834	0.4488814	C+		-0.353215714
147	Magellan Strategies		yes	6	7.93333	2.702724	1.217713	0.4504192	C+		-0.606376471
148	Landmark Communications			10	4.47	-0.7318165	-0.7868554	0.4518045	C+		-0.594677895
149	Scripps Howard			4	3.785	-0.9500585	-2.062868	0.4532136	C+		-0.065294118
150	IVR Polls			4	4.05	-3.40101	-2.000147	0.4605925	C+		
151	Talmey-Drake Research & Strategy, Inc.	yes		9	7.67667	2.069782	1.036074	0.4642026	C+		-0.407949231
152	Polling Company/Global Strategy Group (Hotline Bullseye)		yes	3	4.55948	1.044098	2.054852	0.4645497	C+		-0.414498182
153	Emerson College			2	0.35	-4.158307	-3.870154	0.4737633	C+		-0.0225
154	RAND (American Life Panel)			3	1.23553	-1.671942	-2.473647	0.4805997	C+		-0.038781909
155	Inside Michigan Politics	yes		1	13.2	5.310338	5.497832	0.4814028	C+		
156	Research 2000			279	5.53938	0.1771807	0.0859184	0.4923365	F	yes	1.389753971
157	Florida International University/Univision			1	1.80155	-4.466281	-6.939324	0.5026264	C+		0.058114516
158	International Communications Research, Inc.			5	3.12814	-0.7920479	-1.258139	0.507144	C+		-0.071409143
159	Global Strategy Group			18	5.50569	-0.1491114	-0.231692	0.5168808	C+		0.99638625
160	Commonwealth Foundation			2	4.13	-0.9911127	-3.176505	0.5171164	C+		-0.258125
161	Harper Polling			2	0.95	-3.987683	-3.129007	0.520085	C+		0.0596875
162	Philadelphia Inquirer			4	2.99004	-1.845511	-1.44281	0.5261616	C+		-0.314134118
163	Missouri State University			3	4.36667	-1.88062	-1.966961	0.5266621	C+		0.372810909
164	Baselice & Associates, Inc.	yes		2	9.98	4.139538	3.822816	0.5291016	C+		0.224193548
165	Lauer Johnson Research	yes		1	13.8117	8.079887	7.160567	0.5350394	C+		0.44553871
166	University Massachusetts Lowell	yes		3	7.14961	2.661777	2.8403	0.5359541	C+		-0.057519455
167	Market Research Insight			2	2.405	-2.115556	-2.860662	0.5368566	C+		-0.016129032
168	University Wisconsin—Milwaukee			3	5.28333	-1.061269	-1.83526	0.5386349	C+		-0.480302727
169	Braun Research	yes		3	9.13333	3.709552	2.873105	0.5389363	C+		0.828442727
170	Harris Interactive, telephone		yes	9	5.72951	1.699402	1.368893	0.541007	C+		0.461681538
171	Personal Marketing Research			3	6.17667	-2.125855	-1.7919	0.5425767	C+		
172	University of Tennessee			1	2.73	-1.768913	-5.608106	0.5455688	C+		-0.088064516
173	Hellenthal & Associates	yes		2	9.3	3.184965	4.244407	0.555451	C		0.261290323
174	Market Strategies International			1	1.1	-4.546217	-5.281423	0.556107	C		-0.035483871
175	Political Marketing International, Inc./Red Racing Horses			2	4.45	-1.025291	-2.538374	0.5569996	C		0.2721875
176	RMS Research			1	0.92	-5.298794	-5.242818	0.5573523	C		-0.029677419
177	Richmond Times-Dispatch			4	3.3025	-1.15347	-1.172544	0.5579576	C		0.341470588
178	Canisius College			1	0.1	-8.342331	-5.10207	0.5618926	C		
179	Dynamic Marketing, Inc.			1	3.01	-3.071677	-5.096332	0.5620776	C		0.097096774
180	Ivan Moore Research	yes		3	9.57746	4.120615	3.171057	0.5660229	C		0.870678182
181	Forward Strategies			2	1.3	-3.425973	-2.371669	0.5674186	C		0.0814275
182	Market Solutions Group			4	4.3475	-1.43913	-1.054745	0.5718163	C		-0.0078125
183	University of Texas, telephone			2	1.87612	-3.23152	-2.197837	0.5782831	C		0.1172575
184	OnPoint			4	1.6525	-2.572605	-0.9427637	0.5849906	C		0.192647059
185	Lauer Lalley Victoria, Inc.			1	1.7	-4.526998	-4.205868	0.5908023	C		-0.05483871
186	Mitchell Research & Communications			30	5.31574	-0.38658	0.0678467	0.5929356	C		-0.2892855
187	Columbus Dispatch		yes	17	5.0629	0.5991047	1.121553	0.5943983	C		1.115784091
188	Wirthlin Worldwide			4	4.55983	-1.028679	-0.8555689	0.5952488	C		-0.45998
189	Cranford & Associates			1	2.5	-3.129761	-4.00372	0.5973232	C		0.079450323
190	Kiley & Company			2	5.1	-0.6141022	-1.76095	0.6055886	C		0.21248125
191	Dittman Research			9	5.9039	0.4797104	-0.2005344	0.6091263	C		1.011238333
192	Cooper & Secrest			1	2.64	-3.489975	-3.637771	0.609128	C		-0.08516129
193	Gravis Marketing	Sometimes		20	3.85297	-0.0363797	0.5584748	0.6110209	C		-1.40046
194	Winston Group			1	6.33659	0.0399923	-3.578213	0.6110492	C		0.204406129
195	Wood Communications Group			1	0.8	-4.622994	-3.432017	0.6157652	C		0.027020387
196	BIGresearch			1	1.99	-2.204932	-3.421482	0.616105	C		
197	Manhattanville College			3	6.54667	0.0898298	-0.9746506	0.6168721	C		-0.51375
198	Vox Populi Communications			1	3.52	-3.986717	-3.395749	0.6169351	C		
199	Middle Tennessee State University			3	6.67213	0.022604	-0.9026227	0.6234202	C		-0.25410625
200	Central Surveys, Inc.			1	1.67	-2.921535	-3.09515	0.6266319	C		0.053870968
201	Dan Jones & Associates			28	6.58196	1.130107	0.1353032	0.6305039	C		0.975167143
202	University of North Carolina			1	1.6	-3.546228	-2.790593	0.6364563	C		0.051612903
203	Purple Strategies			4	3.01606	-0.9413388	-0.4941362	0.6377703	C		-0.354830588
204	OnMessage Inc.	yes		6	9.11667	3.293427	2.353444	0.6397077	C		-1.097991667
205	Aspen Media & Market Research			1	3.47665	-2.325788	-2.604734	0.6424517	C		-0.11215
206	Multi Quest International Inc			1	1.87	-2.492458	-2.537294	0.6446272	C		0.060322581
207	StPetePolls.org			1	1.9	-3.077178	-2.488069	0.6462151	C		0.060645161
208	Rivercity Polling			1	6.7	0.13727	-2.312878	0.6518664	C		-0.216129032
209	Arizona State University	yes		8	7.95625	2.076441	2.000037	0.6529067	C		0.914166667
210	Texas Credit Union League			2	6.95	-2.023176	-0.9787912	0.6544735	C		
211	Red Sea Communications			1	4.37	-1.866905	-2.197546	0.6555868	C		-0.140967742
212	New Mexico State University			1	6.8	-2.340663	-2.190141	0.6558257	C		
213	Zogby Analytics, telephone			376	5.41958	0.2271326	0.2712898	0.6576988	C		-0.528834039
214	Diversified Research Inc			1	4.99	-1.66925	-2.022158	0.6612445	C		-0.160967742
215	Gordon S. Black Corp.			2	6.335	1.074714	-0.8323388	0.6636268	C		-0.3959375
216	Rhode Island College			5	6.076	0.2058823	-0.162224	0.6637033	C		-0.18
217	West Chester University			7	5.19	0.0184795	-0.0338683	0.6638826	C		0.185675757
218	Hays Research Group	yes		7	7.67975	2.74637	2.270381	0.6688023	C		1.083581818
219	Jim Meader (KELOLAND-TV)			4	4.58	-0.7803838	-0.2232588	0.6696382	C		0.538823529
220	Susquehanna Polling & Research, Inc.	Sometimes		27	5.37229	0.1871978	0.639451	0.6708711	C		0.207695654
221	Wiese Research Associates, Inc.	yes		7	8.78227	3.022043	2.283034	0.671196	C		1.297005405
222	CVOTER International			3	2.8566	-0.2198558	-0.3452259	0.6740926	C		-0.259690909
223	McLaughlin & Associates	yes		19	5.67725	0.4208258	1.270281	0.6755374	C		-0.455577347
224	Neighborhood Research Corporation			1	3.43	-2.23207	-1.517648	0.677519	C		-0.110645161
225	Iona College			1	4.4	-1.109258	-1.457228	0.679468	C		0.141935484
226	Forman Center			1	2.6	-2.988595	-1.442481	0.6799437	C		0.083870968
227	Analytical Group			1	4	-1.373627	-1.352312	0.6828524	C		0.129032258
228	War Room Logistics			1	4.5	-2.070552	-1.178285	0.6884662	C		
229	Ohio State University			1	3.67	-0.8979034	-1.096151	0.6911156	C		-0.118387097
230	Rice University			2	5.885	0.7399876	-0.3638036	0.6929103	C		0.3678125
231	Wick Communications			1	2.83502	-2.969631	-0.8161529	0.7001478	C		0.091452258
232	Market Trends Pacific			1	4.6	-1.10908	-0.5925534	0.7073607	C		0.148387097
233	Benenson Strategy Group			8	6.36169	0.4774033	0.2208539	0.7091464	C		0.544225263
234	Schoen Consulting			1	2.3	-2.643049	-0.5354173	0.7092038	C		-0.073225806
235	Rasmussen Reports/Pulse Opinion Research			623	5.26856	-0.0031096	0.3280691	0.7094453	C		-2.29054814
236	Yankelovich Partners, Inc.			6	6.99037	0.4627144	0.2259009	0.7160039	C		-0.109023636
237	NRECA Market Research			1	6.27	0.5772214	-0.033737	0.725387	C		0.202258065
238	ASA Marketing Group			1	5.53754	0.6688204	0.0525187	0.7281695	C		0.178630323
239	Strategic Services			1	5.48698	-0.1500978	0.0562457	0.7282897	C		0.176999355
240	University of Miami (Florida Voter)			1	6.9	1.383913	0.2732588	0.7352901	C		0.222580645
241	Cromer Group			1	3.9	-1.836362	0.2769774	0.7354101	C		-0.125806452
242	McCulloch Research & Polling			3	4.93971	0.9931643	0.3816747	0.7401745	C		-0.262398182
243	Harvard University			1	6.9	1.096205	0.441648	0.740722	C		0.222580645
244	University of Iowa	yes		3	15.8667	9.036507	5.115067	0.7427511	C		-0.213230645
245	Constituent Dynamics			7	7.37143	0.5293047	0.390393	0.7441483	C		-0.041935484
246	University of South Florida			1	3.9	-1.179151	0.7570682	0.7508969	C-		-0.124245806
247	Rossman Group			1	4.2	-1.939248	0.7846989	0.7517881	C-		0.135849677
248	Zimmerman & Associates/Marketing Intelligence			3	4.67499	-0.5956285	0.513383	0.752148	C-		0.293788182
249	Wilson Research Strategies			10	6.936	1.11762	0.4156874	0.7524402	C-		-0.126051
250	University of New Orleans			5	4.966	-0.1114544	0.4710438	0.7541701	C-		-0.209705882
251	Roanoke College	yes		9	6.85938	1.275151	2.313681	0.759035	C-		-0.016249053
252	Hoffman Research Group			1	7.08946	2.952854	1.014834	0.7592119	C-		-0.228692258
253	Victoria Research & Consulting			1	8.04827	1.98102	1.216893	0.7657299	C-		0.259621613
254	Star Tribune	yes		13	6.32077	1.96208	1.867239	0.768196	C-		1.476342195
255	Becker Institute			3	7.60667	1.511786	0.7154502	0.7705178	C-		0.691515455
256	West Virginia Research Center			2	6.45	1.344195	0.9305618	0.7738081	C-		0.403125
257	Polling Company			1	6	1.194252	1.538768	0.776113	C-		-0.195133871
258	Illinois Wesleyan University			3	8.16667	2.321731	0.7887752	0.7771837	C-		-0.742424545
259	Kimball Political Consulting	yes		4	8.07442	3.653606	4.346928	0.777985	C-		-0.952831765
260	American Research Group	yes		223	7.25597	0.8609862	0.6936859	0.7787762	C-		-0.102548471
261	Ed Renwick			5	6.478	1.0194	0.649645	0.7796845	C-		0.08125
262	Midwest Survey and Research			3	7.27333	1.495331	0.8450071	0.7822956	C-		-0.095151818
263	Decision Forecasting			3	8.09	3.598739	0.9208514	0.7891906	C-		-0.128788182
264	Opinion Consultants			2	6.47	1.278844	1.22298	0.7920842	C-		-0.404375
265	We Ask America			42	5.99866	0.8526012	0.4562746	0.7953371	C-		-1.513937368
266	Public Strategies, Inc.			6	7.88333	0.213587	0.7052584	0.7958968	C-		
267	Independent Market Research			2	5.73	0.3851578	1.292107	0.7964047	C-		0.333125
268	Franklin Pierce University			19	6.49526	0.572176	0.5103051	0.7970721	C-		1.279762857
269	Maine People’s Resource Center			3	7.4	2.398103	1.047915	0.8007419	C-		-0.43660125
270	CrossTarget			2	7.7	3.267918	1.495115	0.8090926	C-		-0.48125
271	ccAdvertising	yes		29	6.85897	1.924893	1.312524	0.8101137	C-		-2.575295172
272	TeleResearch Corporation			1	8.6	1.191247	2.608664	0.8106257	C-		
273	Ron Lester and Associates			1	18.9	11.46454	2.668408	0.8125529	C-		
274	Marketing Resource Group (MRG)	yes		4	10.3675	4.320362	4.707345	0.820387	C-		-0.271211818
275	Southern Opinion Research			1	9.4	3.701227	2.963215	0.8220628	C-		0.303225806
276	Lycoming College			3	7.28358	1.353656	1.294819	0.8231876	C-		0.662143636
277	Great Lakes Strategies Group			1	7.6	2.776792	3.093036	0.8262506	C-		-0.24516129
278	TMR Research			2	7.845	2.379676	1.882308	0.8332922	C-		0.4903125
279	A&A Research			1	10.1	4.022738	3.650743	0.8442411	C-		-0.325806452
280	California State University, Bakersfield			1	9.85	3.819179	3.689963	0.8455063	C-		-0.317741935
281	Marketing Research Institute			1	7.4	2.0244	3.755304	0.847614	C-		-0.238709677
282	OpinionWorks			6	7.31274	2.059579	1.074964	0.8575144	C-		-0.508241667
283	Gonzales Research & Marketing Strategies, Inc.			8	6.465	0.495504	0.9321102	0.8588846	C-		-0.614844054
284	New Frontier Strategy			1	21.6	14.07066	4.253427	0.8636825	C-		
285	Opinion Research Associates			10	6.014	0.5559176	0.8869806	0.8702635	C-		0.9605
286	Anzalone Liszt Grove Research	yes		11	7.62885	1.730664	2.462146	0.8739838	C-		1.360887805
287	Zata3			2	10.15	4.325882	2.55629	0.8754161	C-		-0.246875
288	SMS Research & Marketing Services, Inc.			1	9.75	5.477764	4.865973	0.883442	C-		-0.314516129
289	Glover Park Group			1	11.4	4.91771	4.910876	0.8848905	C-		-0.366545161
290	Basswood Research			1	13.0482	6.28335	5.034547	0.8888799	C-		-0.420909677
291	Cherry Communications			1	14.5	6.610603	5.266136	0.8963505	C-		
