person,dept,eow,cause
Watch Officer Jonathan Houghton,"Boston Watch, MA","EOW: Monday, December 19, 1825",Cause of Death: Assault
Watchman Gerrard Arnold,"Alexandria Police Department, VA","EOW: Sunday, September 9, 1827",Cause of Death: Assault
Watchman Steven Heimer,"Philadelphia Police Department, PA","EOW: Tuesday, January 8, 1828",Cause of Death: Gunfire
Sheriff Thomas Griffin Thornton,"Caroline County Sheriff's Office, VA","EOW: Saturday, June 12, 1830",Cause of Death: Gunfire
Town Sergeant John Smith,"Foster Police Department, RI","EOW: Thursday, June 21, 1832",Cause of Death: Assault
Guard Ezra Hoskins,"Connecticut Department of Correction, CT","EOW: Wednesday, May 1, 1833",Cause of Death: Assault
Sheriff William Gresham,"Harrison County Sheriff's Department, IN","EOW: Thursday, January 23, 1834",Cause of Death: Stabbed
Constable Moore C. Wisdom,"Purdy Constable's Office, TN","EOW: Saturday, August 30, 1834",Cause of Death: Stabbed
Watchman Lewis L. Leuba,"New York City Watch, NY","EOW: Wednesday, April 13, 1836",Cause of Death: Stabbed
Constable William Mull,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, April 28, 1836",Cause of Death: Stabbed
Deputy Sheriff George Hammond,"St. Louis Metropolitan Police Department, MO","EOW: Thursday, April 28, 1836",Cause of Death: Stabbed
Watchman Kim Hudson,"New York City Watch, NY","EOW: Sunday, August 28, 1836",Cause of Death: Stabbed
Private David Clark,"Texas Rangers, TX","EOW: Saturday, January 7, 1837",Cause of Death: Gunfire
Second Lieutenant Alfred H. Miles,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault
Private Jesse Blair,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault
Private Alexander Bostwick,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire
Private James Christian,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault
Private Joseph Cooper,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire
Private James Joslen,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault
Private Westley Nicholson,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault
Private William Nicholson,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire
Private William Sanders,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Gunfire
Private Lewis F. Scheuster,"Texas Rangers, TX","EOW: Friday, November 10, 1837",Cause of Death: Assault
Deputy Sheriff Nester Young,"Ashtabula County Sheriff's Department, OH","EOW: Monday, January 15, 1838",Cause of Death: Gunfire
Private Julius Bullock,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault
Private John W. Carpenter,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault
Private Thomas M. Scott,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault
Private John Wilson,"Texas Rangers, TX","EOW: Friday, October 12, 1838",Cause of Death: Assault
Private James Hall,"Texas Rangers, TX","EOW: Monday, December 17, 1838",Cause of Death: Assault
Deputy U.S. Marshal John Gatewood,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, February 2, 1839",Cause of Death: Gunfire
Captain Jacob Shipman Burleson,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause of Death: Gunfire
Private Edward Blakey,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause of Death: Gunfire
Private John B. Walters,"Texas Rangers, TX","EOW: Monday, February 25, 1839",Cause of Death: Gunfire
Private James Gilleland,"Texas Rangers, TX","EOW: Thursday, March 7, 1839",Cause of Death: Gunfire
Captain John Bird,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Assault
First Sergeant William H. Weaver,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Gunfire
Private Jesse E. Nash,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Assault
Private Thomas Gay,"Texas Rangers, TX","EOW: Sunday, May 26, 1839",Cause of Death: Gunfire
Private H. M. C. Hall,"Texas Rangers, TX","EOW: Monday, May 27, 1839",Cause of Death: Gunfire
Watchman James P. Van Duzen,"New York City Watch, NY","EOW: Tuesday, June 25, 1839",Cause of Death: Fall
Sheriff Joseph L. Hood,"Bexar County Sheriff's Office, TX","EOW: Thursday, March 19, 1840",Cause of Death: Stabbed
Town Marshal John Yeomans,"Jacksonville Police Department, FL","EOW: Sunday, May 24, 1840",Cause of Death: Gunfire
Sheriff John B. Campbell,"Harrison County Sheriff's Office, TX","EOW: Saturday, January 23, 1841",Cause of Death: Gunfire
Guard Cyrus Sells,"Ohio Department of Rehabilitation and Correction, OH","EOW: Wednesday, June 9, 1841",Cause of Death: Assault
Prison Guard William Bullard,"Missouri Department of Corrections, MO","EOW: Monday, June 14, 1841",Cause of Death: Assault
Private Abram Trigg Smith,"Texas Rangers, TX","EOW: Thursday, August 5, 1841",Cause of Death: Gunfire
Sheriff Thomas Wooldridge,"Dubois County Sheriff's Department, IN","EOW: Thursday, May 19, 1842",Cause of Death: Gunfire
"Warden Charles Lincoln, Jr.","Massachusetts Department of Correction, MA","EOW: Sunday, June 18, 1843",Cause of Death: Stabbed
Sheriff Samuel B. Wingo,"Shannon County Sheriff's Department, MO","EOW: Thursday, August 31, 1843",Cause of Death: Gunfire
Sheriff George Lee Phillips,"Ashe County Sheriff's Office, NC","EOW: Saturday, September 23, 1843",Cause of Death: Drowned
Sheriff Robert D. Lester,"Crawford County Sheriff's Department, WI","EOW: Thursday, March 21, 1844",Cause of Death: Gunfire
Sheriff Lewis Williams,"Jackson County Sheriff's Department, FL","EOW: Friday, April 26, 1844",Cause of Death: Gunfire
Private Peter Fohr,"Texas Rangers, TX","EOW: Saturday, June 8, 1844",Cause of Death: Assault
Keeper James Gastin,"Pennsylvania Department of Corrections, PA","EOW: Thursday, October 31, 1844",Cause of Death: Assault
Undersheriff Osman N. Steele,"Delaware County Sheriff's Office, NY","EOW: Thursday, August 7, 1845",Cause of Death: Gunfire
Constable John Holton,"Augusta Police Department, KY","EOW: Monday, November 24, 1845",Cause of Death: Stabbed
Sheriff Lansford Stallings,"Cherokee County Sheriff's Office, AL","EOW: Thursday, December 4, 1845",Cause of Death: Gunfire
Lieutenant John M. Brown,"Cherokee Nation Marshal Service, TR","EOW: Sunday, December 28, 1845",Cause of Death: Stabbed
Sheriff Samuel Grimmett,"Montgomery County Sheriff's Office, TX","EOW: Sunday, April 11, 1847",Cause of Death: Gunfire
Deputy Sheriff William Armstrong,"Hampshire County Sheriff's Office, VA","EOW: Friday, June 25, 1847",Cause of Death: Gunfire
Sheriff Enoch B. Morelock,"Sullivan County Sheriff's Office, MO","EOW: Sunday, December 19, 1847",Cause of Death: Gunfire
Watchman David Estes,"Boston Watch, MA","EOW: Thursday, April 27, 1848",Cause of Death: Gunfire
Watchman John Brasher,"Cincinnati Police Department, OH","EOW: Sunday, May 6, 1849",Cause of Death: Gunfire
Watchman Peter Davison,"Cincinnati Police Department, OH","EOW: Monday, June 25, 1849",Cause of Death: Stabbed
Patrolman Thomas Lynch,"New York Municipal Police Force, NY","EOW: Thursday, September 27, 1849",Cause of Death: Assault
Patrolman William Helms,"New York Municipal Police Force, NY","EOW: Tuesday, October 16, 1849",Cause of Death: Structure collapse
Major Charles Grandison Bryant,"Texas Rangers, TX","EOW: Saturday, January 12, 1850",Cause of Death: Assault
Police Officer Ephraim Hibler,"St. Louis Metropolitan Police Department, MO","EOW: Sunday, May 26, 1850",Cause of Death: Gunfire
Private William Gillespie,"Texas Rangers, TX","EOW: Wednesday, May 29, 1850",Cause of Death: Assault
Sheriff Joseph McKinney,"Sacramento County Sheriff's Department, CA","EOW: Thursday, August 15, 1850",Cause of Death: Gunfire
Private John Lemon Wilbarger,"Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause of Death: Gunfire
"Private Daniel C. ""Doc"" Sullivan","Texas Rangers, TX","EOW: Tuesday, August 20, 1850",Cause of Death: Gunfire
Private Samuel Baker Barton,"Texas Rangers, TX","EOW: Monday, January 27, 1851",Cause of Death: Assault
Private William Lackey,"Texas Rangers, TX","EOW: Monday, February 3, 1851",Cause of Death: Assault
Patrolman George T. Gillespie,"New York Municipal Police Force, NY","EOW: Thursday, July 10, 1851",Cause of Death: Assault
Sergeant Michael Foster,"New York Municipal Police Force, NY","EOW: Monday, August 4, 1851",Cause of Death: Stabbed
Posseman Edward Gorsuch,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, September 11, 1851",Cause of Death: Gunfire
Deputy Sheriff David Neil,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause of Death: Gunfire
Deputy Sheriff James Holden,"Smith County Sheriff's Office, TX","EOW: Saturday, September 27, 1851",Cause of Death: Gunfire
Night Policeman William Baker,"Philadelphia Police Department, PA","EOW: Friday, December 26, 1851",Cause of Death: Fire
Captain Chin Chi Kee,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 10, 1852",Cause of Death: Gunfire
Sheriff James Preston Fulkerson,"Calhoun County Sheriff's Office, TX","EOW: Sunday, April 4, 1852",Cause of Death: Gunfire
Deputy Sheriff Moses Formwalt,"DeKalb County Sheriff's Office, GA","EOW: Saturday, May 1, 1852",Cause of Death: Stabbed
Watchman William T. Pullan,"Providence City Watch, RI","EOW: Tuesday, May 18, 1852",Cause of Death: Assault
Constable Gideon Manchester,"Fall River Police Department, MA","EOW: Friday, July 16, 1852",Cause of Death: Gunfire
Watchman Joseph Stoddard,"Cincinnati Police Department, OH","EOW: Friday, September 10, 1852",Cause of Death: Stabbed
Deputy Sheriff Wesley F. Cherry,"King County Sheriff's Office, WA","EOW: Sunday, March 6, 1853",Cause of Death: Gunfire
Night Watchman Samuel H. Ferguson,"Pittsburgh Night Watch, PA","EOW: Thursday, April 21, 1853",Cause of Death: Stabbed
Deputy Sheriff Rodney Badger,"Salt Lake County Sheriff's Office, UT","EOW: Friday, April 29, 1853",Cause of Death: Drowned
Shadow George Trenchard,"New York Municipal Police Force, NY","EOW: Thursday, June 2, 1853",Cause of Death: Fire
Watchman John Osborne,"Cleveland Police Department, OH","EOW: Thursday, December 1, 1853",Cause of Death: Stabbed
Constable James Quinn,"Chicago Police Department, IL","EOW: Monday, December 5, 1853",Cause of Death: Assault
Constable Jack Wheelan,"Los Angeles County Constable's Office, CA","EOW: Wednesday, December 7, 1853",Cause of Death: Stabbed
Police Officer George R. Turner,"Stockton Police Department, CA","EOW: Friday, April 14, 1854",Cause of Death: Gunfire
Officer Cyrus Beebe,"Columbus Division of Police, OH","EOW: Thursday, April 27, 1854",Cause of Death: Gunfire
Deputy U.S. Marshal James Batchelder,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, May 26, 1854",Cause of Death: Gunfire
Constable William H. Hardmount,"Monterey County Constable's Office, CA","EOW: Saturday, September 2, 1854",Cause of Death: Gunfire
Patrolman Casper Lauer,"Chicago Police Department, IL","EOW: Monday, September 18, 1854",Cause of Death: Stabbed
Patrolman James Cahill,"New York Municipal Police Force, NY","EOW: Friday, September 29, 1854",Cause of Death: Gunfire
Police Officer Maxwell Badgley,"Newark Police Department, NJ","EOW: Monday, October 23, 1854",Cause of Death: Stabbed
Patrolman David Gourley,"New York Municipal Police Force, NY","EOW: Sunday, November 5, 1854",Cause of Death: Stabbed
Deputy Sheriff William Harrison Reams,"Laurel County Sheriff's Department, KY","EOW: Friday, November 24, 1854",Cause of Death: Stabbed
Policeman John Sheldon,"Sonora Police Department, CA","EOW: Sunday, April 29, 1855",Cause of Death: Stabbed
Sheriff William A. Phoenix,"Amador County Sheriff's Department, CA","EOW: Sunday, August 12, 1855",Cause of Death: Gunfire
Indian Agent Andrew J. Bolon,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Tuesday, September 25, 1855",Cause of Death: Stabbed
Private William H. Clopton,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Private Willis E. Jones,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Private H. K. Holland,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Private Augustus Smith,"Texas Rangers, TX","EOW: Wednesday, October 3, 1855",Cause of Death: Gunfire
Deputy Sheriff Charles Layton,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire
Deputy Sheriff Joaquin De La Torre,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire
Deputy Sheriff Jim Beckwith,"Monterey County Sheriff's Department, CA","EOW: Saturday, November 10, 1855",Cause of Death: Gunfire
Marshal William H. Richardson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, November 17, 1855",Cause of Death: Gunfire
Night Watchman Thomas Cummins,"New Haven Police Department, CT","EOW: Saturday, November 24, 1855",Cause of Death: Assault
Marshal Eli R. Doyle,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, December 27, 1855",Cause of Death: Fall
Police Officer Alexander Algeo,"New Orleans Police Department, LA","EOW: Wednesday, March 26, 1856",Cause of Death: Gunfire
Lieutenant Levi Parker,"Cincinnati Police Department, OH","EOW: Sunday, May 4, 1856",Cause of Death: Gunfire
Watchman Neil Mooney,"Philadelphia Police Department, PA","EOW: Sunday, May 25, 1856",Cause of Death: Gunfire
City Marshal David Johnson,"Nevada City Police Department, CA","EOW: Monday, November 3, 1856",Cause of Death: Gunfire
Sheriff W. W. Wright,"Nevada County Sheriff's Office, CA","EOW: Monday, November 3, 1856",Cause of Death: Gunfire
Sheriff John F. Taylor,"Winnebago County Sheriff's Office, IL","EOW: Tuesday, November 11, 1856",Cause of Death: Gunfire
Night Watchman John Omayer,"Baltimore City Police Department, MD","EOW: Thursday, November 13, 1856",Cause of Death: Gunfire (Accidental)
Police Officer William I. Van Arsdale,"New Brunswick Police Department, NJ","EOW: Sunday, December 7, 1856",Cause of Death: Drowned
Deputy Warden Galen Carter Walker,"Massachusetts Department of Correction, MA","EOW: Monday, December 15, 1856",Cause of Death: Stabbed
Warden Solon Tenney,"Massachusetts Department of Correction, MA","EOW: Monday, December 29, 1856",Cause of Death: Stabbed
Sheriff James R. Barton,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
Constable Charles K. Baker,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
Deputy Charles T. Daly,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
Constable William H. Little,"Los Angeles County Sheriff's Department, CA","EOW: Friday, January 23, 1857",Cause of Death: Gunfire
Sheriff James M. Land,"Estill County Sheriff's Department, KY","EOW: Sunday, March 22, 1857",Cause of Death: Gunfire
Deputy Sheriff Jessie Arvin,"Estill County Sheriff's Department, KY","EOW: Sunday, March 22, 1857",Cause of Death: Gunfire
Patrolman Stephen P. Hardenbrook,"New York Municipal Police Force, NY","EOW: Wednesday, April 15, 1857",Cause of Death: Stabbed
Deputized Civilian William B.M. Barbee,"Burleson County Constable's Office - Precinct 3, TX","EOW: Sunday, May 24, 1857",Cause of Death: Gunfire
Assistant City Marshal Frederick W. Fieldstrup,"San Antonio Police Department, TX","EOW: Friday, May 29, 1857",Cause of Death: Gunfire
Special Patrolman Thomas Sparks,"New York Metropolitan Police Force, NY","EOW: Thursday, July 9, 1857",Cause of Death: Assault
Patrolman Eugene Anderson,"New York Metropolitan Police Force, NY","EOW: Monday, July 20, 1857",Cause of Death: Gunfire
Sergeant William Jourdan,"Baltimore City Police Department, MD","EOW: Wednesday, October 14, 1857",Cause of Death: Gunfire
Patrolman Ezekiel Wentworth Hodsdon,"Boston Police Department, MA","EOW: Sunday, October 18, 1857",Cause of Death: Gunfire
Patrolman Horatio Sanger,"New York Metropolitan Police Force, NY","EOW: Sunday, November 22, 1857",Cause of Death: Assault
Sheriff William C. Getman,"Los Angeles County Sheriff's Department, CA","EOW: Thursday, January 7, 1858",Cause of Death: Gunfire
Sheriff Samuel Lee Lockhart,"Llano County Sheriff's Office, TX","EOW: Saturday, January 9, 1858",Cause of Death: Stabbed
Special Police Officer George C. Chapman,"Sacramento Police Department, CA","EOW: Tuesday, April 27, 1858",Cause of Death: Gunfire
Private William Earbee,"Texas Rangers, TX","EOW: Wednesday, May 5, 1858",Cause of Death: Gunfire (Accidental)
Private Robert Nickles,"Texas Rangers, TX","EOW: Wednesday, May 12, 1858",Cause of Death: Stabbed
Private Waco Indian,"Texas Rangers, TX","EOW: Wednesday, May 12, 1858",Cause of Death: Gunfire
City Marshal Joseph Beard,"Lexington Police Department, KY","EOW: Saturday, July 10, 1858",Cause of Death: Stabbed
Deputy Sheriff Travis Gibson,"Campbell County Sheriff's Office, TN","EOW: Tuesday, August 3, 1858",Cause of Death: Stabbed
Sheriff Sampson D. Queener,"Campbell County Sheriff's Office, TN","EOW: Tuesday, August 3, 1858",Cause of Death: Stabbed
Patrolman George Coulter,"Louisville Police Department, KY","EOW: Tuesday, August 17, 1858",Cause of Death: Gunfire
Police Officer Benjamin Benton,"Baltimore City Police Department, MD","EOW: Wednesday, September 22, 1858",Cause of Death: Gunfire
Police Officer William Cooke,"Salt Lake City Police Department, UT","EOW: Monday, October 18, 1858",Cause of Death: Gunfire
Police Officer Robert M. Rigdon,"Baltimore City Police Department, MD","EOW: Monday, November 8, 1858",Cause of Death: Gunfire
Policeman Joel N. McDonald,"Columbia Police Department, CA","EOW: Friday, November 26, 1858",Cause of Death: Gunfire
Constable John Leary,"Columbia Police Department, CA","EOW: Monday, November 29, 1858",Cause of Death: Gunfire
Constable David Welch,"Henderson County Sheriff's Office, IL","EOW: Tuesday, January 11, 1859",Cause of Death: Gunfire
Deputy Sheriff George W. Martin,"Placer County Sheriff's Department, CA","EOW: Monday, July 11, 1859",Cause of Death: Gunfire
Jailer Robert L. Johnson,"Cameron County Sheriff's Office, TX","EOW: Wednesday, September 28, 1859",Cause of Death: Gunfire
Constable George Morris,"Cameron County Constable's Office - Precinct 2, TX","EOW: Wednesday, September 28, 1859",Cause of Death: Gunfire
Private John Fox,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire
Private Thomas Grier,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire
Private William McKay,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire
Private Nicholas R. Milett,"Texas Rangers, TX","EOW: Wednesday, November 16, 1859",Cause of Death: Gunfire
Private David Herman,"Texas Rangers, TX","EOW: Wednesday, December 14, 1859",Cause of Death: Gunfire
Patrolman John Steward,"New York Metropolitan Police Force, NY","EOW: Tuesday, December 20, 1859",Cause of Death: Structure collapse
Private Fountain B. Woodruff,"Texas Rangers, TX","EOW: Saturday, February 4, 1860",Cause of Death: Gunfire
Sheriff Thomas S. Milligan,"Mason County Sheriff's Department, TX","EOW: Sunday, February 19, 1860",Cause of Death: Assault
Officer C. Edward Foley,"Houston Police Department, TX","EOW: Saturday, March 10, 1860",Cause of Death: Gunfire
Deputy U.S. Marshal Leonard Armes,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, April 20, 1860",Cause of Death: Gunfire
Patrolman W. Stith Tucker,"Memphis Police Department, TN","EOW: Saturday, May 5, 1860",Cause of Death: Stabbed
Police Officer Levi Washington Davis,"Springville Police Department, UT","EOW: Monday, May 7, 1860",Cause of Death: Gunfire
Patrol Officer William Loughrey,"Cambridge Police Department, MA","EOW: Tuesday, June 26, 1860",Cause of Death: Stabbed
Deputy Sheriff Thomas Shain,"Collin County Sheriff's Office, TX","EOW: Monday, July 2, 1860",Cause of Death: Gunfire
Constable Miles Huntsman,"Amador County Constable's Office, CA","EOW: Thursday, July 26, 1860",Cause of Death: Gunfire
Deputy Thomas Nolan,"Nueces County Sheriff's Office, TX","EOW: Wednesday, August 15, 1860",Cause of Death: Gunfire
Officer Claborne Long,"Cincinnati Police Department, OH","EOW: Wednesday, January 9, 1861",Cause of Death: Stabbed
Officer Daniel Hallam,"Cincinnati Police Department, OH","EOW: Thursday, January 10, 1861",Cause of Death: Stabbed
Sheriff Jesse Sut Harris,"Brown County Sheriff's Department, TX","EOW: Thursday, June 6, 1861",Cause of Death: Gunfire
Officer Patrick Nuttle,"Cincinnati Police Department, OH","EOW: Tuesday, June 11, 1861",Cause of Death: Stabbed
Policeman Nehum M. Pratte,"St. Louis Metropolitan Police Department, MO","EOW: Monday, June 17, 1861",Cause of Death: Gunfire
Keeper Augustus T. Wright,"New York State Department of Correctional Services, NY","EOW: Thursday, July 11, 1861",Cause of Death: Assault
Patrolman David Martin,"New York Metropolitan Police Force, NY","EOW: Tuesday, August 6, 1861",Cause of Death: Stabbed
Sheriff John B. York,"Tarrant County Sheriff's Department, TX","EOW: Saturday, August 24, 1861",Cause of Death: Stabbed
Sheriff John L. Blackburn,"Carson County Sheriff's Office, NV","EOW: Thursday, November 28, 1861",Cause of Death: Stabbed
Police Officer John C. Gilmore,"St. Louis Metropolitan Police Department, MO","EOW: Tuesday, December 24, 1861",Cause of Death: Gunfire
Patrolman John W. Causey,"Memphis Police Department, TN","EOW: Tuesday, December 31, 1861",Cause of Death: Stabbed
Patrolman Ben S. Rust,"Louisville Police Department, KY","EOW: Thursday, January 16, 1862",Cause of Death: Gunfire
Warden Daniel Webster,"Connecticut Department of Correction, CT","EOW: Thursday, March 27, 1862",Cause of Death: Stabbed
Sheriff N. F. Scott,"Mono County Sheriff's Office, CA","EOW: Saturday, April 5, 1862",Cause of Death: Gunfire
Constable John Welch,"Evansville Police Department, IN","EOW: Monday, April 14, 1862",Cause of Death: Gunfire
Patrolman Henry L. Williams,"New York Metropolitan Police Force, NY","EOW: Tuesday, October 14, 1862",Cause of Death: Gunfire
Deputy Sheriff Martin Roohan,"Santa Clara County Sheriff's Office, CA","EOW: Thursday, October 23, 1862",Cause of Death: Stabbed
Sergeant John Sturdy,"St. Louis Metropolitan Police Department, MO","EOW: Friday, April 10, 1863",Cause of Death: Assault
Police Officer Dennis McMahon,"Virginia City Police Department, NV","EOW: Sunday, April 12, 1863",Cause of Death: Gunfire
Police Officer Thomas Reed,"Virginia City Police Department, NV","EOW: Sunday, April 12, 1863",Cause of Death: Gunfire
Warden Richard Tinker,"Maine Department of Corrections, ME","EOW: Thursday, May 14, 1863",Cause of Death: Stabbed
Deputy Sheriff D. H. Dillingham,"Bannock County Sheriff's Department, ID","EOW: Monday, June 29, 1863",Cause of Death: Gunfire
Patrolman Edward Dippel,"New York Metropolitan Police Force, NY","EOW: Sunday, July 19, 1863",Cause of Death: Gunfire
Patrolman Peter McIntyre,"New York Metropolitan Police Force, NY","EOW: Sunday, August 9, 1863",Cause of Death: Assault
Officer John F. Baylis,"Wilmington Police Department, DE","EOW: Wednesday, September 9, 1863",Cause of Death: Gunfire
Sheriff William H. Tainter,"Mendocino County Sheriff's Office, CA","EOW: Friday, October 23, 1863",Cause of Death: Drowned
Patrolman John T. Van Buren,"New York Metropolitan Police Force, NY","EOW: Saturday, November 7, 1863",Cause of Death: Assault
Inspector William Bird Goodell,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, December 16, 1863",Cause of Death: Drowned
Deputy Collector James M. Anderson,"United States Department of the Treasury - Customs Service, US","EOW: Wednesday, December 16, 1863",Cause of Death: Drowned
Patrolman John Starkey,"New York Metropolitan Police Force, NY","EOW: Wednesday, January 20, 1864",Cause of Death: Assault
Patrolman Austin H. Easterbrook,"New York Metropolitan Police Force, NY","EOW: Saturday, February 6, 1864",Cause of Death: Animal related
Special Agent Garrett W. Freer,"United States Army Criminal Investigation Division, US","EOW: Monday, May 2, 1864",Cause of Death: Gunfire
Deputy Warden Joseph T. Clark,"Illinois Department of Corrections, IL","EOW: Sunday, May 8, 1864",Cause of Death: Assault
Patrolman George W. Duryea,"New York Metropolitan Police Force, NY","EOW: Monday, May 16, 1864",Cause of Death: Gunfire
Deputy Sheriff Andrew Kriss,"San Diego County Sheriff's Department, CA","EOW: Wednesday, May 25, 1864",Cause of Death: Gunfire
Deputy Joseph Staples,"El Dorado County Sheriff's Department, CA","EOW: Friday, July 1, 1864",Cause of Death: Gunfire
Patrolman John J. O'Brien,"New York Metropolitan Police Force, NY","EOW: Thursday, August 25, 1864",Cause of Death: Gunfire
Deputy Marshal Charles Ring,"Saginaw Police Department, MI","EOW: Wednesday, September 14, 1864",Cause of Death: Gunfire
Sheriff Harvey Staten Cox,"Young County Sheriff's Office, TX","EOW: Thursday, September 15, 1864",Cause of Death: Assault
Sheriff Robert Carmen,"Chariton County Sheriff's Department, MO","EOW: Tuesday, September 20, 1864",Cause of Death: Gunfire
Special Agent Josiah M. Woodruff,"United States Army Criminal Investigation Division, US","EOW: Saturday, October 1, 1864",Cause of Death: Gunfire
