id,candidate,song,artist,sentiment,theme,album_release_date,line,url
29,Hillary Clinton,Grillz,Ali,neutral,N/A,2005,Got a bill in my mouth like I'm Hillary Rodham,http://genius.com/Nelly-grillz-lyrics
30,Hillary Clinton,Nothing on My Mind,AllDay,neutral,N/A,2013,Young buck but I never suck call me Hillary,http://genius.com/Allday-nothing-on-my-mind-lyrics
31,Hillary Clinton,Gossip Folks,Angel Haze,negative,N/A,2012,â€˜Cause I was alone at the bottom / Kept getting played like Hilary Rodham,http://genius.com/Angel-haze-gossip-folks-lyrics
32,Hillary Clinton,No Church in the Wild Freestyle,Angel Haze,negative,political,2012,"We goverend by fucking animals hello Mr. Obama, Comma Mrs. Obama comma future elections, hello Hillary Rodham",http://genius.com/Angel-haze-no-church-in-the-wild-freestyle-lyrics
33,Hillary Clinton,Again (Stankonia Remix),Big Boi,neutral,N/A,2001,"Thinkin the Hillary Clinton, not to mention, and she got yo baby",http://genius.com/Lenny-kravitz-again-stankonia-remix-lyrics
34,Hillary Clinton,Energy,Big Boi,neutral,personal,2008,Energy like Bill and Hillary Clinton,http://genius.com/Raheem-devaughn-energy-feat-big-boi-lyrics
35,Hillary Clinton,No Sunshine,Rhymefest,positive,money,2007,Until we all fuckin' with bills/Bill's like Hillary Rodham,http://genius.com/Rhymefest-no-sunshine-lyrics
36,Hillary Clinton,Unapologetic,Charles Hamilton,negative,political,2008,"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----",http://genius.com/Charles-hamilton-unapologetic-lyrics
37,Hillary Clinton,Dark Night of the Blood Spiller,Chino XL,negative,sexual,1994,Getting my dick sucked / On the cover of Source magazine by Hillary Clinton,http://genius.com/Chino-xl-night-of-the-blood-spiller-lyrics
38,Hillary Clinton,Nunca,Chino XL,neutral,N/A,2001,"I'll shoot out with Bill & Hillary, still won't run out of artillery",http://genius.com/Chino-xl-nunca-lyrics
39,Hillary Clinton,Datpiff (freeverse series Ep. 4),Chris Webby,neutral,N/A,2016,"The planet is collapsing, economies are crashin' / And Hillary Clinton is dabbin'",http://genius.com/Chris-webby-datpiff-freeverse-series-ep-4-lyrics
40,Hillary Clinton,One,Corny,positive,money,2014,"Blowing up like some artillery, Bills coming to me like Hillary",http://genius.com/Corny-one-lyrics
41,Hillary Clinton,Single Again (Remix),Trina,positive,N/A,2007,Like Hillary Clinton / I'm the boss,http://genius.com/Trina-single-again-remix-lyrics
42,Hillary Clinton,Fukinwichu,Cunninlynguists,negative,personal,2001,Send Hillary the Bill and Lewinski scene in claymation,http://genius.com/Cunninlynguists-fukinwichu-lyrics
43,Hillary Clinton,Opening Day,E-dubble,negative,N/A,2010,"Specially when you throwin' like Hillary Rodham / Problem, from top to bottom",http://genius.com/E-dubble-opening-day-lyrics
44,Hillary Clinton,Role Model,Eminem,negative,N/A,1999,Hillary Clinton tried to slap me and call me a pervert / I ripped her fucking tonsils out and fed her sherbet (bitch!),http://genius.com/Eminem-role-model-lyrics
45,Hillary Clinton,Sway in the Morning Freestyle,Eminem,negative,political,2015,"But Hilllary, I promise to wipe my server clean if you face subpoenas",http://genius.com/Eminem-sway-in-the-morning-freestyle-lyrics
46,Hillary Clinton,A Milli,Fabolous,negative,personal,2008,"Hillary, Bill Clin--Fuck it. They don't get it",http://genius.com/Fabolous-a-milli-lyrics
47,Hillary Clinton,Hit It for Free,Field Mob,negative,personal,2002,I'm like Farakahn being best friends with porky pig / Or like Hillary Clinton dikin' with Lewinsky,http://genius.com/Field-mob-hit-it-for-free-lyrics
48,Hillary Clinton,Make U Feel Alright,Jay Da Menace,positive,personal,2009,"Got'chu feelin me the way that Jada feelin Will / And Hillary feelin Bill, a chick that gon' keep it real - f'real",http://genius.com/Juvenile-make-u-feel-alright-lyrics
49,Hillary Clinton,Dope Boy,Gorilla Zoe,neutral,N/A,2009,"Hey Ms. Hilary, can't be kin to me (No) / But I keep that white bitch on another level G",http://genius.com/Gorilla-zoe-dope-boy-lyrics
50,Hillary Clinton,Money Man,Gorilla Zoe,neutral,personal,2007,"Keep dat white girl Hillary, a pound of Bill Clinton",http://genius.com/Gorilla-zoe-money-man-lyrics
51,Hillary Clinton,What's Goin' On,Gravediggaz,neutral,personal,1997,"Killa Bee, presidential suite, Bill and Hillary",http://genius.com/Gravediggaz-whats-goin-on-lyrics
52,Hillary Clinton,Greasy,Gucci Mane,neutral,N/A,2013,What you're Hillary Rodham bitch?,http://genius.com/Gucci-mane-greasy-lyrics
53,Hillary Clinton,Every Girl,Gudda Gudda,neutral,N/A,2010,"And Hillary can Rodham too, boy, I gets my pimpin' on",http://genius.com/Young-money-every-girl-lyrics
54,Hillary Clinton,Bad Bad Bad,Gucci Mane,positive,personal,2010,Stay down like Hillary and I can be your Billy,http://genius.com/Gucci-mane-bad-bad-bad-lyrics
55,Hillary Clinton,Hand of the Dead Body,Ice Cube,negative,personal,1994,"And I can't stop, won't stop / So fuck Bill and Hillary",http://genius.com/Scarface-hand-of-the-dead-body-lyrics
56,Hillary Clinton,Stand Tall,Ice Cube,negative,N/A,2008,Never put your trust in Hillary Rodham / Cause I can tell you now it's gon' turn out rotten,http://genius.com/Ice-cube-stand-tall-lyrics
57,Hillary Clinton,American History X,Ill Bill,negative,political,2004,"I eat politicians for breakfast / Till infinity it's endless / Bill and Hillary, George Bush, everybody's gettin it",http://genius.com/Ill-bill-american-history-x-lyrics
58,Hillary Clinton,Twisted Thoughts,ISO,neutral,political,2015,"Couldn't pay my bills, where the fuck is Hillary?",http://genius.com/King-iso-twisted-thoughts-lyrics
59,Hillary Clinton,Holla at a Playa (Remix),Jae Millz,neutral,political,2008,"Straight Osam 'em, treat 'em like Hillary",http://genius.com/Jae-millz-holla-at-a-playa-remix-lyrics
60,Hillary Clinton,Mayor Bloomberg: Who's Really in Control?,Jasiri X,neutral,N/A,2013,2016 that's right Hillary I'll show you what a Billie means,http://genius.com/Jasiri-x-mayor-bloomberg-whos-really-in-control-lyrics
61,Hillary Clinton,NYMP,Jay Z,neutral,political,1999,"I take and rape villages, who gon' stop him? / Not Rudy Guiliani, not Hillary Rodham",http://genius.com/Jay-z-nymp-lyrics
62,Hillary Clinton,"Bitch, Don't Kill My Vibe (Remix)",Jay Z,neutral,N/A,2012,Sittin' next to Hillary smellin' like dank,http://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-remix-lyrics
63,Hillary Clinton,I Luv Your Girl (Remix),Jeezy,neutral,N/A,2008,"It goes Hillary Clinton, Barack Obama",http://genius.com/The-dream-i-luv-your-girl-remix-lyrics
64,Hillary Clinton,U Ain't Fresh,KAM,neutral,personal,2000,"Like Bill ass Hillary, ""what's up?"" / Still love me, pretty young thang?",http://genius.com/Dj-quik-u-aint-fresh-lyrics
65,Hillary Clinton,Pressure,Killer Mike,negative,political,2008,Or you a dirty n---- working for a fucking Clinton / Or you dirty n---- working for a fucking Bush,http://genius.com/Killer-mike-pressure-lyrics
66,Hillary Clinton,R.I.P.,King Kold,neutral,N/A,2014,Was content with that basic shit / My Hillary Clinton,http://genius.com/King-kold-rip-lyrics
67,Hillary Clinton,Bring It Back,KRS-ONE,neutral,N/A,1997,It Takes a Village like Hillary,http://genius.com/Krs-one-bring-it-back-lyrics
68,Hillary Clinton,Smilin' Faces,Kutt Calhoun,negative,N/A,2008,Look at Hillary Clinton when she speak / Looking like the devil with a grin,http://genius.com/Kutt-calhoun-smilin-faces-lyrics
69,Hillary Clinton,Whatever You Want,Big Sean,positive,money,2010,Leading lady like Hillary grabbing big Bills,http://genius.com/Big-sean-whatever-you-want-lyrics
70,Hillary Clinton,Lollipop,Lil Wayne,neutral,personal,2008,"And when I'm at the bottom, she Hillary Rodham",http://genius.com/Lil-wayne-lollipop-lyrics
71,Hillary Clinton,Let's Stay Together,Ludacris,negative,personal,2008,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it",http://genius.com/Ludacris-lets-stay-together-lyrics
72,Hillary Clinton,Politics as Usual (Obama Is Here),Ludacris,negative,political,2008,Hillary hated on you so that {censored} bitch is irrelevant,http://genius.com/Ludacris-politics-as-usual-obama-is-here-lyrics
73,Hillary Clinton,The Ghetto Won't Change,Master P,negative,political,1996,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real",http://genius.com/Master-p-the-ghetto-wont-change-lyrics
74,Hillary Clinton,Bitch I'm Bill Clinton,Lil B,positive,political,2010,"Shout-outs to Hillary Clinton, you gonna win that presidency",http://genius.com/Lil-b-bitch-im-bill-clinton-lyrics
75,Hillary Clinton,Fuck the Government,Mediumjay,negative,political,2012,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch",http://genius.com/Mediumjay-fuck-the-government-lyrics
76,Hillary Clinton,Cradle Rock,Method Man,negative,political,1998,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary,http://genius.com/Method-man-cradle-rock-lyrics
77,Hillary Clinton,Vietnam,Mickey Factz,neutral,political,2008,Nothing against Hilary Clinton / But Obama's about to be winning,http://genius.com/Mickey-factz-vietnam-lyrics
78,Hillary Clinton,A Thing for Me,G-Eazy,neutral,personal,2011,"Liberally, accepting Monicas but missing Hillary",http://genius.com/G-eazy-a-thing-for-me-lyrics
79,Hillary Clinton,Poizon Windz,Monsta Island Czars,neutral,N/A,2003,"Head essential lightning agency throats, thinkin of Hilary Clinton",http://genius.com/Monsta-island-czars-poizon-windz-lyrics
80,Hillary Clinton,Little This Little That,Naj Murph,neutral,personal,2013,I need a Hillary so let me know if you fit the bill; when we chill,http://genius.com/Naj-murph-little-this-little-that-lyrics
81,Hillary Clinton,Male Feminist,Mazeman,positive,political,2011,"Hilary Clinton, yeah she's winning",http://genius.com/Mc-lars-male-feminist-lyrics
82,Hillary Clinton,Shoot Me a Fair One,Papoose,negative,political,2008,"More like Obama versus Hillary, nothing / A intelligent black man against a woman",http://genius.com/Papoose-shoot-me-a-fair-one-lyrics
83,Hillary Clinton,Krazy,Pitbull,neutral,personal,2009,Obama with no color / Hillary with no Bill,http://genius.com/Pitbull-krazy-lyrics
84,Hillary Clinton,Happy People,Prince Ital Joe,negative,political,1993,Mr. Bill Clinton and the bird Hillary / Wrap up the war on the brutality,http://genius.com/Prince-ital-joe-happy-people-lyrics
85,Hillary Clinton,Yzark,Proof,neutral,personal,2004,While Clinton got head I was in the sack with old Hillary,http://genius.com/Proof-yzark-lyrics
86,Hillary Clinton,PSA,Pryde,neutral,personal,2012,But they only like me for my bill like they're Hillary,http://genius.com/Pryde-psa-lyrics
87,Hillary Clinton,Fall Down Brew,R.A. the Rugged Man,negative,N/A,2008,"Sewed Hillary Clinton's mouth, and that's after drinkin just one",http://genius.com/Chief-chinchilla-aka-j-zone-fall-down-brew-lyrics
88,Hillary Clinton,Smells Like,R.A. The Rugged Man,neutral,sexual,2013,"Hillary Clinton can get her clit done with my big tounge / Have the bitch strung, once me dick swung, her lip drip cum",http://genius.com/Jarren-benton-smells-like-lyrics
89,Hillary Clinton,Born to Ball,Skeme,positive,money,2012,But I'm all about my bills / Grind stay Hillary Rodham,http://genius.com/Skeme-born-to-ball-lyrics
90,Hillary Clinton,RNQ,Rhymefest,negative,political,2009,"Hillary, Jesse Jack, even Barack's involved / When police beatin' our ass, none of y'all do a damn thang",http://genius.com/Rhymefest-rnq-lyrics
91,Hillary Clinton,TimeZone,Saba,positive,personal,2014,Y'all ain't near and dear to me like William and Hillary,http://genius.com/Saba-timezone-lyrics
92,Hillary Clinton,White Girl (Remix),Rick Ross,positive,N/A,2007,"Hilary Clinton, she my best friend / Even co-signed for that new white Benz",http://genius.com/Jeezy-white-girl-remix-lyrics
93,Hillary Clinton,Now That I'm Paid,Rick Ross,neutral,N/A,2012,Whip it in the kitchen before Hillary became a Clinton,http://genius.com/The-game-now-that-im-paid-lyrics
94,Hillary Clinton,Life So Hard,Migos,positive,N/A,2015,Make a basic bitch feel like Hillary Clinton,http://genius.com/Migos-life-so-hard-lyrics
95,Hillary Clinton,I'm Me Freestyle,"Royce Da 5'9""",neutral,N/A,2008,"This industry is Hillary Clinton literally, listen / You ain't got no choice now",http://genius.com/Royce-da-59-im-me-freestyle-lyrics
96,Hillary Clinton,Back Together,Nicki Minaj,positive,N/A,2015,Used to call me Hillary cause I ride 'em,http://genius.com/Robin-thicke-back-together-lyrics
98,Hillary Clinton,What the Fuck Is Up?,Scarlett,neutral,personal,1999,"Wanna diss me, cuz I cut you down quickly / I'm Hillary to this shit, you still fuckin with Lewinsky",http://genius.com/Nore-what-the-fuck-is-up-lyrics
99,Hillary Clinton,Shit Iz Real,Shyheim,neutral,money,1996,Where ya at? Cats sacking green/ Bill/Hill Clinton,http://genius.com/Shyheim-shit-iz-real-lyrics
100,Hillary Clinton,Badman in Tivoli,Skepta,neutral,personal,2012,Black Bill Clinton linking Monica and Hillary,http://genius.com/Skepta-badman-in-tivoli-lyrics
101,Hillary Clinton,Fresh,Slick Rick,neutral,personal,1998,Babies jump out the carriage / Could even fix the Hillary and Clinton marriage,http://genius.com/Jermaine-dupri-fresh-lyrics
102,Hillary Clinton,Sky Lanterns,Social Club,neutral,N/A,2015,Hillary Jane over Hilary Rodham,http://genius.com/Social-club-sky-lanterns-lyrics
103,Hillary Clinton,Gang Love,T.H.U.G. Angelz,negative,political,2008,It's like we paying them rent to live inside a prison / Hilary Clinton is benefiting them politicians,http://genius.com/Thug-angelz-gang-love-lyrics
104,Hillary Clinton,Nightmares of the Bottom (Triggamix),Trey Songz,negative,sexual,2011,She think she's my bottom bitch; Hillary Rodham-ish,http://genius.com/Trey-songz-nightmares-of-the-bottom-triggamix-lyrics
105,Hillary Clinton,Rich the GOAT,Rich The Kid,positive,political,2016,"Hillary hit the dab, Ima vote",http://genius.com/Rich-the-kid-rich-the-goat-lyrics
106,Hillary Clinton,I Shoulda Tried Harder,Wax,neutral,personal,2013,"Bill Clinton, Hillary Clinton, I ain't talking to ya'll, nope",http://genius.com/Wax-i-shoulda-tried-harder-lyrics
107,Hillary Clinton,Girls Got a Gun,Yo-Yo,negative,personal,1993,Fuck Bill Clinton and Hillary,http://genius.com/Yo-yo-girls-got-a-gun-lyrics
108,Hillary Clinton,For Real,Yung God,neutral,personal,2014,"Bang, Heavy artillery young Bill Clint / Make your girl go Hillary boy",http://genius.com/Yung-god-for-real-lyrics
109,Bernie Sanders,Valleys,Lupe Fiasco,positive,political,2015,"Uh, Bernie Sanders need a Nike deal",http://genius.com/Lupe-fiasco-valleys-lyrics
110,Bernie Sanders,The Ancap Rap,Young Rippa,negative,political,2015,Bernie sanders is an economic illiterate,http://genius.com/Young-rippa-the-ancap-rap-lyrics
111,Donald Trump,Johnny Ryall,Beastie Boys,neutral,N/A,1989,Donald Trump and Donald Tramp living in the men's Shelter,http://genius.com/Beastie-boys-johnny-ryall-lyrics
112,Donald Trump,Protect Ya Neck II the Zoo,12 O'Clock - Brooklyn Zu,positive,money,1995,"Given the power punch, soon to be paid like Donald Trump",http://genius.com/Ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics
113,Donald Trump,My Word Is Bond,Donald D,positive,N/A,1989,"And after that me and Donald Trump hung out / Donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/Ice-t-my-word-is-bond-lyrics
114,Donald Trump,50/Banks,50 Cent,positive,money,2002,"We can talk Trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics
115,Donald Trump,Skill Trade,Nice,positive,money,1990,I'm not rich like Donald Trump,http://genius.com/Nice-skill-trade-lyrics
116,Donald Trump,Strip Club Luv,69 Boyz,positive,money,1998,Girl if your beauty was a dollar you'd be richer than Trump,http://genius.com/69-boyz-strip-club-luv-lyrics
117,Donald Trump,No Shots,7L & Esoteric,positive,money,2010,It's like Trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics
118,Donald Trump,Skypager,A Tribe Called Quest,positive,money,1991,Beeper's goin off like Don Trump gets checks,http://genius.com/A-tribe-called-quest-skypager-lyrics
119,Donald Trump,Dolly and the Rat Trap,Ultramagnetic MC's,neutral,money,1992,Look at Donald Trump!,http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics
120,Donald Trump,The Coup,The Coup,negative,political,1993,"Break yourself Trump, it's collection day",http://genius.com/The-coup-the-coup-lyrics
121,Donald Trump,Give It Up Fast,Nas,positive,hotel,1996,I need a suite with the flowers complimentary at Trump Towers,http://genius.com/Mobb-deep-give-it-up-fast-lyrics
122,Donald Trump,Trailer,Ace Hood,positive,money,2013,"I'm trying to get richer than Trump, a couple million for lunch",http://genius.com/Ace-hood-trailer-lyrics
123,Donald Trump,The Ebonic Plague,Ras Kass,neutral,N/A,1997,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/Cru-the-ebonic-plague-lyrics
124,Donald Trump,Yeah Yeah Yeah,Akala,positive,money,2006,"It amazes me, these rappers are so dumb / Get they advance and think they Trump",http://genius.com/Akala-yeah-yeah-yeah-lyrics
125,Donald Trump,Boughetto,Ali,positive,money,2002,"Trump money, but it's still the motel and Kyjuan",http://genius.com/Ali-boughetto-lyrics
126,Donald Trump,Mafioso,Kool G. Rap,positive,hotel,1998,Can't stop until I got a Casa up in Trump plaza,http://genius.com/Kool-g-rap-mafioso-lyrics
127,Donald Trump,Soldiers,Master P,neutral,N/A,1998,Follow me dumpin' n----s study humpin' I ain't Donald Trump,http://genius.com/C-murder-soldiers-lyrics
128,Donald Trump,Turn It Into Somethin',Frost,positive,hotel,1999,Real G's posted up at the Trump Towers,http://genius.com/Frost-turn-it-into-somethin-lyrics
129,Donald Trump,Fire,Makeba Mooncycle,neutral,N/A,1999,Playin Donald Trump for the mic with this,http://genius.com/Royal-fam-fire-lyrics
130,Donald Trump,Ba Bump,Black Eyed Peas,positive,money,2006,And if you got money fellas keep it like Trump,http://genius.com/Black-eyed-peas-ba-bump-lyrics
131,Donald Trump,Open Your Mind,Black The Ripper,positive,money,2013,"Who am I kidding, I'm try'na live lavish like Trump",http://genius.com/Black-the-ripper-open-your-mind-lyrics
132,Donald Trump,PlaneWalker,Bobby Raps,positive,money,2015,I do more deals than Donald Trump does,http://genius.com/Bobby-raps-planewalker-wuhuwahnmi2du-lyrics
133,Donald Trump,New World,Nas,neutral,money,1999,The new Don Trump is Bill Gates,http://genius.com/Nas-new-world-lyrics
134,Donald Trump,Speed Law,Yasiin Bey (Mos Def),positive,hotel,1999,Rocked the Trump Tower to the terrordome,http://genius.com/Yasiin-bey-speed-law-lyrics
135,Donald Trump,Molly (remix),Boston George,positive,money,2013,Big money like Donald Trump,http://genius.com/Boston-george-molly-remix-lyrics
136,Donald Trump,Cloud Aura,Brooke Candy,positive,personal,2013,"Ivana and Trump, shit, we coulda' ran the world",http://genius.com/Charli-xcx-cloud-aura-lyrics
137,Donald Trump,Hey Papi,Jay Z,positive,hotel,2000,I went to 1 Trump Plaza on their asses,http://genius.com/Jay-z-hey-papi-lyrics
138,Donald Trump,E.I.,Nelly,positive,hotel,2000,Get a room in Trump Towers just to hit the P hours,http://genius.com/Nelly-ei-lyrics
139,Donald Trump,Dipshits,Cam'ron,positive,hotel,2014,"Lookin' for me? Top floor suite of the Trump, baby",http://genius.com/Camron-dipshits-lyrics
140,Donald Trump,Soundscience,Souls of Mischief,neutral,personal,2000,They high drama like Trump and Ivana,http://genius.com/Souls-of-mischief-soundscience-lyrics
141,Donald Trump,Everywhere I Go,Tha Eastsidaz,positive,hotel,2001,I got a room at the Trump / Later on we can slump,http://genius.com/Tha-eastsidaz-everywhere-i-go-lyrics
142,Donald Trump,Ghetto Manifesto,The Coup,neutral,N/A,2001,Met Donald Trump and he froze up,http://genius.com/The-coup-ghetto-manifesto-lyrics
143,Donald Trump,Shorty,Chingy,positive,money,2003,"I'm the young Donald Trump, is y'all hearin me?",http://genius.com/Busta-rhymes-shorty-lyrics
144,Donald Trump,Crazy,50 Cent,positive,hotel,2002,Now I'm paid - catch me in the Trump Tower lobby,http://genius.com/50-cent-crazy-lyrics
145,Donald Trump,Wet! Wet! Wet!,Princess Superstar,neutral,hotel,2002,"Wet in the elevator, Trump Tower or my lunch hour",http://genius.com/Princess-superstar-wet-wet-wet-lyrics
146,Donald Trump,Get Paid,Styles P,positive,hotel,2002,"Tryin' to see my shit in the Forbes, Trump Tower for 'self",http://genius.com/Styles-p-get-paid-lyrics
147,Donald Trump,Hustle Harder,Common,positive,hotel,2014,She know what n----s want she know how to make 'em hunt / Hotel suite at the Trump,http://genius.com/Common-hustle-harder-lyrics
148,Donald Trump,John They're Stealing,Thirstin Howl III,neutral,money,2002,"Sold to Donald Trump, for personal checks",http://genius.com/Thirstin-howl-iii-john-theyre-stealing-lyrics
149,Donald Trump,Motion,Curren$y,positive,hotel,2012,Car service brung me to the Trump Tower,http://genius.com/Curren-y-motion-lyrics
150,Donald Trump,Kick Back Music,CyHi The Prynce,neutral,hotel,2013,That might get you staying a couple nights up at the Trump,http://genius.com/Cyhi-the-prynce-kick-back-music-lyrics
151,Donald Trump,SkyScraper V,D.R.C,positive,money,2013,I'm trying to make it large trying to Donald Trump it,http://genius.com/Drc-skyscraper-v-lyrics
152,Donald Trump,Take It Off Part 2,Busta Rhymes,positive,hotel,2002,Kennedy loft hoes mackin at the top of the Trump Towers,http://genius.com/Busta-rhymes-take-it-off-part-2-lyrics
153,Donald Trump,Jussummen,Das EFX,positive,money,1992,I went and break a slut like Donald Trump can break a million,http://genius.com/Das-efx-jussummen-lyrics
154,Donald Trump,What More Can I Say,Jay Z,positive,hotel,2003,I'm at the Trump International: ask for me I ain't never scared,http://genius.com/Jay-z-what-more-can-i-say-lyrics
155,Donald Trump,Nothing More,DeDa,positive,money,2003,"Cause boom, you can be Donald Trump and shit",http://genius.com/Pete-rock-nothing-more-lyrics
156,Donald Trump,Tightanic,Demark,positive,money,2014,We'Âêll run the market like we be Donald Trump,http://genius.com/Double-p-tightanic-lyrics
157,Donald Trump,Feel the Beat,LL Cool J,positive,hotel,2004,Spend a night in Trump Towers with a blue eyed blonde,http://genius.com/Ll-cool-j-feel-the-beat-lyrics
158,Donald Trump,Shyne,Shyne,positive,hotel,2004,"And dick for you bitches, up in the Trump Tower",http://genius.com/Shyne-shyne-lyrics
159,Donald Trump,Right to Bare Arms,Killah Priest,negative,N/A,2005,This one's for the cops and the war lord Trump,http://genius.com/Maccabeez-right-to-bare-arms-lyrics
160,Donald Trump,We Gon' Make It,Diddy,positive,money,2006,"That Bill Gates, Donald Trump, Bloomberg money",http://genius.com/Puff-daddy-we-gon-make-it-lyrics
161,Donald Trump,Good Morning,Cage,neutral,N/A,2005,Donald Trump shotgun pumps illegal store fronts,http://genius.com/Cage-good-morning-lyrics
162,Donald Trump,Dumb,The High & Mighty,negative,personal,2005,"I'm Donald Trump, with raccoon hair-dos",http://genius.com/The-high-and-mighty-dumb-lyrics
