year,party,candidate,endorsement_points,percentage_endorsement_points,money_raised,percentage_of_money,primary_vote_percentage,won_primary
2008,Republican,Mike Huckabee,12,5.21739,1275356.01,1.19,20.13,No
2008,Republican,John McCain,99,43.0435,25498407.34,23.73,46.74,Yes
2008,Democratic,Joe Biden,15,7.53769,6283428.49,3.54,0.22,No
2008,Democratic,Barack Obama,45,22.6131,58496362,32.97,47.41,Yes
2008,Democratic,Tom Vilsack,0,0,1891427,1.07,0,No
2008,Democratic,Hillary Clinton,107,53.7688,61981487.42,34.94,48,No
2008,Democratic,Dennis Kucinich,0,0,1114255.79,0.63,0.27,No
2008,Democratic,John Edwards,14,7.03518,22947582.91,12.93,2.66,No
2008,Democratic,Mike Gravel,0,0,18692.06,0.01,0.11,No
2008,Democratic,Bill Richardson,11,5.52764,13101080.05,7.38,0.28,No
2008,Democratic,Chris Dodd,7,3.51759,11575198.88,6.52,0.09,No
2012,Republican,Buddy Roemer,0,0,60535,0.19,0.17,No
2012,Republican,Rick Santorum,0,0,581847.67,1.82,20.4,No
2012,Republican,Jon Huntsman,0,0,0,0,0.43,No
2012,Republican,Gary Johnson,0,0,180236.8,0.56,0.02,No
2012,Republican,Newt Gingrich,18,27.2727,2068366.13,6.47,14.17,No
2012,Republican,Ron Paul,6,9.09091,4514165.68,14.13,10.89,No
2012,Republican,Mitt Romney,42,63.6364,18195222.87,56.95,52.17,Yes
2012,Republican,Michele Bachmann,0,0,4288335.65,13.42,0.21,No
2012,Republican,Rick Perry,0,0,0,0,0.28,No
2012,Republican,Herman Cain,0,0,2058565,6.44,0.07,No
