team	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
Rockets	0.49785	0.49817	0.50441	0.50788	0.5149	0.52564	0.52697	0.52832	0.53884	0.54678	0.54369	0.54798	0.54928	0.55131	0.54992	0.54673	0.54486	0.54825	0.54055	0.54452	0.54549	0.56267	0.5734	0.56865	0.57877	0.58196	0.59124	0.58634	0.59591	0.58933	0.58923	0.59497	0.6072	0.62039	0.61637	0.61843	0.62718	0.6401	0.66302	0.66739	0.67503	0.67291	0.67262	0.65435	0.65194	0.64109	0.60263	0.63115	0.63462
Pacers	0.4995	0.49613	0.49362	0.48915	0.48094	0.47262	0.46254	0.46804	0.46746	0.46001	0.46386	0.46275	0.45762	0.45492	0.45181	0.459	0.45912	0.46302	0.46686	0.46403	0.45939	0.45613	0.46168	0.45073	0.43426	0.44539	0.43913	0.41848	0.4105	0.40451	0.40404	0.40389	0.4096	0.41174	0.42167	0.42668	0.42552	0.425	0.43974	0.44431	0.44629	0.45416	0.43793	0.42011	0.40418	0.39422	0.40996	0.41359	0.40741
Clippers	0.50556	0.50592	0.51511	0.52794	0.53662	0.52963	0.53914	0.5338	0.53914	0.54073	0.54765	0.55197	0.54708	0.54004	0.52667	0.53582	0.54349	0.54138	0.54916	0.54778	0.54709	0.54955	0.53562	0.55359	0.56675	0.56647	0.57114	0.58789	0.59365	0.59441	0.60203	0.61171	0.61431	0.62093	0.61676	0.60502	0.60456	0.60613	0.58813	0.59802	0.57955	0.60137	0.61858	0.62378	0.6417	0.64496	0.64142	0.64214	0.63889
Lakers	0.49295	0.48283	0.47919	0.47825	0.47545	0.47556	0.45851	0.45114	0.44417	0.44523	0.44341	0.44887	0.44984	0.46695	0.46768	0.47161	0.4798	0.47592	0.47184	0.46437	0.45816	0.45318	0.4418	0.43643	0.43633	0.43309	0.42004	0.42545	0.4264	0.42403	0.41827	0.40484	0.38505	0.36776	0.36003	0.35364	0.33788	0.32808	0.3151	0.29939	0.31002	0.32272	0.31154	0.28615	0.285	0.30485	0.28521	0.25419	0.24528
Grizzlies	0.49748	0.4994	0.49584	0.49839	0.50381	0.51232	0.51531	0.52232	0.52486	0.52699	0.53675	0.54346	0.54411	0.54579	0.55862	0.56059	0.56341	0.56349	0.55515	0.56004	0.56192	0.57117	0.56987	0.57333	0.58095	0.58601	0.59755	0.60267	0.61287	0.62552	0.63398	0.62796	0.62496	0.64685	0.62914	0.64682	0.64841	0.65086	0.6522	0.64286	0.64077	0.6544	0.65614	0.66238	0.65911	0.67136	0.69364	0.68559	0.70755
Heat	0.50185	0.51004	0.50037	0.50107	0.506	0.49679	0.50679	0.50799	0.50075	0.49615	0.49572	0.50037	0.4965	0.50245	0.50921	0.50475	0.51075	0.51958	0.52366	0.52168	0.52573	0.53282	0.53455	0.52852	0.52789	0.52982	0.51574	0.51051	0.51918	0.51813	0.52568	0.52754	0.52126	0.49971	0.47301	0.45751	0.45119	0.43957	0.43959	0.44415	0.45184	0.44424	0.44705	0.45264	0.45918	0.46485	0.45793	0.43486	0.43137
Bucks	0.50063	0.50326	0.49707	0.49076	0.4917	0.49159	0.47593	0.48448	0.47588	0.49114	0.49591	0.48674	0.48413	0.48847	0.50216	0.52762	0.52922	0.53597	0.54186	0.54332	0.54584	0.53174	0.53544	0.54524	0.55359	0.56428	0.55978	0.55884	0.54823	0.54542	0.54909	0.55671	0.57412	0.55999	0.56874	0.57382	0.58925	0.60444	0.59225	0.59964	0.59789	0.59742	0.5938	0.57374	0.55655	0.5621	0.53144	0.52595	0.54717
Timberwolves	0.49594	0.489	0.48618	0.47759	0.4794	0.47773	0.46355	0.45743	0.45864	0.45482	0.45429	0.44999	0.44054	0.4278	0.42655	0.41931	0.41541	0.39922	0.38838	0.38006	0.37202	0.36292	0.35046	0.34768	0.34725	0.34604	0.34064	0.32888	0.32659	0.33698	0.31887	0.31634	0.31686	0.28702	0.28122	0.28738	0.27322	0.27268	0.2597	0.24388	0.24494	0.24242	0.23367	0.24958	0.25058	0.258	0.23478	0.24404	0.22642
Pelicans	0.49454	0.49158	0.49031	0.4896	0.4864	0.48845	0.49817	0.49012	0.49415	0.49617	0.49715	0.49429	0.48815	0.48601	0.47513	0.479	0.47876	0.48634	0.48619	0.49444	0.50567	0.51376	0.51949	0.51717	0.53015	0.53554	0.53665	0.53944	0.54205	0.53967	0.53463	0.52773	0.52796	0.52348	0.52187	0.52653	0.523	0.52361	0.52418	0.53354	0.55043	0.53668	0.52674	0.52573	0.52204	0.50877	0.53116	0.50918	0.5283
Knicks	0.49641	0.48715	0.48102	0.47614	0.47718	0.47434	0.46972	0.46332	0.46068	0.46056	0.45196	0.4402	0.44458	0.4436	0.43774	0.42112	0.41815	0.41045	0.40399	0.40141	0.39218	0.38302	0.37913	0.38125	0.37483	0.37409	0.3728	0.36404	0.33662	0.32848	0.32558	0.32101	0.31465	0.30546	0.31202	0.31205	0.30928	0.31292	0.30747	0.30769	0.30707	0.29843	0.2728	0.25048	0.23738	0.23506	0.2153	0.23758	0.22115
Thunder	0.50234	0.5056	0.51094	0.50833	0.51464	0.51581	0.51944	0.5149	0.52346	0.53429	0.5379	0.54434	0.53703	0.5423	0.5474	0.53866	0.54079	0.53281	0.53959	0.5459	0.54159	0.54558	0.54002	0.53202	0.5239	0.52423	0.51825	0.5351	0.55276	0.55758	0.56067	0.55977	0.57222	0.5816	0.57522	0.56631	0.57744	0.5612	0.53668	0.54343	0.53161	0.52505	0.54212	0.56238	0.55633	0.54175	0.54928	0.54605	0.5283
Magic	0.5003	0.49621	0.48724	0.48255	0.47933	0.47115	0.46852	0.46738	0.46479	0.47313	0.46338	0.45438	0.44875	0.43909	0.44679	0.44249	0.43855	0.44011	0.44564	0.42977	0.41597	0.40901	0.41592	0.41079	0.40985	0.39909	0.41328	0.41139	0.40176	0.39387	0.39976	0.38301	0.38529	0.36792	0.37472	0.36093	0.34964	0.35416	0.35101	0.36046	0.34937	0.32468	0.32018	0.3219	0.30686	0.29497	0.29847	0.2664	0.28571
76ers	0.49579	0.49048	0.47738	0.48725	0.48051	0.47748	0.46175	0.45028	0.44632	0.43626	0.41519	0.40911	0.39735	0.38336	0.3762	0.38015	0.37129	0.36372	0.37013	0.35408	0.34302	0.33818	0.33384	0.32114	0.3164	0.29565	0.28013	0.2714	0.26472	0.26892	0.26749	0.27125	0.27422	0.26929	0.27022	0.27705	0.26862	0.25784	0.25957	0.25492	0.25248	0.26361	0.25132	0.23938	0.22987	0.22357	0.23343	0.24307	0.22642
Suns	0.50173	0.49609	0.49791	0.49884	0.49387	0.48473	0.48745	0.47222	0.47362	0.47386	0.46884	0.47604	0.4782	0.47693	0.46875	0.47415	0.47121	0.48171	0.48053	0.49588	0.50833	0.50582	0.50176	0.50292	0.50196	0.51354	0.51527	0.51271	0.52972	0.52838	0.51991	0.53202	0.53261	0.52214	0.52388	0.50982	0.51601	0.52819	0.54672	0.55258	0.54686	0.54771	0.54283	0.5478	0.55691	0.56634	0.59005	0.61414	0.58491
Trail Blazers	0.50597	0.50963	0.51288	0.51226	0.51042	0.51231	0.50684	0.50736	0.50899	0.49891	0.49435	0.49241	0.49757	0.49991	0.49618	0.49735	0.48674	0.48661	0.49884	0.50274	0.50127	0.51123	0.51158	0.51377	0.51817	0.5202	0.51245	0.51898	0.52481	0.51758	0.52109	0.50814	0.51304	0.52769	0.53447	0.54699	0.54007	0.55397	0.55131	0.57455	0.58539	0.60163	0.6072	0.6154	0.64679	0.67641	0.68548	0.65526	0.65385
Kings	0.50255	0.5026	0.49792	0.50645	0.50326	0.51691	0.52521	0.5253	0.52679	0.52059	0.50499	0.49907	0.50855	0.50103	0.49991	0.4807	0.47593	0.46588	0.46809	0.46456	0.4555	0.46567	0.46461	0.46629	0.46551	0.45519	0.45909	0.46158	0.45731	0.44783	0.44834	0.44144	0.41818	0.40921	0.41349	0.40713	0.38018	0.38543	0.39397	0.38855	0.38981	0.38358	0.38299	0.39247	0.3966	0.37638	0.37943	0.34526	0.33654
Spurs	0.50132	0.50692	0.509	0.51354	0.50912	0.50952	0.50721	0.51497	0.52273	0.53295	0.53617	0.55558	0.55388	0.56435	0.5634	0.55665	0.55583	0.55821	0.57697	0.58152	0.58912	0.59575	0.58282	0.59552	0.58055	0.57545	0.58437	0.59344	0.58875	0.58243	0.56542	0.57606	0.58082	0.57484	0.58245	0.58189	0.59516	0.59458	0.6092	0.6121	0.61777	0.62611	0.63115	0.63321	0.64128	0.65376	0.64433	0.69058	0.66981
Raptors	0.49558	0.49875	0.5042	0.50387	0.50492	0.49835	0.49825	0.49874	0.50431	0.50233	0.4947	0.49752	0.50397	0.50489	0.52241	0.53614	0.5423	0.54469	0.53618	0.52985	0.53234	0.54979	0.54747	0.55252	0.55954	0.55377	0.55648	0.55595	0.56283	0.57901	0.57212	0.59849	0.60936	0.62889	0.62883	0.63349	0.65383	0.65844	0.64669	0.64405	0.65365	0.65148	0.65718	0.65413	0.65111	0.64425	0.6385	0.67018	0.67308
Jazz	0.49181	0.49337	0.49271	0.48511	0.49299	0.49826	0.50189	0.50393	0.49339	0.47568	0.47518	0.47731	0.48016	0.48564	0.4834	0.48115	0.46878	0.45677	0.44932	0.44204	0.43462	0.41851	0.41368	0.40234	0.40241	0.40038	0.40992	0.39773	0.39455	0.39479	0.39418	0.3946	0.39451	0.40251	0.4185	0.43982	0.44357	0.42433	0.41862	0.40634	0.38745	0.37937	0.37572	0.38528	0.39577	0.39115	0.38618	0.3431	0.35849
Wizards	0.50429	0.50344	0.50945	0.51173	0.51391	0.51028	0.51332	0.51939	0.53462	0.52848	0.53593	0.53345	0.53256	0.52541	0.52458	0.52394	0.52225	0.52245	0.51856	0.51423	0.53108	0.52806	0.53679	0.54964	0.55575	0.55662	0.56965	0.57759	0.5802	0.5769	0.59431	0.59094	0.59152	0.59812	0.60713	0.59886	0.59921	0.59855	0.5988	0.5855	0.59076	0.58128	0.60136	0.59199	0.56716	0.57329	0.59176	0.60289	0.60185
