NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,Change in % turnout from 2019,2021 cvap_turnout,2019 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2013 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Northampton County, Virginia",12132,9460,43.16%,-4.48%,55.89%,47.64%,48.15%,42.45%,43.68%,33.27%,10.58%,0.00%,51.3,55.37%,31.20%,9.45%,1.10%,0.00%,0.03%,13.12%,30.99%,26.56%,29.34%
"Lancaster County, Virginia",10866,9195,51.84%,-4.19%,64.07%,56.03%,53.12%,50.30%,50.39%,46.87%,-4.60%,0.00%,59.2,66.49%,27.19%,2.31%,0.50%,0.00%,0.00%,13.64%,28.86%,25.20%,32.30%
"Middlesex County, Virginia",10738,8920,48.26%,-3.72%,63.13%,51.98%,48.26%,38.49%,44.22%,42.11%,-25.13%,0.00%,54.9,77.70%,14.40%,3.13%,0.78%,0.18%,0.00%,10.61%,28.60%,31.21%,29.59%
"Buckingham County, Virginia",16869,13696,30.04%,-3.50%,45.06%,33.54%,33.76%,20.04%,30.84%,35.90%,-13.20%,0.00%,43.3,60.83%,32.02%,2.53%,0.02%,0.00%,0.20%,15.87%,45.33%,26.65%,12.16%
"Greene County, Virginia",20631,15453,39.72%,-3.46%,57.42%,43.18%,45.17%,38.87%,38.42%,37.31%,-23.90%,0.00%,41.7,80.14%,6.43%,6.61%,2.33%,0.07%,0.09%,10.68%,32.35%,29.08%,27.89%
"Giles County, Virginia",16711,13301,45.61%,-2.71%,55.65%,48.33%,44.13%,44.52%,38.16%,42.95%,-51.44%,0.00%,45.4,94.26%,2.26%,1.91%,0.35%,0.23%,0.02%,9.59%,40.78%,30.37%,19.25%
"King George County, Virginia",26985,19978,41.11%,-2.41%,53.63%,43.52%,38.29%,28.03%,35.95%,25.35%,-21.39%,0.00%,38.3,70.04%,15.75%,6.35%,1.36%,0.00%,0.09%,9.68%,27.63%,27.83%,34.86%
"Northumberland County, Virginia",12007,10185,53.02%,-1.95%,64.13%,54.97%,52.17%,45.32%,51.68%,41.56%,-15.78%,0.00%,59,68.15%,20.90%,4.07%,0.87%,0.00%,0.00%,10.80%,27.93%,27.53%,33.73%
"Charlotte County, Virginia",11563,8967,43.98%,-1.80%,53.34%,45.78%,42.60%,20.77%,40.02%,27.65%,-24.20%,0.00%,45.4,68.29%,26.01%,2.59%,0.36%,0.00%,0.00%,15.51%,38.04%,29.81%,16.63%
"Brunswick County, Virginia",15965,13187,40.20%,-1.58%,46.31%,41.78%,36.15%,33.10%,34.34%,34.28%,15.04%,0.00%,44.6,40.98%,54.07%,2.60%,0.09%,0.00%,0.18%,23.48%,34.49%,25.98%,16.05%
"Charles City County, Virginia",6760,5689,50.45%,-1.49%,59.71%,51.94%,46.66%,49.81%,43.77%,40.98%,19.43%,0.00%,52,43.76%,43.67%,2.16%,0.19%,0.00%,5.58%,15.09%,40.05%,28.67%,16.19%
"Richmond County, Virginia",8968,7177,32.90%,-1.11%,44.36%,34.01%,34.75%,28.21%,33.08%,32.34%,-25.21%,0.00%,46.1,60.46%,27.19%,7.49%,0.00%,0.00%,0.39%,24.94%,35.25%,21.99%,17.82%
"Rappahannock County, Virginia",7422,6029,56.01%,-1.01%,70.01%,57.02%,56.58%,51.81%,50.51%,44.45%,-14.38%,0.00%,50,86.82%,4.41%,4.28%,0.22%,0.00%,0.24%,9.43%,29.78%,26.98%,33.82%
"Lunenburg County, Virginia",11988,9255,41.50%,-0.94%,49.85%,42.44%,37.36%,21.51%,34.64%,33.42%,-18.65%,0.00%,44,58.42%,32.72%,6.09%,0.33%,0.00%,0.02%,21.25%,36.45%,31.20%,11.10%
"Highland County, Virginia",2247,1955,66.09%,-0.46%,67.06%,66.55%,54.09%,67.15%,46.84%,70.30%,-44.03%,0.00%,58,94.35%,0.00%,0.00%,3.07%,0.00%,0.00%,9.97%,37.53%,21.85%,30.65%
"Caroline County, Virginia",31181,23523,38.09%,0.02%,51.34%,38.07%,37.00%,30.11%,34.57%,28.82%,-4.17%,0.00%,39.2,62.55%,24.16%,5.90%,0.92%,0.00%,0.41%,10.65%,40.01%,27.04%,22.31%
"Nelson County, Virginia",14773,11969,54.35%,0.37%,64.40%,53.98%,52.69%,41.53%,46.21%,45.28%,-5.21%,0.00%,50.7,80.63%,12.39%,4.58%,0.20%,0.00%,0.07%,13.40%,35.13%,21.03%,30.43%
"Clarke County, Virginia",14882,11843,48.33%,0.52%,62.80%,47.81%,50.46%,33.66%,44.58%,26.89%,-13.62%,0.00%,48.4,84.29%,4.56%,6.62%,1.24%,0.00%,0.30%,6.29%,29.48%,29.74%,34.49%
"King William County, Virginia",17845,13678,45.72%,0.72%,62.83%,44.99%,47.91%,34.94%,42.46%,35.31%,-37.82%,0.00%,40.8,77.25%,14.88%,2.92%,0.76%,0.06%,0.94%,6.51%,35.12%,33.57%,24.81%
"King and Queen County, Virginia",6681,5444,46.60%,1.16%,59.97%,45.44%,44.38%,32.25%,39.62%,33.47%,-20.90%,0.00%,47.4,65.98%,24.11%,3.64%,0.00%,0.00%,0.40%,13.57%,33.08%,30.79%,22.56%
"Patrick County, Virginia",17660,14496,34.38%,1.26%,50.09%,33.13%,39.00%,29.15%,35.80%,38.85%,-58.01%,0.00%,50.9,89.52%,5.62%,3.27%,0.46%,0.00%,0.07%,16.35%,36.01%,31.35%,16.28%
"Essex County, Virginia",10602,8734,41.55%,1.93%,54.11%,39.62%,43.32%,23.24%,36.47%,27.17%,-0.60%,0.00%,46.9,53.99%,37.67%,4.42%,0.57%,0.00%,0.33%,17.39%,36.33%,30.96%,15.32%
"Floyd County, Virginia",15532,12516,41.79%,4.17%,60.19%,37.62%,44.86%,38.70%,37.63%,36.80%,-34.24%,0.00%,48.4,92.72%,3.02%,2.94%,0.38%,0.00%,0.10%,9.16%,38.01%,29.63%,23.20%
"Surry County, Virginia",6546,5382,63.75%,4.48%,66.05%,59.27%,55.14%,56.74%,49.92%,49.86%,8.32%,0.00%,50.5,53.90%,41.67%,2.83%,0.12%,0.00%,0.05%,12.38%,32.58%,31.54%,23.51%
"Bath County, Virginia",4177,3505,48.62%,5.36%,55.55%,43.25%,44.46%,46.53%,36.62%,54.08%,-47.50%,0.00%,51.8,93.20%,4.84%,0.74%,0.34%,0.00%,0.10%,13.96%,36.65%,31.05%,18.34%
"New Kent County, Virginia",23296,18417,53.26%,5.63%,65.62%,47.64%,53.19%,38.81%,45.57%,28.28%,-34.64%,0.00%,43.2,77.08%,13.11%,4.00%,1.13%,0.00%,0.68%,5.86%,29.34%,31.20%,33.61%
"Bland County, Virginia",6241,5288,44.88%,8.72%,50.19%,36.16%,38.31%,41.10%,34.67%,39.29%,-68.15%,0.00%,46.4,93.43%,3.94%,0.79%,0.14%,0.00%,0.10%,8.05%,45.47%,30.07%,16.42%
"Mathews County, Virginia",8537,7239,61.64%,10.48%,67.84%,51.15%,53.17%,36.52%,47.35%,48.19%,-35.63%,0.00%,53.7,84.43%,8.98%,3.06%,0.00%,0.36%,0.00%,5.75%,31.40%,33.05%,29.81%
"Grayson County, Virginia",15356,12744,36.91%,-3.80%,49.03%,40.71%,35.67%,33.53%,39.13%,41.25%,-61.42%,0.11%,49,88.35%,5.14%,3.91%,1.20%,0.00%,0.00%,16.96%,39.54%,29.40%,14.10%
"Russell County, Virginia",25763,20990,39.16%,1.74%,46.25%,37.41%,30.36%,37.95%,27.73%,36.10%,-63.54%,0.61%,46.6,96.15%,1.91%,0.69%,0.04%,0.30%,0.19%,17.06%,40.78%,29.60%,12.55%
"Scott County, Virginia",21536,17605,32.32%,-9.28%,46.27%,41.60%,34.22%,38.25%,29.79%,37.29%,-67.82%,1.69%,47.7,96.05%,1.17%,1.50%,0.11%,0.15%,0.10%,17.01%,36.80%,32.31%,13.88%
"Southampton County, Virginia",18003,14518,49.02%,-3.40%,54.08%,52.42%,42.64%,18.78%,35.58%,35.22%,-18.00%,1.76%,47,60.96%,29.98%,2.19%,0.33%,0.00%,0.30%,13.22%,32.98%,34.84%,18.96%
"Powhatan County, Virginia",30503,24718,48.21%,-3.44%,66.40%,51.65%,50.82%,44.47%,45.14%,32.81%,-44.27%,1.91%,45.6,85.21%,8.72%,2.47%,0.15%,0.00%,0.10%,8.46%,27.59%,31.19%,32.76%
"Carroll County, Virginia",29126,23521,34.09%,-4.85%,50.38%,38.94%,35.19%,31.48%,33.96%,32.47%,-62.72%,2.37%,48.7,93.47%,0.26%,4.21%,0.13%,0.03%,0.05%,16.98%,38.10%,29.02%,15.90%
"Cumberland County, Virginia",9697,7775,42.41%,0.64%,54.43%,41.76%,40.23%,24.87%,37.46%,34.34%,-14.92%,6.70%,46.3,63.74%,30.02%,1.18%,0.81%,0.10%,0.04%,13.90%,34.68%,32.89%,18.53%
"Goochland County, Virginia",24906,20490,62.88%,4.92%,71.05%,57.96%,59.35%,31.59%,52.02%,40.93%,-19.36%,7.27%,49,77.45%,14.44%,3.25%,1.72%,0.00%,0.04%,5.79%,23.21%,26.56%,44.44%
"Accomack County, Virginia",33367,24891,44.21%,-1.33%,52.13%,45.54%,43.93%,31.46%,37.71%,35.70%,-9.40%,9.65%,47.3,59.38%,28.31%,9.24%,0.80%,0.00%,0.17%,18.43%,33.05%,27.17%,21.35%
"Rockbridge County, Virginia",22673,18495,38.93%,0.97%,54.31%,37.96%,43.50%,31.68%,37.09%,33.40%,-32.34%,9.92%,49.4,90.63%,3.58%,2.14%,0.70%,0.00%,0.07%,9.39%,34.26%,26.19%,30.16%
"Franklin County, Virginia",54838,43967,32.11%,-9.97%,54.38%,42.07%,39.45%,36.19%,36.89%,41.84%,-42.13%,9.93%,48.4,86.68%,7.69%,2.99%,0.64%,0.01%,0.04%,10.32%,34.52%,31.31%,23.85%
"Pittsylvania County, Virginia",60541,49024,34.17%,-1.80%,53.17%,35.97%,39.43%,29.43%,37.46%,34.83%,-39.84%,10.94%,48,73.64%,19.52%,2.91%,0.48%,0.00%,0.05%,15.79%,38.06%,31.17%,14.99%
"Greensville County, Virginia",11373,9273,34.95%,-1.95%,39.33%,36.90%,30.63%,32.91%,30.75%,34.02%,15.59%,12.22%,40.8,35.80%,52.71%,5.08%,0.33%,0.00%,0.04%,20.30%,39.25%,27.02%,13.43%
"Augusta County, Virginia",77433,61815,36.51%,-6.11%,54.46%,42.62%,40.12%,32.64%,34.83%,20.67%,-47.01%,15.74%,44.8,89.09%,4.35%,3.43%,0.45%,0.09%,0.15%,10.13%,40.25%,26.36%,23.26%
"Mecklenburg County, Virginia",30367,24216,32.92%,0.73%,49.88%,32.19%,34.44%,26.87%,30.81%,32.92%,-15.20%,16.74%,48.6,60.40%,33.23%,3.10%,1.02%,0.01%,0.41%,13.52%,34.27%,30.74%,21.47%
"Page County, Virginia",23753,18813,47.92%,7.36%,51.27%,40.56%,36.12%,38.17%,32.98%,29.36%,-50.65%,20.00%,45.3,92.62%,1.78%,2.37%,0.33%,0.00%,0.12%,17.58%,45.53%,22.19%,14.70%
"Westmoreland County, Virginia",18480,14736,42.72%,4.11%,51.90%,38.61%,39.12%,23.15%,32.72%,30.11%,-8.23%,21.51%,47.9,62.49%,24.13%,6.81%,1.10%,0.00%,0.15%,18.15%,40.06%,24.16%,17.64%
"Halifax County, Virginia",34013,27006,35.33%,-4.45%,50.33%,39.77%,38.18%,33.24%,37.35%,37.09%,-15.08%,21.79%,46.6,59.77%,34.73%,2.37%,0.21%,0.00%,0.09%,17.84%,36.07%,29.00%,17.09%
"Smyth County, Virginia",29799,23736,34.31%,-3.92%,43.36%,38.23%,32.13%,30.18%,30.91%,31.26%,-56.27%,24.43%,46.2,93.70%,1.74%,2.26%,0.36%,0.08%,0.15%,15.30%,38.50%,28.75%,17.45%
"Wythe County, Virginia",28275,22618,34.44%,-4.16%,51.36%,38.60%,36.97%,35.95%,33.77%,31.15%,-56.99%,25.29%,45.6,93.27%,2.15%,1.42%,0.76%,0.07%,0.07%,9.86%,35.74%,34.29%,20.10%
"Gloucester County, Virginia",38875,30954,44.77%,6.95%,56.23%,37.82%,43.34%,23.31%,38.45%,30.08%,-35.50%,27.43%,44.3,83.20%,8.16%,4.10%,0.61%,0.00%,0.02%,10.06%,30.39%,34.06%,25.50%
"Dinwiddie County, Virginia",28057,21990,47.36%,7.11%,52.81%,40.25%,38.49%,31.26%,34.68%,35.25%,-16.37%,28.34%,43.4,62.75%,30.78%,3.94%,0.77%,0.06%,0.02%,10.46%,39.49%,32.20%,17.85%
"Bedford County, Virginia",79761,63255,40.66%,-0.54%,61.81%,41.20%,45.94%,23.88%,41.51%,31.43%,-48.13%,29.27%,46.8,85.91%,6.17%,2.61%,1.21%,0.00%,0.06%,7.59%,29.37%,30.48%,32.56%
"Shenandoah County, Virginia",44337,33937,40.61%,1.59%,54.26%,39.02%,42.42%,31.03%,36.00%,26.04%,-40.65%,30.38%,43.6,85.57%,2.54%,8.01%,1.20%,0.02%,0.02%,11.43%,40.41%,27.47%,20.69%
"Washington County, Virginia",53985,44348,36.76%,-5.41%,49.73%,42.17%,37.58%,32.92%,33.36%,27.95%,-52.51%,30.83%,46.8,94.77%,1.69%,1.63%,0.51%,0.00%,0.09%,10.75%,35.80%,28.88%,24.57%
"Prince Edward County, Virginia",21922,18180,31.05%,-1.13%,39.35%,32.18%,30.91%,22.79%,29.41%,27.82%,5.63%,33.26%,32,60.53%,29.75%,3.61%,1.40%,0.84%,0.37%,11.58%,35.31%,26.21%,26.90%
"Wise County, Virginia",36105,28984,19.56%,-9.57%,39.99%,29.13%,27.64%,24.40%,26.99%,22.45%,-61.73%,34.61%,42,90.75%,4.60%,1.33%,1.08%,0.00%,0.13%,19.64%,34.52%,29.57%,16.27%
"Henry County, Virginia",50760,40401,34.34%,-0.74%,45.85%,35.07%,34.63%,31.21%,33.70%,34.75%,-29.11%,34.94%,48.3,68.74%,22.84%,6.05%,0.49%,0.00%,0.05%,18.72%,36.04%,30.84%,14.40%
"Fluvanna County, Virginia",27442,21845,37.28%,-6.50%,57.14%,43.78%,45.49%,26.46%,39.21%,29.94%,-4.68%,36.06%,43.1,76.08%,12.97%,4.18%,0.83%,0.08%,0.12%,6.71%,25.02%,32.47%,35.79%
"Amherst County, Virginia",31426,25035,42.54%,0.38%,54.85%,42.17%,38.92%,31.67%,36.06%,28.76%,-31.57%,37.63%,43.9,74.09%,18.20%,2.67%,0.72%,0.07%,0.76%,12.28%,37.90%,27.96%,21.86%
"Warren County, Virginia",40800,30772,41.91%,0.37%,51.18%,41.54%,34.91%,23.15%,32.85%,18.68%,-35.31%,39.76%,40.9,83.18%,5.16%,6.33%,1.34%,0.00%,0.05%,11.16%,34.38%,32.04%,22.43%
"Botetourt County, Virginia",33734,27288,42.04%,4.02%,62.84%,38.01%,47.71%,23.69%,43.62%,33.08%,-44.50%,40.56%,47.5,91.49%,2.54%,1.97%,0.50%,0.25%,0.12%,6.41%,35.13%,30.81%,27.65%
"Rockingham County, Virginia",83905,63417,38.38%,-0.61%,56.15%,38.99%,43.42%,20.08%,37.86%,30.19%,-40.41%,40.72%,40.5,86.58%,2.24%,7.82%,0.89%,0.06%,0.03%,12.82%,36.36%,21.99%,28.83%
"Isle of Wight County, Virginia",38898,30221,52.56%,9.33%,62.01%,43.22%,50.24%,33.86%,43.44%,41.62%,-18.37%,41.55%,44.2,69.48%,21.75%,4.03%,1.01%,0.03%,0.18%,8.81%,28.79%,32.62%,29.78%
"Fauquier County, Virginia",73290,53834,50.54%,4.03%,63.21%,46.51%,48.26%,31.82%,42.12%,23.33%,-17.27%,42.54%,40.8,77.57%,6.57%,9.86%,1.77%,0.03%,0.13%,7.76%,24.34%,28.47%,39.43%
"Culpeper County, Virginia",52822,37707,49.91%,3.76%,53.73%,46.15%,38.57%,29.18%,34.11%,28.86%,-19.90%,42.93%,39.5,67.98%,12.98%,12.39%,0.72%,0.11%,0.29%,10.62%,34.01%,28.53%,26.85%
"Campbell County, Virginia",55518,43616,40.39%,0.67%,53.36%,39.72%,41.19%,17.41%,37.12%,29.63%,-44.08%,43.14%,43.1,78.03%,14.03%,3.06%,0.97%,0.04%,0.19%,9.52%,34.28%,31.55%,24.65%
"Orange County, Virginia",36593,28212,46.88%,4.45%,57.43%,42.43%,40.90%,27.45%,37.47%,32.90%,-21.36%,43.32%,42.8,76.69%,12.18%,6.03%,1.46%,0.00%,0.01%,10.22%,35.37%,27.11%,27.30%
"Alleghany County, Virginia",15159,12218,44.06%,6.64%,49.81%,37.42%,35.71%,28.77%,33.73%,46.45%,-44.08%,46.86%,48,91.09%,5.17%,1.62%,0.06%,0.00%,0.00%,11.82%,43.41%,29.53%,15.24%
"Tazewell County, Virginia",40392,32306,27.99%,-4.47%,43.13%,32.46%,29.66%,27.34%,30.25%,31.26%,-67.18%,47.71%,44.6,93.21%,3.52%,1.16%,0.69%,0.04%,0.05%,13.65%,38.89%,31.52%,15.94%
"Prince George County, Virginia",42634,33575,32.95%,1.49%,39.61%,31.47%,35.79%,25.08%,32.39%,26.85%,-17.21%,50.94%,34.2,52.61%,30.20%,9.66%,1.68%,0.43%,0.25%,10.62%,30.80%,34.49%,24.09%
"Pulaski County, Virginia",33841,27704,32.87%,-0.04%,47.01%,32.90%,42.61%,23.96%,29.15%,25.07%,-41.45%,57.41%,47.2,90.07%,4.99%,1.94%,0.49%,0.22%,0.01%,9.67%,34.31%,34.87%,21.14%
"Albemarle County, Virginia",112513,84939,49.19%,-3.34%,60.72%,52.53%,54.28%,30.82%,45.07%,33.92%,33.50%,59.63%,39.7,75.88%,8.84%,5.90%,5.58%,0.03%,0.06%,6.17%,14.66%,19.04%,60.13%
"Frederick County, Virginia",92007,66952,40.32%,-0.08%,54.42%,40.40%,39.73%,23.37%,33.75%,21.38%,-27.41%,60.59%,40.6,80.75%,4.18%,10.13%,1.89%,0.10%,0.07%,11.31%,31.22%,28.38%,29.09%
"Hanover County, Virginia",110513,84738,54.16%,2.02%,69.89%,52.14%,54.98%,29.97%,49.57%,29.67%,-26.79%,62.99%,42.4,82.14%,8.48%,3.32%,1.68%,0.08%,0.14%,5.60%,24.35%,28.21%,41.84%
"Spotsylvania County, Virginia",141097,102050,44.03%,4.05%,53.33%,39.98%,39.47%,26.15%,34.27%,22.47%,-6.78%,67.96%,38.1,64.82%,16.38%,11.32%,2.60%,0.06%,0.13%,8.97%,27.71%,30.03%,33.29%
"Suffolk city, Virginia",94856,71211,45.36%,1.98%,51.72%,43.38%,43.85%,12.49%,37.69%,11.21%,17.31%,72.94%,38.5,47.65%,41.03%,4.82%,1.81%,0.00%,0.09%,8.82%,26.38%,32.72%,32.08%
"Montgomery County, Virginia",99373,79318,34.59%,3.60%,41.43%,30.99%,36.48%,26.21%,30.43%,25.17%,5.75%,73.92%,29.7,82.65%,4.02%,3.54%,6.35%,0.13%,0.24%,5.01%,23.58%,24.88%,46.52%
"Roanoke County, Virginia",96653,75237,41.89%,3.81%,57.13%,38.08%,46.79%,35.71%,43.05%,32.29%,-21.80%,80.59%,43.6,83.98%,6.08%,3.52%,3.50%,0.04%,0.13%,6.70%,27.07%,28.70%,37.53%
"Stafford County, Virginia",157606,109117,45.75%,3.05%,52.92%,42.70%,41.27%,24.06%,34.69%,22.01%,3.28%,81.35%,36.4,55.82%,18.61%,14.92%,3.69%,0.01%,0.13%,7.10%,22.04%,27.79%,43.07%
"James City County, Virginia",78818,61293,56.02%,-1.54%,65.61%,57.56%,56.21%,34.02%,47.87%,34.01%,4.84%,85.84%,47.1,73.52%,12.52%,6.37%,2.55%,0.03%,0.02%,4.26%,19.29%,26.44%,50.02%
"Loudoun County, Virginia",420773,269114,52.40%,3.48%,60.29%,48.92%,50.96%,34.25%,38.94%,28.67%,25.03%,88.05%,37.3,53.14%,7.39%,13.83%,20.55%,0.07%,0.16%,5.64%,11.32%,19.53%,63.50%
"Norton city, Virginia",3668,3044,14.68%,-6.73%,39.75%,21.42%,27.41%,24.55%,28.36%,22.46%,-40.29%,90.10%,43.6,94.38%,2.04%,0.00%,0.05%,0.00%,0.00%,9.84%,34.84%,35.95%,19.37%
"Galax city, Virginia",6687,4678,23.71%,-1.43%,41.73%,25.14%,27.30%,21.92%,25.94%,26.92%,-40.22%,90.15%,42.6,70.66%,5.07%,20.62%,0.37%,0.36%,0.24%,19.77%,25.68%,37.09%,17.46%
"Poquoson city, Virginia",12479,9504,57.58%,8.50%,66.46%,49.07%,52.56%,22.03%,48.11%,24.35%,-45.20%,91.12%,42.4,89.57%,1.80%,3.40%,2.09%,0.00%,0.11%,3.84%,27.34%,30.38%,38.45%
"Chesterfield County, Virginia",366019,265766,45.35%,-7.42%,58.99%,52.77%,48.86%,30.54%,43.50%,21.99%,6.67%,91.97%,38.9,59.10%,23.16%,9.86%,3.48%,0.05%,0.13%,7.38%,22.25%,28.05%,42.32%
"Chesapeake city, Virginia",249377,184475,36.66%,2.23%,50.03%,34.43%,41.77%,10.84%,36.61%,9.25%,6.45%,92.27%,37.4,55.17%,28.58%,7.05%,3.63%,0.06%,0.08%,6.68%,23.46%,34.09%,35.76%
"York County, Virginia",70238,52129,52.73%,7.77%,57.41%,44.96%,47.28%,28.24%,43.34%,22.86%,-6.59%,92.94%,39.7,68.11%,13.03%,7.26%,5.53%,0.14%,0.15%,4.67%,17.14%,28.70%,49.49%
"Emporia city, Virginia",5680,4103,35.12%,-4.44%,44.94%,39.56%,41.47%,36.96%,42.69%,28.63%,36.04%,95.02%,39.9,23.54%,60.32%,4.68%,0.77%,0.00%,0.00%,23.10%,35.19%,25.24%,16.47%
"Prince William County, Virginia",481114,305753,45.17%,-0.55%,50.19%,45.72%,43.95%,25.00%,34.91%,24.31%,27.03%,95.41%,35.8,40.07%,20.18%,24.97%,9.63%,0.09%,0.14%,10.05%,19.93%,26.34%,43.67%
"Radford city, Virginia",16379,14256,18.43%,-6.04%,29.54%,24.47%,25.70%,13.18%,19.19%,15.91%,9.05%,95.81%,23.3,82.67%,8.80%,3.24%,2.28%,0.00%,0.04%,6.67%,18.34%,30.21%,44.78%
"Franklin city, Virginia",8194,6011,43.10%,-5.34%,49.63%,48.44%,40.94%,10.88%,37.10%,29.97%,25.58%,96.05%,38.8,37.94%,51.40%,3.28%,3.37%,0.00%,0.00%,15.74%,32.41%,28.66%,23.18%
"Henrico County, Virginia",333120,239317,48.65%,-2.43%,57.91%,51.08%,49.88%,29.42%,45.12%,27.16%,29.01%,96.31%,39.3,50.89%,29.35%,6.14%,9.42%,0.04%,0.09%,7.12%,21.71%,25.79%,45.39%
"Danville city, Virginia",42507,32213,13.98%,-19.08%,40.14%,33.06%,34.68%,16.22%,34.63%,26.34%,22.08%,96.77%,41,40.49%,49.92%,4.91%,1.38%,0.01%,0.07%,15.58%,38.38%,27.39%,18.65%
"Petersburg city, Virginia",33261,25274,30.07%,2.54%,35.78%,27.54%,33.21%,16.10%,33.68%,16.17%,76.53%,97.29%,36.6,14.88%,75.41%,5.31%,1.33%,0.06%,0.05%,13.57%,35.89%,28.78%,21.76%
"Waynesboro city, Virginia",22341,16793,30.02%,-0.64%,46.81%,30.66%,37.14%,14.02%,31.65%,13.16%,-5.09%,97.65%,38.7,72.79%,9.55%,9.29%,1.70%,0.00%,0.13%,11.82%,34.94%,26.03%,27.22%
"Buena Vista city, Virginia",6639,5203,26.54%,-0.56%,37.75%,27.10%,32.04%,19.83%,24.66%,21.70%,-37.39%,97.82%,35.3,86.34%,4.14%,1.48%,0.45%,0.23%,0.12%,18.74%,32.65%,27.14%,21.47%
"Staunton city, Virginia",25581,20269,35.52%,2.00%,48.38%,33.52%,39.34%,15.30%,33.73%,15.71%,9.90%,97.86%,41,79.86%,10.12%,3.80%,1.42%,0.61%,0.09%,7.41%,30.46%,28.57%,33.56%
"Virginia Beach city, Virginia",457900,343070,36.26%,-3.73%,47.47%,39.99%,38.46%,21.02%,32.53%,14.74%,5.41%,98.19%,37.1,59.95%,18.24%,8.77%,6.95%,0.09%,0.12%,5.49%,20.75%,33.98%,39.78%
"Lynchburg city, Virginia",79166,62083,27.69%,0.94%,40.34%,26.74%,34.89%,9.15%,32.71%,22.19%,2.62%,98.38%,28.4,61.15%,27.38%,4.66%,2.15%,0.19%,0.12%,9.68%,23.83%,28.51%,37.98%
