NAME,2023 votes,2019 votes,2015 votes,2011 votes,pop_total_estimate_18to22,cvap_estimate_18to22,cvap_estimate_13to17,cvap_estimate_08to12,2023 cvap_turnout,Change in % turnout from 2019,2019 cvap_turnout,2015 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Knott County, Kentucky",3392,4402,2930,2691,14282,11396,12380,12810,29.76%,-8.86%,38.63%,23.67%,21.01%,-53.87%,0.00%,44.2,96.44%,1.08%,1.07%,0.15%,0.00%,0.20%,28.26%,27.93%,27.51%,16.30%
"Bell County, Kentucky",5668,5603,4261,3501,24248,18980,21560,22280,29.86%,0.34%,29.52%,19.76%,15.71%,-63.23%,40.73%,41.5,93.35%,1.93%,1.36%,0.12%,0.00%,0.20%,21.82%,40.28%,26.23%,11.67%
"Lawrence County, Kentucky",3648,4082,2701,2406,16228,12192,12070,12170,29.92%,-3.56%,33.48%,22.38%,19.77%,-63.19%,23.98%,41.2,96.40%,0.22%,1.51%,0.41%,0.00%,0.01%,23.05%,43.58%,22.50%,10.86%
"Wayne County, Kentucky",4639,5696,3766,3661,19666,15327,15980,15935,30.27%,-6.90%,37.16%,23.57%,22.97%,-62.01%,34.17%,43.4,92.71%,0.49%,3.71%,0.04%,0.00%,1.36%,23.56%,39.60%,23.02%,13.83%
"Whitley County, Kentucky",8237,9984,6807,7098,36648,27159,27075,26920,30.33%,-6.43%,36.76%,25.14%,26.37%,-65.22%,36.34%,36.1,95.34%,0.90%,1.54%,0.25%,0.00%,0.12%,17.93%,39.38%,23.98%,18.71%
"Todd County, Kentucky",2662,2861,1479,1731,12281,8749,8875,8955,30.43%,-2.27%,32.70%,16.66%,19.33%,-53.27%,0.00%,36.6,85.05%,8.00%,4.80%,0.11%,0.00%,0.03%,21.45%,38.74%,23.35%,16.46%
"Powell County, Kentucky",3035,3908,2553,3151,13089,9933,9260,9465,30.55%,-8.79%,39.34%,27.57%,33.29%,-48.57%,0.00%,39.5,94.44%,0.27%,1.98%,0.00%,0.00%,0.18%,18.09%,43.51%,23.33%,15.06%
"Carter County, Kentucky",6300,7580,4628,4001,26671,20593,21135,21180,30.59%,-6.22%,36.81%,21.90%,18.89%,-52.93%,20.35%,41.9,95.22%,0.40%,0.99%,0.11%,0.00%,0.11%,18.83%,40.16%,26.51%,14.49%
"Simpson County, Kentucky",4623,4757,2784,2395,19574,14943,13320,13010,30.94%,-0.90%,31.83%,20.90%,18.41%,-36.73%,59.40%,39.2,84.88%,9.26%,2.75%,0.39%,0.00%,0.03%,9.78%,43.91%,31.76%,14.55%
"Morgan County, Kentucky",3455,3893,2498,2167,13840,11125,10735,10830,31.06%,-3.94%,34.99%,23.27%,20.01%,-56.39%,0.00%,42.3,92.16%,4.07%,1.10%,0.96%,0.52%,0.11%,22.51%,37.87%,21.87%,17.75%
"Boyd County, Kentucky",11778,13900,9279,7868,48242,37692,37925,38565,31.25%,-5.63%,36.88%,24.47%,20.40%,-33.16%,76.21%,42.1,92.24%,2.00%,1.96%,0.33%,0.03%,0.03%,11.30%,31.97%,35.88%,20.85%
"Logan County, Kentucky",6557,7664,3979,3726,27498,20854,20345,20015,31.44%,-5.31%,36.75%,19.56%,18.62%,-48.36%,24.21%,40.8,88.11%,5.83%,3.11%,0.44%,0.00%,0.04%,12.28%,42.94%,27.66%,17.11%
"Gallatin County, Kentucky",2125,2202,1325,1081,8720,6639,6310,6250,32.01%,-1.16%,33.17%,21.00%,17.30%,-55.42%,0.00%,38.7,87.94%,2.71%,5.86%,0.07%,0.00%,0.00%,15.43%,45.84%,25.71%,13.03%
"Allen County, Kentucky",5112,5348,3432,2927,20773,15772,15595,14990,32.41%,-1.50%,33.91%,22.01%,19.53%,-63.49%,22.52%,40.5,94.08%,0.80%,2.42%,0.05%,0.00%,0.05%,13.48%,39.91%,28.32%,18.30%
"Floyd County, Kentucky",8989,11387,8153,6765,35780,27733,29230,30445,32.41%,-8.65%,41.06%,27.89%,22.22%,-51.16%,21.79%,42.9,96.41%,0.82%,0.19%,0.37%,0.00%,0.01%,20.71%,39.26%,26.98%,13.05%
"Jackson County, Kentucky",3243,4077,2805,2201,13002,9987,10320,10325,32.47%,-8.35%,40.82%,27.18%,21.32%,-79.31%,0.00%,40.9,97.15%,0.22%,1.08%,0.08%,0.00%,0.25%,27.00%,40.79%,21.05%,11.16%
"Estill County, Kentucky",3578,3845,2888,2616,14138,10968,11280,11335,32.62%,-2.43%,35.06%,25.60%,23.08%,-57.26%,28.45%,43.7,96.05%,0.14%,0.83%,0.73%,0.00%,0.04%,23.55%,43.31%,22.03%,11.11%
"Rowan County, Kentucky",6431,6992,4641,3845,24551,19566,19315,18680,32.87%,-2.87%,35.74%,24.03%,20.58%,-21.00%,38.01%,30.6,94.06%,2.06%,2.09%,0.73%,0.00%,0.04%,13.21%,34.17%,25.54%,27.08%
"Laurel County, Kentucky",15837,18015,11906,9526,62442,48035,45740,44085,32.97%,-4.53%,37.50%,26.03%,21.61%,-66.74%,39.01%,39.8,95.31%,0.65%,1.58%,0.27%,0.00%,0.09%,16.02%,40.25%,27.13%,16.59%
"Rockcastle County, Kentucky",4273,4997,3469,2906,16171,12696,13060,13140,33.66%,-5.70%,39.36%,26.56%,22.12%,-69.93%,0.00%,42.9,96.46%,0.10%,1.09%,0.08%,0.00%,0.06%,18.08%,45.47%,24.41%,12.04%
"Hart County, Kentucky",4971,5295,3583,3235,19345,14535,13865,13680,34.20%,-2.23%,36.43%,25.84%,23.65%,-53.01%,11.68%,40.3,90.60%,4.23%,2.03%,0.53%,0.00%,0.07%,21.60%,43.76%,24.14%,10.50%
"Muhlenberg County, Kentucky",8252,8815,7486,5593,30735,24067,24540,24450,34.29%,-2.34%,36.63%,30.51%,22.88%,-48.84%,36.48%,43,92.53%,1.93%,1.66%,1.14%,0.04%,0.21%,15.81%,41.88%,28.99%,13.31%
"Grant County, Kentucky",6314,6521,3922,3312,25085,18409,17860,17620,34.30%,-1.12%,35.42%,21.96%,18.80%,-58.70%,0.00%,36.5,92.61%,0.88%,3.10%,0.14%,0.00%,0.02%,11.07%,44.65%,28.54%,15.75%
"Clinton County, Kentucky",2495,2837,1973,2164,9295,7194,7780,7700,34.68%,-4.75%,39.44%,25.36%,28.10%,-74.55%,0.00%,42.4,93.60%,0.15%,3.32%,0.12%,0.00%,0.00%,19.13%,40.32%,26.56%,14.00%
"Magoffin County, Kentucky",3130,3752,2321,2544,11647,9011,9775,10045,34.74%,-6.90%,41.64%,23.74%,25.33%,-54.34%,0.00%,41.4,97.01%,0.03%,1.31%,0.41%,0.00%,0.24%,27.53%,39.79%,21.80%,10.89%
"Grayson County, Kentucky",6969,8336,5224,4518,26465,20028,19670,19415,34.80%,-6.83%,41.62%,26.56%,23.27%,-58.85%,24.56%,40,95.11%,0.51%,1.49%,0.33%,0.00%,0.04%,16.43%,44.64%,25.67%,13.25%
"Wolfe County, Kentucky",1764,2233,1512,1357,6573,5065,5545,5525,34.83%,-9.26%,44.09%,27.27%,24.56%,-42.23%,0.00%,41,98.49%,0.15%,0.00%,0.08%,0.00%,0.00%,36.42%,32.54%,24.00%,7.05%
"Greenup County, Kentucky",9834,11366,7861,6548,35853,28078,28090,28450,35.02%,-5.46%,40.48%,27.99%,23.02%,-45.06%,57.32%,43.8,95.28%,0.84%,1.22%,0.66%,0.00%,0.06%,10.15%,36.84%,35.40%,17.62%
"Union County, Kentucky",3829,4355,3423,2709,13495,10889,11790,11400,35.16%,-4.83%,39.99%,29.03%,23.76%,-52.24%,0.00%,41.3,87.57%,8.71%,1.92%,0.36%,0.00%,0.00%,9.43%,45.61%,34.77%,10.19%
"Nicholas County, Kentucky",2039,2401,1505,1452,7613,5797,5390,5375,35.17%,-6.24%,41.42%,27.92%,27.01%,-42.79%,0.00%,38.9,95.82%,0.72%,0.00%,0.00%,0.00%,0.00%,18.40%,45.41%,29.11%,7.08%
"Hardin County, Kentucky",28847,31495,20582,18750,111005,81903,79290,75975,35.22%,-3.23%,38.45%,25.96%,24.68%,-23.97%,66.50%,37.2,75.34%,11.26%,6.00%,1.91%,0.36%,0.16%,7.69%,30.93%,37.45%,23.93%
"Barren County, Kentucky",11884,13281,9269,7939,44511,33553,32470,31790,35.42%,-4.16%,39.58%,28.55%,24.97%,-47.48%,37.90%,40.2,89.27%,3.45%,3.61%,0.82%,0.00%,0.02%,15.26%,41.99%,25.30%,17.45%
"Pendleton County, Kentucky",3955,4173,2642,2180,14638,11162,11210,11145,35.43%,-1.95%,37.39%,23.57%,19.56%,-60.55%,0.00%,41.7,93.49%,0.57%,1.44%,0.39%,0.04%,0.02%,14.46%,43.16%,25.82%,16.55%
"Casey County, Kentucky",4329,4886,3623,2894,15942,12175,12095,12020,35.56%,-4.57%,40.13%,29.95%,24.08%,-73.36%,0.00%,41.9,94.16%,0.92%,3.06%,0.10%,0.00%,0.19%,22.73%,43.54%,21.52%,12.21%
"Webster County, Kentucky",3449,3923,2866,2701,12951,9689,9830,10275,35.60%,-4.89%,40.49%,29.16%,26.29%,-51.63%,0.00%,39.7,88.19%,4.12%,5.81%,0.05%,0.22%,0.00%,14.33%,46.40%,27.82%,11.45%
"Warren County, Kentucky",34855,36109,22605,19958,135307,97310,89985,82940,35.82%,-1.29%,37.11%,25.12%,24.06%,-16.81%,72.69%,33.3,76.57%,8.61%,5.66%,4.94%,0.51%,0.09%,11.41%,27.25%,28.41%,32.93%
"Ohio County, Kentucky",6318,7205,5265,4240,23782,17615,18185,17670,35.87%,-5.04%,40.90%,28.95%,24.00%,-55.51%,23.80%,41,93.46%,0.98%,3.46%,0.15%,0.00%,0.02%,18.17%,39.79%,27.65%,14.39%
"Bath County, Kentucky",3428,3753,2153,1921,12739,9514,8990,8705,36.03%,-3.42%,39.45%,23.95%,22.07%,-42.88%,0.00%,39.5,94.85%,1.70%,1.79%,0.13%,0.00%,0.03%,18.55%,44.16%,22.92%,14.36%
"Adair County, Kentucky",5285,5746,4159,3712,18887,14660,15280,14330,36.05%,-3.14%,39.20%,27.22%,25.90%,-67.11%,26.55%,40.3,91.64%,1.63%,2.48%,0.31%,0.13%,0.02%,13.88%,39.83%,27.66%,18.63%
"Meade County, Kentucky",8344,9099,6532,5515,29964,23141,21435,20775,36.06%,-3.26%,39.32%,30.47%,26.55%,-46.43%,9.40%,39.2,88.61%,3.57%,3.99%,0.81%,0.28%,0.11%,10.38%,39.60%,32.20%,17.82%
"Crittenden County, Kentucky",2518,2961,2223,2066,8979,6946,7000,7155,36.25%,-6.38%,42.63%,31.76%,28.87%,-64.12%,0.00%,43.4,94.40%,0.71%,1.95%,0.28%,0.00%,0.59%,13.61%,45.45%,28.47%,12.47%
"Bracken County, Kentucky",2356,2588,1641,1419,8420,6423,6225,6240,36.68%,-3.61%,40.29%,26.36%,22.74%,-61.19%,0.00%,41.7,95.50%,1.37%,0.80%,0.17%,0.00%,1.59%,11.96%,43.55%,26.92%,17.57%
"Edmonson County, Kentucky",3633,3746,2187,2305,12179,9900,9695,9370,36.70%,-1.14%,37.84%,22.56%,24.60%,-58.72%,0.00%,45,95.20%,0.79%,1.57%,0.00%,0.00%,0.12%,18.41%,43.51%,26.65%,11.43%
"Hopkins County, Kentucky",12663,13687,9601,9172,45223,34485,35005,35820,36.72%,-2.97%,39.69%,27.43%,25.61%,-47.96%,46.95%,41.4,87.80%,6.02%,2.26%,0.59%,0.01%,0.10%,11.42%,40.26%,32.86%,15.47%
"Henderson County, Kentucky",12638,13429,10244,8115,44770,34411,35145,35005,36.73%,-2.30%,39.03%,29.15%,23.18%,-24.60%,63.47%,41,84.88%,7.20%,2.94%,0.30%,0.10%,0.16%,10.74%,37.45%,32.95%,18.86%
"Mason County, Kentucky",4814,5159,3438,3183,17068,13054,13025,13065,36.88%,-2.64%,39.52%,26.40%,24.36%,-39.14%,46.51%,42.1,88.05%,6.77%,2.20%,0.56%,0.09%,0.00%,14.43%,31.77%,31.20%,22.59%
"Lincoln County, Kentucky",6838,7200,5184,4281,24320,18457,18530,18485,37.05%,-1.96%,39.01%,27.98%,23.16%,-57.13%,0.11%,41.4,93.11%,1.80%,1.88%,0.27%,0.00%,0.00%,17.43%,43.54%,23.64%,15.38%
"Madison County, Kentucky",27093,30903,18060,15846,92955,72526,68370,64375,37.36%,-5.25%,42.61%,26.42%,24.62%,-26.79%,63.81%,34.4,88.80%,3.89%,2.74%,0.88%,0.23%,0.15%,9.25%,28.49%,28.92%,33.34%
"Montgomery County, Kentucky",8035,8873,6023,4910,28188,21482,20680,19770,37.40%,-3.90%,41.30%,29.12%,24.84%,-41.76%,49.51%,40.5,92.57%,2.69%,2.97%,0.42%,0.00%,0.15%,14.77%,41.50%,25.56%,18.17%
"Calloway County, Kentucky",11265,11406,8663,6830,37345,30090,30270,29590,37.44%,-0.47%,37.91%,28.62%,23.08%,-31.82%,51.10%,35.6,88.71%,3.36%,2.81%,1.60%,0.30%,0.16%,9.72%,31.87%,26.88%,31.53%
"Marion County, Kentucky",5545,6149,3868,4073,19627,14692,14385,14735,37.74%,-4.11%,41.85%,26.89%,27.64%,-37.98%,31.71%,39.8,87.41%,6.88%,2.84%,0.63%,0.10%,0.09%,15.64%,43.58%,27.94%,12.84%
"Trigg County, Kentucky",4123,4611,3188,3080,14154,10904,11145,11020,37.81%,-4.48%,42.29%,28.60%,27.95%,-50.11%,0.00%,45.8,87.13%,6.33%,2.49%,0.30%,0.00%,0.00%,12.15%,32.28%,35.09%,20.48%
"Trimble County, Kentucky",2513,2714,1906,1693,8510,6597,6675,6645,38.09%,-3.05%,41.14%,28.55%,25.48%,-51.27%,0.00%,42,92.13%,0.29%,3.42%,0.65%,0.19%,0.13%,14.45%,43.21%,28.66%,13.67%
"Pulaski County, Kentucky",19097,21304,14897,12300,65145,49974,48955,48330,38.21%,-4.42%,42.63%,30.43%,25.45%,-62.67%,47.41%,41.8,93.29%,0.91%,2.69%,0.84%,0.00%,0.13%,16.22%,35.03%,30.96%,17.79%
"Lyon County, Kentucky",2840,3090,2330,2281,8721,7386,7000,7100,38.45%,-3.38%,41.84%,33.29%,32.13%,-47.49%,0.00%,47.9,87.86%,6.46%,2.51%,0.71%,0.10%,0.53%,9.48%,46.61%,29.38%,14.52%
"Graves County, Kentucky",10648,12923,8890,7934,36701,27537,27370,27140,38.67%,-8.26%,46.93%,32.48%,29.23%,-56.68%,33.44%,39.9,85.01%,4.04%,7.39%,0.37%,0.00%,0.01%,9.88%,41.45%,30.03%,18.64%
"Metcalfe County, Kentucky",3030,4029,2353,2186,10313,7830,7600,7670,38.70%,-12.76%,51.46%,30.96%,28.50%,-59.54%,0.00%,42.6,94.71%,1.90%,1.98%,0.07%,0.00%,0.28%,16.70%,42.27%,26.92%,14.11%
"Russell County, Kentucky",5341,6046,4632,4382,18021,13732,13535,13375,38.89%,-5.13%,44.03%,34.22%,32.76%,-69.10%,0.00%,42.4,92.88%,1.08%,3.85%,0.00%,0.00%,0.00%,17.32%,38.57%,27.67%,16.44%
"Fleming County, Kentucky",4427,4806,3382,3138,15111,11352,10950,10810,39.00%,-3.34%,42.34%,30.89%,29.03%,-57.44%,0.00%,40.8,94.51%,0.87%,1.70%,0.52%,0.00%,0.15%,18.57%,42.44%,23.21%,15.78%
"Menifee County, Kentucky",1879,2136,2335,1241,6174,4811,4995,4865,39.06%,-5.34%,44.40%,46.75%,25.51%,-50.32%,0.00%,43.4,96.00%,0.19%,2.41%,0.00%,0.00%,0.00%,20.29%,42.91%,26.03%,10.77%
"Harrison County, Kentucky",5653,6050,4173,3996,18803,14458,14055,14170,39.10%,-2.75%,41.85%,29.69%,28.20%,-44.41%,34.20%,42.6,93.39%,2.07%,2.55%,0.00%,0.02%,0.00%,13.45%,42.94%,25.55%,18.05%
"Caldwell County, Kentucky",3798,4453,3134,3503,12635,9692,9895,10075,39.19%,-6.76%,45.95%,31.67%,34.77%,-53.98%,47.89%,42.4,89.53%,5.99%,2.19%,0.00%,0.00%,0.00%,12.30%,42.59%,28.98%,16.13%
"Bullitt County, Kentucky",24958,25801,17130,13948,82482,63658,60465,55625,39.21%,-1.32%,40.53%,28.33%,25.08%,-47.99%,70.55%,41.1,92.29%,1.18%,2.59%,0.64%,0.00%,0.04%,10.63%,40.77%,31.05%,17.55%
"Breckinridge County, Kentucky",6215,6977,4701,4108,20528,15843,15310,15095,39.23%,-4.81%,44.04%,30.71%,27.21%,-52.46%,0.00%,42.3,93.01%,1.67%,1.95%,0.00%,0.02%,0.00%,14.90%,42.09%,28.68%,14.34%
"Kenton County, Kentucky",49371,51791,31724,26423,169066,125838,121790,117565,39.23%,-1.92%,41.16%,26.05%,22.48%,-19.29%,93.28%,37.7,87.26%,4.37%,3.60%,1.26%,0.00%,0.07%,8.05%,27.23%,28.25%,36.46%
"Butler County, Kentucky",3648,3803,2681,2206,12365,9250,9715,9610,39.44%,-1.68%,41.11%,27.60%,22.96%,-63.36%,0.00%,41.4,93.72%,0.40%,3.78%,0.67%,0.00%,0.07%,19.27%,45.97%,23.43%,11.33%
"Taylor County, Kentucky",7839,8450,6330,5856,26056,19854,19370,18710,39.48%,-3.08%,42.56%,32.68%,31.30%,-51.23%,49.14%,37.3,89.37%,4.36%,2.56%,0.92%,0.00%,0.08%,11.62%,34.88%,30.51%,22.99%
"Boyle County, Kentucky",9529,10482,7264,6369,30613,24115,23300,21890,39.51%,-3.95%,43.47%,31.18%,29.10%,-24.69%,64.64%,40,84.47%,7.94%,3.38%,0.74%,0.01%,0.02%,9.63%,35.18%,28.43%,26.76%
"Larue County, Kentucky",4553,4771,3355,2987,14902,11509,10690,10735,39.56%,-1.89%,41.45%,31.38%,27.82%,-57.27%,0.00%,41.3,90.79%,2.91%,3.34%,0.16%,0.00%,0.03%,15.59%,34.98%,34.20%,15.23%
"Hickman County, Kentucky",1423,1563,1262,1191,4491,3591,3695,3835,39.63%,-3.90%,43.53%,34.15%,31.06%,-57.12%,0.00%,46.6,86.13%,9.40%,2.23%,0.04%,0.00%,0.13%,11.63%,38.72%,27.43%,22.22%
"McCracken County, Kentucky",20966,23394,15481,14148,67573,52411,50385,50160,40.00%,-4.63%,44.64%,30.73%,28.21%,-31.67%,73.18%,42.5,82.25%,10.47%,2.79%,0.97%,0.01%,0.17%,7.28%,31.59%,32.94%,28.20%
"Daviess County, Kentucky",30469,33958,24577,19838,102916,76065,73475,72340,40.06%,-4.59%,44.64%,33.45%,27.42%,-27.88%,73.98%,38.7,86.62%,4.66%,3.45%,2.07%,0.06%,0.08%,8.76%,33.92%,31.90%,25.41%
"Bourbon County, Kentucky",6051,6979,4291,4105,20228,15066,14755,14490,40.16%,-6.16%,46.32%,29.08%,28.33%,-30.00%,55.64%,41.8,84.44%,4.87%,7.17%,0.12%,0.00%,0.00%,14.69%,34.43%,27.65%,23.24%
"Livingston County, Kentucky",2897,3368,2346,2356,8980,7146,7355,7520,40.54%,-6.59%,47.13%,31.90%,31.33%,-61.37%,4.66%,46,94.47%,0.35%,2.55%,0.03%,0.00%,0.00%,12.97%,43.97%,29.87%,13.19%
"Clark County, Kentucky",11502,13015,8450,7763,36897,28348,27310,27000,40.57%,-5.34%,45.91%,30.94%,28.75%,-32.01%,71.01%,40.9,89.09%,3.85%,3.34%,0.63%,0.00%,0.08%,11.04%,37.64%,31.37%,19.95%
"Cumberland County, Kentucky",1903,1987,1330,2106,5974,4631,5250,5285,41.09%,-1.81%,42.91%,25.33%,39.85%,-68.33%,0.00%,45.4,93.00%,2.71%,1.76%,0.82%,0.00%,0.25%,19.64%,43.08%,20.15%,17.13%
"Boone County, Kentucky",39978,41018,24220,18219,136150,96864,90255,83160,41.27%,-1.07%,42.35%,26.84%,21.91%,-35.69%,88.53%,38,85.63%,3.59%,4.53%,2.32%,0.20%,0.05%,6.18%,29.11%,30.07%,34.64%
"Green County, Kentucky",3652,3835,2914,2433,11198,8800,8610,8755,41.50%,-2.08%,43.58%,33.84%,27.79%,-67.41%,0.00%,45.1,93.86%,1.79%,1.78%,0.10%,0.00%,0.78%,17.07%,41.35%,28.04%,13.55%
"Owen County, Kentucky",3684,3733,2619,2530,11229,8782,8140,8225,41.95%,-0.56%,42.51%,32.17%,30.76%,-58.52%,0.00%,42.9,94.07%,1.04%,0.56%,0.15%,0.00%,0.03%,16.20%,44.07%,20.86%,18.87%
"Nelson County, Kentucky",14937,15360,10167,9037,46779,35382,33725,31850,42.22%,-1.20%,43.41%,30.15%,28.37%,-36.61%,37.83%,39.9,90.02%,4.78%,2.37%,0.51%,0.00%,0.01%,7.78%,36.63%,33.06%,22.53%
"Robertson County, Kentucky",695,781,474,433,2207,1643,1720,1680,42.30%,-5.23%,47.53%,27.56%,25.77%,-55.06%,0.00%,39,96.42%,0.32%,1.77%,0.00%,0.00%,0.00%,15.80%,39.08%,32.92%,12.20%
"McLean County, Kentucky",2977,3616,2412,2063,9173,6976,7075,7260,42.67%,-9.16%,51.83%,34.09%,28.42%,-53.51%,0.00%,43.2,94.70%,0.99%,2.05%,0.40%,0.00%,0.29%,8.73%,40.40%,32.89%,17.98%
"Campbell County, Kentucky",31160,28477,19560,15847,93122,72810,71035,68705,42.80%,3.68%,39.11%,27.54%,23.07%,-18.63%,82.89%,38.9,91.08%,2.64%,2.27%,0.97%,0.02%,0.04%,6.71%,26.52%,27.51%,39.27%
"Jessamine County, Kentucky",17112,18909,12295,10056,53381,39852,37890,35155,42.94%,-4.51%,47.45%,32.45%,28.60%,-32.45%,75.27%,38.4,87.41%,4.21%,3.92%,1.34%,0.01%,0.06%,10.38%,30.97%,28.35%,30.31%
"Garrard County, Kentucky",5680,5849,3905,3319,17175,13169,13240,12845,43.13%,-1.28%,44.41%,29.49%,25.84%,-56.56%,0.00%,43.5,92.61%,2.35%,2.45%,0.00%,0.00%,0.23%,15.09%,37.25%,27.74%,19.92%
"Ballard County, Kentucky",2654,3175,2399,2154,7742,6153,6320,6455,43.13%,-8.47%,51.60%,37.96%,33.37%,-59.91%,0.00%,44.7,91.88%,3.89%,1.61%,0.39%,0.00%,0.00%,7.88%,40.58%,34.20%,17.34%
"Hancock County, Kentucky",2963,3701,2245,1859,9058,6854,6450,6330,43.23%,-10.77%,54.00%,34.81%,29.37%,-39.11%,8.58%,41.2,94.48%,0.89%,1.77%,0.11%,0.00%,0.04%,12.80%,40.95%,28.83%,17.42%
