NAME,2023 votes,2021 votes,2019 votes,2017 votes,2015 votes,2013 votes,2011 votes,pop_total_estimate_18to22,cvap_estimate_18to22,cvap_estimate_13to17,cvap_estimate_08to12,2023 cvap_turnout,Change in % turnout from 2021,2021 cvap_turnout,2019 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2013 cvap_turnout,2011 cvap_turnout,2009 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Clearfield County, Pennsylvania",17131,17214,14987,12795,12678.33333,13398,15346,79707,64002,63655,64480,26.77%,-0.13%,26.90%,23.42%,20.10%,19.92%,21.05%,23.80%,21.93%,-49.54%,38.69%,45.2,92.35%,2.09%,2.90%,0.54%,0.01%,0.07%,10.14%,46.94%,23.80%,19.13%
"Clinton County, Pennsylvania",8691,6897,6882,6477,6421.666667,5574,6430,37860,29987,31060,30870,28.98%,5.98%,23.00%,22.95%,20.85%,20.68%,17.95%,20.83%,11.24%,-36.31%,52.10%,39.8,94.32%,1.30%,1.73%,0.71%,0.02%,0.07%,10.46%,46.07%,23.17%,20.30%
"Columbia County, Pennsylvania",13832,12102,10142.5,9894,8933.333333,6939,9216,64924,53158,54035,53830,26.02%,3.25%,22.77%,19.08%,18.31%,16.53%,12.84%,17.12%,14.40%,-30.69%,55.27%,41.3,91.62%,1.78%,3.42%,1.03%,0.19%,0.04%,8.36%,44.32%,21.86%,25.46%
"Crawford County, Pennsylvania",18989,16812,17323.5,13364,14232.33333,11143,14833,83876,66393,67895,68325,28.60%,3.28%,25.32%,26.09%,19.68%,20.96%,16.41%,21.71%,19.01%,-37.22%,34.21%,43.6,93.68%,1.47%,1.49%,0.57%,0.02%,0.03%,9.36%,47.44%,22.62%,20.59%
"Cumberland County, Pennsylvania",64637,56663,51521,41022,38349.33333,31797,33059,261269,201753,189160,181675,32.04%,3.95%,28.09%,25.54%,21.69%,20.27%,16.81%,18.20%,17.51%,-10.57%,79.11%,40.3,82.97%,3.91%,4.62%,4.96%,0.00%,0.02%,6.50%,31.28%,23.55%,38.67%
"Dauphin County, Pennsylvania",64191,60111,50143,43968,39089.33333,37632,33183,286108,211997,203190,198550,30.28%,1.92%,28.35%,23.65%,21.64%,19.24%,18.52%,16.71%,21.58%,8.53%,85.17%,39.4,62.92%,17.15%,10.44%,5.69%,0.03%,0.09%,8.82%,32.28%,25.63%,33.28%
"Delaware County, Pennsylvania",152011,145251,163123,125767,105466.3333,101786,95264,575312,427790,415665,408305,35.53%,1.58%,33.95%,38.13%,30.26%,25.37%,24.49%,23.33%,21.92%,26.80%,99.22%,39,64.35%,21.66%,4.33%,6.05%,0.03%,0.07%,6.50%,27.64%,24.99%,40.87%
"Elk County, Pennsylvania",7602,7293,7662.5,5712,6422.666667,6220,7073,30886,24875,24630,25360,30.56%,1.24%,29.32%,30.80%,23.19%,26.08%,25.25%,27.89%,21.51%,-45.06%,44.08%,48.2,95.60%,0.71%,0.84%,0.41%,0.00%,0.03%,6.86%,50.24%,24.42%,18.49%
"Erie County, Pennsylvania",60249,67311,49257,56594,41988.33333,49648,38281,270495,209782,211830,211965,28.72%,-3.37%,32.09%,23.48%,26.72%,19.82%,23.44%,18.06%,22.39%,1.03%,76.02%,39.9,82.63%,6.69%,4.67%,1.90%,0.02%,0.13%,7.48%,37.34%,25.61%,29.57%
"Fayette County, Pennsylvania",27727,22865,18453.5,18677,20454,15111,20249,128417,102723,106490,108715,26.99%,4.73%,22.26%,17.96%,17.54%,19.21%,14.19%,18.63%,19.71%,-33.45%,44.89%,45.2,89.98%,4.21%,1.39%,0.50%,0.04%,0.03%,10.16%,47.87%,23.32%,18.65%
"Forest County, Pennsylvania",1428,1477,1152,1029,1202,1724,1544,6959,6050,6645,6660,23.60%,-0.81%,24.41%,19.04%,15.49%,18.09%,25.94%,23.18%,15.09%,-43.61%,0.00%,46.2,68.70%,15.69%,7.30%,2.21%,0.00%,0.19%,14.21%,53.24%,20.98%,11.58%
"Franklin County, Pennsylvania",29616,29625,22986.5,18607,18136,16551,13800,156084,119210,115720,111125,24.84%,-0.01%,24.85%,19.28%,16.08%,15.67%,14.30%,12.42%,15.49%,-43.11%,55.52%,42.2,86.08%,3.17%,6.48%,0.78%,0.00%,0.05%,9.79%,43.66%,23.58%,22.97%
"Fulton County, Pennsylvania",3697,3065,2657.5,1930,2485.666667,1953,2570,14545,11612,11525,11390,31.84%,5.44%,26.40%,22.89%,16.75%,21.57%,16.95%,22.56%,22.30%,-71.94%,0.00%,45.7,94.17%,1.35%,1.35%,0.21%,0.00%,0.01%,10.60%,49.48%,23.61%,16.31%
"Greene County, Pennsylvania",8253,7830,8070,6513,7236.333333,4840,6916,35781,28832,30045,30860,28.62%,1.47%,27.16%,27.99%,21.68%,24.08%,16.11%,22.41%,19.76%,-43.40%,24.35%,43.1,91.70%,2.68%,1.60%,0.15%,0.00%,0.00%,10.58%,44.16%,24.15%,21.11%
"Huntingdon County, Pennsylvania",9613,8857,8004.5,6853,7059.666667,6369,7619,44123,36026,36690,36670,26.68%,2.10%,24.59%,22.22%,18.68%,19.24%,17.36%,20.78%,17.47%,-50.97%,25.65%,43.6,89.63%,4.49%,2.11%,0.40%,0.00%,0.22%,9.96%,49.94%,22.04%,18.06%
"Indiana County, Pennsylvania",18589,20532,16335,15495,15414,12499,16324,83394,67635,69990,71080,27.48%,-2.87%,30.36%,24.15%,22.14%,22.02%,17.86%,22.97%,21.80%,-37.51%,40.16%,39.6,92.38%,2.19%,1.55%,0.84%,0.00%,0.02%,8.00%,40.93%,24.87%,26.20%
"Jefferson County, Pennsylvania",10417,10091,7670.5,7249,7219,7495,7719,44326,34815,34790,35255,29.92%,0.94%,28.98%,22.03%,20.84%,20.75%,21.54%,21.89%,19.92%,-58.85%,26.53%,43.7,96.33%,0.38%,0.98%,0.27%,0.00%,0.05%,8.80%,51.30%,22.91%,16.99%
"Juniata County, Pennsylvania",4964,4859,4151,4567,4158.666667,4329,4632,23535,17916,18660,18585,27.71%,0.59%,27.12%,23.17%,24.47%,22.29%,23.20%,24.92%,27.80%,-61.41%,0.00%,42.7,92.83%,1.18%,4.19%,0.42%,0.00%,0.00%,17.04%,48.51%,20.11%,14.34%
"Lackawanna County, Pennsylvania",51085,49245,40450,43900,35334,37936,40837,215672,166533,163825,165495,30.68%,1.10%,29.57%,24.29%,26.80%,21.57%,23.16%,24.68%,26.55%,8.37%,82.45%,41.9,81.93%,2.60%,9.01%,2.86%,0.04%,0.05%,8.44%,35.54%,26.12%,29.90%
"Lancaster County, Pennsylvania",122711,109655,79795.5,69465,61495,48614,47023,553202,414666,397190,381465,29.59%,3.15%,26.44%,19.24%,17.49%,15.48%,12.24%,12.33%,14.76%,-15.83%,72.12%,39,80.21%,3.36%,11.23%,2.36%,0.02%,0.04%,13.04%,34.52%,21.92%,30.52%
"Lawrence County, Pennsylvania",20996,17266,16921.5,14753,16941.33333,10836,15315,85907,68407,70115,71310,30.69%,5.45%,25.24%,24.74%,21.04%,24.16%,15.45%,21.48%,23.12%,-29.56%,57.58%,45,90.50%,3.80%,1.71%,0.28%,0.00%,0.01%,8.04%,42.78%,27.14%,22.04%
"Lebanon County, Pennsylvania",29465,26648,22559.5,18004,18569,14937,15669,143258,108991,103980,101080,27.03%,2.58%,24.45%,20.70%,17.31%,17.86%,14.37%,15.50%,16.04%,-31.82%,74.61%,41.3,79.88%,1.88%,14.47%,1.51%,0.00%,0.04%,12.49%,41.92%,22.74%,22.85%
"Lehigh County, Pennsylvania",73946,72411,52669,47144,41398.66667,41688,41053,374110,270399,263430,254020,27.35%,0.57%,26.78%,19.48%,17.90%,15.72%,15.83%,16.16%,16.12%,7.60%,90.13%,38.9,60.69%,5.77%,27.19%,3.32%,0.03%,0.05%,9.75%,32.16%,25.73%,32.35%
"Luzerne County, Pennsylvania",61666,59121,47552,43434,44681,39676,51058,325396,247333,246670,248050,24.93%,1.03%,23.90%,19.23%,17.61%,18.11%,16.08%,20.58%,21.27%,-14.39%,77.78%,42.2,77.24%,3.88%,15.07%,1.07%,0.02%,0.05%,9.52%,37.79%,28.15%,24.54%
"Lycoming County, Pennsylvania",24773,22593,22242.5,17689,20975,14830,15439,114022,89385,90775,91655,27.71%,2.44%,25.28%,24.88%,19.49%,23.11%,16.34%,16.84%,18.28%,-41.33%,59.56%,41.4,88.80%,4.45%,2.26%,0.85%,0.06%,0.12%,9.24%,38.50%,27.89%,24.37%
"McKean County, Pennsylvania",7377,7650,6836.5,5031,5565,5332,5518,40459,32114,33350,34020,22.97%,-0.85%,23.82%,21.29%,15.09%,16.69%,15.99%,16.22%,13.63%,-46.16%,27.61%,43.8,92.68%,1.89%,2.16%,0.43%,0.00%,0.04%,7.19%,47.22%,26.09%,19.49%
"Mercer County, Pennsylvania",24469,23423,20053.5,18285,20996.33333,17978,21771,110600,89329,90090,90760,27.39%,1.17%,26.22%,22.45%,20.30%,23.31%,19.96%,23.99%,18.60%,-26.01%,52.06%,45,88.87%,5.45%,1.60%,0.67%,0.02%,0.06%,9.49%,40.87%,25.53%,24.10%
"Mifflin County, Pennsylvania",8579,8853,6504.5,6048,7299.666667,7460,7013,46146,35646,35725,35780,24.07%,-0.77%,24.84%,18.25%,16.93%,20.43%,20.88%,19.60%,19.67%,-56.12%,45.51%,43.3,94.40%,0.62%,1.79%,0.31%,0.06%,0.17%,15.22%,49.17%,22.45%,13.16%
"Monroe County, Pennsylvania",32847,27623,22257,22169,15208.33333,14594,15254,168128,130909,127290,123675,25.09%,3.99%,21.10%,17.00%,17.42%,11.95%,11.47%,12.33%,13.26%,6.36%,43.24%,43.5,62.00%,13.24%,17.83%,2.41%,0.00%,0.10%,10.10%,35.33%,28.00%,26.56%
"Montgomery County, Pennsylvania",250787,222292,201552.5,166536,158830,119570,157178,856399,640424,605800,586060,39.16%,4.45%,34.71%,31.47%,27.49%,26.22%,19.74%,26.82%,22.18%,26.28%,96.66%,41.2,73.56%,8.96%,5.67%,7.83%,0.02%,0.02%,5.22%,22.59%,20.76%,51.43%
"Montour County, Pennsylvania",4350,3852,3192.5,2994,2835,2797,2672,18165,14014,14365,14070,31.04%,3.55%,27.49%,22.78%,20.84%,19.74%,19.47%,18.99%,21.42%,-21.22%,45.72%,43.2,90.05%,2.28%,2.85%,3.63%,0.00%,0.09%,7.36%,34.72%,21.52%,36.40%
"Northampton County, Pennsylvania",69875,68724,50878.5,42797,35099.33333,32564,31173,314299,243522,231520,224790,28.69%,0.47%,28.22%,20.89%,18.49%,15.16%,14.07%,13.87%,15.08%,0.72%,83.14%,41.9,73.90%,5.29%,14.70%,2.93%,0.04%,0.03%,8.05%,33.12%,25.99%,32.84%
"Northumberland County, Pennsylvania",18259,15844,13838,12843,14216.33333,12892,15235,91340,73113,74280,74730,24.97%,3.30%,21.67%,18.93%,17.29%,19.14%,17.36%,20.39%,17.30%,-38.49%,64.74%,44.5,90.72%,2.43%,4.25%,0.34%,0.02%,0.01%,10.09%,48.09%,23.35%,18.47%
"Perry County, Pennsylvania",10949,9862,8833.5,7492,7377.666667,5091,7672,45941,35993,35550,34955,30.42%,3.02%,27.40%,24.54%,21.07%,20.75%,14.32%,21.95%,18.86%,-50.07%,6.48%,43.7,94.18%,0.82%,2.36%,0.33%,0.00%,0.07%,10.85%,46.22%,24.67%,18.26%
"Philadelphia County, Pennsylvania",291319,214299,267431,198325,200703.6667,103456,164115,1593208,1149551,1128640,1096390,25.34%,6.70%,18.64%,23.26%,17.57%,17.78%,9.17%,14.97%,11.06%,63.54%,100.00%,34.8,33.54%,38.95%,15.67%,7.54%,0.02%,0.15%,13.10%,30.33%,22.97%,33.61%
"Pike County, Pennsylvania",12501,12602,7734.5,7589,9048.333333,6027,7820,58996,47667,43395,43055,26.23%,-0.21%,26.44%,16.23%,17.49%,20.85%,13.89%,18.16%,19.57%,-19.03%,12.77%,48.9,78.07%,5.22%,11.95%,1.39%,0.00%,0.03%,6.92%,34.03%,31.64%,27.41%
"Potter County, Pennsylvania",4603,4182,4060,3350,3565.333333,2865,2829,16390,12974,13425,13530,35.48%,3.24%,32.23%,31.29%,24.95%,26.56%,21.34%,20.91%,32.89%,-60.82%,0.00%,48.1,95.33%,0.45%,1.56%,0.53%,0.00%,0.11%,9.89%,47.27%,26.17%,16.67%
"Schuylkill County, Pennsylvania",33309,31044,28526,26446,25635.33333,27480,28976,143201,113683,114515,116975,29.30%,1.99%,27.31%,25.09%,23.09%,22.39%,24.00%,24.77%,26.15%,-39.86%,52.94%,44.2,88.56%,2.64%,6.15%,0.44%,0.01%,0.02%,10.34%,44.91%,26.28%,18.47%
"Snyder County, Pennsylvania",7190,8152,6131,5283,5476.666667,4507,5571,39797,31454,31495,30600,22.86%,-3.06%,25.92%,19.49%,16.77%,17.39%,14.31%,18.21%,17.22%,-47.40%,29.65%,40,94.71%,0.79%,2.34%,0.55%,0.22%,0.02%,15.08%,43.96%,19.95%,21.01%
"Somerset County, Pennsylvania",19992,18777,17259.5,13640,15466.66667,11735,18164,73802,60171,61415,62445,33.23%,2.02%,31.21%,28.68%,22.21%,25.18%,19.11%,29.09%,22.34%,-56.27%,22.40%,46.7,93.85%,1.91%,1.54%,0.45%,0.00%,0.10%,9.97%,49.13%,23.67%,17.23%
"Sullivan County, Pennsylvania",1876,1908,1661.5,1474,1528.666667,1127,1503,5880,5154,5380,5305,36.40%,-0.62%,37.02%,32.24%,27.40%,28.41%,20.95%,28.33%,29.86%,-47.23%,0.00%,55,93.32%,2.59%,2.35%,0.00%,0.10%,0.03%,9.24%,48.57%,23.31%,18.89%
"Susquehanna County, Pennsylvania",10115,8399,8925,7412,7315.666667,5883,7484,38540,31117,33455,33810,32.51%,5.51%,26.99%,28.68%,22.16%,21.87%,17.58%,22.14%,20.20%,-41.24%,0.00%,48.5,95.28%,0.32%,1.92%,0.42%,0.00%,0.00%,8.46%,46.23%,25.43%,19.89%
"Tioga County, Pennsylvania",10512,9055,7899,7167,7292,6288,6615,41186,32974,33020,33305,31.88%,4.42%,27.46%,23.96%,21.71%,22.08%,19.04%,19.86%,17.91%,-51.18%,0.00%,45,95.67%,0.83%,1.35%,0.39%,0.00%,0.07%,8.28%,43.88%,26.52%,21.32%
"Union County, Pennsylvania",9327,9111,7540.5,6470,6206,4218,4366,42908,34363,36265,35510,27.14%,0.63%,26.51%,21.94%,17.84%,17.11%,11.63%,12.30%,15.79%,-24.27%,36.80%,39.7,85.48%,6.28%,5.61%,1.24%,0.00%,0.18%,13.70%,42.30%,18.95%,25.05%
"Venango County, Pennsylvania",12095,9810,9391.5,7718,8515,7372,8780,50475,40776,42055,42955,29.66%,5.60%,24.06%,23.03%,18.35%,20.25%,17.53%,20.44%,17.93%,-41.41%,43.93%,47.6,94.66%,1.09%,1.12%,0.37%,0.00%,0.01%,9.24%,46.35%,25.02%,19.39%
"Warren County, Pennsylvania",7893,8043,7521,6074,7173.666667,4901,8131,38492,30879,32230,32910,25.56%,-0.49%,26.05%,24.36%,18.85%,22.26%,15.21%,24.71%,16.96%,-39.57%,38.01%,47.4,94.72%,0.71%,1.37%,0.44%,0.04%,0.09%,6.29%,46.26%,28.51%,18.95%
"Washington County, Pennsylvania",54175,50479,40781,34863,36336,28082,41029,209631,167036,165045,164035,32.43%,2.21%,30.22%,24.41%,21.12%,22.02%,17.01%,25.01%,18.93%,-22.78%,67.67%,44.2,90.55%,3.14%,1.87%,1.16%,0.03%,0.00%,5.99%,35.92%,25.70%,32.40%
"Wayne County, Pennsylvania",11547,11736,10270,8802,7416.333333,5998,8527,51227,42237,42290,41635,27.34%,-0.45%,27.79%,24.32%,20.81%,17.54%,14.18%,20.48%,21.02%,-33.63%,13.78%,48.8,89.08%,2.88%,4.92%,0.62%,0.05%,0.06%,8.41%,44.05%,26.72%,20.83%
"Westmoreland County, Pennsylvania",91402,85698,73732,62247,66412,55693,63720,354414,287852,288225,291130,31.75%,1.98%,29.77%,25.61%,21.60%,23.04%,19.32%,21.89%,21.41%,-28.38%,73.52%,47.2,92.43%,2.42%,1.36%,0.94%,0.01%,0.03%,4.66%,35.53%,28.60%,31.21%
"Wyoming County, Pennsylvania",6548,6794,5800,5341,4711,4742,5495,26219,20970,22050,21950,31.23%,-1.17%,32.40%,27.66%,24.22%,21.37%,21.51%,25.03%,24.45%,-35.21%,4.68%,45.3,94.31%,0.85%,2.15%,0.37%,0.00%,0.03%,7.23%,45.55%,25.74%,21.47%
"York County, Pennsylvania",86084,84162,63554.5,56893,50825,46602,36246,457051,349335,336395,326480,24.64%,0.55%,24.09%,18.19%,16.91%,15.11%,13.85%,11.10%,14.35%,-24.58%,71.54%,41,81.07%,5.47%,8.52%,1.44%,0.03%,0.06%,8.90%,38.47%,26.29%,26.34%
