What is the name of your polling organization?	What is your name?	How would you describe your polling organization?	Do you release raw data to the Roper Archives?	Why do you or don't you release raw data to the Roper Archives?	Are you a member of the National Council on Public Polls?	Why are you or aren't you a member of the National Council on Public Polls?	Have you signed onto the American Association for Public Opinion Research transparency initiative?	Why have you or haven't you signed onto the AAPOR transparency initiative?	How many seats do you expect Republicans will hold in the Senate after the election?	Why do you expect Republicans to hold that many seats?	How do you expect the average poll's error in 2014 Senate races to compare to the average error in 2012 Senate polls?	Why do you expect that of average poll error?	What was your average response rate across election polls in 2012?	What is your average response rate across election polls in 2014?	How do you define response rate?	What percentage of your election polls include cellphones?	By how many percentage points does including cellphones increase the cost of a poll for your organization?	In what year do you expect Internet-based polling (using a probability or non-probability sample) to overtake phone polling as the primary method used across the industry in election polling?	Why do you expect that timeframe for Internet-based polling to overtake phone polling?	What percentage of your revenue comes from news-media clients?	What percentage of your revenue came from news-media clients in 2010?	What do you think is the biggest reason for the decline in political polling volume in recent national elections?	Why do you think that is the biggest reason?	Which states are the hardest to poll in?	Why are those states the hardest to poll in?	"What percentage of your respondents are black, on a typical poll?"	By what factor do you typically have to overweight black respondents in your polls?	"What percentage of your respondents are Hispanic, on a typical poll?"	By what factor do you typically have to overweight Hispanic respondents in your polls?	Do you oversample blacks or Hispanics on polls that focus on racial issues?	How do you oversample blacks or Hispanics?	Why don't you oversample blacks or Hispanics on polls covering racial issues?	"What question or questions would you want to ask, or want us to ask, your fellow pollsters in future rounds of this poll?"
Pew Research Center	Scott Keeter	Nonpartisan	Yes	We are committed to transparency and promoting wide access to our data.	Yes		Yes	We have signed on as a supporter but have not yet submitted our application for membership. We are in the process of putting together an application.	Don't know.	Too much uncertainty in too many races at this point.	Roughly the same	"From what I can tell, the methods being used this year are not especially different from 2012. The one factor that is different, and may make polls more prone to error, is that turnout is less predictable this year than in 2012."	9%	8%	We use a strict AAPOR RR3 method developed in conjunction with methodologists at our three major contractors. One of those individuals is a recent AAPOR Standards Committee chair.	100% of polls; 60% of interviews	25% relative to only landline interviewing	Not sure -- 2020?	"Telephone remains viable, if expensive, for many types of election polls. It provides good coverage (98%) and access to low-education and low-income populations due to the use of cellphones. It continues to perform reasonably well. Perhaps 5-6 years of development with online polls and non-probability sampling will reduce the uncertainties associated with them. And the non-internet population will shrink over that period."	We do not have clients	We do not have clients	Rising cost of polls	Good polling is costly and becoming more so as coverage and non-response problems grow.	Don't know	We rarely poll individual states.	10%	1.2	10%	1.4	Yes	Typically by using stratification to oversample areas with larger concentrations of blacks and Hispanics.		
Siena College	Don Levy	"Academic, Nonpartisan"	Yes		No	"AAPOR member but not NCPP, will check it out."	Yes																										
Merriman River Group	Seth Rosenthal															80%	100%					"Rise of poll aggregators such as FiveThirtyEight, Upshot, Real Clear Politics"	"These reasons you provided are all highly correlated -- shrinking budgets is a very close second here. Outlets really have to stretch budgets to pay for polls, but they find that conducting their own polls has much less cachet now that readers can just use the aggregator sites. Our current media work is now conducted almost entirely with an outlets that poll about local issues that can't be found among the national aggregations."	Hawaii	"National voter databases (that we're aware of and have access to) do not use ethnicity categories that match the key voter demographics of the state. For instance, knowing the percentage of ""East Asians"" who voted in previous elections is less helpful in Hawaii than it would be in other states (because in Hawaii, for instance, Japanese ancestry voters and Chinese ancestry voters have very different voting patterns and are both key voting blocs, but are not differentiated in the databases. Also, voter databases tend to mislabel Filipinos -- another important voting bloc in Hawaii -- as ""Hispanic"")."								
SurveyUSA	Jay H. Leve	"Commercial, Nonpartisan"																															
Elway Research	Stuart Elway	"Commercial, Nonpartisan"	No	"No particular reason. Since it is only Washington State data, doubt they'd be interested."	No	My membership lapsed and I have not renewed. I intend to rejoin soon.	Yes	I believe it is important to protect the integrity of the profession.																									
Ipsos	Julia Clark	"Commercial, Nonpartisan"	Yes	"We have been in talks with Roper for the last two years to take our online data, but they haven't figured out a way to ingest it yet. So we're happy to provide it but are still working on logistics."	Yes		Yes	"We believe it is critical to participate in this process to ensure that even as we move into an era of online poll work, a premium is still put on clarity and transparency."								N/A																	
Selzer & Company	J. Ann Selzer	"Commercial, Nonpartisan"	No	My clients have not wanted to pay us to put data in format Roper could use.	Yes	"It is/used to be the pre-eminent organization of pollsters in the country. In theory, I am on their board of trustees, but they are virtually dormant. Or they do some things in New York without enough notice that non-New Yorkers could arrange a trip that would include the event. I don't know that this organization is recruiting new members. So, I fear it may die off."	No	"I haven't done this yet. I have a couple of questions and the timing for signing up was unfortunate, given my schedule. I support transparency and have urged my clients to report methodology. I see so few other organizations explaining how they define ""likely voters,"" which seems very basic. So, I'm not sure this is working."												60%	60%	Media companies' shrinking budgets	"If media companies' budgets were growing, not shrinking, the rising cost might not matter so much. Polls break news and increasingly newspapers and other media outlets value their ability to do this, given 24-hour access to news feeds from a number of sources."	"California, Washington, D.C., New York, Florida, Arizona"	People move there and bring their phone numbers from their home state. They are virtually invisible to pollsters trying to capture a state. It's less of a problem for national polls.								
Anzalone Liszt Grove Research	John Anzalone	Commercial	No	Not sure we have ever been asked but it would also mean getting permission from our clients and a lot of work by our project staff which is difficult in the busy election cycle. We would certainly have an easier time doing it post-election when we have time to both get sign-off from clients and have the manpower to get data in the format needed to send to Roper.	No	I don't think I am. Not sure I even know what the hell it is. I am a member of AAPOR and AAPC.	Yes	I believe I have done that. Certainly support it.	50	"The math is solid for them to get to 50 and I really do think it may come down to how Kansas resolves itself including, if Orman wins, who he caucuses with."	Higher in 2014	If pollsters are doing thorough methodology it should not change much. I do think that if the GOP does better sample modeling it will be better.	3%	2%		100%	10%	Never	I think there are still a lot of problems associated with online polling and it is going to be interesting to see if the New York Times switching over is going to be a Gallup-like problem for them come the 2014 election results. I do think there will be a hybrid of cell-land-online mostly through smartphone survey links.	0%	0%		"It sure seems to be rising to me. There are polls everywhere, every day. I think what has happened is that there are more cheap polls out there being used by media outlets, primarily IVRs (robopolls) but also online polls."	Alaska and Hawaii	Bad voter files and hard-to-reach populations.	Depends on the state	Several percentage points.	Depends on the state	Several percentage points	No		"We oversample Hispanics in states like Florida to get a better look at the Hispanic universe. For example, we are polling for Charlie Crist, so we oversample Hispanics so we can see splits for Cubans and non-Cuban Hispanics and Hispanics by language and age, etc. But it is not driven by some racial issue. On African Americans we occassionally just do special polls of drop off voters."	Are they using bilingual phone banks when polling in races where there is a universe of Hispanics over 10%?
Marist College	Barbara Carvalho	Academic	No	"We provide aggregate data. There is some difficulty with the weight variables on the data set. We have both population weights and also use a probability model for likely voters. We work with Lois at the center to have the data available as quickly as possible from release. The director of our center, Lee Miringoff, is on their board."	Yes	The Marist Poll has been members of NCPP for many years and two of our directors have been officers and are currently trustees. It is an association of polling organizations rather than individuals. It was one of the first associations to advocate transparency for polling organizations. I believe they were the first to provide a guide to evaluate polls after each election.cycle.	Yes	As pollsters and especially as educators we adhere to the principles of transparency. The Marist Poll was one of the beta organizations to provide feedback to the committee. We also conducted a survey of organizations who polled in the 2012 presidential election to evaluate the level of transparency during the election cycle. The results were presented at AAPOR in 2013.	This question wording is confusing. Do you mean have after the election or hold of their current seats? Hold all except possibly Kansas. Have 51 as a result of the election.	"Hold - without a Democrat in the race in Kansas, the independent candidate has a greater probability of carrying that seat. Have - Democrats are defending 7 seats in states Romney carried. If the Republicans carry 6 of those 7, they are also competitive in three states Obama carried and could easily win 1. But, then there is Kansas."	Roughly the same	Poll error is statistically based on methods. Track record of most polls is decent.	11%	8%	We use the AAPOR calculator. Understand response rate is a very different measure than cooperation rate.	All of them	Approximately 3 times the cost	As it currently exists never	I'm not sure how you're defining Internet polling or overtake phone polling. There are many innovative methods being tested and experimented with which include multi-modes. The future is likely to include some combination of opinion collection perhaps combined with analytics. Mobile is also promising because it's something nearly everyone has. Penetration approximates traditional landlines decades ago. It can become very inexpensive with changes in regulations for contact.	10%	5%	Rising cost of polls	It's expensive to do scientific probability based polling given regulations on cellphones. This is similar to the problems of early telephone surveys before access to phone numbers were allowed in the mid-1970s.	"Washington, D.C."	Proportion of cellphones is high and the population is very mobile.	Depends on the geography being polled.	Minimal weighting by race because of the proportion of cellphones in our samples	Depends on the geography being polled	Minimal weighting by race because of the proportion of cellphones in our samples and we have Spanish-speaking interviewers	Yes	Sometimes we screen for race; sometimes we combine results to the same questions of samples from multiple surveys.		"Their assessment of the overall quality of polls, what types of polls do they watch and consider dependable."
"Susquehanna Polling & Research, Inc."	Jim Lee	Commercial	No	Client confidentiality	No	Never heard of it.	No	"We are AAPOR members, but are not aware of initiative."	51	VTO favors Republicans. Obama referendum given low approval rating. Terrorism will be key wedge issue and breaking for GOP candidates.	Lower in 2014	Lower turnout usually means lower error/variance in public polling.	?	?		10% - 25% depending on circumstances	5% to 25%	"for national polls only, 2020"		Less than 10%	Less than 10%	I kind of thought the opposite was true		New England states	"List issues, and level of mobility is higher."	"0% to 30%, depending"	Usually less than 5% adjustment	0% to 20%	Usually 5% to 10%	No		Same reason we wouldn't UNDER sample them.	
We Ask America	Gregg Durham								50	"We believe this will be a good, but not blockbuster year for Republicans. We see little evidence of a 1994-style tsunami that some have predicted."			10%	9%	Percentage of participants who answer all poll questions.	26%	50%																
Blum & Weprin Associates	Micheline Blum	"Commercial, Nonpartisan"																															
"Research & Polling, Inc."	Brian Sanderoff	Commercial							51	"1) Some of the seas that are up for election turned Democrat during the Obama wave of 2008, 2) Mood of the nation due to Obama 41% approval rating, 3) Historical trends of party not in the White House in midterm elections picking up seats."						100%	0%	10 years	The commercialization of the business and companies looking for ways to save money.	2%	2%	Media companies' shrinking budgets	Newspaper budgets are shrinking.			2% in New Mexico	No need to in New Mexico	40%	1.1	No		No need to because we are able to get a representative sample of blacks without a signifianct oversample. Blacks comprise less than 2% of New Mexico. In voter polls we have included a Spanish-surname dictionary which enables us to add extra Hispanics in our probablility sample to avoid setting quotas or weighting. Hispanics with voter history can be reached at the same rate as non-Spanish whites.	
Princeton Survey Research Associates International	Evans Witt	Commercial														100%	50%-100%													Yes	"A variety of methods. Depends on project's objectives, resources and availability."		
Columbus Dispatch	Darrel Rowland	Nonpartisan	No	We publish just about everything we poll on in our newspaper. We'd certainly be open to sending it to Roper as well.	No	I have not heard of it.	Yes	"I was on the committee that helped prepare it. We have always believed in transparency -- a 10-inch ""explainer"" box has always accompanied our polls."	Don't know.	We don't poll out-of-state races.	Roughly the same	"In totality, there's not that much different about 2014 than 2012. On the other hand, it depends on what you mean by ""average poll."" Many are attempting to use Internet surveys with untested methodologies to determine likely voters. As often happens to pioneers, there could be some grim results."	15%	10%	Number of polls mailed (minus return to sender) divided by number of polls returned.	N/A	N/A	2018	"As a practical matter, we'll need to see a track record of reliability before many will be willing to make the shift."	N/A	N/A	Media companies' shrinking budgets	"That's who was paying for a significant percentage of public opinion polls on political matters. In Ohio, for instance, we were part of the Ohio Newspaper Organization -- the state's largest eight papers -- that conducted polls for the past few statewide races (even-numbered years). Now, those papers are using their money simply to survive. A decade-and-a-half ago, our own paper used to conduct monthly polls through Ohio State University's Buckeye State Poll. That was dumped years ago because of expense. Even our own mail poll -- America's polling stepchild that has contrarily proved highly reliable over the past several decades -- has been reduced in frequency. We did three in 2012, only two this year."	N/A	N/A -- we only poll in Ohio.	9%	0	2%	0	Yes	"Triple same predominantly black wards in Cleveland and Columbus. This occurs for all our polls, not just those involving racial issues."		"How do those conducting electronic/Internet surveys make sure their sample matches that of the probable electorate, not just the census percentages?"
																																	
																																	
