"Please enter your information, and your polling organization's information."		"How do you determine how likely one of your respondents is to vote? Do you weight them, or is each respondent either a likely voter or not one? Please provide as much detail as possible."	"Do you weight by party affiliation? If so, how do you determine what weights to use? Please provide as much detail as possible."	Do you ever poll from registered voter lists rather than call at random?	Why?	"When you weight poll results, is there a maximum weight you use to increase the count of a demographic subgroup?"	"Why or why not, and if yes, what is that weight?"	Do you weight by race and party together? (Example: weighting African-American Democrats instead of African-Americans and Democrats separately.)	"In what circumstances do you do so, and why?"	Do you ever deliberately call back prior poll takers [http://fivethirtyeight.com/features/oct-16-can-polls-exaggerate-bounces/]?	"If you do sometimes or always do that, under which circumstances, how do you do so, and why? If not, why not?"	Do you have off-the-record conversations with other pollsters to compare results before publishing them?	Why or why not?	Do you use Bayesian methods or frequentist methods?		Why?	Do you find traditional reporting of statistical margin of error to be credible?	"If so, why? And if not, how do you think margin of error should be reported?"	In what languages other than English do you ever ask your political polls?											What percentage does it add to the cost of a poll to add one language?	"If you field polls in Spanish, how do Hispanic respondents who choose to answer in Spanish differ from those who answer in English?"	"How much does it cost you to poll one stateÍs Senate race, on average?"	"How much did it cost you to poll one stateÍs Senate race, on average, in 2010?"	"How do you account for the change, if any?"	Do you always disclose who is funding your polls?	Why or why not?	Do you ever conduct and publish political polls without sponsors?	"If not, why not and would you ever do so? If so, under what circumstances and why?"	How many total employees (full-time or part-time) does your polling organization have?	How many are men?	How many are women?	How many are white?	How many are African-American?	How many are Hispanic?	How many are Asian American?	Any comments on the demographics of your staff?	Do you ever poll using an online panel?	Do you cap the number of polls that panel members can take in a given time period?	"Why or why not? And if you do, at what level do you cap it?"	What percentage of your panel members leave or become inactive annually?	Any comments on your panel turnover?	Do you ever poll by phone?	Have decreasing response rates required you to change your techniques by using increased weighting or supplementing with different technologies?	Please elaborate on your answer above.	How much do you pay your interviewers per hour?	What percentage of your interviewers are male?	What is your interviewers' average age?	How many hours of training do you require them to have before they can conduct interviews?	How are your interviewers trained to handle invective from people who hate being called?	What percentage of interviews do you monitor for quality?	Do you ever interview by phone using Interactive Voice Response (IVR)?	For what percentage of IVR polls do you use male voices?	For what percentage of IVR polls do you use female voices?	"Whose voices do you use? i.e. actors, local TV personalities?"	"How much do you pay the people whose voices you record, by poll or by hour?"	"How many seats do you expect Republicans will control in the Senate in 2015? (Yes, we're asking again.)"	Why?	What question or questions would you want us to ask your fellow pollsters in future rounds of this poll?
Doug Kaplan	Gravis Marketing	"We ask them if they plan on voting. We weigh likely, very likely, and somewhat likely."		Yes	"Yes, we constantly update our lists to cover new voters. We call registered-voter lists unless otherwise noted."			Sometimes		No		Yes					Yes	On larger races yes. On smaller races with low populations it becomes more of an issues. Example only 200 completes in a school board race.																	Yes	AAPOR rules	Yes										Yes					Yes			$10/hour	20%	23	10	They have a manager always available and an internal do-not-call list.	15%	Yes	75%	25%	Professional voice actors	$5 per message. We record thousands of messages	55	"The Republicans will win Kentucky, Georgia, Iowa, Montana, Arkansas, Colorado, Alaska and North Carolina. The Republicans will hold Kansas (possible they lose governor's race there). I am less confident in New Hampshire but believe the Republicans will win there, as well."	
Matt Towery	InsiderAdvantage	"Our samples are from Aristotle's registered voter files. [http://aristotle.com/] We then have questions to screen for likely voters and only include and weight responses from those who indicate they are likely to vote (or in the instance of early voting, if they have already done so)."								No	Absolutely not!																																				Yes					Yes									Yes					51	There is a slight GOP wave in non-southern contested states such as Colorado and enough southern states will either hold GOP or go GOP to give Republicans a slim majority. But perhaps not until January (Georgia runoff possible).	Do you seriously believe that legitimate and representative voters answer 70 questions on a cellphone?
Julia Clark	Ipsos	"We utilize a likely-voter model. This contains questions on: registered voter, past vote at various election, self-reported likelihood of voting on a 10-point scale, and interest in the election. They are turned into a summated index from which we make cuts based on turnout assumptions. For more granularity, we also run a regression index. Weights are applied to the whole population (either at the total level or registered-voter level, depending on the type of survey) before the likely-voter model is applied."	No	No	"We do not do campaign polling, and so we almost never need to target very small geographic regions over short periods of time, which is why lists are generally used. Plus we do primarily online polling, and lists do not have email addresses."	No	"We do not set fixed max weights. If a weight is high, we assess it and determine the best way to address the situation."	No		No	We don't do phone polling.	No	"It would seem like a very strange thing to do. And there is never time, even if we were so inclined... the data needs to get out the door very quickly."	Bayesian		"For reporting ONLINE poll results, we use Bayesian methods to account for the non-probability nature of our recruiting processes for online samples. In many studies, we use outside information to help create informed priors to calibrate our online results. (Generally speaking for our business as a whole, we use a combination of methods depending on mode and client.)"	Yes	"Our real response is ïyes and noÍ ! Traditional reporting of margin of error accounts for sampling error, and it does not account for other sources of error that may affect a pollÍs results and its variability far more than the sampling error calculation using the sample variance. Sampling error does not adequately account for the changing nature of telephone research in the age of cell phones, callerID, and respondent disaffection with participating in surveys. For the MoE to be credible, it would need to account for total survey error within a mean square error calculation. Traditional use of margin of error for online surveys is often noted as inappropriate for online surveys, and this is a simplification. Traditional use of margins of error can be used for online surveys with the use of an underlying model. Very often, this argument is dismissed. Our organizationÍs response has been to adopt a Bayesian framework/ model. This allows us to calibrate our results using informed priors to account for the differences in the population for technologically adept versus non-adept people. We have promoted this approach in print and at conferences to work within the system rather than outside of it. In all honesty, we still report traditional margins of error for telephone research, and we use Bayesian for our online polling work. To report our telephone results using traditional margins of error, we too have to implicitly assume an underlying model _ that the percent of respondents we can reach and get to cooperate respond similarly to those that we could not contact or refused to cooperate. For our online pollsÍ results, we provide Bayesian Credibility Intervals. This provides a probabilistic measure of error in some ways analogous to Confidence Intervals and a margin of error."																	Yes	"We are supporters of the AAPOR Transparency Initiative [http://www.aapor.org/Transparency_Initiative.htm], and also fundamentally believe that this is important information for a poll consumer to have."	No	"Polling is an important part of Ipsos's identity in the U.S. and globally. If we did not have a media partner, it is likely we would continue to publish political polls under our own brand. Happily, we have always had the fortune to work with media partners on our polling work."								"Our polling team is a small group of people within Ipsos Public Affairs, which is a part of Ipsos Group (2100+ U.S. employees and 15,500+ global). At any given point in time, between two and 15 people work on the U.S. polling work, and no one works on it exclusively (even me). Our core team is more women than men, but it varies enormously depending on the work at hand and the time of year."	Yes	Yes	We want to avoid frequent responders for quality reasons. No more than once a month. Non-panel participants are tracked by IP address.			Yes	Yes	"All our political polling this year and in 2012 has been online, although we do a great deal of phone research too (just not for political work). Across the industry, it is now standard to include at least 25% -- we usually do more -- cellphones in a phone sample."							No							
Barbara Carvalho	Marist College	"Likely voters are defined by a probability turnout model. This model determines the likelihood every respondent who indicates they are registered to vote (or plan to register if the poll is being done prior to the deadline for registration in their state) will vote based upon their chance of vote, interest in the election, and past election participation."	No	No	We prefer RDD [random-digit dialing]. Lists add another layer of uncertainty and non-response given the quality of registered-voter lists is not consistent across all states. We also try to measure new voters.	Yes	"Multipliers are capped to be no greater than 2. We prefer not to make statistical adjustments to make up for sampling that is not representative. Increasing the proportion of cellphone sample, increasing callbacks, scheduling callbacks, allowing respondents from the sample to return call the survey center at their convenience, contacting respondents at different times of the day, training and monitoring of interviewers -- all improve representativeness. The need for adjustments greater than 2 for our weighting demographics in samples are rare."	No	We never weight by party ID.	Sometimes	"1 -- For research purposes, we have called back respondents to pre-election polls after Election Day to compare their intention to support a candidate with whom they voted for. 2 -- We ask permission for recontact at the end of our surveys to have a reporter from our media partner(s) call them to do a follow-up interview or, in some circumstances, request participation in a focus group about their views."	No	No need to.	Sometimes or Other (please specify)	Not enough time or space to get into the Bayesians/frequentists debate	Not enough time or space to get into the Bayesians/frequentists debate.	No	There is generally a misunderstanding as to what MOE [margin of error] is and for which types of surveys it may be calculated. It doesn't provide very much insight into the value or quality of the research although that is often the inference.	Spanish	Mandarin or other Chinese		French		German						It depends upon the language and the population incidence of those who speak the language.	It depends upon the issue/topic surveyed. Sometimes there are significant differences and sometimes there are not.	"We're an educational research center, not a business."	"In 2010, it took fewer interviewing hours to get the same number of completed survey interviews."	Proportion of cellphones	Yes	Principle of transparency	Yes	We're a research center at Marist College and an educational program. So we often conduct surveys without sponsors.	12 and about 450 interviewers	Staff 3 Interviewers 45%	Staff 9 Interviewers 55%	Staff 12 Interviewers 70%	Interviewers 15%	Interviewers 10%	Interviewers 5%		Yes	Yes	We have worked with a probability-based outside vendor.	N/A	N/A	Yes	No	The proportion of cellphone interviews has increased.	It is a scale based on experience.	45%	College age	About 10 hours	"Part of their training is in human subjects research. They are trained and evaluated in these specific skills, they role-play, have pat phrases, and a hierarchy of coaches and managers to assist."	All interviewers are monitored and provided feedback during their shift. All interviews are recorded.	No					51	"Unlike 2012, when Obama had many paths to winning, the GOP this time has expanded the playing field and has multiple paths to gaining a majority."	Nothing at this time
Brad Coker	"Mason-Dixon Polling & Research, Inc."											No	"Our contracts specifically prohibit us from discussing a poll with any third party until the client publishes the results. Breaching a contract is not a smart business practice. Over the past 25+ years, we have developed cordial relationships with many of the major campaign polling firms. They know our situation and that about the only thing we can give them is an approximate day that the results will be released. However, once our poll results are in the public domain, we will discuss and compare notes with campaign consultants that have a degree of gravitas in the business."																								No	Simple business principle -- make more money than you spend or else you'll go out of business. It's better use of resources to do nothing and go fishing than it is to spend money and staff resources to conduct a poll no one is paying for.									No					Yes									No					54	"Most are saying 51-53, so I'm going bold. It feels a lot like 1994, when Democratic incumbents polling in the mid 40s all lost."	
Mark Mellman	Mellman Group																																														Yes					Yes									Yes							
Seth Rosenthal	Merriman River Group		No.							No	It's simply not the type of work we do.								Spanish											25%	"Lower socioeconomic status, more likely to identify as a Democrat, less likely to vote, more likely to be undecided in down-ballot races."																No					Yes									Yes							
Steve Mitchell	Mitchell Research & Communications	"We first ask if they are registered voters. If registered, are they definitely going to vote, probably going to vote, not sure yet, or definitely not going to vote? We accept only the top two: definitely or probably. Probably is usually less than 2 percent. After absentee ballots are mailed, we ask:	""Thinking about the upcoming November General Election for U.S. Senate and Governor, have you voted by absentee ballot, are you are planning to vote by absentee ballot, are you definitely voting on Election Day, probably voting on Election Day, not sure yet if you are voting, or definitely not voting?"" If they answer not sure yet or definitely not, we do not poll them."	"Yes, we weight. We look at past election results in similar races. However, the closer we get, the less we weight by party."	Yes	"Michigan has an excellent list vendor and our results in all types of races have been very accurate using his lists. We have found that to be true in other states, as well."			No		Yes	"In the past, we used to do a panel-back [call-back] poll the night before the election to see how the race would turn out the next day. We don't do that any more since we use automated phoning now. It was for internal use only."	No	Our numbers are our numbers. Polling cannot be done in a vacuum because we all look at what is happening in other states and in the states we are polling. But I don't want my results tainted by talking to another pollster.														Arabic			50%		It depends on whether it is automated or operator-assisted.	Our costs are down.		Yes		Yes										Yes	Yes	We do not use online panels for political polling.		We use them very rarely.	Yes	Yes	We have to weight for voters under 29 and for African-Americans.	$9 per hour	About 33%	21	10	"To be polite, thank them and hang up."	33%	Yes	25%	75%	Local actors	$50 per poll	52	Watching all states and blogs like FiveThirtyEight carefully.	None
Patrick Murray	Monmouth University											No	"While there may be some pollsters who would like to be able to do that, they would be hard-pressed to find a willing accomplice. P.S. You guys really need a lesson or two on question wording."	Sometimes or Other (please specify)	"Neither really if you you are basing this on a strict definition of the terms. Using RBS [registration-based sampling] rather than RDD [random-digit dialing] allows for a little more Bayesian application in the model, but even those who take samples ""as they lie"" apply some Bayesian thinking -- it's just not quantifiable."	This question is a good reminder that few pollsters -- especially the good ones -- are primarily statisticians. My first job in polling was as a telephone interviewer in college. I learned a lot more about the practical application of polling methodology from that experience than any of my stats classes. Good polling requires an understanding of how to communicate with individual respondents (either by phone or in writing) as much as how to weight and model databases.																															Yes		"The idea of a cap is not applicable for a true panel study. Your question asked if we use an ""online panel"" -- that could mean a variety of things now. You have to remember that many of us do non-election polling. For me a panel study is tracking indiviudal changes in attitudes and behavior over time. That's different from a so-called cross-sectional ""panel"" which is modeled to ""look like"" a population at a specific point in time. You need to clarify what you are actually asking about."			Yes									Yes							
Christopher P. Borick	Muhlenberg College	We are using a RBS [registration-based sampling] sampling frame that utilizes past voting behaviors to determine preliminary screening for interviewing. If an individual has demonstrated voting patterns that qualify them for interviewing (e.g. voted in two of the last three midterm elections). During interviewing we screen out individuals who express a low likelihood of voting.	"Yes. The weighting varies depending upon if we are making inferences about registered or likely voters. For registered voters, we weight our sample to most recent party-registration statistics for the population of registered voters as was reported in the most current figures provided by the Pennsylvania Secretary of State. For likely voter samples, we incorporate previous party voting results in similar elections (e.g. midterms) as reported in exit polling during those elections."	Yes	We have transitioned in recent years from RDD [random-digit dialing] to RBS [registration-based sampling] samples only in our election polling because we feel that these sampling frames can provide us more validated voter-behavior information.	Yes	"In election polls, we cap our weights for a demographic subgroup at 2.5. Obviously as weights increase for any subgroup, there are risks that additional survey error may be introduced, so we have opted for a cap at a weight of 2.5."	No		Sometimes	"If we are conducting an experiment where individual-level analysis is necessary, we have called respondents back again. For example, we have done tests where we call back respondents after an event ( e.g. a debate, a high-profile ad) to see what changes may have occurred at the individual level. We wouldn't be able to test these individual changes with a new group of respondents. In our election polling that is reported publicly, we have only utilized new samples without calling back prior respondents. Our experiments with call backs have been done for academic studies."	Yes	Yes. I have shared results in advance of publication with other pollsters as a courtesy to give them a heads up of what we will be releasing. Other established pollsters in the state are often called on to comment on our release so I like to share what we find with them earlier so that they can get a sense of what will be coming out.	Frequentist		"We are getting more interested in Bayesian approaches but at this point don't feel comfortable using Bayesian techniques as a primary component of our methods. To be honest, we need to learn more about what Bayesian techniques can do to improve our survey quality and I imagine we will be thinking more about this issue in coming years."		"I'm not really sure by what you mean by traditional reporting, If you are talking about the difference between the standard MOE and TSE there is room for discussion about what should be shared."	Spanish											"The cost increase from English-only surveys ranges from about 15 percent to 20 percent higher. We don't do Spanish-language interviewing often (only about three times in the last four years), so we don't have a big N to look at."	We haven't done enough research on this with our samples to be able to identify if there are any differences.				Yes	This should be a requirement for any publicly released poll. A pollster should give full disclosure of the funding of a poll upon request.	Yes	We do so as a core element of our institute's mission.	"about 50 total, 6 who are not interviewers"	"approximately 22, 1 who is not an interviewer"	"approximately 28, 5 who are not interviewers"	"about 37, 6 who are not interviewers"	"about 8, 0 who are not interviewers"	"2, 0 who are not interviewers"	"1, 0 who are not interviewers"		Yes	No	"We have done some survey experiments using online panels, but only occasionally. Thus repeating panel members have not been a significant concern for us."			Yes	Yes	We have had to increase the number of call backs we conduct.		About 40%	Around 21	It depends on the survey project	To always remain courteous and to anticipate that they will regularly deal with individuals who are upset with being contacted.	We monitor interviewing at all times during calling hours.	No					54	Latest polls (I check daily!) and other indicators such as the president's continued low approval ratings.	"I'm not sure but this was a really long survey. I really like your work at FiveThirtyEight so I hung in there, but I think I'm tapped out for a while."
Scott Keeter	Pew Research Center	"We build a likely-voter index from a set of seven or eight questions. Scale includes measures of engagement in the campaign and in politics more generally, past voting, and intention to vote. We add one or two bonus points for young people. We then establish a likely-voter turnout percentage based on historical averages and some estimate of whether the current election is likely to be higher or lower than average. We adjust the prediction to take account of the fact that survey samples tend to be a bit biased toward more engaged people. Then we use the adjusted turnout percentage to cut the likely-voter scale. It is usually the case that the target percentage does not correspond cleanly to a set of categories on the scale, and so we have to take a percentage of the people at a particular point, plus all of the people in categories higher than that. So, for example, if our scale is seven points, we may take all of the 7s and a portion of the 6s. The apportionment is done using weighting, rather than arbitrarily splitting the group."	No	No	"Past concerns about bias in voter lists. This may be changing, and we are likely to experiment with voter lists in the future."	No	"We are mindful of the impact of extreme weights, but using a typical RDD [random-digit dialing] design, it is usually not necessary to adjust weights, other than the usual trimming that is done as a part of the normal weighting process."	No	We don't weight on party in our RDD [random-digit dialing] surveys.	Sometimes	"Occasionally we do this to determine whether voter intentions have changed. In non-political surveys, we sometimes call back respondents to gather additional information."	No	"Doesn't seem like a useful exercise. We have many conversations with our peers, but not at the point of deciding to publish a poll."	Frequentist			Yes	But only if pollsters are calculating margin of error with design effects properly included.	Spanish											I don't have that information close at hand.	"Yes, but the differences vary across topics."	We don't poll in states.	We don't poll in states.		Yes	We are a nonprofit organization whose mission is public polling.	No	"Our funder is a sponsor in the sense that they fund us to conduct research, but they are not a client in the usual sense of sponsorship."									Yes	Yes	Our probability-based panel was designed to yield one survey per month.	We haven't been through a full year yet.	"After the initial attrition following recruitment, turnover has been very low."	Yes	No	"Declining response rates could certainly lead to increased weighting, but at the same time we have been increasing the cellphone percentage in our samples (now 60%). That has had the effect of reducing the need for higher weights."							No							
Evans Witt	Princeton Survey Research Associates International			Yes	"Certainly. For certain surveys, especially state-level surveys on elections, RBS [registration-based sampling] can be an excellent choice."			No		Yes	Call-back surveys are a valuable survey tool in a variety of circumstances.						Yes	There is a decades-long debate about the reporting of sampling margins of error. They should be reported because they provide one valuable piece of information about the survey.																	Yes	Disclosure is central to credibility. Please check out 20 Questions A Journalist should Ask about Polls Results. [http://www.ncpp.org/?q=node/4]											Yes					Yes									No							
J. Ann Selzer	Selzer & Company		"No. There is a wonderful chart at Pollster.com that shows how widely polls vary when they ask party ID. It is not a fixed variable, therefore inappropriate for weighting. [http://elections.huffingtonpost.com/pollster/party-identification#!showpoints=yes&estimate=custom]"							No	"When I first joined The Register in 1987, we were calling about the 1988 caucus. A strategy in place was to bank ""warm"" caucus-goers. We'd simply call back a random sample of people we had already polled and mix them with new caucusgoers. Once I ran the crosstab and saw that George H. W. Bush was wining with one group and Bob Dole with the other, we halted that practice immediately. We had no explanation for the difference, but there it was."						Yes	"Well, the reporting of the margin of error is okay. It's how people interpret it. More then 90% of the time, if it is mentioned, it is to say that the race could be closer, or the other person could have the lead. It is equally likely the race is farther apart. It seems a matter bias that one possibility is reported without the other, equally likely, possibility reported."																	Yes	"It's a principle of disclosure. If the respondent is going to give us time, what we can give in return is transparency."	No	It's not part of our business model.									Yes					Yes									No							
Don Levy	Siena College																																														Yes					Yes									No							
Jay H. Leve	SurveyUSA											No	Never in 22 years. Never even occurred to me to do so until this minute.																								No	"Public opinion polls should not be ""loss leaders."" A media sponsor is a critical second-set of eyeballs on every questionnaire we draft and on every set of research results we release. The journalists who review our questions before we launch and who review our findings before we publish create an essential ""checks and balances"" system that is wholly absent for those pollsters who act unilaterally."									Yes					Yes	Yes	"Telephone polling died in 2008. See article by Bialik in WSJ 11/06/18: ""2008 is to telephone polling what 1948 was to passenger rail: The end of the line."" [That was a quote by Leve in this article: http://online.wsj.com/articles/SB122592455567202805]"							Yes							
Andrew Smith	University of New Hampshire	"We ask several questions about voter registration, interest in the election and voting in past elections, to create a context in which it is easy for a respondent to say they are NOT going to vote. We continue only with respondents who say they will definitely vote or who will vote unless an emergency comes up. In addition, we read an option to each election question that allows respondents to say they will skip that particular race. We do not weight voters on their propensity to vote."	"No, this is nuts! There is no parameter to weight to."	No	"The states we most typically poll in (New Hampshire, Massachusetts, Maine) have same-day registration. In New Hampshire, this typically is between 5 percent and 15 percent of the electorate. Using registration lists systematically excludes these people. Also, lists never have contact information for all voters. This systematically excludes those for whom no information is available."	No	Has never been an issue.	No		Yes	Quality control.	No	What would be the point? We publish all of our results regardless of what others look like.	Frequentist			No	"MSE [margin of sampling error] is least important source of error. Non-response, particularly for IVR [interactive voice response] polls is a much greater source of error as are question-form effects. Focusing on MSE is misleading. Also, MSE should be reported with design effects."										None							Yes	Readers have to know the sponsor so they can judge their interest in the results.	Yes		"About 100, 5 full-time staff"	"About 40 percent, 3 full-time staff"	"About 60 percent, 2 full-time staff"	About 90 percent	About 5 percent	About 3 percent	About 2 percent	Not too many minorities in New Hampshire.	No					Yes	No		Between $9 and $15 per hour depending on level and experience	About 40%	30	8-12 hours	Thank them and hang up	About 10%	No					52	Bad year for Democrats	
Gregg Durham	We Ask America																																														No					Yes									Yes							
