"The average presidential poll <a href=""http://fivethirtyeight.com/features/the-state-of-the-polls-2016/"" target=""_blank"">within the final 21 days of the election</a> has been off by 3.6 percentage points since 2000. Do you think that polling error will be better or worse this time?"		"<a href=""http://www.nytimes.com/interactive/2016/09/20/upshot/the-error-the-polling-world-rarely-talks-about.html"" target=""_blank"">The Upshot found</a> that different pollsters can get very different results with same data set. Did the results surprise you? Should pollsters be reporting a bigger margin of error or scrap the way they’re reporting it entirely?"	"How does the amount of <a href=""http://spotlight.ipsos-na.com/index.php/public-affairs/no-you-may-not-unskew-my-polls-a-refresher/"" target=""_blank"">talk of unskewing polls</a> from advocates and the media in 2016 compare to unskewing talk in 2012?"		"If you were given a blank check to poll the presidential race in any state, which state would you poll?"	Why do you say that?	"What grade would you give <a href=""http://projects.fivethirtyeight.com/pollster-ratings/"" target=""_blank"">FiveThirtyEight's pollster ratings</a>?"		Are media organizations commissioning and covering online polls in this race...		Are there any polls you would exclude if you were using polls to forecast the election?		"Should Gallup release <a href=""https://twitter.com/DavidLauter/status/784157638271655937"" target=""_blank"">its horse-race polls</a>? Why do you think it isn’t?"		"Do you think <a href=""http://fivethirtyeight.com/features/election-update-leave-the-la-times-poll-alone/"" target=""_blank"">the USC Dornsife/LA Times poll</a> approach of tracking the same group of respondents over time is a smart one?"		"A <a href=""http://www.nytimes.com/2016/10/06/us/politics/donald-trump-campaign.html"" target=""_blank"">recent New York Times article</a> suggested that private polls show different results than public polls. Is that usually the case? Any reason it would be this year?"	"What lessons have you learned from the primaries? For instance, what can be done to address <a href=""https://twitter.com/NateSilverFiveThirtyEight/status/736217950219309056"" target=""_blank"">the bias in polls in the Democratic primary</a> that depended on how many people in a state are black or Hispanic?"	What are the scheduled events and unscheduled possible events that you think are most likely to move the polls between now and Election Day?	"Do you think that in <a href=""http://fivethirtyeight.com/features/election-update-where-polls-and-demographics-disagree/"" target=""_blank"">the states where polls and demographic-based models diverge</a>, the polls or the demographics will prove to be closer to the result?"		Is there a demographic question you wish were routinely included in all polls that is currently left off?<br /><br /><br />		What is the one group of voters you wish we had more granular polling data about? Why?	Who do you expect will win the 2016 presidential election?		What percentage chance do you give each of these people to win the election?		Is Clinton more likely to...		"According to the national exit polls, what percentage of black voters will vote for"		How many seats do you expect Republicans will hold in the Senate in 2017 -- after the 2016 election? (They currently hold 54.)	How many seats do you expect Republicans will control in the House in 2017 -- after the 2016 election? (They currently hold 247.)	What question or questions would you want us to ask your fellow pollsters in future rounds of this poll?
Worse	"I think there is more potential movement in the actual race potentially still to come. Also, wild swings (more than usual) in non-response bias depending on day-to-day candidate behavior."	"They didn't surprise me, because I compare our results to other polls. The wildly different numbers of non-whites, or younger voters, or party ID clearly will lead to different results. Using voting history compared to voter response as to vote likelihood is another issue that can cause problems with newly energized voters. Basically, polling is a magic combination of working with lots of different sources attempting to model something that doesn't exist, and no one can be proven right or wrong in an election until after it actually takes place. Pollsters may have fixed issues from previous years that overcompensate or cause new problems. Margin-of-error reporting is basically a crap-shoot, because the normal calculation is based on a random-digit-dialing sample, which very few pollsters use anymore."	More	The media polls we are seeing are oversampling Democrats by as much a 10 percent based. It is not because they cannot do it right. Most pollsters are trying to save money by not doing the hard work of hand-dialing mobile phones. The polls are inaccurate and that is being proved right on Election Day.			C-	A long conversation.	too much	"There seem to be more online polls in this cycle than in the past. While they are less reliable, they are also less expensive to commission."	Yes	Most of them because polls aren't really about forecasting until very late in the cycle. To use them as forecasting tools too early in the year is wrong.	Not sure		Not sure	"All innovation should be encouraged. Those who suffocate the innovators are not scientists, they are scared children."		"We are still processing the primary results and trying to decide how to adapt, but primary polls are typically more volatile and less accurate than general-election polls."	Too hard to predict.	Not sure		No		"Latinos? It's a group treated as a monolith, but it would help to know how long one's family has lived in the United States for one thing."	Hillary Clinton		15	85	Win by 10 or more points nationally?		5	94	50	230	
Worse		Weighting has nothing to do with sampling margin of error. The story displayed a deep ignorance of the role of weighting.	Not Sure				C+	"The ""member of NCPP"" component is dramatically out of date. I sent in a check many months ago and have heard nothing back. Their site hasn't been updated in years. I think I am a member but have no idea. This is the difference between (I would guess) an A- and an A. There are economic consequence for us, since people have started looking at these ratings as a shorthand for quality. Our rating is wrong, and there seems to be nothing I can do about it. I like the idea, but it has to be accurate and real time."	too much	"Online polling is usually panel-based and therefore self-selecting and not random. You may need a 36-year-old white guy, but that white guy on a panel is going to be different from a white guy who isn't on a panel."	Yes	"I see that FiveThirtyEight adds most polls to their model, regardless of methodological rigor and tries to ""adjust"" them. Things like the Ipsos state polls with few interviews -- or other similar ones with either low sample size, poor methodology, etc. -- should not be included in my opinion. It also encourages those pollsters to continue their use of obviously incorrect methodology (see Nate Cohn on LA Times poll for instance)."	Not sure	"It's funny. They said they were not going to do horse-race polls, but I sense they are collecting the data. Maybe they are taking a cycle to figure out likely-voter modeling. But, you know, this year is unlike any other year, so how do you use any previous year to predict what is happening this time?"	Yes			"We did not have a problem with this, and I am not sure why there would be a problem if someone is working with a voter file that has a good predictor of race."		Not sure		No		Non-regular voters and those who don't participate in polls.	Hillary Clinton		40	60	Lose the popular vote?		11	89	49	237	
Worse			Not Sure				D	"Too much weight given to methodology and association membership. And too little given to accuracy. Getting them right isn't rewarded they way it ought to be. After all, it's what drives success in the real world of polling. The criteria used for pollster ratings should not be so disconnected from that reality."		"Some in the media are doing a good job of reporting on the polls and providing insights into the election that are valuable. There is never too much of this type of reporting. FiveThirtyEight and the Upshot are examples of this. On the other hand, there is still too much attention paid to polls with suspect methodologies and/or outliers. There is way too much of this reporting."	Yes	Any interactive-voice-response poll.	Not sure		Yes	"I don't think that's the main problem with their poll. Based on Nate Cohn's analysis, I think they're making poor decisions about how to handle outliers and/or individuals with ridiculously large weights."				Not sure	"It really depends on which polls you're including in the model. If you're including crap polls, then it would be the demographics. I'd also assume that the demographics would be closer in Nevada due to missing Hispanic/Latino voters, but the polls in Iowa due to it being a very white state."	No		Uneducated whites	Hillary Clinton		0	90	Win by 10 or more points nationally?		3	92	48	227	
Worse	Fewer quality polls. More slap-dash polls.		Not Sure					I have not studied them (sorry).		Depends on the poll.	Yes	"All interactive-voice-response-only polls should not be included; their time has passed. I am not sure what to make of the state-level estimates from Reuters and Google Consumer Surveys. The sample sizes and volatility are eye-catching, and I don't really know what to make of them. But I don't know if I would ""exclude"" them, per se."	Yes	Not sure.	Yes	Approach OK but terribly executed.				Not sure	"You guys at FiveThirtyEight are way to ""into yourselves."" You ought to get out more."	No		White millennials (sub-group size in even the largest samples still too small to have much confidence)	Hillary Clinton		20	80	Win by 10 or more points nationally?	"As the election nears, Clinton should continue to improve among millennials."	4	92	48	227	
Worse			Same								Yes	"NBC/WSJ — Of all traditional pollsters, they've seemed to put out the biggest outliers this election cycle. The first was back in February when they had Cruz beating Trump (contradictory to everyone else, and many media organizations grabbed onto this and made it a bigger story than it actually was). This past week, they put out a poll of 447 likely voters that had Trump up by 11. Swings are not that dramatic, especially for two very well-known candidates. To that point -- I would avoid using any poll with a sample size under 1,000 to forecast an election. That sample is too small to conduct accurate analysis, and it does not let you delve into demographics in an insightful way."	Yes	Everyone involved in public polling should. See my response about the grading system for why I think they're not.	Yes	"It's useful to show how events can change the race, but you become very reliant on your sample. I don't think all pollsters should switch to this method, but this has its own pros."				Polls		No			Hillary Clinton		42	51	Win by 10 or more points nationally?		10	90	48	240	
											Yes	Robo polls. It's just hard for me to take them seriously.	Yes	Fear. Business.	Yes	"Because it can show a difference in how certain respondents feel the need to show that they are proud to vote for their particular candidate. Being able to look at 3,000 or so people who are likely to vote, and then track their changes would be really great. The problem is how they are weighting their results, rather than the method. It's something that would be great, if you have the money to do it."				Polls		Yes	Bilingual interviewing in states where segment exceeds 10-15 percent.		Hillary Clinton		30	70	Win by 10 or more points nationally?		4	91	49	227	
											Yes	Emerson (no cell phones); LAT/USC (weighting to a proven-to-be unreliable recall question); CVOTER	Yes							Polls	Certain demographic groups may turn out in higher numbers -- certain groups may stay home.	Yes	"It might be useful to reframe basic party-identification question along the lines of ""which party do you usually vote for?"""		Hillary Clinton		0	100	Win by 10 or more points nationally?	I believe Donald Trump can keep talking for four more weeks and say even more racist/misogynistic/horribly offensive things.	5	90	49	230	
											Yes	Robo polls because they cannot be used to call cell phones.	Yes	They are probably uneasy about how their results compare to other polls. 						Polls		Yes	Marital status		Hillary Clinton		0	51	Win by 10 or more points nationally?		15	85	48	217	
											Yes	"The online 50-state polls. They're crap. Also, any poll that includes or excludes any candidates that are or are not on the ballot. In North Carolina, Jill Stein isn't on the ballot, so that is (probably) going to help Trump in those polls because they're more likely to vote Hillary. It takes five minutes to find out who's on the ballot in most states, and for people to do polls that don't make any effort to reflect the ballot the voters will see is just malpractice."	Yes	"Because they don't want to be shown to be wrong again with their estimates. If they're releasing results of other questions and questions that rely upon vote, they should release them."						Polls		Yes	"Most phone pollsters cannot go too far into demographics because of small sample sizes, so there is a lot of room for improvement there."		Other (please specify)	Too early to tell	50	50	Lose the popular vote?	Hidden Trump vote	12	85	51	245	
											Yes	"I would exclude all the wrong ones, of course."								Polls		Yes	Religiosity.												
																				Polls	"Trump is going to lose some of the typical Republican voters (e.g. college-educated suburban white women), and he'll likely lose the Latino vote by an unprecedented margin. The demographics alone cannot account for the ""uniqueness"" of a candidate who brags about groping women, among other offensive statements."														
