"Please enter your information, and your polling organization's information. We won't publish your phone number and email address."		Is our rating of your polling organization fair?			Why?	Do any clients or prospective clients refer to our or others' pollster ratings in discussions with you about new business and pricing?		What have they said to you in those conversations?	"Do you think a straight polling average would do better as a Senate forecast than one that adjusts polls for various factors, and incorporates non-polling data, such as FiveThirtyEight's?"		Why do you think so?	Are there any polling organizations whose polls you think we should no longer be including in our forecast?			Why do you think we should no longer be including them?	Do you consult other pollsters' numbers before releasing yours?			"In what circumstances do you do so, and why?"	"Do you adjust your polls' results to match published polls' results, as described in <a href=""http://fivethirtyeight.com/features/are-bad-pollsters-copying-good-pollsters/"" target=""_blank"">this FiveThirtyEight article</a>?"			"If you do sometimes or always do that, under which circumstances, how do you do so, and why? If not, why not?"	"Do you think other pollsters adjust their results to match published polls' results, as described in <a href=""http://fivethirtyeight.com/features/are-bad-pollsters-copying-good-pollsters/"" target=""_blank"">this FiveThirtyEight article</a>?"		"Why do you think so, and if you think some are doing it, which pollsters, and in which races?"	"Is it ever appropriate to <a href=""https://twitter.com/DKElections/status/517890139729973248"" target=""_blank"">recall a poll</a>?"		"Why do you say that, and if you think it is sometimes appropriate, under what circumstances?"	What polling organization other than your own is doing the best work in the country?	Why do you say that?	"If you conduct some polling for campaigns, do you ever let a campaign dictate any of the weighting or other factors that can determine final results?"		"Can you explain why you do or don't, and under what circumstances you would?"	What would you like to see the media do differently in reporting polls?	What question or questions would you want us to ask your fellow pollsters in future rounds of this poll?
Seth Rosenthal	Merriman River Group									No	Some polls and polling organizations are better than others and should be weighted accordingly. And non-response (as well as other types of bias) in a particular election or cycle is often correlated regardless of pollster. So incorporating other objective factors that have a proven track record makes sense as well.																									
Steve Mitchell	Mitchell Research & Communications																No				No						Yes		"It is in the best interest of every pollster to work as hard as possible to get the correct results. However, if a pollster makes a serious mistake and realizes it after the fact, then it should explain the error, redo the poll, and issue the new results based on correcting the error. A poll cannot really be recalled, but mistakes can be rectified in a new poll."	J. Ann Selzer	Her company has an outstanding track record and she is almost always correct.		No			
Patrick Murray	Monmouth University																																			
Christopher Borick	Muhlenberg College	Yes			"Measure of accuracy has strengths and weaknesses based upon the criteria included and not included. In general, I think the FiveThirtyEight ratings were valid measures of poll performance."		No		Yes		This would be complex and of course the adjustments would have to be very transparent and based upon solid methods. Giving equal weight to polls with unproven or poorly performing methodologies reduces the usefulness of the average.				"I won't name polls that I think should be excluded, but if there are firms that do not meet performance or transparency standards, it is in the best interest of the forecasting model to exclude those polls."			Sometimes	"We of course check other polls that are working on the races we are polling. When we release a poll, the media will inquire about our results in relations to others, so it is important to have a sense of where our results stand."		No		"If this was done, it would completely reduce the independent nature of the sample that was employed. Our results reflect the responses from the sample selected and any weighting to population parameters that we feel are appropriate."	Yes		I imagine this is done by certain pollsters and I believe that FiveThirtyEight has found some evidence that some polls produce results that tend to move more towards the averages than others as elections get closer. [http://fivethirtyeight.com/features/are-bad-pollsters-copying-good-pollsters/]			"I'm not very clear on what you mean by recalling a poll. Would the recall be by the firm releasing the poll? I imagine if we discovered an error in our methodology or reporting that we would release a correction. If the methods flaw was so significant that it undermined the results, I imagine a full recall would be called for."	There are many great polling organizations that are out there doing wonderful work. I believe their methods and performance over the years speaks to the quality of their work.			No	We don't work with campaigns.	Spend more time discussing methods and transparency. It still seems that all polls are treated equally in a great deal of media coverage and that confuses the public and ultimately undermines trust in public-opinion research in general.	
Scott Keeter	Pew Research Center																																			
J. Ann Selzer	Selzer & Company	Yes			"You did not contact us for dates, data -- anything. You found what was published. No one would monkey with the findings -- they were completely data-driven."					No	"Straight polling averages abound. They seem to suggest that if you just average all the data out there, it gives you the right answer. Given what Nate has written about conformity in poll results, what looks to be an outlier could, in fact, be the most accurate. You take into account that all polls are not created equal. I think that helps. Oh, and your track record is exceptional."																							"I do not do work for candidates. But, I have this comment. A campaign poll often has a different job to do that a public poll. A long time ago, I worked on a referendum in a special election. Really, who knew who would turn out for that? So one of the clients offered ideas of how to sample, based on exceptional knowledge of these matters. OK. We were not planning to release the poll findings, so if taking a look at a couple of groups helped decide where to spend money turning out the vote, that's useful. That kind of poll is designed as a pointing device to the best prospects. It is not designed necessarily to capture an accurate picture of the way the vote would go, if held today. So long as everyone agrees, that's fine. Now, if a campaign tried to publish a poll I did not think reflected an accurate picture, yet they wanted to portray it that way, I reserve the right to comment and clarify. Publicly. Or take my name off the poll, I suppose."	"I would like to see specifically how the pollster is defining ""likely voters."" It is very hard to evaluate a poll if you do not know the technical definition. They do not have to reveal secret sauce, but they need to tell me what factors they used in defining a voter as likely to vote, and if they gave some likely voters more weight in their polls than others."	
Don Levy	Siena College	Yes																																		
Jay H. Leve	SurveyUSA																																			
Darrel Rowland	The Columbus Dispatch		No		"To get an average error rate that high, you must be including a significant outlier from the 2006 general election, where our poll accurately reflected the outcomes but the margins were overstated. In 2012, this very site ranked our poll tops in the nation as far as a single-state poll's accuracy on the presidential election, after we matched Ohio's election-night totals. In 2010, our poll of the governor's race matched the actual outcome to 0.1 percent. In 2008, we were just 1 point off Obama's and McCain's totals in Ohio. Plus we are one of the few polling organizations in the country to even try to poll less-predictable downticket races, including Supreme Court seats. Still, the poll has been very reliable in those races, including an accurate foreshadowing of an incumbent justice losing in 2012. Also, I don't know if you are ""marking us down"" for not using cellphones - since we are that odd beast of a mail poll, cellphone users have exactly the same odds of being sampled as all others."		No	N/A		No	Not even close to mathematically or statistically valid.				I seriously question the validity of any survey relying on robocalls.		No		Why would I?		No		N/A			I simply don't know.	Yes		If serious methodological errors are discovered.		Insufficient data		No	We never do this.	"Forget robo-polls and those sponsored by someone with a dog in the race. Pay attention to the margin of sampling error, but be very wary of the ""statistical tie"" verbiage that has become so common. If an organization won't let you see not only their full methodology but also all the questions and their order, be very suspicious."	"How do you determine a ""likely voter""?"
Andrew Smith	University of New Hampshire		No		"You don't seem to take into account AAPOR best practices for methodology used and rely more on final election predictions, which are quite accurate regardless of methodology, questions, etc used."					No	"It depends on the methods used by the polls you include in your averages. There is a Gresham's Law operating in state polls where the proliferation of cheap polls, but of dubious methodology, drives out well-constructed polls using AAPOR best practices."	Any IVR [Interactive Voice Response] poll	Any web poll		"IVR [Interactive Voice Response] polls have atrocious response rates. Web polls do not have sampling frames that allow selection of random samples. Both reflect a level of self-selection that makes them convenience samples. In spite of declining response rates for live-interviewer telephone polls, their methods are far superior to IVR or web surveys."		No		"Trust your methods, trust your numbers."		No					I hope not.	Yes		For serious data-collection problems -- if CATI [Computer Assisted Telephone Interviewing] was programmed wrong or if the sample had incorrect geography.					We never conduct polls for campaigns.	"Focus on the inattention that most people have toward elections. Read ""The Illusion of Public Opinion"" by George F. Bishop and ""The Opinion Makers"" by David W. Moore."	
Gregg Durham	We Ask America																													CBS News/New York Times/YouGov	We like their overall approach and they aren't afraid to disagree with others.					
