Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Gender,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?
Fred Hubbell,IA,Governor of Iowa,Governor,Regular,6/5/18,Advanced,None,On the Ballot,Male,-8.1400003,55.41,Yes,White,No,No,No,Yes,No,No
John Norris,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,Male,-8.1400003,11.44,No,White,No,No,No,No,No,Yes
Nate Boulton,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,Male,-8.1400003,4.9699998,No,White,No,No,Yes,No,No,No
Ross Wilburn,IA,Governor of Iowa,Governor,Regular,6/5/18,Lost,None,None,Male,-8.1400003,2.1700001,No,Nonwhite,No,No,No,No,No,No
Abby Finkenauer,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-1.73,66.800003,Yes,White,No,No,Yes,No,No,No
Courtney Rowe,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,Female,-1.73,7.5900002,No,White,No,No,No,No,Yes,No
George Ramsey,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,Male,-1.73,6.3699999,No,Nonwhite,Yes,No,No,No,No,No
Thomas Heckroth,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,None,Male,-1.73,19.120001,No,White,No,No,No,No,No,Yes
Cindy Axne,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Female,-4.1100001,57.799999,Yes,White,No,No,No,No,No,No
Eddie Mauro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,Male,-4.1100001,26.35,No,White,No,No,No,Yes,No,No
Pete D'Alessandro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,None,Male,-4.1100001,15.58,No,White,No,No,No,No,No,No
J.D. Scholten,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Advanced,None,On the Ballot,Male,-25.110001,51.259998,Yes,White,No,No,No,No,No,No
John Paschen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,Male,-25.110001,16.719999,No,White,No,No,No,No,Yes,No
Leann Jacobsen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,None,Female,-25.110001,31.92,No,White,No,No,Yes,No,No,No
A.J. Balukoff,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,Male,-34.330002,40.099998,No,White,No,No,No,Yes,No,No
Paulette E. Jordan,ID,Governor of Idaho,Governor,Regular,5/15/18,Advanced,None,On the Ballot,Female,-34.330002,58.400002,Yes,Nonwhite,No,No,Yes,No,No,No
Peter Dill,ID,Governor of Idaho,Governor,Regular,5/15/18,Lost,None,None,Male,-34.330002,1.4,No,White,No,No,No,No,No,No
Christina McNeil,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Female,-39.43,69.699997,Yes,Nonwhite,No,No,No,No,No,No
James Vandermaas,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,Male,-39.43,15.8,No,White,No,No,No,No,No,No
Michael Smith,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,None,Male,-39.43,14.5,No,White,Yes,No,No,No,No,No
Aaron Swisher,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,Male,-28.809999,67.599998,Yes,White,No,No,No,No,No,No
Peter Rickards,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Lost,None,None,Male,-28.809999,32.400002,No,White,No,No,No,No,No,No
Bob Daiber,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,Male,14.48,1.1,No,White,No,No,Yes,No,No,No
Chris Kennedy,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,Male,14.48,24.4,No,White,No,No,No,Yes,No,No
Daniel K. Biss,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,Male,14.48,26.700001,No,White,No,No,Yes,No,Yes,No
J.B. Pritzker,IL,Governor of Illinois,Governor,Regular,3/20/18,Advanced,None,On the Ballot,Male,14.48,45.099998,Yes,White,No,No,No,Yes,No,No
Robert Marshall,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,Male,14.48,1.1,No,White,Yes,No,No,No,Yes,No
Tio Hardiman,IL,Governor of Illinois,Governor,Regular,3/20/18,Lost,None,None,Male,14.48,1.6,No,Nonwhite,No,No,No,No,No,No
Brendan Kelly,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Male,-13.26,81,Yes,White,Yes,No,No,No,No,No
David Bequette,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Lost,None,None,Male,-13.26,19,No,White,Yes,No,No,No,No,No
Angel Sides,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,Female,-6.73,4.1999998,No,White,No,No,No,No,No,No
Betsy Londrigan,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Advanced,None,On the Ballot,Female,-6.73,45.700001,Yes,White,No,No,No,No,No,No
David Gill,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,Male,-6.73,14.4,No,White,No,No,No,No,Yes,No
Erik Jones,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,Male,-6.73,22.4,No,White,No,No,No,No,No,No
Jonathan Ebel,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,None,Male,-6.73,13.3,No,White,Yes,No,No,No,No,No
Daniel Roldan-Johnson,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,Male,-7.96,2.3,No,White,No,Yes,No,No,No,No
George Weber,IL,U.S. House Illinois District 14,Representative,Regular,3/20/18,Lost,None,None,Male,-7.96,5,No,White,No,No,No,No,Yes,No
