"","SMITH","JOHNSON","WILLIAMS","BROWN","JONES","GARCIA","RODRIGUEZ","MILLER","MARTINEZ","DAVIS","HERNANDEZ","LOPEZ","GONZALEZ","WILSON","ANDERSON","THOMAS","TAYLOR","LEE","MOORE","JACKSON","PEREZ","MARTIN","THOMPSON","WHITE","SANCHEZ","HARRIS","RAMIREZ","CLARK","LEWIS","ROBINSON","WALKER","YOUNG","HALL","ALLEN","TORRES","NGUYEN","WRIGHT","FLORES","KING","SCOTT","RIVERA","GREEN","HILL","ADAMS","BAKER","NELSON","MITCHELL","CAMPBELL","GOMEZ","CARTER","ROBERTS","DIAZ","PHILLIPS","EVANS","TURNER","REYES","CRUZ","PARKER","EDWARDS","COLLINS","STEWART","MORRIS","MORALES","ORTIZ","GUTIERREZ","MURPHY","ROGERS","COOK","KIM","MORGAN","COOPER","RAMOS","PETERSON","GONZALES","BELL","REED","BAILEY","CHAVEZ","KELLY","HOWARD","RICHARDSON","WARD","COX","RUIZ","BROOKS","WATSON","WOOD","JAMES","MENDOZA","GRAY","BENNETT","ALVAREZ","CASTILLO","PRICE","HUGHES","VASQUEZ","SANDERS","JIMENEZ","LONG","FOSTER"
"Daniel",12992.3819562103,10307.2650142943,8656.54537120784,7672.28452901367,7595.38249418585,6600.06660776574,6201.53609780949,6059.91711313559,5959.44012460361,5927.27565049213,5467.54369160569,4785.07133023666,4624.09576866836,4306.10059033195,4148.06864315341,3997.33922096802,3968.92802655323,3939.09343619279,3840.47487188342,3789.91339557969,3763.0040755656,3696.07298110213,3530.91879250658,3521.53184213382,3398.2895984121,3326.58515371469,3013.27123034494,2986.28405535017,2836.31595112768,2829.65817108456,2783.21574143305,2592.43741854214,2583.03133906799,2545.9131976743,2503.53217573374,2471.96543453238,2423.42610208477,2410.73970104828,2407.73974173236,2331.08913262588,2304.19588525114,2301.45360733973,2271.70408975086,2252.91590989867,2234.65054807451,2234.60687647126,2036.5542026614,2027.46205542773,2027.10922431121,2015.38898634068,1988.26190967331,1936.79604464505,1911.97665681329,1877.58247924282,1849.18011486391,1795.88826477183,1780.54022460989,1776.70772725126,1753.06477951759,1736.91180090066,1714.80965210054,1701.1501654394,1678.07732561587,1654.89256268742,1644.71649555677,1616.30793819674,1601.8636960332,1589.7778683545,1538.89951157871,1503.78757966156,1482.58034827213,1482.26620458416,1477.9778865808,1470.73406957995,1466.06575168478,1461.58327190774,1450.82662855033,1430.49907257875,1410.38225540655,1404.74350130137,1384.65861341972,1381.81808558838,1366.88958009137,1350.21604833675,1335.00102807219,1334.20193636105,1323.80301344024,1311.44122590034,1304.58168110013,1298.07358492924,1297.8320333569,1296.05352241575,1274.40471437575,1245.81429727028,1242.02216232513,1233.82519092457,1223.46984332596,1219.77488248503,1213.29369905239,1212.33245294338
"Thomas",12446.2774940001,9874.02317792733,8292.68768364329,7349.79794951173,7276.12831229307,6322.6482069264,5940.86899712031,5805.20263604729,5708.94896329926,5678.13644781216,5237.72824918883,4583.94202121204,4429.73269179235,4125.10369884337,3973.7142558505,3829.32039325066,3802.10339710521,3773.52283414166,3679.04947109005,3630.61322847468,3604.8349789436,3540.71717687489,3382.50485926564,3373.51246745053,3255.45042389965,3186.75990823708,2886.61540462435,2860.76257256506,2717.09802770383,2710.72009191114,2666.22976143237,2483.47036022764,2474.45964335828,2438.90167643547,2398.30204187044,2368.06213498519,2321.56304012694,2309.4098823586,2306.53601933314,2233.10723974223,2207.34438727461,2204.71737461703,2176.2183085896,2158.21984604165,2140.72222608573,2140.68039011644,1950.9523983614,1942.24241832325,1941.9044176395,1930.67681252686,1904.68995923536,1855.38734176542,1831.61117899354,1798.66268043009,1771.45414317056,1720.40229165863,1705.69937055545,1702.02796328145,1679.37879169297,1663.9047658447,1642.73162930152,1629.6462872924,1607.5432604582,1585.33301494566,1575.58467505445,1548.37020512131,1534.53309297637,1522.95526486596,1474.21546110984,1440.57937732904,1420.26354243118,1419.96260304019,1415.85453447876,1408.91519442455,1404.44309838017,1400.14902918221,1389.84451623135,1370.37138164757,1351.10012794943,1345.69838571694,1326.45771923612,1323.73658636476,1309.43556576571,1293.46286701636,1278.88737462953,1278.12187087406,1268.16004241586,1256.31785377316,1249.7466339342,1243.51209040142,1243.28069188585,1241.57693650255,1220.83808559836,1193.44939996987,1189.81665856948,1181.96422773689,1172.0441430139,1168.50449123097,1162.29572922228,1161.37488685072
"Matthew",11371.0084854103,9020.97847291889,7576.25901101934,6714.82817977001,6647.52307024355,5776.41679979274,5427.62057245882,5303.67481086948,5215.73676432525,5187.58622893589,4785.22613645006,4187.92234424776,4047.03559363449,3768.72435837602,3630.41387624967,3498.49460660014,3473.62896349789,3447.51755595994,3361.20601313735,3316.95431410154,3293.40312023669,3234.8246358874,3090.28072652185,3082.0652127923,2974.2028820939,2911.44673377222,2637.23256017092,2613.61322717278,2482.36026744589,2476.53333951077,2435.88665413543,2268.91635294382,2260.68409731314,2228.19808341877,2191.10596576624,2163.47856970698,2120.99666277119,2109.89345057181,2107.2678686768,2040.18280840846,2016.64568141134,2014.24562378487,1988.20867243292,1971.76514781636,1955.77919658804,1955.7409749461,1782.40411939179,1774.44661908944,1774.13781923786,1763.88019859038,1740.13842283219,1695.09519750848,1673.37312448224,1643.27113961752,1618.41322461419,1571.77188650985,1558.33919221992,1554.98496817292,1534.29252238386,1520.15534126212,1500.81141168869,1488.85654927365,1468.66306525354,1448.37162547905,1439.46547215931,1414.60213702277,1401.96045201377,1391.38286512086,1346.85383044722,1316.12366279092,1297.56297015627,1297.28802976785,1293.53486883333,1287.19503793388,1283.10929887714,1279.18620642557,1269.77192940509,1251.98113382814,1234.37477807787,1229.43970758862,1211.8612965397,1209.37525001013,1196.30973490649,1181.71696264175,1168.40068814204,1167.70131841456,1158.60012040713,1147.78101183375,1141.77749820614,1136.08157446925,1135.87016712393,1134.31360397243,1115.36644087705,1090.34394103034,1087.02504240309,1079.85100521233,1070.78794458111,1067.55409329678,1061.88172374543,1061.04043554293
"Jennifer",10956.9917876871,8692.52601222627,7300.40856724716,6470.34230216876,6405.48776149217,5566.09833848904,5230.00172899503,5110.56881382348,5025.83257824273,4998.70699958575,4610.99677716204,4035.4407256199,3899.68364027042,3631.50567495971,3498.23105655151,3371.11494754128,3347.15465874047,3321.9939635985,3238.82501098509,3196.18450961279,3173.49081115161,3117.04516055045,2977.76407304527,2969.84768492704,2865.91260536223,2805.44139890154,2541.21132185324,2518.45196519429,2391.97790586329,2386.36313549227,2347.19638977875,2186.30545197922,2178.37293152993,2147.06972848405,2111.3281292206,2084.7066424699,2043.77149533515,2033.07254941126,2030.54256455561,1965.90006117697,1943.219917411,1940.90724551941,1915.81829562497,1899.97347725064,1884.56957208675,1884.53274208901,1717.50705520741,1709.83928628655,1709.54172979081,1699.65758755841,1676.78024626179,1633.37703795391,1612.44586231849,1583.43988616615,1559.48704408535,1514.54391004128,1501.60029811714,1498.36820085996,1478.42916388987,1464.80671539282,1446.16709536707,1434.64750768295,1415.18926535933,1395.63663383551,1387.05475221001,1363.09668734223,1350.91528417084,1340.72282561557,1297.81508635403,1268.20379945046,1250.31889882511,1250.05396897461,1246.4374600616,1240.32846144554,1236.3914835294,1232.61123028015,1223.53972566095,1206.39669025796,1189.43137925548,1184.67599393572,1167.73761017225,1165.3420802205,1152.75227854407,1138.69082690857,1125.85939594771,1125.18549016615,1116.41566540051,1105.9904789326,1100.20555232742,1094.7170163116,1094.51330627573,1093.01341735295,1074.75611759784,1050.64468318289,1047.44662515228,1040.5337935697,1031.80071760418,1028.68461035561,1023.21877092099,1022.4081138946
"Charles",10822.0639352004,8585.48350546518,7210.50903374917,6390.66446644502,6326.60856503613,5497.55564811427,5165.59783826763,5047.63565768022,4963.94289082851,4937.15134510197,4554.21550863313,3985.74703582839,3851.66170604294,3586.78616877496,3455.15273604996,3329.60197489592,3305.936740648,3281.08588224117,3198.94109834005,3156.8256855496,3134.4114444484,3078.66088339056,2941.09494712335,2933.27604390507,2830.62085368905,2770.8943087361,2509.91804418938,2487.43895342618,2362.52233554914,2356.97670723125,2318.29227317684,2159.38259712711,2151.54776023639,2120.63003470522,2085.32856876728,2059.0349074003,2018.60384857749,2008.03665284793,2005.5378230237,1941.6913478186,1919.29049449582,1917.00630157528,1892.22630492238,1876.57660463865,1861.36238802102,1861.32601155949,1696.35713166267,1688.78378606656,1688.48989377535,1678.72746798766,1656.13184548681,1613.26311797453,1592.58969543715,1563.94090802305,1540.28302879387,1495.89333867658,1483.10911847182,1479.91682227961,1460.22332089913,1446.76862352912,1428.35853766293,1416.98080581459,1397.76217842368,1378.45032417095,1369.97412254234,1346.31108484122,1334.27968731026,1324.21274190413,1281.83338207609,1252.58673789825,1234.92207757973,1234.66041015897,1231.08843607729,1225.05466559684,1221.1661688684,1217.43246684988,1208.47267159952,1191.54074094106,1174.78434612877,1170.0875201236,1153.35772095981,1150.99169031939,1138.55692343137,1124.66862894601,1111.99520827277,1111.32960117954,1102.6677708019,1092.37096336804,1086.65727417352,1081.23632572118,1081.03512423493,1079.55370541739,1061.52123180944,1037.70671320213,1034.54803706672,1027.72033227241,1019.09479815857,1016.01706363741,1010.61853227341,1009.8178579333
"Anthony",9709.11804125247,7702.5485429498,6468.97706069518,5733.44567526836,5675.97731140158,4932.18456714905,4634.36544689479,4528.53454970323,4453.44878441596,4429.4124932312,4085.8579494063,3575.85102852318,3455.55509400622,3217.91947542426,3099.82328377773,2987.18421903809,2965.95272806162,2943.65754304487,2869.96056544941,2832.17632054132,2812.06717001702,2762.05002158602,2638.63142771417,2631.61662399891,2539.51853944475,2485.93429908019,2251.79695026936,2231.62961925128,2119.55948221048,2114.58416878841,2079.87805922907,1937.31072531732,1930.28162655562,1902.54349374226,1870.87244634567,1847.28283687031,1811.00972621471,1801.52926561887,1799.28741657107,1742.00694142363,1721.90980187262,1719.86051637335,1697.62890565608,1683.58862754695,1669.93904776899,1669.90641227903,1521.90300575306,1515.10850640431,1514.84483812774,1506.08638457312,1485.8145059934,1447.35441758631,1428.80705906634,1403.1045257596,1381.87963340845,1342.05499887072,1330.585513588,1327.72151456356,1310.05330167058,1297.98229139407,1281.46550699003,1271.25786617229,1254.01569101545,1236.68987648895,1229.08537122577,1207.85585090226,1197.06176767295,1188.03011143361,1150.0090639193,1123.77015770572,1107.92213895273,1107.68738152651,1104.48275085652,1099.06949603015,1095.58089404393,1092.23116761043,1084.1928017098,1069.002158371,1053.96899869347,1049.75519637475,1034.74589723734,1032.6231902459,1021.46722034457,1009.00720427394,997.637123849385,997.039968087233,989.268924218575,980.031045065215,974.904954222211,970.041498532567,969.860988697127,968.531919653165,952.353913693889,930.988490828305,928.154654358987,922.029113778585,914.290633449736,911.529414522875,906.686070538184,905.967737905218
"Patricia",9569.15350947337,7591.51028018081,6375.72169583681,5650.79357071981,5594.15365827431,4861.08326828173,4567.55744362283,4463.2521816033,4389.24883636048,4365.55904711616,4026.95711079513,3524.30233864295,3405.74056412673,3171.53064888337,3055.13690622331,2944.12162171677,2923.19619929162,2901.22241680789,2828.58783879588,2791.34828333586,2771.52902194728,2722.23290983815,2600.59349154443,2593.67981171224,2502.90939309309,2450.09761147108,2219.33553570349,2199.45893253847,2089.00437419294,2084.10078380592,2049.89498996564,1909.3828756993,1902.45510689495,1875.11684096498,1843.90235649213,1820.65280969095,1784.90260430105,1775.55881196105,1773.34928092101,1716.89454863199,1697.08712506913,1695.06738162344,1673.15625696592,1659.31838044912,1645.8655700414,1645.83340501755,1499.96358337624,1493.26703205078,1493.00716475868,1484.37497116358,1464.3953275718,1426.48967142552,1408.20968758778,1382.87767640514,1361.95875748097,1322.70822620397,1311.40408252391,1308.58137028585,1291.16785850314,1279.27086128264,1262.99217924648,1252.93168955632,1235.93807384251,1218.86202448599,1211.36714411501,1190.44366393431,1179.80518585871,1170.90372800931,1133.43078363789,1107.57013178345,1091.95057461832,1091.71920140405,1088.56076799208,1083.22554946869,1079.78723840914,1076.4858009026,1068.56331433465,1053.59165600286,1038.77521108217,1034.62215402023,1019.82922567131,1017.73711916169,1006.74197129355,994.461576101751,983.255404281063,982.666856986364,975.007838794176,965.903130895388,960.850936661906,956.057591490595,955.879683845641,954.569774371648,938.624987023948,917.567563442638,914.774578942869,908.7373428218,901.110418740522,898.389004944529,893.61548155221,892.907504246083
"Linda",9484.2252088873,7524.13398965112,6319.13579112736,5600.64155942134,5544.50433841083,4817.94010618554,4527.01938650711,4423.63985617709,4350.29330657903,4326.81376932198,3991.21699819121,3493.02339551845,3375.51388231397,3143.38263056601,3028.02190746752,2917.9919075468,2897.25220275737,2875.47344233091,2803.48351185938,2766.57446548323,2746.93110431267,2698.07250582717,2577.51266359727,2570.66034416424,2480.6955325812,2428.35246690775,2199.63845431682,2179.93826029045,2070.46400996517,2065.60394000009,2031.7017299552,1892.43669099856,1885.57040763603,1858.47477471055,1827.5373255175,1804.49412345698,1769.06120884796,1759.80034467957,1757.61042370391,1701.65673933606,1682.02511092797,1680.02329314084,1658.30663443887,1644.59157205972,1631.25815824491,1631.22627869258,1486.65108316909,1480.01396518048,1479.75640426662,1471.20082325085,1451.39850330372,1413.82926802852,1395.71152298866,1370.60433886705,1349.87107985863,1310.96890550945,1299.76508854183,1296.96742848348,1279.70846537234,1267.91705656727,1251.78285134399,1241.81165066896,1224.96885695858,1208.04436122183,1200.6159995301,1179.87821974729,1169.33416045835,1160.5117049666,1123.37134105595,1097.7402080625,1082.25927783491,1082.0299581078,1078.89955647334,1073.61168916467,1070.20389385711,1066.93175732025,1059.07958452875,1044.24080289266,1029.5558571152,1025.43965933012,1010.77802140977,1008.7044827965,997.806919236333,985.635515199618,974.528800569983,973.94547675942,966.354434005037,957.330532351901,952.323177431537,947.572374232106,947.39604555586,946.097761810876,930.294487888716,909.423953481847,906.655757321705,900.672102972888,893.11286948726,890.415608825466,885.684451482466,884.982757627577
"Mark",8999.71850725896,7139.75959304575,5996.31936997872,5314.52979918866,5261.26037804492,4571.81306701491,4295.75418741538,4197.65585551253,4128.05625350786,4105.77618093049,3787.32354978758,3314.58043293597,3203.07395586768,2982.80125288381,2873.33379383324,2768.92473512465,2749.24452921246,2728.57834837446,2660.26606188491,2625.24253382218,2606.60266423054,2560.24003329926,2445.8390548902,2439.33678984895,2353.96787863338,2304.29878637831,2087.26875106713,2068.57495195642,1964.69325207886,1960.08146137926,1927.91116381061,1795.76055362289,1789.24503800693,1763.53359993639,1734.1766068307,1712.3105790337,1678.68777375972,1669.90000577512,1667.82195808013,1614.72669751179,1596.09796130819,1594.19840745005,1573.59115583684,1560.57673473197,1547.92446547104,1547.89421450264,1410.70471992758,1404.40666265022,1404.16225937297,1396.04374477508,1377.25303690073,1341.60304604085,1324.41085566644,1300.58628543242,1280.91219601507,1243.99735998452,1233.36589598038,1230.71115587777,1214.33387609936,1203.14483770008,1187.83485695313,1178.37304038106,1162.39066976767,1146.3307709195,1139.28189104547,1119.6035117999,1109.59810140167,1101.22634575269,1065.98331713505,1041.66156423666,1026.97148558393,1026.75388077735,1023.78339737947,1018.76566359166,1015.53195732437,1012.42697962714,1004.97593926934,990.895204704933,976.960447212276,973.054527585739,959.141887255892,957.174276468261,946.833420752966,935.283799381058,924.744477190195,924.190952787513,916.987702499656,908.424791673866,903.673240149448,899.16513426451,898.997813432705,897.765853205057,882.769897957256,862.965545928386,860.338764545041,854.66078836902,847.487722356463,844.928252693712,840.438789046154,839.772941595973
"Elizabeth",8925.38785317908,7080.79074862065,5946.79444978451,5270.63592897683,5217.8064716956,4534.05345760846,4260.27460899752,4162.98649278848,4093.96172920087,4071.86567264203,3756.04321180359,3287.20458430451,3176.61906374924,2958.1656414546,2849.60229821888,2746.05557688445,2726.53791412032,2706.04241981411,2638.29433951971,2603.5600784765,2585.0741596665,2539.09444789866,2425.63833232566,2419.18977092115,2334.52594031489,2285.26707601439,2070.02953948711,2051.49013657379,1948.46641849784,1943.8927175917,1911.98812158453,1780.92897234466,1774.46726980485,1748.96818815497,1719.85366091058,1698.16822944523,1664.82312231326,1656.10793443676,1654.04704979462,1601.39031465832,1582.91543728325,1581.03157225812,1560.59452046726,1547.68758832801,1535.13981694099,1535.10981582199,1399.05339944892,1392.80735921148,1392.56497451464,1384.51351251398,1365.87800122781,1330.52245148144,1313.47225518768,1289.84445731796,1270.3328605312,1233.72291224855,1223.17925584334,1220.54644182299,1204.30442559944,1193.20779992863,1178.02426767914,1168.64059833068,1152.79022963052,1136.86297301831,1129.87231139312,1110.35646020878,1100.43368669509,1092.13107521687,1057.17912652209,1033.05825232895,1018.48950226598,1018.27369470535,1015.32774518302,1010.3514539619,1007.14445558572,1004.06512258204,996.675622004955,982.711183323495,968.891516057053,965.017856279576,951.220123505433,949.268763647951,939.013315333837,927.55908482446,917.10680921304,916.557856490113,909.41409943029,900.921911567891,896.20960415232,891.738731705164,891.572792812901,890.351007615666,875.478907259684,855.838123728957,853.233037510654,847.601956988388,840.488134905299,837.949804465288,833.497420285174,832.837072215496
"Joshua",8875.93526349233,7041.558454707,5913.84525018509,5241.43309765212,5188.89635072896,4508.9317834644,4236.66985190939,4139.92077662176,4071.27845616918,4049.30482647141,3735.23223228601,3268.99128285497,3159.01847969229,2941.77543476569,2833.8136047142,2730.84060113947,2711.43107921854,2691.04914359314,2623.67643275853,2589.13462264157,2570.7511281265,2525.0261745672,2412.19868139394,2405.78584931195,2321.59111268179,2272.60517527755,2058.56019797057,2040.12351568971,1937.67061758728,1933.12225802854,1901.39443471982,1771.06144040326,1764.63553999661,1739.27774023194,1710.32452684791,1688.75924710729,1655.59889406424,1646.93199412964,1644.8825281602,1592.5175463863,1574.14503212927,1572.27160497033,1551.94778804985,1539.11236890585,1526.63412052446,1526.60428563163,1391.3017123681,1385.0902793511,1384.84923762683,1376.84238608492,1358.31012793557,1323.15047146842,1306.1947446112,1282.69786046898,1263.29437091587,1226.88726611527,1216.4020285847,1213.78380210649,1197.63177746394,1186.59663448556,1171.49722911131,1162.16555153706,1146.40300442993,1130.56399542097,1123.61206671436,1104.20434633586,1094.3365515923,1086.07994210811,1051.32165047407,1027.33442197947,1012.8463924892,1012.6317806461,1009.70215364503,1004.75343438963,1001.56420491912,998.501933469972,991.153375644732,977.266309248676,963.523212137636,959.671015013738,945.949730863309,944.009182838315,933.810556534166,922.419790086058,912.025427038843,911.479515879399,904.375339988766,895.930204499754,891.244006403906,886.797905566041,886.632886085694,885.417870391705,870.628171370969,851.09621085444,848.505558547802,842.905677959829,835.831271186233,833.307004786442,828.879289778313,828.222600476487
"Steven",8728.69325810021,6924.74674335739,5815.74106078237,5154.48348642622,5102.81826636125,4434.13356352872,4166.38815801902,4071.24404349804,4003.74042365764,3982.13131231274,3673.26883708762,3214.76231229491,3106.61383700254,2892.97461529489,2786.80375328121,2685.53895859912,2666.45141930273,2646.40759757588,2580.15252592605,2546.18372645422,2528.10519389731,2483.13876703505,2372.18295790015,2365.87650765038,2283.07846911421,2234.90515454298,2024.41094802997,2006.28011003382,1905.5267928462,1901.05388557083,1869.85239196055,1741.68147869599,1735.36217691069,1710.42503515883,1681.95212374576,1660.74458828127,1628.13432902964,1619.6112034342,1617.59573585145,1566.09943154082,1548.03169709155,1546.18934802901,1526.20268088168,1513.58018722651,1501.30893926377,1501.279599299,1368.22154693729,1362.1131547635,1361.87611165636,1354.00208497661,1335.77725661053,1301.20086018003,1284.52641018561,1261.41931351241,1242.33770651349,1206.53455554562,1196.22325657534,1193.64846359521,1177.76438327953,1166.91230118811,1152.0633783446,1142.88650303951,1127.38543925524,1111.809181988,1104.97257813379,1085.88681049421,1076.1827116141,1068.06307020168,1033.88138040308,1010.29207365108,996.044384637959,995.833332969334,992.952305258581,988.085679813656,984.94935615295,981.937884419644,974.711231087711,961.054535851929,947.539421609044,943.751128199274,930.25746506397,928.349108596742,918.319666287821,907.117860128965,896.895928134299,896.359073040667,889.372747615787,881.067707637648,876.459248414922,872.086903500699,871.924621512063,870.729761592318,856.185407414498,836.977460644162,834.42978441042,828.922799683363,821.965749538604,819.483357942517,815.129093857333,814.483298308881
"Andrew",8569.89079483533,6798.76375738064,5709.93438630611,5060.70717303097,5009.98190628648,4353.46268742932,4090.58841539465,3997.1752724297,3930.89975636073,3909.68378291278,3606.4404903563,3156.2756455158,3050.09473212153,2840.34228173852,2736.10300259941,2636.68053395193,2617.94025720312,2598.26109581768,2533.2114129094,2499.86061304768,2482.11098602306,2437.96264030293,2329.02546732389,2322.83375129659,2241.54207025108,2194.24518022489,1987.58052728981,1969.77954642689,1870.8592498849,1866.46771890175,1835.83387887905,1709.99479881603,1703.79046506317,1679.30700857895,1651.35210923654,1630.53040573703,1598.51342996367,1590.14536690729,1588.16656703726,1537.60714293672,1519.8681175681,1518.05928664633,1498.43624001832,1486.04338933785,1473.99539408272,1473.96658790446,1343.32928121996,1337.3320199675,1337.09928942218,1329.36851612476,1311.47525487321,1277.52791215803,1261.1568230052,1238.47011730715,1219.73566492862,1184.58388621066,1174.46018229356,1171.9322329194,1156.33713412779,1145.68248564031,1131.10371154126,1122.09379254457,1106.87474200551,1091.58186599011,1084.86964152469,1066.13110420068,1056.60355348882,1048.63163396546,1015.07181692353,991.911674069062,977.923195460544,977.715983487492,974.887370758417,970.109284581123,967.030020540705,964.073336977306,956.9781592645,943.569922392344,930.300690708235,926.581318304995,913.333147465158,911.459510021593,901.612534904122,890.614524933131,880.578562124468,880.05147411839,873.192251989941,865.038306885575,860.513690072565,856.220891904011,856.061562336634,854.888440687773,840.608694189675,821.750200558681,819.248874591761,813.84207928756,807.011599829544,804.574370766793,800.299324479965,799.66527798957
"Kevin",8330.61610705919,6608.93962609867,5550.51079501263,4919.41025831612,4870.1012607696,4231.91231412614,3976.37759411977,3885.57258247786,3821.14750462267,3800.52388941406,3505.74726765698,3068.15120056122,2964.93489961166,2761.03881931284,2659.70994143405,2563.06338682247,2544.84634589723,2525.71663435997,2462.48316392632,2430.06353138226,2412.80948085519,2369.89377413723,2263.99816944368,2257.97932853868,2178.9573428798,2132.98100043873,1932.08650508083,1914.78253453461,1818.62413118781,1814.3552134596,1784.57668217798,1662.25107822719,1656.21997188843,1632.42010304217,1605.24571537395,1585.00536194332,1553.88231259972,1545.74788912208,1543.82433811488,1494.67655282112,1477.43280794768,1475.67448028954,1456.59931676384,1444.55247929966,1432.84086876308,1432.81286686453,1305.82300464778,1299.99318926459,1299.76695664672,1292.25202954983,1274.85835511936,1241.85883543057,1225.94483346116,1203.89154941953,1185.68017024587,1151.50984287646,1141.66879671451,1139.21142867117,1124.05175110994,1113.69458455675,1099.52285550695,1090.76449695676,1075.97036823446,1061.10447527187,1054.57965872701,1036.36430866114,1027.10277087481,1019.3534304485,986.730616565284,964.217113916976,950.61919907778,950.417772543696,947.668135783369,943.023455632548,940.030165843084,937.156034035994,930.258956447517,917.225082769482,904.326333200519,900.710807122957,887.832530371294,886.011205614676,876.439161876516,865.748220626115,855.992465806687,855.480094302965,848.812384327059,840.886100544839,836.487812794959,832.31487122272,832.159990198901,831.019622563245,817.138572147355,798.806615001307,796.375127029303,791.119291555193,784.479521743169,782.110341064813,777.954655734851,777.338312069342
"Brian",8202.58977101461,6507.37230927653,5465.20959386146,4843.8079183717,4795.25670995011,4166.87556041228,3915.26794177682,3825.85843711611,3762.42345489864,3742.11678694305,3451.87034282832,3020.99932708745,2919.36927194022,2718.60670154739,2618.83506322971,2523.67378943281,2505.73671111457,2486.90098826269,2424.63930063969,2392.71789856468,2375.72901124313,2333.47284046096,2229.20465756887,2223.2783152424,2145.47075300202,2100.20098287106,1902.39386854737,1885.35582838608,1790.67520386166,1786.47189159271,1757.1510018833,1636.70531877835,1630.76689951542,1607.33279113244,1580.57602411108,1560.64672790079,1530.00198291342,1521.99257064986,1520.09858110421,1471.70610739785,1454.72736735088,1452.99606197353,1434.21404883002,1422.35234922859,1410.82072472988,1410.79315316931,1285.75489291879,1280.01467113753,1279.7919153013,1272.39247889195,1255.26611343108,1222.77373601637,1207.10430315658,1185.38993776363,1167.4584341862,1133.81324226396,1124.12343498599,1121.70383219588,1106.7771311575,1096.57913531492,1082.62519982593,1074.00144123096,1059.4346712143,1044.79723984249,1038.37269779652,1020.43728435224,1011.31807946587,1003.68783223132,971.566371342795,949.398860061577,936.009920308058,935.81158933147,933.104209460113,928.53090954986,925.583621150875,922.753659493968,915.962577375901,903.129010502311,890.428491127327,886.868529074159,874.18816788671,872.394833561093,862.96989463157,852.443253598532,842.837426891121,842.33292960048,835.767690134204,827.963218839565,823.632524729609,819.523713638616,819.371212852916,818.248370582521,804.580646528375,786.530418041501,784.136297593362,778.961234699569,772.423506007949,770.090735304291,765.998915258686,765.392043668258
"Barbara",8109.48804018202,6433.51177960496,5403.17790792376,4788.82931848918,4740.8291801155,4119.58033565177,3870.82853517126,3782.43385386136,3719.71887676479,3699.6426952759,3412.69063099357,2986.71012403723,2886.2335989705,2687.74974094923,2589.11053915155,2495.02937292386,2477.29588555483,2458.67395352365,2397.11895379363,2365.55986872663,2348.76381011634,2306.9872589114,2203.90254960132,2198.04347294868,2121.11904870723,2076.36310336469,1880.80115614415,1863.95650259286,1770.35053013146,1766.1949266543,1737.20683739666,1618.12824711012,1612.2572305977,1589.08910602128,1562.63603592866,1542.93294290825,1512.63602450722,1504.71752135475,1502.84502913004,1455.00182378734,1438.21579727718,1436.50414270911,1417.93531076581,1406.20824483428,1394.80750755901,1394.78024894351,1271.16120857044,1265.48613994179,1265.26591244777,1257.95046174978,1241.01848541622,1208.8949057423,1193.40332540972,1171.93542425043,1154.20744834732,1120.94413893897,1111.36431373425,1108.97217412516,1094.21489539621,1084.13264971186,1070.33709536617,1061.81121888818,1047.4097858613,1032.9384935058,1026.58687184241,1008.85503045055,999.839331137711,992.295689383148,960.538816227166,938.622912514552,925.385941041767,925.189861178268,922.513210839787,917.991819186456,915.077983350487,912.280142564647,905.566141163411,892.87823893014,880.321874068462,876.802318598837,864.265883123522,862.492903653424,853.174940465932,842.767779807676,833.270981970111,832.772210867451,826.281488739565,818.565600417627,814.284060919641,810.221886005138,810.071116146803,808.961018456077,795.448426963903,777.603073712895,775.236127213932,770.119802758368,763.656279150007,761.349986058446,757.304609336125,756.704625911147
"Jessica",8037.01426617767,6376.0160565138,5354.89018708814,4746.03197640619,4698.46081100385,4082.7640122588,3836.23528451504,3748.63057861724,3686.47607969812,3666.57931725923,3382.19171807677,2960.01816105838,2860.4395857678,2663.72956034835,2565.97188833205,2472.73151712685,2455.15651235864,2436.70100287927,2375.69611471206,2344.41907038395,2327.77311665696,2286.36991877787,2184.20646835476,2178.39975374953,2102.16279625201,2057.80683081597,1863.99260334007,1847.29848896074,1754.52906475739,1750.41059953923,1721.6815742594,1603.66717875291,1597.84863099335,1574.88755788755,1548.67089653173,1529.14388830282,1499.11773076935,1491.26999457591,1489.41423664782,1441.99860177992,1425.36259049707,1423.66623283377,1405.26334889152,1393.64108670614,1382.34223680683,1382.31522179916,1259.80095380509,1254.17660276049,1253.95834342001,1246.70827025486,1229.92761348921,1198.09111939233,1182.73798593659,1161.46194150232,1143.89239894455,1110.9263607766,1101.43214961846,1099.0613883485,1084.43599410821,1074.44385255764,1060.77158785526,1052.32190637773,1038.04917767811,1023.70721397646,1017.41235619147,999.838982690476,990.90385588126,983.427630982727,951.954566180219,930.234522951632,917.11584911666,916.921521601477,914.268792249224,909.787807871327,906.9000127273,904.127175995946,897.473177028625,884.898665450164,872.454515705493,868.966414190352,856.542015724889,854.784881214768,845.550191836287,835.236039048052,825.824113248874,825.329799619237,818.897084498241,811.250152384601,807.00687662465,802.981005006392,802.831582564884,801.731405718576,788.339575055836,770.65370414109,768.307910832661,763.237310514119,756.831550841896,754.545868886756,750.53664533673,749.942023910306
