"","FirstName","Surname","Adjustment","cleanName","Estimate","finalEstimate"
"46","Linda","Smith",27.5,"linda smith",9484.2252088873,12092.3871413313
"47","James","Wilson",40.9,"james wilson",8563.53625629429,12066.0225851187
"48","Robert","Davis",7.2,"robert davis",10951.4584671848,11739.9634768221
"49","Mary","Brown",13.1,"mary brown",10211.9664062989,11549.7340055241
"50","Mary","Jones",12.2,"mary jones",10109.6082373249,11342.9804422785
"51","Patricia","Smith",17.1,"patricia smith",9569.15350947337,11205.4787595933
"52","James","Moore",43,"james moore",7637.54703747539,10921.6922635898
"53","James","Taylor",37.4,"james taylor",7893.00164755117,10844.9842637353
"54","William","Miller",22.5,"william miller",8827.23905332794,10813.3678403267
"55","John","Davis",-3.8,"john davis",11160.9393287173,10736.8236342261
"56","Charles","Johnson",24.8,"charles johnson",8585.48350546518,10714.6834148205
"57","William","Davis",23.1,"william davis",8634.02553616631,10628.4854350207
"58","John","Jones",-26.5,"john jones",14301.9505409659,10511.9336476099
"59","Richard","Johnson",-2,"richard johnson",10724.8044675803,10510.3083782287
"60","James","Anderson",24,"james anderson",8249.25834268617,10229.0803449309
"61","Robert","Taylor",39.2,"robert taylor",7333.14139666078,10207.7328241518
"62","Barbara","Smith",24,"barbara smith",8109.48804018202,10055.7651698257
"63","Michael","Moore",15.7,"michael moore",8653.79482018299,10012.4406069517
"64","James","Martin",35.9,"james martin",7350.37519807168,9989.15989417942
"65","Michael","Wilson",2.6,"michael wilson",9702.9956520785,9955.27353903254
"66","James","Thomas",24.8,"james thomas",7949.50295037765,9920.97968207131
"67","Joseph","Smith",-27.6,"joseph smith",13681.479396881,9905.39108334182
"68","James","White",41,"james white",7003.26547770753,9874.60432356762
"69","Mary","Miller",21.5,"mary miller",8065.87265504504,9800.03527587973
"70","Robert","Anderson",27,"robert anderson",7664.12836911917,9733.44302878135
"71","Robert","Wilson",22,"robert wilson",7956.11416631597,9706.45928290549
"72","Charles","Williams",33.3,"charles williams",7210.50903374917,9611.60854198764
"73","Jennifer","Johnson",10.3,"jennifer johnson",8692.52601222627,9587.85619148557
"74","Michael","Anderson",2.4,"michael anderson",9346.9000931857,9571.22569542216
"75","John","Brown",-34.3,"john brown",14446.7555062786,9491.51836762503
"76","Michael","Martin",13,"michael martin",8328.41205472958,9411.10562184442
"77","James","Thompson",33.6,"james thompson",7021.93329286115,9381.30287926249
"78","Mark","Smith",4.1,"mark smith",8999.71850725896,9368.70696605657
"79","Michael","Thomas",2.9,"michael thomas",9007.25941424085,9268.46993725383
"80","David","Anderson",28.1,"david anderson",7219.88334228401,9248.67056146581
"81","Linda","Johnson",22.9,"linda johnson",7524.13398965112,9247.16067328123
"82","Elizabeth","Smith",1.7,"elizabeth smith",8925.38785317908,9077.11944668312
"83","Mary","Davis",14.8,"mary davis",7889.3241764954,9056.94415461672
"84","James","Jackson",19.8,"james jackson",7536.99549985668,9029.3206088283
"85","Michael","Taylor",0.6,"michael taylor",8943.24007932425,8996.89951980019
"86","Charles","Brown",39.9,"charles brown",6390.66446644502,8940.53958855659
"87","Daniel","Garcia",35.1,"daniel garcia",6600.06660776574,8916.68998709151
"88","James","Lee",12.2,"james lee",7833.66963918681,8789.3773351676
"89","Michael","Thompson",6.7,"michael thompson",7956.26785134913,8489.33779738953
"90","Daniel","Johnson",-17.8,"daniel johnson",10307.2650142943,8472.57184174991
"91","David","Wilson",12.6,"david wilson",7494.94441796468,8439.30741462823
"92","Thomas","Johnson",-15,"thomas johnson",9874.02317792733,8392.91970123823
"93","John","Anderson",6.9,"john anderson",7810.72877110855,8349.66905631504
"94","Robert","Moore",17.2,"robert moore",7095.80649420378,8316.28521120682
"95","John","Wilson",2.5,"john wilson",8108.29970900011,8311.00720172512
"96","Richard","Brown",3.9,"richard brown",7983.0829302633,8294.42316454356
"97","Charles","Jones",30.5,"charles jones",6326.60856503613,8256.22417737215
"98","Mark","Johnson",14.7,"mark johnson",7139.75959304575,8189.30425322347
"99","Robert","Lee",12.1,"robert lee",7278.01788014427,8158.65804364172
"100","Patricia","Johnson",7.1,"patricia johnson",7591.51028018081,8130.50751007365
"101","Michael","Lee",-9.8,"michael lee",8876.01338675723,8006.16407485502
"102","David","Garcia",-30.5,"david garcia",11487.6862122386,7983.94191750583
"103","Robert","Martin",16.8,"robert martin",6829.00410424863,7976.2767937624
"104","Jennifer","Jones",24,"jennifer jones",6405.48776149217,7942.80482425029
"105","Daniel","Martinez",33.2,"daniel martinez",5959.44012460361,7937.97424597201
"106","John","Thomas",5.1,"john thomas",7526.90833904815,7910.78066433961
"107","John","Martin",13.4,"john martin",6959.63014528727,7892.22058475577
"108","Richard","Miller",24.1,"richard miller",6305.39973872715,7825.00107576039
"109","Michael","White",-1.7,"michael white",7935.11610704068,7800.21913322099
"110","Robert","Thomas",4.8,"robert thomas",7385.63499304191,7740.14547270793
"111","Barbara","Johnson",20.3,"barbara johnson",6433.51177960496,7739.51467086477
"112","Susan","Smith",3.9,"susan smith",7437.80420257453,7727.87856647493
"113","Robert","Thompson",18,"robert thompson",6523.85898467999,7698.15360192238
"114","Daniel","Rodriguez",24,"daniel rodriguez",6201.53609780949,7689.90476128376
"115","Robert","White",18.1,"robert white",6506.51530046441,7684.19456984847
"116","William","Wilson",21.5,"william wilson",6272.52462185389,7621.11741555248
"117","David","Lee",10.1,"david lee",6856.15343675902,7548.62493387168
"118","Richard","Jones",-4.6,"richard jones",7903.06565259133,7539.52463257213
"119","John","Taylor",0.4,"john taylor",7473.41063861751,7503.30428117198
"120","John","Moore",3.6,"john moore",7231.53596458694,7491.87125931207
"121","Thomas","Brown",1.8,"thomas brown",7349.79794951173,7482.09431260294
"122","Richard","Williams",-17,"richard williams",9007.21542932964,7475.9888063436
"123","William","Taylor",29.2,"william taylor",5781.37882445565,7469.5414411967
"124","David","Martin",15.8,"david martin",6433.16638266594,7449.60667112716
"125","David","Martinez",-28.5,"david martinez",10372.6495837965,7416.44445241449
"126","William","Moore",31.9,"william moore",5594.26624811913,7378.83718126914
"127","David","Rodriguez",-31.7,"david rodriguez",10794.0275393104,7372.32080934897
"128","Thomas","Williams",-11.5,"thomas williams",8292.68768364329,7339.02860002431
"129","Linda","Williams",15.3,"linda williams",6319.13579112736,7285.96356716985
"130","David","Moore",8.8,"david moore",6684.50378701844,7272.74012027606
"131","Daniel","Miller",19.9,"daniel miller",6059.91711313559,7265.84061864957
"132","William","Martin",33.3,"william martin",5383.92178533498,7176.76773985153
"133","Joseph","Johnson",-33.9,"joseph johnson",10853.9476753801,7174.45941342625
"134","David","White",16.2,"david white",6129.37038260202,7122.32838458355
"135","Michael","Jackson",-16.8,"michael jackson",8539.86395060711,7105.16680690511
"136","Charles","Davis",43.6,"charles davis",4937.15134510197,7089.74933156643
"137","William","White",38.2,"william white",5129.67468433525,7089.21041375131
"138","Patricia","Williams",10.6,"patricia williams",6375.72169583681,7051.54819559552
"139","Thomas","Jones",-3.5,"thomas jones",7276.12831229307,7021.46382136281
"140","David","Thomas",0.9,"david thomas",6957.53261040193,7020.15040389554
"141","William","Thomas",19.8,"william thomas",5822.76427580882,6975.67160241897
"142","Jennifer","Brown",6.5,"jennifer brown",6470.34230216876,6890.91455180973
"143","John","Thompson",3.6,"john thompson",6648.64817186658,6887.99950605378
"144","Charles","Miller",36.3,"charles miller",5047.63565768022,6879.92740141814
"145","Robert","Jackson",-1.8,"robert jackson",7002.38720000681,6876.34423040669
"146","David","Thompson",11,"david thompson",6145.7087541338,6821.73671708852
"147","Elizabeth","Johnson",-3.7,"elizabeth johnson",7080.79074862065,6818.80149092169
"148","Mary","Wilson",18.9,"mary wilson",5731.50727196336,6814.76214636444
"149","David","Taylor",-1.5,"david taylor",6908.08176304715,6804.46053660144
"150","John","Lee",-8.3,"john lee",7417.2327126116,6801.60239746484
"151","Jennifer","Williams",-7.4,"jennifer williams",7300.40856724716,6760.17833327087
"152","John","White",1.7,"john white",6630.97273549922,6743.69927200271
"153","Michael","Garcia",-54.7,"michael garcia",14872.0208121387,6737.02542789882
"154","Linda","Jones",21.1,"linda jones",5544.50433841083,6714.39475381551
"155","Joseph","Williams",-26.4,"joseph williams",9115.67621268508,6709.13769253622
"156","Linda","Brown",19.3,"linda brown",5600.64155942134,6681.56538038965
"157","William","Thompson",29.3,"william thompson",5143.34827976158,6650.34932573172
"158","Thomas","Miller",12.9,"thomas miller",5805.20263604729,6554.07377609739
"159","Mary","Anderson",18.2,"mary anderson",5521.16354323349,6526.01530810198
"160","Patricia","Brown",15.2,"patricia brown",5650.79357071981,6509.71419346922
"161","Richard","Davis",5.2,"richard davis",6167.38507148302,6488.08909520013
"162","Daniel","Brown",-15.5,"daniel brown",7672.28452901367,6483.08042701655
"163","William","Anderson",7,"william anderson",6042.32580068783,6465.28860673598
"164","Jennifer","Miller",24.9,"jennifer miller",5110.56881382348,6383.10044846552
"165","Mary","Thomas",18.9,"mary thomas",5320.53962346393,6326.12161229861
"166","Mary","Moore",22.8,"mary moore",5111.74999149184,6277.22898955198
"167","Patricia","Jones",11.2,"patricia jones",5594.15365827431,6220.69886800103
"168","Mary","Martin",26.2,"mary martin",4919.54814442946,6208.46975826998
"169","Barbara","Williams",14.8,"barbara williams",5403.17790792376,6202.84823829648
"170","Daniel","Williams",-28.7,"daniel williams",8656.54537120784,6172.11684967119
"171","Joseph","Brown",-23.9,"joseph brown",8079.21157679132,6148.28000993819
"172","Mary","Taylor",16,"mary taylor",5282.72374713277,6127.95954667401
"173","Michael","Martinez",-54.4,"michael martinez",13428.4883515444,6123.39068830423
"174","Barbara","Brown",26.7,"barbara brown",4788.82931848918,6067.44674652579
"175","William","Jackson",9.6,"william jackson",5520.61536645035,6050.59444162959
"176","Mark","Miller",42.1,"mark miller",4197.65585551253,5964.8689706833
"177","Linda","Miller",34,"linda miller",4423.63985617709,5927.6774072773
"178","Joseph","Miller",-8.9,"joseph miller",6381.3264888307,5813.38843132476
"179","Mary","White",22.5,"mary white",4687.23034639666,5741.85717433591
"180","David","Davis",-44.7,"david davis",10316.6659994279,5705.11629768361
"181","Daniel","Jones",-25.1,"daniel jones",7595.38249418585,5688.9414881452
"182","David","Jackson",-15.4,"david jackson",6596.49946695273,5580.63854904201
"183","Mary","Thompson",18.5,"mary thompson",4699.72456783771,5569.17361288769
"184","Mark","Williams",-7.3,"mark williams",5996.31936997872,5558.58805597028
"185","Susan","Johnson",-6.5,"susan johnson",5900.64387721626,5517.1020251972
"186","Barbara","Jones",16.2,"barbara jones",4740.8291801155,5508.84350729421
"187","Mary","Jackson",8.7,"mary jackson",5044.45164045781,5483.31893317764
"188","Jennifer","Davis",8.7,"jennifer davis",4998.70699958575,5433.59450854971
"189","Patricia","Miller",20.9,"patricia miller",4463.2521816033,5396.07188755839
"190","Linda","Davis",24.4,"linda davis",4326.81376932198,5382.55632903655
"191","Thomas","Davis",-5.9,"thomas davis",5678.13644781216,5343.12639739124
"192","Richard","Anderson",22.9,"richard anderson",4316.10374374053,5304.49150105711
"193","Elizabeth","Garcia",16.3,"elizabeth garcia",4534.05345760846,5273.10417119864
"194","Charles","Wilson",45.7,"charles wilson",3586.78616877496,5225.94744790512
"195","Elizabeth","Rodriguez",22.5,"elizabeth rodriguez",4260.27460899752,5218.83639602196
"196","Robert","Garcia",-57.4,"robert garcia",12194.5324627509,5194.8708291319
"197","John","Jackson",-27.7,"john jackson",7136.32973449548,5159.56639804023
"198","William","Williams",-59.1,"william williams",12609.6436537054,5157.34425436552
"199","Michael","Rodriguez",-63.2,"michael rodriguez",13974.0065358331,5142.43440518657
"200","Barbara","Miller",35.5,"barbara miller",3782.43385386136,5125.19787198214
"201","Elizabeth","Williams",-13.9,"elizabeth williams",5946.79444978451,5120.19002126446
"202","Elizabeth","Brown",-3.4,"elizabeth brown",5270.63592897683,5091.43430739161
"203","William","Lee",-11.4,"william lee",5737.91996911935,5083.79709263975
"204","Mary","Garcia",-42.4,"mary garcia",8784.82259396911,5060.05781412621
"205","Elizabeth","Martinez",23.4,"elizabeth martinez",4093.96172920087,5051.94877383388
"206","Robert","Martinez",-55.1,"robert martinez",11010.8867649595,4943.88815746683
"207","Elizabeth","Jones",-5.5,"elizabeth jones",5217.8064716956,4930.82711575234
"208","Patricia","Davis",11.8,"patricia davis",4365.55904711616,4880.69501467587
"209","Joseph","Jones",-39,"joseph jones",7998.23076752777,4878.92076819194
"210","Thomas","Moore",32.2,"thomas moore",3679.04947109005,4863.70340078104
"211","Daniel","Taylor",21.3,"daniel taylor",3968.92802655323,4814.30969620907
"212","Charles","Moore",49,"charles moore",3198.94109834005,4766.42223652668
"213","Elizabeth","Miller",13.3,"elizabeth miller",4162.98649278848,4716.66369632935
"214","Charles","Taylor",41.2,"charles taylor",3305.936740648,4667.98267779497
"215","Mary","Martinez",-41.3,"mary martinez",7932.13574427036,4656.1636818867
"216","Daniel","Davis",-22.2,"daniel davis",5927.27565049213,4611.42045608288
"217","Barbara","Davis",24.2,"barbara davis",3699.6426952759,4594.95622753267
"218","Susan","Miller",32.1,"susan miller",3469.14654474029,4582.74258560192
"219","Joseph","Davis",-26.7,"joseph davis",6241.64991186082,4575.12938539398
"220","Mark","Brown",-14,"mark brown",5314.52979918866,4570.49562730225
"221","Charles","Thomas",37,"charles thomas",3329.60197489592,4561.55470560742
"222","Richard","Wilson",1.7,"richard wilson",4480.53744470489,4556.70658126487
"223","Thomas","Wilson",9.7,"thomas wilson",4125.10369884337,4525.23875763118
"224","Robert","Rodriguez",-61,"robert rodriguez",11458.1924331912,4468.69504894458
"225","Mark","Davis",7.3,"mark davis",4105.77618093049,4405.49784213841
"226","Mary","Lee",-16.4,"mary lee",5243.01330191213,4383.15912039854
"227","Mark","Jones",-16.7,"mark jones",5261.26037804492,4382.62989491142
"228","Charles","Anderson",25.7,"charles anderson",3455.15273604996,4343.1269892148
"229","Richard","Taylor",5,"richard taylor",4129.70627723761,4336.19159109949
"230","Richard","Martin",12.6,"richard martin",3845.79808176601,4330.36864006853
"231","Thomas","Martin",22.1,"thomas martin",3540.71717687489,4323.21567296424
"232","Richard","Moore",7.3,"richard moore",3996.04958313233,4287.76120270099
"233","Charles","White",43.4,"charles white",2933.27604390507,4206.31784695987
"234","Mark","Anderson",45.9,"mark anderson",2873.33379383324,4192.19400520269
"235","Susan","Brown",-4.6,"susan brown",4392.18538260172,4190.14485500204
"236","John","Garcia",-66.4,"john garcia",12427.7909984919,4175.73777549329
"237","Jennifer","Wilson",14.8,"jennifer wilson",3631.50567495971,4168.96851485375
"238","Richard","White",12.2,"richard white",3664.18641422978,4111.21715676581
"239","Jennifer","Anderson",17.3,"jennifer anderson",3498.23105655151,4103.42502933492
"240","Thomas","Anderson",3,"thomas anderson",3973.7142558505,4092.92568352602
"241","John","Martinez",-63.6,"john martinez",11221.5043783736,4084.62759372798
"242","Patricia","Garcia",-16,"patricia garcia",4861.08326828173,4083.30994535665
"243","Daniel","Martin",10.3,"daniel martin",3696.07298110213,4076.76849815565
"244","Charles","Jackson",29,"charles jackson",3156.8256855496,4072.30513435898
"245","Jennifer","Lee",22.5,"jennifer lee",3321.9939635985,4069.44260540816
"246","Richard","Thomas",-2.3,"richard thomas",4159.26838749347,4063.60521458112
"247","Charles","Thompson",38.1,"charles thompson",2941.09494712335,4061.65212197735
"248","Richard","Thompson",8.4,"richard thompson",3673.95362281082,3982.56572712693
"249","Charles","Martin",29.3,"charles martin",3078.66088339056,3980.70852222399
"250","Elizabeth","Davis",-2.4,"elizabeth davis",4071.86567264203,3974.14089649862
"251","Thomas","Taylor",4.3,"thomas taylor",3802.10339710521,3965.59384318073
"252","Linda","Wilson",24.4,"linda wilson",3143.38263056601,3910.36799242412
"253","Richard","Garcia",-43.2,"richard garcia",6867.43027787957,3900.70039783559
"254","Joseph","Martin",0.1,"joseph martin",3892.10742962694,3895.99953705657
"255","Joseph","Thomas",-7.5,"joseph thomas",4209.35240191863,3893.65097177473
"256","Daniel","Lee",-1.3,"daniel lee",3939.09343619279,3887.88522152229
"257","Jennifer","Taylor",14.9,"jennifer taylor",3347.15465874047,3845.88070289281
"258","Richard","Lee",-6.6,"richard lee",4098.66311035072,3828.15134506757
"259","Thomas","White",13.2,"thomas white",3373.51246745053,3818.816113154
"260","Jennifer","Martin",22.5,"jennifer martin",3117.04516055045,3818.3803216743
"261","Linda","Anderson",25.8,"linda anderson",3028.02190746752,3809.25155959413
"262","Mary","Rodriguez",-54,"mary rodriguez",8254.37039760334,3797.01038289754
"263","Joseph","Garcia",-45.8,"joseph garcia",6950.12474360226,3766.96761103243
"264","Susan","Williams",-24.2,"susan williams",4955.6493765926,3756.38222745719
"265","Joseph","Martinez",-40.3,"joseph martinez",6275.52034388405,3746.48564529878
"266","Jennifer","Garcia",-32.9,"jennifer garcia",5566.09833848904,3734.85198512614
"267","Linda","Taylor",28.6,"linda taylor",2897.25220275737,3725.86633274598
"268","Daniel","Wilson",-13.9,"daniel wilson",4306.10059033195,3707.55260827581
"269","Patricia","Martinez",-16.9,"patricia martinez",4389.24883636048,3647.46578301555
"270","Mark","Wilson",22,"mark wilson",2982.80125288381,3639.01752851825
"271","Linda","Moore",29.3,"linda moore",2803.48351185938,3624.90418083418
"272","Jennifer","Moore",11.5,"jennifer moore",3238.82501098509,3611.28988724838
"273","Susan","Jones",-17.1,"susan jones",4348.16094737832,3604.62542537663
"274","John","Rodriguez",-69.5,"john rodriguez",11677.3661651378,3561.59668036704
"275","Richard","Martinez",-43,"richard martinez",6200.8525039367,3534.48592724392
"276","Daniel","Moore",-8.5,"daniel moore",3840.47487188342,3514.03450777333
"277","Patricia","Rodriguez",-23.3,"patricia rodriguez",4567.55744362283,3503.31655925871
"278","Linda","Martin",29.6,"linda martin",2698.07250582717,3496.70196755201
"279","Jennifer","Rodriguez",-33.2,"jennifer rodriguez",5230.00172899503,3493.64115496868
"280","Patricia","Taylor",19.4,"patricia taylor",2923.19619929162,3490.2962619542
"281","Thomas","Lee",-8.9,"thomas lee",3773.52283414166,3437.67930190306
"282","Charles","Lee",4.6,"charles lee",3281.08588224117,3432.01583282427
"283","Jennifer","Thompson",15.2,"jennifer thompson",2977.76407304527,3430.38421214816
"284","Linda","Thomas",17.4,"linda thomas",2917.9919075468,3425.72249945994
"285","Patricia","Thomas",15.9,"patricia thomas",2944.12162171677,3412.23695956974
"286","Patricia","Martin",25.3,"patricia martin",2722.23290983815,3410.95783602721
"287","Jennifer","White",14.8,"jennifer white",2969.84768492704,3409.38514229624
"288","Jennifer","Martinez",-32.2,"jennifer martinez",5025.83257824273,3407.51448804857
"289","Patricia","Wilson",6.7,"patricia wilson",3171.53064888337,3384.02320235856
"290","Patricia","Anderson",10.7,"patricia anderson",3055.13690622331,3382.0365551892
"291","Barbara","Wilson",25.8,"barbara wilson",2687.74974094923,3381.18917411413
"292","Richard","Rodriguez",-47.7,"richard rodriguez",6452.75560057978,3374.79117910323
"293","Patricia","Moore",19,"patricia moore",2828.58783879588,3366.01952816709
"294","Daniel","Anderson",-19.1,"daniel anderson",4148.06864315341,3355.78753231111
"295","Joseph","Wilson",-26.1,"joseph wilson",4534.49003470553,3350.98813564738
"296","Daniel","White",-5,"daniel white",3521.53184213382,3345.45525002713
"297","Jennifer","Thomas",-1.6,"jennifer thomas",3371.11494754128,3317.17710838062
"298","Joseph","White",-10.6,"joseph white",3708.30887715584,3315.22813617732
"299","Daniel","Thompson",-6.4,"daniel thompson",3530.91879250658,3304.93998978616
"300","Thomas","Thompson",-3.5,"thomas thompson",3382.50485926564,3264.11718919134
"301","Barbara","Anderson",25.3,"barbara anderson",2589.11053915155,3244.1555055569
"302","Linda","White",26.1,"linda white",2570.66034416424,3241.60269399111
"303","Mark","Thompson",32.4,"mark thompson",2445.8390548902,3238.29090867462
"304","Thomas","Jackson",-11,"thomas jackson",3630.61322847468,3231.24577334247
"305","Joseph","Moore",-20.4,"joseph moore",4044.16819109882,3219.15788011466
"306","Linda","Thompson",24.8,"linda thompson",2577.51266359727,3216.7358041694
"307","Linda","Jackson",16.1,"linda jackson",2766.57446548323,3211.99295442603
"308","Susan","Davis",-5.8,"susan davis",3393.21272201169,3196.40638413501
"309","Elizabeth","Wilson",7.9,"elizabeth wilson",2958.1656414546,3191.86072712951
"310","Joseph","Taylor",-23.9,"joseph taylor",4179.43431820336,3180.54951615275
"311","Richard","Jackson",-21.6,"richard jackson",3943.43989994307,3091.65688155537
"312","Barbara","Taylor",24.7,"barbara taylor",2477.29588555483,3089.18796928687
"313","Joseph","Rodriguez",-52.8,"joseph rodriguez",6530.4567428175,3082.37558260986
"314","Linda","Lee",6.5,"linda lee",2875.47344233091,3062.37921608242
"315","Elizabeth","Anderson",7.4,"elizabeth anderson",2849.60229821888,3060.47286828708
"316","Joseph","Lee",-26.4,"joseph lee",4148.01734364808,3052.94076492498
"317","Mark","Taylor",11,"mark taylor",2749.24452921246,3051.66142742583
"318","Susan","Anderson",28.4,"susan anderson",2374.66251304801,3049.06666675365
"319","Patricia","White",17.2,"patricia white",2593.67981171224,3039.79273932674
"320","Patricia","Jackson",8.8,"patricia jackson",2791.34828333586,3036.98693226942
"321","Patricia","Thompson",16.7,"patricia thompson",2600.59349154443,3034.89260463235
"322","Jennifer","Jackson",-6.3,"jennifer jackson",3196.18450961279,2994.82488550718
"323","Barbara","Moore",24.6,"barbara moore",2397.11895379363,2986.81021642686
"324","Daniel","Thomas",-25.3,"daniel thomas",3997.33922096802,2986.01239806311
"325","Joseph","Jackson",-26,"joseph jackson",3990.92500608034,2953.28450449945
"326","Barbara","Thomas",16.6,"barbara thomas",2495.02937292386,2909.20424882921
"327","Barbara","Martin",25.1,"barbara martin",2306.9872589114,2886.04106089816
"328","Elizabeth","Martin",13.5,"elizabeth martin",2539.09444789866,2881.87219836498
"329","Elizabeth","Moore",8.4,"elizabeth moore",2638.29433951971,2859.91106403937
"330","Joseph","Anderson",-34.8,"joseph anderson",4368.07629805128,2847.98574632943
"331","Mark","Thomas",2.5,"mark thomas",2768.92473512465,2838.14785350277
"332","Barbara","Jackson",18.5,"barbara jackson",2365.55986872663,2803.18844444106
"333","Joseph","Thompson",-24.8,"joseph thompson",3718.19369801143,2796.0816609046
"334","Elizabeth","Taylor",1.7,"elizabeth taylor",2726.53791412032,2772.88905866037
"335","Barbara","White",25.2,"barbara white",2198.04347294868,2751.95042813175
"336","Barbara","Thompson",20.6,"barbara thompson",2203.90254960132,2657.90647481919
"337","Elizabeth","Thomas",-3.3,"elizabeth thomas",2746.05557688445,2655.43574284727
"338","Elizabeth","Thompson",9.1,"elizabeth thompson",2425.63833232566,2646.37142056729
"339","Daniel","Jackson",-32.3,"daniel jackson",3789.91339557969,2565.77136880745
"340","Susan","Wilson",3.5,"susan wilson",2465.13173453697,2551.41134524577
"341","Elizabeth","White",4,"elizabeth white",2419.18977092115,2515.957361758
"342","Susan","Martin",15.8,"susan martin",2115.90663240339,2450.21988032313
"343","Linda","Garcia",-49.2,"linda garcia",4817.94010618554,2447.51357394225
"344","Susan","Taylor",3,"susan taylor",2272.1091217229,2340.27239537458
"345","Susan","Lee",3.7,"susan lee",2255.02958678366,2338.46568149466
"346","William","Rodriguez",-74.2,"william rodriguez",9033.52976801385,2330.65068014757
"347","Susan","Moore",3.5,"susan moore",2198.57299748816,2275.52305240024
"348","Susan","Thomas",-1.5,"susan thomas",2288.37379912622,2254.04819213932
"349","Patricia","Lee",-22.9,"patricia lee",2901.22241680789,2236.84248335889
"350","Linda","Martinez",-50,"linda martinez",4350.29330657903,2175.14665328952
"351","Elizabeth","Lee",-20.2,"elizabeth lee",2706.04241981411,2159.42185101166
"352","Susan","Thompson",5.4,"susan thompson",2021.3601110535,2130.51355705039
"353","Elizabeth","Jackson",-18.2,"elizabeth jackson",2603.5600784765,2129.71214419378
"354","James","Garcia",-84.4,"james garcia",13125.54328537,2047.58475251771
"355","Mark","Moore",-23.1,"mark moore",2660.26606188491,2045.74460158949
"356","Mark","White",-16.8,"mark white",2439.33678984895,2029.52820915432
"357","Mark","Jackson",-23.4,"mark jackson",2625.24253382218,2010.93578090779
"358","Barbara","Lee",-18.7,"barbara lee",2458.67395352365,1998.90192421472
"359","Susan","White",-0.9,"susan white",2015.98632361659,1997.84244670404
"360","Linda","Rodriguez",-56.5,"linda rodriguez",4527.01938650711,1969.25343313059
"361","James","Martinez",-83.9,"james martinez",11851.5302891064,1908.09637654612
