Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,Why did you choose your troop deployment?
1,1,1,1,1,19,19,19,19,19,"I only need 4 of the 5 largest castles to win, so I just put all my troops equally in those 5 so there is no chance someone beats me in all 5!"
3,5,7,9,11,2,16,18,15,14,"I have optimised this strategy to beat the average deployment from the last iteration of the game, by sacrificing castle 6,which was not well contested last time, so I expect it to be hotly contested this time round."
1,1,1,1,23,23,24,24,1,1,Trying to capture the mid-high castles and sacrifice the others
3,3,3,3,3,10,15,20,30,10,"Just guessing based on the previous two events. 678 heavy vs 459,10 heavy, sort of a mix."
2,2,2,2,12,20,20,20,20,20,"I spread my troops on the five highest value castles, hoping that I can beat out some of them, and sent two to the lower value ones so I can beat someone who sends the minimum."
1,2,2,8,10,15,17,19,23,3,"I tried to look for a mix between the successful armies in 1 and 2. I targeted 4-9 because they total more than half the points, and dropping 1-2 of these castles wouldn't stop my victory. "
4,6,7,4,4,4,30,32,4,4,"mostly random TBH, just gut feeling"
2,2,3,14,2,16,2,4,32,23,Intuition.
2,3,4,5,7,9,26,33,6,5,It just felt *right*
4,4,4,4,16,4,16,28,16,4,To mess with the averages
6,6,7,0,0,0,21,25,0,35,"Castles 1-3 and 6-8 were the most ignored by the top 5 warlords in the last round. 4-5 and 9-10 were most popular. I figured if I can almost guarantee getting 10 by placing 35 soldiers, ignore 9 where most others will send a significant amount, capture 7-8 which look to be ignored by most, and capture 1-3 which will be ignored for low point value, I could total 31 points which is more than enough to win a majority of the battles. Maybe a simpleminded strategy but this is based purely off the results of the last round and it could be an obvious one. "
3,5,6,10,13,18,28,7,6,5,1 thru 7 are worth 28 points while 8-10 are worth 27. So sacrifice those for volume ;)
2,6,9,9,12,2,28,27,2,3,Just did a pretty similar strategy to Cyrus.
1,1,1,1,1,5,5,10,25,50,"I figured if I can guarantee a split or victory of high level castles, that can override the lower level ones--this is not very scientific.  Also, the form doesn't allow us to send 0 soldiers to a given castle."
2,4,5,8,10,11,12,14,16,18,Impossible to say.
1,3,6,8,10,12,14,16,18,20,Linear
1,1,1,1,1,1,91,1,1,1,Banking on winning ALL the battles at Castle 7
1,1,1,2,14,15,2,28,32,4,"Winning 5, 6, 8, and 9 gives me just over half of the available points, so I went hard for those four."
4,5,7,9,11,13,14,16,13,11,Used the last answer and increased deployment for the first 5 by 1 and decreased the last 5 by 1 to account for evolution.
1,3,5,7,9,11,13,15,17,19,Linear
4,4,4,5,5,16,5,5,21,31,
1,6,6,11,11,16,16,16,11,6,"Figure 5x would be a popular number to distribute, so 5x+1 along a skewed curve based on intuition."
2,4,6,12,12,2,21,3,30,8,
1,1,3,5,10,18,24,30,4,4,"A few at top to steal from old strategy, then strength in higher numbers, gave up bottom completely "
1,10,1,1,1,1,28,28,28,1,28 is the number needed to win so targeted to scrape a win. Did not contend the highest scoring castle as some will likely go very heavy there
3,4,4,4,6,8,11,11,23,26,"A gradual top down deployment, going for numbers that would beat rounded off choices like 25 or 10 on some of the larger castles."
6,8,10,12,14,0,0,0,24,26,I think people will adjust back to the top half numbers after the success of the winning answers from last round but will still be scared to drop too much into the highest value targets.
2,3,4,6,8,9,18,20,12,18,"I am uncertain as to how people will adjust to two contests worth of results, so I've taken a slightly more balanced approach that targets higher value castles more proportionately to their values, while still leaving enough troops to pick up the low and mid value castles that others may defend lightly."
1,5,10,0,0,0,0,28,28,28,Because I'm trying my best.
1,2,9,4,6,14,9,8,21,26,Send the troops where the most points are.
2,3,3,12,15,7,14,14,17,13,"I looked at the historical success strategies of the first and second FiveThirtyEight crusades. It looked like people in the second war adjusted their strategy away from what won in the first war. So I took the top 5 from each war and took the average number of troops per castle. I picked numbers close to the average to deploy my troops for the Third FiveThirtyEight crusade. And once I take over the world, I'll change the name of your website to FiveThirtyNine."
1,2,2,2,2,2,29,29,29,2,"Becuase I'm smart, in my head."
1,3,5,5,5,5,5,32,5,34,"The most prominent strategies that have been winning have been strategies that have had the ""four castle"" strategy which would win the slight majority of the points (28). Assuming this is the strategy most people seek to optimize on I wanted to build a strategy that would beat these strategies. Every four base must win either castle 10 or castle 8 to reach this 28 point threshold (which is the primary way they win). After that the number of troops sent to the other castles should be greater than with a four castle strategy that you win the rest of the needed points on the castles that others gave over for free. I would like to test it with 30 in bases 8,10 and 5 troops in 1 and 3 as well but I think you need to make sure you juice your troop count in the bases you are going for because if you don't win at least one of those you are going to be in trouble. You will also lose to a split evenly strategy but I don't think that will be popular as most people will look at the data and realize you probably want to have a win condition."
1,1,4,4,22,22,17,17,6,6,"I started with attempting to punish those who didn't send enough troops to the 'Extremes' (Castles 1-4 & Castle 9-10).  Sending less than 5 will result in a loss at 9 & 10, and sending 0 or 1 to the first 4 will result in a loss.  Next, I want to win at least 2 (hopefully 3) of Castles 5-8 so I went with 22 at 5 & 6 since previous winners from the first 2 iterations sent a max of 21.  Finally, I distributed my last troops evenly to Castle 7 & 8."
1,6,6,6,11,11,6,26,21,6,Tried to use just above multiples of 5 because that is a human habit when splitting things.
4,2,5,10,10,17,16,16,4,16,"I foresee a lot of fighting over Castle 9. Thus, I focused on 7,8, and 10 to hopefully get a fair number of victories there."
3,4,4,14,20,3,21,3,25,3,
4,4,4,4,4,24,24,24,4,4,"I figured at least 4 in each would pick off the people who sent out tiny forces, but still let me sink in a few in more strategic spots."
1,5,8,12,13,1,26,30,2,2,I copied the first winner one minor arbitrary change.
2,4,6,7,9,11,13,14,16,18,Weighted distribuation
1,1,1,1,1,17,17,20,40,2,"My line of thinking is that most other warlords would work to capture Castle 10 with the majority of their troops, so I avoid it completely and work with my forces to conquer the second-strongest castles. 
If however, my opponent ignores castle 10 as I did, and goes after the lesser castles, I'd designate two soldier in the off chance they could conquer the castle alone. If I conquer Castles 6-9, I'd win the war even if I lose all the others. "
3,6,9,14,18,22,28,0,0,0,"Ignore the top ones, focus on minimum needed for majority of points"
1,1,1,1,2,7,10,20,35,22,"I went top heavy and ignored the low point castles due to their inefficiency as the are 1.8 digits
Soldiers per point. "
1,2,0,0,0,0,0,32,32,33,"The top 3 castles score 27 points in total, almost 50% of the point total. Assuming I can win all 3 and pick up a single unguarded low point castle, i will prevail."
1,1,5,10,1,15,16,17,1,26,
2,4,5,7,9,11,13,15,16,18,I took the ratio of the points for each castle against the total points possible (10/55) and multiplied it by 100 to determine the number of soldiers for each castle.
1,4,9,10,1,13,16,17,14,15,I assumed the number of soldiers necessary based a trend from the previous two events.  I then added one soldier to castles 6 through 10 and subtracted one soldier from castles 1-5.  I then decided to sacrifice castles 1 and 5 and minimize their defenses and put their soldiers on the other 8 castles.
4,0,1,1,1,0,0,31,31,31,My goal is to acquire 28 points. This is on permutations of castle attacks that makes it likely
15,1,1,1,1,1,30,30,25,24,"First, we have to find the minimum number of points to needed to win (28). Then we have look at the minimum amount of castles needed to secure that, which is 4. Holding the top 3 pts Castles will only get to 27 pts; however, holding point 7 will get 34 pts, but that an extra six points not needed. So, having strong defenders on the top 3 castles, of which in previous games few went above 30 to hold, and then holding castle 1 strongly, will give the best opportunity to hold the least castles with the least wasted points to win.

But if one is lost, all is lost. :)"
4,0,0,0,0,0,0,32,32,32,"I do have to win all 4 of my engagements, which doesn't leave any margin for error. I'm confident in castle 1, and 2/3 for 8-10. So I just have to get a little lucky that opponents spread their forces out too much."
2,2,9,11,16,10,30,5,8,7,Based on last year's deployments I observed that very few soldiers were deployed to the 9 and 10 castles so I send a force to that could take both of those. I sent a token force to the 1 and 2 castle as they are not worth that much. For the remainder I tried to get above last year's average except for castle 8 which I can afford to lose if I take either 9 or 10. However I may just be fighting the last war and be destroyed.
3,3,1,1,1,1,10,35,44,1,focus on castle 8 and 9 with the assumption that castle 10 is likely going to be taken and castle 1 and 2 will have 1 soldier brought to them
3,8,10,11,16,22,2,23,2,3,"Designed to lose 10, 9, 7 which would counteract the strategy of only winning the bottom 7 (since I'll steal 8, in exchange for their 7), and the strategy of winning the top numbers (I'm sacrificing 9, 10, while investing a lot in 8, 6, and lower, which adds up to more points than 7, 9, 10). "
1,1,1,2,7,18,20,22,23,5,Seemed pretty good I guess
1,0,0,20,20,0,0,0,35,24,Magic
4,8,8,8,12,32,17,4,3,4,Get 7 through 5 and then either 10 or 4 through 1.
1,0,0,18,18,3,3,3,32,22,Beats most of previous 2 games
2,2,4,0,22,10,12,13,0,35,Because this is what my future self told me to pick.
1,1,1,1,1,4,30,30,30,1,"Folks are likely to put a concerted effort to a few castles to secure their victories there. I'm hoping to win the less contested, but higher value castles."
3,3,3,3,13,18,21,32,2,2,"I put at least two people in each castle so I could beat the 0s and 1s in each castle. And then I tried to mimic the winners from the first time, thinking that the winning strategy would revert back to the first game."
1,2,5,11,15,3,3,27,31,2,First round won by 7/8 strategy. Second round won by 9/10 strategy. Went with 8/9 strategy.
3,4,5,5,8,21,6,23,4,21,get em
1,1,2,3,4,21,27,28,6,7,
1,5,9,13,17,19,15,11,7,3,Seemed like a good idea at the time.
1,1,6,7,9,11,13,15,16,21,100 points/55 weighted castles' value = 1.8181; multiplied that times each castles' value to determine proportioned weight; made a few gut adjustments
3,4,6,9,9,10,19,15,11,14,looked at prior results and then sort of winged it
1,2,3,16,20,3,3,3,31,18,Random!
1,1,1,15,1,20,1,28,2,30,Win 10 and 8 while giving up 9 to those who heavily go for it but winning it from those who send very few troops with the objective of winning 4 castles to get to 28 points.
2,2,2,18,18,18,18,18,2,2,"I felt that it would be useless to deploy them evenly. Putting at least 2 in every spot meant that if some else puts 1 or 0, i'll win. I figured others are most likely to go after 9 and 10, so i didn't really bother with them.  The remainder were split evenly."
3,3,4,6,7,9,15,25,27,1,I've never actually participated in something like this before. I assumed most people would attempt to capture the castle worth  the most points (10). I felt if I essentially sacrificed that castle and then stuck to a rather linear distribution of soldiers increasing from 1-9 I stood a greater chance of capturing those castles and thus winning the Game. I guess we'll see.
1,2,3,6,9,14,16,17,16,16,It slightly beat something that slightly beat May's average.
4,4,4,5,11,17,23,26,3,3,
17,17,17,17,17,5,0,0,0,0,overcome 6
1,1,4,8,10,13,16,19,16,12,seems plausible
3,6,6,11,11,1,27,30,2,3,"cluster forces around valuable castles most likely to be fought over (7 and 8), choose one middle but less valuable castle (6) to offer almost no defense of,  give  11% of forces to next level valuable castles (4 and 5) assuming most will give 10% to those castles. Also assumes most will attempt to cluster forces proportionately to win larger castles in some ratio of all forces in the 10, 9, 8, 7 castles, keeping more than 25% in castles 8 and 7. "
1,1,7,1,18,20,2,23,25,2,"Go big on some, steal the rest with some 1>0s and hope for some luck!"
2,2,5,5,10,15,20,25,5,6,
2,4,5,7,9,11,12,15,16,19,"Direct mapping. Soldiers per castle = (points per castle / total points) * total soldiers, with rounding, and leftover soldier goes to castle 10. Trying to win by playing simpler than people expect. :)"
1,3,5,7,9,11,13,15,17,19,"Trying to be competitive at every single castle, without wasting too many soldiers."
1,1,1,1,14,20,30,30,2,2,
2,7,2,2,13,18,23,29,2,2,"I wanted to get 28/55 points by committing to castles 8,7,6,5 and 2. I deployed these troops to help obtain 8 most frequently and 2 the least. I deployed 2 troops on each other castle to not allow for my enemies to get an easy 1-0 victory on any castle. If I can win one or two of those, that would be great "
15,15,7,2,26,2,2,3,10,18,Last time winners focused on the middle.  I'm focusing on the edges
1,1,1,1,1,5,10,15,25,40,
1,6,14,19,1,15,21,21,1,1,"I focused on the 3,4,6,7,8 field, that have good reward, but aren't tied. Put down at least one in the others to surprise my enemies who left castles unattended. By giving my enemy 10,9,5,2,1, I win out by 1. I am weak to attacks on the higher values, as a 7,8,9 30 split with a dump on 10 will destroy my attempt. As long as the enemy doesn't consolidate, then I shall claim victory."
1,2,3,5,7,15,30,33,2,2,Get to as close to 28 without wasting troops
2,2,3,3,20,20,20,20,5,5,"the plan is to win castles 5,6,7,8 and then hopefully pick up one more somewhere else."
1,5,0,7,8,21,0,28,30,0,optimize higher castles but never go in increments of five (leads to more ties which are inefficient). use 0 on castles that have a higher chance of being contested
1,0,0,2,1,0,17,21,27,31,"Securing the high castles is paramount to our victory, with a few sneaky +1 to counteract those who wish to tie us in mortal combat."
1,1,2,15,11,3,8,23,34,2,"Random, except for deciding to let the low castles go without much of a fight."
2,2,8,11,11,13,14,16,21,2,"Ignore castle 10 as large amount of pepople will try to send huge numbers of troops to take it, send at least 2 troops to every castle."
1,1,1,1,17,20,1,26,31,1,Mostly intuition. I don't have the computational power or coding skills (or advanced math skills) to really compete. Thought I'd at least send in an array of troop deployments for the experts to crush.
1,4,6,14,18,24,33,0,0,0,"Assuming more valuable castles will be more contested, negating their points advantage. 28 points wins, so it only makes sense to contest castles worth that many total. I took 1-7 (28 total pts), with troop allocations focused on the hotly contested 5,6,7 castles. I'm hoping to 'pay' for those by taking 1,2,3 cheaply."
4,4,4,10,13,14,17,16,8,10,Deception combined with winning the battle in the trenches
2,2,5,5,14,2,16,19,4,31,"The winners of last round went after the castles that were under-targeted the first time around (9 and 10) while ignoring the castles that were over-targeted (7 and 8) and slightly bidding up on the castles that were 2nd most important (4 and 5). That leaves castle 6 as being the most likely attacked castle, so I'm ignoring it. From there, I expect 4 and 5 to start getting ignored with 1 through 3, so there's an opportunity to get those for cheap. If I get those, win 10 and win either 8 or 7 that puts me above the 28-point win level."
2,3,3,3,21,17,2,3,24,22,Last times winner but more even alignment
1,1,1,1,1,20,1,1,34,39,Ties are wins
1,1,1,2,4,5,36,36,12,2,"7 and 8 seem like a sweet spot for points vs competition, and I want to put in enough to beat most people who came to the same conclusion. At the same time, I want to make sure I don't get beaten by tiny troop commitments to the other castles. I figured 9 would be a nice bonus to sometimes get."
1,0,9,0,0,10,10,20,40,0,Adjustments to previous contest
5,5,5,3,3,19,1,2,27,30,"Based on the last two games, those with less troops were overwhelmed. I figure most people will leave 9 and 10 relatively open, and 1-5 will be given 4, to take out the 3's from round 2. Let's see what happens!"
2,2,2,2,2,19,19,20,24,28,
3,3,14,4,18,15,3,15,4,21,Randomish
1,2,2,16,19,3,3,3,26,27,Im fighting the ghosts of wars past
2,3,1,5,16,28,6,9,18,12,Troop deployments to low point castles are just enough to tie up enemy troops while focusing on the mid to upper range castles that are worth the most. Don't over dedicate to 10 as people are drawn to the easy number.
1,1,1,1,1,6,15,18,20,25,random
1,2,3,4,4,16,18,24,27,2,"Highly valuing castles 6-9, if one wins those 4 they win. Hoping to win many battles by having the opposing army massively overspend to win castle 10 while my force wins 6-9. "
1,9,20,29,15,10,2,8,5,1,"Distribute to all, try to find a place where numbers will be thin."
1,1,2,2,26,10,15,15,26,2,"The total point possibility is 55, so you need 28 to win. From there, troop (resource) distribution is a mix of math (what are the best combinations that can lead to 28?) and human behavior speculation (metagaming). Castle 10 is a trap and a good way to get your opponent to waste resources, since they are working with incomplete information, so I threw only 2 troops there (to minimize my investment while hedging against other players who choose 0 or 1). Castles 1-7 add up to 28, so a popular strategy may be to aggressively claim them. The 26 in Castle 5 is designed to disrupt that, as players who go for this strategy may emphasize their investments in Castles 6 and 7, and will be afraid to over-invest in 5 without hedging earlier castles accordingly. Meanwhile, there are enough troops in castles 6-9 to yield likely wins, while hedges in the lower castles may secure additional value. "
1,0,0,0,0,13,17,20,23,27,Win big (I only want 0 troops at castle 1 but it won't let me. Hoping I dont get disqualified.)
1,1,1,1,1,23,23,24,24,1,
2,2,2,11,16,16,26,16,5,4,"It seemed to me that the chance of winning castles 9-10 is relatively low, since many warlords will send more troops there. I focused more strength on the mid-range, castles 5-8. chose mostly uneven numbers (rather than rounding at 5, etc) in hopes of beating warlords who divided by 5s or 10s. And I sent at least some troops to every castle, since this guarantees a win against a warlord who sends 0 to any of them-- making that number greater than 1 for each castle, since many players will send a minimal force to those castles. "
2,3,4,4,21,21,21,22,1,1,I sacrificed 9 and 10 hoping that my enemy would focus a lot of soldiers on them and instead tried to capture a lot of of the mid value castles.
4,1,5,10,25,0,0,0,30,25,"Trying to pick up 5, 9 and 10. Get enough value in the early battles to pick up over half the points."
1,0,0,0,0,0,0,0,99,0,Just Cause
3,6,9,11,13,14,18,22,2,2,"55 total points and 100 troops means just fewer than 2 troops per point. Assuming opponent uses same math, I will overemphasize the lesser valued castles and hope she goes big."
1,1,1,6,7,20,27,35,1,1,I wanted to win the middle castles
1,0,0,14,20,2,2,2,29,30,I'm dumb
1,1,0,1,1,5,10,25,55,1,
4,8,4,27,2,16,17,18,2,2,
1,1,8,10,13,1,26,30,4,6,"I took the winning strategy from the first battle royale but then redeployed a few troops from castles 1 & 2 to castles 9 and 10. My thinking is that most players will be trying to beat the winning strategies from game 2, and won't be considering the game 1 strategies as much. Essentially, my hope is that I'll be ""zigging"" while others are ""zagging""."
3,3,5,5,3,16,17,16,16,16,"you need 28 points to win. I maximize my chances of winning 10 points 100% of the time in castles 1-4, concede castle 5, then hope even distribution wins me 3 of 5 in castles 6-10 versus a field that allocates 30 plus to a single castle. "
1,1,1,1,22,25,5,5,23,16,Using last results. Gave up castle 4 and redistributed higher..
2,5,0,11,3,19,22,4,28,6,"Choose who I want in my main coalition based on trying to have some overlap and differences with both previous rounds, but come up with 2,4,6,7,9 without too much further thought. Allocate 85% of my army to this coalition to not leave others undefended (except 3, out of spite)."
1,0,0,0,0,0,0,99,0,0,"You need to get points, and probably the only way to do that is to win a house outright. I am guessing that someone will do 100 for 10 and 9, so guessing 8 will be the one where people don't apply 100."
2,2,2,10,1,1,25,25,30,2,"Maximize the troops that could take 28 points, and the others are 2 to cleanup places where my opponent sent only 1."
1,2,2,11,16,3,4,1,29,33,Why not?
1,1,1,1,10,10,2,20,20,34,Try to create as many options to get to 28 as possible. Goal is to win 2 out of the top 3 then pickup enough of the rest to get to 28+
2,2,2,2,11,11,2,22,44,2,"I was looking for four castles that would add up to 28 points, the minimum required to win. I found I could not do this without castle 9. I chose to leave out castle 7 because 5 and 6 should be easier to get. I sent token forces to 1, 2, 3, 4, 7, and 10 to force my opponent to keep those covered. That left me 88 troops. I sent half of those to castle 9, which I assumed would be contested heavily. Half of what was left was sent to castle 8. The remaining troops were split between 5 and 6."
2,2,4,7,9,11,14,15,17,19,"Added up all the VPs to be had (55) took 100 and divided it by 55 (1.8). This is how many soldiers each VP is worth. I then multiplied the castle number by 1.8, rounded and skewed it towards the high end a bit for people who employed the same strategy."
1,0,9,15,0,20,25,30,0,0,
1,0,0,4,11,14,21,26,24,0,"I started with zero at Castle 10, and a large chunk (25) at 8 and 9. I then gave 5 fewer troops to each Castle going down until I ran out. Then I went back and added in a bit of noise. Then I noticed it required >0 for Castle 1, so I put that in."
1,1,1,21,1,1,22,24,26,2,"I figured a lot of people would go 10 on each, and this would consistently beat those ones. I also guessed a lot of people would put two on each of the lower ones to beat out the one you are forced to put there, so I made sure to take that into account. The second question for me was the people who went a bunch in top half and left one each to the lower ones so I knew I would need to adjust the numbers to favor something would also win against someone who went 1-1-1-1-1-19-19-19-19-19 because that seemed like it would be like the second most common formidable strategy. 

The last thing I considered was that because you need 28 points to win and the easiest way to there seems to be 9+8+7+6 the easiest way to get there. I ignore the ten because other people will dump a bunch of points there and either way I will need to  get four numbers total as 10+9+8 only gets you to 27. This strategy pretty cleanly beats both those strategies. To beat this you would need to foresee it probably and get 9 at least. I think if you went for a 10-9-8 strategy and just low balled a bunch of other numbers hoping to get one you might beat me but you will lose to everyone playing 10 on everything so I think this is the most stable that I can come up with."
1,3,1,7,4,12,32,3,34,3,"Lots of folk went for 7-8 or 9-10 previously.  I figure few will go for 7-9.  With those in the bag, I need another 12 points.  I'm hoping for 2-4-6, but also spreading out my options to get lucky against a poorly defended 8, 10, and 5."
1,0,1,6,22,12,8,14,6,30,"I chose a strategy that could beat each of the top 5 from the last two times, could beat an even distribution, could beat a focused attack at the top, and could beat a (10,0,0,0,0,0,0,30,30,30) strategy.  The first strategy I found was (1,2,2,18,1,6,2,33,11,24).

Then, I used random sampling to see if I could find strategies that would beat my strategy.  Out of a sample of 200, I found 84.  I compared these 84 against the original 13 strategies, and found 1 that beat all of them.    This strategy was (0,1,1,6,22,12,8,14,6,30).

However, your entry form won't let me put 0 for castle 1, so I switched castle 1 and 2.  This seems to work just fine as well."
2,2,2,5,12,2,5,28,32,10,
1,1,12,1,1,20,1,1,34,28,Anticipating another adjustment after the second round. Min/maxing numbers to reach the 28 point threshold.
3,4,4,11,12,16,20,21,4,5,Try to pick up a couple with my 3-5 at the ends and then win 4 of the middle ones where the strength is.
2,3,0,5,7,12,16,18,18,19,Idk let's see if I win
1,3,5,7,9,11,13,15,17,19,"Need 28 pts to win, expected value of n pts/ 55 total its per castle. Rounded up higher pt castles."
1,1,13,9,2,2,23,22,2,25,"Going all-in on Castles 7, 8, and 10 gives 25 points of the 28 needed to win. After that, I just split my troops between 3 and 4 with the hope of winning one of the two battles and pushing myself over. Castles 5, 6, and 9 each got 2 troops so that I could win those if the opposition left them undefended."
1,1,1,1,15,15,20,25,20,1,
2,1,1,1,1,1,1,23,33,36,"Just win 10,9,8 and get lucky somewhere else."
3,4,5,6,9,12,16,21,23,1,"I place 1 troop #10 assuming my opponent will allocate a large contingent of his troops, thus increasing my chances of winning a majority of the others."
1,1,15,1,15,1,20,2,20,24,"Focusing on the odd numbers offers fewer points than focusing on the even numbers, but if I can capture one even as well, I can pull ahead.  "
8,10,7,5,11,13,3,15,26,2,"I wanted to have some troops at every castle to have a chance to win any of them.  I think some people may try to just win the 4 most valuable castles, as that wins you a majority of points, so I wanted to make sure I hit one of them hard to pre-empt that.  The rest was pretty much random!"
2,2,2,8,9,11,12,18,18,18,
3,2,3,3,15,18,3,24,27,3,"Needed 28 points to win, so I focused on 5, 6, 8, and 9. I avoided 7 because I thought 5 and 6 would be less contested. I included 2-3 points in all others to contest them in case other players submitted 0-1 soldiers to each one. With my placement of units, I figure I should take at least one of my goals to get to 28, and may be able to punish people for overcommitting."
1,1,1,11,13,4,29,32,4,4,"I picked two more than the winning deployment from a previous round for all the top castles, assuming that most other players would pick one more than the winning deployment.  This made me run out of soldiers by the end though, so the least value castles are pretty weakly defended."
1,1,1,14,12,12,14,14,30,1,Not a lot of thought went into the deployment.  trying to get castles 9-7 most of the time.
1,1,1,11,2,21,3,26,3,31,"I really decided to only focus on castles 10, 8, 6, and  4 since those would win it for me.  I started thinking of doing 30, 25, 20, and 10 respectively, but if a lot of people like doing multiple of 5s, adding one more to each could give me a lot more wins.  I figure some people would put 0 in 1, 2, and 3, so I put one in each just in case.  The remaining 8 troops went pretty evenly into 5, 7, and 9."
2,2,9,12,14,16,2,2,2,39,to score 28 points 90% of the time
2,2,2,7,7,27,27,2,10,14,"Paired scouts to 1/2/3 - not worth more troops, but good to snipe or deny a 1-troop snipe. Common practice in last games has been to focus on 4 castles, with a small number spread to others. This strategy is designed to narrowly defeat any small force at any castle, while focusing on castles 6 & 7 (usually ignored, but form a good base to combine with other towers) and increasing numbers of troops to castles 9 & 10.  Castle 8 is almost ignored, anticipating others will focus efforts there."
1,1,1,1,23,23,23,23,2,2,Trying to capture all of the middles and maybe steal the top 2
3,1,1,1,1,1,2,26,27,37,"Get 28 points with the fewest number of castles possible (10, 9, 8 & 1).  Try to defend those with as many soldiers as possible and leave 1 at the other castles in case any are left undefended. "
1,1,4,4,10,12,14,16,18,20,
3,5,7,2,2,15,18,20,0,28,"The Name of this game should be 55. Why? Well for a similar reason why your website is called 538. 55 is the number of total points a player could win in this game, but 28 is the number of points a player needs to win, like 270 in an election. If a player can get to 28 points then he automatically wins. (Said player can win with less if there are ties). 

Instead of viewing the board as 55 points I can win, I view it as 28 points I need to win. That being said, each point is worth 3.57 of my soldiers (100/28). I am making an assumption, that most people will undervalue lower point tiers. Putting 3, 5, and 7 soldiers on tiers 1, 2, and 3 respectively, 15% of my soldiers, but gains 21% of the points needed. A major victory for my army. 

4 and 5 are tricky. They are needed to win if you go the 10,9,5,4 strategy (last season's winners did). But they were overcommitted to those areas. Being wary of losing them due to people overcommitting on them, I left them at 2. Every soldier needs someone to guard his back. Pick up the easy win vs those who bid 0 or 1, but don't lose out on those playing the 10,9,5,4 strategy. Probably a minor loss for my army. 

6,7,8 are much easier. They deserve 21, 25, and 28 soldiers respectively (using 3.57x *point value). But they are also VERY underappreciated by both past winners, and the average submission. Capitalizing on this, I can gain these points by using a decent amount of soldiers, but near the amount they deserve. Another major victory for my army. I can count on wins by using only 15, 18, and 20. 

This leaves me with 9 and 10. And 28 troops. If history tells us anything, its that people like castle 9 more than they like castle 10. This is an either or situation, you won't win both unless you overcommit. I place all 28 in castle 10. 

"
2,2,5,13,16,1,7,16,33,5,"I looked at the distributions of the two previous wars and picked out some forts that have a potential to be left unguarded and put a couple more troops in there, while approximately splitting the difference between the two sets of winners, hoping that others might have the same approach, allowing myself to have a couple more in those key forts mentioned above. "
1,1,1,1,1,3,33,20,20,19,"To achieve over 50% of the available points, you must either win either the lowest 7 or highest 4, or otherwise mix and match point values up to 28 points. I have chosen to fight hard for the 4 highest values, in hopes that most spread their troops more conservatively. Because Castle 7 is included in both of these combinations, it is likely to be highly contested, so I have placed a third of my troops there. 1 troop was distributed to all castles in the lower 6 to snag extra points in case of similar strategies, or to those which chose not to contest certain castles. This strategy only works if I am able to win all 4 top castles, so this beats the winning Feb 2017 strategy of aiming low, but not the Jun 2017 strategy of splitting between 9/10 and 4/5. That makes this strategy considerably more risky and dependent on what the general trends are among the other participants this time."
1,1,1,2,8,10,20,25,30,2,The Art of War
1,4,12,20,24,32,1,1,1,1,Guess Wildly
