Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
3,5,7,10,12,1,26,30,3,3
0,0,0,0,0,22,22,22,22,22
0,0,5,0,10,13,15,19,19,19
2,4,4,6,25,2,22,24,6,5
0,0,0,5,8,16,14,18,19,20
4,4,4,10,15,16,21,3,11,12
10,0,0,16,0,20,0,25,0,29
10,0,0,0,0,0,0,30,30,30
0,0,0,0,10,13,14,22,21,20
1,1,2,2,11,14,16,17,18,18
2,2,3,6,10,14,17,20,15,10
1,4,6,0,0,20,0,21,33,15
2,4,6,6,15,13,6,6,21,21
0,0,5,8,12,16,17,2,20,20
3,4,5,8,10,11,12,16,16,15
1,9,9,1,1,1,29,29,1,19
2,6,8,6,13,11,6,6,21,21
0,2,3,7,10,10,16,0,26,26
0,0,0,0,0,25,25,25,25,0
0,8,0,15,18,0,27,0,0,32
1,2,4,7,9,12,13,17,17,18
0,0,0,15,20,20,20,25,0,0
10,0,0,0,0,0,0,28,29,33
2,2,5,5,2,27,1,1,29,26
0,4,6,8,14,15,16,17,20,0
4,5,8,15,20,22,16,2,4,4
0,4,7,10,15,2,2,2,28,30
0,0,0,0,0,20,23,27,30,0
0,3,6,10,15,1,2,2,33,28
0,11,11,11,3,3,0,0,33,28
0,0,7,0,0,0,21,21,0,51
1,1,1,1,1,1,20,24,25,25
2,5,2,5,11,13,13,21,18,10
2,3,4,5,6,10,15,19,18,18
2,3,5,6,7,11,15,16,18,19
3,5,7,10,12,0,17,0,22,24
1,3,5,7,9,11,13,15,17,19
0,0,0,0,10,16,17,18,19,20
0,0,0,14,18,0,0,0,32,36
0,5,0,8,12,15,20,20,0,20
0,1,11,3,22,3,24,3,20,13
2,2,0,0,0,18,19,19,19,21
0,0,0,15,0,0,25,30,30,0
0,1,4,11,11,17,18,4,6,28
2,3,5,7,9,11,13,15,16,18
1,1,1,1,1,15,20,20,20,20
2,2,0,0,0,18,18,19,20,21
7,8,10,12,15,20,25,1,1,1
2,2,5,14,11,1,23,23,3,16
1,2,4,8,16,17,32,17,2,1
0,0,0,0,20,25,25,0,0,30
3,7,9,12,14,16,18,21,0,0
0,0,0,25,25,25,25,0,0,0
7,8,0,0,0,0,25,30,0,30
4,6,7,8,8,10,12,15,15,15
6,8,10,12,14,17,4,4,5,20
4,7,11,14,18,21,25,0,0,0
2,2,4,0,0,4,15,10,36,27
1,5,1,9,1,11,20,12,20,20
1,1,2,4,13,8,26,7,33,5
7,10,10,15,22,23,2,3,4,4
2,4,6,8,10,10,10,10,17,17
2,2,6,8,12,18,3,2,21,26
0,1,14,1,1,1,25,25,1,31
3,4,5,8,0,12,13,17,18,20
4,7,9,10,11,13,16,0,15,15
0,0,2,3,5,9,13,19,22,27
0,1,1,16,19,2,2,2,33,24
2,2,2,14,11,17,25,23,2,2
2,4,6,7,9,12,14,16,16,14
2,2,2,13,4,16,10,14,17,20
0,0,2,5,12,12,15,18,19,17
0,7,8,11,13,0,18,0,22,21
0,0,0,0,20,0,23,27,30,0
0,1,1,2,3,7,14,19,20,33
1,2,2,5,8,16,16,16,17,17
7,8,10,12,14,0,0,0,23,26
0,1,2,4,6,10,12,18,21,26
1,3,5,5,5,10,25,25,25,1
1,1,2,3,4,21,27,28,6,7
6,0,0,0,0,0,0,32,32,30
3,4,8,8,8,1,1,1,33,33
0,7,7,0,0,25,0,30,31,0
0,2,7,12,2,18,21,3,29,6
2,2,2,2,2,18,18,18,18,18
2,3,5,7,9,11,13,17,19,14
0,1,6,8,10,11,13,15,17,19
4,5,7,9,1,1,17,19,18,19
1,1,12,1,1,23,3,0,31,27
0,4,0,0,0,0,24,24,24,24
0,0,0,0,6,11,17,31,31,4
0,7,12,15,0,0,0,0,33,33
2,4,5,7,10,13,13,14,18,14
0,1,9,2,2,24,1,1,32,28
8,5,5,22,5,5,5,5,5,35
1,3,5,7,9,11,13,15,17,19
10,10,10,10,10,10,10,10,10,10
3,3,4,8,8,14,15,19,13,13
1,1,2,2,19,20,4,22,24,5
0,3,4,1,1,14,18,20,20,19
4,5,9,7,4,12,17,8,15,19
0,0,0,16,19,23,23,19,0,0
0,6,11,13,16,22,1,29,1,1
3,4,6,7,9,13,16,19,22,1
0,0,9,0,0,20,0,0,30,41
0,0,0,0,15,20,0,25,30,10
5,8,11,14,17,20,23,0,2,0
2,2,2,11,21,3,3,4,26,26
7,0,0,1,1,1,1,26,41,22
0,0,0,0,15,18,21,23,23,0
1,3,5,7,9,11,13,15,17,19
0,2,3,5,10,10,15,15,20,20
0,0,10,0,0,0,0,30,30,30
0,5,0,15,20,0,0,0,30,30
0,0,0,0,0,0,20,25,25,30
0,0,0,0,11,11,0,39,39,0
1.1,2.1,3.1,4.1,6.1,7.1,15.1,16.1,20.1,25.1
4,6,8,14,18,24,26,0,0,0
3,5,5,0,0,15,18,18,19,17
10,10,10,10,10,25,25,0,0,0
0,1,6,12,1,0,28,31,20,1
1,1,1,1,11,14,15,19,19,18
3,3,3,3,13,13,3,13,33,13
10,0,0,0,0,0,0,30,30,30
1,1,1,15,1,1,25,25,30,0
0,0,0,18,18,0,0,0,32,32
1,1,1,1,1,1,20,22,24,28
1,2,4,5,13,15,16,22,23,0
1,1,8,11,14,17,1,1,1,45
1,3,4,6,8,13,14,18,18,15
1,1,1,1,1,27,27,27,7,7
0,18,0,0,20,20,21,21,0,0
0,4,6,8,11,0,15,18,18,20
1,1,1,12,13,1,18,1,26,26
10,10,10,15,15,20,20,0,0,0
0,0,12,1,1,23,2,1,35,25
1,1,8,13,18,1,23,1,28,6
2,4,6,8,10,14,16,18,0,22
8,0,0,0,0,0,0,30,31,31
2,10,10,10,20,18,0,0,0,30
2,2,2,2,12,15,20,23,20,2
5,5,5,5,0,14,16,20,8,22
0,9,11,0,0,23,29,0,0,27
2,4,5,7,9,11,13,15,16,18
2,4,5,7,9,11,13,15,16,18
2,0,6,0,0,0,14,22,26,30
0,0,0,0,18,21,0,29,32,0
0,0,0,0,21,26,27,0,0,26
0,7,9,1,1,23,25,1,1,32
1,5,6,6,13,3,16,20,20,10
1,6,8,2,3,21,4,5,24,26
1,1,1,14,14,19,19,29,1,1
2,2,2,15,15,20,20,20,2,2
1,2,2,2,3,16,17,18,19,20
0,0,0,0,14,18,1,32,34,1
0,0,3,10,3,19,6,1,26,32
4,5,7,9,1,13,16,18,15,13
3,4,6,7,11,14,14,17,17,16
1,1,1,1,15,20,1,20,20,20
1,3,5,7,9,11,13,15,17,19
2,3,4,7,9,12,12,16,18,17
0,0,0,16,21,1,1,1,34,26
3,4,8,12,15,16,18,0,0,24
2,2,3,3,10,10,15,15,20,20
8,8,11,13,15,18,21,2,2,2
6,7,12,15,18,20,22,0,0,0
5,0,0,0,0,0,0,32,32,31
1,1,1,1,1,1,20,21,25,25
0,0,7,10,12,14,17,19,21,0
2,2,4,5,7,10,16,18,18,18
1,1,2,2,3,15,19,19,19,19
0,0,5,12,1,0,23,2,20,28
0,0,0,0,0,20,20,20,20,20
2,1,3,7,10,5,15,20,19,18
2,3,5,7,9,12,14,17,16,15
1,1,1,6,8,11,15,17,19,21
11,8,12,12,12,12,12,11,12,10
3,5,6,9,11,11,13,16,18,8
7,0,0,0,0,0,0,31,31,31
3,4,5,8,10,13,15,20,20,2
1,1,3,5,11,14,17,20,15,18
1,2,2,5,10,13,14,18,18,17
0,0,0,0,0,0,20,25,25,30
2,2,2,7,9,15,17,17,17,12
7,9,11,13,16,18,20,3,2,1
0,4,4,4,5,6,14,17,23,19
0,0,0,0,0,20,20,20,20,20
6,7,9,10,13,17,1,1,1,35
2,5,10,10,20,21,21,0,11,0
1,5,3,9,5,15,7,21,8,24
0,1,7,8,9,15,6,6,28,20
0,0,0,0,21,23,25,0,0,31
0,9,1,1,11,13,26,38,0,1
0,0,0,9,3,0,25,27,0,36
0,7,11,14,0,0,0,0,32,36
0,0,0,0,10,14,18,22,20,16
2,3,4,10,11,12,15,0,21,22
0,0,0,20,0,25,0,30,0,25
0,5,8,0,4,23,26,1,1,32
0,0,5,7,9,11,13,19,17,19
1,1,8,10,15,15,1,1,25,23
5,7,11,13,17,21,26,0,0,0
0,0,0,10,8,0,10,27,34,11
3,4,5,7,10,12,15,18,14,12
0,1,1,1,2,20,20,25,25,5
0,0,0,0,0,1,21,24,13,41
2,4,5,7,9,11,13,15,16,18
0,0,5,5,16,6,22,8,28,10
1,3,4,6,8,12,14,16,17,19
4,0,0,0,0,0,0,32,32,32
2,3,3,7,14,15,17,19,19,1
5,5,5,7,10,15,20,0,0,33
0,5,7,9,11,14,16,18,20,O
0,0,0,0,0,20,20,20,20,20
0,3,5,7,9,11,16,18,18,13
12,0,0,0,0,0,0,29,29,30
1,1,4,7,6,15,20,23,13,10
2,3,4,7,9,13,16,18,15,13
5,0,0,0,0,0,0,31,32,32
2,3,5,7,11,14,15,17,18,16
0,0,0,14,15,15,22,22,22,0
0,0,0,17,18,0,0,0,35,30
1,2,10,13,22,24,1,1,1,25
10,1,1,1,1,1,1,25,28,31
23,1,1,1,1,1,1,23,24,24
1,1,1,1,22,22,22,0,0,30
3,4,5,1,10,13,14,11,20,19
1,1,3,5,10,14,17,20,17,12
0,4,7,9,11,14,17,19,18,1
1,0,0,0,9,17,19,21,21,13
0,0,0,13,2,22,1,5,34,23
10,8,4,10,15,5,15,17,6,10
0,0,4,14,16,18,22,26,0,0
0,6,9,11,14,2,27,31,0,0
0,4,5,6,10,14,19,21,21,0
1,2,2,5,13,14,14,17,17,15
6,8,10,13,15,18,0,0,0,30
2,2,3,5,7,12,14,19,18,18
2,3,6,8,12,22,6,27,7,7
1,1,5,4,9,11,15,25,0,29
2,3,4,10,12,12,13,16,14,14
1,1,1,10,10,15,15,20,15,12
1,2,3,1,1,16,1,20,25,30
0,0,0,17,19,0,5,6,22,31
0,0,1,12,1,24,2,3,34,23
2,3,5,7,9,12,15,18,16,13
0,0,0,15,0,0,24,27,34,0
1,4,6,8,5,12,16,7,20,21
0,0,1,1,14,20,5,27,30,2
10,10,10,12,16,20,22,0,0,0
0,1,2,15,22,2,2,2,32,22
0,8,6,1,1,5,24,5,24,26
6,7,8,9,10,14,15,17,14,0
0,0,0,0,5,15,15,20,20,25
0,0,0,13,17,1,1,1,31,36
0,0,0,4,6,11,13,21,22,23
3,4,5,8,11,14,15,19,19,2
0,0,0,13,12,13,14,15,16,17
2,4,6,7,10,10,11,11,19,20
2,2,5,9,16,18,20,23,1,4
0,3,0,13,15,0,3,0,33,33
3,3,4,5,7,24,24,30,0,0
0,0,12,0,23,0,29,0,36,0
15,10,10,15,15,15,20,0,0,0
2,2,3,3,8,12,25,30,15,0
5,7,7,12,0,0,0,21,23,25
0,5,6,8,1,20,40,20,0,0
2,4,3,8,8,14,15,20,15,12
4,0,0,0,0,0,0,32,32,32
0,8,0,12,16,0,25,0,0,39
0,0,0,0,10,14,16,18,20,22
2,4,4,5,5,5,10,10,15,40
0,9,13,14,0,0,0,0,33,31
6,5,12,12,14,5,11,14,8,13
5,7,8,11,15,15,19,20,0,0
0,0,0,14,15,17,17,18,19,0
6,0,0,0,0,0,0,21,31,42
1,1,1,6,15,15,20,20,20,1
4,4,5,6,9,12,20,20,19,1
3,2,5,3,13,1,27,31,11,4
5,6,7,0,0,0,19,20,21,22
3,3,3,3,3,21,21,21,21,1
1,1,6,8,12,13,17,0,20,20
4,5,5,0,0,0,25,23,20,18
4,4,5,8,10,14,15,2,19,19
1,2,4,7,8,13,15,18,15,17
6,8,9,11,0,0,0,22,22,22
4,6,4,11,12,4,9,4,34,12
0,0,13,1,1,24,1,1,34,25
1,3,8,8,5,14,14,13,14,20
0,0,0,0,0,20,20,20,20,20
1,1,1,1,11,13,15,17,19,21
2,2,3,6,10,12,14,18,18,15
0,2,0,2,0,0,0,32,32,32
3,6,7,8,2,13,15,1,33,12
0,0,10,14,16,18,20,22,0,0
3,4,6,10,14,15,15,16,16,1
2,0,5,11,12,15,16,20,0,19
0,0,5,7,9,17,0,21,21,20
0,1,1,7,6,10,11,20,24,20
16,0,0,0,0,0,0,26,28,30
4,5,6,9,11,14,15,1,10,25
4,4,5,10,12,2,23,2,2,36
7,0,0,0,0,0,0,31,31,31
11,0,0,0,0,0,0,28,29,32
2,2,0,7,10,13,14,18,18,16
5,6,6,7,7,9,15,16,16,13
2,4,5,7,9,11,13,15,16,18
1,1,3,6,10,13,15,16,17,18
0,0,0,2,3,24,11,20,34,6
4,6,14,11,13,26,26,0,0,0
1,5,1,8,1,14,1,20,25,24
0,0,0,10,11,16,21,21,21,0
4,5,7,9,11,14,16,19,15,0
1,1,1,6,5,1,10,25,20,30
3,0,0,0,0,0,0,29,32,36
0,0,1,12,15,20,25,1,1,25
7,7,8,11,15,27,0,0,0,25
0,0,0,0,10,14,16,18,20,22
0,8,0,0,15,20,26,31,0,0
1,1,9,13,15,1,18,1,16,25
5,1,1,1,1,1,1,29,30,30
0,0,6,9,12,15,16,20,22,0
1,3,6,10,10,15,16,18,12,9
15,3,5,7,9,0,0,23,19,19
1,2,3,4,5,5,20,20,20,20
3,7,7,8,4,13,16,19,22,1
1,1,1,1,1,15,20,20,20,20
0,0,0,0,16,18,0,19,24,23
3,3,4,8,9,12,15,16,16,16
0,0,0,14,3,14,15,5,25,24
2,6,9,4,10,12,14,15,14,14
3,6,2,11,12,9,15,15,14,13
3,4,5,8,15,25,40,0,0,0
1,1,4,3,5,0,10,11,35,30
3,3,5,7,11,11,15,15,15,15
6,7,10,14,17,21,25,0,0,0
0,0,7,0,0,23,0,0,34,36
1,2,2,3,4,6,9,14,22,37
1,1,9,11,13,16,21,26,1,1
4,11,21,4,16,4,21,4,4,11
1,19,19,1,1,19,19,1,19,1
2,4,8,2,14,2,22,2,22,22
4,6,8,12,1,18,1,24,25,1
1,1,2,3,12,13,1,1,33,33
2,1,1,1,5,10,20,20,20,20
1,5,5,8,10,11,13,13,15,19
10,3,3,14,3,18,3,20,23,3
1,1,1,1,15,17,19,21,23,1
0,0,10,0,0,0,0,30,30,30
1,1,8,15,19,0,25,0,31,0
0,0,0,0,0,15,15,20,20,30
7,7,10,12,15,18,20,0,3,8
5,7,0,8,5,14,13,17,12,19
4,3,6,2,3,6,3,30,21,22
0,1,1,12,3,2,22,3,33,23
1,3,5,7,9,12,15,18,16,14
6,6,10,12,12,15,3,3,3,30
5,5,5,5,5,15,15,15,15,15
0,1,6,7,11,15,20,0,20,20
0,0,0,9,8,19,19,1,22,22
1,1,1,1,12,20,20,18,20,6
6,2,2,0,0,0,0,30,30,30
1,19,1,1,19,19,1,1,19,19
0,0,2,9,15,6,5,6,35,22
10,10,10,10,20,20,20,0,0,0
1,1,1,19,19,1,1,19,19,49
0,0,0,0,0,18,19,20,21,22
1,1,1,19,19,1,1,19,19,19
5,7,9,15,18,22,24,0,0,0
0,5,5,15,15,15,15,15,15,0
5,5,10,16,16,20,25,1,1,1
0,0,12,1,1,23,3,3,33,24
5,7,8,13,17,21,26,1,1,1
0,0,15,0,0,20,0,0,33,32
4,7,11,14,18,21,25,0,0,0
4,4,4,4,10,25,25,20,2,2
2,3,3,7,10,14,16,18,16,11
2,3,4,8,10,14,16,2,21,20
0,0,0,0,4,4,19,19,19,35
3,5,7,10,18,24,30,1,1,1
2,11,11,11,17,17,3,3,3,22
0,1,11,2,2,22,3,2,33,24
0,0,0,0,10,0,0,30,30,30
1,2,4,8,10,13,14,13,18,17
6,7,7,9,13,16,19,23,0,0
5,5,9,14,17,20,30,0,0,0
3,3,3,2,16,19,17,6,28,3
1,3,5,7,9,11,13,15,17,19
0,0,0,0,20,20,0,30,30,0
10,0,0,0,0,0,0,30,30,30
0,0,0,0,0,18,19,20,21,22
1,1,3,3,1,15,6,22,28,20
2,2,2,1,17,19,21,6,6,24
1,6,1,14,1,20,1,25,1,30
0,0,1,9,11,14,15,18,11,21
3,7,0,1,12,0,21,15,21,20
10,0,0,0,0,0,0,30,30,30
6,6,3,3,2,15,14,17,17,17
0,4,0,13,0,25,0,37,0,21
0,0,0,0,17,21,29,0,0,33
2,4,3,3,3,16,19,22,0,25
2,3,6,1,1,1,15,20,23,28
2,2,13,1,16,1,26,3,4,32
0,0,5,18,18,19,20,20,0,0
0,0,0,20,20,20,20,20,0,0
5,6,6,7,8,9,9,8,3,39
5,7,7,15,18,22,25,1,1,1
1,5,7,2,12,14,17,2,20,20
0,0,0,0,0,0,25,25,25,25
3,5,5,0,10,10,15,18,17,17
4,4,5,8,10,12,16,18,20,3
4,4,6,6,6,7,19,19,19,10
5,5,5,5,15,20,0,0,25,20
1,1,1,12,14,2,2,2,30,35
3,3,3,0,13,14,16,18,18,12
1,7,1,11,17,20,1,1,40,1
4,5,8,10,15,2,23,2,27,4
13,0,0,0,0,0,0,29,29,29
0,0,0,0,15,26,31,0,0,28
1,1,1,15,17,1,1,1,30,32
1,1,1,1,17,18,19,20,21,1
1,1,7,9,1,1,20,20,20,20
0,0,1,16,1,24,1,28,1,28
3,4,5,6,7,8,9,19,19,20
0,0,0,14,0,26,0,38,0,22
1,9,10,1,16,1,2,28,2,30
2,2,2,2,15,20,30,1,1,25
2,2,2,6,8,10,16,17,18,19
1,1,1,1,1,1,1,31,31,31
0,0,0,0,18,20,28,0,0,34
4,4,7,9,11,14,17,20,14,0
1.1,4.1,7.1,2.1,16.1,3.1,3.1,16.1,29.1,28.1
6,8,10,12,14,16,18,7,7,2
1,3,4,7,9,11,13,15,16,21
0,0,0,5,7,18,18,18,20,14
2,3,6,11,22,22,23,3,3,5
1,5,0,3,16,16,16,19,22,2
0,9,9,0,19,0,3,29,0,31
7,11,12,15,16,18,21,0,0,0
7,0,0,0,0,0,0,31,31,31
5,0,0,0,0,0,0,27,34,34
3,3,5,7,9,12,15,18,15,13
0,0,0,0,0,15,19,24,23,19
4,8,10,12,14,20,23,3,3,4
8,10,10,10,12,25,0,0,0,25
4,0,6,0,16,0,0,0,36,38
0,0,20,0,0,0,25,25,0,30
4,5,6,12,16,18,19,20,0,0
10,2,2,2,2,2,5,25,25,25
1,3,3,3,8,8,14,9,25,26
6,0,0,0,0,0,0,28,33,33
0,0,0,25,0,0,25,25,25,0
1,1,1,6,14,14,14,18,18,13
0,0,0,0,25,25,0,25,25,0
1,6,3,11,3,15,21,3,34,3
0,5,7,9,11,14,17,0,18,19
0,0,0,25,0,0,25,25,25,0
0,8,0,0,0,0,28,0,32,32
1,3,5,7,9,11,13,15,17,19
10,10,10,10,10,10,0,0,20,20
0,0,12,1,2,23,3,3,33,23
0,0,0,0,0,0,25,25,25,25
0,0,0,5,20,25,25,25,0,0
0,0,1,13,1,2,27,26,23,7
5,6,13,1,15,1,18,3,3,35
0,0,2,4,10,15,20,22,23,4
0,0,0,0,0,17,18,22,22,21
1,1,3,4,5,12,15,24,24,11
0,0,12,16,20,26,0,0,0,32
1,1,1,1,11,14,15,19,19,18
0,2,3,10,5,13,17,12,20,18
0,0,10,0,0,0,20,30,0,40
0,0,0,10,0,0,20,30,40,0
0,5,5,5,11,14,16,18,14,12
3,5,5,10,7,10,15,15,29,1
1,9,1,1,16,20,21,29,1,1
0,0,10,12,12,0,18,18,0,30
2,4,2,11,4,16,4,23,8,26
0,0,0,0,0,13,18,20,24,25
1,7,8,11,15,19,1,1,1,36
1,1,4,1,1,2,25,28,2,35
6,9,0,20,0,30,0,30,1,4
1,1,13,2,2,24,4,4,34,15
0,0,1,1,15,17,20,21,23,2
2,3,11,21,3,12,21,23,2,2
3,5,8,10,13,1,26,30,2,2
0,0,0,17,17,0,0,0,33,33
0,0,0,4,14,12,16,17,18,19
6,8,10,14,18,22,24,0,0,0
5,5,8,10,3,3,21,22,21,2
0,9,0,0,16,21,26,26,1,1
10,0,0,0,0,0,0,30,30,30
2,3,4,5,6,8,20,21,20,11
1,1,1,1,21,21,21,1,1,31
0,0,0,15,17,20,23,25,0,0
1,1,2,3,8,12,16,19,20,18
1,5,7,1,7,14,21,15,19,10
1,1,6,10,10,13,18,18,18,5
2,3,4,7,9,12,13,17,17,16
100,100,100,100,100,100,100,100,100,100
0,8,1,1,1,1,1,29,29,29
0,0,6,8,10,12,16,17,16,15
5,6,7,12,13,16,19,22,0,0
1,1,1,1,19,20,20,20,7,10
5,5,6,9,5,5,6,9,25,25
1,2,4,3,3,21,4,4,25,28
0,0,0,12,19,2,3,3,35,26
5,6,6,11,12,2,2,1,28,28
2,5,10,12,15,23,30,1,1,1
1,2,1,16,16,1,28,1,28,6
5,2,0,0,0,0,0,30,31,32
1,11,11,11,11,11,11,11,11,11
3,4,0,8,0,20,0,30,0,35
0,0,3,8,12,16,25,20,12,4
3,3,4,10,10,10,10,10,20,20
1,1,1,19,0,19,0,29,0,30
0,0,12,12,17,22,2,2,2,31
1,1,9,16,20,20,1,1,1,30
6,6,6,11,11,16,21,19,2,2
6,6,0,0,0,28,0,0,30,30
2,3,3,3,3,3,15,27,56,1
2,2,5,2,7,12,15,27,2,26
3,3,4,12,10,14,12,18,16,18
2,5,6,10,13,20,20,20,2,2
0,0,3,6,15,17,0,20,20,19
0,0,0,0,18,24,26,0,0,32
1,1,1,8,9,14,17,22,20,7
1,1,2,3,6,18,19,20,20,10
0,1,2,2,6,3,26,26,17,17
11,0,0,0,0,0,0,27,31,31
0,0,0,0,13,15,17,18,19,18
0,0,5,0,10,14,17,20,19,15
5,6,13,9,13,21,17,4,6,6
5,5,0,0,0,0,0,30,30,30
6,0,0,0,0,0,0,31,31,32
1,1,1,6,15,15,20,20,20,1
0,0,11,11,0,15,25,37,0,0
1,2,5,7,9,13,15,18,16,14
0,0,0,14,0,18,0,20,23,25
1,2,3,5,7,12,15,17,18,20
0,0,1,12,1,24,1,30,1,30
1,2,3,5,7,12,15,17,18,20
2,2,3,6,8,13,16,19,17,14
0,5,4,5,12,15,18,0,22,19
1,1,3,5,9,13,14,18,19,17
2,1,5,4,5,14,20,18,16,15
3,5,8,10,13,1,26,29,2,3
6,7,8,11,14,15,17,20,1,1
3,5,8,10,12,0,20,0,21,21
9,5,2,7,0,20,6,20,18,13
5,0,0,0,0,0,0,31,32,32
2,2,2,2,2,15,15,20,20,20
0,0,0,0,30,30,40,0,0,0
2,3,5,7,9,10,13,15,16,20
0,2,4,6,8,11,19,17,17,16
3,3,4,6,12,8,13,18,17,16
3,4,5,8,10,13,15,18,18,7
0,0,10,13,21,24,3,1,2,26
0,0,0,14,18,0,0,0,34,34
3,4,7,9,13,16,3,5,20,20
10,10,10,10,20,0,20,20,0,15
1,2,2,2,2,3,7,13,25,43
1,1,0,1,1,3,24,6,36,27
0,0,0,0,0,0,0,32,34,34
1,3,4,6,4,20,0,34,0,28
1,1,0,9,1,0,28,26,0,34
10,10,10,10,10,10,10,10,10,10
0,4,7,11,12,21,1,4,34,6
0,0,0,15,0,0,25,30,30,0
2,2,3,6,9,12,15,16,17,18
4,1,1,1,1,1,1,30,30,30
3,2,5,6,8,8,13,17,16,22
11,11,12,13,14,17,22,0,0,0
0,1,2,4,10,12,14,17,19,21
0,5,0,11,13,19,22,22,4,4
2,4,4,5,9,11,12,18,17,18
1,1,5,6,16,18,22,3,4,25
1,2,3,5,8,9,16,17,19,20
8,0,0,0,0,0,0,28,30,34
0,0,4,0,10,15,15,18,18,20
0,0,10,0,16,20,0,24,30,0
10,0,0,0,0,0,0,27,30,33
1,3,3,3,0,20,25,10,25,10
1,1,1,1,1,1,1,12,41,40
0,3,2,5,3,7,4,16,35,25
2,2,2,2,2,10,27,26,25,2
2,3,2,8,10,13,15,17,17,13
0,0,0,0,0,5,20,25,25,25
6,7,10,10,17,17,21,4,4,4
2,4,6,5,7,8,14,16,18,20
1,3,5,7,9,11,13,15,17,19
3,4,6,8,9,18,21,10,10,11
5,6,7,13,15,23,0,31,0,0
0,5,7,10,13,17,18,3,22,5
0,0,0,0,4,0,6,30,30,30
0,0,0,0,0,31,31,0,0,38
3,1,9,2,3,18,4,24,5,31
4,5,6,10,15,18,0,0,24,18
2,2,2,3,15,15,15,15,15,15
30,25,20,15,5,1,1,1,1,1
1,3,5,7,9,11,13,15,17,19
2,3,8,12,12,23,6,4,7,23
0,0,10,0,0,20,0,0,35,35
0,0,0,10,10,15,15,0,25,25
1,1,2,4,7,9,13,17,22,25
5,8,0,0,0,0,0,28,29,30
0,0,0,0,0,20,23,27,30,0
1,2,2,3,4,8,15,18,23,24
0,0,0,0,0,0,24,24,26,26
0,0,0,19,0,0,26,27,28,0
1,3,5,7,1,1,1,1,40,40
5,7,8,10,15,15,20,0,0,20
0,0,0,0,0,0,25,25,25,25
2,4,5,7,9,11,13,15,16,18
3,5,7,9,11,13,15,17,19,0
0,0,0,0,0,0,24,25,25,26
1,1,1,17,18,19,20,21,1,1
2,2,2,0,8,15,14,19,19,19
5,3,2,1,1,1,1,28,28,30
0,0,3,6,8,13,17,21,21,11
0,0,0,10,0,16,17,20,19,18
0,5,0,9,0,20,0,31,0,35
1,1,14,1,1,20,1,1,30,30
6,6,7,8,10,25,35,1,1,1
0,0,0,20,20,0,0,0,30,30
1,1,13,16,2,21,21,21,2,2
0,5,7,12,12,22,3,26,6,7
