date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-7-29,78,68,88,64,84,53,100,1909,1995,0.00,0.00,0.00
2014-7-30,79,68,90,64,84,54,100,1894,1980,0.00,0.00,0.02
2014-7-31,77,67,87,64,84,52,100,1885,1972,0.00,0.00,0.01
2014-8-1,76,66,85,64,84,54,99,1888,1959,0.00,0.00,0.01
2014-8-2,78,65,90,64,84,51,98,1888,1997,0.02,0.00,0.02
2014-8-3,79,72,85,64,84,52,100,1913,1918,0.02,0.00,0.02
2014-8-4,76,65,87,64,84,52,94,1912,1971,0.00,0.00,0.05
2014-8-5,73,63,82,64,84,52,100,1887,1997,0.00,0.00,0.09
2014-8-6,70,63,77,64,84,50,105,1883,1983,0.00,0.01,0.02
2014-8-7,73,64,81,64,84,54,99,1894,1884,0.00,0.00,0.11
2014-8-8,74,65,82,64,84,54,100,1916,1881,0.00,0.00,0.02
2014-8-9,75,67,82,64,84,53,100,1889,1998,0.00,0.00,0.19
2014-8-10,76,66,85,64,84,54,99,1897,1882,0.00,0.00,0.04
2014-8-11,75,65,85,64,84,53,98,1894,1879,0.00,0.00,0.02
2014-8-12,75,66,84,64,84,52,104,1894,1994,0.00,0.00,0.32
2014-8-13,73,65,81,64,84,54,102,1892,1994,0.00,0.00,0.13
2014-8-14,74,65,83,64,84,54,97,1887,1885,0.00,0.01,0.01
2014-8-15,76,63,89,64,84,52,98,1894,1994,0.00,0.00,0.40
2014-8-16,78,66,90,64,84,52,98,1883,1890,0.00,0.00,0.19
2014-8-17,78,66,89,64,85,52,104,1887,1885,0.00,0.00,2.06
2014-8-18,76,65,86,64,85,52,102,1887,1885,0.00,0.00,0.44
2014-8-19,76,69,82,64,85,54,106,1916,1885,0.00,0.00,0.14
2014-8-20,76,67,84,64,85,51,97,1900,1986,0.00,0.00,0.03
2014-8-21,73,65,80,64,85,53,96,1899,1982,0.00,0.00,0.00
2014-8-22,74,66,81,64,85,52,102,1901,1972,0.00,0.01,0.04
2014-8-23,76,66,85,64,85,54,100,1905,1968,0.00,0.00,0.00
2014-8-24,75,67,83,64,85,53,96,1900,1931,0.00,0.00,0.05
2014-8-25,72,64,80,64,85,52,102,1909,1985,0.00,0.00,0.01
2014-8-26,75,65,84,64,85,53,98,1885,1981,0.00,0.00,0.10
2014-8-27,79,66,91,64,85,53,103,1902,1981,0.00,0.00,0.96
2014-8-28,80,68,91,64,85,52,99,1902,1995,0.00,0.01,0.10
2014-8-29,78,65,90,64,85,51,102,1901,1884,0.00,0.00,0.08
2014-8-30,77,65,89,64,85,49,101,1901,1998,0.00,0.00,0.21
2014-8-31,78,69,87,64,85,52,103,1895,1967,0.00,0.00,0.61
2014-9-1,78,70,85,64,85,49,110,1901,1955,0.00,0.00,0.41
2014-9-2,76,68,84,64,85,51,108,1881,1955,0.00,0.00,0.02
2014-9-3,75,67,83,64,85,51,103,1892,1988,0.00,0.00,0.05
2014-9-4,73,66,80,64,85,52,110,1892,1988,0.00,0.01,0.30
2014-9-5,75,66,83,64,85,50,105,1898,1984,0.00,0.00,0.32
2014-9-6,76,65,86,64,84,48,102,1898,1955,0.00,0.00,0.17
2014-9-7,80,68,92,64,84,50,103,1884,1949,0.00,0.00,0.00
2014-9-8,80,71,88,64,84,47,103,1901,1984,0.01,0.00,0.19
2014-9-9,80,68,91,64,84,48,102,1884,1956,0.00,0.01,0.01
2014-9-10,76,64,87,64,84,52,103,1893,1983,0.00,0.00,1.74
2014-9-11,78,67,89,64,84,48,101,1901,1983,0.00,0.01,0.33
2014-9-12,80,68,91,64,84,48,102,1884,1971,0.00,0.01,0.13
2014-9-13,82,69,94,64,84,48,106,1884,1971,0.00,0.00,0.07
2014-9-14,85,71,98,63,84,48,100,1898,2012,0.00,0.01,0.04
2014-9-15,84,73,94,63,83,49,103,1895,2012,0.00,0.01,0.03
2014-9-16,90,76,103,63,83,48,103,1884,1909,0.00,0.01,0.07
2014-9-17,84,72,96,63,83,46,108,1884,1913,0.00,0.01,0.42
2014-9-18,74,67,81,63,83,48,103,1884,1939,0.00,0.01,1.39
2014-9-19,75,67,82,63,83,49,104,1907,1939,0.00,0.01,0.27
2014-9-20,72,66,78,63,83,49,107,1900,1939,0.00,0.01,0.29
2014-9-21,72,65,79,63,82,47,108,1880,1885,0.00,0.01,0.15
2014-9-22,72,63,80,63,82,48,104,1895,1883,0.00,0.02,0.40
2014-9-23,74,63,84,62,82,44,104,1880,1978,0.00,0.01,0.28
2014-9-24,75,62,88,62,82,45,106,1880,1978,0.00,0.01,1.95
2014-9-25,76,67,85,62,82,48,107,1879,1978,0.00,0.01,3.96
2014-9-26,74,65,83,62,82,48,109,1893,1963,0.00,0.01,0.24
2014-9-27,70,63,77,62,81,46,113,1901,2010,0.00,0.02,0.68
2014-9-28,72,64,79,62,81,49,106,1901,1963,0.00,0.01,0.74
2014-9-29,70,61,78,62,81,44,102,1880,1999,0.00,0.01,0.49
2014-9-30,75,64,85,62,81,48,105,1886,1906,0.00,0.02,1.58
2014-10-1,73,64,82,61,81,49,100,1901,1991,0.00,0.01,0.74
2014-10-2,81,64,98,61,81,44,101,1884,1995,0.00,0.02,0.53
2014-10-3,83,67,98,61,80,44,108,1884,1987,0.00,0.02,0.37
2014-10-4,81,65,97,61,80,44,108,1884,1987,0.00,0.01,0.24
2014-10-5,80,65,95,61,80,46,101,1884,1971,0.00,0.02,1.15
2014-10-6,78,64,92,61,80,44,102,1881,1971,0.00,0.02,0.30
2014-10-7,79,64,93,60,80,43,98,1884,1971,0.00,0.02,0.17
2014-10-8,75,63,87,60,80,43,100,1881,1994,0.00,0.02,0.42
2014-10-9,74,67,80,60,79,46,102,1879,1988,0.00,0.01,0.44
2014-10-10,72,64,79,60,79,46,107,1890,1991,0.00,0.02,0.71
2014-10-11,73,64,81,60,79,42,100,1879,1971,0.00,0.02,0.34
2014-10-12,74,67,81,60,79,43,99,1886,1950,0.00,0.02,0.43
2014-10-13,74,65,82,59,79,42,104,1886,1950,0.00,0.02,1.09
2014-10-14,71,66,76,59,79,44,103,1881,1961,0.00,0.02,1.75
2014-10-15,71,63,78,59,79,43,102,1881,1961,0.00,0.01,0.27
2014-10-16,69,61,77,59,79,44,104,1881,1958,0.00,0.02,0.35
2014-10-17,69,62,76,59,78,44,102,1881,1958,0.00,0.03,1.72
2014-10-18,70,61,78,58,78,44,97,1881,1940,0.00,0.02,0.48
2014-10-19,70,62,77,58,78,43,99,1881,1940,0.00,0.02,0.79
2014-10-20,71,63,79,58,78,43,96,1886,1964,0.00,0.02,3.16
2014-10-21,71,64,78,58,78,45,100,1882,1929,0.00,0.02,0.53
2014-10-22,72,60,84,58,78,40,100,1892,1965,0.00,0.02,0.77
2014-10-23,73,60,85,57,78,41,98,1892,1965,0.00,0.03,1.87
2014-10-24,74,59,88,57,78,43,99,1886,1909,0.00,0.02,0.55
2014-10-25,71,61,80,57,77,43,96,1886,1983,0.00,0.03,1.04
2014-10-26,70,61,78,57,77,45,95,1897,1879,0.00,0.02,1.74
2014-10-27,70,62,77,57,77,41,99,1886,1890,0.00,0.03,1.37
2014-10-28,69,59,78,56,77,45,94,1903,1931,0.00,0.03,0.56
2014-10-29,72,59,85,56,77,43,94,1878,1931,0.00,0.03,0.84
2014-10-30,71,60,81,56,77,41,99,1971,1939,0.00,0.03,1.02
2014-10-31,66,60,71,56,76,42,96,1886,1918,0.25,0.03,1.64
2014-11-1,61,55,67,56,76,38,100,1886,1966,0.18,0.03,0.44
2014-11-2,61,51,70,55,76,36,99,1886,1997,0.00,0.03,0.35
2014-11-3,65,52,77,55,76,41,97,1886,2010,0.00,0.02,0.35
2014-11-4,64,51,77,55,76,44,96,1923,2010,0.00,0.03,0.42
2014-11-5,69,53,85,55,75,41,94,1881,1898,0.00,0.03,0.56
2014-11-6,76,61,90,54,75,40,95,1879,2006,0.00,0.02,1.07
2014-11-7,75,60,89,54,75,41,97,1890,2006,0.00,0.03,3.85
2014-11-8,74,59,89,54,75,40,93,1888,1956,0.00,0.03,1.82
2014-11-9,68,58,77,54,75,43,94,1886,1996,0.00,0.03,3.41
2014-11-10,66,62,70,53,74,42,93,1880,1990,0.00,0.02,1.95
2014-11-11,66,62,69,53,74,39,94,1881,1900,0.00,0.03,1.55
2014-11-12,64,58,70,53,74,38,93,1978,1974,0.00,0.04,1.88
2014-11-13,63,55,70,53,74,35,96,1880,1933,0.0,0.03,0.99
2014-11-14,67,60,73,52,73,36,93,1880,1933,0.00,0.03,1.33
2014-11-15,65,58,72,52,73,40,93,1968,2008,0.00,0.03,1.64
2014-11-16,65,55,74,52,73,35,93,1880,1924,0.00,0.04,2.01
2014-11-17,65,53,76,52,73,36,91,1886,1945,0.00,0.04,1.58
2014-11-18,65,52,77,51,72,34,94,1881,1895,0.00,0.03,1.50
2014-11-19,64,53,74,51,72,34,92,1886,2006,0.00,0.04,3.61
2014-11-20,62,53,70,51,72,37,91,1906,2006,0.0,0.03,1.38
2014-11-21,64,55,73,51,71,39,93,1905,1924,0.00,0.04,2.97
2014-11-22,63,52,73,50,71,36,89,1882,1950,0.00,0.04,3.51
2014-11-23,69,57,80,50,71,39,91,2003,1933,0.00,0.05,0.91
2014-11-24,67,53,80,50,71,36,94,1895,1933,0.00,0.04,2.03
2014-11-25,66,52,80,50,70,36,92,1879,1977,0.00,0.04,0.78
2014-11-26,69,53,85,50,70,40,90,1880,1903,0.00,0.04,1.28
2014-11-27,74,58,89,49,70,37,90,1897,1903,0.00,0.05,0.99
2014-11-28,67,53,81,49,70,36,90,1906,1924,0.00,0.04,3.51
2014-11-29,63,51,74,49,69,37,87,1878,1995,0.00,0.04,2.43
2014-11-30,63,60,66,49,69,37,88,1906,1964,0.30,0.05,1.96
2014-12-1,63,57,69,49,69,38,85,1880,1972,0.00,0.05,1.40
2014-12-2,62,58,66,49,69,36,88,1884,1893,1.21,0.05,1.21
2014-12-3,63,59,67,48,69,36,89,1897,1958,0.31,0.05,1.59
2014-12-4,64,57,71,48,69,37,91,1909,1979,0.00,0.05,1.59
2014-12-5,63,57,69,48,68,38,89,1891,1979,0.00,0.06,1.81
2014-12-6,63,55,71,48,68,36,88,1897,1938,0.00,0.06,1.01
2014-12-7,65,54,76,48,68,32,88,1978,1940,0.00,0.06,2.78
2014-12-8,67,55,78,48,68,30,92,1978,1938,0.00,0.07,2.29
2014-12-9,65,54,76,48,68,32,85,1951,1973,0.00,0.06,1.70
2014-12-10,63,53,73,48,68,36,87,1951,1950,0.00,0.06,1.58
2014-12-11,64,60,67,48,68,34,86,1898,1895,0.01,0.07,1.65
2014-12-12,59,52,65,47,68,34,86,1878,1895,1.60,0.06,4.30
2014-12-13,57,48,66,47,67,31,83,1901,1952,0.00,0.07,1.67
2014-12-14,57,47,66,47,67,30,85,1878,1886,0.00,0.07,0.96
2014-12-15,56,47,65,47,67,36,85,1901,1998,0.0,0.07,2.26
2014-12-16,57,54,60,47,67,37,89,1897,1980,0.41,0.07,1.96
2014-12-17,58,51,65,47,67,34,85,1895,1998,0.15,0.08,1.97
2014-12-18,55,48,62,47,67,35,86,1885,1917,0.00,0.08,2.18
2014-12-19,58,49,66,47,67,32,86,1897,1917,0.00,0.08,2.80
2014-12-20,57,50,64,47,67,35,83,1887,1985,0.00,0.08,4.19
2014-12-21,59,50,68,47,67,30,85,1897,1917,0.00,0.08,1.57
2014-12-22,63,50,75,47,67,33,80,1990,1960,0.00,0.09,2.63
2014-12-23,67,51,83,47,67,33,86,1905,1989,0.00,0.08,1.84
2014-12-24,64,53,75,47,67,33,87,1879,1985,0.00,0.09,2.64
2014-12-25,58,50,65,47,67,30,85,1879,1980,0.00,0.09,3.01
2014-12-26,53,42,63,47,68,35,85,1987,1980,0.00,0.09,1.20
2014-12-27,51,39,63,47,68,36,85,1916,2013,0.00,0.10,1.81
2014-12-28,53,43,63,47,68,36,87,1954,1919,0.00,0.10,5.55
2014-12-29,52,41,63,47,68,35,89,1882,1897,0.00,0.11,3.84
2014-12-30,52,47,56,47,68,37,89,1945,1980,0.19,0.10,1.85
2014-12-31,49,41,57,47,68,36,86,1882,1897,0.00,0.10,4.86
2015-1-1,48,37,59,47,68,35,84,1884,1898,0.00,0.11,3.12
2015-1-2,50,39,61,47,68,32,85,1886,1994,0.00,0.10,1.57
2015-1-3,52,40,63,47,68,33,87,1949,1902,0.00,0.11,2.27
2015-1-4,56,42,69,47,68,28,87,1949,1902,0.00,0.10,3.24
2015-1-5,66,50,81,48,68,31,85,1949,1902,0.00,0.10,2.11
2015-1-6,71,57,84,48,68,30,85,1913,2006,0.00,0.10,2.30
2015-1-7,69,53,85,48,68,28,87,1913,1996,0.00,0.10,3.52
2015-1-8,63,51,75,48,68,32,90,1888,1923,0.00,0.10,1.19
2015-1-9,64,56,72,48,68,31,88,1888,1923,0.00,0.10,2.58
2015-1-10,58,52,63,48,68,31,87,1888,1986,0.48,0.11,3.30
2015-1-11,60,56,63,48,68,32,89,1949,1996,0.50,0.10,1.57
2015-1-12,60,53,66,48,68,33,88,1949,2009,0.00,0.11,1.40
2015-1-13,61,54,68,48,68,34,86,1950,1986,0.00,0.10,1.45
2015-1-14,60,47,73,48,68,34,88,2013,1975,0.00,0.10,1.56
2015-1-15,64,51,76,48,68,32,85,1888,2009,0.00,0.11,2.13
2015-1-16,64,50,77,48,68,31,86,1888,1976,0.00,0.10,2.74
2015-1-17,64,50,78,48,68,34,90,1888,1971,0.00,0.11,2.74
2015-1-18,64,53,75,48,68,37,95,1892,1971,0.00,0.10,2.30
2015-1-19,61,50,72,48,68,32,92,1889,1971,0.00,0.09,2.26
2015-1-20,58,53,63,48,68,30,85,1883,2009,0.00,0.10,3.30
2015-1-21,63,54,71,48,68,32,81,1937,1912,0.00,0.09,2.98
2015-1-22,61,47,75,48,68,34,84,1937,1994,0.00,0.09,3.69
2015-1-23,63,50,75,48,68,33,84,1937,1968,0.00,0.10,1.05
2015-1-24,66,49,82,48,68,36,85,1937,1992,0.00,0.09,2.04
2015-1-25,66,48,83,48,68,36,86,1898,1986,0.00,0.09,3.43
2015-1-26,69,57,80,48,68,31,86,1898,1987,0.08,0.10,5.71
2015-1-27,66,57,74,48,68,32,87,1898,1986,0.00,0.09,2.28
2015-1-28,66,56,75,48,68,35,90,1957,1971,0.00,0.10,2.81
2015-1-29,68,60,75,48,68,30,88,1880,1971,0.0,0.10,1.96
2015-1-30,65,59,70,48,68,35,85,1880,1992,0.03,0.11,2.19
2015-1-31,64,56,71,48,68,32,91,1880,2003,0.00,0.11,3.03
2015-2-1,63,49,76,48,68,34,88,1880,1995,0.00,0.12,2.26
2015-2-2,65,51,78,48,68,34,94,1901,1995,0.00,0.11,2.84
2015-2-3,62,51,72,49,68,30,94,1883,1995,0.00,0.12,1.84
2015-2-4,64,56,72,49,68,32,91,1883,1995,0.00,0.12,2.55
2015-2-5,68,53,82,49,68,33,89,1899,2007,0.00,0.13,2.30
2015-2-6,65,54,75,49,68,28,86,1883,1987,0.00,0.13,2.39
2015-2-7,62,54,69,49,68,32,89,1883,1996,0.02,0.13,1.60
2015-2-8,68,59,77,49,68,36,85,1899,1996,0.00,0.13,2.43
2015-2-9,66,58,73,49,68,33,85,1891,2006,0.00,0.14,1.92
2015-2-10,66,53,78,49,68,37,88,1890,1988,0.00,0.13,2.55
2015-2-11,70,55,85,49,68,35,88,1894,1971,0.00,0.13,2.12
2015-2-12,71,56,85,49,68,35,91,1949,1971,0.00,0.14,2.45
2015-2-13,73,57,88,49,69,35,90,1903,1985,0.00,0.14,2.71
2015-2-14,71,56,86,49,69,32,90,1903,1985,0.00,0.14,2.50
2015-2-15,67,54,80,49,69,33,88,1903,1985,0.00,0.14,2.78
2015-2-16,63,56,70,49,69,35,88,1903,1896,0.00,0.15,3.03
2015-2-17,64,57,71,50,69,33,89,1889,1890,0.00,0.16,2.18
2015-2-18,65,55,75,50,69,32,89,1882,1981,0.00,0.15,4.26
2015-2-19,65,57,72,50,69,34,91,1880,1995,0.00,0.15,2.32
2015-2-20,63,56,70,50,69,34,95,1882,1995,0.00,0.15,3.60
2015-2-21,63,57,69,50,69,35,88,1897,2002,0.00,0.15,2.08
2015-2-22,59,53,64,50,69,35,90,1897,2002,0.70,0.15,2.19
2015-2-23,58,50,65,50,69,35,90,1894,1954,0.0,0.14,2.11
2015-2-24,60,46,74,50,69,35,94,1890,1986,0.00,0.13,4.80
2015-2-25,62,51,72,50,69,40,92,1962,1921,0.00,0.14,2.33
2015-2-26,61,51,70,50,69,37,87,1894,2002,0.00,0.13,1.08
2015-2-27,61,55,66,50,69,38,86,1894,1992,0.00,0.13,2.17
2015-2-28,59,52,65,50,69,39,88,1962,1901,0.11,0.12,2.85
2015-3-1,58,50,65,50,69,36,88,1894,1967,0.66,0.11,3.42
2015-3-2,56,49,63,50,69,35,87,1896,1994,0.21,0.11,5.88
2015-3-3,58,48,67,50,69,38,85,1894,1931,0.00,0.12,3.12
2015-3-4,60,48,72,51,70,35,94,1976,1972,0.00,0.10,2.54
2015-3-5,64,51,77,51,70,35,87,1896,1899,0.00,0.11,1.98
2015-3-6,66,49,83,51,70,39,90,1882,1899,0.00,0.11,0.88
2015-3-7,70,54,86,51,70,40,89,1893,1914,0.00,0.10,2.52
2015-3-8,66,53,78,51,70,35,93,1882,2004,0.00,0.09,1.71
2015-3-9,65,57,73,51,70,31,90,1893,1934,0.00,0.10,2.67
2015-3-10,68,55,80,51,70,38,96,1893,1916,0.00,0.09,2.22
2015-3-11,67,60,73,51,70,41,93,1969,1916,0.0,0.09,1.45
2015-3-12,71,56,86,51,70,36,93,1893,2007,0.00,0.09,1.44
2015-3-13,76,61,90,51,70,40,90,1907,2015,0.00,0.09,2.23
2015-3-14,78,62,93,51,70,39,93,1895,2015,0.00,0.08,1.74
2015-3-15,79,66,92,51,70,37,92,1880,2015,0.00,0.08,4.10
2015-3-16,78,66,90,51,70,36,91,1880,1914,0.00,0.08,2.53
2015-3-17,73,63,82,51,70,37,94,1881,1914,0.00,0.06,1.28
2015-3-18,69,62,75,51,70,38,87,1898,1997,0.0,0.07,1.03
2015-3-19,68,60,76,51,70,37,97,1886,1997,0.00,0.07,1.45
2015-3-20,69,59,78,51,70,39,93,1898,1997,0.00,0.06,2.42
2015-3-21,69,62,75,51,71,35,93,1894,1931,0.00,0.06,1.34
2015-3-22,66,59,72,51,71,37,88,1894,1986,0.00,0.06,1.11
2015-3-23,65,57,73,51,71,36,88,1898,1926,0.00,0.06,2.08
2015-3-24,67,58,75,51,71,37,94,1898,1988,0.00,0.06,1.39
2015-3-25,72,60,84,51,71,37,96,1902,1988,0.00,0.06,2.19
2015-3-26,77,61,92,51,71,39,98,1907,1988,0.00,0.06,1.53
2015-3-27,77,62,91,52,71,37,91,1884,1986,0.00,0.05,1.98
2015-3-28,71,61,81,52,71,37,90,1892,1879,0.00,0.06,1.62
2015-3-29,67,56,78,52,71,41,99,1880,1879,0.00,0.05,1.04
2015-3-30,68,57,78,52,71,36,89,1892,2003,0.00,0.05,1.27
2015-3-31,65,57,73,52,71,40,92,1897,2011,0.00,0.05,1.65
2015-4-1,66,58,74,52,71,40,93,1897,1985,0.00,0.04,1.01
2015-4-2,65,54,75,52,71,39,96,1906,1985,0.00,0.05,1.43
2015-4-3,72,57,86,52,71,40,94,1892,1961,0.00,0.04,1.14
2015-4-4,72,59,84,52,72,43,100,1892,1989,0.00,0.04,1.44
2015-4-5,64,57,71,52,72,42,105,1921,1989,0.00,0.04,2.74
2015-4-6,60,53,67,52,72,40,106,1975,1989,0.00,0.04,0.84
2015-4-7,59,51,67,52,72,39,100,1975,1989,0.13,0.04,1.21
2015-4-8,60,49,70,53,72,36,92,1901,1989,0.00,0.04,2.19
2015-4-9,65,53,76,53,72,40,94,1900,1890,0.00,0.03,1.71
2015-4-10,63,54,71,53,72,41,96,1927,1904,0.00,0.04,0.63
2015-4-11,63,53,72,53,72,40,90,1896,1940,0.00,0.03,1.97
2015-4-12,67,57,77,53,72,42,97,1887,1888,0.00,0.03,1.90
2015-4-13,67,58,75,53,73,41,99,1893,1898,0.00,0.02,0.49
2015-4-14,66,58,73,53,73,39,95,1883,1964,0.00,0.03,0.83
2015-4-15,69,57,80,53,73,43,99,1917,1966,0.00,0.03,0.81
2015-4-16,68,54,81,54,73,42,91,1917,2011,0.00,0.03,2.10
2015-4-17,69,56,81,54,73,40,90,1896,1999,0.00,0.03,1.24
2015-4-18,69,56,81,54,73,40,91,1882,1939,0.00,0.03,1.27
2015-4-19,65,55,75,54,73,40,94,1880,2009,0.00,0.02,0.86
2015-4-20,63,55,70,54,73,38,100,1896,2009,0.00,0.03,1.28
2015-4-21,63,58,67,54,73,38,95,1896,2009,0.00,0.03,0.89
2015-4-22,63,57,69,54,73,44,99,1882,1910,0.00,0.02,0.96
2015-4-23,62,55,69,55,74,42,100,1896,1910,0.00,0.02,0.98
2015-4-24,62,57,67,55,74,44,93,1900,2001,0.00,0.03,0.41
2015-4-25,61,56,66,55,74,42,94,1882,1898,0.0,0.02,0.50
2015-4-26,66,54,77,55,74,42,99,1894,2004,0.00,0.02,1.62
2015-4-27,70,57,82,55,74,41,102,1900,2004,0.00,0.02,0.82
2015-4-28,77,61,92,55,74,41,96,1900,2008,0.00,0.03,1.02
2015-4-29,75,60,89,55,74,44,98,1901,1981,0.00,0.02,0.89
2015-4-30,73,60,86,56,74,44,96,1915,1996,0.00,0.02,0.96
2015-5-1,71,57,84,56,74,41,92,1915,2014,0.00,0.02,0.76
2015-5-2,70,59,80,56,74,44,98,1915,2004,0.00,0.02,0.54
2015-5-3,66,58,74,56,74,42,101,1883,2004,0.00,0.01,1.76
2015-5-4,63,56,69,56,74,44,93,1899,1987,0.00,0.01,0.66
2015-5-5,63,58,67,56,74,46,101,1920,1990,0.00,0.01,0.90
2015-5-6,63,58,67,56,74,43,97,1892,1990,0.00,0.02,1.53
2015-5-7,60,54,65,56,74,42,97,1892,1941,0.03,0.01,1.00
2015-5-8,57,50,63,56,74,43,97,1879,1984,0.18,0.01,2.02
2015-5-9,62,55,69,57,74,44,99,1879,1923,0.00,0.01,0.75
2015-5-10,63,54,72,57,74,43,95,1922,1934,0.00,0.00,0.15
2015-5-11,67,57,76,57,74,43,93,1890,1996,0.00,0.01,0.29
2015-5-12,65,57,72,57,74,44,94,1887,1979,0.00,0.01,1.18
2015-5-13,64,58,69,57,74,43,98,1880,1979,0.00,0.01,0.84
2015-5-14,61,53,68,57,74,45,99,1882,2014,0.69,0.01,0.97
2015-5-15,61,55,66,57,74,42,102,1883,2014,0.03,0.01,1.46
2015-5-16,64,56,71,57,74,40,102,1883,1967,0.00,0.00,0.04
2015-5-17,65,58,72,57,74,42,96,1880,1892,0.00,0.01,0.18
2015-5-18,66,60,71,57,75,45,99,1880,1892,0.0,0.01,0.26
2015-5-19,65,56,73,57,75,45,95,1893,1892,0.00,0.00,0.35
2015-5-20,65,57,72,58,75,45,99,1879,1942,0.00,0.01,0.84
2015-5-21,64,57,71,58,75,43,100,1902,1883,0.00,0.01,1.03
2015-5-22,63,57,69,58,75,44,94,1879,1967,0.00,0.00,0.67
2015-5-23,64,57,71,58,75,41,92,1881,1932,0.00,0.01,0.10
2015-5-24,64,58,70,58,75,45,95,1888,1896,0.00,0.00,0.48
2015-5-25,64,57,71,58,75,47,103,1916,1896,0.00,0.01,0.42
2015-5-26,64,59,69,58,75,46,96,1917,1896,0.00,0.01,0.21
2015-5-27,65,58,72,58,75,47,97,1879,1880,0.00,0.00,0.57
2015-5-28,66,57,75,58,75,48,101,1895,1973,0.00,0.01,1.14
2015-5-29,68,58,77,58,75,46,99,1881,1978,0.00,0.00,0.09
2015-5-30,68,59,77,58,75,48,95,1878,1972,0.00,0.01,0.14
2015-5-31,66,59,73,58,75,47,98,1908,1909,0.00,0.00,0.09
2015-6-1,67,59,75,58,75,47,100,1908,1879,0.00,0.01,0.57
2015-6-2,68,60,76,59,76,47,104,1895,1879,0.00,0.00,0.58
2015-6-3,68,61,74,59,76,49,99,1908,1879,0.0,0.01,0.49
2015-6-4,66,61,70,59,76,47,100,1885,1895,0.0,0.00,0.33
2015-6-5,67,60,73,59,76,50,98,1999,1890,0.0,0.01,0.76
2015-6-6,65,58,72,59,76,47,102,1887,1890,0.00,0.00,0.02
2015-6-7,69,60,77,59,76,48,105,1887,1890,0.00,0.01,0.10
2015-6-8,73,60,85,59,76,49,99,1894,1890,0.00,0.00,0.02
2015-6-9,74,62,86,59,77,50,94,1879,1979,0.01,0.01,0.32
2015-6-10,68,62,73,60,77,46,102,1892,1979,0.00,0.00,0.22
2015-6-11,69,62,75,60,77,48,105,1892,1979,0.00,0.01,0.11
2015-6-12,68,63,72,60,77,47,100,1894,1979,0.00,0.00,0.63
2015-6-13,68,63,72,60,77,46,99,1894,1896,0.00,0.00,0.53
2015-6-14,70,63,77,60,78,49,100,1894,1917,0.00,0.01,0.01
2015-6-15,70,62,78,60,78,48,102,1892,1981,0.00,0.00,0.22
2015-6-16,70,61,79,60,78,49,105,1895,1981,0.00,0.00,0.38
2015-6-17,70,62,78,61,78,49,105,1885,1917,0.00,0.01,0.02
2015-6-18,72,62,81,61,79,47,104,1885,1957,0.00,0.00,0.11
2015-6-19,70,58,82,61,79,48,101,1892,1973,0.00,0.00,0.01
