year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code
2013,tt1327773,Lee Daniels&#39; The Butler,ok,ok,PASS,30000000,116632095,151513429,2013PASS,30000000,116632095,151513429,1,1
2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,8008161,9408161,2013PASS,2000000,8008161,9408161,1,1
2013,tt2023587,Mama,ok,ok,PASS,15000000,71628180,148041253,2013PASS,15000000,71628180,148041253,1,1
2013,tt0770828,Man of Steel,ok-disagree,ok,PASS,225000000,291045518,687999518,2013PASS,225000000,291045518,687999518,1,1
2013,tt1821549,Nebraska,ok-disagree,ok,PASS,12000000,17482517,17482517,2013PASS,12000000,17482517,17482517,1,1
2013,tt1670345,Now You See Me,notalk-disagree,notalk,FAIL,75000000,117723989,351723989,2013FAIL,75000000,117723989,351723989,1,1
2013,tt1483013,Oblivion,men-disagree,men,FAIL,120000000,89107235,287537983,2013FAIL,120000000,89107235,287537983,1,1
2013,tt2302755,Olympus Has Fallen,notalk,notalk,FAIL,70000000,98927592,150562164,2013FAIL,70000000,98927592,150562164,1,1
2013,tt1623205,Oz the Great and Powerful,ok-disagree,ok,PASS,200000000,234770996,489570996,2013PASS,200000000,234770996,489570996,1,1
2013,tt1663662,Pacific Rim,notalk-disagree,notalk,FAIL,190000000,101802906,411002906,2013FAIL,190000000,101802906,411002906,1,1
2013,tt1980209,Pain &amp; Gain,notalk,notalk,FAIL,26000000,49875291,81275291,2013FAIL,26000000,49875291,81275291,1,1
2013,tt1904996,Parker,ok,ok,PASS,35000000,17616641,46346651,2013PASS,35000000,17616641,46346651,1,1
2013,tt1699755,Peeples,dubious,dubious,FAIL,15000000,9177065,9177065,2013FAIL,15000000,9177065,9177065,1,1
2013,tt1854564,Percy Jackson: Sea of Monsters,ok,ok,PASS,90000000,68559554,200859554,2013PASS,90000000,68559554,200859554,1,1
2013,tt1392214,Prisoners,ok,ok,PASS,46000000,61002302,113402302,2013PASS,46000000,61002302,113402302,1,1
2013,tt0790736,R.I.P.D.,notalk,notalk,FAIL,130000000,33618855,79019947,2013FAIL,130000000,33618855,79019947,1,1
2013,tt1821694,Red 2,ok,ok,PASS,84000000,53262560,137162560,2013PASS,84000000,53262560,137162560,1,1
2013,tt1411250,Riddick,notalk-disagree,notalk,FAIL,38000000,42025135,92425135,2013FAIL,38000000,42025135,92425135,1,1
2013,tt2364841,Runner Runner,nowomen,nowomen,FAIL,30000000,19316646,62616646,2013FAIL,30000000,19316646,62616646,1,1
2013,tt1979320,Rush,notalk,notalk,FAIL,38000000,26947624,43047624,2013FAIL,38000000,26947624,43047624,1,1
2013,tt1702439,Safe Haven,ok,ok,PASS,28000000,71399120,93943623,2013PASS,28000000,71399120,93943623,1,1
2013,tt2140373,Saving Mr. Banks,ok,ok,PASS,35000000,82834332,100734332,2013PASS,35000000,82834332,100734332,1,1
2013,tt2053463,Side Effects,ok,ok,PASS,30000000,32172757,60288363,2013PASS,30000000,32172757,60288363,1,1
2013,tt1408101,Star Trek Into Darkness,notalk-disagree,notalk,FAIL,190000000,228778661,466978661,2013FAIL,190000000,228778661,466978661,1,1
2013,tt1572315,Texas Chainsaw 3D,ok-disagree,ok,PASS,20000000,34341945,39093317,2013PASS,20000000,34341945,39093317,1,1
2013,tt1931435,The Big Wedding,ok,ok,PASS,32500000,21819348,35770721,2013PASS,32500000,21819348,35770721,1,1
2013,tt0816442,The Book Thief,ok,ok,PASS,19000000,21345525,62045525,2013PASS,19000000,21345525,62045525,1,1
2013,tt1911644,The Call,ok,ok,PASS,13000000,51872378,58938768,2013PASS,13000000,51872378,58938768,1,1
2013,tt1457767,The Conjuring,ok,ok,PASS,20000000,137400141,318000141,2013PASS,20000000,137400141,318000141,1,1
2013,tt2193215,The Counselor,ok,ok,PASS,25000000,16973715,70373715,2013PASS,25000000,16973715,70373715,1,1
2013,tt0481499,The Croods,men-disagree,men,FAIL,135000000,187168425,573068425,2013FAIL,135000000,187168425,573068425,1,1
2013,tt2404311,The Family,men,men,FAIL,30000000,36918811,51078541,2013FAIL,30000000,36918811,51078541,1,1
2013,tt1837703,The Fifth Estate,notalk,notalk,FAIL,26000000,3254172,6154172,2013FAIL,26000000,3254172,6154172,1,1
2013,tt2005374,The Frozen Ground,nowomen-disagree,nowomen,FAIL,19200000,#N/A,#N/A,2013FAIL,19200000,#N/A,#N/A,1,1
2013,tt1343092,The Great Gatsby,dubious,dubious,FAIL,190000000,144840419,351040419,2013FAIL,190000000,144840419,351040419,1,1
2013,tt1951261,The Hangover part 3,men,men,FAIL,103000000,112200072,362000072,2013FAIL,103000000,112200072,362000072,1,1
2013,tt2404463,The Heat,ok,ok,PASS,43000000,159581587,230781587,2013PASS,43000000,159581587,230781587,1,1
2013,tt1170358,The Hobbit: The Desolation of Smaug,notalk-disagree,notalk,FAIL,250000000,257397516,937397516,2013FAIL,250000000,257397516,937397516,1,1
2013,tt1517260,The Host,dubious-disagree,dubious,FAIL,50000000,26623701,58188384,2013FAIL,50000000,26623701,58188384,1,1
2013,tt1951264,The Hunger Games: Catching Fire,ok,ok,PASS,130000000,424088260,857088260,2013PASS,130000000,424088260,857088260,1,1
2013,tt0790628,The Incredible Burt Wonderstone,notalk,notalk,FAIL,32000000,22537881,24255957,2013FAIL,32000000,22537881,24255957,1,1
2013,tt2234155,The Internship,notalk,notalk,FAIL,58000000,44672764,93672764,2013FAIL,58000000,44672764,93672764,1,1
2013,tt2034139,The Last Exorcism Part II,ok,ok,PASS,4000000,15179303,18541236,2013PASS,4000000,15179303,18541236,1,1
2013,tt1210819,The Lone Ranger,notalk,notalk,FAIL,275000000,89289910,259989910,2013FAIL,275000000,89289910,259989910,1,1
2013,tt1538403,The Mortal Instruments: City of Bones,ok-disagree,ok,PASS,60000000,31165421,75965567,2013PASS,60000000,31165421,75965567,1,1
2013,tt2184339,The Purge,dubious,dubious,FAIL,3000000,64473115,91100541,2013FAIL,3000000,64473115,91100541,1,1
2013,tt2017020,The Smurfs 2,ok,ok,PASS,110000000,71017784,348545841,2013PASS,110000000,71017784,348545841,1,1
2013,tt1758795,The To Do List,ok,ok,PASS,1500000,3491669,3491669,2013PASS,1500000,3491669,3491669,1,1
2013,tt1727388,The Way Way Back,ok-disagree,ok,PASS,5000000,21502690,26161443,2013PASS,5000000,21502690,26161443,1,1
2013,tt0993846,The Wolf of Wall Street,notalk-disagree,notalk,FAIL,100000000,115702857,365702857,2013FAIL,100000000,115702857,365702857,1,1
2013,tt1430132,The Wolverine,ok,ok,PASS,115000000,132556852,416456852,2013PASS,115000000,132556852,416456852,1,1
2013,tt1213663,The World&#39;s End,men-disagree,men,FAIL,20000000,26004851,46578821,2013FAIL,20000000,26004851,46578821,1,1
2013,tt1245492,This Is the End,notalk,notalk,FAIL,32000000,101470202,126294264,2013FAIL,32000000,101470202,126294264,1,1
2013,tt1981115,Thor: The Dark World,dubious-disagree,dubious,FAIL,170000000,204674790,631674790,2013FAIL,170000000,204674790,631674790,1,1
2013,tt1924429,Trance,nowomen,nowomen,FAIL,16000000,2322593,22594052,2013FAIL,16000000,2322593,22594052,1,1
2013,tt1860353,Turbo,dubious-disagree,dubious,FAIL,135000000,83028130,283828130,2013FAIL,135000000,83028130,283828130,1,1
2013,tt1588173,Warm Bodies,men-disagree,men,FAIL,30000000,66380662,116643610,2013FAIL,30000000,66380662,116643610,1,1
2013,tt1723121,We&#39;re the Millers,ok,ok,PASS,37000000,150394119,270000119,2013PASS,37000000,150394119,270000119,1,1
2013,tt2334879,White House Down,men,men,FAIL,150000000,73103784,205440387,2013FAIL,150000000,73103784,205440387,1,1
2013,tt0816711,World War Z,dubious-disagree,dubious,FAIL,190000000,202359711,539559711,2013FAIL,190000000,202359711,539559711,1,1
2012,tt1611224,Abraham Lincoln: Vampire Hunter,dubious-disagree,dubious,FAIL,67500000,37519139,115119139,2012FAIL,68488103,38068365,116804318,1,1
2012,tt1591479,Act of Valor,nowomen,nowomen,FAIL,12000000,70012847,82497035,2012FAIL,12175663,71037735,83704673,1,1
2012,tt1602620,Amour,dubious-disagree,dubious,FAIL,9700000,6738954,25915719,2012FAIL,9841994,6837603,26295088,1,1
2012,tt1781769,Anna Karenina,men-disagree,men,FAIL,49000000,12816367,70735540,2012FAIL,49717290,13003980,71771007,1,1
2012,tt1024648,Argo,ok-disagree,ok,PASS,44500000,136025503,221300694,2012PASS,45151416,138016721,224540219,1,1
2012,tt1440129,Battleship,notalk-disagree,notalk,FAIL,209000000,65235400,304142720,2012FAIL,212059460,66190353,308594933,1,1
2012,tt2125435,Beasts of the Southern Wild,dubious-disagree,dubious,FAIL,1800000,12795746,21080058,2012FAIL,1826349,12983057,21388640,1,1
2012,tt1758575,Blue Like Jazz,ok,ok,PASS,1200000,595018,595018,2012PASS,1217566,603728,603728,1,1
2012,tt1217209,Brave,ok,ok,PASS,185000000,237282182,554606532,2012PASS,187708135,240755653,562725176,1,1
2012,tt1308729,Bullet to the Head,nowomen,nowomen,FAIL,55000000,9489829,13561515,2012FAIL,55805121,9628746,13760036,1,1
2012,tt1991245,Chernobyl Diaries,notalk,notalk,FAIL,1000000,18119640,38390020,2012FAIL,1014639,18384886,38951995,1,1
2012,tt1706593,Chronicle,notalk,notalk,FAIL,12000000,64575175,127075175,2012FAIL,12175663,65520463,128935373,1,1
2012,tt1371111,Cloud Atlas,ok,ok,PASS,102000000,27108272,126018564,2012PASS,103493134,27505098,127863295,1,1
2012,tt1524137,Contraband,ok,ok,PASS,25000000,66528000,98406855,2012PASS,25365964,67501874,99847390,1,1
2012,tt1853728,Django Unchained,notalk-disagree,notalk,FAIL,100000000,162805434,425373688,2012FAIL,101463857,165188672,431600549,1,1
2012,tt1907668,Flight,dubious-disagree,dubious,FAIL,31000000,93772375,161772375,2012FAIL,31453796,95145068,164140491,1,1
2012,tt1142977,Frankenweenie,nowomen-disagree,nowomen,FAIL,39000000,35287788,81150788,2012FAIL,39570904,35804351,82338719,1,1
2012,tt2243973,Hannibal,ok,ok,PASS,87000000,165092266,350100280,2012PASS,88273555,167508980,355225246,1,1
2012,tt0837562,Hotel Transylvania,ok,ok,PASS,85000000,148313048,359222014,2012PASS,86244278,150484138,364480509,1,1
2012,tt0790724,Jack Reacher,notalk,notalk,FAIL,60000000,80070736,217370736,2012FAIL,60878314,81242857,220552732,1,1
2012,tt2106476,Jagten,men,men,FAIL,3450000,687185,687185,2012FAIL,3500503,697244,697244,1,1
2012,tt0401729,John Carter,ok-disagree,ok,PASS,275000000,73058679,282778100,2012PASS,279025606,74128153,286917566,1,1
2012,tt1764234,Killing Them Softly,nowomen,nowomen,FAIL,15000000,14945541,37238774,2012FAIL,15219578,15164322,37783896,1,1
2012,tt1707386,Les Miserables,ok-disagree,ok,PASS,65000000,148809770,442022894,2012PASS,65951507,150988132,448493475,1,1
2012,tt0454876,Life of Pi,notalk-disagree,notalk,FAIL,120000000,124987022,607987022,2012FAIL,121756628,126816653,616887080,1,1
2012,tt0443272,Lincoln,ok-disagree,ok,PASS,65000000,182207973,273000960,2012PASS,65951507,184875236,276997302,1,1
2012,tt1277953,Madagascar 3: Europe&#39;s Most Wanted,men-disagree,men,FAIL,145000000,216391482,746921271,2012FAIL,147122592,219559143,757855127,1,1
2012,tt1409024,Men in Black III,notalk,notalk,FAIL,215000000,179020854,624821154,2012FAIL,218147292,181641463,633967639,1,1
2012,tt1667353,Mirror Mirror,dubious,dubious,FAIL,85000000,64935167,168611991,2012FAIL,86244278,65885725,171080229,1,1
2012,tt1748122,Moonrise Kingdom,ok,ok,PASS,16000000,45512466,64012466,2012PASS,16234217,46178703,64949517,1,1
2012,tt2094064,Much Ado About Nothing,dubious-disagree,dubious,FAIL,8000000,22549338,22549338,2012FAIL,8117109,22879428,22879428,1,1
2012,tt1598828,One for the Money,ok,ok,PASS,42000000,26414527,36197221,2012PASS,42614820,26801198,36727096,1,1
2012,tt2109184,Paranormal Activity 4,ok,ok,PASS,5000000,53900335,142793842,2012PASS,5073193,54689359,144884139,1,1
2012,tt1623288,ParaNorman,notalk-disagree,notalk,FAIL,60000000,56003051,108159011,2012FAIL,60878314,56822855,109742304,1,1
2012,tt1047540,Parental Guidance,ok,ok,PASS,25000000,77267296,120168633,2012PASS,25365964,78398378,121927729,1,1
2012,tt1716777,People Like Us,ok,ok,PASS,16000000,12431792,12431792,2012PASS,16234217,12613776,12613776,1,1
2012,tt1981677,Pitch Perfect,ok,ok,PASS,17000000,65001093,115331177,2012PASS,17248856,65952616,117019460,1,1
2012,tt1547234,Premium Rush,ok,ok,PASS,35000000,20275446,31393201,2012PASS,35512350,20572249,31852752,1,1
2012,tt1234719,Red Dawn,notalk-disagree,notalk,FAIL,65000000,44806783,48164150,2012FAIL,65951507,45462690,48869204,1,1
2012,tt0485985,Red Tails,men,men,FAIL,58000000,49876377,50365498,2012FAIL,58849037,50606496,51102777,1,1
2012,tt1446192,Rise of the Guardians,notalk-disagree,notalk,FAIL,145000000,103412758,306900902,2012FAIL,147122592,104926572,311393491,1,1
2012,tt1336608,Rock of Ages,ok,ok,PASS,70000000,38518613,50118613,2012PASS,71024700,39082470,50852278,1,1
2012,tt1656190,Safe,notalk-disagree,notalk,FAIL,33000000,17142080,41495213,2012FAIL,33483073,17393015,42102643,1,1
2012,tt1862079,Safety Not Guaranteed,ok-disagree,ok,PASS,750000,4010957,4413188,2012PASS,760979,4069672,4477791,1,1
2012,tt1931533,Seven Psychopaths,notalk-disagree,notalk,FAIL,13500000,15024049,23492318,2012FAIL,13697621,15243980,23836212,1,1
2012,tt0938330,Silent Hill: Revelation 3D,ok,ok,PASS,20000000,17530219,47944599,2012PASS,20292771,17786836,48646439,1,1
2012,tt1045658,Silver Linings Playbook,ok,ok,PASS,21000000,132092958,227317397,2012PASS,21307410,134026609,230644998,1,1
2012,tt1922777,Sinister,men,men,FAIL,3000000,48086903,87727807,2012FAIL,3043916,48790826,89012016,1,1
2012,tt1074638,Skyfall,dubious-disagree,dubious,FAIL,200000000,304360277,1108694081,2012FAIL,202927713,308815675,1124923772,1,1
2012,tt1735898,Snow White and the Huntsman,ok,ok,PASS,170000000,155136755,400911200,2012PASS,172488556,157407735,406779965,1,1
2012,tt1876451,Sparkle,ok,ok,PASS,10000000,24397469,24660323,2012PASS,10146386,24754613,25021315,1,1
2012,tt2101441,Spring Breakers,ok,ok,PASS,5000000,14124286,30669531,2012PASS,5073193,14331045,31118489,1,1
2012,tt1800741,Step Up Revolution,ok,ok,PASS,33000000,35074677,165552290,2012PASS,33483073,35588120,167975738,1,1
2012,tt1874789,Supporting Characters,men,men,FAIL,60000,4917,4917,2012FAIL,60878,4989,4989,1,1
2012,tt1637725,Ted,men-disagree,men,FAIL,50000000,218665740,549444574,2012FAIL,50731928,221866693,557487654,1,1
2012,tt1232200,That&#39;s My Boy,notalk,notalk,FAIL,67500000,36931089,58058367,2012FAIL,68488103,37471707,58908258,1,1
2012,tt0948470,The Amazing Spider-Man,men-disagree,men,FAIL,220000000,262030663,757890267,2012FAIL,223220484,265866416,768984693,1,1
2012,tt0848228,The Avengers,notalk,notalk,FAIL,60000000,23385416,48585416,2012FAIL,60878314,23727745,49296637,1,1
2012,tt1345836,The Dark Knight Rises,notalk-disagree,notalk,FAIL,275000000,448139099,1079343943,2012FAIL,279025606,454699213,1095143990,1,1
2012,tt1560985,The Devil Inside,ok-disagree,ok,PASS,1000000,53261944,101758489,2012PASS,1014639,54041622,103248087,1,1
2012,tt1645170,The Dictator,notalk,notalk,FAIL,65000000,59650222,179379532,2012FAIL,65951507,60523416,182005391,1,1
2012,tt1764651,The Expendables 2,ok-disagree,ok,PASS,100000000,85028192,311979256,2012PASS,101463857,86272883,316546185,1,1
2012,tt1601913,The Grey,nowomen-disagree,nowomen,FAIL,25000000,51580136,84339696,2012FAIL,25365964,52335195,85574308,1,1
2012,tt0903624,The Hobbit: An Unexpected Journey,nowomen-disagree,nowomen,FAIL,250000000,303003568,1014703568,2012FAIL,253659641,307439106,1029557373,1,1
2012,tt1392170,The Hunger Games,ok-disagree,ok,PASS,80000000,408010692,684510692,2012PASS,81171085,413983383,694530947,1,1
2012,tt1649419,The Impossible,men,men,FAIL,40000000,19019882,169590606,2012FAIL,40585543,19298306,172073169,1,1
2012,tt1258972,The Man with the Iron Fists,notalk,notalk,FAIL,15000000,15634090,21985095,2012FAIL,15219578,15862951,22306925,1,1
2012,tt1560747,The Master,notalk-disagree,notalk,FAIL,37500000,16247159,25116740,2012FAIL,38048946,16484994,25484413,1,1
2012,tt1430626,The Pirates! Band of Misfits,notalk,notalk,FAIL,55000000,31051126,123056220,2012FAIL,55805121,31505670,124857587,1,1
2012,tt1817273,The Place Beyond the Pines,notalk-disagree,notalk,FAIL,15000000,21403519,47011449,2012FAIL,15219578,21716836,47699629,1,1
2012,tt1673434,The Twilight Saga: Breaking Dawn - Part 2,dubious-disagree,dubious,FAIL,136200000,292324737,832660037,2012FAIL,138193773,296603952,844848985,1,1
2012,tt1606389,The Vow,ok,ok,PASS,8738320,125014030,197618160,2012PASS,8866236,126844056,200511006,1,1
2012,tt1298649,The Watch,men,men,FAIL,55000000,34353000,67353000,2012FAIL,55805121,34855879,68338951,1,1
2012,tt1596365,The Woman in Black,notalk,notalk,FAIL,15000000,54333290,128955898,2012FAIL,15219578,55128651,130843627,1,1
2012,tt1840417,The Words,notalk,notalk,FAIL,6000000,11494838,12132578,2012FAIL,6087831,11663106,12310182,1,1
2012,tt1621045,Think Like a Man,ok,ok,PASS,12000000,91547205,96155124,2012PASS,12175663,92887325,97562697,1,1
2012,tt1859650,To Rome With Love,men-disagree,men,FAIL,21500000,16684352,74363777,2012FAIL,21814729,16928587,75452356,1,1
2012,tt1386703,Total Recall,notalk-disagree,notalk,FAIL,125000000,58877969,198615996,2012FAIL,126829821,59739858,201523449,1,1
2012,tt1496025,Underworld: Awakening,ok,ok,PASS,70000000,62321039,160379930,2012PASS,71024700,63233330,162727662,1,1
2012,tt1655460,Wanderlust,ok,ok,PASS,32500000,17288155,24159934,2012PASS,32975753,17541229,24513601,1,1
2012,tt1586265,What to Expect When You&#39;re Expecting,ok,ok,PASS,37500000,41152203,80652203,2012PASS,38048946,41754612,81832836,1,1
2012,tt1870529,Won&#39;t Back Down,ok,ok,PASS,19000000,5310554,5431486,2012PASS,19278133,5388293,5510995,1,1
2012,tt1646987,Wrath of the Titans,notalk-disagree,notalk,FAIL,150000000,83670083,301970083,2012FAIL,152195785,84894893,306390492,1,1
2012,tt1772341,Wreck-It Ralph,ok-disagree,ok,PASS,165000000,189412677,473412677,2012PASS,167415363,192185407,480342759,1,1
2012,tt1790885,Zero Dark Thirty,ok-disagree,ok,PASS,52500000,95720716,137720716,2012PASS,53268525,97121930,139736750,1,1
2011,tt1622547,30 Minutes or Less,notalk,notalk,FAIL,28000000,37053924,40966716,2011FAIL,28999342,38376408,42428850,1,1
2011,tt1306980,50/50,men-disagree,men,FAIL,8000000,35016118,41334735,2011FAIL,8285526,36265871,42810004,1,1
2011,tt1571222,A Dangerous Method,dubious,dubious,FAIL,20000000,5702083,14807531,2011FAIL,20713816,5905595,15336023,1,1
2011,tt1422136,A Lonely Place to Die,ok,ok,PASS,4000000,#N/A,442550,2011PASS,4142763,#N/A,458345,1,1
2011,tt1268799,A Very Harold &amp; Kumar 3D Christmas,notalk,notalk,FAIL,20000000,35061031,36265745,2011FAIL,20713816,36312387,37560098,1,1
2011,tt1549572,Another Earth,ok,ok,PASS,175000,1321194,1781194,2011PASS,181246,1368348,1844766,1,1
2011,tt1772240,Apollo 18,nowomen,nowomen,FAIL,5000000,17686929,26517819,2011FAIL,5178454,18318189,27464261,1,1
2011,tt1430607,Arthur Christmas,notalk,notalk,FAIL,85000000,46462469,147624649,2011FAIL,88033717,48120751,152893489,1,1
2011,tt1478964,Attack the Block,ok-disagree,ok,PASS,13000000,1024175,5406422,2011PASS,13463980,1060729,5599381,1,1
2011,tt1284575,Bad Teacher,ok-disagree,ok,PASS,19000000,100292856,216412265,2011PASS,19678125,103872387,224136189,1,1
2011,tt1217613,Battle: Los Angeles,notalk-disagree,notalk,FAIL,70000000,83552429,212005201,2011FAIL,72498355,86534481,219571833,1,1
2011,tt1152398,Beastly,notalk,notalk,FAIL,17000000,27865571,38028230,2011FAIL,17606743,28860115,39385487,1,1
2011,tt1629705,Blackthorn,notalk,notalk,FAIL,4500000,200558,1249765,2011FAIL,4660609,207716,1294370,1,1
2011,tt1478338,Bridesmaids,ok-disagree,ok,PASS,32500000,169106725,289263136,2011PASS,33659951,175142277,299587165,1,1
2011,tt0458339,Captain America: The First Avenger,notalk-disagree,notalk,FAIL,140000000,176654505,370569776,2011FAIL,144996710,182959443,383795703,1,1
2011,tt1216475,Cars 2,men,men,FAIL,200000000,191450875,560155383,2011FAIL,207138157,198283907,580147769,1,1
2011,tt1684628,Circumstance,ok,ok,PASS,900000,454121,454121,2011PASS,932122,470329,470329,1,1
2011,tt1657507,Colombiana,notalk,notalk,FAIL,40000000,36665854,71698079,2011FAIL,41427631,37974487,74257040,1,1
2011,tt0816462,Conan the Barbarian,dubious-disagree,dubious,FAIL,20000000,38264085,79114085,2011FAIL,20713816,39629760,81937729,1,1
2011,tt1598778,Contagion,ok-disagree,ok,PASS,60000000,75658097,137551594,2011PASS,62141447,78358394,142460919,1,1
2011,tt1372686,Coriolanus,men,men,FAIL,10000000,749641,1049641,2011FAIL,10356908,776396,1087104,1,1
2011,tt0409847,Cowboys &amp; Aliens,notalk,notalk,FAIL,163000000,100240551,175910315,2011FAIL,168817598,103818215,182188693,1,1
2011,tt1701990,Detention,ok,ok,PASS,10000000,#N/A,#N/A,2011PASS,10356908,#N/A,#N/A,1,1
2011,tt1650043,Diary of a Wimpy Kid: Rodrick Rules,notalk,notalk,FAIL,18000000,52698535,73695194,2011FAIL,18642434,54579387,76325433,1,1
2011,tt1564349,Dolphin Tale,men,men,FAIL,37000000,72286779,96068724,2011FAIL,38320559,74866751,99497492,1,1
2011,tt1462041,Dream House,ok,ok,PASS,50000000,21302340,39932340,2011PASS,51784539,22062637,41357557,1,1
2011,tt0780504,Drive,dubious-disagree,dubious,FAIL,15000000,35060689,78054825,2011FAIL,15535362,36312033,80840663,1,1
2011,tt1596343,Fast Five,ok-disagree,ok,PASS,125000000,209837675,629841284,2011PASS,129461348,217326947,652320815,1,1
2011,tt1622979,Final Destination 5,men,men,FAIL,40000000,42587643,157887643,2011FAIL,41427631,44107629,163522777,1,1
