Event,Division,"Avg TP, $"
Chicago Bears at Minnesota Vikings Tickets on 28-Dec-2014 (9037947),NFC North,67
Minnesota Vikings at Green Bay Packers Tickets on 02-Oct-2014 (9037870),NFC North,206
Minnesota Vikings at Detroit Lions Tickets on 14-Dec-2014 (9037915),NFC North,94
Dallas Cowboys at Philadelphia Eagles Tickets on 14-Dec-2014 (9037728),NFC East,236
Dallas Cowboys at New York Giants Tickets on 23-Nov-2014 (9037751),NFC East,228
Philadelphia Eagles at Dallas Cowboys Tickets on 27-Nov-2014 (9037692),NFC East,219
New York Giants at Philadelphia Eagles Tickets on 12-Oct-2014 (9037718),NFC East,213
Washington Redskins at Philadelphia Eagles Tickets on 21-Sep-2014 (9037713),NFC East,205
Philadelphia Eagles at New York Giants Tickets on 28-Dec-2014 (9037755),NFC East,178
New York Giants at Dallas Cowboys Tickets on 19-Oct-2014 (9037683),NFC East,167
Dallas Cowboys at Washington Redskins Tickets on 28-Dec-2014 (9037786),NFC East,165
Washington Redskins at Dallas Cowboys Tickets on 27-Oct-2014 (9037686),NFC East,153
Washington Redskins at New York Giants Tickets on 14-Dec-2014 (9037753),NFC East,121
Philadelphia Eagles at Washington Redskins Tickets on 20-Dec-2014 (9037783),NFC East,100
New York Giants at Washington Redskins Tickets on 25-Sep-2014 (9037768),NFC East,90
San Francisco 49ers at Seattle Seahawks Tickets on 14-Dec-2014 (9037740),NFC West,373
Seattle Seahawks at San Francisco 49ers Tickets on 27-Nov-2014 (9037701),NFC West,264
St Louis Rams at Seattle Seahawks Tickets on 28-Dec-2014 (9037742),NFC West,220
Arizona Cardinals at Seattle Seahawks Tickets on 23-Nov-2014 (9037736),NFC West,210
Arizona Cardinals at San Francisco 49ers Tickets on 28-Dec-2014 (9037708),NFC West,202
St Louis Rams at San Francisco 49ers Tickets on 02-Nov-2014 (9037691),NFC West,187
Seattle Seahawks at Arizona Cardinals Tickets on 21-Dec-2014 (9037792),NFC West,184
San Francisco 49ers at Arizona Cardinals Tickets on 21-Sep-2014 (9037763),NFC West,139
St Louis Rams at Arizona Cardinals Tickets on 09-Nov-2014 (9037777),NFC West,76
San Francisco 49ers at St Louis Rams Tickets on 13-Oct-2014 (9037804),NFC West,51
Seattle Seahawks at St Louis Rams Tickets on 19-Oct-2014 (9037808),NFC West,47
Arizona Cardinals at St Louis Rams Tickets on 11-Dec-2014 (9037816),NFC West,29
Atlanta Falcons at New Orleans Saints Tickets on 21-Dec-2014 (9037941),NFC South,205
New Orleans Saints at Atlanta Falcons Tickets on 07-Sep-2014 (9037955),NFC South,158
Tampa Bay Buccaneers at New Orleans Saints Tickets on 05-Oct-2014 (9037914),NFC South,135
New Orleans Saints at Carolina Panthers Tickets on 30-Oct-2014 (9037827),NFC South,108
Atlanta Falcons at Carolina Panthers Tickets on 16-Nov-2014 (9037829),NFC South,99
Carolina Panthers at Atlanta Falcons Tickets on 28-Dec-2014 (9037967),NFC South,80
New Orleans Saints at Tampa Bay Buccaneers Tickets on 28-Dec-2014 (9037964),NFC South,77
Atlanta Falcons at Tampa Bay Buccaneers Tickets on 09-Nov-2014 (9037960),NFC South,70
Carolina Panthers at Tampa Bay Buccaneers Tickets on 07-Sep-2014 (9037952),NFC South,70
Tampa Bay Buccaneers at Atlanta Falcons Tickets on 18-Sep-2014 (9037957),NFC South,51
Tampa Bay Buccaneers at Carolina Panthers Tickets on 14-Dec-2014 (9037831),NFC South,48
Arizona Cardinals at Atlanta Falcons Tickets on 30-Nov-2014 (9037965),NFC South,44
,,
,,
*This game was moved to Detroit due to a snow storm in Buffalo. All sales were returned from this game and we did not allow resale of the new game in Detroit as the tickets were given away for free and we generally don't allow the resale of free tickets. The price listed here is the average price sold before we returned all sales.,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
