title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Abraham Lincoln,http://www.imdb.com/title/tt0020620/,US,1930,-,D.W. Griffith,1,Abraham Lincoln,World leader,Known,White,0,Male,Walter Huston
Against the Ropes,http://www.imdb.com/title/tt0312329/,US,2004,$5.88M,Charles S. Dutton,1,Jackie Kallen,Athlete,Unknown,,0,Female,Meg Ryan
Al Capone,http://www.imdb.com/title/tt0052543/,US,1959,-,Richard Wilson,1,Al Capone,Criminal,Known,White,0,Male,Rod Steiger
Alexander,http://www.imdb.com/title/tt0346491/,US/UK,2004,$34.3M,Oliver Stone,1,Alexander the Great,Historical,Known,White,0,Male,Colin Farrell
Alexander the Great,http://www.imdb.com/title/tt0048937/,US,1956,-,Robert Rossen,1,Alexander the Great,Historical,Known,White,0,Male,Richard Burton
Ali,http://www.imdb.com/title/tt0248667/,US,2001,$58.2M,Michael Mann,1,Muhammad Ali,Athlete,Known,African American,1,Male,Will Smith
Alpha Dog,http://www.imdb.com/title/tt0426883/,US,2006,$15.2M,Nick Cassavetes,1,Jesse James Hollywood,Criminal,Unknown,,0,Male,Emile Hirsch
Amadeus,http://www.imdb.com/title/tt0086879/,US,1984,$366K,Milos Forman,2,Antonio Salieri,Musician,Known,White,0,Male,F. Murray Abraham
Amadeus,http://www.imdb.com/title/tt0086879/,US,1984,$366K,Milos Forman,2,Wolfgang Amadeus Mozart,Musician,Known,White,0,Male,Tom Hulce
Amazing Grace,http://www.imdb.com/title/tt0454776/,US/UK,2006,$21.2M,Michael Apted,1,William Wilberforce,Other,Known,White,0,Male,Ioan Gruffudd
Amelia,http://www.imdb.com/title/tt1129445/,US/Canada,2009,$14.2M,Mira Nair,1,Amelia Earhart,Other,Known,White,0,Female,Hilary Swank
American Gangster,http://www.imdb.com/title/tt0765429/,US/UK,2007,$130M,Ridley Scott,1,Frank Lucas,Criminal,Known,African American,1,Male,Denzel Washington
American Me,http://www.imdb.com/title/tt0103671/,US,1992,$13.1M,Edward James Olmos,1,Rodolfo Cadena,Criminal,Known,Hispanic (Latino),1,Male,Edward James Olmos
American Sniper,http://www.imdb.com/title/tt2179136/,US,2014,$350M,Clint Eastwood,1,Chris Kyle,Military,Unknown,,0,Male,Bradley Cooper
American Splendor,http://www.imdb.com/title/tt0305206/,US,2003,$6M,"Shari Springer Berman, Robert Pulcini",1,Harvey Pekar,Comedian,Known,White,0,Male,Paul Giamatti
An American Crime,http://www.imdb.com/title/tt0802948/,US,2007,-,Tommy O'Haver,2,Gertrude Baniszewski,Criminal,Known,White,0,Female,Catherine Keener
An American Crime,http://www.imdb.com/title/tt0802948/,US,2007,-,Tommy O'Haver,2,Sylvia Likens,Other,Unknown,,0,Female,Ellen Page
An Angel at My Table,http://www.imdb.com/title/tt0099040/,UK,1990,$1.1M,Jane Campion,1,Janet Frame,Author,Known,White,0,Female,Kerry Fox
Anastasia,http://www.imdb.com/title/tt0048947/,US,1956,-,Anatole Litvak,1,Anna Anderson / Anastasia,Other,Known,White,0,Female,Ingrid Bergman
Anna and the King of Siam,http://www.imdb.com/title/tt0038303/,US,1946,-,John Cromwell,1,Anna Leonowens,Other,Known,Multi racial,0,Female,Irene Dunne
Annie Get Your Gun,http://www.imdb.com/title/tt0042200/,US,1950,$8M,George Sidney,1,Annie Oakley,Athlete,Known,White,0,Female,Betty Hutton
Annie Oakley,http://www.imdb.com/title/tt0026073/,US,1935,-,George Stevens,1,Annie Oakley,Athlete,Known,White,0,Female,Barbara Stanwyck
Another Country,http://www.imdb.com/title/tt0086904/,UK,1984,-,Marek Kanievska,1,Guy Burgess,Military,Unknown,,0,Male,Rupert Everett
Antwone Fisher,http://www.imdb.com/title/tt0168786/,US,2002,$21.1M,Denzel Washington,1,Antwone Fisher,Military,Known,African American,1,Male,Derek Luke
Auto Focus,http://www.imdb.com/title/tt0298744/,US,2002,$2.06M,Paul Schrader,1,"Robert Edward ""Bob"" Crane",Actor,Known,White,0,Male,Greg Kinnear
Awakenings,http://www.imdb.com/title/tt0099077/,US,1990,$52.1M,Penny Marshall,1,Oliver Sacks,Medicine,Known,White,0,Male,Robin Williams
Baadasssss!,http://www.imdb.com/title/tt0367790/,US,2003,$365K,Mario Van Peebles,1,Melvin Van Peebles,Actor,Known,African American,1,Male,Mario Van Peebles
Baader,http://www.imdb.com/title/tt0309320/,UK,2002,-,Christopher Roth,1,Andreas Baader,Military,Known,White,0,Male,Frank Giering
Backbeat,http://www.imdb.com/title/tt0106339/,UK,1994,$2.39M,Iain Softley,2,John Lennon,Musician,Known,White,0,Male,Ian Hart
Backbeat,http://www.imdb.com/title/tt0106339/,UK,1994,$2.39M,Iain Softley,2,Stuart Sutcliffe,Musician,Known,White,0,Male,Stephen Dorff
Bandit Queen,http://www.imdb.com/title/tt0109206/,UK,1994,$400K,Shekhar Kapur,1,Phoolan Devi ,Criminal,Known,Indian,1,Female,Seema Biswas
Barabbas,http://www.imdb.com/title/tt0055774/,US,1961,-,Richard Fleischer,1,Barabbas,Historical,Known,White,0,Male,Anthony Quinn
Basquiat,http://www.imdb.com/title/tt0115632/,US,1996,$2.96M,Julian Schnabel,1,Jean-Michel Basquiat,Artist,Known,Multi racial,1,Male,Jeffrey Wright
Bathory: Countess of Blood,http://www.imdb.com/title/tt0469640/,UK,2008,-,Juraj Jakubisko,1,Elizabeth Bathory,Criminal,Known,White,0,Female,Anna Friel
Battle Hymn,http://www.imdb.com/title/tt0050171/,US,1957,-,Douglas Sirk,1,Dean Hess,Military,Unknown,,0,Male,Rock Hudson
Beau Brummell,http://www.imdb.com/title/tt0046759/,US,1954,-,Curtis Bernhardt,1,George Brummell,Other,Known,White,0,Male,Stewart Granger
Becket,http://www.imdb.com/title/tt0057877/,US/UK,1964,-,Peter Glenville,2,King Henry II,Historical,Known,White,0,Male,Peter O'Toole
Becket,http://www.imdb.com/title/tt0057877/,US/UK,1964,-,Peter Glenville,2,Thomas Becket,Historical,Known,White,0,Male,
Becoming Jane,http://www.imdb.com/title/tt0416508/,UK,2007,$18.7M,Julian Jarrold,1,Jane Austen,Author,Known,White,0,Female,Anne Hathaway
Before Night Falls,http://www.imdb.com/title/tt0247196/,US,2000,$4.22M,Julian Schnabel,1,Reinaldo Arenas,Activist,Known,Hispanic (Latin American),1,Male,Javier Bardem
Behind the Lines,http://www.imdb.com/title/tt0120001/,Canada/UK,1997,$19.3K,Gillies MacKinnon,1,Siegfried Loraine Sassoon,Military,Known,Multi racial,0,Male,James Wilby
Bernard and Doris,http://www.imdb.com/title/tt0470732/,US,2006,-,Bob Balaban,2,Bernard Lafferty,Other,Known,White,0,Male,Ralph Fiennes
Bernard and Doris,http://www.imdb.com/title/tt0470732/,US/UK,2006,-,Bob Balaban,2,Doris Duke,Other,Known,White,0,Female,Susan Sarandon
Best,http://www.imdb.com/title/tt0181311/,UK,2000,-,Mary McGuckian,1,George Best,Athlete,Known,White,0,Male,John Lynch
Beyond the Law,http://www.imdb.com/title/tt0103805/,US,1993,-,Larry Ferguson,1,Dan Black,Other,Unknown,,0,Male,Charlie Sheen
Beyond the Sea,http://www.imdb.com/title/tt0363473/,US/UK,2004,$6.14M,Kevin Spacey,1,Bobby Darin ,Musician,Known,White,0,Male,Kevin Spacey
Big Eyes,http://www.imdb.com/title/tt1126590/,US/Canada,2014,$14.5M,Tim Burton,1,Margaret Keane,Artist,Known,White,0,Female,Amy Adams
Billy the Kid,http://www.imdb.com/title/tt0033389/,US,1941,-,David Miller,1,Henry McCarty (Billy the Kid),Criminal,Known,White,0,Male,Robert Taylor
Bird,http://www.imdb.com/title/tt0094747/,US,1988,$2.18M,Clint Eastwood,1,"Charlie ""Bird"" Parker",Musician,Known,Multi racial,1,Male,Forest Whitaker
Birdman of Alcatraz,http://www.imdb.com/title/tt0055798/,US,1962,-,John Frankenheimer,1,Robert Franklin Stroud,Criminal,Unknown,,0,Male,Burt Lancaster
Blaze,http://www.imdb.com/title/tt0096943/,US,1989,$19.1M,Ron Shelton,1,Earl Long,Politician,Known,White,0,Male,Paul Newman
Bloodsport,http://www.imdb.com/title/tt0092675/,US,1988,$11.8M,Newt Arnold,1,Frank Dux,Athlete,Unknown,,0,Male,Jean-Claude Van Damme
Blossoms in the Dust,http://www.imdb.com/title/tt0033407/,US,1941,-,Mervyn LeRoy,1,Edna Gladney,Other,Unknown,,0,Female,Greer Garson
Blow,http://www.imdb.com/title/tt0221027/,US,2001,$52.9M,Ted Demme,1,George Jung,Criminal,Known,White,0,Male,Johnny Depp
Blue,http://www.imdb.com/title/tt0106438/,UK,1993,$1.72M,Derek Jarman,1,Derek Jarman,Other,Unknown,,0,Male,Derek Jarman
Blue Caprice,http://www.imdb.com/title/tt2027064/,US,2013,$86.7K,Alexandre Moors,1,John Allen Muhammad,Criminal,Known,African American,1,Male,Isaiah Washington
Bobby Jones: Stroke of Genius,http://www.imdb.com/title/tt0375104/,US,2004,$2.69M,Rowdy Herrington,1,Bobby Jones,Athlete,Unknown,,0,Male,Jim Caviezel
Bonnie and Clyde,http://www.imdb.com/title/tt0061418/,US,1967,-,Arthur Penn,2,Clyde Barrow,Criminal,Unknown,,0,Male,Warren Beatty
Bonnie and Clyde,http://www.imdb.com/title/tt0061418/,US,1967,-,Arthur Penn,2,Bonnie Parker,Criminal,Unknown,,0,Female,Faye Dunaway
Born on the Fourth of July,http://www.imdb.com/title/tt0096969/,US,1989,$70M,Oliver Stone,1,Ron Kovic,Military / activist,Unknown,,0,Male,Tom Cruise
Bound for Glory,http://www.imdb.com/title/tt0074235/,US,1976,-,Hal Ashby,1,Woody Guthrie,Singer,Known,White,0,Male,David Carradine
Boys Don't Cry,http://www.imdb.com/title/tt0171804/,US,1999,$11.5M,Kimberly Peirce,1,Brandon Teena,Other,Unknown,,0,Male,Hilary Swank
Boys Town,http://www.imdb.com/title/tt0029942/,US,1938,-,Norman Taurog,1,Father Edward Flanagan,Other,Known,White,0,Male,Spencer Tracy
Braveheart,http://www.imdb.com/title/tt0112573/,US,1995,$75.6M,Mel Gibson,1,William Wallace,Military,Known,White,0,Male,Mel Gibson
Breach,http://www.imdb.com/title/tt0401997/,US,2007,$33M,Billy Ray,1,Robert Hanssen,Criminal,Known,White,0,Male,Chris Cooper
Brigham Young,http://www.imdb.com/title/tt0032281/,US,1940,-,Henry Hathaway,1,Brigham Young,Other,Known,White,0,Male,Dean Jagger
Bright Star,http://www.imdb.com/title/tt0810784/,UK,2009,$4.44M,Jane Campion,2,John Keats,Author (poet),Known,White,0,Male,Ben Whishaw
Bright Star,http://www.imdb.com/title/tt0810784/,UK,2009,$4.44M,Jane Campion,2,Fanny Brawne,Other,Unknown,,0,Female,Abbie Cornish
Bronson,http://www.imdb.com/title/tt1172570/,UK,2008,$105K,Nicolas Winding Refn,1,Charles Bronson,Criminal,Unknown,,0,Male,Tom Hardy
"Brother Sun, Sister Moon",http://www.imdb.com/title/tt0069824/,UK,1972,-,Franco Zeffirelli,1,St. Francis of Assisi ,Historical,Known,White,0,Male,Graham Faulkner
Bubble Boy,http://www.imdb.com/title/tt0258470/,US,2001,$5M,Blair Hayes,1,David Vetter,Medicine,Unknown,,0,Male,Jake Gyllenhaal
Buffalo Bill,http://www.imdb.com/title/tt0036677/,US,1944,-,William A. Wellman,1,William Cody,Other,Known,White,0,Male,Joel McCrea
Bugsy,http://www.imdb.com/title/tt0101516/,US,1991,$49.1M,Barry Levinson,1,Ben 'Bugsy' Siegel,Criminal,Known,White,0,Male,Warren Beatty
Burning Blue,http://www.imdb.com/title/tt1811307/,US,2013,-,"D.M.W. Greer With: Trent Ford, Tammy Blanchard, Morgan Spector",1,DMW Greer,Military,Unknown,,0,Male,Trent Ford
Buster,http://www.imdb.com/title/tt0094819/,UK,1988,$540K,David Green,1,Buster Edwards,Criminal,Unknown,,0,Male,Phil Collins
Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,US,1969,$102M,George Roy Hill,2,Butch Cassidy (Robert Leroy Parker),Criminal,Known,White,0,Male,Paul Newman
Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,US,1969,$102M,George Roy Hill,2,Harry Longabaugh,Criminal,Known,White,0,Male,Robert Redford
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,$8.13M,Darnell Martin,3,Etta James,Singer,Known,African American,1,Female,BeyoncÃ© Knowles
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,$8.13M,Darnell Martin,3,Muddy Water,Musician,Known,African American,1,Male,Jeffrey Wright
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,$8.13M,Darnell Martin,3,Leonard Chess,Musician,Known,White,0,Male,Adrien Brody
Caesar and Cleopatra,http://www.imdb.com/title/tt0038390/,UK,1945,-,Gabriel Pascal,2,Julius Caesar,Historical,Known,White,0,Male,Claude Rains
Caesar and Cleopatra,http://www.imdb.com/title/tt0038390/,UK,1945,-,Gabriel Pascal,2,Cleopatra,Historical,Known,Middle Eastern,1,Female,Vivien Leigh
Callas Forever,http://www.imdb.com/title/tt0274407/,UK,2002,$446K,Franco Zeffirelli,1,Maria Callas,Singer,Known,Mediterranean,0,Female,Fanny Ardant
Cannibal! The Musical,http://www.imdb.com/title/tt0115819/,US,1993,-,Trey Parker,1,Alferd Packer,Criminal,Unknown,,0,Male,Trey Parker
Capone,http://www.imdb.com/title/tt0072761/,US,1975,-,Steve Carver,1,Al Capone,Criminal,Known,White,0,Male,Ben Gazzara
Capote,http://www.imdb.com/title/tt0379725/,US/Canada,2005,$28.7M,Bennett Miller,1,Truman Capote ,Author,Unknown,,0,Male,Philip Seymour Hoffman
Captain Kidd,http://www.imdb.com/title/tt0037576/,US,1945,-,Rowland V. Lee,1,William Kidd,Historical,Known,White,0,Male,Charles Laughton
Captain Phillips,http://www.imdb.com/title/tt1535109/,US,2013,$107M,Paul Greengrass,1,Richard Phillips,Military,Unknown,,0,Male,Tom Hanks
Caravaggio,http://www.imdb.com/title/tt0090798/,UK,1986,$3.15K,Derek Jarman,1,Michelangelo Merisi de Caravaggio,Artist,Known,White,0,Male,Multiple
Carbine Williams,http://www.imdb.com/title/tt0044480/,US,1952,-,Richard Thorpe,1,David Marshall Williams,Other,Unknown,,0,Male,James Stewart
Carrington,http://www.imdb.com/title/tt0112637/,UK,1995,$3.24M,Christopher Hampton,2,Lytton Strachey,Author,Known,White,0,Male,Jonathan Pryce
Carrington,http://www.imdb.com/title/tt0112637/,UK,1995,$3.24M,Christopher Hampton,2,Dora Carrington,Artist,Known,White,0,Female,Emma Thompson
Carve Her Name with Pride,http://www.imdb.com/title/tt0051454/,UK,1958,-,Lewis Gilbert,1,Violette Bushell Szabo,Military,Known,White,0,Female,Virginia McKenna
Casino,http://www.imdb.com/title/tt0112641/,US,1995,$42.4M,Martin Scorsese,1,"Frank ""Lefty"" Rosenthal",Criminal,Unknown,,0,Male,Robert De Niro
Casino Jack,http://www.imdb.com/title/tt1194417/,Canada,2010,$1.04M,George Hickenlooper,1,Jack Abramoff,Other,Unknown,,0,Male,Kevin Spacey
Cass,http://www.imdb.com/title/tt0954981/,UK,2008,-,Jon S. Baird,1,Cass Pennant,Other,Known,Caribbean,1,Male,Nonso Anozie
Catch a Fire,http://www.imdb.com/title/tt0437232/,US/UK,2006,$4.29M,Phillip Noyce,1,Patrick Chamusso,Activist,Known,African,1,Male,Derek Luke
Catch Me If You Can,http://www.imdb.com/title/tt0264464/,US/Canada,2002,$164M,Steven Spielberg,1,Frank Abagnale Jr.,Criminal,Unknown,,0,Male,Leonardo DiCaprio
Cesar Chavez,http://www.imdb.com/title/tt1621046/,US,2014,$5.55M,Diego Luna,1,Cesar Chavez,Activist,Known,Hispanic (Latino),1,Male,Michael PeÃ±a
Chaplin,http://www.imdb.com/title/tt0103939/,US,1992,$9.49M,Richard Attenborough,1,Charles Spencer Chaplin,Comedian,Known,White,0,Male,Robert Downey Jr.
Charlie Wilson's War,http://www.imdb.com/title/tt0472062/,US,2007,$66.6M,Mike Nichols,1,Charlie Wilson,Military,Unknown,,0,Male,Tom Hanks
Chasing Mavericks,http://www.imdb.com/title/tt1629757/,US,2012,$6M,"Michael Apted, Curtis Hanson",1,Jay Moriarity,Athlete,Unknown,,0,Male,Jonny Weston
Chattahoochee,http://www.imdb.com/title/tt0099242/,US,1989,$259K,Mick Jackson,1,Emmett Foley,Military,Unknown,,0,Male,Gary Oldman
Che: Part One,http://www.imdb.com/title/tt0892255/,US,2008,$1.73M,Steven Soderbergh,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Benicio Del Toro
Che: Part Two,http://www.imdb.com/title/tt0374569/,US,2008,-,Steven Soderbergh,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,DemiÃ¡n Bichir
Che!,http://www.imdb.com/title/tt0064158/,US,1969,$2M,Richard Fleischer,1,Che Guevara,Activist,Known,Hispanic (Latin American),0,Male,Omar Sharif
Chisum,http://www.imdb.com/title/tt0065547/,US,1970,$6M,Andrew V. McLaglen,1,John Chisum,Other,Unknown,,0,Male,John Wayne
Christopher Columbus: The Discovery,http://www.imdb.com/title/tt0103962/,US/UK,1992,$8.25M,John Glen,1,Christopher Columbus,Other,Known,White,0,Male,Georges Corraface
Ciao Manhattan,http://www.imdb.com/title/tt0068379/,US,1972,-,"John Palmer, David Weisman",1,Edie Sedgwick,Actress,Known,White,0,Female,Edie Sedgwick
Cinderella Man,http://www.imdb.com/title/tt0352248/,US,2005,$61.6M,Ron Howard,1,James Braddock,Athlete,Known,White,0,Male,Russell Crowe
Cleopatra,http://www.imdb.com/title/tt0024991/,US,1934,-,Cecil B. DeMille,1,Cleopatra,Historical,Known,Middle Eastern,1,Female,Claudette Colbert
Cleopatra,http://www.imdb.com/title/tt0056937/,US/UK,1963,$57.8M,Joseph L. Mankiewicz,1,Cleopatra,Historical,Known,Middle Eastern,1,Female,Elizabeth Taylor
Coal Miner's Daughter,http://www.imdb.com/title/tt0080549/,US,1980,$79.9M,Michael Apted,1,Loretta Lynn,Singer,Known,Multi racial,1,Female,Sissy Spacek
Cobb,http://www.imdb.com/title/tt0109450/,US,1994,$1.01M,Ron Shelton,1,Ty Cobb ,Athlete,Known,White,0,Male,Tommy Lee Jones
Communion,http://www.imdb.com/title/tt0097100/,US/UK,1989,$1.92M,Philippe Mora,1,Whitley Strieber,Other,Unknown,,0,Male,Christopher Walken
Compulsion,http://www.imdb.com/title/tt0052700/,US,1959,-,Richard Fleischer,2,Nathan Leopold Jr.,Criminal,Known,White,0,Male,Dean Stockwell/Bradford Dillman
Compulsion,http://www.imdb.com/title/tt0052700/,US,1959,-,Richard Fleischer,2,Richard Loeb,Criminal,Known,White,0,Male,Dean Stockwell/Bradford Dillman
Confessions of a Dangerous Mind,http://www.imdb.com/title/tt0270288/,US/Canada,2002,-,George Clooney,1,Chuck Barris,Actor,Unknown,,0,Male,Sam Rockwell
Control,http://www.imdb.com/title/tt0421082/,US/UK,2007,$872K,Anton Corbijn,1,Ian Curtis,Musician,Unknown,,0,Male,Sam Riley
Conviction,http://www.imdb.com/title/tt1244754/,US,2010,$6.78M,Tony Goldwyn,1,Betty Anne Waters,Other,Unknown,,0,Female,Hilary Swank
Copying Beethoven,http://www.imdb.com/title/tt0424908/,US,2006,$353K,Agnieszka Holland,1,Ludwig van Beethoven,Musician,Known,White,0,Male,Ed Harris
Counterpunch,http://www.imdb.com/title/tt2051850/,US,2013,-,Kenneth Castillo,1,Alvaro Orlando,Athlete,Known,Hispanic (Latino),1,Male,Alvaro Orlando
Creation,http://www.imdb.com/title/tt0974014/,UK,2009,$341K,Jon Amiel,1,Charles Darwin,Academic,Unknown,,0,Male,Paul Bettany
Cromwell,http://www.imdb.com/title/tt0065593/,UK,1970,-,Ken Hughes,1,Oliver Cromwell ,Historical,Known,White,0,Male,Richard Harris
Cross Creek,http://www.imdb.com/title/tt0085380/,US,1983,$200K,Martin Ritt,1,Marjorie Kinnan Rawlings,Author,Unknown,,0,Female,Mary Steenburgen
Crutch,http://www.imdb.com/title/tt0422029/,US,2004,-,Rob Moretti,1,Rob Moretti,Actor,Unknown,,0,Male,Eben Gordon
Cry Freedom,http://www.imdb.com/title/tt0092804/,UK,1987,$5.9M,Richard Attenborough,1,Steve Biko,Activist,Known,African,1,Male,Denzel Washington
Custer of the West,http://www.imdb.com/title/tt0062844/,US,1967,-,Robert Siodmak,1,George Armstrong Custer,Military,Known,White,0,Male,Robert Shaw
Dahmer,http://www.imdb.com/title/tt0285728/,US,2002,-,David Jacobson,1,Jeffrey Dahmer ,Criminal,Known,White,0,Male,Jeremy Renner
Dallas Buyers Club,http://www.imdb.com/title/tt0790636/,US,2013,$27.3M,Jean-Marc VallÃƒÂ©e,1,Ron Woodroof ,Activist,Unknown,,0,Male,Matthew McConaughey
Dance with a Stranger,http://www.imdb.com/title/tt0088987/,UK,1985,$138K,Mike Newell,1,Ruth Ellis,Criminal,Unknown,,0,Female,Miranda Richardson
Dangerous Beauty,http://www.imdb.com/title/tt0118892/,US,1998,$4.53M,Marshall Herskovitz,1,Veronica Franco,Other,Known,White,0,Female,Catherine McCormack
Dangerous Minds,http://www.imdb.com/title/tt0112792/,US,1995,$84.9M,John N. Smith,1,Louanne Johnson,Teacher,Known,White,0,Female,Michelle Pfeiffer
De-Lovely,http://www.imdb.com/title/tt0352277/,US/UK,2004,$13.3M,Irwin Winkler,1,Cole Porter,Musician,Known,White,0,Male,Kevin Kline
Death in Granada,http://www.imdb.com/title/tt0117106/,US,1996,$226K,Marcos Zurinaga,1,Garcia Lorca,Author,Known,Hispanic (White),0,Male,Andy Garcia
Desert Dancer,http://www.imdb.com/title/tt2403393/,UK,2014,$144K,Richard Raymond,1,Afshin Ghaffarian,Artist,Known,Middle Eastern,1,Male,Reece Ritchie
Desert Flower,http://www.imdb.com/title/tt1054580/,UK,2009,$44.3K,Sherry Hormann,1,Waris Dirie,Activist,Known,African,1,Female,Soraya Omar-Scego (young) and Liya Kebede (older)
DÃ©sirÃ©e,http://www.imdb.com/title/tt0046903/,US,1954,-,Henry Koster,2,DÃ©sirÃ©e Clary,Historical,Known,White,0,Female,Jean Simmons
DÃ©sirÃ©e,http://www.imdb.com/title/tt0046903/,US,1954,-,Henry Koster,2,Napoleon Bonaparte,Historical,Known,White,0,Male,Marlon Brando
Devil's Knot,http://www.imdb.com/title/tt0804463/,US,2013,-,Atom Egoyan,3,Damien Echols,Criminal,Unknown,,0,Male,James Hamrick
Devil's Knot,http://www.imdb.com/title/tt0804463/,US,2013,-,Atom Egoyan,3,Jason Baldwin,Criminal,Unknown,,0,Male,Seth Meriwether
Devil's Knot,http://www.imdb.com/title/tt0804463/,US,2013,-,Atom Egoyan,3,"Jessie Misskelley, Jr.",Criminal,Unknown,,0,Male,Kristopher Higgins
Devotion,http://www.imdb.com/title/tt0038474/,US,1946,-,Curtis Bernhardt,3,Charlotte Bronte,Author,Known,White,0,Female,Olivia de Havilland
Devotion,http://www.imdb.com/title/tt0038474/,US,1946,-,Curtis Bernhardt,3,Emily Bronte,Author,Known,White,0,Female,Ida Lupino
Devotion,http://www.imdb.com/title/tt0038474/,US,1946,-,Curtis Bernhardt,3,Anne Bronte,Author,Known,White,0,Female,Nancy Coleman
Diana,http://www.imdb.com/title/tt1758595/,UK,2013,$332K,Oliver Hirschbiegel,1,Princess Diana,Other,Known,White,0,Female,Naomi Watts
Digging Up the Marrow,http://www.imdb.com/title/tt1991031/,US,2014,-,Adam Green,1,Adam Green,Other,Unknown,,0,Male,Adam Green
