ID	Pollster	Polls	NCPP/AAPOR/Roper	Calls Cellphones	Banned by 538	Historical Advanced Plus-Minus	Predictive Plus-Minus	538 Grade	Mean-Reverted Bias
26	University of South Alabama	8		yes		-2.848764	-0.3678937	B+	-0.406172632
27	Los Angeles Times	40	yes	yes		-0.2545127	-0.3659749	B+	-0.611715556
28	Marist College	99	yes	yes		-0.2348228	-0.3330505	B+	-1.52508
29	Time/Abt SRBI	5	yes	yes		-1.098558	-0.3307491	B+	0.217547059
30	SoonerPoll.com	11	yes	yes		-0.4104658	-0.325278	B+	1.471188462
31	St. Norbert College	11		yes		-1.988579	-0.3201131	B+	0.1427755
32	Quinnipiac University	133	yes	yes		-0.2012938	-0.2916989	B+	-0.858015349
33	Lake Research Partners	9		yes		-2.231017	-0.2897414	B+	0.498152308
34	Market Shares Corp.	26	yes	yes		-0.1198302	-0.2895489	B+	-1.730507308
35	Mason-Dixon Polling & Research, Inc.	407		yes		-0.4909905	-0.2816466	B+	-1.058022507
36	RKM Research and Communications, Inc.	26		yes		-0.8733286	-0.2365313	B	-0.20611425
37	CBS News/New York Times	54	yes	yes		-0.0503071	-0.2346829	B	0.68373027
38	RT Strategies	42	yes	yes		-0.0138873	-0.2261228	B	1.091760833
39	Princeton Survey Research Associates International	31	yes	yes		0.0088521	-0.2259537	B	0.1501085
40	Castleton State College	1	yes	yes		-3.238781	-0.2228449	B	
41	Western New England University	9	yes	yes		-0.0331289	-0.2128313	B	-1.027738947
42	Angus Reid Global	29				-1.574631	-0.2119248	B	-1.338045254
43	Garin-Hart-Yang Research Group	19		yes		-0.9869623	-0.1997202	B	1.151485306
44	EPIC-MRA	38		yes		-0.6325369	-0.1959903	B	-0.337568469
45	Suffolk University	55		yes		-0.5348258	-0.1934035	B	1.07248
46	Fleming & Associates	14		yes		-1.200976	-0.1826907	B	-0.461548571
47	Marquette University	4		yes		-3.745945	-0.1741176	B	-0.020792182
48	Tarrance Group	19		yes		-0.89208	-0.1629291	B	-0.92163
49	IBD/TIPP	17		yes		-0.9291317	-0.1473386	B	-0.746592979
50	Pew Research Center	19	yes	yes		0.2523617	-0.1353851	B	0.428519796
51	University of New Hampshire	75	yes	yes		0.0743052	-0.1236471	B	1.457512105
52	Elon University	3	yes	yes		0.3532298	-0.1178753	B	0.222546364
53	RBI Strategies & Research	2		yes		-6.274689	-0.1019925	B	-0.021992065
54	Virginia Commonwealth University	5	yes	yes		0.6199648	-0.0852458	B	-0.276942857
55	MassINC Polling Group	4		yes		-2.944151	-0.0797889	B	-0.276416471
56	Richard Day Research, Inc.	11	yes			-1.00457	-0.0561107	B	-0.770405122
57	Fox News/Anderson Robbins Research/Shaw & Company Research	4	yes	yes		1.025637	-0.0420773	B	-0.399381176
58	Pan Atlantic SMS Group	13		yes		-0.8091345	-0.0409403	B	0.455539512
59	New England College	3		yes		-3.482635	-0.0388584	B	-0.140231818
60	University of Washington	10		yes		-0.9640167	-0.02202	B	0.2290515
61	University of Southern California	4		yes		-2.430562	-0.0193667	B	-0.559851765
62	Stockton College	2		yes		-4.676465	-0.0021035	B	-0.05625
63	University of Arkansas	2	yes			-4.500444	0.0088979	B-	0.084931875
64	Indiana University	2	yes			-4.498387	0.0090264	B-	0.0534375
65	High Point University	2		yes		-4.483908	0.0099313	B-	0.005796688
66	Public Policy Polling	297				-0.4227452	0.028885	B-	-0.72498059
67	Strategies 360	2		yes		-4.016275	0.0391584	B-	-0.151598125
68	National Research, Inc.	4		yes		-1.81595	0.0529406	B-	-0.540010588
69	Cole Hargrave Snodgrass & Associates	3		yes		-2.394754	0.0600399	B-	0.31303
70	Keating Research, Inc.	2		yes		-3.670209	0.0607875	B-	-0.116269375
71	Harstad Strategic Research, Inc.	7		yes		-0.9396045	0.0615077	B-	0.680793514
72	GBA Strategies	2		yes		-3.519624	0.0701991	B-	-0.230594375
73	University of Massachusetts Amherst	11		yes		-0.438787	0.0956847	B-	-0.4478125
74	Tulchin Research	2		yes		-2.954467	0.1055214	B-	-0.215575
75	Mellman Group	20		yes		-0.1641171	0.1148004	B-	1.584836
76	Market Decisions	4		yes		-1.269833	0.1171897	B-	-0.053358235
77	Voter/Consumer Research	5		yes		-0.9666312	0.1184428	B-	-0.434137647
78	Fabrizio, Lee & Associates	1		yes		-5.34975	0.1314812	B-	-0.003870968
79	Clarity Campaign Labs	1		yes		-5.33742	0.1318789	B-	-0.001585484
80	Market Research Institute, Inc.	9				-2.189436	0.150149	B-	-0.326379231
81	Ward Research (Honolulu Star-Advertiser)	11		yes		-0.221187	0.1540652	B-	-0.707678293
82	Knowledge Networks	3	yes			-1.344804	0.1554899	B-	-0.008387097
83	Riley Research Associates	7				-2.552622	0.1873616	B-	-0.118893108
84	Louisville Courier-Journal	10				-1.792813	0.2003151	B-	-0.3157325
85	St. Cloud State University	9	yes	yes		1.800457	0.2103039	B-	0.438244615
86	QEV Analytics	1		yes		-2.555583	0.2216155	B-	
87	American Viewpoint	5		yes		-0.2284159	0.2239021	B-	-0.663098571
88	Orion Strategies	4				-4.003148	0.2249454	B-	0.117682727
89	University of Wisconsin (Badger Poll)	6	yes			-0.1317245	0.2255129	B-	0.17844
90	Hill Research Consultants	4		yes		-0.3288164	0.2278975	B-	-0.371744706
91	Hampton University	1		yes		-1.903697	0.2426441	B-	0.112258065
92	YouGov	230				-0.1912068	0.2521661	C+	-1.1927608
93	Ipsos, online	22	yes			0.1918897	0.2571556	C+	-0.48784875
94	Old Dominion University	1		yes		-1.290966	0.2624095	C+	0.144516129
95	Strategic Vision, LLC	129			yes	-0.2212759	0.2680261	F	-1.875927206
96	Dartmouth College	2		yes		-0.3194796	0.2702081	C+	
97	University of Texas, online	2				-6.881524	0.2855527	C+	0.01890825
98	Belden Russonello & Stewart	2		yes		-0.0294997	0.2883319	C+	0.2078125
99	US News & World Report	3				-4.564485	0.2905234	C+	-0.076666636
100	Google Consumer Surveys	12				-1.191504	0.2953021	C+	-0.628077143
101	Northern Arizona University	4				-3.373678	0.2990007	C+	-0.390821176
102	Capital Survey Research Center	11				-1.277544	0.2992134	C+	0.066955294
103	Pharos Research Group	31			yes	-0.5054196	0.299225	F	0.870779836
104	M4 Strategies	2				-6.580567	0.3043625	C+	-0.193330625
105	Ethridge & Associates, LLC	6				-2.227447	0.3071125	C+	-0.120277833
106	Alabama State University	4				-3.193412	0.3202084	C+	
107	Southern Media & Opinion Research	4		yes		0.4566848	0.3203094	C+	0.003125
108	Fox News/Opinion Dynamics Corp.	34	yes			0.3135287	0.3267181	C+	-0.473648966
109	Moore Information	5		yes		0.5338932	0.3328034	C+	-0.429428571
110	Public Opinion Strategies	46		yes		0.2995673	0.3355572	C+	-2.145337105
111	University Nevada, Las Vegas	1		yes		1.071086	0.3386047	C+	
112	Tel Opinion Research	10				-1.218472	0.3439004	C+	-0.03276475
113	NPR	3		yes		0.7401082	0.3450274	C+	0.087878091
114	Vanderbilt University	1		yes		1.343405	0.3473892	C+	
115	Crawford Johnson & Northcott Inc.	5				-2.350888	0.351037	C+	0.104836774
116	Financial Dynamics	15				-0.802034	0.3513383	C+	-0.659786667
117	Greenberg Quinlan Rosner (Democracy Corps)	46		yes		0.326216	0.3516867	C+	2.33007
118	Rutgers University	13	yes	yes		1.901187	0.3523566	C+	0.098139419
119	Glengariff Group, Inc.	5		yes		0.6872024	0.3547047	C+	-0.115353529
120	CallFire	4		yes		0.7542945	0.3553223	C+	-0.462492941
121	University of Georgia	1	yes			1.703379	0.3590012	C+	-0.315483871
122	Val Smith	1		yes		1.804356	0.3622586	C+	-0.27462
123	Fairbank, Maslin, Maullin, Metz & Associates	7		yes		0.6649843	0.3650785	C+	1.048032432
124	Christopher Newport University	2		yes		1.230051	0.3670538	C+	0.443125
125	Iowa State University	1	yes			2.021284	0.3692562	C+	
126	Clarus Research Group	3		yes		1.010662	0.3696232	C+	0.505655
127	University of North Florida	2		yes		1.28046	0.3702044	C+	0.31625
128	Clemson University	4		yes		0.9229996	0.37517	C+	-0.538709677
129	Gallup	80	yes	yes		0.7523382	0.3758887	C+	-0.836830526
130	Frederick Polls	2				-5.415407	0.377185	C+	-0.018574484
131	Potomac Incorporated	8				-1.355856	0.3772075	C+	-0.522778333
132	KRC/Communications Research	22				-0.4868463	0.3805791	C+	0.194146244
133	DFM Research	3		yes		1.148801	0.3821813	C+	0.593374545
134	Hendrix College	4				-2.438336	0.4090409	C+	0.452941176
135	Frank N. Magid Associates, Inc.	4				-2.318331	0.4231592	C+	0.545294118
136	Howey Politics/DePauw University	7		yes		0.9872891	0.4260551	C+	0.095114833
137	George Washington University (Battleground)	32		yes		0.5146411	0.4274761	C+	-1.000578065
138	Penn Schoen Berland	18		yes		0.6583669	0.4326209	C+	2.5288425
139	Feldman Group	1		yes		4.05348	0.4348109	C+	0.348532258
140	Ayres, McHenry & Associates	2		yes		2.405076	0.4404928	C+	-0.439375
141	Schroth, Eldon & Associates	8				-1.051392	0.4413052	C+	0.55839
142	MSR Group	3				-2.895047	0.4422906	C+	0.315349091
143	Marshall Marketing & Communications	4				-2.140388	0.4440936	C+	-0.199940909
144	Louis Harris & Associates	2				-4.328587	0.4451112	C+	0.05625
145	Bennett Petts & Blumenthal	9				-0.9018966	0.4472735	C+	0.346435385
146	Temple University	6				-1.376834	0.4488814	C+	-0.353215714
147	Magellan Strategies	6	yes			1.217713	0.4504192	C+	-0.606376471
148	Landmark Communications	10				-0.7868554	0.4518045	C+	-0.594677895
149	Scripps Howard	4				-2.062868	0.4532136	C+	-0.065294118
150	IVR Polls	4				-2.000147	0.4605925	C+	
151	Talmey-Drake Research & Strategy, Inc.	9		yes		1.036074	0.4642026	C+	-0.407949231
152	Polling Company/Global Strategy Group (Hotline Bullseye)	3	yes			2.054852	0.4645497	C+	-0.414498182
153	Emerson College	2				-3.870154	0.4737633	C+	-0.0225
154	RAND (American Life Panel)	3				-2.473647	0.4805997	C+	-0.038781909
155	Inside Michigan Politics	1		yes		5.497832	0.4814028	C+	
156	Research 2000	279			yes	0.0859184	0.4923365	F	1.389753971
157	Florida International University/Univision	1				-6.939324	0.5026264	C+	0.058114516
158	International Communications Research, Inc.	5				-1.258139	0.507144	C+	-0.071409143
159	Global Strategy Group	18				-0.231692	0.5168808	C+	0.99638625
160	Commonwealth Foundation	2				-3.176505	0.5171164	C+	-0.258125
161	Harper Polling	2				-3.129007	0.520085	C+	0.0596875
162	Philadelphia Inquirer	4				-1.44281	0.5261616	C+	-0.314134118
163	Missouri State University	3				-1.966961	0.5266621	C+	0.372810909
164	Baselice & Associates, Inc.	2		yes		3.822816	0.5291016	C+	0.224193548
165	Lauer Johnson Research	1		yes		7.160567	0.5350394	C+	0.44553871
166	University Massachusetts Lowell	3		yes		2.8403	0.5359541	C+	-0.057519455
167	Market Research Insight	2				-2.860662	0.5368566	C+	-0.016129032
168	University Wisconsin—Milwaukee	3				-1.83526	0.5386349	C+	-0.480302727
169	Braun Research	3		yes		2.873105	0.5389363	C+	0.828442727
170	Harris Interactive, telephone	9	yes			1.368893	0.541007	C+	0.461681538
171	Personal Marketing Research	3				-1.7919	0.5425767	C+	
172	University of Tennessee	1				-5.608106	0.5455688	C+	-0.088064516
173	Hellenthal & Associates	2		yes		4.244407	0.555451	C	0.261290323
174	Market Strategies International	1				-5.281423	0.556107	C	-0.035483871
175	Political Marketing International, Inc./Red Racing Horses	2				-2.538374	0.5569996	C	0.2721875
176	RMS Research	1				-5.242818	0.5573523	C	-0.029677419
177	Richmond Times-Dispatch	4				-1.172544	0.5579576	C	0.341470588
178	Canisius College	1				-5.10207	0.5618926	C	
179	Dynamic Marketing, Inc.	1				-5.096332	0.5620776	C	0.097096774
180	Ivan Moore Research	3		yes		3.171057	0.5660229	C	0.870678182
181	Forward Strategies	2				-2.371669	0.5674186	C	0.0814275
182	Market Solutions Group	4				-1.054745	0.5718163	C	-0.0078125
183	University of Texas, telephone	2				-2.197837	0.5782831	C	0.1172575
184	OnPoint	4				-0.9427637	0.5849906	C	0.192647059
185	Lauer Lalley Victoria, Inc.	1				-4.205868	0.5908023	C	-0.05483871
186	Mitchell Research & Communications	30				0.0678467	0.5929356	C	-0.2892855
187	Columbus Dispatch	17	yes			1.121553	0.5943983	C	1.115784091
188	Wirthlin Worldwide	4				-0.8555689	0.5952488	C	-0.45998
189	Cranford & Associates	1				-4.00372	0.5973232	C	0.079450323
190	Kiley & Company	2				-1.76095	0.6055886	C	0.21248125
191	Dittman Research	9				-0.2005344	0.6091263	C	1.011238333
192	Cooper & Secrest	1				-3.637771	0.609128	C	-0.08516129
193	Gravis Marketing	20		Sometimes		0.5584748	0.6110209	C	-1.40046
194	Winston Group	1				-3.578213	0.6110492	C	0.204406129
195	Wood Communications Group	1				-3.432017	0.6157652	C	0.027020387
196	BIGresearch	1				-3.421482	0.616105	C	
197	Manhattanville College	3				-0.9746506	0.6168721	C	-0.51375
198	Vox Populi Communications	1				-3.395749	0.6169351	C	
199	Middle Tennessee State University	3				-0.9026227	0.6234202	C	-0.25410625
200	Central Surveys, Inc.	1				-3.09515	0.6266319	C	0.053870968
201	Dan Jones & Associates	28				0.1353032	0.6305039	C	0.975167143
202	University of North Carolina	1				-2.790593	0.6364563	C	0.051612903
203	Purple Strategies	4				-0.4941362	0.6377703	C	-0.354830588
204	OnMessage Inc.	6		yes		2.353444	0.6397077	C	-1.097991667
205	Aspen Media & Market Research	1				-2.604734	0.6424517	C	-0.11215
206	Multi Quest International Inc	1				-2.537294	0.6446272	C	0.060322581
207	StPetePolls.org	1				-2.488069	0.6462151	C	0.060645161
208	Rivercity Polling	1				-2.312878	0.6518664	C	-0.216129032
209	Arizona State University	8		yes		2.000037	0.6529067	C	0.914166667
210	Texas Credit Union League	2				-0.9787912	0.6544735	C	
211	Red Sea Communications	1				-2.197546	0.6555868	C	-0.140967742
212	New Mexico State University	1				-2.190141	0.6558257	C	
213	Zogby Analytics, telephone	376				0.2712898	0.6576988	C	-0.528834039
214	Diversified Research Inc	1				-2.022158	0.6612445	C	-0.160967742
215	Gordon S. Black Corp.	2				-0.8323388	0.6636268	C	-0.3959375
216	Rhode Island College	5				-0.162224	0.6637033	C	-0.18
217	West Chester University	7				-0.0338683	0.6638826	C	0.185675757
218	Hays Research Group	7		yes		2.270381	0.6688023	C	1.083581818
219	Jim Meader (KELOLAND-TV)	4				-0.2232588	0.6696382	C	0.538823529
220	Susquehanna Polling & Research, Inc.	27		Sometimes		0.639451	0.6708711	C	0.207695654
221	Wiese Research Associates, Inc.	7		yes		2.283034	0.671196	C	1.297005405
222	CVOTER International	3				-0.3452259	0.6740926	C	-0.259690909
223	McLaughlin & Associates	19		yes		1.270281	0.6755374	C	-0.455577347
224	Neighborhood Research Corporation	1				-1.517648	0.677519	C	-0.110645161
225	Iona College	1				-1.457228	0.679468	C	0.141935484
226	Forman Center	1				-1.442481	0.6799437	C	0.083870968
227	Analytical Group	1				-1.352312	0.6828524	C	0.129032258
228	War Room Logistics	1				-1.178285	0.6884662	C	
229	Ohio State University	1				-1.096151	0.6911156	C	-0.118387097
230	Rice University	2				-0.3638036	0.6929103	C	0.3678125
231	Wick Communications	1				-0.8161529	0.7001478	C	0.091452258
232	Market Trends Pacific	1				-0.5925534	0.7073607	C	0.148387097
233	Benenson Strategy Group	8				0.2208539	0.7091464	C	0.544225263
234	Schoen Consulting	1				-0.5354173	0.7092038	C	-0.073225806
235	Rasmussen Reports/Pulse Opinion Research	623				0.3280691	0.7094453	C	-2.29054814
236	Yankelovich Partners, Inc.	6				0.2259009	0.7160039	C	-0.109023636
237	NRECA Market Research	1				-0.033737	0.725387	C	0.202258065
238	ASA Marketing Group	1				0.0525187	0.7281695	C	0.178630323
239	Strategic Services	1				0.0562457	0.7282897	C	0.176999355
240	University of Miami (Florida Voter)	1				0.2732588	0.7352901	C	0.222580645
241	Cromer Group	1				0.2769774	0.7354101	C	-0.125806452
242	McCulloch Research & Polling	3				0.3816747	0.7401745	C	-0.262398182
243	Harvard University	1				0.441648	0.740722	C	0.222580645
244	University of Iowa	3		yes		5.115067	0.7427511	C	-0.213230645
245	Constituent Dynamics	7				0.390393	0.7441483	C	-0.041935484
246	University of South Florida	1				0.7570682	0.7508969	C-	-0.124245806
247	Rossman Group	1				0.7846989	0.7517881	C-	0.135849677
248	Zimmerman & Associates/Marketing Intelligence	3				0.513383	0.752148	C-	0.293788182
249	Wilson Research Strategies	10				0.4156874	0.7524402	C-	-0.126051
250	University of New Orleans	5				0.4710438	0.7541701	C-	-0.209705882
251	Roanoke College	9		yes		2.313681	0.759035	C-	-0.016249053
252	Hoffman Research Group	1				1.014834	0.7592119	C-	-0.228692258
253	Victoria Research & Consulting	1				1.216893	0.7657299	C-	0.259621613
254	Star Tribune	13		yes		1.867239	0.768196	C-	1.476342195
255	Becker Institute	3				0.7154502	0.7705178	C-	0.691515455
256	West Virginia Research Center	2				0.9305618	0.7738081	C-	0.403125
257	Polling Company	1				1.538768	0.776113	C-	-0.195133871
258	Illinois Wesleyan University	3				0.7887752	0.7771837	C-	-0.742424545
259	Kimball Political Consulting	4		yes		4.346928	0.777985	C-	-0.952831765
260	American Research Group	223		yes		0.6936859	0.7787762	C-	-0.102548471
261	Ed Renwick	5				0.649645	0.7796845	C-	0.08125
262	Midwest Survey and Research	3				0.8450071	0.7822956	C-	-0.095151818
263	Decision Forecasting	3				0.9208514	0.7891906	C-	-0.128788182
264	Opinion Consultants	2				1.22298	0.7920842	C-	-0.404375
265	We Ask America	42				0.4562746	0.7953371	C-	-1.513937368
266	Public Strategies, Inc.	6				0.7052584	0.7958968	C-	
267	Independent Market Research	2				1.292107	0.7964047	C-	0.333125
268	Franklin Pierce University	19				0.5103051	0.7970721	C-	1.279762857
269	Maine People’s Resource Center	3				1.047915	0.8007419	C-	-0.43660125
270	CrossTarget	2				1.495115	0.8090926	C-	-0.48125
271	ccAdvertising	29		yes		1.312524	0.8101137	C-	-2.575295172
272	TeleResearch Corporation	1				2.608664	0.8106257	C-	
273	Ron Lester and Associates	1				2.668408	0.8125529	C-	
274	Marketing Resource Group (MRG)	4		yes		4.707345	0.820387	C-	-0.271211818
275	Southern Opinion Research	1				2.963215	0.8220628	C-	0.303225806
276	Lycoming College	3				1.294819	0.8231876	C-	0.662143636
277	Great Lakes Strategies Group	1				3.093036	0.8262506	C-	-0.24516129
278	TMR Research	2				1.882308	0.8332922	C-	0.4903125
279	A&A Research	1				3.650743	0.8442411	C-	-0.325806452
280	California State University, Bakersfield	1				3.689963	0.8455063	C-	-0.317741935
281	Marketing Research Institute	1				3.755304	0.847614	C-	-0.238709677
282	OpinionWorks	6				1.074964	0.8575144	C-	-0.508241667
283	Gonzales Research & Marketing Strategies, Inc.	8				0.9321102	0.8588846	C-	-0.614844054
284	New Frontier Strategy	1				4.253427	0.8636825	C-	
285	Opinion Research Associates	10				0.8869806	0.8702635	C-	0.9605
286	Anzalone Liszt Grove Research	11		yes		2.462146	0.8739838	C-	1.360887805
287	Zata3	2				2.55629	0.8754161	C-	-0.246875
288	SMS Research & Marketing Services, Inc.	1				4.865973	0.883442	C-	-0.314516129
289	Glover Park Group	1				4.910876	0.8848905	C-	-0.366545161
290	Basswood Research	1				5.034547	0.8888799	C-	-0.420909677
291	Cherry Communications	1				5.266136	0.8963505	C-	
292	University of Illinois at Chicago	1				5.509	0.9041848	C-	-0.454516129
293	Arthur J. Finkelstein & Associates	1				5.680003	0.909701	C-	-0.440967742
294	MarketAide Services, Inc.	1				5.933177	0.917868	C-	0.361290323
295	Merriman River Group	17		yes		2.029601	0.9228412	C-	-1.77379
296	Tulsa Surveys	1				6.099852	0.9232445	C-	-0.383870968
297	Dixie Strategies	1				6.193504	0.9262655	C-	
298	Bannon Communications	2				3.598557	0.9405578	C-	0.64820625
299	GCR & Associates	1				6.703821	0.9427274	C-	
300	Anderson Group	1				6.785184	0.945352	C-	-0.351612903
301	PSI	3				2.877558	0.9670731	C-	-0.107096774
302	Big Ten	10				1.301232	0.9738263	C-	1.12341
303	Critical Insights	17		yes		2.203317	0.9856746	C-	0.298178667
304	Abacus Associates	2				4.697484	1.009241	C-	-0.02890525
305	Hamilton Campaigns	7				1.801346	1.011085	C-	1.207411081
306	Southeastern Louisiana University	8				1.695619	1.019623	C-	0.043242857
307	Consumer Logic	4				2.875539	1.034203	C-	0.638529412
308	Schapiro Group	2				5.097269	1.034227	C-	
309	Minnesota State University Moorhead	4				3.080935	1.058367	D+	0.536363636
310	Greg Smith and Associates	5				2.677283	1.069347	D+	1.218381429
311	Jeffrey Stonecash	1				10.71166	1.072012	D+	-0.558951613
312	Rainmaker Media Group	1				11.08654	1.084105	D+	0.410341935
313	Datamar	8				2.008827	1.085562	D+	-0.410398571
314	Harris Interactive, online	126	yes			1.201007	1.128461	D+	-1.724810769
315	Neighbor	1				12.71842	1.136747	D+	-0.551290323
316	University of Alabama	2				7.084352	1.15842	D+	-0.7515625
317	Brown University	8				2.441768	1.176707	D+	-0.518857143
318	Ohio University	2				7.382927	1.177081	D+	0.54954375
319	JMC Enterprises of Louisiana	1				14.72176	1.20137	D+	-0.738709677
320	20/20 Insight	5				3.642903	1.207293	D+	0.012506
321	Loyola University (New Orleans)	2				8.25833	1.231794	D+	0.7576125
322	Baydoun Consulting	6				3.449093	1.253203	D	-1.029530588
323	WCIA-TV	2				8.795616	1.265374	D	-1.1434375
324	Marketing Workshop	7				3.147917	1.265842	D	0.297027027
325	Momentum Analysis	3				6.767613	1.320715	D	0.521979091
326	Data West Polling	3				6.845376	1.327784	D	1.324245455
327	InsiderAdvantage	89				1.167844	1.343688	D	0.282310455
328	Wenzel Strategies	8		Sometimes		4.629449	1.42187	D	-1.73328
329	Nielson Brothers Polling	6				4.614092	1.447369	D	1.418625
330	Riggs Research Services	1				24.83868	1.527722	D	1.087096774
331	Valley Research	6				5.139575	1.53495	D	0.400483333
332	Dane & Associates	2				13.15154	1.537619	D	-1.32525625
333	Millersville University	5				6.069618	1.553966	D-	-1.494571429
334	Massie & Associates	2				15.05752	1.656743	D-	-1.49375
335	Humphrey Institute	10	yes			6.714734	1.897668	D-	0.798111579
336	Zogby Interactive/JZ Analytics	86				2.738137	2.502591	F	-1.44392087
337	TCJ Research	133			yes	3.000317	2.894006	F	-4.509717742
