Rank,Pollster,Pollster Rating ID,Polls Analyzed,AAPOR/Roper,Banned by 538,Predictive Plus-Minus,538 Grade,Mean-Reverted Bias,Races Called Correctly,Misses Outside MOE,Simple Average Error,Simple Expected Error,Simple Plus-Minus,Advanced Plus-Minus,Mean-Reverted Advanced Plus-Minus,# of Polls for Bias Analysis,Bias,House Effect,Average Distance from Polling Average (ADPA),Herding Penalty
12,Monmouth University,215,122,yes,no,-0.633123772,A,2.075737503,0.782786885,0.270491803,5.900216665,6.25816772,-0.354837934,-0.946267361,-0.772653895,85,2.792068324,-0.038892698,4.89207845,0.273533349
13,Landmark Communications,166,41,no,no,-0.615347146,A,0.878185788,0.707317073,0.195121951,4.273322454,5.286579895,-1.01014432,-1.27237807,-0.784971856,37,1.475890959,-1.704174232,3.884103113,0.206191971
14,MassINC Polling Group,198,20,yes,no,-0.597310588,A/B,-0.719693421,0.85,0.2,4.632198143,6.210585273,-1.57527401,-1.138839532,-0.490373046,14,-2.198472704,-1.995397342,5.348262563,0.179097253
15,The Washington Post/George Mason University Schar School of Policy and Government,754,8,yes,no,-0.591891171,A/B,0.224650061,0.875,0,2.197262764,5.172079178,-2.971703294,-2.817923827,-0.72932293,8,0.867992401,1.381904333,4.146013051,0.204823887
16,University of North Florida Public Opinion Research Lab,360,13,yes,no,-0.586225886,A/B,1.480385871,0.538461538,0.230769231,4.639772855,6.174314839,-1.531428863,-1.345944593,-0.490870095,10,4.757822037,0.027225495,4.314291228,0.127735064
17,TIPP Insights,144,29,no,no,-0.579493232,A-,-0.789150235,0.793103448,0.034482759,2.154033003,4.041079748,-1.883933625,-1.498086523,-0.713008583,29,-1.658066059,-1.910614614,3.68606335,0.103208812
18,Alaska Survey Research,155,14,no,no,-0.548533996,A/B,1.571559147,0.642857143,0.285714286,5.556632859,5.518037117,0.041708863,-1.941949852,-0.744583485,11,5.687710675,3.049791588,11.2264542,0
19,Emerson College,88,256,yes,no,-0.52566113,A-,0.348776057,0.775390625,0.19921875,4.964398243,5.586984626,-0.619473263,-0.740961782,-0.681796546,212,0.384300394,-1.514671983,4.470141064,0.209328577
20,University of Massachusetts Lowell Center for Public Opinion,355,30,yes,no,-0.508288334,A-,0.740324696,0.816666667,0.266666667,5.590979513,6.148966625,-0.554873992,-0.64147022,-0.366398092,21,1.529069446,0.229195168,4.389132969,0.094558221
21,Public Policy Institute of California,262,18,yes,no,-0.503459758,A/B,-1.106188937,1,0.222222222,4.813001527,6.245301725,-1.429187078,-0.882502254,-0.344856359,12,-3.868585269,-1.467762864,,0
22,Stockton University,317,12,yes,no,-0.431896251,A/B,0.93276223,0.916666667,0.166666667,4.393776894,5.322027413,-0.925137399,-1.130330828,-0.356757513,12,2.955312411,0.904523804,5.65781551,0.11225694
23,Field Research Corp. (Field Poll),94,25,no,no,-0.431256478,A/B,-0.613699135,1,0.2,4.10407341,5.974284597,-1.867098066,-2.479212176,-0.842703318,18,-2.455182076,0.749283479,4.839532292,0
24,CBS News/The New York Times,36,66,yes,no,-0.428628547,A-,0.288242707,0.757575758,0.227272727,4.464887272,5.49280419,-1.024803798,-0.610797963,-0.347815483,53,0.532789914,1.569157877,4.093210768,0.203501034
25,Data Orbital,73,16,yes,no,-0.418860651,A/B,0.226571895,0.84375,0,2.580555677,4.90521748,-2.321548682,-1.29439641,-0.53773105,16,0.545391321,-0.952144797,3.274992928,0.705859863
26,Strategic Vision LLC,320,133,no,yes,-0.390758738,F,-1.494044452,0.887218045,0.187969925,3.924638605,5.185688126,-1.257936401,-0.744335633,-0.521778025,110,-2.320461273,-2.17332917,4.280228256,0.139672213
27,Suffolk University,323,96,yes,no,-0.388964055,A-,0.809718829,0.807291667,0.229166667,4.90359813,6.168895718,-1.262184468,-0.477502632,-0.36639995,60,1.171266047,1.584304806,4.926109675,0.109120859
28,Los Angeles Times,172,37,yes,no,-0.384171087,A/B,-0.152045835,0.824324324,0.27027027,5.033045176,6.427603872,-1.391445576,-0.805362832,-0.293267385,23,-0.603867324,0.86039051,5.010592002,0.139174925
29,Mason-Dixon Polling & Strategy,197,446,no,no,-0.381610486,A-,-0.512788892,0.859865471,0.233183857,5.136435791,5.486498612,-0.346949701,-0.52861295,-0.476636181,389,-0.576290248,-1.121649645,5.135484064,0.093312846
30,Christopher Newport University Wason Center for Civic Leadership,50,14,yes,no,-0.374020697,A/B,1.008717681,0.928571429,0.285714286,5.230290004,5.310808561,-0.077405436,-0.723919711,-0.264970004,13,2.952391404,1.940670199,4.211373324,0.092161429
31,Public Policy Polling,263,462,no,no,-0.370431029,A-,0.935494679,0.796536797,0.32034632,5.191338081,5.553981163,-0.359529961,-0.404383202,-0.377729618,333,1.024968144,1.053586517,4.574165275,0
32,Quinnipiac University,267,222,yes,no,-0.365289733,A-,0.556842658,0.81981982,0.265765766,4.763934462,5.617542682,-0.850495099,-0.351985371,-0.307324667,168,0.658979915,0.516270859,4.912707949,0
33,Grove Insight,129,29,no,no,-0.35823339,A/B,0.507202948,0.896551724,0.068965517,2.956303301,5.093054654,-2.133638233,-1.825038426,-0.77200746,29,1.199036171,3.267557085,3.90121625,0.627641851
34,Greenberg Quinlan Rosner/American Viewpoint,127,8,yes,no,-0.350762395,A/B,-0.588996703,1,0.5,4.377587318,5.438123083,-1.057422644,-1.595740428,-0.315541327,6,-4.268810908,1.514303445,5.405572548,0
35,RKM Research and Communications Inc.,272,35,no,no,-0.324764229,A/B,-0.117689228,0.871428571,0.228571429,5.165057918,6.457667618,-1.28949658,-0.993345155,-0.454695684,21,-0.491968064,-1.529564273,4.460066977,0.051491381
36,National Research,225,15,no,no,-0.319513757,A/B,-0.384161102,0.766666667,0.133333333,4.359404119,6.081484218,-1.718966979,-1.618040778,-0.589662046,12,-1.212396463,-2.92908941,4.708379749,0.140442468
37,Muhlenberg College,219,34,yes,no,-0.315563106,A-,-0.225492573,0.852941176,0.088235294,3.719736211,5.360375304,-1.637525973,-1.2312636,-0.656807328,33,-0.430600484,0.333829713,3.742284603,1.039265133
38,Dittman Research,79,10,no,no,-0.308300104,A/B,0.904713154,1,0.2,3.695511627,5.337502438,-1.638877691,-3.00019828,-0.9047542,9,3.078553518,-1.25639878,6.625325522,0
39,Public Opinion Strategies,260,80,yes,no,-0.293690898,B+,-1.345623493,0.66875,0.225,5.465496683,5.655915216,-0.187305412,-0.423152381,-0.287511748,78,-2.015996835,-4.142819186,4.864462292,0.20643165
40,Elway Research,87,21,no,no,-0.267391177,A/B,0.697008245,0.904761905,0.047619048,3.862002872,5.738343201,-1.873227208,-1.844340084,-0.634660437,20,2.052272511,3.485729749,4.208246968,0.359720964
41,RRH Elections,274,15,no,no,-0.260853524,A/B,-0.28383211,0.833333333,0.2,4.513661321,5.49169819,-0.974923749,-1.597619444,-0.637790463,14,-0.722428049,-3.953673429,3.888251872,0.500848175
42,University of Connecticut,347,11,yes,no,-0.260688972,A/B,-0.142639408,0.954545455,0.090909091,3.635950609,5.626262368,-1.987198639,-1.774776892,-0.258692215,11,-0.978588104,-0.651515152,8,0
43,The Winston Group,385,11,yes,no,-0.247264951,A/B,1.148675279,0.454545455,0.363636364,4.267851049,5.22303189,-0.952067721,-0.56100972,-0.158196061,11,4.073540081,0.666864664,4.837495154,0
44,YouGov,391,482,no,no,-0.227409613,B+,0.81197784,0.871369295,0.334024896,5.075306604,5.164988838,-0.086569114,-0.294819507,-0.277653211,421,0.87197929,0.394259094,4.151934366,0.046503767
45,Opinion Dynamics,104,34,yes,no,-0.225263921,A/B,-0.275276307,0.720588235,0.117647059,3.864978622,5.06058623,-1.192494488,-0.338891715,-0.123925164,28,-0.92155511,-1.669842082,4.154686118,0.112737023
46,Susquehanna Polling & Research Inc.,326,50,no,no,-0.217849982,B+,0.381766811,0.7,0.24,5.218827744,5.455049407,-0.233108543,-0.39634537,-0.25682878,45,0.599751706,-1.154710381,5.187886247,0
47,Elon University,86,8,yes,no,-0.200235778,A/B,0.408624488,0.5625,0.125,3.158215046,4.708052763,-1.546724597,-1.415809794,-0.277486594,8,2.084909916,0.781310906,3.566882986,0.568159448
48,"Fabrizio, Lee & Associates",90,11,no,no,-0.190830704,A/B,-0.331220579,0.681818182,0.090909091,3.720840454,5.592620853,-1.868667279,-1.966813305,-0.699065573,11,-0.931885459,-1.474125562,1.394332488,0.783298601
49,Angus Reid Global,13,31,no,no,-0.190604502,A/B,-1.074242116,0.935483871,0.064516129,3.18892079,4.878175576,-1.686141666,-1.384354973,-0.640596615,31,-2.32148029,0.770776991,3.008791538,0.755633821
50,Florida Atlantic University,97,9,no,no,-0.187643107,A/B,0.578218805,0.666666667,0,3.636523777,6.676513631,-3.036876734,-2.235428421,-0.612192721,5,3.434139252,0.513749882,3.9126435,0.351590213
51,Tarrance Group,333,31,no,no,-0.182223703,B+,-0.858273877,0.838709677,0.225806452,5.727803076,6.220796732,-0.489880535,-0.573553005,-0.270930387,27,-2.074484507,-5.378674343,6.207412725,0
52,Fairleigh Dickinson University,92,21,yes,no,-0.181642284,A/B,-0.121431287,0.952380952,0.095238095,4.504583086,5.307598108,-0.799901901,-0.540915109,-0.183426003,20,-0.367393494,2.405770902,4.217074227,0.375584394
53,Pharos Research Group,254,33,no,yes,-0.179682777,F,0.734841492,0.939393939,0.151515152,3.739353238,4.972958318,-1.23049196,-0.813361289,-0.38239594,33,1.563017701,0.86228669,4.131361498,0.236771352
54,Echelon Insights,407,10,no,no,-0.162527657,A/B,-0.236140387,0.7,0,2.217562103,5.391588657,-3.170913433,-1.874634406,-0.65605046,10,-0.674760437,-0.716627916,3.201517201,0.734642274
55,National Journal,224,12,yes,no,-0.146885507,A/B,-0.124120255,1,0,2.59871006,5.166352173,-2.564528993,-1.475228045,-0.286833925,12,-0.638368289,0.332696232,3.469211118,0.890053169
56,Temple University Institute for Survey Research,336,6,yes,no,-0.131823094,A/B,-0.189531374,1,0.166666667,3.663614273,5.64994626,-1.983218867,-1.818156358,-0.175115231,5,-2.459720612,0.711966886,3.404894871,0.142076431
57,Hart Research Associates/Public Opinion Strategies,221,33,yes,no,-0.131553023,B+,0.830266473,0.712121212,0.090909091,3.660878673,4.965855275,-1.301863481,-0.264725144,-0.135810195,30,1.629820251,0.618906957,3.138145818,0.44194515
58,Gallup,112,84,yes,no,-0.131207366,B+,-0.603823316,0.69047619,0.30952381,4.38148083,5.123386148,-0.738792197,0.092190568,0.054678754,69,-1.091983546,-1.688782956,4.183802039,0
59,Abt Associates,7,13,yes,no,-0.130492568,A/B,0.750508929,0.884615385,0.153846154,3.786935366,5.315570477,-1.525521991,-0.689670782,-0.181547379,12,2.954144478,-0.055023685,3.700609373,0.486788383
60,Landmark Communications/Rosetta Stone Communications,751,11,no,no,-0.122408825,A/B,1.172460294,1,0,3.961931749,5.741008618,-1.775963749,-1.665501451,-0.452958098,8,4.969686508,0.509000047,5.181368081,0
61,Michigan State University Institute for Public Policy and Social Research,463,2,yes,no,-0.111356429,A/B,-0.041159946,1,0,1.030765533,7.303185388,-6.269306734,-4.012329808,-0.307900632,2,-0.536365509,-1.52342687,,0
62,GQR,126,60,yes,no,-0.105028893,B+,2.142156069,0.575,0.116666667,4.416025352,5.270360178,-0.851221705,-0.046643819,-0.028217487,58,3.576526839,3.11406031,3.887994492,0.171352355
63,Garin-Hart-Yang Research Group,113,33,no,no,-0.103705015,B+,1.861499933,0.833333333,0.272727273,5.391698779,5.595186876,-0.200374976,-0.332816496,-0.175144378,33,3.537298145,4.275848288,5.201473715,0.036065785
64,Vox Populi Polling,372,19,no,no,-0.093600388,A/B,0.361668107,0.763157895,0.157894737,3.957793186,5.141592495,-1.180686189,-0.802680515,-0.324825655,19,0.893722333,-1.283359384,4.839854956,0.150308124
65,Lake Research Partners,165,12,no,no,-0.092570675,A/B,0.724988933,0.833333333,0.25,4.057325045,5.417327562,-1.356889396,-1.432488905,-0.40778742,12,2.546764692,2.349007056,5.964810918,0
66,KRC Research,160,22,yes,no,-0.077063047,A/B,0.073987974,0.909090909,0.409090909,6.835319779,6.800889682,0.037543218,-0.160485351,-0.033762837,11,0.717149214,2.465442885,6.406648549,0
67,St. Pete Polls,314,27,no,no,-0.076865839,B+,0.033821523,0.574074074,0.333333333,4.983108944,5.205134289,-0.218912224,-0.249167711,-0.129879022,26,0.066690005,-1.277124746,3.567619439,0
68,Princeton Survey Research Associates International,258,35,yes,no,-0.076532548,A/B,0.422458359,0.657142857,0.342857143,5.002665329,5.203650461,-0.197872012,0.219318919,0.087601025,33,1.108993761,0.057588061,4.835310496,0
69,Western New England University Polling Institute,380,11,yes,no,-0.070035733,A/B,-0.353100224,1,0.090909091,4.19318806,5.739149996,-1.542848815,-1.442517535,-0.372129078,10,-1.409669113,2.019394173,2.632072939,1.456800997
70,KAConsulting,757,11,no,no,-0.066373019,A/B,-1.462537578,0.909090909,0.090909091,3.908995195,5.53658905,-1.624480735,-1.356417425,-0.512596798,11,-3.870120655,-0.7114906,3.793695715,0.644390265
71,Fleming & Associates,96,18,no,no,-0.054173362,A/B,-0.538447261,1,0.111111111,5.158805423,5.763426237,-0.601507693,-1.628197512,-0.510883817,16,-1.844280481,-0.231934732,4.121158932,0.562868849
72,University of Cincinnati (Ohio Poll),346,39,no,no,-0.04386808,A/B,-1.195273489,0.935897436,0.230769231,4.199093061,5.689016276,-1.486810095,-0.853513314,-0.368557195,30,-3.20567131,-2.558033186,3.438590124,0.433142804
73,EPIC-MRA,84,56,no,no,-0.043523259,B+,0.115695653,0.803571429,0.232142857,5.876564162,5.69951028,0.180167002,-0.572562164,-0.359595583,48,0.197616021,0.568154744,4.059155145,0.437682414
74,co/efficient,514,20,no,no,-0.041071001,B+,-2.331370725,0.675,0.4,5.089354515,5.071605498,0.020862137,-0.445367695,-0.230336398,20,-4.507829475,-2.376171049,3.641947827,0.262579737
75,Lake Research Partners/The Tarrance Group,114,33,yes,no,-0.04028072,A/B,-0.650651931,0.575757576,0.121212121,3.390614365,4.639502543,-1.245775057,-0.13092401,-0.051248445,33,-1.662215493,-1.617113813,3.234054034,0.434288739
76,University of Arkansas Department of Political Science,345,10,yes,no,-0.028654799,A/B,1.000183742,1,0.2,6.652249336,5.263416352,1.391946105,0.236406141,0.07033054,9,3.758099662,-5.787499841,7.887166575,0
77,New England College Polling Center,228,19,no,no,-0.024541685,A/B,-1.130392956,0.736842105,0.157894737,4.190629859,5.081218418,-0.887475439,-0.688224355,-0.248157845,19,-3.134956159,-3.275668948,5.506584217,0
78,SEA Polling & Strategic Design,302,14,no,no,-0.023039907,A/B,0.505067877,0.857142857,0,2.955637523,6.026102839,-3.067352196,-1.613420928,-0.438737171,10,2.16911087,0.035881924,3.957588099,0.312968576
79,GfK Group,115,21,yes,no,-0.019207015,A/B,0.205859294,0.880952381,0.19047619,3.902615865,4.880897333,-0.975168348,0.071150443,0.023687489,21,0.618342445,1.284653955,4.578565179,0.23648908
80,Public Religion Research Institute,428,1,yes,no,-0.014133251,A/B,0.01009759,1,0,0.253070831,5.737947677,-5.481763726,-3.450841397,-0.137689443,1,0.253070831,1.674285671,2,1.229466967
81,Public Opinion Strategies/Hamilton Campaigns (Texas Credit Union League),261,2,yes,no,-0.010890251,A/B,,1,0.5,6.940340042,10.95598197,-4.012528808,-2.398728108,-0.092762326,0,,,,0
82,North Star Opinion Research,233,11,no,no,0.004880868,B/C,-0.634673477,0.818181818,0.181818182,4.620140596,6.153998668,-1.530744951,-2.261210244,-0.482352136,9,-3.087749057,-3.718522034,2.178116887,0.402729133
83,Clemson University,54,8,no,no,0.010205791,B/C,0.026600812,1,0.5,10.05392385,7.812505402,2.244531564,-4.338513205,-0.87742716,2,1.245353699,2.166666667,15.60963451,0
84,Clarity Campaign Labs,52,13,no,no,0.013021603,B/C,1.119642373,0.5,0.153846154,3.472920344,4.643930945,-1.16789748,-1.043195216,-0.337426805,13,3.461507944,1.531381095,3.258336049,0.253621523
85,Magellan Strategies,179,18,no,no,0.017012003,B/C,-0.428668718,0.944444444,0.333333333,6.284626325,6.068867045,0.2188724,-0.499797218,-0.187943826,11,-1.760411696,-4.227932803,5.315095176,0
86,Indiana University Public Opinion Laboratory,149,2,yes,no,0.018770825,B/C,0.023835574,1,0,0.868873596,5.742412205,-4.870425489,-4.448640935,-0.122038362,2,0.868873596,4.125,,0
87,Harris Insights & Analytics,133,182,no,no,0.021322523,B,-0.996820371,0.832417582,0.478021978,5.045693502,4.1589318,0.889874822,0.004678664,0.003944407,182,-1.182379953,0.533142785,3.982448508,0
88,Wirthlin Worldwide,387,4,yes,no,0.022287378,B/C,-0.153654756,0.75,0.25,4.585247993,5.73516221,-1.146801096,-1.406459624,-0.054913887,4,-3.935420036,-5.57795358,4.892263831,0.28139351
89,Knowledge Networks,164,4,yes,no,0.028772343,B/C,0.283210501,0.75,0.5,4.7967062,4.995782517,-0.195963197,-0.484927091,-0.029499625,4,4.655531883,1.098985415,3.171631723,0.098378025
90,Øptimus Analytics,245,17,yes,no,0.030043773,B/C,-0.523792215,0.823529412,0.588235294,6.796903386,5.348930404,1.451086102,0.48492135,0.192152851,14,-1.52101217,-3.322843277,6.394525671,0
91,Blum & Weprin Associates,32,19,no,no,0.036868609,B/C,-0.616272208,0.947368421,0.210526316,4.740099656,5.234177756,-0.490964979,-2.175388678,-0.421866311,17,-3.425433664,0.567140844,4.544692119,0.050742957
92,Belden Russonello,28,3,yes,no,0.040397278,B/C,0.047405203,1,0.333333333,3.991563161,5.446748826,-1.452072544,-0.53644314,-0.023168179,3,1.097634633,2.010256352,,0
93,Louis Harris & Associates,173,2,yes,no,0.040769295,B/C,0.016411897,1,0,0.859378815,4.833630059,-3.971138124,-4.501400503,-0.085965026,2,0.859378815,5.375,5.497869162,0
94,Harper Polling,132,14,no,no,0.047628211,B/C,0.435177578,0.785714286,0.142857143,3.739430836,5.643399681,-1.900855725,-0.990751025,-0.341199921,11,1.47490276,-0.739746257,4.419007504,0.422992623
95,Pew Research Center,253,25,yes,no,0.058977195,B/C,0.697811326,0.5,0.36,4.413174591,4.488004265,-0.071716554,0.542928766,0.181590453,25,2.086353302,0.975371788,3.945637335,0
96,Rasmussen Reports,277,772,no,no,0.059204014,B,-1.419537324,0.776554404,0.287564767,5.1350936,5.48449607,-0.34628935,0.004660355,0.004438021,629,-1.504104851,-1.271021364,4.609369927,0.051962195
97,Civiqs,471,42,no,no,0.05937364,B,2.980166725,0.80952381,0.333333333,5.072216761,5.072989348,0.002340533,0.035561541,0.024296668,39,4.454566613,1.721856181,4.658817226,0
98,University of Florida Bob Graham Center for Public Service,349,1,yes,no,0.062120254,B/C,0.032495838,0.5,0,1.077785492,4.812025129,-3.731126516,-1.496635466,-0.045124399,1,1.077785492,-0.147058824,1.414285387,1.172301972
99,Gordon S. Black Corp.,123,2,yes,no,0.067351113,B/C,-0.12140419,1,0.5,6.357107162,5.108231693,1.25198859,-0.608092009,-0.011612974,2,-6.357107162,-1.26984127,6,0
100,Harstad Strategic Research,134,11,no,no,0.073136665,B/C,0.551160678,0.772727273,0.090909091,3.716238542,5.632912428,-1.913560766,-1.6540235,-0.340295726,11,2.678942594,3.61400977,5.242027052,0.014403705
101,Trafalgar Group,338,113,no,no,0.076445307,B,-2.434390731,0.646017699,0.336283186,4.724497955,4.809934795,-0.082323719,0.07008188,0.059111388,99,-2.923489465,-4.142274375,5.100055663,0
102,Ohio State University,236,1,yes,no,0.081455814,B/C,-0.040929536,1,0,3.677436829,4.880853917,-1.200303968,-0.233690531,-0.002600954,1,-3.677436829,-5.8,,0
103,Wick,284,16,no,no,0.093392651,B/C,-1.296055746,0.625,0.25,4.167680383,4.482741391,-0.311947888,-0.036167109,-0.016450849,16,-2.849372029,-1.994816816,4.733974095,0
104,East Carolina University Center for Survey Research,523,14,yes,no,0.09494901,B/C,1.25091384,0.678571429,0.428571429,7.292428153,5.444245129,1.851296145,0.255299492,0.104936752,11,3.491051414,0.060663862,3.265521528,0.393075396
105,Data for Progress,522,106,no,no,0.104290095,B,1.4950254,0.778301887,0.396226415,5.936195841,5.402340722,0.53696824,-0.018379003,-0.015489569,75,1.874618174,-0.23419103,3.851533884,0.121467268
106,Polling Company/Global Strategy Group,255,4,yes,no,0.115338936,B/C,-0.184972027,0.25,0.25,4.293570518,3.797330745,0.499352894,0.99798697,0.042994443,4,-4.293570518,-2.797727251,3.159195761,0.202186372
107,Gravis Marketing/Kaplan Strategies,124,155,no,no,0.117842861,B,1.374164176,0.706451613,0.316129032,5.194707489,5.143058177,0.054762432,0.113485687,0.096975332,126,1.660577653,-0.067982334,4.254980335,0.00556768
108,University of Georgia School of Public and International Affairs,350,6,no,no,0.118119605,B/C,0.434836746,0.5,0.166666667,2.304792404,4.96407544,-2.656169915,-1.884527676,-0.434561231,6,1.885722478,0.410932374,2.073838435,0.74679709
109,GQR Research/Public Opinion Strategies,222,1,yes,no,0.123136855,B/C,0.115275262,0,1,8.973560333,5.87240019,3.104273264,3.12756753,0.040177048,1,8.973560333,3.75,,0
110,Spry Strategies,508,5,no,no,0.124860859,B/C,-0.403038074,0.8,0.8,9.554549789,6.431636437,3.126026473,-1.57906588,-0.302617281,2,-4.837838173,-9.453224503,13.78226443,0
111,RT Strategies,275,45,no,no,0.125680171,B/C,0.908948853,0.666666667,0.377777778,5.9001425,5.467334901,0.43592072,-0.007253912,-0.003185148,45,2.070055898,3.276898148,7.380235754,0
112,Harvard University,135,1,yes,no,0.12684336,B/C,0.08779216,0,0,6.834148407,5.495695235,1.341566293,0.976522297,0.012544504,1,6.834148407,1.583333333,2.5,2.439576682
113,Victory Research,437,11,no,no,0.151831222,B/C,0.285349176,0.909090909,0.363636364,6.011500792,4.929698984,1.084914928,-0.426850023,-0.13534083,10,0.999519539,-1.353572241,4.988767384,0.034857199
114,Glengariff Group,117,13,no,no,0.159387981,B/C,0.621598478,0.846153846,0.307692308,4.660158011,5.606905951,-0.94363482,-0.656530563,-0.226715392,12,1.845155398,3.227590097,4.186060215,0.4172318
115,Starboard Communications,316,4,no,no,0.163752349,B/C,0.32973905,1,0,2.161829472,5.125240576,-2.960297984,-6.654656817,-1.027207828,3,2.841935476,-5.112361537,13.87688782,0
116,GBAO,109,13,no,no,0.167461164,B/C,1.249045426,0.807692308,0.230769231,5.204016172,5.589747017,-0.382617724,-0.319979726,-0.113833514,13,3.510997772,3.119994236,3.988812037,0.145765172
117,Ward Research,375,15,no,no,0.181181686,B/C,-0.365646538,0.8,0.333333333,5.849984233,5.729946134,0.123151219,-1.08680179,-0.28768812,15,-1.381305949,4.183333333,3.857677039,0.489464142
118,Saint Anselm College Survey Center,494,9,no,no,0.181310729,B/C,-0.666829615,0.777777778,0.333333333,4.818443722,5.018641274,-0.197084432,-0.472699205,-0.150017457,9,-2.101154327,-1.000589242,4.511039488,0.175079493
119,Ciruli Associates,51,20,no,no,0.182520631,B/C,-0.591118172,0.95,0.05,3.624382973,5.251489082,-1.623992989,-0.987807321,-0.266538451,20,-2.190719032,-2.824392669,4.777100564,0.429648773
120,Strategic National,318,4,no,no,0.189349058,B/C,0.389166738,0.375,0.25,3.024090767,5.302665592,-2.275461704,-3.06026217,-0.447952401,4,2.658658028,-4.752777735,5.388762756,0.014668453
121,Mellman Group,205,28,no,no,0.215867127,B/C,1.842120301,0.839285714,0.142857143,4.835040774,5.116682867,-0.278528973,-0.132773249,-0.058537353,28,4.178260258,4.980172001,4.315199516,0.335003738
122,St. Norbert College Strategic Research Institute,313,12,no,no,0.22696424,B/C,-0.009525566,0.875,0.083333333,4.798888206,5.995098648,-1.193097321,-0.983866173,-0.21467805,11,-0.048585372,1.463745212,5.274291885,0.211778909
123,Winthrop University Center for Public Opinion & Policy Research,386,2,yes,no,0.235947358,B/C,0.003979861,1,0.5,12.00591946,7.027003308,4.982029268,2.197590459,0.17353961,1,0.133350372,-1.166666667,3.625,0.274946551
124,Middle Tennessee State University,208,5,yes,no,0.242834796,B/C,0.485332291,1,0.6,9.294626617,6.156696367,3.14104337,1.618720565,0.203235905,4,4.588799,-6.125,4.414213562,0.228426132
125,OH Predictive Insights,235,12,no,no,0.245451064,B/C,-0.506852055,0.666666667,0.083333333,4.030728817,5.633507321,-1.599665384,-0.566712477,-0.209950001,10,-1.526102448,-0.822396229,3.251501464,0.657876296
126,Strategies 360,321,9,no,no,0.245506097,B/C,1.282069291,0.666666667,0.222222222,5.8579216,5.529050351,0.331984369,-0.401620322,-0.10996752,9,4.682337867,0.228240762,3.622497582,0.0991579
127,Remington Research Group,279,53,no,no,0.24619675,B,1.182501061,0.716981132,0.396226415,5.149600263,4.358812351,0.793901032,0.305970933,0.212294741,52,1.717514185,-1.542678673,4.474898593,0
128,Franklin & Marshall College,106,25,yes,no,0.246528712,B/C,0.609528607,0.88,0.2,5.952536011,5.98664264,-0.030993509,0.724380834,0.338675501,22,1.393811486,1.737764484,4.911000624,0.247091535
129,Pan Atlantic Research,249,17,no,no,0.250084532,B/C,0.682047495,0.941176471,0.235294118,6.268915289,6.026494459,0.24553395,-0.229295597,-0.065251114,15,2.649872716,1.376905109,7.300001144,0
