pollster,pollster_rating_id,aapor_roper,inactive,numeric_grade,rank,POLLSCORE,wtd_avg_transparency,number_polls_pollster_total,percent_partisan_work,error_ppm,bias_ppm,number_polls_pollster_time_weighted
University of New Hampshire Survey Center,357,TRUE,FALSE,2.6,28,-0.3,9.8,149,0,0.2,-0.7,58.3
Stockton University William J. Hughes Center for Public Policy,317,TRUE,FALSE,2.6,29,-0.5,7.3,18,0,-0.2,-0.7,11.7
Remington Research Group,279,FALSE,FALSE,2.6,30,-0.6,4.9,57,0,0,-1.2,43
Mason-Dixon Polling & Strategy,197,FALSE,FALSE,2.6,31,-1.1,3.9,498,0,-0.5,-1.7,70.6
Roanoke College Institute for Policy and Opinion Research,292,TRUE,FALSE,2.6,32,-0.4,8.2,21,0,0.1,-0.9,9.6
Fairleigh Dickinson University,92,TRUE,FALSE,2.6,33,-0.6,8.1,27,0,-0.3,-0.8,6.1
University of Arkansas Department of Political Science,345,TRUE,FALSE,2.5,34,-0.4,6.5,14,0,-0.1,-0.8,8.1
Lake Research Partners/The Tarrance Group,114,TRUE,FALSE,2.5,35,-0.5,6.6,48,0,-0.2,-0.8,6.8
Public Policy Institute of California,262,TRUE,FALSE,2.5,36,-0.4,10,19,0,-0.4,-0.4,5.8
Michigan State University Institute for Public Policy and Social Research,463,TRUE,FALSE,2.5,37,-0.6,10,2,0,-0.5,-0.6,1.6
Elon University,86,TRUE,FALSE,2.5,38,-0.6,9,8,0,-0.4,-0.7,2.7
Southern Illinois University Paul Simon Public Policy Institute,430,TRUE,FALSE,2.5,39,-0.5,6.6,4,0,-0.3,-0.6,1.1
Pew Research Center,253,TRUE,FALSE,2.5,40,-0.4,7.7,29,0,-0.1,-0.8,4.9
University of Illinois Springfield Survey Research Office,498,TRUE,FALSE,2.5,41,-0.4,7.2,2,0,-0.2,-0.6,0.8
Western New England University Polling Institute,380,TRUE,FALSE,2.5,42,-0.5,6.6,11,0,-0.3,-0.6,4.1
High Point University Survey Research Center,139,TRUE,FALSE,2.5,43,-0.4,7.9,6,0,-0.1,-0.7,3
Gallup,112,TRUE,FALSE,2.5,44,-0.4,6.8,104,0,-0.1,-0.7,10.6
Abt Associates,7,TRUE,FALSE,2.5,45,-0.4,7,15,0,-0.1,-0.6,3.9
The Winston Group,385,TRUE,FALSE,2.5,46,-0.5,5.7,13,1,-0.4,-0.4,5.1
KFF,419,TRUE,FALSE,2.5,47,-0.3,9.7,2,0,0,-0.5,1.3
Winthrop University Center for Public Opinion & Policy Research,386,TRUE,FALSE,2.5,48,-0.3,6.9,6,0,-0.2,-0.5,1.3
The Washington Post/University of Maryland Center for Democracy and Civic Engagement,755,TRUE,FALSE,2.5,49,-0.3,8.8,2,0,0,-0.5,0.9
University of California Berkeley Institute of Governmental Studies,457,TRUE,FALSE,2.5,50,-0.2,9.3,4,0,0,-0.5,3.8
SSRS,297,TRUE,FALSE,2.4,51,-0.2,8.9,10,0,0,-0.4,1.6
Research Co.,449,FALSE,FALSE,2.4,52,-0.5,4.2,56,0,0.1,-1,63.2
University of Southern California Dornsife Center for Economic and Social Research,343,TRUE,FALSE,2.4,53,-0.2,8.3,11,0,0.3,-0.8,8.3
Saint Anselm College Survey Center,494,FALSE,FALSE,2.4,54,-0.5,4.4,17,0,-0.4,-0.6,18.5
Civiqs,471,FALSE,FALSE,2.4,55,-0.2,8.6,56,0.4,-0.4,0,69.7
Blueprint Polling,470,FALSE,FALSE,2.4,56,-0.3,8.6,2,0,-0.5,-0.1,3
St. Pete Polls,314,FALSE,FALSE,2.4,57,-0.3,5.3,29,0,0,-0.7,19.4
University of Massachusetts Department of Political Science/YouGov,861,FALSE,FALSE,2.4,58,-0.4,4.9,19,0,-0.2,-0.5,13.2
Mitchell Research & Communications,213,TRUE,FALSE,2.4,59,-0.2,7,84,0,0.7,-1.2,39
Noble Predictive Insights,235,FALSE,FALSE,2.4,60,-0.4,4.2,14,0,-0.2,-0.6,14.8
Franklin & Marshall College Center for Opinion Research,106,TRUE,FALSE,2.4,61,-0.1,8.4,30,0,-0.1,-0.1,11.8
American Research Group,9,TRUE,FALSE,2.3,62,-0.2,6.4,304,0,0.7,-1.2,65.9
RMG Research,555,FALSE,FALSE,2.3,63,-0.4,4,38,0,-0.1,-0.8,41.3
Braun Research,33,FALSE,FALSE,2.3,64,-0.3,5.2,10,0,-0.3,-0.2,4.6
Rutgers University Eagleton Center for Public Interest Polling,295,TRUE,FALSE,2.3,65,0,8.7,21,0,0.4,-0.5,5.5
Susquehanna Polling & Research Inc.,326,FALSE,FALSE,2.3,66,-0.3,4,59,0,-0.3,-0.4,33.7
University of Houston Hobby School of Public Affairs,351,FALSE,FALSE,2.2,67,-0.3,4.2,6,0,-0.5,-0.2,4.5
University of Georgia School of Public and International Affairs,350,FALSE,FALSE,2.2,68,-0.2,5,5,0,-0.2,-0.1,5.2
Innovative Research Group,624,FALSE,FALSE,2.1,69,-0.1,9,1,0,-0.2,0.1,0.7
Pan Atlantic Research,249,FALSE,FALSE,2.1,70,-0.1,4.1,21,0,0,-0.3,10.2
Cygnal,67,FALSE,FALSE,2.1,71,-1.1,2.6,42,0.3,-1.1,-1.2,48.8
Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,370,FALSE,FALSE,2.1,72,-0.1,5.4,8,0,0,-0.2,3.7
DHM Research,76,FALSE,FALSE,2.1,73,-0.2,3.9,20,0,-0.1,-0.3,5.3
Baldwin Wallace University Community Research Institute,401,FALSE,FALSE,2.1,74,0,9.7,10,0,0.1,0,9.1
Research & Polling Inc.,280,FALSE,FALSE,2.1,75,-0.9,2.7,56,0,-0.8,-1,20.3
Landmark Communications,166,FALSE,FALSE,2.1,76,-0.6,3.1,39,0,-0.5,-0.8,26.5
Edgewater Research/My People Vote,530,FALSE,FALSE,2,77,-0.1,4.2,2,0,0,-0.2,2.2
TargetSmart,332,FALSE,FALSE,2,78,0,9.3,3,0,0.1,-0.1,1.5
Angus Reid Global,13,FALSE,FALSE,2,79,-0.1,4.2,38,0,0,-0.2,10.9
Morningside University Col. Bud Day Center for Civic Engagement,536,FALSE,FALSE,2,80,0,9.3,1,0,0.1,0,0.7
Pioneer Polling/Tarrance Group,729,FALSE,FALSE,2,81,-0.1,4.2,1,0,-0.1,-0.1,1
BSP Research/Shaw & Company Research,728,FALSE,FALSE,2,82,-0.3,3.5,5,0,-0.5,-0.1,6.5
Kaplan Strategies,124,FALSE,FALSE,2,83,-0.9,2.4,172,0.1,-0.1,-1.7,104.6
Leger,572,FALSE,FALSE,2,84,0,5.5,15,0,0,0,10.6
Praecones Analytica,257,FALSE,FALSE,2,85,0,5.3,3,0,-0.2,0.1,1.5
Florida Atlantic University Business and Economics Polling Initiative,97,FALSE,FALSE,2,86,0,5.2,12,0,0,0.1,10.4
AP-NORC,397,TRUE,FALSE,2,87,0.2,8.6,3,0,0.4,0,3
Ward Research,375,FALSE,FALSE,2,88,-0.2,3.5,16,0,-0.2,-0.2,3.1
GQR,126,TRUE,FALSE,2,89,0.1,4.9,88,1,-0.1,0.3,21
SurveyMonkey,324,FALSE,FALSE,2,90,0.2,9,354,0,0.4,0,258.5
National Research,225,FALSE,FALSE,2,91,-0.5,2.9,25,0.7,-0.6,-0.5,15.2
Riley Research Associates,290,FALSE,FALSE,2,92,-0.1,4.2,11,0,0,-0.1,1.7
University of New Orleans Survey Research Center,358,FALSE,FALSE,2,93,0,5,10,0,0.2,-0.2,3.7
GreatBlue Research,748,FALSE,FALSE,2,94,-0.1,3.7,3,0,-0.1,-0.1,2.3
InsiderAdvantage,243,FALSE,FALSE,2,95,-0.3,3.3,196,0,-0.1,-0.6,106
Magellan Strategies,179,FALSE,FALSE,1.9,96,-0.1,3.6,25,0.1,-0.1,-0.1,10.8
Dan Jones & Associates,70,FALSE,FALSE,1.9,97,-0.4,3,47,0,-0.2,-0.7,11.5
Mason Strategies,464,FALSE,FALSE,1.9,98,-0.1,4.2,1,0,-0.1,0,0.5
EPIC-MRA,84,FALSE,FALSE,1.9,99,-0.7,2.2,65,0,-0.8,-0.5,21.3
Maine People's Resource Center,180,FALSE,FALSE,1.9,100,-0.4,2.9,18,0,-0.2,-0.5,7.7
Premise,709,FALSE,FALSE,1.9,101,0.1,8.6,1,0,0.2,0,1
Fleming & Associates,96,FALSE,FALSE,1.9,102,-0.1,3.5,23,0,-0.1,-0.1,4.3
Alaska Survey Research,155,FALSE,FALSE,1.9,103,-0.1,3.6,16,0,0,-0.2,8.1
Elway Research,87,FALSE,FALSE,1.9,104,-0.2,3.2,24,0,-0.1,-0.4,6.1
Pasquines,552,FALSE,FALSE,1.9,105,0,4.9,1,0,0.1,-0.1,0.4
RRH Elections,274,FALSE,FALSE,1.9,106,-0.2,3.4,13,0,-0.1,-0.2,10.5
Morning Consult,218,FALSE,FALSE,1.9,107,-0.3,3.1,96,0,0.2,-0.9,99.2
Orion Strategies,246,FALSE,FALSE,1.8,108,0,3.5,4,0,0,0,0.6
CVOTER,40,FALSE,FALSE,1.8,109,-0.1,3.2,9,0,-0.2,0,3.5
Washington College,735,FALSE,FALSE,1.8,110,0,4.2,1,0,0,0,1
John Zogby Strategies,583,FALSE,FALSE,1.8,111,0,3.5,2,0,-0.4,0.3,2.2
Strategic Research Associates,462,FALSE,FALSE,1.8,112,-0.1,3.5,5,0,0.1,-0.2,3.7
JMC Analytics,156,FALSE,FALSE,1.8,113,-0.1,3.4,16,0,0,-0.2,10.1
OpinionWorks,244,FALSE,FALSE,1.8,114,-0.2,2.8,7,0,-0.1,-0.2,2.6
MSR Group,178,FALSE,FALSE,1.8,115,0,3.5,6,0,0.1,-0.1,0.4
Targoz Market Research,454,FALSE,FALSE,1.8,116,0.1,4.6,25,0,1.1,-0.8,28
Tufts University Public Opinion Lab,666,FALSE,FALSE,1.8,117,0,3.5,2,0,0.1,-0.1,2.3
Redfield & Wilton Strategies,562,TRUE,FALSE,1.8,118,0.4,9.3,30,0,0.7,0,32.3
SoonerPoll.com,308,TRUE,FALSE,1.8,119,0.3,8.8,33,0,0.5,0.1,14.6
TIPP Insights,144,FALSE,FALSE,1.8,120,-0.4,2.5,36,0,-1.1,0.4,11.4
HighGround Inc.,416,FALSE,FALSE,1.8,121,-0.3,2.8,8,0,-0.1,-0.4,8
University of Texas at Tyler Center for Opinion Research,458,FALSE,FALSE,1.8,122,0.1,4.8,7,0,0.3,-0.1,6.8
Victory Research,437,FALSE,FALSE,1.8,123,-0.3,2.8,15,0,-0.1,-0.4,9.6
Denno Research,582,FALSE,FALSE,1.8,124,0,3.5,1,0,0.1,0,0.2
Public Religion Research Institute,428,TRUE,FALSE,1.8,125,0.4,9.4,4,0,0.6,0.1,2.6
Global Strategy Group,118,FALSE,FALSE,1.8,126,-0.5,1.3,53,1,-0.9,-0.1,22.4
ROI Rocket,554,FALSE,FALSE,1.8,127,-0.2,2.1,3,0,-0.4,-0.1,2.9
Marketing Resource Group (MRG),193,FALSE,FALSE,1.8,128,0.1,4.4,11,0,0.1,0.1,3.3
Crantford Research,62,FALSE,FALSE,1.8,129,0,2.8,1,0,0,0,0.1
Park Street Strategies,534,FALSE,FALSE,1.8,130,0.1,3.9,1,0,0.1,0.1,0.7
El Nuevo Día/The Research Office,599,FALSE,FALSE,1.7,131,-0.1,2.1,1,0,-0.1,-0.1,0.7
Phillips Academy,699,FALSE,FALSE,1.7,132,0.2,6.3,7,0,0.7,-0.3,9.5
Starboard Communications,316,FALSE,FALSE,1.7,133,-0.4,0.2,4,0,-0.7,-0.1,3.3
Dittman Research,79,FALSE,FALSE,1.7,134,-0.3,1.7,9,0,-0.3,-0.2,3.6
SocialSphere,307,FALSE,FALSE,1.7,135,0,2.9,6,0,0.1,-0.2,2.8
Public First,628,FALSE,FALSE,1.7,136,0.1,4.9,1,0,0.2,0,0.7
Global Marketing Research Services,621,FALSE,FALSE,1.7,137,0.2,10,1,0,0.3,0.1,0.7
WPA Intelligence,383,FALSE,FALSE,1.7,138,-0.1,3,32,0.6,-0.8,0.5,14.2
"Fabrizio, Lee & Associates",90,FALSE,FALSE,1.7,139,-0.1,3.1,13,0.4,-0.3,0.1,14.6
Fabrizio Lee & Associates/Impact Research,694,FALSE,FALSE,1.7,140,-0.3,1.5,4,0,-0.3,-0.2,5
Hoffman Research Group,141,FALSE,FALSE,1.7,141,0.1,3.9,3,0,0.2,0.1,2
David Binder Research,578,FALSE,FALSE,1.7,142,-0.2,2.3,6,0.9,-0.4,0.2,5.3
Arizona State University Morrison Institute for Public Policy,15,FALSE,FALSE,1.7,143,0.1,4,8,0,0.2,0.1,1.5
J.L. Partners,619,FALSE,FALSE,1.6,144,0.2,4.2,2,0,0.3,0,2.2
Strategic National,318,FALSE,FALSE,1.6,145,-0.2,1.1,4,0.3,-0.5,0.1,2.8
Tarrance Group,333,FALSE,FALSE,1.6,146,-0.4,0.7,48,1,-0.7,0,17.9
"Meredith College Department of History, Political Science, and International Studies",423,FALSE,FALSE,1.6,147,0.3,8.6,6,0,0.4,0.2,6.1
Public Opinion Strategies,260,TRUE,FALSE,1.6,148,0.3,4.2,118,0.8,0.5,0,33.8
SEA Polling & Strategic Design,302,FALSE,FALSE,1.6,149,0,2.9,15,0.4,-0.1,0.1,3.5
PSB Research,250,FALSE,FALSE,1.6,150,0.1,3.6,33,0,0.1,0.1,6.5
Whitman Insight Strategies,584,FALSE,FALSE,1.6,151,0,2.8,2,0,0.1,0,2.2
Ball State University Bowen Center for Public Affairs,402,FALSE,FALSE,1.6,152,0.3,8.6,3,0,0.4,0.2,1.5
Cardinal Point Analytics (CardinalGPS),591,FALSE,FALSE,1.6,153,0.1,3.5,3,0,-0.3,0.6,2.9
CWS Research,697,FALSE,FALSE,1.6,154,0.2,4.2,1,1,0,0.4,1
Ogden & Fry,425,FALSE,FALSE,1.6,155,0.1,3.3,3,0.5,-0.1,0.4,1.5
Victory Enterprises,525,FALSE,FALSE,1.6,156,0.1,2.8,1,0,0.2,0.1,0.2
Seven Letter Insight,661,FALSE,FALSE,1.6,157,0.1,2.8,1,0,0.1,0,1
Jorge Benítez,600,FALSE,FALSE,1.6,158,0.1,2.8,2,0,0.1,0,2.2
Ciruli Associates,51,FALSE,FALSE,1.6,159,0.1,3,26,0,0.1,0.1,2.1
Frederick Polls,108,FALSE,FALSE,1.6,160,-0.1,2.3,9,0.1,-0.1,-0.1,7.3
NewsNation,696,FALSE,FALSE,1.6,161,0,2.1,1,0,0.1,0,1
Clarity Campaign Labs,52,FALSE,FALSE,1.6,162,-0.2,1.5,25,1,-0.7,0.3,14.7
Uplift Campaigns,298,FALSE,FALSE,1.6,163,0.2,3.5,2,0,0.3,0.1,1.1
Alloy Analytics,734,FALSE,FALSE,1.6,164,0.1,2.8,1,0,0.2,-0.1,1
Odney,524,FALSE,FALSE,1.5,165,0.2,3.5,1,1,0,0.4,0.3
Keating Research,161,FALSE,FALSE,1.5,166,0.1,3.4,6,0.3,-0.1,0.3,2.3
Amber Integrated,556,FALSE,FALSE,1.5,167,0.3,4.9,11,0,0.8,-0.1,15.2
Benenson Strategy Group,30,FALSE,FALSE,1.5,168,0.1,3.2,21,0.8,0,0.2,5
Ohio Northern University Institute for Civics and Public Policy,731,FALSE,FALSE,1.5,169,0.2,4.2,1,0,0.1,0.3,1
Harris Insights & Analytics,133,FALSE,FALSE,1.5,170,-0.1,2.9,306,0,0.1,-0.3,56.4
KAConsulting,757,FALSE,FALSE,1.5,171,-0.1,2.4,11,1,-0.3,0.1,15.8
Montana State University Billings,216,FALSE,FALSE,1.5,172,0.3,4.6,22,0,0.3,0.4,10.2
Sachs Media,706,FALSE,FALSE,1.5,173,0.1,2.1,1,0,0.2,0,1
Auburn University at Montgomery Department of Political Science and Public Administration,588,FALSE,FALSE,1.5,174,0.2,3.5,2,0,0.2,0.1,2.2
Glengariff Group,117,FALSE,FALSE,1.5,175,-0.2,0.9,17,0,-0.2,-0.1,9.3
Stetson University Center for Public Opinion Research,730,FALSE,FALSE,1.5,176,0.3,4.2,2,0,0.4,0.1,3
Pacific Market Research,459,FALSE,FALSE,1.5,177,0.1,1.4,2,0,0.1,0,1.6
Breakthrough Campaigns,623,FALSE,FALSE,1.5,178,0.1,1.4,1,1,-0.1,0.3,0.7
Impact Research,14,FALSE,FALSE,1.5,179,-0.2,0.8,43,1,-0.6,0.3,16.5
Victoria Research & Consulting,369,FALSE,FALSE,1.5,180,0.2,3.5,2,1,0,0.4,0.3
Multi-Quest International,220,FALSE,FALSE,1.5,181,0.2,3.5,2,0.8,0.1,0.4,0.1
Spry Strategies,508,FALSE,FALSE,1.5,182,0.2,3.5,5,0,-0.3,0.6,5.1
University of Southern California Schwarzenegger Institute for State and Global Policy,648,FALSE,FALSE,1.5,183,0.4,4.9,3,0,0.4,0.3,3.7
Cole Hargrave Snodgrass & Associates,56,FALSE,FALSE,1.5,184,0.1,2.4,8,0.2,0,0.3,1
Schoen Cooperman Research,301,FALSE,FALSE,1.5,185,0,1.8,4,0,0.1,-0.1,4.1
Baselice & Associates,23,FALSE,FALSE,1.4,186,0.3,4.2,2,1,0.1,0.4,0.1
Change Research,48,TRUE,FALSE,1.4,187,0.6,5.7,123,0.1,1.3,-0.1,115.7
Point Blank Political,550,FALSE,FALSE,1.4,188,0.4,4.6,6,0,0.8,0,5.8
Singularis Group,306,FALSE,FALSE,1.4,189,0.1,0.7,1,1,-0.1,0.3,0.4
SmithJohnson Opinion Research,367,FALSE,FALSE,1.4,190,0.3,3.5,1,1,0.1,0.4,0.1
Data Targeting,406,FALSE,FALSE,1.4,191,0,1.8,4,1,-0.3,0.4,2.7
Kiaer Research,585,FALSE,FALSE,1.4,192,0.5,5.6,2,0,0.6,0.3,2.2
Slingshot Strategies,451,FALSE,FALSE,1.4,193,0.1,1.7,2,0,0.2,0,1.8
Public Policy Polling,263,FALSE,FALSE,1.4,194,0,2.9,537,0.4,0.3,-0.3,202.7
Nelson Research,703,FALSE,FALSE,1.4,195,0.2,2.8,1,0,0.2,0.1,1
Douglas Fulmer & Associates,82,FALSE,FALSE,1.4,196,0.2,2.8,2,0,0.2,0.2,1.1
St. Cloud State University,312,FALSE,FALSE,1.4,197,0.9,9.5,17,0,0.8,1.1,7.2
Meeting Street Insights,204,FALSE,FALSE,1.4,198,0.2,3.2,4,1,0.1,0.3,3.3
Wick,284,FALSE,FALSE,1.4,199,0.1,3.1,25,0,0.1,0.1,33.3
The Kitchens Group,664,FALSE,FALSE,1.4,200,0.3,3.5,2,1,0.1,0.5,0.3
Digital Research,64,FALSE,FALSE,1.4,201,0.2,3.4,24,0.1,0.3,0.1,4.9
Thirty-Ninth Street Strategies,460,FALSE,FALSE,1.4,202,0.1,0.7,1,1,0,0.3,0.5
University of Nevada Department of Political Science,704,FALSE,FALSE,1.4,203,0.5,5.3,2,0,0.5,0.6,3
St. Norbert College Strategic Research Institute,313,FALSE,FALSE,1.4,204,0.2,3.2,17,0,0.3,0.1,3.5
Hampton University Center for Public Policy,131,FALSE,FALSE,1.4,205,0.4,4.5,4,0,0.4,0.4,2
1892 Polling,461,FALSE,FALSE,1.3,206,0.1,0.7,1,1,-0.1,0.4,0.5
Lester & Associates,293,FALSE,FALSE,1.3,207,0.4,4.2,2,0.6,0.2,0.5,0.3
Probolsky Research,259,FALSE,FALSE,1.3,208,0.3,3.5,2,0.3,0.2,0.5,0.9
Victory Insights,673,FALSE,FALSE,1.3,209,0.1,0.7,2,0,0.2,-0.1,3
Neighborhood Research and Media,227,FALSE,FALSE,1.3,210,0.3,3.5,4,0.2,0.2,0.5,0.8
GS Strategy Group,478,FALSE,FALSE,1.3,211,0.3,2.8,2,1,0.1,0.5,0.6
RBI Strategies & Research,271,FALSE,FALSE,1.3,212,0.2,2.9,4,0,0.2,0.2,2.3
RABA Research,269,FALSE,FALSE,1.3,213,0.6,4.4,6,0,0.6,0.6,5
Brigham Young University Center for the Study of Elections and Democracy,727,FALSE,FALSE,1.3,214,0.5,4.3,4,0,0.5,0.4,1.4
Global Strategy Group/GBAO (Navigator Research),413,FALSE,FALSE,1.3,215,0.3,3.6,6,0,0.5,0.2,6.6
BK Strategies,20,FALSE,FALSE,1.3,216,0.3,3.6,4,0.3,0.1,0.6,2.4
Ragnar Research Partners,517,FALSE,FALSE,1.3,217,0.2,1.4,2,1,0,0.3,2.2
Patinkin Research Strategies,490,FALSE,FALSE,1.3,218,0.5,3.8,5,1,0.3,0.7,5.3
Saint Leo University Polling Institute,299,FALSE,FALSE,1.3,219,0.8,4.8,6,0,0.9,0.7,3.3
The Justice Collaborative Institute,630,FALSE,FALSE,1.3,220,0.2,2.1,2,0,0.3,0.1,2.2
Bold Decision,686,FALSE,FALSE,1.3,221,0.3,2.8,1,0,0.3,0.3,1
Strategies 360,321,FALSE,FALSE,1.3,222,0.1,2.2,9,0.1,0.1,0.1,6.2
DFM Research,69,FALSE,FALSE,1.3,223,0.3,3.3,10,0.9,0.2,0.5,4.2
TargetPoint,331,FALSE,FALSE,1.3,224,0,0.2,10,0.9,0.1,0,6.9
Mellman Group,205,FALSE,FALSE,1.2,225,0.2,2.9,33,1,-0.3,0.7,9.6
American Viewpoint,10,FALSE,FALSE,1.2,226,0.1,0.7,14,1,-0.2,0.3,5.7
Expedition Strategies,409,FALSE,FALSE,1.2,227,0.3,1.4,1,1,0.1,0.5,0.4
NRSC,695,FALSE,FALSE,1.2,228,0.2,0.7,1,0,0.2,0.3,0.5
Zogby Analytics,395,FALSE,FALSE,1.2,229,0.7,3.8,596,0,1.6,-0.3,60.1
Gonzales Research & Marketing Strategies Inc.,121,FALSE,FALSE,1.2,230,0.4,3.5,12,0.1,0.3,0.6,2
Opinium,559,FALSE,FALSE,1.2,231,1,4.2,5,0,1.3,0.7,5.2
Big Village,37,FALSE,FALSE,1.2,232,1.7,4.8,5,0,1.9,1.5,4.1
Lake Research Partners,165,FALSE,FALSE,1.2,233,0.1,1.5,21,1,-0.1,0.4,9.5
GBAO,109,FALSE,FALSE,1.2,234,0.1,1.1,20,0.9,-0.1,0.4,14.7
The Tyson Group,334,FALSE,FALSE,1.1,235,0.1,1.4,18,0.1,0.2,0.1,3.9
"Long Island University Steven S. Hornstein Center for Policy, Polling, and Analysis",633,FALSE,FALSE,1.1,236,1.8,4.3,4,0,1.8,1.7,4.7
Concord Public Opinion Partners,553,FALSE,FALSE,1.1,237,0.3,1.1,1,1,0.2,0.4,0.7
OnMessage Inc.,239,FALSE,FALSE,1.1,238,0.2,1.6,16,1,-0.2,0.6,7.1
North Star Opinion Research,233,FALSE,FALSE,1.1,239,0.3,2,11,0.8,0,0.6,2.5
Y2 Analytics,389,FALSE,FALSE,1.1,240,0.2,2.1,9,0,0.4,0,6.6
Hays Research Group,136,FALSE,FALSE,1.1,241,0.9,3.8,10,0.8,0.8,1,1.6
MRG Research,207,FALSE,FALSE,1.1,242,0.6,3.5,35,0,0.5,0.7,9.9
DCCC Targeting and Analytics Department,68,FALSE,FALSE,1.1,243,0.1,1,19,1,-0.2,0.5,15.3
VCreek/AMG,501,FALSE,FALSE,1.1,244,0.3,1.5,2,0.4,0.3,0.3,1.7
Basswood Research,24,FALSE,FALSE,1.1,245,0.3,1.2,6,1,-0.2,0.7,2.1
Big Data Poll,251,FALSE,FALSE,1.1,246,0.2,0,4,0,0,0.4,1.9
co/efficient,514,FALSE,FALSE,1.1,247,0.3,3.2,20,0.2,0.1,0.6,27
20/20 Insight,1,FALSE,FALSE,1.1,248,0.4,2.6,9,0.3,0.4,0.4,3.4
Patriot Polling,732,FALSE,FALSE,1.1,249,0.6,3.5,10,0,0.8,0.4,14.5
Garin-Hart-Yang Research Group,113,FALSE,FALSE,1,250,0.2,1.9,47,1,-0.3,0.7,18.3
Cherry Communications,49,FALSE,FALSE,1,251,0.2,0.9,6,1,0.1,0.4,3.4
Thomas Partners Strategies,452,FALSE,FALSE,1,252,0.3,0.7,2,0,0.4,0.2,1.6
Bendixen & Amandi International,29,FALSE,FALSE,1,253,0.4,2.5,4,0.7,0.1,0.7,3.2
Harstad Strategic Research,134,FALSE,FALSE,1,254,0.6,3.2,18,1,0.3,0.9,4.9
brilliant corners Research & Strategies,564,FALSE,FALSE,1,255,0.4,0.7,1,1,0.3,0.6,0.7
Hickman Analytics,415,FALSE,FALSE,1,256,0.5,1.3,2,1,0.3,0.7,0.9
Center Street PAC,715,FALSE,FALSE,1,257,1,3.5,4,1,0.4,1.6,5
Target Insyght,330,FALSE,FALSE,1,258,0.3,1.7,7,0.2,0.4,0.2,5.7
Osage Research,720,FALSE,FALSE,1,259,0.6,2.1,1,1,0.3,1,1
